,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Kansas,1529,1427.1,1696.3,1441.2,2128.0,1477.5,1266.0,,1765.5,1303.0,1602.0,1758.3,1229.6,1448.3,1188.7,,1360.4,1668.0,,,1272.0,,1205.8,1490.0,1126.0,-82.9,186.3,-68.8,618.0,-32.5,-244.0,,255.5,-207.0,92.0,248.3,-280.4,-61.7,-321.3,,-149.6,158.0,,,-238.0,,-304.2,-20.0,-384.0,False,True,False,True,False,,False,False,False,False,False,True,False,,False,False,,,False,,False,True,False
Kentucky,1885,1839.3,2222.7,1864.0,1883.0,1851.1,1793.0,,1788.4,1832.0,1886.3,1876.5,1772.6,1955.5,1722.0,1980.5,1604.7,1746.0,,,1803.3,,2365.9,2019.0,1570.7,-45.7,337.7,-21.0,-2.0,-33.9,-92.0,,-96.6,-53.0,1.3,-8.5,-112.4,70.5,-163.0,95.5,-280.3,-139.0,,,-81.7,,480.9,134.0,-314.3,False,True,True,True,False,,False,False,True,True,False,False,False,False,False,False,,,False,,False,False,False
Louisiana,6391,6259.6,6260.5,6287.3,6431.0,6284.4,6025.0,,6406.5,6227.0,6233.7,6315.1,6115.7,6281.7,6159.5,,6210.0,6394.0,,,6399.6,,6459.3,6232.0,6005.4,-131.4,-130.5,-103.7,40.0,-106.6,-366.0,,15.5,-164.0,-157.3,-75.9,-275.3,-109.3,-231.5,,-181.0,3.0,,,8.6,,68.3,-159.0,-385.6,True,True,True,True,False,,True,False,False,True,False,True,False,,False,True,,,True,,True,False,False
Maine,191,146.0,148.7,150.0,155.0,154.5,157.0,,155.5,162.0,151.7,181.8,172.5,154.5,156.3,,149.7,152.0,,,147.4,,192.9,155.0,153.1,-45.0,-42.3,-41.0,-36.0,-36.5,-34.0,,-35.5,-29.0,-39.3,-9.2,-18.5,-36.5,-34.7,,-41.3,-39.0,,,-43.6,,1.9,-36.0,-37.9,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,,,True,,True,True,True
Maryland,4602,4382.6,4381.6,4369.1,4337.0,4310.4,4205.0,,4449.5,4263.0,4328.5,4396.0,4415.9,4374.5,4247.9,,4367.1,4223.0,,8863.0,4259.8,,4940.5,4373.0,4203.3,-219.4,-220.4,-232.9,-265.0,-291.6,-397.0,,-152.5,-339.0,-273.5,-206.0,-186.1,-227.5,-354.1,,-234.9,-379.0,,4261.0,-342.2,,338.5,-229.0,-398.7,False,False,False,False,False,,True,False,False,True,True,False,False,,False,False,,False,False,,False,False,False
Massachusetts,10676,10480.9,10618.4,10440.5,10487.0,10748.4,10575.0,,10602.4,10388.0,10611.7,10698.0,10317.1,10828.3,10335.9,,10542.1,10401.0,,,10160.4,,12133.7,10806.0,10082.8,-195.1,-57.6,-235.5,-189.0,72.4,-101.0,,-73.6,-288.0,-64.3,22.0,-358.9,152.3,-340.1,,-133.9,-275.0,,,-515.6,,1457.7,130.0,-593.2,True,False,True,True,True,,True,False,True,True,False,True,False,,True,False,,,False,,False,True,False
Michigan,9467,8406.0,9569.7,8435.6,10150.0,8709.2,8340.0,,8780.3,8451.0,8775.2,9362.5,8375.4,9126.4,7838.4,11470.5,7805.0,8433.0,,,8015.2,,11001.6,9221.0,7680.5,-1061.0,102.7,-1031.4,683.0,-757.8,-1127.0,,-686.7,-1016.0,-691.8,-104.5,-1091.6,-340.6,-1628.6,2003.5,-1662.0,-1034.0,,,-1451.8,,1534.6,-246.0,-1786.5,True,True,True,True,False,,True,True,True,True,False,True,False,False,False,True,,,False,,False,True,False
Minnesota,3580,2960.6,3247.1,2935.9,3274.0,3085.3,3055.0,,3242.6,3005.0,3113.1,3040.1,2776.2,3076.4,2778.9,2908.0,2888.9,3294.0,,,2811.5,,3805.1,3079.0,2540.4,-619.4,-332.9,-644.1,-306.0,-494.7,-525.0,,-337.4,-575.0,-466.9,-539.9,-803.8,-503.6,-801.1,-672.0,-691.1,-286.0,,,-768.5,,225.1,-501.0,-1039.6,True,False,True,True,True,,True,True,True,True,False,True,False,False,False,True,,,False,,True,True,False
Mississippi,3779,3663.0,3743.8,3675.3,3948.0,3795.7,3505.0,,3933.6,3605.0,3760.4,3804.9,3472.8,4024.0,3439.3,,3588.6,3668.0,,,3650.8,,3925.5,3751.0,3551.1,-116.0,-35.2,-103.7,169.0,16.7,-274.0,,154.6,-174.0,-18.6,25.9,-306.2,245.0,-339.7,,-190.4,-111.0,,,-128.2,,146.5,-28.0,-227.9,True,True,False,True,False,,False,False,True,True,False,False,False,,False,True,,,False,,False,True,False
Missouri,3844,3927.4,3826.8,3942.7,4488.0,4246.1,3529.0,,3298.5,3533.0,4338.4,3882.1,3316.1,3892.3,3463.9,,3696.3,3764.0,,,3083.2,,3974.1,3861.0,2981.6,83.4,-17.2,98.7,644.0,402.1,-315.0,,-545.5,-311.0,494.4,38.1,-527.9,48.3,-380.1,,-147.7,-80.0,,,-760.8,,130.1,17.0,-862.4,True,False,False,False,False,,False,False,False,True,False,True,False,,False,True,,,False,,False,True,False
Montana,669,569.0,688.8,569.1,622.0,619.3,500.0,,651.3,464.0,712.2,847.8,371.8,659.2,470.7,,484.6,472.0,,,398.1,,623.7,630.0,369.2,-100.0,19.8,-99.9,-47.0,-49.7,-169.0,,-17.7,-205.0,43.2,178.8,-297.2,-9.8,-198.3,,-184.4,-197.0,,,-270.9,,-45.3,-39.0,-299.8,True,True,True,True,False,,True,False,True,False,False,True,False,,False,False,,,False,,True,True,False
Nebraska,989,829.1,1296.5,835.3,965.0,849.0,866.0,,729.9,811.0,869.3,865.7,821.3,916.0,704.0,,782.5,707.0,,,728.4,,885.3,872.0,668.0,-159.9,307.5,-153.7,-24.0,-140.0,-123.0,,-259.1,-178.0,-119.7,-123.3,-167.7,-73.0,-285.0,,-206.5,-282.0,,,-260.6,,-103.7,-117.0,-321.0,False,True,True,True,True,,False,False,True,True,False,True,False,,False,False,,,False,,True,True,False
Nevada,2119,1909.1,1864.2,1899.2,2049.0,2062.7,1878.0,,2365.2,1968.0,1988.9,2096.7,1964.0,2108.1,1925.3,,1955.3,1797.0,,,2009.3,,2284.0,1957.0,1904.2,-205.9,-250.8,-215.8,-66.0,-52.3,-237.0,,250.2,-147.0,-126.1,-18.3,-151.0,-6.9,-189.7,,-159.7,-318.0,,,-105.7,,169.0,-158.0,-210.8,False,False,True,True,False,,False,True,True,True,True,True,True,,True,False,,,True,,True,True,False
New Hampshire,523,507.0,484.3,509.9,568.0,631.1,542.0,,614.0,517.0,550.7,584.3,516.4,591.8,505.3,,493.6,533.0,,,499.3,,687.9,545.0,485.3,-16.0,-38.7,-13.1,45.0,108.1,19.0,,91.0,-6.0,27.7,61.3,-6.6,68.8,-17.7,,-29.4,10.0,,,-23.7,,164.9,22.0,-37.7,False,True,False,False,False,,False,True,False,False,True,False,False,,False,True,,,False,,False,False,False
New Jersey,16965,16644.4,17005.5,16789.9,16642.0,16752.2,17112.0,,16359.4,16532.0,16607.6,17002.9,16747.4,16781.1,16465.7,,16726.4,16313.0,,,16512.3,,19788.3,16828.0,16416.6,-320.6,40.5,-175.1,-323.0,-212.8,147.0,,-605.6,-433.0,-357.4,37.9,-217.6,-183.9,-499.3,,-238.6,-652.0,,,-452.7,,2823.3,-137.0,-548.4,True,True,False,True,True,,False,False,False,True,True,True,False,,True,False,,,False,,False,True,False
New Mexico,1527,1127.3,1293.3,1144.9,1482.0,1305.2,1085.0,,1269.3,1078.0,1284.1,1360.9,1115.7,1534.3,1112.4,,1137.7,1004.0,,,1075.4,,1709.0,1418.0,1042.6,-399.7,-233.7,-382.1,-45.0,-221.8,-442.0,,-257.7,-449.0,-242.9,-166.1,-411.3,7.3,-414.6,,-389.3,-523.0,,,-451.6,,182.0,-109.0,-484.4,True,True,True,True,False,,True,False,True,True,False,True,False,,True,False,,,False,,True,True,False
New York,34526,33737.7,33666.8,34043.2,33823.0,34422.0,34134.0,,33939.7,33766.0,33947.1,34539.4,34023.9,34015.4,33619.2,,33754.3,33422.0,,,33659.6,,37852.1,33824.0,33391.1,-568.3,-639.2,-262.8,-483.0,116.0,-172.0,,-366.3,-540.0,-358.9,233.4,-282.1,-290.6,-686.8,,-551.7,-884.0,,,-646.4,,3546.1,-482.0,-914.9,False,True,True,True,True,,True,True,True,True,True,True,False,,True,False,,,False,,False,True,False
North Carolina,5219,5240.1,6059.1,5218.8,5818.0,5244.2,4889.0,,5030.2,5078.0,5357.4,4946.1,4934.8,5474.5,4752.5,,4784.3,5029.0,,,4903.4,,5359.9,5317.0,4641.2,21.1,840.1,-0.2,599.0,25.2,-330.0,,-188.8,-141.0,138.4,-272.9,-284.2,255.5,-466.5,,-434.7,-190.0,,,-315.6,,140.9,98.0,-577.8,False,True,False,False,False,,False,False,False,False,False,False,False,,False,False,,,False,,False,False,False
North Dakota,921,708.6,654.6,692.9,1471.0,1043.0,742.0,,877.3,739.0,931.1,1189.3,512.7,1082.9,694.8,,997.0,760.0,,,659.6,,755.7,951.0,573.0,-212.4,-266.4,-228.1,550.0,122.0,-179.0,,-43.7,-182.0,10.1,268.3,-408.3,161.9,-226.2,,76.0,-161.0,,,-261.4,,-165.3,30.0,-348.0,False,False,False,True,True,,True,True,True,False,False,True,False,,True,True,,,False,,True,True,False
Ohio,6378,5881.1,8878.7,5901.5,6503.0,6045.6,5894.0,,6147.4,5997.0,5783.3,6250.1,6311.5,6067.6,5540.1,7313.5,5678.3,5727.0,,,5767.4,,7999.5,6536.0,5624.2,-496.9,2500.7,-476.5,125.0,-332.4,-484.0,,-230.6,-381.0,-594.7,-127.9,-66.5,-310.4,-837.9,935.5,-699.7,-651.0,,,-610.6,,1621.5,158.0,-753.8,False,True,True,True,True,,True,True,False,True,True,True,False,False,False,False,,,False,,False,True,False
Oklahoma,1717,1627.9,1916.4,1659.8,1626.0,1560.0,1637.0,,1838.3,1597.0,1655.3,1604.6,1529.5,1661.0,1489.5,,1541.6,1813.0,,,1584.0,,1876.9,1701.0,1407.7,-89.1,199.4,-57.2,-91.0,-157.0,-80.0,,121.3,-120.0,-61.7,-112.4,-187.5,-56.0,-227.5,,-175.4,96.0,,,-133.0,,159.9,-16.0,-309.3,False,True,False,False,True,,False,False,True,False,False,True,False,,False,False,,,False,,False,True,False
Oregon,896,813.3,888.6,822.9,749.0,833.5,758.0,,782.0,769.0,790.7,797.5,901.6,796.7,749.0,,792.3,800.0,,,797.7,,897.8,833.0,724.2,-82.7,-7.4,-73.1,-147.0,-62.5,-138.0,,-114.0,-127.0,-105.3,-98.5,5.6,-99.3,-147.0,,-103.7,-96.0,,,-98.3,,1.8,-63.0,-171.8,True,True,False,True,False,,False,False,False,False,True,False,False,,False,False,,,False,,True,True,False
Pennsylvania,10234,9531.0,9945.0,9607.8,10327.0,9866.4,9504.0,,10195.4,9413.0,9767.3,10007.7,9709.2,10220.6,9140.5,,10000.3,9160.0,,,9172.5,,11883.4,9777.0,9057.3,-703.0,-289.0,-626.2,93.0,-367.6,-730.0,,-38.6,-821.0,-466.7,-226.3,-524.8,-13.4,-1093.5,,-233.7,-1074.0,,,-1061.5,,1649.4,-457.0,-1176.7,True,True,True,True,False,,True,False,True,True,True,True,False,,True,False,,,False,,False,True,False
Rhode Island,1346,1298.4,1386.6,1308.9,1756.0,1400.6,1323.0,,1290.1,1292.0,1340.5,1443.4,1274.1,1437.2,1239.5,,1363.3,1349.0,,,1245.5,,1457.1,1386.0,1181.5,-47.6,40.6,-37.1,410.0,54.6,-23.0,,-55.9,-54.0,-5.5,97.4,-71.9,91.2,-106.5,,17.3,3.0,,,-100.5,,111.1,40.0,-164.5,True,True,False,False,True,,False,False,True,False,False,False,False,,True,True,,,False,,False,True,False
South Carolina,4346,4540.3,5523.1,4573.6,4388.0,4191.6,4149.0,,4481.0,4203.0,4269.6,4213.5,4052.1,4474.5,4237.6,,4158.2,4063.0,,,4410.0,,4555.9,4507.0,4172.9,194.3,1177.1,227.6,42.0,-154.4,-197.0,,135.0,-143.0,-76.4,-132.5,-293.9,128.5,-108.4,,-187.8,-283.0,,,64.0,,209.9,161.0,-173.1,False,False,True,True,False,,True,True,True,True,False,True,True,,True,False,,,True,,False,True,True
South Dakota,942,627.6,724.4,620.9,889.0,735.5,653.0,,587.5,558.0,725.4,773.5,410.4,766.6,611.3,,776.7,877.0,,,554.4,,748.6,699.0,447.5,-314.4,-217.6,-321.1,-53.0,-206.5,-289.0,,-354.5,-384.0,-216.6,-168.5,-531.6,-175.4,-330.7,,-165.3,-65.0,,,-387.6,,-193.4,-243.0,-494.5,True,False,True,True,True,,False,False,True,True,False,True,False,,True,True,,,False,,True,True,False
Tennessee,4541,4209.3,4659.0,4085.1,5177.0,4494.9,3829.0,,4336.6,4002.0,4403.6,4422.4,3743.2,4682.7,3953.4,,3614.7,3760.0,,,3990.4,,4262.4,4222.0,3524.2,-331.7,118.0,-455.9,636.0,-46.1,-712.0,,-204.4,-539.0,-137.4,-118.6,-797.8,141.7,-587.6,,-926.3,-781.0,,,-550.6,,-278.6,-319.0,-1016.8,True,False,False,True,False,,True,False,True,True,False,True,False,,False,False,,,False,,True,True,False
Texas,21888,20335.0,20269.6,20291.5,19755.0,20194.2,19585.0,,20160.7,20188.0,20517.4,21014.6,19834.2,21647.5,19271.8,,20012.1,19161.0,,30164.0,20100.3,,21866.9,20859.0,19690.1,-1466.0,-1531.4,-1509.5,-2046.0,-1606.8,-2216.0,,-1640.3,-1613.0,-1283.6,-786.4,-1966.8,-153.5,-2529.2,,-1788.9,-2640.0,,8363.0,-1700.7,,65.9,-942.0,-2110.9,False,False,False,False,False,,False,False,True,True,False,True,False,,False,False,,False,False,,True,True,False
Utah,863,712.9,732.3,708.0,746.0,947.3,688.0,,805.3,763.0,806.2,641.0,731.4,796.6,738.6,,765.4,712.0,,,712.3,,911.1,740.0,506.2,-150.1,-130.7,-155.0,-117.0,84.3,-175.0,,-57.7,-100.0,-56.8,-222.0,-131.6,-66.4,-124.4,,-97.6,-151.0,,,-150.7,,48.1,-123.0,-356.8,True,False,True,True,False,,True,True,True,False,True,True,True,,True,False,,,False,,True,True,False
Vermont,67,58.0,58.3,60.0,58.0,58.9,62.0,,59.9,58.0,58.0,59.5,69.6,60.5,64.3,,62.9,58.0,,,58.0,,99.4,58.0,57.9,-9.0,-8.7,-7.0,-9.0,-8.1,-5.0,,-7.1,-9.0,-9.0,-7.5,2.6,-6.5,-2.7,,-4.1,-9.0,,,-9.0,,32.4,-9.0,-9.1,True,True,False,True,True,,True,False,False,True,True,True,True,,True,False,,,False,,False,False,False
Virginia,4054,4279.3,5308.1,4348.9,4131.0,4039.5,3741.0,,3798.7,4158.0,4027.1,4107.1,4202.0,4154.8,3899.9,,3905.6,4305.0,,,4010.0,,4346.8,4239.0,3901.8,229.3,1258.1,298.9,81.0,-10.5,-309.0,,-251.3,108.0,-22.9,57.1,152.0,104.8,-150.1,,-144.4,255.0,,,-40.0,,296.8,189.0,-148.2,False,False,True,True,False,,False,True,True,True,True,True,True,,True,False,,,True,,False,True,True
Washington,2714,2572.9,2837.9,2580.8,2622.0,2602.2,2477.0,,2518.0,2612.0,2704.1,2670.5,2638.5,2664.7,2478.2,,2385.6,2670.0,,,2565.9,,2946.6,2622.0,2460.5,-152.1,112.9,-144.2,-103.0,-122.8,-248.0,,-207.0,-113.0,-20.9,-54.5,-86.5,-60.3,-246.8,,-339.4,-55.0,,,-159.1,,221.6,-103.0,-264.5,True,True,True,True,False,,False,True,True,True,True,True,False,,False,True,,,False,,False,True,False
West Virginia,718,536.7,757.7,539.0,644.0,539.8,559.0,,542.4,591.0,535.9,717.3,567.6,596.4,494.2,,511.1,522.0,,,526.5,,604.6,563.0,483.6,-181.3,39.7,-179.0,-74.0,-178.2,-159.0,,-175.6,-127.0,-182.1,-0.7,-150.4,-121.6,-223.8,,-206.9,-196.0,,,-191.5,,-113.4,-155.0,-234.4,True,True,True,True,True,,True,True,False,True,True,True,False,,False,False,,,False,,True,True,False
