,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,9424,9404.6,9293.6,9432.1,9424.0,9402.0,9466.0,9354.0,9441.6,9155.0,10563.6,9696.0,9523.0,9543.3,9410.2,9475.7,,9692.1,9417.0,9555.0,9512.1,9406.6,9217.0,9346.9,9514.1,9583.0,9382.4,9707.0,9578.9,9473.7,,9402.7,9446.9,9326.0,,9458.4,9392.4,9631.0,9214.0,9450.0,9376.7,,9722.7,9580.0,9473.0,9447.0,9482.5,9837.7,9532.0,9415.0,9142.7,8954.0,-19.4,-130.4,8.1,0.0,-22.0,42.0,-70.0,17.6,-269.0,1139.6,272.0,99.0,119.3,-13.8,51.7,,268.1,-7.0,131.0,88.1,-17.4,-207.0,-77.1,90.1,159.0,-41.6,283.0,154.9,49.7,,-21.3,22.9,-98.0,,34.4,-31.6,207.0,-210.0,26.0,-47.3,,298.7,156.0,49.0,23.0,58.5,413.7,108.0,-9.0,-281.3,-470.0,False,True,True,False,False,False,True,False,False,False,False,False,True,False,,False,True,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False
Hawaii,240,242.4,238.9,240.7,233.0,240.0,240.0,238.0,235.1,222.0,247.1,241.0,242.8,,234.4,245.1,,224.5,,,231.0,230.7,246.0,247.1,232.8,237.0,235.4,241.0,243.7,239.8,,269.1,242.4,238.0,,,231.8,235.0,255.8,245.0,237.2,,233.1,246.3,238.7,240.0,243.1,235.9,238.0,240.0,236.9,,2.4,-1.1,0.7,-7.0,0.0,0.0,-2.0,-4.9,-18.0,7.1,1.0,2.8,,-5.6,5.1,,-15.5,,,-9.0,-9.3,6.0,7.1,-7.2,-3.0,-4.6,1.0,3.7,-0.2,,29.1,2.4,-2.0,,,-8.2,-5.0,15.8,5.0,-2.8,,-6.9,6.3,-1.3,0.0,3.1,-4.1,-2.0,0.0,-3.1,,True,True,False,True,True,True,False,False,False,True,False,,False,False,,False,,,False,False,False,False,False,False,False,True,False,True,,False,True,True,,,False,False,False,False,False,,False,False,True,True,False,False,True,True,False,
Idaho,913,926.1,948.0,935.6,942.0,935.0,937.0,906.0,946.1,868.0,984.9,932.0,941.1,954.4,934.2,942.1,,936.7,917.0,963.0,938.1,893.2,947.0,918.2,945.7,917.0,938.3,959.0,951.0,947.9,,930.2,946.2,963.0,,,938.2,945.0,952.2,925.0,933.6,,989.2,954.5,946.2,917.0,921.1,931.9,937.0,900.0,881.9,940.0,13.1,35.0,22.6,29.0,22.0,24.0,-7.0,33.1,-45.0,71.9,19.0,28.1,41.4,21.2,29.1,,23.7,4.0,50.0,25.1,-19.8,34.0,5.2,32.7,4.0,25.3,46.0,38.0,34.9,,17.2,33.2,50.0,,,25.2,32.0,39.2,12.0,20.6,,76.2,41.5,33.2,4.0,8.1,18.9,24.0,-13.0,-31.1,27.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,True,False,True,False,False,False,False,,False,False,False,,,False,False,False,True,False,,False,False,False,True,True,False,False,True,False,False
Illinois,12838,12811.1,12929.7,12825.6,12873.0,12814.0,12884.0,12798.0,12850.8,12059.0,12998.2,12980.0,12839.6,12937.0,12995.8,12796.6,,12623.5,12815.0,12854.0,12954.7,12204.3,12911.0,12596.6,12949.2,12939.0,12985.4,12885.0,12724.4,12920.7,12438.0,12125.6,12889.2,12487.0,,12611.7,12923.5,13011.0,11673.3,12803.0,12861.3,,13211.8,12754.3,12821.7,12774.0,12963.2,14459.4,13011.0,13000.0,12298.1,13101.0,-26.9,91.7,-12.4,35.0,-24.0,46.0,-40.0,12.8,-779.0,160.2,142.0,1.6,99.0,157.8,-41.4,,-214.5,-23.0,16.0,116.7,-633.7,73.0,-241.4,111.2,101.0,147.4,47.0,-113.6,82.7,-400.0,-712.4,51.2,-351.0,,-226.3,85.5,173.0,-1164.7,-35.0,23.3,,373.8,-83.7,-16.3,-64.0,125.2,1621.4,173.0,162.0,-539.9,263.0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,,False,False,True,False,False,False,False,False,False,False
Indiana,5663,5643.6,5675.2,5601.2,5603.0,5604.0,5660.0,5698.0,5652.2,5378.0,5923.7,5840.0,5752.0,5802.7,5683.0,5685.1,,5680.6,5585.0,5722.0,5721.4,5620.8,5442.0,5588.7,5690.9,5624.0,5727.5,5679.0,5637.8,5712.4,5263.0,5660.3,5703.8,5614.0,,5542.2,5654.6,5753.0,5328.3,5643.0,5612.6,,5907.3,5642.8,5676.0,5648.0,5635.7,6259.7,5753.0,5657.0,5147.5,5713.0,-19.4,12.2,-61.8,-60.0,-59.0,-3.0,35.0,-10.8,-285.0,260.7,177.0,89.0,139.7,20.0,22.1,,17.6,-78.0,59.0,58.4,-42.2,-221.0,-74.3,27.9,-39.0,64.5,16.0,-25.2,49.4,-400.0,-2.7,40.8,-49.0,,-120.8,-8.4,90.0,-334.7,-20.0,-50.4,,244.3,-20.2,13.0,-15.0,-27.3,596.7,90.0,-6.0,-515.5,50.0,True,False,False,False,True,False,True,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,True,False,False,False,False,,False,False,True,True,False,False,False,True,False,False
Iowa,2375,2384.6,2390.6,2396.5,2385.0,2397.0,2422.0,2448.0,2453.9,2217.0,2505.2,2429.0,2427.5,2457.9,2451.5,2423.5,,2420.4,2378.0,2416.0,2422.3,2308.0,2486.0,2404.9,2446.8,2368.0,2444.6,2502.0,2421.8,2422.4,,2482.4,2411.0,2402.0,,2352.9,2433.7,2438.0,2671.1,2356.0,2410.9,,2619.4,2425.6,2448.4,2381.0,2401.3,2620.3,2491.0,2367.0,2265.3,2425.0,9.6,15.6,21.5,10.0,22.0,47.0,73.0,78.9,-158.0,130.2,54.0,52.5,82.9,76.5,48.5,,45.4,3.0,41.0,47.3,-67.0,111.0,29.9,71.8,-7.0,69.6,127.0,46.8,47.4,,107.4,36.0,27.0,,-22.1,58.7,63.0,296.1,-19.0,35.9,,244.4,50.6,73.4,6.0,26.3,245.3,116.0,-8.0,-109.7,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,True,False,False,False,True,False,False
Kansas,1529,1447.7,1459.2,1463.6,1454.0,1466.0,1468.0,1471.0,1478.2,1306.0,1421.9,1508.0,1467.3,1537.9,1531.9,1465.9,,1376.1,1480.0,1498.0,1445.0,1438.2,1541.0,1471.0,1487.7,1435.0,1446.4,1532.0,1469.7,1469.0,,1513.8,1468.0,1416.0,,,1546.8,1511.0,1442.9,1450.0,1482.4,,1551.8,1474.6,1515.7,1470.0,1423.4,1468.1,1510.0,1403.0,1381.0,1456.0,2.7,14.2,18.6,9.0,21.0,23.0,26.0,33.2,-139.0,-23.1,63.0,22.3,92.9,86.9,20.9,,-68.9,35.0,53.0,0.0,-6.8,96.0,26.0,42.7,-10.0,1.4,87.0,24.7,24.0,,68.8,23.0,-29.0,,,101.8,66.0,-2.1,5.0,37.4,,106.8,29.6,70.7,25.0,-21.6,23.1,65.0,-42.0,-64.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False
Kentucky,1885,1895.0,1923.7,1909.1,1902.0,1908.0,1916.0,1922.0,1956.4,1776.0,1909.9,1915.0,1915.3,1911.6,1921.6,1920.9,,1920.5,1893.0,1941.5,1909.2,1852.8,1960.0,1981.5,1924.4,1901.0,1951.2,1992.0,1928.7,1939.3,1902.5,1810.9,1944.0,1865.0,,,1924.0,1916.0,2097.6,1901.0,1916.9,,2024.4,1932.6,1980.9,1919.0,1906.1,2044.1,1922.0,1890.0,1838.3,1917.0,10.0,38.7,24.1,17.0,23.0,31.0,37.0,71.4,-109.0,24.9,30.0,30.3,26.6,36.6,35.9,,35.5,8.0,56.5,24.2,-32.2,75.0,96.5,39.4,16.0,66.2,107.0,43.7,54.3,17.5,-74.1,59.0,-20.0,,,39.0,31.0,212.6,16.0,31.9,,139.4,47.6,95.9,34.0,21.1,159.1,37.0,5.0,-46.7,32.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False
Louisiana,6391,6379.1,6407.8,6344.9,6350.0,6345.0,6373.0,6309.0,6392.4,6351.0,6403.7,6324.0,6385.0,6458.2,6386.3,6369.4,,6786.2,6343.0,6485.0,6380.3,6528.8,6327.0,6341.3,6370.4,6417.0,6388.5,6387.0,6344.6,6398.5,,6365.7,6353.0,6292.0,,6328.5,6330.2,6391.0,6369.4,6384.0,6350.9,,6433.6,6347.9,6557.3,6403.0,6388.2,6418.9,6381.0,6345.0,6341.1,6373.0,-11.9,16.8,-46.1,-41.0,-46.0,-18.0,-82.0,1.4,-40.0,12.7,-67.0,-6.0,67.2,-4.7,-21.6,,395.2,-48.0,94.0,-10.7,137.8,-64.0,-49.7,-20.6,26.0,-2.5,-4.0,-46.4,7.5,,-25.3,-38.0,-99.0,,-62.5,-60.8,0.0,-21.6,-7.0,-40.1,,42.6,-43.1,166.3,12.0,-2.8,27.9,-10.0,-46.0,-49.9,-18.0,False,False,False,False,False,False,True,False,False,False,True,False,True,False,,False,False,False,True,False,False,False,False,False,True,True,False,True,,False,False,False,,False,False,True,False,True,False,,False,False,False,False,True,False,True,False,False,False
Maine,191,185.4,186.0,185.4,185.0,185.0,188.0,177.0,188.3,185.0,198.1,189.0,184.7,191.6,188.7,190.9,,187.9,181.0,187.0,189.0,180.9,188.0,215.2,192.8,195.0,183.7,201.0,186.2,189.1,,175.1,186.5,180.0,,,183.9,197.0,188.5,189.0,183.5,,190.5,191.3,190.1,187.0,178.5,203.3,192.0,197.0,178.3,190.0,-5.6,-5.0,-5.6,-6.0,-6.0,-3.0,-14.0,-2.7,-6.0,7.1,-2.0,-6.3,0.6,-2.3,-0.1,,-3.1,-10.0,-4.0,-2.0,-10.1,-3.0,24.2,1.8,4.0,-7.3,10.0,-4.8,-1.9,,-15.9,-4.5,-11.0,,,-7.1,6.0,-2.5,-2.0,-7.5,,-0.5,0.3,-0.9,-4.0,-12.5,12.3,1.0,6.0,-12.7,-1.0,True,False,False,False,True,False,True,False,False,True,False,True,True,True,,True,False,True,True,False,True,False,True,True,False,False,True,True,,False,True,False,,,False,False,True,True,False,,True,True,True,True,False,False,True,False,False,True
Maryland,4602,4547.1,4581.7,4535.5,4542.0,4537.0,4554.0,4630.0,4542.3,4469.0,4555.4,4469.0,4557.3,4605.1,4591.8,4589.4,,4511.7,4519.0,4589.0,4540.4,4498.4,4545.0,4561.2,4599.4,4577.0,4582.0,4557.0,4533.2,4569.5,,4532.4,4583.3,4511.0,,4500.7,4541.0,4578.0,4649.6,4553.0,4538.5,,4582.0,4538.0,4579.7,4572.0,4529.8,4700.1,4561.0,4624.5,4448.7,4660.0,-54.9,-20.3,-66.5,-60.0,-65.0,-48.0,28.0,-59.7,-133.0,-46.6,-133.0,-44.7,3.1,-10.2,-12.6,,-90.3,-83.0,-13.0,-61.6,-103.6,-57.0,-40.8,-2.6,-25.0,-20.0,-45.0,-68.8,-32.5,,-69.6,-18.7,-91.0,,-101.3,-61.0,-24.0,47.6,-49.0,-63.5,,-20.0,-64.0,-22.3,-30.0,-72.2,98.1,-41.0,22.5,-153.3,58.0,True,False,False,False,True,True,False,False,True,False,True,True,True,True,,False,False,True,False,False,False,True,True,True,True,True,False,True,,False,True,False,,False,False,True,True,True,False,,True,False,True,True,False,False,True,True,False,False
Massachusetts,10676,10668.9,10713.3,10678.8,10696.0,10683.0,10715.0,10749.0,10710.1,10564.0,10810.8,10767.0,10765.9,10749.6,10705.0,10741.4,,10707.6,10626.0,10736.0,10719.2,10731.1,10677.0,10657.4,10733.7,10672.0,10706.3,10689.0,10719.2,10716.5,,10721.6,10696.6,10615.0,,10652.9,10668.8,10666.0,11267.6,10687.0,10680.7,,10818.1,10723.5,10682.5,10694.0,10604.7,11288.9,10719.0,10716.0,10579.8,10603.0,-7.1,37.3,2.8,20.0,7.0,39.0,73.0,34.1,-112.0,134.8,91.0,89.9,73.6,29.0,65.4,,31.6,-50.0,60.0,43.2,55.1,1.0,-18.6,57.7,-4.0,30.3,13.0,43.2,40.5,,45.6,20.6,-61.0,,-23.1,-7.2,-10.0,591.6,11.0,4.7,,142.1,47.5,6.5,18.0,-71.3,612.9,43.0,40.0,-96.2,-73.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,True,False,False,False,False,,False,False,False,,False,False,False,False,False,True,,False,False,True,False,False,False,False,False,False,False
Michigan,9467,9302.7,9388.0,9381.3,9353.0,9374.0,9430.0,9433.0,9410.8,9113.0,9708.5,9622.0,9410.0,9623.1,9464.5,9386.2,,9559.6,9333.0,9600.0,9453.3,9149.5,9336.0,9380.9,9572.9,9566.0,9486.5,9405.0,9413.7,9447.8,9111.0,9026.0,9481.5,9158.0,,9199.0,9616.4,9664.0,9856.2,9161.0,9365.0,,9745.8,9427.3,9413.4,9440.0,9628.9,10823.1,9588.0,9313.5,8889.6,9421.0,-164.3,-79.0,-85.7,-114.0,-93.0,-37.0,-34.0,-56.2,-354.0,241.5,155.0,-57.0,156.1,-2.5,-80.8,,92.6,-134.0,133.0,-13.7,-317.5,-131.0,-86.1,105.9,99.0,19.5,-62.0,-53.3,-19.2,-356.0,-441.0,14.5,-309.0,,-268.0,149.4,197.0,389.2,-306.0,-102.0,,278.8,-39.7,-53.6,-27.0,161.9,1356.1,121.0,-153.5,-577.4,-46.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,,False,True,False,False,False,True,,False,True,True,True,True,False,True,True,False,True
Minnesota,3580,3585.0,3641.2,3585.2,3587.0,3584.0,3640.0,3697.0,3632.0,3443.0,3832.7,3773.0,3587.9,3649.9,3622.7,3623.9,,3646.2,3589.0,3680.0,3663.2,3492.9,3642.0,3575.5,3716.6,3654.0,3674.2,3693.0,3598.5,3696.1,3371.0,3354.2,3645.8,3605.0,,3549.2,3679.7,3778.0,3095.7,3595.0,3594.2,,3856.6,3606.7,3647.9,3630.0,3610.6,3998.0,3665.0,3729.5,3315.4,3792.0,5.0,61.2,5.2,7.0,4.0,60.0,117.0,52.0,-137.0,252.7,193.0,7.9,69.9,42.7,43.9,,66.2,9.0,100.0,83.2,-87.1,62.0,-4.5,136.6,74.0,94.2,113.0,18.5,116.1,-209.0,-225.8,65.8,25.0,,-30.8,99.7,198.0,-484.3,15.0,14.2,,276.6,26.7,67.9,50.0,30.6,418.0,85.0,149.5,-264.6,212.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Mississippi,3779,3790.0,3797.2,3776.1,3781.0,3774.0,3784.0,3697.0,3780.7,3683.0,3788.6,3728.0,3800.8,3791.7,3806.9,3797.1,,3791.8,3778.0,3789.0,3789.9,3731.7,3795.0,3737.9,3798.1,3801.0,3803.0,3789.0,3780.5,3801.7,,3760.5,3789.0,3788.0,,3753.9,3797.2,3782.0,3955.5,3801.0,3777.5,,3822.6,3784.4,3819.9,3778.0,3763.1,3837.6,3784.0,3779.0,3741.9,3830.0,11.0,18.2,-2.9,2.0,-5.0,5.0,-82.0,1.7,-96.0,9.6,-51.0,21.8,12.7,27.9,18.1,,12.8,-1.0,10.0,10.9,-47.3,16.0,-41.1,19.1,22.0,24.0,10.0,1.5,22.7,,-18.5,10.0,9.0,,-25.1,18.2,3.0,176.5,22.0,-1.5,,43.6,5.4,40.9,-1.0,-15.9,58.6,5.0,0.0,-37.1,51.0,False,True,True,True,True,False,True,False,True,False,False,False,False,False,,False,True,True,True,False,False,False,False,False,False,True,True,False,,False,True,True,,False,False,True,False,False,True,,False,True,False,True,False,False,True,True,False,False
Missouri,3844,3741.7,3787.2,3741.7,3773.0,3761.0,3801.0,3968.0,3834.5,3650.0,3980.5,3954.0,3855.0,3814.6,3846.3,3583.0,,3830.3,3750.0,3909.0,3826.2,3595.3,3558.0,3847.7,3841.0,3740.0,3813.6,3895.0,3799.9,3807.6,,3924.6,3849.0,3768.0,,3509.2,,3760.0,4060.3,3727.0,3742.7,,4144.7,3800.6,3831.2,3807.0,3750.4,3997.5,3785.0,3787.0,3432.2,3848.0,-102.3,-56.8,-102.3,-71.0,-83.0,-43.0,124.0,-9.5,-194.0,136.5,110.0,11.0,-29.4,2.3,-261.0,,-13.7,-94.0,65.0,-17.8,-248.7,-286.0,3.7,-3.0,-104.0,-30.4,51.0,-44.1,-36.4,,80.6,5.0,-76.0,,-334.8,,-84.0,216.3,-117.0,-101.3,,300.7,-43.4,-12.8,-37.0,-93.6,153.5,-59.0,-57.0,-411.8,4.0,True,False,True,True,True,False,True,False,False,False,True,True,True,False,,True,True,True,True,False,False,True,True,False,True,True,True,True,,True,True,True,,False,,True,False,False,True,,False,True,True,True,True,False,True,True,False,True
Montana,669,674.1,686.8,688.7,690.0,686.0,689.0,688.0,669.7,614.0,742.8,689.0,679.2,716.1,701.8,678.6,,599.9,704.0,699.0,705.2,671.0,711.0,670.2,697.7,644.0,677.1,708.0,699.7,689.9,,652.2,699.0,670.0,,,696.7,695.0,702.2,682.0,675.7,,739.9,703.5,698.1,692.0,674.1,683.2,698.0,652.0,643.3,694.0,5.1,17.8,19.7,21.0,17.0,20.0,19.0,0.7,-55.0,73.8,20.0,10.2,47.1,32.8,9.6,,-69.1,35.0,30.0,36.2,2.0,42.0,1.2,28.7,-25.0,8.1,39.0,30.7,20.9,,-16.8,30.0,1.0,,,27.7,26.0,33.2,13.0,6.7,,70.9,34.5,29.1,23.0,5.1,14.2,29.0,-17.0,-25.7,25.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,True,,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False
Nebraska,989,1020.4,1040.4,1029.3,1030.0,1031.0,1033.0,1045.0,1034.0,919.0,1024.9,1029.0,1031.3,1045.1,1028.1,1026.8,,963.4,980.0,1014.0,1045.6,940.3,1081.0,1006.1,1036.2,1009.0,1047.8,1081.0,1034.9,1041.7,,970.7,1042.7,1025.0,,,1079.4,1050.0,1002.2,1036.0,1036.0,,1083.2,1040.4,1068.0,1000.0,984.3,1045.2,1046.0,1009.0,942.2,1063.0,31.4,51.4,40.3,41.0,42.0,44.0,56.0,45.0,-70.0,35.9,40.0,42.3,56.1,39.1,37.8,,-25.6,-9.0,25.0,56.6,-48.7,92.0,17.1,47.2,20.0,58.8,92.0,45.9,52.7,,-18.3,53.7,36.0,,,90.4,61.0,13.2,47.0,47.0,,94.2,51.4,79.0,11.0,-4.7,56.2,57.0,20.0,-46.8,74.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,True,True,False,False,False,True,False,True,False,False,False,False,,True,False,False,,,False,False,True,False,False,,False,False,False,True,True,False,False,True,False,False
Nevada,2119,2109.6,2113.1,2113.8,2102.0,2114.0,2119.0,2134.0,2114.8,2023.0,2088.1,2087.0,2098.6,2141.0,2126.7,2117.0,,2081.5,2123.0,2051.0,2113.1,2049.9,2137.0,2120.9,2130.1,2122.0,2123.5,2110.0,2127.3,2130.6,,2137.2,2130.8,2061.0,,2100.1,2197.1,2111.0,1965.5,2122.0,2125.3,,2161.9,2132.2,2130.0,2111.0,2089.7,2164.0,2133.0,2114.0,2057.7,2155.0,-9.4,-5.9,-5.2,-17.0,-5.0,0.0,15.0,-4.2,-96.0,-30.9,-32.0,-20.4,22.0,7.7,-2.0,,-37.5,4.0,-68.0,-5.9,-69.1,18.0,1.9,11.1,3.0,4.5,-9.0,8.3,11.6,,18.2,11.8,-58.0,,-18.9,78.1,-8.0,-153.5,3.0,6.3,,42.9,13.2,11.0,-8.0,-29.3,45.0,14.0,-5.0,-61.3,36.0,True,True,False,True,True,False,True,False,False,False,False,False,True,True,,False,True,False,True,False,False,True,False,True,True,True,True,False,,False,False,False,,False,False,True,False,True,True,,False,False,False,True,False,False,False,True,False,False
New Hampshire,523,523.1,527.9,516.9,518.0,517.0,524.0,529.0,526.8,515.0,517.1,541.0,529.1,531.7,514.2,531.5,,509.0,517.0,534.0,521.7,531.8,519.0,546.6,525.7,526.0,525.2,529.0,518.2,528.1,,522.2,525.9,520.0,,,518.9,523.0,554.5,531.0,516.4,,533.1,523.2,525.3,525.0,515.0,581.7,521.0,524.0,515.5,521.0,0.1,4.9,-6.1,-5.0,-6.0,1.0,6.0,3.8,-8.0,-5.9,18.0,6.1,8.7,-8.8,8.5,,-14.0,-6.0,11.0,-1.3,8.8,-4.0,23.6,2.7,3.0,2.2,6.0,-4.8,5.1,,-0.8,2.9,-3.0,,,-4.1,0.0,31.5,8.0,-6.6,,10.1,0.2,2.3,2.0,-8.0,58.7,-2.0,1.0,-7.5,-2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False
New Jersey,16965,16928.1,16989.3,16945.6,16947.0,16944.0,16970.0,17194.0,16985.3,16842.0,16934.9,16949.0,16940.3,17123.5,17004.7,17074.0,,16826.7,16943.0,17010.0,16942.4,16862.1,16981.0,17018.5,16978.0,16996.0,16982.3,16954.0,16970.1,16984.7,,16879.3,16982.7,16792.0,,16858.4,16919.7,16942.0,16899.9,16920.0,16968.9,,17066.0,16975.2,16985.9,16951.0,16929.0,18051.6,16987.0,17178.0,16769.7,17209.0,-36.9,24.3,-19.4,-18.0,-21.0,5.0,229.0,20.3,-123.0,-30.1,-16.0,-24.7,158.5,39.7,109.0,,-138.3,-22.0,45.0,-22.6,-102.9,16.0,53.5,13.0,31.0,17.3,-11.0,5.1,19.7,,-85.7,17.7,-173.0,,-106.6,-45.3,-23.0,-65.1,-45.0,3.9,,101.0,10.2,20.9,-14.0,-36.0,1086.6,22.0,213.0,-195.3,244.0,True,True,True,True,True,False,True,False,True,True,True,False,False,False,,False,True,False,True,False,True,False,True,True,True,True,True,True,,False,True,False,,False,False,True,False,False,True,,False,True,True,True,True,False,True,False,False,False
