,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,JCB-PRM,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JCB-PRM,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,9424,8859.1,8043.6,8884.9,8126.0,8634.4,8502.0,8205.9,,8036.8,,8768.2,8089.0,8172.8,-564.9,-1380.4,-539.1,-1298.0,-789.6,-922.0,-1218.1,,-1387.2,,-655.8,-1335.0,-1251.2,False,True,False,False,False,False,,False,,False,False,False
Hawaii,240,344.6,762.2,329.0,247.0,201.0,,216.5,,176.5,,201.9,274.0,211.8,104.6,522.2,89.0,7.0,-39.0,,-23.5,,-63.5,,-38.1,34.0,-28.2,False,True,True,True,,True,,True,,True,True,True
Idaho,913,654.9,883.9,640.3,2684.0,729.6,655.0,800.3,,494.2,,639.9,680.0,570.7,-258.1,-29.1,-272.7,1771.0,-183.4,-258.0,-112.7,,-418.8,,-273.1,-233.0,-342.3,True,False,False,True,True,True,,False,,False,True,False
Illinois,12838,10572.1,11265.6,10558.4,10313.0,10108.1,10045.0,10729.2,,9850.6,,10045.9,10696.0,9242.0,-2265.9,-1572.4,-2279.6,-2525.0,-2729.9,-2793.0,-2108.8,,-2987.4,,-2792.1,-2142.0,-3596.0,True,False,False,False,False,True,,False,,False,True,False
Indiana,5663,4412.6,4478.2,4410.6,4487.0,4421.0,4343.0,4342.8,,3870.5,,4138.6,4730.0,3787.9,-1250.4,-1184.8,-1252.4,-1176.0,-1242.0,-1320.0,-1320.2,,-1792.5,,-1524.4,-933.0,-1875.1,True,False,True,True,False,False,,False,,False,True,False
Iowa,2375,1944.9,2221.3,1917.4,1842.0,1874.1,1796.0,2028.0,,1551.4,,1843.5,2039.0,1596.2,-430.1,-153.7,-457.6,-533.0,-500.9,-579.0,-347.0,,-823.6,,-531.5,-336.0,-778.8,True,False,False,False,False,True,,False,,False,True,False
Kansas,1529,1122.1,1266.5,1130.3,1396.0,1086.9,942.0,1096.0,,748.8,,1003.1,957.0,837.3,-398.9,-254.5,-390.7,-125.0,-434.1,-579.0,-425.0,,-772.2,,-517.9,-564.0,-683.7,True,True,True,False,False,False,,False,,False,False,False
Kentucky,1885,1617.6,1867.1,1613.0,1755.0,1617.0,1619.0,1779.4,,1410.1,,1688.9,1893.0,1406.4,-267.4,-17.9,-272.0,-130.0,-268.0,-266.0,-105.6,,-474.9,,-196.1,8.0,-478.6,True,False,True,False,True,True,,False,,True,True,False
Louisiana,6391,6457.0,6436.7,6359.9,5855.0,6116.5,6164.0,6115.7,,5939.2,,6622.6,5945.0,5979.6,66.0,45.7,-31.1,-536.0,-274.5,-227.0,-275.3,,-451.8,,231.6,-446.0,-411.4,True,True,False,False,False,False,,False,,False,False,False
Maine,191,157.7,149.4,160.6,153.0,160.4,165.0,163.4,,147.2,,148.2,161.0,153.7,-33.3,-41.6,-30.4,-38.0,-30.6,-26.0,-27.6,,-43.8,,-42.8,-30.0,-37.3,False,True,False,True,True,True,,False,,False,True,False
Maryland,4602,4138.7,3992.4,4248.3,4175.0,4268.0,4161.0,4223.7,,4054.8,,4126.9,4265.0,4099.6,-463.3,-609.6,-353.7,-427.0,-334.0,-441.0,-378.3,,-547.2,,-475.1,-337.0,-502.4,False,True,True,True,True,True,,False,,False,True,False
Massachusetts,10676,10342.9,10314.5,10530.1,15054.0,11566.4,9960.0,11264.8,,9681.7,,9916.9,11364.0,9850.5,-333.1,-361.5,-145.9,4378.0,890.4,-716.0,588.8,,-994.3,,-759.1,688.0,-825.5,False,True,False,False,False,False,,False,,False,False,False
Michigan,9467,7752.6,8212.5,7843.8,7761.0,7704.7,7570.0,7925.4,,7354.5,,7475.3,7977.0,7246.2,-1714.4,-1254.5,-1623.2,-1706.0,-1762.3,-1897.0,-1541.6,,-2112.5,,-1991.7,-1490.0,-2220.8,True,True,True,False,False,True,,False,,False,True,False
Minnesota,3580,2706.6,3392.4,2685.1,3869.0,2635.5,2621.0,2895.0,,2385.2,,2673.5,2930.0,2306.0,-873.4,-187.6,-894.9,289.0,-944.5,-959.0,-685.0,,-1194.8,,-906.5,-650.0,-1274.0,True,False,True,False,False,True,,False,,False,True,False
Mississippi,3779,3751.6,3305.1,3809.9,3928.0,3752.2,3791.0,3797.7,,3297.1,,3690.0,3724.0,3466.1,-27.4,-473.9,30.9,149.0,-26.8,12.0,18.7,,-481.9,,-89.0,-55.0,-312.9,False,False,False,True,True,True,,False,,False,False,False
Missouri,3844,3231.0,2870.1,3161.4,3081.0,3588.7,3111.0,2962.0,,2825.1,,2573.0,3052.0,2406.7,-626.0,-986.9,-695.6,-776.0,-268.3,-746.0,-895.0,,-1031.9,,-1284.0,-805.0,-1450.3,False,False,False,True,False,False,,False,,False,False,False
Montana,669,297.0,262.0,306.0,2981.0,587.1,309.0,564.9,,194.9,,282.4,540.0,234.3,-372.0,-407.0,-363.0,2312.0,-81.9,-360.0,-104.1,,-474.1,,-386.6,-129.0,-434.7,False,True,False,True,True,True,,False,,False,True,False
Nebraska,989,744.6,910.0,721.5,987.0,767.0,642.0,700.6,,556.5,,552.2,753.0,574.8,-244.4,-79.0,-267.5,-2.0,-222.0,-347.0,-288.4,,-432.5,,-436.8,-236.0,-414.2,True,False,True,True,False,False,,False,,False,True,False
Nevada,2119,1921.6,1696.2,1924.6,4403.0,2170.5,1862.0,2166.1,,1789.8,,2138.3,2057.0,1867.0,-197.4,-422.8,-194.4,2284.0,51.5,-257.0,47.1,,-329.2,,19.3,-62.0,-252.0,False,True,False,True,False,True,,False,,True,True,False
New Hampshire,523,474.4,1016.0,479.0,463.0,461.3,475.0,459.1,,445.4,,477.8,532.0,452.3,-48.6,493.0,-44.0,-60.0,-61.7,-48.0,-63.9,,-77.6,,-45.2,9.0,-70.7,False,True,False,False,True,False,,False,,True,True,False
New Jersey,16965,16371.7,16270.4,16912.2,18525.0,16779.0,16404.5,16811.3,,16195.0,,16306.0,16742.0,16396.2,-593.3,-694.6,-52.8,1560.0,-186.0,-560.5,-153.7,,-770.0,,-659.0,-223.0,-568.8,False,True,False,True,True,True,,False,,False,True,True
New Mexico,1527,1064.9,1046.8,1050.1,3484.0,1237.0,1032.0,1355.9,,1011.0,,990.7,1261.0,999.0,-462.1,-480.2,-476.9,1957.0,-290.0,-495.0,-171.1,,-516.0,,-536.3,-266.0,-528.0,False,False,False,True,False,True,,False,,False,True,False
New York,34526,33786.4,34458.9,35088.9,33916.0,34234.6,33511.0,33688.6,,33578.4,,33445.7,34367.0,33265.8,-555.6,116.9,746.9,-426.0,-107.4,-831.0,-653.4,,-763.6,,-896.3,25.0,-1076.2,True,False,True,True,False,False,,False,,False,True,False
North Carolina,5219,5150.4,4692.2,5140.2,4779.0,5119.1,4855.0,5183.2,,4172.1,,4664.1,5275.0,4256.1,-68.6,-526.8,-78.8,-440.0,-99.9,-364.0,-35.8,,-1046.9,,-554.9,56.0,-962.9,False,False,False,False,False,True,,False,,False,True,False
North Dakota,921,611.9,587.8,623.4,754.0,737.1,520.0,708.8,,320.5,,396.9,744.0,359.4,-309.1,-333.2,-297.6,-167.0,-183.9,-401.0,-212.2,,-600.5,,-524.1,-177.0,-561.6,False,True,True,True,False,True,,False,,False,True,False
Ohio,6378,6370.7,7746.7,6408.3,5801.0,5950.0,5519.5,6042.5,,5462.9,,5882.7,6424.0,5590.2,-7.3,1368.7,30.3,-577.0,-428.0,-858.5,-335.5,,-915.1,,-495.3,46.0,-787.8,False,False,False,False,False,False,,False,,False,False,False
Oklahoma,1717,1404.6,1300.8,1427.0,1535.0,1601.4,1486.0,1627.6,,1195.5,,1454.7,1413.0,1247.4,-312.4,-416.2,-290.0,-182.0,-115.6,-231.0,-89.4,,-521.5,,-262.3,-304.0,-469.6,False,True,True,True,True,True,,False,,True,True,False
Oregon,896,799.9,999.5,803.1,1413.0,740.2,710.0,831.1,,650.9,,776.5,788.0,664.8,-96.1,103.5,-92.9,517.0,-155.8,-186.0,-64.9,,-245.1,,-119.5,-108.0,-231.2,False,True,False,False,False,True,,False,,False,False,False
Pennsylvania,10234,9051.4,8672.1,9034.3,9387.0,9385.3,8886.0,9270.9,,8511.6,,8619.5,9189.0,8559.7,-1182.6,-1561.9,-1199.7,-847.0,-848.7,-1348.0,-963.1,,-1722.4,,-1614.5,-1045.0,-1674.3,False,False,True,True,False,True,,False,,False,True,False
Rhode Island,1346,1204.4,1132.1,1227.6,1266.0,1291.6,1202.0,1346.3,,1119.5,,1166.8,1229.0,0.0,-141.6,-213.9,-118.4,-80.0,-54.4,-144.0,0.3,,-226.5,,-179.2,-117.0,-1346.0,False,True,True,True,False,True,,False,,False,True,False
South Carolina,4346,4450.9,4219.0,4393.7,3876.0,4230.1,4125.0,4487.7,,3813.4,,4307.8,4218.0,3942.4,104.9,-127.0,47.7,-470.0,-115.9,-221.0,141.7,,-532.6,,-38.2,-128.0,-403.6,False,True,False,False,False,False,,False,,True,False,False
South Dakota,942,483.7,616.9,488.0,864.0,525.0,359.0,465.6,,261.8,,317.9,571.0,303.0,-458.3,-325.1,-454.0,-78.0,-417.0,-583.0,-476.4,,-680.2,,-624.1,-371.0,-639.0,True,True,True,True,False,False,,False,,False,True,False
Tennessee,4541,4148.4,5554.2,4047.0,3660.0,3806.9,3498.0,3694.2,,2940.7,,3874.6,3724.0,3045.0,-392.6,1013.2,-494.0,-881.0,-734.1,-1043.0,-846.8,,-1600.3,,-666.4,-817.0,-1496.0,False,False,False,False,False,False,,False,,False,False,False
Texas,22130,20837.9,20534.6,21000.8,30872.0,22624.8,20457.0,21587.4,,18234.4,22529.0,20144.2,21031.0,18574.3,-1011.1,-1314.4,-848.2,9023.0,775.8,-1392.0,-261.6,,-3614.6,680.0,-1704.8,-818.0,-3274.7,False,True,False,True,False,True,,False,True,False,True,False
Utah,863,674.4,1226.6,700.0,929.0,771.4,567.0,681.8,,518.4,,654.7,740.0,439.8,-188.6,363.6,-163.0,66.0,-91.6,-296.0,-181.2,,-344.6,,-208.3,-123.0,-423.2,False,True,True,True,False,True,,False,,False,True,False
Vermont,67,58.0,59.8,63.3,58.0,60.9,58.0,58.0,,58.0,,59.1,58.0,58.0,-9.0,-7.2,-3.7,-9.0,-6.1,-9.0,-9.0,,-9.0,,-7.9,-9.0,-9.0,True,True,False,True,False,False,,False,,True,False,False
Virginia,4054,4157.9,3386.5,4267.7,4036.0,4390.0,3895.0,4303.9,,3653.4,,3740.6,4127.0,3750.1,106.9,-664.5,216.7,-15.0,339.0,-156.0,252.9,,-397.6,,-310.4,76.0,-300.9,False,False,True,False,False,False,,False,,False,True,False
Washington,2714,2472.0,2422.2,2483.9,3822.0,3008.2,2386.0,2510.1,,2235.4,,2648.2,2686.0,2378.5,-257.0,-306.8,-245.1,1093.0,279.2,-343.0,-218.9,,-493.6,,-80.8,-43.0,-350.5,False,True,False,False,False,True,,False,,True,True,False
West Virginia,718,560.4,430.6,571.2,490.0,592.1,567.0,614.1,,385.8,,511.7,543.0,464.4,-157.6,-287.4,-146.8,-228.0,-125.9,-151.0,-103.9,,-332.2,,-206.3,-175.0,-253.6,False,True,False,True,True,True,,False,,False,False,False
Wisconsin,3464,2131.3,3166.7,2100.3,3487.0,2325.1,1865.0,2429.5,,1594.3,,1955.2,2238.0,1575.1,-1256.7,-221.3,-1287.7,99.0,-1062.9,-1523.0,-958.5,,-1793.7,,-1432.8,-1150.0,-1812.9,True,False,True,True,False,True,,False,,False,True,False
Wyoming,215,76.6,87.4,79.3,343.0,158.2,74.0,90.2,,53.0,,64.5,98.0,58.3,-138.4,-127.6,-135.7,128.0,-56.8,-141.0,-124.8,,-162.0,,-150.5,-117.0,-156.7,True,True,True,True,False,True,,False,,False,True,False
US,266428,248731.7,241065.3,248560.0,275455.0,255265.0,245138.0,251728.3,251821.6,224325.8,243457.0,242360.2,248552.0,233889.0,-17170.3,-24836.7,-17342.0,9553.0,-10637.0,-20764.0,-14173.7,-14080.4,-41576.2,-22445.0,-23541.8,-17350.0,-32013.0,False,False,True,True,False,True,True,False,False,False,False,False
