,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,9424,8802.6,9158.4,8830.2,8748.0,8834.5,8828.0,8862.0,8954.6,8951.0,8874.3,8599.0,8667.9,8729.1,8835.2,,8914.0,8824.9,8845.0,8594.0,8521.9,9260.5,8949.7,8818.0,8794.5,8764.0,8596.1,8766.4,,8699.9,8857.7,8504.0,,8824.2,9226.2,10371.0,8036.3,9667.0,8866.5,,8720.0,8607.6,8806.0,8891.9,8896.0,8806.7,8587.5,8456.4,8642.0,-167.4,188.4,-139.8,-222.0,-135.5,-142.0,-108.0,-15.4,-19.0,-95.7,-371.0,-302.1,-240.9,-134.8,,-56.0,-145.1,-125.0,-376.0,-448.1,290.5,-20.3,-152.0,-175.5,-206.0,-373.9,-203.6,,-270.1,-112.3,-466.0,,-145.8,256.2,1401.0,-933.7,697.0,-103.5,,-250.0,-362.4,-164.0,-78.1,-74.0,-163.3,-382.5,-513.6,-328.0,False,True,False,True,True,True,True,True,True,False,False,False,True,,True,True,True,False,False,False,True,True,False,False,False,False,,False,True,False,,True,False,False,False,False,True,,False,False,True,True,True,True,False,False,False
Hawaii,240,226.7,221.3,224.9,236.0,225.1,242.0,251.0,241.1,236.0,279.9,254.0,248.0,,238.8,,,255.1,255.0,236.0,253.4,233.0,240.2,227.0,231.3,256.0,232.9,270.0,,378.5,230.6,275.0,,,222.0,242.0,210.3,294.0,234.0,,281.2,239.8,253.0,252.7,233.0,232.3,252.0,240.3,,-13.3,-18.7,-15.1,-4.0,-14.9,2.0,11.0,1.1,-4.0,39.9,14.0,8.0,,-1.2,,,15.1,15.0,-4.0,13.4,-7.0,0.2,-13.0,-8.7,16.0,-7.1,30.0,,138.5,-9.4,35.0,,,-18.0,2.0,-29.7,54.0,-6.0,,41.2,-0.2,13.0,12.7,-7.0,-7.7,12.0,0.3,,False,False,True,False,True,True,True,True,False,False,True,,True,,,False,False,True,False,True,True,True,True,False,True,False,,False,True,False,,,False,True,False,False,True,,False,True,True,True,True,True,True,True,
Idaho,913,846.0,847.2,854.0,891.0,845.0,883.0,922.0,895.5,906.0,962.4,779.0,890.5,860.6,919.9,,872.0,875.1,880.1,898.0,767.4,847.5,952.6,946.0,902.1,917.0,924.2,901.1,,900.5,901.3,859.0,,,846.0,884.0,961.9,931.0,810.3,,896.4,938.4,853.0,833.2,898.0,898.2,865.0,751.9,883.0,-67.0,-65.8,-59.0,-22.0,-68.0,-30.0,9.0,-17.5,-7.0,49.4,-134.0,-22.5,-52.4,6.9,,-41.0,-37.9,-32.9,-15.0,-145.6,-65.5,39.6,33.0,-10.9,4.0,11.2,-11.9,,-12.5,-11.7,-54.0,,,-67.0,-29.0,48.9,18.0,-102.7,,-16.6,25.4,-60.0,-79.8,-15.0,-14.8,-48.0,-161.1,-30.0,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,True,True,True,True,False,,True,True,True,False,True,True,True,False,True
Illinois,12838,11860.9,12788.8,11834.3,12307.0,11832.8,12062.0,13635.0,12686.3,12971.0,12787.8,11913.0,11965.0,,12281.5,,11450.0,12156.6,12132.2,12234.0,11115.6,11474.0,12972.6,12454.0,12673.1,11779.0,11991.4,12097.4,12389.0,11065.6,12358.5,11250.0,,11514.7,12924.0,12535.0,10924.5,12196.0,11768.6,,11514.6,12041.8,12882.0,11716.9,12567.0,11625.2,12125.5,11005.7,11897.0,-977.1,-49.2,-1003.7,-531.0,-1005.2,-776.0,797.0,-151.7,133.0,-50.2,-925.0,-873.0,,-556.5,,-1388.0,-681.4,-705.8,-604.0,-1722.4,-1364.0,134.6,-384.0,-164.9,-1059.0,-846.6,-740.6,-449.0,-1772.4,-479.5,-1588.0,,-1323.3,86.0,-303.0,-1913.5,-642.0,-1069.4,,-1323.4,-796.2,44.0,-1121.1,-271.0,-1212.8,-712.5,-1832.3,-941.0,True,False,True,False,True,True,True,True,True,True,True,,True,,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,,False,True,True,False,True,False,,False,True,True,False,True,False,True,False,True
Indiana,6270,5386.1,5720.1,5366.2,5506.0,5372.3,5630.0,6043.0,5486.3,6019.0,6011.3,6212.0,5702.6,5672.9,5544.7,,5246.0,5791.9,5630.6,5188.0,4999.4,5281.0,6011.7,5884.0,5739.1,5279.0,5627.6,5573.7,5270.0,5542.1,5734.9,5088.0,,5208.2,5493.6,5813.0,4679.8,5936.0,5253.0,,5402.9,5645.0,5886.0,5087.7,5767.0,5346.5,5588.0,4616.7,5551.0,-624.9,-290.9,-644.8,-505.0,-638.7,-381.0,32.0,-524.7,8.0,0.3,201.0,-308.4,-338.1,-466.3,,-765.0,-219.1,-380.4,-823.0,-1011.6,-730.0,0.7,-127.0,-271.9,-732.0,-383.4,-437.3,-741.0,-468.9,-276.1,-923.0,,-802.8,-517.4,-198.0,-1331.2,-75.0,-758.0,,-608.1,-366.0,-125.0,-923.3,-244.0,-664.5,-423.0,-1394.3,-460.0,True,False,True,False,True,True,True,True,True,True,True,True,True,,False,True,True,False,False,False,True,True,True,False,True,True,False,True,True,False,,False,True,True,False,True,False,,True,True,True,False,True,False,True,False,True
Iowa,2375,2165.0,2470.9,2197.7,2329.0,2220.0,2293.0,2281.0,2351.3,2852.0,2453.2,2229.0,2216.6,2386.2,2420.5,,2205.0,2367.9,2607.8,2331.0,1997.1,2145.5,2624.6,2460.0,2487.1,2326.0,2350.0,2379.9,,1853.6,2438.6,2098.0,,2218.1,2206.3,2398.0,2298.6,2420.0,2226.0,,2156.0,2366.1,2554.0,2099.0,2547.0,2278.2,2091.0,1977.3,2268.0,-210.0,95.9,-177.3,-46.0,-155.0,-82.0,-94.0,-23.7,477.0,78.2,-146.0,-158.4,11.2,45.5,,-170.0,-7.1,232.8,-44.0,-377.9,-229.5,249.6,85.0,112.1,-49.0,-25.0,4.9,,-521.4,63.6,-277.0,,-156.9,-168.7,23.0,-76.4,45.0,-149.0,,-219.0,-8.9,179.0,-276.0,172.0,-96.8,-284.0,-397.7,-107.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,False,True,False,False,False,True,True,True,True,True,,False,True,False,,True,True,True,True,True,True,,False,True,True,False,True,True,False,False,True
Kansas,1529,1310.4,1396.4,1317.9,1411.0,1317.0,1390.0,1570.0,1396.5,1640.0,1627.9,1349.0,1365.6,1431.3,1424.0,,1415.0,1458.9,1467.5,1381.0,1248.3,1356.5,1527.4,1368.0,1409.4,1481.0,1389.3,1423.7,,1295.6,1389.8,1350.0,,,1249.2,1702.0,1095.1,1494.0,1297.1,,1449.4,1402.1,1558.0,1372.2,1422.0,1352.8,1273.0,1219.9,1323.0,-151.6,-65.6,-144.1,-51.0,-145.0,-72.0,108.0,-65.5,178.0,165.9,-113.0,-96.4,-30.7,-38.0,,-47.0,-3.1,5.5,-81.0,-213.7,-105.5,65.4,-94.0,-52.6,19.0,-72.7,-38.3,,-166.4,-72.2,-112.0,,,-212.8,240.0,-366.9,32.0,-164.9,,-12.6,-59.9,96.0,-89.8,-40.0,-109.2,-189.0,-242.1,-139.0,True,True,True,True,True,True,True,False,False,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,False,False,False,True,False,,True,True,True,True,True,True,False,False,True
Kentucky,1885,1782.1,1803.1,1800.2,1849.0,1789.1,1832.0,2054.0,1908.1,1973.0,2019.9,1828.0,1826.9,1940.6,1911.1,,1842.0,1922.2,1887.7,1903.0,1779.8,1849.5,1937.4,1790.0,1855.7,2023.0,1894.1,1913.1,2136.5,1717.0,1857.9,1787.0,,,1784.3,1894.0,1729.8,1773.0,1802.0,,1835.3,1909.1,1866.0,1774.3,1879.0,1820.7,1802.0,1683.6,1796.0,-102.9,-81.9,-84.8,-36.0,-95.9,-53.0,169.0,23.1,88.0,134.9,-57.0,-58.1,55.6,26.1,,-43.0,37.2,2.7,18.0,-105.2,-35.5,52.4,-95.0,-29.3,138.0,9.1,28.1,251.5,-168.0,-27.1,-98.0,,,-100.7,9.0,-155.2,-112.0,-83.0,,-49.7,24.1,-19.0,-110.7,-6.0,-64.3,-83.0,-201.4,-89.0,True,True,True,True,True,False,True,True,False,True,True,True,True,,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,True,,,True,True,False,False,True,,True,True,True,False,True,True,True,False,True
Louisiana,6391,6350.3,6343.0,6307.0,6248.0,6307.5,6307.0,6288.0,6244.9,6364.0,6333.9,6154.0,6292.5,6347.6,6280.3,,6218.0,6345.4,6221.5,6066.0,6171.9,6280.0,6316.9,6353.0,6310.6,6255.0,6336.2,6332.7,,6280.2,6310.7,6112.0,,6287.8,6238.1,6329.0,5668.3,6394.0,6348.5,,6298.6,6347.5,6289.0,6412.8,6282.0,6313.4,6292.0,6028.7,6326.0,-40.7,-48.0,-84.0,-143.0,-83.5,-84.0,-103.0,-146.1,-27.0,-57.1,-237.0,-98.5,-43.4,-110.7,,-173.0,-45.6,-169.5,-325.0,-219.1,-111.0,-74.1,-38.0,-80.4,-136.0,-54.8,-58.3,,-110.8,-80.3,-279.0,,-103.2,-152.9,-62.0,-722.7,3.0,-42.5,,-92.4,-43.5,-102.0,21.8,-109.0,-77.6,-99.0,-362.3,-65.0,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False,False,False,True,False,,False,False,False,True,False,False,False,False,False
Maine,191,166.3,281.6,164.1,169.0,163.0,167.0,196.0,173.2,232.0,160.0,170.0,167.2,180.5,186.6,,177.5,156.7,166.7,175.0,165.6,151.0,184.0,158.0,162.9,196.0,166.3,182.4,,161.6,173.7,155.0,,,167.0,175.0,177.4,175.0,153.9,,152.4,182.9,179.0,159.9,178.0,164.6,160.0,156.5,,-24.7,90.6,-26.9,-22.0,-28.0,-24.0,5.0,-17.8,41.0,-31.0,-21.0,-23.8,-10.5,-4.4,,-13.5,-34.3,-24.3,-16.0,-25.4,-40.0,-7.0,-33.0,-28.1,5.0,-24.7,-8.6,,-29.4,-17.3,-36.0,,,-24.0,-16.0,-13.6,-16.0,-37.1,,-38.6,-8.1,-12.0,-31.1,-13.0,-26.4,-31.0,-34.5,,False,False,True,False,True,True,True,False,False,True,True,True,True,,True,False,True,True,False,False,True,False,False,True,True,True,,False,True,False,,,True,True,True,True,False,,False,True,True,False,True,False,False,False,
Maryland,4602,4383.4,4413.9,4363.6,4441.0,4363.4,4424.0,4667.0,4442.8,4635.0,4441.7,4356.0,4412.8,4410.7,4451.4,,4389.0,4424.4,4419.3,4386.0,4393.2,4368.5,4446.9,4428.0,4456.6,4413.0,4409.4,4431.1,,4475.2,4438.5,4439.0,,4384.3,4342.7,4428.0,4354.1,4490.0,4342.5,,4391.9,4425.3,4466.0,4381.2,4444.0,4424.4,4490.5,4302.1,4446.0,-218.6,-188.1,-238.4,-161.0,-238.6,-178.0,65.0,-159.2,33.0,-160.3,-246.0,-189.2,-191.3,-150.6,,-213.0,-177.6,-182.7,-216.0,-208.8,-233.5,-155.1,-174.0,-145.4,-189.0,-192.6,-170.9,,-126.8,-163.5,-163.0,,-217.7,-259.3,-174.0,-247.9,-112.0,-259.5,,-210.1,-176.7,-136.0,-220.8,-158.0,-177.6,-111.5,-299.9,-156.0,True,False,True,False,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,,True,False,True,False,True,False,,True,True,True,False,True,True,True,False,True
Massachusetts,10676,10537.6,10570.9,10539.9,10536.0,10545.5,10623.0,10800.0,10667.3,11035.0,10995.3,10648.0,10583.0,10738.2,10611.3,,10518.0,10768.0,10780.0,10510.0,10368.8,10487.5,10603.4,10623.0,10648.2,10446.0,10665.1,10670.1,,10407.4,10679.5,10423.5,,10569.6,10421.7,10821.0,11336.8,10941.0,10405.0,,10641.3,10681.3,10798.0,10527.0,10767.0,10611.5,10593.0,10337.3,10412.0,-138.4,-105.1,-136.1,-140.0,-130.5,-53.0,124.0,-8.7,359.0,319.3,-28.0,-93.0,62.2,-64.7,,-158.0,92.0,104.0,-166.0,-307.2,-188.5,-72.6,-53.0,-27.8,-230.0,-10.9,-5.9,,-268.6,3.5,-252.5,,-106.4,-254.3,145.0,660.8,265.0,-271.0,,-34.7,5.3,122.0,-149.0,91.0,-64.5,-83.0,-338.7,-264.0,True,True,False,True,True,True,True,False,False,True,True,True,True,,False,True,True,False,False,False,True,True,True,False,True,True,,False,True,False,,True,False,False,False,False,False,,True,True,True,False,True,True,True,False,False
Michigan,9467,8647.9,8953.2,8689.4,8883.0,8683.2,8893.0,9630.0,8892.2,9803.0,9567.1,9241.0,8677.6,,9129.4,,8609.0,9023.7,9356.3,8693.0,8364.4,8537.0,9540.7,8934.0,8910.6,8595.0,8987.2,8897.4,10068.5,8308.8,9028.3,8444.0,,8347.9,9260.0,9156.0,8444.5,8409.0,8581.0,,8576.1,9003.5,9566.0,8446.5,9155.0,8683.9,8565.5,8050.3,8779.0,-819.1,-513.8,-777.6,-584.0,-783.8,-574.0,163.0,-574.8,336.0,100.1,-226.0,-789.4,,-337.6,,-858.0,-443.3,-110.7,-774.0,-1102.6,-930.0,73.7,-533.0,-556.4,-872.0,-479.8,-569.6,601.5,-1158.2,-438.7,-1023.0,,-1119.1,-207.0,-311.0,-1022.5,-1058.0,-886.0,,-890.9,-463.5,99.0,-1020.5,-312.0,-783.1,-901.5,-1416.7,-688.0,True,True,True,True,True,True,True,True,True,True,True,,True,,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,,False,True,True,False,False,False,,False,True,True,False,True,True,False,False,True
Minnesota,3580,3227.1,3647.5,3184.6,3443.0,3182.9,3378.0,3443.0,3327.6,3782.0,3431.1,3335.0,3261.5,,3577.7,,3378.0,3409.8,3418.8,3235.0,2923.8,3162.0,3571.8,3823.0,3735.1,3214.0,3285.3,3451.3,3449.0,3316.0,3395.8,3096.0,,3136.0,3528.1,3413.0,2939.6,3887.0,3141.5,,3163.8,3302.3,3985.0,3126.8,3523.0,3265.7,3666.0,2817.9,3377.0,-352.9,67.5,-395.4,-137.0,-397.1,-202.0,-137.0,-252.4,202.0,-148.9,-245.0,-318.5,,-2.3,,-202.0,-170.2,-161.2,-345.0,-656.2,-418.0,-8.2,243.0,155.1,-366.0,-294.7,-128.7,-131.0,-264.0,-184.2,-484.0,,-444.0,-51.9,-167.0,-640.4,307.0,-438.5,,-416.2,-277.7,405.0,-453.2,-57.0,-314.3,86.0,-762.1,-203.0,True,False,True,False,True,True,True,True,True,True,True,,True,,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,,False,True,True,False,True,False,,False,True,False,False,True,True,True,False,True
Mississippi,3779,3714.4,3761.6,3733.3,3687.0,3729.9,3722.0,3817.0,3709.8,3685.0,3711.4,3605.0,3701.9,3663.7,3744.3,,3650.0,3690.2,3622.9,3715.0,3543.1,3642.0,3770.1,3705.0,3748.1,3710.0,3741.9,3767.1,,3715.6,3750.7,3952.0,,3700.8,3786.3,3774.0,3815.2,3733.0,3763.2,,3650.9,3757.9,3762.0,3751.1,3725.0,3713.4,3678.0,3631.2,3743.0,-64.6,-17.4,-45.7,-92.0,-49.1,-57.0,38.0,-69.2,-94.0,-67.6,-174.0,-77.1,-115.3,-34.7,,-129.0,-88.8,-156.1,-64.0,-235.9,-137.0,-8.9,-74.0,-30.9,-69.0,-37.1,-11.9,,-63.4,-28.3,173.0,,-78.2,7.3,-5.0,36.2,-46.0,-15.8,,-128.1,-21.1,-17.0,-27.9,-54.0,-65.6,-101.0,-147.8,-36.0,True,True,False,True,True,True,False,False,False,False,False,False,True,,False,False,False,True,False,False,True,False,True,False,True,True,,True,True,False,,False,True,True,True,True,True,,False,True,True,True,True,False,False,False,True
Missouri,3873,3527.9,3593.7,3499.5,3917.0,3536.9,3723.0,4388.0,3714.8,4338.0,4078.0,3646.0,3736.1,3730.8,3664.9,,3824.0,4178.1,3805.2,3580.0,3446.3,3693.0,4064.9,3605.0,3733.7,3762.0,3661.2,3945.0,,3736.7,3988.1,3718.0,,3767.4,3465.5,3891.0,3813.3,4005.0,3393.8,,3961.2,3659.9,3986.0,3603.7,3990.0,3735.9,3607.5,3197.6,3719.0,-325.1,-259.3,-353.5,64.0,-316.1,-130.0,535.0,-138.2,485.0,225.0,-207.0,-116.9,-122.2,-188.1,,-29.0,325.1,-47.8,-273.0,-406.7,-160.0,211.9,-248.0,-119.3,-91.0,-191.8,92.0,,-116.3,135.1,-135.0,,-85.6,-387.5,38.0,-39.7,152.0,-459.2,,108.2,-193.1,133.0,-249.3,137.0,-117.1,-245.5,-655.4,-134.0,True,False,True,True,True,False,True,False,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,True,False,,True,True,True,True,True,True,True,False,True
Montana,669,684.6,651.0,656.9,629.0,655.0,713.0,600.0,656.9,693.0,819.9,653.0,841.6,627.5,730.7,,706.0,797.9,709.4,668.0,493.2,687.5,776.5,853.0,705.5,710.0,788.5,709.3,,675.8,749.8,661.0,,,794.0,722.0,823.5,753.0,589.3,,775.3,803.9,717.0,803.8,732.0,699.8,724.5,544.5,698.0,15.6,-18.0,-12.1,-40.0,-14.0,44.0,-69.0,-12.1,24.0,150.9,-16.0,172.6,-41.5,61.7,,37.0,128.9,40.4,-1.0,-175.8,18.5,107.5,184.0,36.5,41.0,119.5,40.3,,6.8,80.8,-8.0,,,125.0,53.0,154.5,84.0,-79.7,,106.3,134.9,48.0,134.8,63.0,30.8,55.5,-124.5,29.0,False,True,False,True,False,False,True,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,True,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Nebraska,989,843.0,890.1,854.2,955.0,856.0,919.0,1185.0,940.1,1017.0,1004.6,911.0,930.9,937.2,987.7,,875.0,954.6,946.0,939.0,805.5,889.5,1048.1,1022.0,1013.6,1034.0,926.1,929.0,,805.3,960.2,844.0,,,770.9,934.0,962.9,981.0,748.0,,918.7,942.8,976.0,835.5,926.0,916.9,870.0,756.2,876.0,-146.0,-98.9,-134.8,-34.0,-133.0,-70.0,196.0,-48.9,28.0,15.6,-78.0,-58.1,-51.8,-1.3,,-114.0,-34.4,-43.0,-50.0,-183.5,-99.5,59.1,33.0,24.6,45.0,-62.9,-60.0,,-183.7,-28.8,-145.0,,,-218.1,-55.0,-26.1,-8.0,-241.0,,-70.3,-46.2,-13.0,-153.5,-63.0,-72.1,-119.0,-232.8,-113.0,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,False,True,True,True,False,,True,True,True,False,True,True,True,False,True
Nevada,2119,2051.0,2362.3,2074.6,2093.0,2069.1,2071.0,2135.0,2084.6,2021.0,2020.6,1944.0,2003.2,2075.7,2068.6,,1983.0,2030.5,1973.4,2044.0,1958.4,1998.0,2089.8,2096.0,2123.5,2023.0,2084.7,2085.5,,2098.8,2150.2,1948.0,,2036.9,2194.0,2116.0,1887.6,2101.0,2086.5,,1934.0,2099.4,2130.0,2053.1,2171.0,2071.0,2011.0,1956.4,2032.0,-68.0,243.3,-44.4,-26.0,-49.9,-48.0,16.0,-34.4,-98.0,-98.4,-175.0,-115.8,-43.3,-50.4,,-136.0,-88.5,-145.6,-75.0,-160.6,-121.0,-29.2,-23.0,4.5,-96.0,-34.3,-33.5,,-20.2,31.2,-171.0,,-82.1,75.0,-3.0,-231.4,-18.0,-32.5,,-185.0,-19.6,11.0,-65.9,52.0,-48.0,-108.0,-162.6,-87.0,False,True,True,True,True,True,True,False,False,False,False,True,True,,False,False,False,False,False,False,True,True,True,False,True,True,,True,True,False,,False,False,True,False,True,True,,False,True,True,True,True,True,False,False,False
New Hampshire,523,506.1,508.2,506.9,516.0,507.6,525.0,544.0,535.2,524.0,549.5,533.0,545.3,547.7,558.1,,537.0,531.6,563.2,520.0,510.3,504.5,534.6,522.0,510.5,536.0,505.7,539.1,,526.5,532.6,520.0,,,512.0,522.0,548.8,526.0,501.6,,530.7,522.4,542.0,518.0,518.0,513.2,513.0,499.6,510.0,-16.9,-14.8,-16.1,-7.0,-15.4,2.0,21.0,12.2,1.0,26.5,10.0,22.3,24.7,35.1,,14.0,8.6,40.2,-3.0,-12.7,-18.5,11.6,-1.0,-12.5,13.0,-17.3,16.1,,3.5,9.6,-3.0,,,-11.0,-1.0,25.8,3.0,-21.4,,7.7,-0.6,19.0,-5.0,-5.0,-9.8,-10.0,-23.4,-13.0,True,True,True,True,True,False,True,True,False,True,False,False,False,,True,True,False,True,True,False,True,True,True,True,False,True,,True,True,True,,,True,True,False,True,False,,True,True,False,True,True,True,True,False,True
New Jersey,16965,16643.3,16650.0,16636.4,16827.0,16671.6,16766.0,17193.0,16851.4,16894.0,16860.8,17076.0,16733.7,16889.6,17003.4,,16775.0,16759.7,17063.0,16725.0,16716.5,16596.0,16873.9,16787.0,16779.2,16729.0,16740.9,16778.7,,16754.3,16757.9,16637.0,,16604.0,16473.0,16779.0,22424.8,16797.0,16620.2,,16679.9,16756.1,16766.0,17044.1,16757.0,16694.4,16882.0,16503.0,16865.0,-321.7,-315.0,-328.6,-138.0,-293.4,-199.0,228.0,-113.6,-71.0,-104.2,111.0,-231.3,-75.4,38.4,,-190.0,-205.3,98.0,-240.0,-248.5,-369.0,-91.1,-178.0,-185.8,-236.0,-224.1,-186.3,,-210.7,-207.1,-328.0,,-361.0,-492.0,-186.0,5459.8,-168.0,-344.8,,-285.1,-208.9,-199.0,79.1,-208.0,-270.6,-83.0,-462.0,-100.0,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,False,,False,False,True,False,True,False,,True,True,True,True,True,True,True,False,True
New Mexico,1527,1380.9,1498.7,1358.3,1374.0,1362.0,1388.0,1468.0,1406.4,1397.0,1427.6,1207.0,1374.7,1398.3,1465.7,,1332.0,1384.5,1306.4,1333.0,1206.2,1345.0,1513.6,1595.0,1435.1,1302.0,1387.3,1383.5,,1296.9,1394.0,1207.0,,,1492.9,1428.0,3400.7,1514.0,1341.6,,1301.5,1403.9,1458.0,1314.3,1455.0,1366.5,1523.0,1181.9,1645.0,-146.1,-28.3,-168.7,-153.0,-165.0,-139.0,-59.0,-120.6,-130.0,-99.4,-320.0,-152.3,-128.7,-61.3,,-195.0,-142.5,-220.6,-194.0,-320.8,-182.0,-13.4,68.0,-91.9,-225.0,-139.7,-143.5,,-230.1,-133.0,-320.0,,,-34.1,-99.0,1873.7,-13.0,-185.4,,-225.5,-123.1,-69.0,-212.7,-72.0,-160.5,-4.0,-345.1,118.0,True,False,False,False,True,True,True,True,True,False,False,True,True,,False,True,False,False,False,False,True,True,True,False,True,True,,False,True,False,,,True,True,False,True,False,,False,True,True,False,True,False,True,False,True
