,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Minnesota,3580,2612.3,2865.4,2591.1,3237.4,2794.1,2976.0,,2687.0,2767.7,2821.8,2519.5,,,2634.3,4006.3,2817.0,2354.7,-967.7,-714.6,-988.9,-342.6,-785.9,-604.0,,-893.0,-812.3,-758.2,-1060.5,,,-945.7,426.3,-763.0,-1225.3,True,False,True,True,True,,True,True,True,False,,,True,True,True,False
Mississippi,3779,3704.4,3674.9,3691.1,4126.5,3707.1,3411.0,,3814.0,4074.1,3714.3,3462.3,,,3679.5,3905.6,3947.0,3489.8,-74.6,-104.1,-87.9,347.5,-71.9,-368.0,,35.0,295.1,-64.7,-316.7,,,-99.5,126.6,168.0,-289.2,False,False,False,True,False,,True,False,True,False,,,False,False,False,False
Missouri,3844,4056.0,5542.4,4152.7,3378.6,3423.4,3265.0,,3097.0,3722.5,3102.7,3123.6,,,2802.6,4233.4,4327.0,2650.9,212.0,1698.4,308.7,-465.4,-420.6,-579.0,,-747.0,-121.5,-741.3,-720.4,,,-1041.4,389.4,483.0,-1193.1,False,False,False,False,False,,False,True,False,False,,,False,False,False,False
Montana,669,367.7,612.1,370.0,1410.0,569.0,369.0,,349.0,492.9,592.1,359.0,,,331.9,630.5,426.0,259.6,-301.3,-56.9,-299.0,741.0,-100.0,-300.0,,-320.0,-176.1,-76.9,-310.0,,,-337.1,-38.5,-243.0,-409.4,True,True,False,True,True,,False,True,True,False,,,False,True,True,False
Nebraska,989,642.4,634.9,672.7,756.3,754.3,761.0,,701.0,697.5,707.8,651.0,,,605.3,947.1,778.0,588.3,-346.6,-354.1,-316.3,-232.7,-234.7,-228.0,,-288.0,-291.5,-281.2,-338.0,,,-383.7,-41.9,-211.0,-400.7,False,True,True,True,True,,True,True,True,True,,,False,True,True,False
Nevada,2119,1921.6,2046.3,1932.0,3076.5,2122.8,1864.0,,1832.0,2123.3,1968.5,1853.4,,,2104.8,2166.7,2109.0,1875.1,-197.4,-72.7,-187.0,957.5,3.8,-255.0,,-287.0,4.3,-150.5,-265.6,,,-14.2,47.7,-10.0,-243.9,True,True,False,True,False,,False,True,True,False,,,True,True,True,False
New Hampshire,523,545.1,648.0,546.7,610.6,470.7,523.0,,481.0,497.8,534.6,484.6,,,506.0,840.8,636.0,469.1,22.1,125.0,23.7,87.6,-52.3,0.0,,-42.0,-25.2,11.6,-38.4,,,-17.0,317.8,113.0,-53.9,False,False,False,False,True,,False,False,True,False,,,True,False,False,False
New Jersey,16965,16434.6,16455.4,16803.4,16755.8,16763.5,16458.0,,16402.5,16758.4,16935.1,16398.7,,,16357.6,19230.0,16579.0,16396.5,-530.4,-509.6,-161.6,-209.2,-201.5,-507.0,,-562.5,-206.6,-29.9,-566.3,,,-607.4,2265.0,-386.0,-568.5,True,True,True,True,True,,False,True,True,False,,,False,False,True,False
New Mexico,1527,1041.3,999.2,1026.4,2359.5,1272.1,1003.0,,1036.0,1419.5,1251.2,1063.2,,,991.7,1644.3,1263.0,1005.6,-485.7,-527.8,-500.6,832.5,-254.9,-524.0,,-491.0,-107.5,-275.8,-463.8,,,-535.3,117.3,-264.0,-521.4,False,False,False,True,False,,False,True,True,True,,,False,True,True,False
New York,34514,33904.3,34578.7,34786.0,35563.1,34113.8,33698.0,,33657.0,34626.1,34696.7,33511.1,,,33536.1,39294.2,34679.0,33334.8,-434.7,239.7,447.0,1224.1,-225.2,-641.0,,-682.0,287.1,357.7,-827.9,,,-802.9,4955.2,340.0,-1004.2,True,False,False,True,False,,False,True,True,False,,,False,False,True,False
North Carolina,5219,4702.6,4425.2,4716.6,6786.4,5084.6,4622.0,,4932.0,5921.7,5241.4,4443.7,,,4630.5,5503.6,5408.0,4341.4,-516.4,-793.8,-502.4,1567.4,-134.4,-597.0,,-287.0,702.7,22.4,-775.3,,,-588.5,284.6,189.0,-877.6,False,True,False,True,False,,True,False,True,False,,,False,True,True,False
North Dakota,921,769.0,992.7,791.0,858.7,757.4,547.0,,598.0,751.6,596.4,657.3,,,450.5,644.1,947.0,446.3,-152.0,71.7,-130.0,-62.3,-163.6,-374.0,,-323.0,-169.4,-324.6,-263.7,,,-470.5,-276.9,26.0,-474.7,True,True,True,False,False,,False,False,False,False,,,False,False,True,False
Ohio,6378,5506.4,5463.2,5533.5,6710.1,6068.5,5834.0,,5884.0,5872.6,6331.7,5550.5,,,5643.0,7726.7,5798.0,5566.3,-871.6,-914.8,-844.5,332.1,-309.5,-544.0,,-494.0,-505.4,-46.3,-827.5,,,-735.0,1348.7,-580.0,-811.7,False,True,True,True,True,,True,True,True,True,,,True,False,True,True
Oklahoma,1717,1420.3,1408.1,1402.8,1325.6,1525.7,1568.0,,1554.0,1522.3,1431.7,1285.9,,,1456.0,1886.5,1404.0,1274.0,-296.7,-308.9,-314.2,-391.4,-191.3,-149.0,,-163.0,-194.7,-285.3,-431.1,,,-261.0,169.5,-313.0,-443.0,False,False,False,True,True,,True,True,True,False,,,True,True,False,False
Oregon,896,784.1,1095.1,794.9,1094.9,788.0,722.0,,733.0,860.4,827.1,715.4,,,784.9,968.8,903.0,686.0,-111.9,199.1,-101.1,198.9,-108.0,-174.0,,-163.0,-35.6,-68.9,-180.6,,,-111.1,72.8,7.0,-210.0,False,True,False,True,False,,False,True,True,False,,,True,True,True,False
Pennsylvania,10234,9255.7,9934.4,9357.4,9726.1,9312.9,8760.0,,9011.0,9723.8,9591.1,8853.7,,,8879.0,12117.6,9567.0,8659.3,-978.3,-299.6,-876.6,-507.9,-921.1,-1474.0,,-1223.0,-510.2,-642.9,-1380.3,,,-1355.0,1883.6,-667.0,-1574.7,True,True,True,True,False,,False,True,True,False,,,False,False,True,False
Rhode Island,1346,1212.3,1163.5,1227.5,1444.5,1243.3,1180.0,,1201.0,1239.4,1296.4,1190.0,,,1160.4,1355.7,1286.0,0.0,-133.7,-182.5,-118.5,98.5,-102.7,-166.0,,-145.0,-106.6,-49.6,-156.0,,,-185.6,9.7,-60.0,-1346.0,False,True,True,True,False,,False,True,True,False,,,False,True,True,False
South Carolina,4346,4230.9,4521.7,4315.1,3937.0,4136.0,4087.0,,4235.0,4465.5,4087.5,3935.6,,,4280.9,4405.8,4169.0,4000.7,-115.1,175.7,-30.9,-409.0,-210.0,-259.0,,-111.0,119.5,-258.5,-410.4,,,-65.1,59.8,-177.0,-345.3,False,True,False,False,False,,True,False,False,False,,,True,True,False,False
South Dakota,942,546.6,880.9,552.0,1161.4,580.7,477.0,,454.0,602.4,600.5,496.1,,,295.0,640.9,657.0,350.5,-395.4,-61.1,-390.0,219.4,-361.3,-465.0,,-488.0,-339.6,-341.5,-445.9,,,-647.0,-301.1,-285.0,-591.5,True,True,True,True,False,,False,True,True,False,,,False,True,True,False
Tennessee,4541,4069.9,5098.5,4142.5,4231.7,3887.9,3598.0,,3935.0,4004.4,4020.5,3621.9,,,3980.9,3718.5,4405.0,3239.0,-471.1,557.5,-398.5,-309.3,-653.1,-943.0,,-606.0,-536.6,-520.5,-919.1,,,-560.1,-822.5,-136.0,-1302.0,False,True,True,False,False,,False,False,False,False,,,False,False,True,False
Texas,21788,21435.0,23064.1,21474.3,20772.8,21775.7,19088.0,,20495.0,20976.5,19688.4,18707.9,,18955.0,20490.5,20473.1,20687.0,19166.0,-352.0,1277.1,-312.7,-1014.2,-11.3,-2699.0,,-1292.0,-810.5,-2098.6,-3079.1,,-2832.0,-1296.5,-1313.9,-1100.0,-2621.0,False,True,False,True,False,,False,False,False,False,,False,False,False,False,False
Utah,863,784.4,879.5,748.0,788.8,869.2,636.0,,706.0,684.3,628.1,667.8,,,696.2,903.9,801.0,477.4,-78.6,16.5,-115.0,-74.2,6.2,-227.0,,-157.0,-178.7,-234.9,-195.2,,,-166.8,40.9,-62.0,-385.6,True,False,True,True,False,,False,False,False,False,,,False,True,True,False
Vermont,67,58.0,59.7,62.0,85.6,61.2,59.0,,58.0,58.0,59.0,62.6,,,58.8,82.1,58.0,57.9,-9.0,-7.3,-5.0,18.6,-5.8,-8.0,,-9.0,-9.0,-8.0,-4.4,,,-8.2,15.1,-9.0,-9.1,True,True,False,True,True,,False,False,True,True,,,True,False,False,False
Virginia,4054,3937.9,3626.2,3946.8,3912.5,4147.8,3631.0,,3829.0,4217.8,4081.8,3836.2,,,3692.5,4705.9,4409.0,3775.9,-113.1,-424.8,-104.2,-138.5,96.8,-420.0,,-222.0,166.8,30.8,-214.8,,,-358.5,654.9,358.0,-275.1,False,True,False,True,False,,False,False,True,False,,,False,False,False,False
Washington,2703,2519.1,2512.7,2526.8,2989.0,2644.4,2647.0,,2476.0,2789.6,2622.4,2301.7,,,2558.7,2638.7,2562.0,2402.8,-183.9,-190.3,-176.2,286.0,-58.6,-56.0,,-227.0,86.6,-80.6,-401.3,,,-144.3,-64.3,-141.0,-300.2,False,True,False,True,True,,False,True,True,False,,,True,True,True,False
West Virginia,718,529.0,535.0,554.9,440.6,555.7,619.0,,559.0,563.5,578.9,509.6,,,522.7,651.9,554.0,472.3,-189.0,-183.0,-163.1,-277.4,-162.3,-99.0,,-159.0,-154.5,-139.1,-208.4,,,-195.3,-66.1,-164.0,-245.7,True,True,False,True,True,,True,True,True,False,,,False,True,True,False
Wisconsin,3464,2068.4,2387.6,2060.2,2215.6,2355.3,2068.0,,2004.0,2285.2,2190.0,1857.3,,,1913.8,3172.8,2053.0,1663.6,-1264.6,-945.4,-1272.8,-1117.4,-977.7,-1265.0,,-1329.0,-1047.8,-1143.0,-1475.7,,,-1419.2,-160.2,-1280.0,-1669.4,True,False,True,True,False,,False,True,True,False,,,False,True,False,False
Wyoming,215,60.9,68.3,66.3,89.9,102.8,90.0,,76.0,74.8,91.8,79.8,,,65.1,137.4,62.0,54.9,-154.1,-146.7,-148.7,-125.1,-112.2,-125.0,,-139.0,-140.2,-123.2,-135.2,,,-149.9,-77.6,-153.0,-160.1,True,True,True,True,True,,True,True,True,True,,,True,True,True,False
US,266047,249376.0,251193.6,249279.0,259124.3,253660.7,238475.0,257353.0,245852.0,255164.8,248024.0,232624.0,257084.1,245923.0,244934.6,278475.4,253027.0,236735.3,-16361.0,-14543.4,-16458.0,-6612.7,-12076.3,-27262.0,-8384.0,-19885.0,-10572.2,-17713.0,-33113.0,-8652.9,-19814.0,-20802.4,12738.4,-12710.0,-29001.7,True,False,True,True,False,True,False,True,False,False,True,False,False,True,True,False
