,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,9424,8644.4,8817.4,8641.2,8611.0,8663.4,8701.0,8785.0,8647.5,9282.0,9006.7,8533.0,8585.6,8696.5,8819.6,,8889.0,8757.6,8758.1,8594.0,8447.0,8676.0,8955.7,8459.0,8653.1,8693.0,8516.4,8697.6,,8503.6,8802.9,8919.0,,9076.1,8190.8,,8777.0,8036.3,8623.0,8622.1,,8642.6,8522.7,8785.0,8847.2,8875.0,8722.9,8418.5,8388.8,8376.0,-779.6,-606.6,-782.8,-813.0,-760.6,-723.0,-639.0,-776.5,-142.0,-417.3,-891.0,-838.4,-727.5,-604.4,,-535.0,-666.4,-665.9,-830.0,-977.0,-748.0,-468.3,-965.0,-770.9,-731.0,-907.6,-726.4,,-920.4,-621.1,-505.0,,-347.9,-1233.2,,-647.0,-1387.7,-801.0,-801.9,,-781.4,-901.3,-639.0,-576.8,-549.0,-701.1,-1005.5,-1035.2,-1048.0,True,False,False,True,True,True,True,True,True,False,False,True,True,,True,True,True,False,False,True,True,False,True,True,False,True,,False,True,True,,True,False,,True,False,False,False,,False,False,True,True,True,True,False,False,False
Hawaii,240,246.0,412.8,253.2,265.0,247.3,265.0,224.0,258.2,,305.5,266.0,268.6,,253.8,,,307.5,277.6,274.0,306.3,275.0,275.8,253.0,241.8,276.0,238.1,291.6,,484.9,254.8,289.0,,,224.4,,257.0,209.9,310.0,234.9,,362.4,244.0,255.0,278.5,241.0,275.4,323.0,250.2,248.0,6.0,172.8,13.2,25.0,7.3,25.0,-16.0,18.2,,65.5,26.0,28.6,,13.8,,,67.5,37.6,34.0,66.3,35.0,35.8,13.0,1.8,36.0,-1.9,51.6,,244.9,14.8,49.0,,,-15.6,,17.0,-30.1,70.0,-5.1,,122.4,4.0,15.0,38.5,1.0,35.4,83.0,10.2,8.0,False,False,False,False,False,False,False,,False,False,False,,False,,,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,,,False,,False,False,False,True,,False,True,False,False,True,False,False,False,False
Idaho,913,849.9,1133.8,862.6,880.0,857.0,877.0,878.0,896.7,878.0,850.2,749.0,759.6,820.8,857.0,,835.0,886.1,789.6,925.0,743.2,844.5,964.8,974.0,865.7,885.0,945.4,880.4,,874.5,877.4,901.0,,,921.4,,980.0,969.9,858.0,830.6,,905.0,963.7,957.0,805.5,849.0,827.7,824.0,704.9,911.0,-63.1,220.8,-50.4,-33.0,-56.0,-36.0,-35.0,-16.3,-35.0,-62.8,-164.0,-153.4,-92.2,-56.0,,-78.0,-26.9,-123.4,12.0,-169.8,-68.5,51.8,61.0,-47.3,-28.0,32.4,-32.6,,-38.5,-35.6,-12.0,,,8.4,,67.0,56.9,-55.0,-82.4,,-8.0,50.7,44.0,-107.5,-64.0,-85.3,-89.0,-208.1,-2.0,False,True,True,True,True,True,True,True,True,False,False,False,True,,False,True,False,True,False,False,True,True,True,True,True,True,,True,True,True,,,True,,False,True,True,False,,True,True,True,False,False,False,False,False,True
Illinois,12838,11232.1,12235.2,10985.7,11558.0,10966.4,11542.0,12170.0,11426.6,14017.0,12669.2,11436.0,11248.7,11882.4,11960.4,,11179.0,11676.5,11862.5,10950.0,10859.8,11017.0,12647.9,11892.0,12003.9,10953.0,11282.7,11629.9,11951.5,10939.0,11252.9,10810.0,,11348.1,10969.6,,11788.0,10454.3,12203.0,10657.0,,11741.7,11275.0,12482.0,11081.5,11693.0,10940.9,11188.0,10301.0,11094.0,-1605.9,-602.8,-1852.3,-1280.0,-1871.6,-1296.0,-668.0,-1411.4,1179.0,-168.8,-1402.0,-1589.3,-955.6,-877.6,,-1659.0,-1161.5,-975.5,-1888.0,-1978.2,-1821.0,-190.1,-946.0,-834.1,-1885.0,-1555.3,-1208.1,-886.5,-1899.0,-1585.1,-2028.0,,-1489.9,-1868.4,,-1050.0,-2383.7,-635.0,-2181.0,,-1096.3,-1563.0,-356.0,-1756.5,-1145.0,-1897.1,-1650.0,-2537.0,-1744.0,True,False,True,False,True,True,True,True,True,True,True,True,True,,False,True,True,False,False,False,True,True,True,False,True,True,True,False,True,False,,True,False,,True,False,True,False,,True,True,True,False,True,False,False,False,False
Indiana,6270,5266.6,5647.2,5185.7,5196.0,5187.7,5457.0,5710.0,5271.5,6118.0,5917.5,6135.0,5190.1,5585.9,5591.1,,5118.0,5569.0,5457.2,5110.0,4841.2,5111.5,6068.0,5681.0,5514.2,5060.0,5258.2,5358.9,5090.0,5408.5,5451.7,4885.0,,5040.1,4787.7,,5486.0,4599.1,5711.0,4962.7,,5578.8,5279.3,5648.0,4903.3,5699.0,5193.3,5957.0,4386.3,5404.0,-823.4,-442.8,-904.3,-894.0,-902.3,-633.0,-380.0,-818.5,28.0,-172.5,45.0,-899.9,-504.1,-498.9,,-972.0,-521.0,-632.8,-980.0,-1248.8,-978.5,-22.0,-409.0,-575.8,-1030.0,-831.8,-731.1,-1000.0,-681.5,-638.3,-1205.0,,-1049.9,-1302.3,,-604.0,-1490.9,-379.0,-1127.3,,-511.2,-810.7,-442.0,-1186.7,-391.0,-896.7,-133.0,-1703.7,-686.0,True,False,False,False,True,True,True,True,True,True,False,True,True,,False,True,True,False,False,False,True,True,True,False,False,True,False,True,True,False,,False,False,,True,False,True,False,,True,True,True,False,True,False,True,False,True
Iowa,2375,2111.0,2351.0,2035.0,2168.0,2043.9,2154.0,2058.0,2108.2,2531.0,2319.5,2103.0,2112.3,2073.3,2268.5,,2110.0,2228.6,2259.9,2273.0,1925.6,2093.5,2164.5,2397.0,2445.8,2218.0,2065.3,2214.9,,2169.5,2316.4,2056.0,,2169.9,2244.1,,2150.0,1896.5,2414.0,1942.0,,2330.5,2078.4,2538.0,1959.5,2313.0,2127.0,2047.0,1891.8,2159.0,-264.0,-24.0,-340.0,-207.0,-331.1,-221.0,-317.0,-266.8,156.0,-55.5,-272.0,-262.7,-301.7,-106.5,,-265.0,-146.4,-115.1,-102.0,-449.4,-281.5,-210.5,22.0,70.8,-157.0,-309.7,-160.1,,-205.5,-58.6,-319.0,,-205.1,-130.9,,-225.0,-478.5,39.0,-433.0,,-44.5,-296.6,163.0,-415.5,-62.0,-248.0,-328.0,-483.2,-216.0,True,False,True,False,True,False,False,True,True,False,True,False,True,,False,True,True,True,False,False,True,True,True,True,False,True,,True,True,False,,True,True,,True,False,True,False,,True,False,True,False,True,True,False,False,True
Kansas,1529,1291.1,1557.2,1268.2,1310.0,1301.0,1410.0,1446.0,1307.2,1640.0,1665.3,1310.0,1312.7,1400.0,1455.9,,1386.0,1503.7,1547.4,1413.0,1224.0,1299.5,1402.3,1513.0,1338.7,1478.0,1429.3,1420.7,,1257.8,1400.1,1568.0,,,1162.5,,1310.0,1093.3,1402.0,1201.5,,1530.3,1445.4,1418.0,1444.2,1374.0,1367.9,1270.0,1173.3,1309.0,-233.9,32.2,-256.8,-215.0,-224.0,-115.0,-79.0,-217.8,115.0,140.3,-215.0,-212.3,-125.0,-69.1,,-139.0,-21.3,22.4,-112.0,-301.0,-225.5,-122.7,-12.0,-186.3,-47.0,-95.7,-104.3,,-267.2,-124.9,43.0,,,-362.5,,-215.0,-431.7,-123.0,-323.5,,5.3,-79.6,-107.0,-80.8,-151.0,-157.1,-255.0,-351.7,-216.0,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,False,,True,False,True,False,,True,True,True,True,True,True,False,False,True
Kentucky,1885,1805.3,2094.8,1797.5,1919.0,1809.1,1941.0,2232.0,1906.8,2093.0,1985.9,1849.0,1761.6,1809.2,1985.4,,1904.0,1941.0,1976.3,2051.0,1784.8,1852.5,1989.0,2041.0,1976.6,2008.0,1991.8,1913.4,2182.0,1655.5,1956.3,1771.0,,,1673.8,,1883.0,1729.8,1956.0,1784.6,,2029.3,2010.7,1960.0,1750.9,2022.0,1885.5,1835.0,1634.6,1846.0,-79.7,209.8,-87.5,34.0,-75.9,56.0,347.0,21.8,208.0,100.9,-36.0,-123.4,-75.8,100.4,,19.0,56.0,91.3,166.0,-100.2,-32.5,104.0,156.0,91.6,123.0,106.8,28.4,297.0,-229.5,71.3,-114.0,,,-211.2,,-2.0,-155.2,71.0,-100.4,,144.3,125.7,75.0,-134.1,137.0,0.5,-50.0,-250.4,-39.0,False,False,True,True,True,False,True,False,False,True,False,True,False,,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,,,False,,True,False,True,False,,False,False,True,False,False,True,True,False,True
Louisiana,6391,6269.3,6279.5,6311.5,6164.0,6315.4,6282.0,6170.0,6190.3,6495.0,6330.3,6074.0,6169.2,6370.3,6313.1,,6249.0,6314.9,6152.8,6075.0,6134.5,6282.0,6310.7,6264.0,6155.0,6256.0,6362.7,6283.8,,6235.5,6215.1,6092.0,,6340.2,6157.0,,6348.0,5668.3,6265.0,6404.1,,6301.9,6377.2,6178.0,6460.6,6255.0,6274.7,6186.0,6013.1,6310.0,-121.7,-111.5,-79.5,-227.0,-75.6,-109.0,-221.0,-200.7,104.0,-60.7,-317.0,-221.8,-20.7,-77.9,,-142.0,-76.1,-238.2,-316.0,-256.5,-109.0,-80.3,-127.0,-236.0,-135.0,-28.3,-107.2,,-155.5,-175.9,-299.0,,-50.8,-234.0,,-43.0,-722.7,-126.0,13.1,,-89.1,-13.8,-213.0,69.6,-136.0,-116.3,-205.0,-377.9,-81.0,True,True,False,True,True,False,False,True,True,False,False,True,True,,False,True,False,False,False,True,True,False,False,False,True,True,,False,False,False,,True,False,,True,False,False,True,,True,True,False,True,False,True,False,False,True
Maine,191,150.9,148.5,150.1,155.0,152.0,157.0,164.0,161.7,158.0,156.2,157.0,156.6,162.3,158.0,,179.0,151.3,177.2,174.0,166.1,154.0,153.7,152.0,147.5,203.0,156.2,178.8,,151.2,152.5,155.0,,,149.2,,151.0,176.3,162.0,150.6,,157.4,177.7,171.0,157.6,153.0,152.8,150.0,152.6,,-40.1,-42.5,-40.9,-36.0,-39.0,-34.0,-27.0,-29.3,-33.0,-34.8,-34.0,-34.4,-28.7,-33.0,,-12.0,-39.7,-13.8,-17.0,-24.9,-37.0,-37.3,-39.0,-43.5,12.0,-34.8,-12.2,,-39.8,-38.5,-36.0,,,-41.8,,-40.0,-14.7,-29.0,-40.4,,-33.6,-13.3,-20.0,-33.4,-38.0,-38.2,-41.0,-38.4,,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,,False,,True,True,True,False,,True,True,True,True,True,True,False,True,
Maryland,4602,4368.0,4406.8,4369.8,4404.0,4372.7,4398.0,4552.0,4422.8,4500.0,4365.5,4227.0,4333.2,4389.2,4441.4,,4302.0,4391.2,4350.3,4419.0,4425.8,4343.0,4453.8,4463.0,4436.9,4384.0,4423.6,4387.4,,4424.5,4443.9,4287.0,,4358.5,4237.3,9351.0,4413.0,4354.1,4453.0,4344.6,,4439.7,4444.3,4398.0,4398.0,4456.0,4412.4,4445.0,4283.9,4411.0,-234.0,-195.2,-232.2,-198.0,-229.3,-204.0,-50.0,-179.2,-102.0,-236.5,-375.0,-268.8,-212.8,-160.6,,-300.0,-210.8,-251.7,-183.0,-176.2,-259.0,-148.2,-139.0,-165.1,-218.0,-178.4,-214.6,,-177.5,-158.1,-315.0,,-243.5,-364.7,4749.0,-189.0,-247.9,-149.0,-257.4,,-162.3,-157.7,-204.0,-204.0,-146.0,-189.6,-157.0,-318.1,-191.0,True,True,True,True,True,True,True,True,False,False,False,True,True,,False,True,False,True,True,False,True,True,True,True,True,True,,True,True,False,,False,False,False,True,False,True,False,,True,True,True,True,True,True,True,False,True
Massachusetts,10676,10587.7,10643.7,10554.5,10432.0,10605.8,10662.0,11031.0,10675.6,11190.0,10800.8,10705.0,10441.9,10554.2,10724.8,,10462.0,10781.9,10785.3,10522.0,10309.3,10337.5,11222.8,10747.5,10713.4,10342.0,10740.5,10658.0,,10642.3,10730.4,10341.0,,10582.3,10142.4,,10936.0,11259.8,11060.0,10462.1,,10567.9,10762.1,10924.0,10526.9,11013.0,10588.9,10654.5,10189.0,10461.0,-88.3,-32.3,-121.5,-244.0,-70.2,-14.0,355.0,-0.4,514.0,124.8,29.0,-234.1,-121.8,48.8,,-214.0,105.9,109.3,-154.0,-366.7,-338.5,546.8,71.5,37.4,-334.0,64.5,-18.0,,-33.7,54.4,-335.0,,-93.7,-533.6,,260.0,583.8,384.0,-213.9,,-108.1,86.1,248.0,-149.1,337.0,-87.1,-21.5,-487.0,-215.0,True,False,False,True,True,False,True,False,False,True,False,False,True,,False,False,False,False,False,False,False,True,True,False,True,True,,True,True,False,,False,False,,False,False,False,False,,False,True,False,False,False,True,True,False,False
Michigan,9467,8381.7,9197.1,8426.9,8591.0,8409.2,8681.0,9462.0,8596.4,10664.0,9320.2,8598.0,8180.0,,8884.2,,8524.0,8924.4,9107.5,8496.0,8319.2,8472.5,9619.5,9209.0,8643.1,8376.0,8769.2,8678.0,8901.5,7865.3,8715.8,8147.0,,8265.0,8376.5,,8746.0,8262.1,8236.0,8157.0,,8941.6,8780.6,8910.0,8227.4,8978.0,8486.0,8530.5,7858.0,8529.0,-1085.3,-269.9,-1040.1,-876.0,-1057.8,-786.0,-5.0,-870.6,1197.0,-146.8,-869.0,-1287.0,,-582.8,,-943.0,-542.6,-359.5,-971.0,-1147.8,-994.5,152.5,-258.0,-823.9,-1091.0,-697.8,-789.0,-565.5,-1601.7,-751.2,-1320.0,,-1202.0,-1090.5,,-721.0,-1204.9,-1231.0,-1310.0,,-525.4,-686.4,-557.0,-1239.6,-489.0,-981.0,-936.5,-1609.0,-938.0,True,True,True,True,True,True,True,False,True,True,False,,True,,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,,False,False,,True,False,False,False,,True,True,True,False,True,True,True,False,True
Minnesota,3580,3018.9,3217.4,3040.0,3188.0,3031.1,3196.0,3136.0,3083.9,3345.0,3232.1,3343.0,2997.3,3466.0,3366.0,,3113.0,3196.5,2970.6,3142.0,2840.8,3041.0,3397.0,3352.0,3311.4,3053.0,3189.1,3137.5,2942.0,3207.0,3256.6,2898.0,,3032.6,2923.2,,3166.0,2891.7,3333.0,2960.3,,3169.8,3209.8,3308.0,2954.7,3251.0,2989.2,3214.0,2652.7,3198.0,-561.1,-362.6,-540.0,-392.0,-548.9,-384.0,-444.0,-496.1,-235.0,-347.9,-237.0,-582.7,-114.0,-214.0,,-467.0,-383.5,-609.4,-438.0,-739.2,-539.0,-183.0,-228.0,-268.6,-527.0,-390.9,-442.5,-638.0,-373.0,-323.4,-682.0,,-547.4,-656.8,,-414.0,-688.3,-247.0,-619.7,,-410.2,-370.2,-272.0,-625.3,-329.0,-590.8,-366.0,-927.3,-382.0,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,,True,False,,True,False,True,False,,True,True,True,False,True,False,True,False,True
Mississippi,3779,3706.7,3717.1,3644.2,3654.0,3650.0,3678.0,3751.0,3647.9,3721.0,3757.6,3554.0,3614.0,3735.6,3801.8,,3622.0,3645.9,3642.1,3730.0,3498.5,3587.0,3771.7,3642.0,3636.6,3695.0,3717.2,3779.4,,3707.4,3636.1,3688.0,,3685.2,3503.6,,3707.0,3007.6,3602.0,3679.2,,3669.4,3735.2,3727.0,3725.1,3686.0,3677.7,3604.5,3590.0,3665.0,-72.3,-61.9,-134.8,-125.0,-129.0,-101.0,-28.0,-131.1,-58.0,-21.4,-225.0,-165.0,-43.4,22.8,,-157.0,-133.1,-136.9,-49.0,-280.5,-192.0,-7.3,-137.0,-142.4,-84.0,-61.8,0.4,,-71.6,-142.9,-91.0,,-93.8,-275.4,,-72.0,-771.4,-177.0,-99.8,,-109.6,-43.8,-52.0,-53.9,-93.0,-101.3,-174.5,-189.0,-114.0,True,False,False,False,False,True,False,True,True,False,False,True,True,,False,False,False,True,False,False,True,False,False,False,True,True,,True,False,False,,False,False,,True,False,False,False,,False,True,True,True,False,False,False,False,False
Missouri,3873,3878.9,3993.2,3943.3,3885.0,3952.3,4044.0,4239.0,3730.1,4324.0,4194.3,3663.0,3707.8,,3987.6,,3732.0,4292.5,3594.6,3831.0,3454.0,3959.0,4392.3,4034.0,3774.8,3750.0,4058.3,4018.9,,4408.3,4139.8,4156.0,,3904.4,2859.0,,4068.0,3466.0,4257.0,3662.6,,4143.0,4105.1,4161.0,3691.8,4341.0,3916.3,3917.0,3159.2,4038.0,23.9,138.2,88.3,30.0,97.3,189.0,384.0,-124.9,469.0,339.3,-192.0,-147.2,,132.6,,-123.0,437.5,-260.4,-24.0,-401.0,104.0,537.3,179.0,-80.2,-105.0,203.3,163.9,,553.3,284.8,301.0,,49.4,-996.0,,213.0,-389.0,402.0,-192.4,,288.0,250.1,306.0,-163.2,486.0,61.3,62.0,-695.8,183.0,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Montana,669,680.7,686.3,708.4,616.0,699.0,716.0,582.0,644.1,675.0,749.0,599.0,591.7,721.4,735.4,,704.0,743.2,657.7,733.0,440.5,725.5,756.6,772.0,674.0,669.0,989.0,661.0,,537.2,699.7,809.5,,,637.8,,782.0,971.4,736.0,654.3,,751.1,1008.6,744.0,947.5,749.0,692.4,561.0,467.2,821.0,11.7,17.3,39.4,-53.0,30.0,47.0,-87.0,-24.9,6.0,80.0,-70.0,-77.3,52.4,66.4,,35.0,74.2,-11.3,64.0,-228.5,56.5,87.6,103.0,5.0,0.0,320.0,-8.0,,-131.8,30.7,140.5,,,-31.2,,113.0,302.4,67.0,-14.7,,82.1,339.6,75.0,278.5,80.0,23.4,-108.0,-201.8,152.0,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,True,False,False,False,False,False,True,True,False,True,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Nebraska,989,877.7,1134.4,879.9,932.0,880.0,936.0,1124.0,915.6,953.0,939.7,893.0,933.2,942.1,999.5,,883.0,957.9,862.2,985.0,807.7,884.0,999.7,1321.5,963.6,1022.0,938.2,920.9,,872.8,985.7,852.0,,,774.0,,941.0,909.6,972.0,818.8,,946.2,959.2,886.0,792.0,920.0,869.2,854.5,724.7,932.0,-111.3,145.4,-109.1,-57.0,-109.0,-53.0,135.0,-73.4,-36.0,-49.3,-96.0,-55.8,-46.9,10.5,,-106.0,-31.1,-126.8,-4.0,-181.3,-105.0,10.7,332.5,-25.4,33.0,-50.8,-68.1,,-116.2,-3.3,-137.0,,,-215.0,,-48.0,-79.4,-17.0,-170.2,,-42.8,-29.8,-103.0,-197.0,-69.0,-119.8,-134.5,-264.3,-57.0,False,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,False,True,False,True,True,False,True,True,True,True,,False,True,False,,,False,,True,True,True,False,,True,True,True,False,True,False,False,False,True
Nevada,2119,1904.3,1870.8,1906.4,1985.0,1909.2,1942.0,2018.0,1983.9,1959.0,2029.4,1890.0,1888.7,1959.2,1970.4,,1916.0,1954.2,1956.9,1955.0,1924.4,1918.0,1958.2,1889.0,1961.8,1932.0,1833.7,2052.2,,2014.8,1942.2,1941.0,,2054.3,1773.5,,1975.0,1867.6,1921.0,1989.2,,1857.0,1850.7,2036.0,1955.2,1942.0,1917.5,1896.0,1904.8,1926.0,-210.7,-244.2,-208.6,-130.0,-205.8,-173.0,-97.0,-131.1,-156.0,-85.6,-225.0,-226.3,-155.8,-144.6,,-199.0,-160.8,-158.1,-160.0,-190.6,-197.0,-156.8,-226.0,-153.2,-183.0,-281.3,-62.8,,-100.2,-172.8,-174.0,,-60.7,-341.5,,-140.0,-247.4,-194.0,-125.8,,-258.0,-264.3,-79.0,-159.8,-173.0,-197.5,-219.0,-210.2,-189.0,False,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,False,True,True,False,True,,True,True,True,,True,False,,True,False,True,True,,False,False,True,True,True,True,False,True,True
New Hampshire,523,521.6,492.1,521.7,532.0,523.1,544.0,538.0,542.9,547.0,582.9,547.0,558.8,554.6,572.1,,545.0,547.0,535.4,536.0,514.4,533.0,558.3,507.0,516.4,541.0,530.8,558.2,,505.4,542.6,536.0,,,488.2,,552.0,550.5,544.0,518.1,,563.7,553.0,546.0,531.0,542.0,532.1,548.5,497.0,531.0,-1.4,-30.9,-1.3,9.0,0.1,21.0,15.0,19.9,24.0,59.9,24.0,35.8,31.6,49.1,,22.0,24.0,12.4,13.0,-8.6,10.0,35.3,-16.0,-6.6,18.0,7.8,35.2,,-17.6,19.6,13.0,,,-34.8,,29.0,27.5,21.0,-4.9,,40.7,30.0,23.0,8.0,19.0,9.1,25.5,-26.0,8.0,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
New Jersey,16965,16620.1,16910.4,16623.0,16769.0,16694.7,16751.0,17197.0,16834.9,16984.0,16738.7,17039.0,16578.4,16805.1,16842.3,,16626.0,16697.6,17122.7,16723.0,16733.2,16741.0,16899.6,16843.0,16811.9,16686.0,16751.4,16708.7,,16750.9,16736.3,16372.0,,16591.9,16871.0,,16729.0,21886.2,16853.0,16540.8,,16874.8,16771.8,16714.0,17225.3,16822.0,16702.2,16924.0,16465.6,16809.0,-344.9,-54.6,-342.0,-196.0,-270.3,-214.0,232.0,-130.1,19.0,-226.3,74.0,-386.6,-159.9,-122.7,,-339.0,-267.4,157.7,-242.0,-231.8,-224.0,-65.4,-122.0,-153.1,-279.0,-213.6,-256.3,,-214.1,-228.7,-593.0,,-373.1,-94.0,,-236.0,4921.2,-112.0,-424.2,,-90.2,-193.2,-251.0,260.3,-143.0,-262.8,-41.0,-499.4,-156.0,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,,True,False,True,False,,True,True,True,True,True,True,True,False,True
New Mexico,1527,1253.6,1272.0,1229.3,1251.0,1230.0,1290.0,1428.0,1324.3,1293.0,1356.4,1131.0,1180.8,1293.8,1362.3,,1199.0,1295.4,1257.3,1252.0,1133.8,1197.0,1445.2,1335.0,1270.0,1217.0,1337.5,1285.4,,1265.5,1287.8,1295.0,,,1210.5,,1375.0,4114.7,1425.0,1203.8,,1236.6,1359.2,1343.0,1187.9,1277.0,1206.9,1322.0,1095.5,1891.0,-273.4,-255.0,-297.7,-276.0,-297.0,-237.0,-99.0,-202.7,-234.0,-170.6,-396.0,-346.2,-233.2,-164.7,,-328.0,-231.6,-269.7,-275.0,-393.2,-330.0,-81.8,-192.0,-257.0,-310.0,-189.5,-241.6,,-261.5,-239.2,-232.0,,,-316.5,,-152.0,2587.7,-102.0,-323.2,,-290.4,-167.8,-184.0,-339.1,-250.0,-320.1,-205.0,-431.5,364.0,True,False,False,False,True,True,True,True,True,False,False,True,True,,False,True,True,False,False,False,True,True,True,False,True,True,,True,True,True,,,False,,True,False,True,False,,False,True,True,False,True,False,True,False,False
