,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,677,596.0,,,623.0,231.0,,,,,698.0,604.4,,,945.0,,348.8,379.3,731.5,,643.0,682.6,,879.0,721.3,,,,,333.5,,,,702.2,-81.0,,,-54.0,-446.0,,,,,21.0,-72.6,,,268.0,,-328.2,-297.7,54.5,,-34.0,5.6,,202.0,44.3,,,,,-343.5,,,,25.2,,,True,False,,,,,True,True,,,False,,False,False,True,,True,True,,False,True,,,,,False,,,,True
01023,40,80.0,,,72.0,49.0,,,,,106.0,86.7,,,303.0,,67.2,57.1,,,66.0,75.9,,194.0,77.3,,,,,,,,,62.6,40.0,,,32.0,9.0,,,,,66.0,46.7,,,263.0,,27.2,17.1,,,26.0,35.9,,154.0,37.3,,,,,,,,,22.6,,,True,True,,,,,False,False,,,False,,True,True,,,True,True,,False,True,,,,,,,,,True
01025,622,564.0,,,614.0,509.0,,,,,515.8,292.0,,,508.0,,10573.2,457.1,,,737.0,656.5,,690.0,988.8,,,,,292.9,,,,1510.6,-58.0,,,-8.0,-113.0,,,,,-106.2,-330.0,,,-114.0,,9951.2,-164.9,,,115.0,34.5,,68.0,366.8,,,,,-329.1,,,,888.6,,,True,False,,,,,False,False,,,False,,False,False,,,False,True,,False,False,,,,,False,,,,False
01027,211,216.0,,,212.0,187.0,,,,,227.9,151.2,,,280.0,,50.4,105.8,,,183.0,239.4,,274.0,230.9,,,,,,,,,233.4,5.0,,,1.0,-24.0,,,,,16.9,-59.8,,,69.0,,-160.6,-105.2,,,-28.0,28.4,,63.0,19.9,,,,,,,,,22.4,,,True,False,,,,,False,False,,,False,,False,False,,,False,False,,False,False,,,,,,,,,False
01029,230,260.0,,,251.0,24.0,,,,,211.9,139.8,,,339.0,,209.7,124.3,,,211.0,272.9,,304.0,273.3,,,,,,,,,284.4,30.0,,,21.0,-206.0,,,,,-18.1,-90.2,,,109.0,,-20.3,-105.7,,,-19.0,42.9,,74.0,43.3,,,,,,,,,54.4,,,True,False,,,,,True,False,,,False,,True,False,,,True,False,,False,False,,,,,,,,,False
01031,1226,1076.0,,,1102.0,1000.0,,,,,943.7,825.0,,,827.0,,1096.1,578.4,1135.5,,1202.0,1095.8,,1215.0,1102.9,,,,,865.7,,,,1262.6,-150.0,,,-124.0,-226.0,,,,,-282.3,-401.0,,,-399.0,,-129.9,-647.6,-90.5,,-24.0,-130.2,,-11.0,-123.1,,,,,-360.3,,,,36.6,,,True,False,,,,,False,False,,,False,,True,False,True,,True,True,,True,True,,,,,False,,,,True
01033,1208,1136.0,,,1100.0,773.0,,,,,1004.4,900.1,,,1412.0,,800.5,630.2,1340.5,,1071.0,1093.5,,1264.0,1205.8,,,,,1069.1,,,,1189.5,-72.0,,,-108.0,-435.0,,,,,-203.6,-307.9,,,204.0,,-407.5,-577.8,132.5,,-137.0,-114.5,,56.0,-2.2,,,,,-138.9,,,,-18.5,,,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,True,True,,,,,False,,,,True
01035,139,116.0,,,169.0,204.0,,,,,172.1,114.2,,,209.0,,22.8,104.5,,,166.0,141.4,,209.0,187.7,,,,,,,,,95.4,-23.0,,,30.0,65.0,,,,,33.1,-24.8,,,70.0,,-116.2,-34.5,,,27.0,2.4,,70.0,48.7,,,,,,,,,-43.6,,,False,False,,,,,False,False,,,False,,False,False,,,False,True,,False,False,,,,,,,,,False
01037,151,96.0,,,97.0,96.0,,,,,91.3,94.0,,,168.0,,35.0,120.3,,,30.0,95.1,,154.0,160.7,,,,,,,,,95.8,-55.0,,,-54.0,-55.0,,,,,-59.7,-57.0,,,17.0,,-116.0,-30.7,,,-121.0,-55.9,,3.0,9.7,,,,,,,,,-55.2,,,True,False,,,,,False,False,,,True,,False,True,,,False,False,,True,True,,,,,,,,,False
01039,573,728.0,,,680.0,231.0,,,,,605.9,380.9,,,657.0,,502.4,445.7,736.0,,697.0,685.5,,868.0,715.9,,,,,452.0,,,,723.8,155.0,,,107.0,-342.0,,,,,32.9,-192.1,,,84.0,,-70.6,-127.3,163.0,,124.0,112.5,,295.0,142.9,,,,,-121.0,,,,150.8,,,True,False,,,,,True,False,,,True,,True,True,False,,True,True,,False,True,,,,,True,,,,True
01041,357,232.0,,,240.0,133.0,,,,,220.7,185.0,,,217.0,,310.8,126.7,,,317.0,255.2,,304.0,159.7,,,,,,,,,244.9,-125.0,,,-117.0,-224.0,,,,,-136.3,-172.0,,,-140.0,,-46.2,-230.3,,,-40.0,-101.8,,-53.0,-197.3,,,,,,,,,-112.1,,,True,False,,,,,False,False,,,False,,True,False,,,True,True,,True,False,,,,,,,,,True
01043,1758,2432.0,,,2159.0,1885.0,,,,,1475.6,1930.3,,,2378.0,,1267.0,1561.4,2872.0,,2199.0,2197.2,,2248.0,2143.8,,,,,1960.5,,,,3247.5,674.0,,,401.0,127.0,,,,,-282.4,172.3,,,620.0,,-491.0,-196.6,1114.0,,441.0,439.2,,490.0,385.8,,,,,202.5,,,,1489.5,,,True,True,,,,,True,True,,,True,,True,True,False,,True,True,,True,True,,,,,True,,,,False
01045,953,968.0,,,994.0,918.0,,,,,777.3,897.8,,,848.0,,1432.3,633.2,1018.0,,1295.0,1064.2,,1052.0,820.6,,,,,572.7,,,,1408.8,15.0,,,41.0,-35.0,,,,,-175.7,-55.2,,,-105.0,,479.3,-319.8,65.0,,342.0,111.2,,99.0,-132.4,,,,,-380.3,,,,455.8,,,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,False,False,,,,,False,,,,False
01047,441,428.0,,,441.0,235.0,,,,,533.4,441.2,,,644.0,,195.2,365.4,453.0,,292.0,472.1,,586.0,486.6,,,,,405.6,,,,449.3,-13.0,,,0.0,-206.0,,,,,92.4,0.2,,,203.0,,-245.8,-75.6,12.0,,-149.0,31.1,,145.0,45.6,,,,,-35.4,,,,8.3,,,True,False,,,,,False,True,,,False,,False,False,True,,False,False,,False,False,,,,,False,,,,True
01049,1311,2300.0,,,2116.0,1964.0,,,,,1518.7,1424.7,,,2230.0,,1632.7,1408.8,2222.5,,2136.5,2243.3,,2133.0,1900.3,,,,,2055.6,,,,3194.8,989.0,,,805.0,653.0,,,,,207.7,113.7,,,919.0,,321.7,97.8,911.5,,825.5,932.3,,822.0,589.3,,,,,744.6,,,,1883.8,,,True,True,,,,,True,True,,,True,,True,True,True,,True,True,,True,True,,,,,True,,,,False
01051,2311,2252.0,,,2075.0,1905.0,,,,,1772.7,2362.1,,,1275.0,,1734.6,1367.2,2224.5,,2971.5,2528.0,,2239.0,1909.8,,,,,1942.4,,,,2265.2,-59.0,,,-236.0,-406.0,,,,,-538.3,51.1,,,-1036.0,,-576.4,-943.8,-86.5,,660.5,217.0,,-72.0,-401.2,,,,,-368.6,,,,-45.8,,,False,False,,,,,False,True,,,False,,False,False,False,,False,False,,False,False,,,,,False,,,,True
01053,782,484.0,,,545.0,60.0,,,,,506.3,396.1,,,718.0,,279.4,431.1,551.0,,706.5,538.5,,643.0,580.2,,,,,383.7,,,,401.8,-298.0,,,-237.0,-722.0,,,,,-275.7,-385.9,,,-64.0,,-502.6,-350.9,-231.0,,-75.5,-243.5,,-139.0,-201.8,,,,,-398.3,,,,-380.2,,,True,False,,,,,True,False,,,True,,False,False,True,,True,True,,True,True,,,,,False,,,,False
01055,2864,3616.0,,,3014.0,2904.0,,,,,2544.9,2736.4,,,2687.0,,1291.6,2106.3,3507.0,,3251.0,3725.2,,3232.0,2847.6,,,,,2412.9,,,,4022.9,752.0,,,150.0,40.0,,,,,-319.1,-127.6,,,-177.0,,-1572.4,-757.7,643.0,,387.0,861.2,,368.0,-16.4,,,,,-451.1,,,,1158.9,,,True,True,,,,,True,True,,,True,,False,False,True,,True,False,,True,True,,,,,True,,,,False
01057,377,536.0,,,440.0,278.0,,,,,356.3,314.3,,,388.0,,201.7,286.5,,,526.0,468.0,,471.0,426.1,,,,,,,,,701.8,159.0,,,63.0,-99.0,,,,,-20.7,-62.7,,,11.0,,-175.3,-90.5,,,149.0,91.0,,94.0,49.1,,,,,,,,,324.8,,,True,True,,,,,True,True,,,True,,False,True,,,True,True,,True,True,,,,,,,,,False
01059,641,652.0,,,635.0,184.0,,,,,702.4,446.2,,,988.0,,333.1,361.9,711.5,,602.0,635.7,,806.0,692.6,,,,,346.3,,,,633.2,11.0,,,-6.0,-457.0,,,,,61.4,-194.8,,,347.0,,-307.9,-279.1,70.5,,-39.0,-5.3,,165.0,51.6,,,,,-294.7,,,,-7.8,,,True,False,,,,,False,False,,,False,,False,False,False,,False,True,,False,False,,,,,False,,,,True
01061,512,340.0,,,346.0,266.0,,,,,353.6,267.7,,,493.0,,212.7,242.2,,,327.0,367.4,,491.0,398.8,,,,,,,,,323.7,-172.0,,,-166.0,-246.0,,,,,-158.4,-244.3,,,-19.0,,-299.3,-269.8,,,-185.0,-144.6,,-21.0,-113.2,,,,,,,,,-188.3,,,True,False,,,,,True,False,,,True,,False,False,,,False,True,,True,True,,,,,,,,,False
01063,174,156.0,,,156.0,3.0,,,,,153.4,147.5,,,140.0,,230.9,116.4,,,158.5,194.3,,165.0,113.4,,,,,,,,,236.1,-18.0,,,-18.0,-171.0,,,,,-20.6,-26.5,,,-34.0,,56.9,-57.6,,,-15.5,20.3,,-9.0,-60.6,,,,,,,,,62.1,,,False,False,,,,,False,False,,,False,,False,False,,,True,False,,True,False,,,,,,,,,False
01065,499,552.0,,,519.0,131.0,,,,,366.7,303.8,,,295.0,,723.2,227.6,,,704.5,504.3,,408.0,697.4,,,,,,,,,608.4,53.0,,,20.0,-368.0,,,,,-132.3,-195.2,,,-204.0,,224.2,-271.4,,,205.5,5.3,,-91.0,198.4,,,,,,,,,109.4,,,True,False,,,,,False,False,,,False,,False,False,,,False,True,,False,False,,,,,,,,,False
01067,446,388.0,,,356.0,15.0,,,,,292.7,299.9,,,277.0,,345.0,187.7,,,658.0,369.3,,406.0,272.6,,,,,,,,,383.4,-58.0,,,-90.0,-431.0,,,,,-153.3,-146.1,,,-169.0,,-101.0,-258.3,,,212.0,-76.7,,-40.0,-173.4,,,,,,,,,-62.6,,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,True,False,,,,,,,,,False
01069,2029,2012.0,,,1982.0,1954.0,,,,,1550.2,1865.5,,,1582.0,,1127.4,1085.1,2029.0,,2002.0,2077.2,,2288.0,2039.3,,,,,1316.9,,,,1582.6,-17.0,,,-47.0,-75.0,,,,,-478.8,-163.5,,,-447.0,,-901.6,-943.9,0.0,,-27.0,48.2,,259.0,10.3,,,,,-712.1,,,,-446.4,,,False,False,,,,,False,False,,,False,,False,False,True,,False,False,,False,True,,,,,False,,,,False
01071,1147,1340.0,,,1307.0,701.0,,,,,1158.4,779.4,,,1593.0,,435.3,884.0,2046.5,,960.0,1137.4,,1321.0,1558.0,,,,,1752.4,,,,1854.7,193.0,,,160.0,-446.0,,,,,11.4,-367.6,,,446.0,,-711.7,-263.0,899.5,,-187.0,-9.6,,174.0,411.0,,,,,605.4,,,,707.7,,,True,False,,,,,True,False,,,False,,False,False,False,,True,True,,True,False,,,,,False,,,,False
01073,16663,19440.0,,16394.4,19045.0,18097.0,,,,,13944.9,29869.6,,28647.2,14430.0,,16104.5,10047.3,22782.0,,22208.5,19377.7,,16861.0,14018.4,,,,,19021.9,23390.0,,,19480.8,2777.0,,-268.6,2382.0,1434.0,,,,,-2718.1,13206.6,,11984.2,-2233.0,,-558.5,-6615.7,6119.0,,5545.5,2714.7,,198.0,-2644.6,,,,,2358.9,6727.0,,,2817.8,,True,True,True,,,,,True,False,,False,True,,True,False,False,,False,True,,True,True,,,,,True,False,,,False
01075,236,400.0,,,341.0,247.0,,,,,308.7,245.5,,,289.0,,516.0,203.5,,,379.0,322.5,,366.0,328.6,,,,,,,,,633.2,164.0,,,105.0,11.0,,,,,72.7,9.5,,,53.0,,280.0,-32.5,,,143.0,86.5,,130.0,92.6,,,,,,,,,397.2,,,True,True,,,,,True,True,,,True,,False,True,,,True,True,,True,True,,,,,,,,,False
01077,2006,2104.0,,,1888.0,1749.0,,,,,1510.2,2039.7,,,2438.0,,977.3,1278.5,2026.5,,1773.0,2041.1,,2191.0,1868.0,,,,,1357.9,,,,1813.1,98.0,,,-118.0,-257.0,,,,,-495.8,33.7,,,432.0,,-1028.7,-727.5,20.5,,-233.0,35.1,,185.0,-138.0,,,,,-648.1,,,,-192.9,,,False,False,,,,,False,True,,,False,,False,False,True,,False,True,,False,False,,,,,False,,,,False
01079,686,680.0,,,685.0,589.0,,,,,590.4,676.4,,,1015.0,,620.7,384.6,701.0,,678.0,734.9,,738.0,589.9,,,,,,,,,881.6,-6.0,,,-1.0,-97.0,,,,,-95.6,-9.6,,,329.0,,-65.3,-301.4,15.0,,-8.0,48.9,,52.0,-96.1,,,,,,,,,195.6,,,True,False,,,,,False,False,,,False,,False,False,False,,False,False,,False,False,,,,,,,,,False
01081,3110,2432.0,,,2633.0,2761.0,,,,,2244.4,2906.9,,4301.6,2208.0,,3526.7,1799.9,2462.0,,3042.5,2804.5,,2958.0,2884.1,,,,,1268.5,2327.0,,,2833.2,-678.0,,,-477.0,-349.0,,,,,-865.6,-203.1,,1191.6,-902.0,,416.7,-1310.1,-648.0,,-67.5,-305.5,,-152.0,-225.9,,,,,-1841.5,-783.0,,,-276.8,,,True,True,,,,,False,True,,False,False,,True,False,True,,True,True,,True,True,,,,,False,False,,,True
01083,2039,2716.0,,,2481.0,2454.0,,,,,1863.5,2858.0,,,2301.0,,2286.7,1651.1,2718.5,,3085.5,2790.2,,2579.0,1900.2,,,,,2026.0,,,,3117.9,677.0,,,442.0,415.0,,,,,-175.5,819.0,,,262.0,,247.7,-387.9,679.5,,1046.5,751.2,,540.0,-138.8,,,,,-13.0,,,,1078.9,,,True,True,,,,,True,False,,,True,,True,True,False,,False,False,,True,True,,,,,True,,,,False
01085,202,152.0,,,127.0,0.0,,,,,202.3,92.7,,,113.0,,60.4,100.9,,,140.0,142.4,,205.0,114.2,,,,,,,,,150.2,-50.0,,,-75.0,-202.0,,,,,0.3,-109.3,,,-89.0,,-141.6,-101.1,,,-62.0,-59.6,,3.0,-87.8,,,,,,,,,-51.8,,,False,False,,,,,True,False,,,False,,False,False,,,False,False,,True,False,,,,,,,,,False
01087,246,236.0,,,230.0,253.0,,,,,206.1,201.8,,,224.0,,192.0,167.0,,,200.0,244.2,,305.0,232.4,,,,,,,,,269.1,-10.0,,,-16.0,7.0,,,,,-39.9,-44.2,,,-22.0,,-54.0,-79.0,,,-46.0,-1.8,,59.0,-13.6,,,,,,,,,23.1,,,False,True,,,,,False,False,,,False,,False,False,,,False,True,,False,False,,,,,,,,,False
01089,7790,9208.0,,8217.7,8731.0,11247.0,,,,,6283.7,14778.2,,13881.9,7475.0,,6769.2,6010.5,10889.5,,11405.0,9653.0,,8152.0,7118.7,,,,,6903.5,10784.0,,,14528.1,1418.0,,427.7,941.0,3457.0,,,,,-1506.3,6988.2,,6091.9,-315.0,,-1020.8,-1779.5,3099.5,,3615.0,1863.0,,362.0,-671.3,,,,,-886.5,2994.0,,,6738.1,,True,True,False,,,,,False,False,,False,True,,True,False,False,,False,False,,True,True,,,,,True,False,,,False
01091,382,548.0,,,506.0,1.0,,,,,469.6,272.7,,,427.0,,2751.0,290.8,,,517.5,510.3,,514.0,422.2,,,,,,,,,585.6,166.0,,,124.0,-381.0,,,,,87.6,-109.3,,,45.0,,2369.0,-91.2,,,135.5,128.3,,132.0,40.2,,,,,,,,,203.6,,,True,False,,,,,True,True,,,True,,False,True,,,True,True,,True,True,,,,,,,,,False
01093,605,688.0,,,682.0,622.0,,,,,606.0,487.1,,,713.0,,412.6,318.7,677.0,,778.0,704.5,,702.0,590.9,,,,,,,,,762.4,83.0,,,77.0,17.0,,,,,1.0,-117.9,,,108.0,,-192.4,-286.3,72.0,,173.0,99.5,,97.0,-14.1,,,,,,,,,157.4,,,True,True,,,,,True,False,,,False,,False,False,True,,False,False,,False,True,,,,,,,,,False
01095,1834,2352.0,,,2102.0,1693.0,,,,,1886.4,2067.8,,2034.3,2693.0,,791.4,1536.8,2601.0,,2506.0,2085.1,,2349.0,1611.1,,,,,1191.3,,,,2562.0,518.0,,,268.0,-141.0,,,,,52.4,233.8,,200.3,859.0,,-1042.6,-297.2,767.0,,672.0,251.1,,515.0,-222.9,,,,,-642.7,,,,728.0,,,True,True,,,,,True,True,,True,False,,False,True,False,,False,True,,True,True,,,,,False,,,,False
01097,6834,4760.0,,5996.2,5920.0,4634.0,,,,,5697.4,9471.2,,7993.6,6514.0,,3740.6,3630.0,5364.5,,6307.5,6938.2,,6549.0,5472.9,,,,,3218.9,11530.0,,,5850.5,-2074.0,,-837.8,-914.0,-2200.0,,,,,-1136.6,2637.2,,1159.6,-320.0,,-3093.4,-3204.0,-1469.5,,-526.5,104.2,,-285.0,-1361.1,,,,,-3615.1,4696.0,,,-983.5,,True,True,False,,,,,True,False,,True,True,,False,False,True,,True,True,,True,True,,,,,False,False,,,True
01099,426,412.0,,,397.0,529.0,,,,,267.5,465.9,,,396.0,,273.9,265.5,,,756.0,413.3,,454.0,282.3,,,,,,,,,435.6,-14.0,,,-29.0,103.0,,,,,-158.5,39.9,,,-30.0,,-152.1,-160.5,,,330.0,-12.7,,28.0,-143.7,,,,,,,,,9.6,,,False,False,,,,,False,False,,,False,,False,False,,,False,True,,False,False,,,,,,,,,True
01101,4181,4096.0,,,4737.0,6027.0,,,,,3362.7,6351.1,,7250.9,3089.0,,6091.1,2358.1,4047.5,,4898.0,4488.1,,4873.0,4781.9,,,,,3152.8,4961.0,,,6414.8,-85.0,,,556.0,1846.0,,,,,-818.3,2170.1,,3069.9,-1092.0,,1910.1,-1822.9,-133.5,,717.0,307.1,,692.0,600.9,,,,,-1028.2,780.0,,,2233.8,,,False,False,,,,,False,False,,False,False,,False,False,False,,False,False,,False,False,,,,,False,False,,,False
