,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,180875,139464.0,211966.7,136864.4,140729.0,126413.0,,159475.2,107583.0,242205.9,123737.8,,167108.4,168802.0,177611.8,141326.8,141925.0,96990.2,124408.0,251342.0,191945.0,119106.4,142532.3,182525.0,175080.0,,125425.3,97165.7,,117001.0,191483.9,116310.1,143910.0,119675.8,-41411.0,31091.7,-44010.6,-40146.0,-54462.0,,-21399.8,-73292.0,61330.9,-57137.2,,-13766.6,-12073.0,-3263.2,-39548.2,-38950.0,-83884.8,-56467.0,70467.0,11070.0,-61768.6,-38342.7,1650.0,-5795.0,,-55449.7,-83709.3,,-63874.0,10608.9,-64564.9,-36965.0,-61199.2,True,False,True,False,,True,False,False,False,,True,True,True,True,True,False,False,False,True,False,True,True,True,,False,False,,False,True,False,True,False
Hawaii,3218,2643.0,3461.5,2652.7,2685.0,2236.0,,2776.0,1213.0,6080.5,2828.3,,2993.3,,3258.9,2611.9,2482.0,6536.6,2769.5,2505.9,2567.5,2469.8,2984.5,3182.0,4298.0,,2659.7,2275.5,,2034.6,3396.5,2757.5,2705.0,1490.7,-575.0,243.5,-565.3,-533.0,-982.0,,-442.0,-2005.0,2862.5,-389.7,,-224.7,,40.9,-606.1,-736.0,3318.6,-448.5,-712.1,-650.5,-748.2,-233.5,-36.0,1080.0,,-558.3,-942.5,,-1183.4,178.5,-460.5,-513.0,-1727.3,True,True,True,False,,True,False,False,True,,True,,True,False,False,False,True,False,False,False,True,True,False,,True,False,,False,True,True,True,False
Idaho,19489,20154.0,13801.7,20116.1,18763.0,13031.0,,23207.8,14611.0,32974.7,22443.7,,14802.4,25097.0,26277.9,15548.4,17755.0,15640.7,10581.5,25695.2,19985.5,13147.2,19497.4,21136.0,20842.0,,9294.1,19561.5,,16032.2,35270.4,23028.8,18543.0,17045.2,665.0,-5687.3,627.1,-726.0,-6458.0,,3718.8,-4878.0,13485.7,2954.7,,-4686.6,5608.0,6788.9,-3940.6,-1734.0,-3848.3,-8907.5,6206.2,496.5,-6341.8,8.4,1647.0,1353.0,,-10194.9,72.5,,-3456.8,15781.4,3539.8,-946.0,-2443.8,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,True,,False,False,False,False,False
Illinois,130525,119325.0,113196.2,123136.5,104531.0,83780.0,,115869.9,66425.0,129055.1,103919.6,,83526.6,133782.0,159499.6,68233.3,111743.0,101002.4,62252.5,119537.5,97529.0,82806.7,102820.5,115136.0,113714.0,,78302.4,65055.8,,93680.6,187497.6,110249.5,122357.0,85855.1,-11200.0,-17328.8,-7388.5,-25994.0,-46745.0,,-14655.1,-64100.0,-1469.9,-26605.4,,-46998.4,3257.0,28974.6,-62291.7,-18782.0,-29522.6,-68272.5,-10987.5,-32996.0,-47718.3,-27704.5,-15389.0,-16811.0,,-52222.6,-65469.2,,-36844.4,56972.6,-20275.5,-8168.0,-44669.9,False,True,False,False,,False,False,True,False,,False,True,False,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,True,False
Indiana,95028,102450.0,107321.9,103948.5,93599.0,70611.0,,102234.7,76912.0,103218.7,70988.2,,73308.1,107228.0,118793.9,55630.5,93076.0,63613.5,57731.5,105701.7,64670.5,64233.9,81196.0,104325.0,97396.0,,62693.8,68164.0,,70306.9,151642.3,93563.2,97345.0,92456.7,7422.0,12293.9,8920.5,-1429.0,-24417.0,,7206.7,-18116.0,8190.7,-24039.8,,-21719.9,12200.0,23765.9,-39397.5,-1952.0,-31414.5,-37296.5,10673.7,-30357.5,-30794.1,-13832.0,9297.0,2368.0,,-32334.2,-26864.0,,-24721.1,56614.3,-1464.8,2317.0,-2571.3,False,False,True,False,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,,False,False,True,True,True
Iowa,29955,23502.0,16777.2,24395.5,22338.0,15292.0,,26600.7,24423.0,28034.0,31787.9,,17174.3,35379.0,30368.5,14517.6,24189.0,23849.5,7882.5,16388.3,25500.0,17065.1,22812.2,25204.0,33108.0,,16451.5,9136.7,,18945.9,56266.1,26250.5,24508.0,18536.6,-6453.0,-13177.8,-5559.5,-7617.0,-14663.0,,-3354.3,-5532.0,-1921.0,1832.9,,-12780.7,5424.0,413.5,-15437.4,-5766.0,-6105.5,-22072.5,-13566.7,-4455.0,-12889.9,-7142.8,-4751.0,3153.0,,-13503.5,-20818.3,,-11009.1,26311.1,-3704.5,-5447.0,-11418.4,False,True,False,False,,True,True,True,True,,False,True,True,False,True,True,False,False,True,False,False,True,True,,False,False,,False,False,True,True,False
Kansas,45773,28020.0,28598.1,25879.8,28644.0,16096.0,,34761.5,55999.0,13094.1,43166.6,,44294.3,42867.0,56500.8,29523.1,24582.0,25166.2,14069.5,36286.1,27912.0,16344.4,31601.7,34978.0,32237.0,,16204.9,21645.2,,31661.3,69299.0,36070.8,26747.0,20666.2,-17753.0,-17174.9,-19893.2,-17129.0,-29677.0,,-11011.5,10226.0,-32678.9,-2606.4,,-1478.7,-2906.0,10727.8,-16249.9,-21191.0,-20606.8,-31703.5,-9486.9,-17861.0,-29428.6,-14171.3,-10795.0,-13536.0,,-29568.1,-24127.8,,-14111.7,23526.0,-9702.2,-19026.0,-25106.8,True,False,True,False,,True,True,False,True,,True,True,True,True,False,False,False,True,False,False,True,True,True,,False,False,,True,False,True,False,False
Kentucky,68762,44997.0,71446.7,46725.7,43871.0,33366.0,,49312.2,31927.0,128151.2,60458.4,,35700.2,52490.0,63219.8,38936.6,37048.0,38319.0,22127.0,48652.8,43908.0,30545.1,52639.0,54417.0,41260.0,,34080.4,57364.9,,37244.5,86588.8,54230.8,50108.0,41341.2,-23765.0,2684.7,-22036.3,-24891.0,-35396.0,,-19449.8,-36835.0,59389.2,-8303.6,,-33061.8,-16272.0,-5542.2,-29825.4,-31714.0,-30443.0,-46635.0,-20109.2,-24854.0,-38216.9,-16123.0,-14345.0,-27502.0,,-34681.6,-11397.1,,-31517.5,17826.8,-14531.2,-18654.0,-27420.8,True,True,False,False,,True,False,False,True,,False,True,True,False,False,False,False,True,False,False,True,True,False,,False,True,,False,True,True,True,False
Louisiana,68354,42195.0,62710.1,41697.0,42838.0,32080.0,,49982.9,67989.0,4451084.2,48110.3,,41190.6,58362.0,49249.9,37795.5,48556.0,38055.4,23940.0,56139.4,43195.5,29388.8,46737.8,49053.0,54230.0,,28682.7,92005.7,,37965.8,73838.4,35430.4,39915.0,32095.4,-26159.0,-5643.9,-26657.0,-25516.0,-36274.0,,-18371.1,-365.0,4382730.2,-20243.7,,-27163.4,-9992.0,-19104.1,-30558.5,-19798.0,-30298.6,-44414.0,-12214.6,-25158.5,-38965.2,-21616.2,-19301.0,-14124.0,,-39671.3,23651.7,,-30388.2,5484.4,-32923.6,-28439.0,-36258.6,True,False,True,False,,True,True,False,True,,False,True,True,False,True,False,False,True,True,False,True,True,True,,False,True,,False,True,False,False,False
Maine,11672,8427.0,12427.5,8441.5,10671.0,7590.0,,11096.7,10700.0,9193.8,10695.8,,13089.0,10731.0,14926.5,14180.1,11821.0,12877.4,11287.5,18271.2,13496.0,8075.4,14039.5,13161.0,9531.0,,7201.2,13031.1,,9116.7,13446.3,9806.9,10267.0,6616.8,-3245.0,755.5,-3230.5,-1001.0,-4082.0,,-575.3,-972.0,-2478.2,-976.2,,1417.0,-941.0,3254.5,2508.1,149.0,1205.4,-384.5,6599.2,1824.0,-3596.6,2367.5,1489.0,-2141.0,,-4470.8,1359.1,,-2555.3,1774.3,-1865.1,-1405.0,-5055.2,True,True,True,False,,True,True,True,True,,True,True,False,True,True,True,True,False,True,False,True,True,True,,False,True,,True,True,True,True,False
Maryland,58591,50058.0,57945.3,50069.7,49696.0,48389.0,,49259.9,56065.0,55591.1,36658.0,,45540.1,51868.0,56866.7,32077.0,55520.0,53228.2,55306.5,50797.8,39112.0,41441.0,52089.7,54648.0,52378.0,,39726.3,75569.3,,52766.5,80270.9,44726.0,46149.0,36018.6,-8533.0,-645.7,-8521.3,-8895.0,-10202.0,,-9331.1,-2526.0,-2999.9,-21933.0,,-13050.9,-6723.0,-1724.3,-26514.0,-3071.0,-5362.8,-3284.5,-7793.2,-19479.0,-17150.0,-6501.3,-3943.0,-6213.0,,-18864.7,16978.3,,-5824.5,21679.9,-13865.0,-12442.0,-22572.4,True,True,False,False,,False,True,True,False,,False,True,True,False,True,True,True,True,False,False,True,True,True,,False,False,,True,False,False,False,False
Massachusetts,116124,90996.0,110192.2,90879.6,85766.0,66022.0,,102931.5,95101.0,80863.1,103145.9,,84477.2,105497.0,131713.0,71777.0,78295.0,82207.3,59830.5,189201.6,81898.5,76278.5,106757.7,75523.0,86147.0,,77223.1,138964.4,,80059.6,157678.0,87627.4,107074.0,71320.1,-25128.0,-5931.8,-25244.4,-30358.0,-50102.0,,-13192.5,-21023.0,-35260.9,-12978.1,,-31646.8,-10627.0,15589.0,-44347.0,-37829.0,-33916.7,-56293.5,73077.6,-34225.5,-39845.5,-9366.3,-40601.0,-29977.0,,-38900.9,22840.4,,-36064.4,41554.0,-28496.6,-9050.0,-44803.9,True,False,False,False,,True,True,False,True,,False,True,True,False,False,False,False,False,False,False,True,False,False,,False,True,,False,False,False,True,False
Michigan,65459,60810.0,56596.0,61210.6,56175.0,30912.0,,56666.6,56469.0,306956.3,93543.4,,38451.4,80838.0,68883.3,29196.0,28103.0,57550.5,24006.0,61605.7,45755.0,41277.1,62101.0,67825.0,55162.0,,35655.2,54859.6,,125981.5,113166.9,62593.5,65050.0,62277.5,-4649.0,-8863.0,-4248.4,-9284.0,-34547.0,,-8792.4,-8990.0,241497.3,28084.4,,-27007.6,15379.0,3424.3,-36263.0,-37356.0,-7908.5,-41453.0,-3853.3,-19704.0,-24181.9,-3358.0,2366.0,-10297.0,,-29803.8,-10599.4,,60522.5,47707.9,-2865.5,-409.0,-3181.5,False,True,False,False,,False,False,False,False,,False,False,True,False,False,False,False,True,False,False,True,True,False,,False,False,,False,False,True,True,True
Minnesota,38502,35730.0,43638.4,38451.1,31696.0,20070.0,,36832.6,55692.0,43513.5,42989.7,,16875.8,50744.0,40105.9,14006.2,18259.0,34142.9,13637.0,31643.8,22065.0,29628.4,40359.4,33802.0,38051.0,,18995.8,33200.6,,29209.4,85570.1,28760.0,41784.0,28659.3,-2772.0,5136.4,-50.9,-6806.0,-18432.0,,-1669.4,17190.0,5011.5,4487.7,,-21626.2,12242.0,1603.9,-24495.8,-20243.0,-4359.1,-24865.0,-6858.2,-16437.0,-8873.6,1857.4,-4700.0,-451.0,,-19506.2,-5301.4,,-9292.6,47068.1,-9742.0,3282.0,-9842.7,False,True,False,False,,True,False,False,False,,False,False,True,False,False,False,False,False,False,False,True,False,True,,False,False,,False,False,False,False,False
Mississippi,45846,38736.0,43039.6,37637.6,39754.0,27030.0,,44149.1,53993.0,58774.4,26621.5,,36880.7,46351.0,44859.9,33771.3,42795.0,28143.8,30944.5,64639.5,47689.0,28105.5,39240.5,44027.0,42441.0,,33362.6,29002.8,,35098.4,66246.4,35388.6,40091.0,31857.1,-7110.0,-2806.4,-8208.4,-6092.0,-18816.0,,-1696.9,8147.0,12928.4,-19224.5,,-8965.3,505.0,-986.1,-12074.7,-3051.0,-17702.2,-14901.5,18793.5,1843.0,-17740.5,-6605.5,-1819.0,-3405.0,,-12483.4,-16843.2,,-10747.6,20400.4,-10457.4,-5755.0,-13988.9,True,False,True,False,,True,False,False,False,,False,True,True,False,True,False,False,False,True,False,True,True,True,,False,False,,False,False,False,True,False
Missouri,77443,53775.0,89283.7,54591.8,51693.0,36678.0,,56065.1,53132.0,83156.5,42527.2,,41387.5,66004.0,62349.4,32844.8,57159.0,40737.6,32942.0,52016.4,50919.0,39726.1,50467.9,57259.0,80949.0,,47495.0,42251.2,,55067.3,100461.7,52329.5,50968.0,45343.5,-23668.0,11840.7,-22851.2,-25750.0,-40765.0,,-21377.9,-24311.0,5713.5,-34915.8,,-36055.5,-11439.0,-15093.6,-44598.2,-20284.0,-36705.4,-44501.0,-25426.6,-26524.0,-37716.9,-26975.1,-20184.0,3506.0,,-29948.0,-35191.8,,-22375.7,23018.7,-25113.5,-26475.0,-32099.5,True,True,False,False,,True,False,True,False,,False,True,True,False,True,False,False,False,False,False,False,True,True,,False,False,,True,True,False,False,False
Montana,9623,8442.0,12718.1,8275.9,7834.0,5105.0,,8917.9,4479.0,15285.4,9045.1,,5495.7,11105.0,9474.2,4989.0,6027.0,6897.4,3071.0,7654.1,7361.0,5575.1,9858.0,8861.0,9846.0,,8127.1,10375.6,,6521.7,12543.0,7975.8,8960.0,5563.6,-1181.0,3095.1,-1347.1,-1789.0,-4518.0,,-705.1,-5144.0,5662.4,-577.9,,-4127.3,1482.0,-148.8,-4634.0,-3596.0,-2725.6,-6552.0,-1968.9,-2262.0,-4047.9,235.0,-762.0,223.0,,-1495.9,752.6,,-3101.3,2920.0,-1647.2,-663.0,-4059.4,False,False,False,False,,True,False,False,True,,False,False,True,False,False,False,False,False,False,False,True,True,True,,False,True,,False,False,False,True,False
Nebraska,19573,17766.0,8568.9,17364.7,15100.0,14965.0,,18153.7,14754.0,17636.5,18170.1,,10468.7,20734.0,21996.5,8121.4,16050.0,15650.8,10115.5,14182.3,13078.5,12940.7,16866.5,16943.0,21306.0,,12108.3,24012.4,,23956.1,34091.9,13568.2,17202.0,15124.2,-1807.0,-11004.1,-2208.3,-4473.0,-4608.0,,-1419.3,-4819.0,-1936.5,-1402.9,,-9104.3,1161.0,2423.5,-11451.6,-3523.0,-3922.2,-9457.5,-5390.7,-6494.5,-6632.3,-2706.5,-2630.0,1733.0,,-7464.7,4439.4,,4383.1,14518.9,-6004.8,-2371.0,-4448.8,False,False,False,False,,True,False,False,True,,False,True,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,False
Nevada,44437,41385.0,47168.0,41294.1,39970.0,27540.0,,42963.4,39201.0,75769.8,37884.8,,38744.6,47632.0,56689.8,29546.6,46038.0,24126.6,27204.5,32883.8,44739.5,34237.6,38791.0,44443.0,37381.0,,29703.0,48144.2,,40207.3,76217.8,32408.8,41503.0,5232.2,-3052.0,2731.0,-3142.9,-4467.0,-16897.0,,-1473.6,-5236.0,31332.8,-6552.2,,-5692.4,3195.0,12252.8,-14890.4,1601.0,-20310.4,-17232.5,-11553.2,302.5,-10199.4,-5646.0,6.0,-7056.0,,-14734.0,3707.2,,-4229.7,31780.8,-12028.2,-2934.0,-39204.8,True,False,False,False,,True,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,True,False,,False,False,,False,False,False,True,False
