,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,271623,193345.0,211375.0,,224583.6,160973.0,,223910.0,283494.5,293998.5,145006.4,374460.2,254292.0,,,149356.1,187192.0,,-78278.0,-60248.0,,-47039.4,-110650.0,,-47713.0,11871.5,22375.5,-126616.6,102837.2,-17331.0,,,-122266.9,-84431.0,,True,,True,False,,True,True,True,False,False,True,,,False,False,
Hawaii,4963,3865.0,4577.0,,3906.2,1793.0,,,4329.8,2228.7,9992.4,3831.3,3286.5,,,2219.5,3750.0,3457.9,-1098.0,-386.0,,-1056.8,-3170.0,,,-633.2,-2734.3,5029.4,-1131.7,-1676.5,,,-2743.5,-1213.0,-1505.1,True,,True,False,,,True,False,False,False,False,,,False,False,False
Idaho,34644,54635.0,48077.0,,55361.4,30349.0,,58955.0,79616.2,56192.7,34700.2,59274.0,44832.0,,,36592.1,47852.0,59120.6,19991.0,13433.0,,20717.4,-4295.0,,24311.0,44972.2,21548.7,56.2,24630.0,10188.0,,,1948.1,13208.0,24476.6,True,,False,True,,False,False,False,True,False,True,,,True,True,False
Illinois,222979,308565.0,271487.0,,264289.6,200802.0,,310732.0,301313.0,158648.4,282199.7,232292.0,270874.0,,,388223.1,201910.0,,85586.0,48508.0,,41310.6,-22177.0,,87753.0,78334.0,-64330.6,59220.7,9313.0,47895.0,,,165244.1,-21069.0,,True,,True,True,,False,True,True,True,True,True,,,False,True,
Indiana,167513,222585.0,179817.0,,233983.7,204237.0,,237786.0,288109.4,153886.6,131602.6,246659.0,198090.0,,,171223.3,180145.0,196774.8,55072.0,12304.0,,66470.7,36724.0,,70273.0,120596.4,-13626.4,-35910.4,79146.0,30577.0,,,3710.3,12632.0,29261.8,True,,False,True,,False,False,True,True,False,True,,,True,True,True
Iowa,49739,58120.0,43655.0,,57331.0,92951.0,,72953.0,57189.3,22809.7,38124.2,29397.3,41525.0,,,55338.7,33494.0,31439.7,8381.0,-6084.0,,7592.0,43212.0,,23214.0,7450.3,-26929.3,-11614.8,-20341.7,-8214.0,,,5599.7,-16245.0,-18299.3,True,,True,False,,False,True,False,False,False,True,,,True,False,False
Kansas,70294,85485.0,76921.0,,81814.0,104211.0,,84136.0,102243.6,46956.4,45807.2,90905.5,140105.5,,,89214.2,66738.0,58626.7,15191.0,6627.0,,11520.0,33917.0,,13842.0,31949.6,-23337.6,-24486.8,20611.5,69811.5,,,18920.2,-3556.0,-11667.3,True,,True,False,,True,False,False,False,False,False,,,False,True,True
Kentucky,103665,112975.0,103601.0,,128323.0,69714.0,,134768.0,171722.9,112916.6,72701.4,180514.0,102755.0,,,85848.2,98602.0,145343.7,9310.0,-64.0,,24658.0,-33951.0,,31103.0,68057.9,9251.6,-30963.6,76849.0,-910.0,,,-17816.8,-5063.0,41678.7,True,,False,False,,False,False,True,False,False,True,,,False,True,False
Louisiana,100662,85070.0,85044.0,,100535.9,152626.0,,93779.0,109060.2,96186.0,84654.5,161214.8,76060.5,,,64385.3,67982.0,97000.4,-15592.0,-15618.0,,-126.1,51964.0,,-6883.0,8398.2,-4476.0,-16007.5,60552.8,-24601.5,,,-36276.7,-32680.0,-3661.6,False,,True,False,,True,True,True,False,False,False,,,False,False,True
Maine,17599,12465.0,17922.0,,12721.1,13768.0,,16420.0,21055.7,20152.3,13417.5,18787.6,15294.5,,,16146.2,13744.0,12258.6,-5134.0,323.0,,-4877.9,-3831.0,,-1179.0,3456.7,2553.3,-4181.5,1188.6,-2304.5,,,-1452.8,-3855.0,-5340.4,True,,True,True,,True,True,True,True,True,True,,,True,True,False
Maryland,92022,98125.0,110134.0,,100902.9,156331.0,,111384.0,133757.0,100283.1,107526.7,137391.2,108803.0,,,95160.3,87401.0,107727.0,6103.0,18112.0,,8880.9,64309.0,,19362.0,41735.0,8261.1,15504.7,45369.2,16781.0,,,3138.3,-4621.0,15705.0,False,,False,False,,False,False,False,False,False,False,,,True,True,False
Massachusetts,180001,168540.0,183396.0,,209734.3,156598.0,,202877.0,302179.5,335906.7,160595.3,322084.2,222700.5,,,185168.4,231264.0,367243.2,-11461.0,3395.0,,29733.3,-23403.0,,22876.0,122178.5,155905.7,-19405.7,142083.2,42699.5,,,5167.4,51263.0,187242.2,True,,False,False,,False,False,False,False,False,False,,,True,False,False
Michigan,116626,192915.0,122788.0,,190214.1,164985.0,,228303.0,274573.0,144629.1,183728.3,158297.1,131734.0,,,286767.3,115336.0,209402.9,76289.0,6162.0,,73588.1,48359.0,,111677.0,157947.0,28003.1,67102.3,41671.1,15108.0,,,170141.3,-1290.0,92776.9,True,,True,True,,False,False,True,True,True,True,,,False,True,False
Minnesota,69649,150585.0,99758.0,,154353.4,165367.0,,179805.0,168358.0,80535.6,86649.2,90607.7,84551.5,,,123395.4,93929.0,133909.2,80936.0,30109.0,,84704.4,95718.0,,110156.0,98709.0,10886.6,17000.2,20958.7,14902.5,,,53746.4,24280.0,64260.2,True,,False,False,,False,False,True,True,True,True,,,True,True,True
Mississippi,72922,72445.0,58481.0,,77675.8,64771.0,,76080.0,117171.6,110646.8,39538.5,97624.1,86823.0,,,69775.2,88440.0,137629.0,-477.0,-14441.0,,4753.8,-8151.0,,3158.0,44249.6,37724.8,-33383.5,24702.1,13901.0,,,-3146.8,15518.0,64707.0,False,,False,False,,False,False,False,False,False,False,,,False,False,False
Missouri,98858,124000.0,103781.0,,119431.8,157673.0,,131275.0,117425.9,70285.9,78747.5,99864.3,110554.0,,,125682.9,95879.0,,25142.0,4923.0,,20573.8,58815.0,,32417.0,18567.9,-28572.1,-20110.5,1006.3,11696.0,,,26824.9,-2979.0,,True,,True,False,,False,True,False,True,True,True,,,False,True,
Montana,16412,27875.0,16745.0,,26257.1,11550.0,,31373.0,28369.8,13427.2,10449.2,18120.5,18819.0,,,16552.3,19476.0,16403.7,11463.0,333.0,,9845.1,-4862.0,,14961.0,11957.8,-2984.8,-5962.8,1708.5,2407.0,,,140.3,3064.0,-8.3,True,,True,True,,False,False,True,True,True,True,,,True,True,True
Nebraska,33222,45600.0,23751.0,,48916.5,48966.0,,57065.0,47753.9,33212.4,31067.5,31568.3,33644.0,,,41976.4,28204.0,41283.3,12378.0,-9471.0,,15694.5,15744.0,,23843.0,14531.9,-9.6,-2154.5,-1653.7,422.0,,,8754.4,-5018.0,8061.3,True,,False,False,,False,False,True,True,True,True,,,True,True,True
Nevada,76141,91605.0,78487.0,,103736.3,90942.0,,94303.0,140275.4,84330.1,62144.1,163009.7,97660.0,,,105028.1,82747.0,129981.3,15464.0,2346.0,,27595.3,14801.0,,18162.0,64134.4,8189.1,-13996.9,86868.7,21519.0,,,28887.1,6606.0,53840.3,True,,False,True,,False,False,True,True,False,False,,,False,True,False
New Hampshire,25701,30530.0,36797.0,,32711.4,40717.0,,38639.0,50638.6,56041.3,26312.6,83975.0,45015.0,,,43185.0,23669.0,59912.9,4829.0,11096.0,,7010.4,15016.0,,12938.0,24937.6,30340.3,611.6,58274.0,19314.0,,,17484.0,-2032.0,34211.9,False,,False,False,,False,False,False,True,False,False,,,False,True,False
New Jersey,186318,172550.0,171380.0,,182128.7,275863.0,,184780.0,204802.0,185250.3,165328.2,222212.2,161074.0,,,188473.6,164959.0,212771.2,-13768.0,-14938.0,,-4189.3,89545.0,,-1538.0,18484.0,-1067.7,-20989.8,35894.2,-25244.0,,,2155.6,-21359.0,26453.2,False,,True,False,,True,False,True,False,False,False,,,True,False,False
New Mexico,44535,57510.0,46651.0,,54187.9,46611.0,,66244.0,84626.7,26131.1,35480.1,43120.6,54836.5,,,34116.7,38576.0,44081.8,12975.0,2116.0,,9652.9,2076.0,,21709.0,40091.7,-18403.9,-9054.9,-1414.4,10301.5,,,-10418.3,-5959.0,-453.2,True,,True,True,,False,False,False,True,True,True,,,True,True,True
New York,454639,344205.0,334713.0,,491270.8,714425.0,,361813.0,558962.0,1087457.4,436060.6,783833.8,359229.5,,,283281.3,329365.0,602110.7,-110434.0,-119926.0,,36631.8,259786.0,,-92826.0,104323.0,632818.4,-18578.4,329194.8,-95409.5,,,-171357.7,-125274.0,147471.7,False,,True,False,,True,True,False,True,False,True,,,False,False,False
North Carolina,238050,206120.0,244996.0,,234262.2,240328.0,,244082.0,274649.0,290634.5,166284.9,344493.1,264364.5,,,154097.6,232970.0,286072.5,-31930.0,6946.0,,-3787.8,2278.0,,6032.0,36599.0,52584.5,-71765.1,106443.1,26314.5,,,-83952.4,-5080.0,48022.5,True,,True,True,,True,False,False,False,False,True,,,False,True,False
North Dakota,8124,25430.0,7336.0,,20540.9,7300.0,,30927.0,20060.2,9660.3,11314.9,11850.8,7867.0,,,15632.4,18352.0,10979.8,17306.0,-788.0,,12416.9,-824.0,,22803.0,11936.2,1536.3,3190.9,3726.8,-257.0,,,7508.4,10228.0,2855.8,True,,True,True,,False,True,True,True,True,True,,,True,True,True
Ohio,268046,430145.0,356923.0,,444541.5,563625.0,,470553.0,510378.2,526994.0,259244.6,465733.0,351159.0,,,596440.8,367930.0,415129.2,162099.0,88877.0,,176495.5,295579.0,,202507.0,242332.2,258948.0,-8801.4,197687.0,83113.0,,,328394.8,99884.0,147083.2,True,,False,False,,False,False,False,True,False,True,,,False,True,True
Oklahoma,118329,100455.0,83704.0,,111786.4,244594.0,,133974.0,129770.6,61876.8,61287.4,106112.5,82504.0,,,97239.3,97961.0,95094.4,-17874.0,-34625.0,,-6542.6,126265.0,,15645.0,11441.6,-56452.2,-57041.6,-12216.5,-35825.0,,,-21089.7,-20368.0,-23234.6,False,,True,False,,True,True,False,False,True,False,,,False,False,False
Oregon,39573,47980.0,40063.0,,54254.7,69455.0,,54242.0,76947.2,58951.4,52326.5,57320.2,36620.5,,,74715.4,39309.0,86845.1,8407.0,490.0,,14681.7,29882.0,,14669.0,37374.2,19378.4,12753.5,17747.2,-2952.5,,,35142.4,-264.0,47272.1,True,,False,False,,False,False,False,False,False,True,,,False,True,False
Pennsylvania,280159,348475.0,344620.0,,395643.3,608885.0,,395422.0,561942.2,534419.1,309358.0,734036.4,449168.5,,,242556.5,371653.0,498760.9,68316.0,64461.0,,115484.3,328726.0,,115263.0,281783.2,254260.1,29199.0,453877.4,169009.5,,,-37602.5,91494.0,218601.9,True,,False,False,,False,False,False,True,False,False,,,True,False,False
Rhode Island,33625,43405.0,31276.0,,46258.6,26677.0,,47702.0,58188.5,50834.1,21897.5,79048.3,38639.0,,,22849.0,29177.0,70970.2,9780.0,-2349.0,,12633.6,-6948.0,,14077.0,24563.5,17209.1,-11727.5,45423.3,5014.0,,,-10776.0,-4448.0,37345.2,True,,False,True,,False,False,False,False,False,True,,,False,True,False
South Carolina,133624,97815.0,127784.0,,106897.4,103375.0,,110160.0,132503.3,143477.3,70144.4,208208.7,131637.0,,,95224.4,116332.0,124300.6,-35809.0,-5840.0,,-26726.6,-30249.0,,-23464.0,-1120.7,9853.3,-63479.6,74584.7,-1987.0,,,-38399.6,-17292.0,-9323.4,True,,True,True,,True,True,True,False,False,True,,,False,True,True
South Dakota,14871,25515.0,15907.0,,24120.9,15605.0,,28202.0,26160.3,12522.9,11293.3,17034.6,15427.5,,,31627.3,16073.0,18330.2,10644.0,1036.0,,9249.9,734.0,,13331.0,11289.3,-2348.1,-3577.7,2163.6,556.5,,,16756.3,1202.0,3459.2,True,,True,True,,False,False,True,True,True,True,,,False,True,True
Tennessee,237894,227155.0,197362.0,,237849.8,147707.0,,255278.0,266924.5,251357.5,122676.2,270640.1,317071.5,,,201897.5,253620.0,287456.4,-10739.0,-40532.0,,-44.2,-90187.0,,17384.0,29030.5,13463.5,-115217.8,32746.1,79177.5,,,-35996.5,15726.0,49562.4,False,,True,False,,False,False,False,False,False,False,,,False,False,False
Texas,638386,445425.0,492296.0,,457785.6,567999.0,,545970.0,655518.6,690353.5,496712.2,542350.6,416304.5,,,413506.5,372267.0,523407.3,-192961.0,-146090.0,,-180600.4,-70387.0,,-92416.0,17132.6,51967.5,-141673.8,-96035.4,-222081.5,,,-224879.5,-266119.0,-114978.7,True,,True,True,,True,True,True,True,True,False,,,False,False,True
Utah,90431,94885.0,60033.0,,107074.0,133162.0,,120843.0,122402.4,53843.5,50620.1,93101.1,78346.5,,,64172.4,79190.0,76777.8,4454.0,-30398.0,,16643.0,42731.0,,30412.0,31971.4,-36587.5,-39810.9,2670.1,-12084.5,,,-26258.6,-11241.0,-13653.2,False,,False,False,,False,False,False,False,True,False,,,False,False,False
Vermont,4289,3660.0,4582.0,,4370.0,16980.0,,5468.0,5146.5,6210.3,3264.4,14174.2,3986.5,,,5391.6,4019.0,4873.7,-629.0,293.0,,81.0,12691.0,,1179.0,857.5,1921.3,-1024.6,9885.2,-302.5,,,1102.6,-270.0,584.7,True,,True,False,,False,False,False,False,False,True,,,False,True,True
Virginia,150776,137210.0,196447.0,,144160.6,104611.0,,136722.0,179075.1,214633.4,122170.4,216157.4,154202.5,,,131512.4,151887.0,158135.0,-13566.0,45671.0,,-6615.4,-46165.0,,-14054.0,28299.1,63857.4,-28605.6,65381.4,3426.5,,,-19263.6,1111.0,7359.0,False,,True,False,,False,False,False,False,False,True,,,False,True,True
Washington,77253,119710.0,172857.0,,123864.6,184273.0,,95684.0,181506.5,117017.5,120839.8,117002.7,92798.0,,,178608.7,109470.0,,42457.0,95604.0,,46611.6,107020.0,,18431.0,104253.5,39764.5,43586.8,39749.7,15545.0,,,101355.7,32217.0,,False,,False,False,,True,False,True,False,True,True,,,False,True,
West Virginia,45973,42895.0,44209.0,,44808.1,75043.0,,45177.0,59695.6,50375.8,22477.6,82359.0,41789.0,,,56922.9,42420.0,51346.7,-3078.0,-1764.0,,-1164.9,29070.0,,-796.0,13722.6,4402.8,-23495.4,36386.0,-4184.0,,,10949.9,-3553.0,5373.7,True,,True,False,,True,False,False,False,False,False,,,False,False,False
Wisconsin,100284,140365.0,112721.0,,135421.8,62164.0,,146546.0,146427.3,58440.1,80550.8,93036.9,110931.5,,,117688.9,102967.0,76276.0,40081.0,12437.0,,35137.8,-38120.0,,46262.0,46143.3,-41843.9,-19733.2,-7247.1,10647.5,,,17404.9,2683.0,-24008.0,True,,True,True,,False,False,False,True,True,True,,,True,True,True
Wyoming,10161,14830.0,10422.0,,13596.6,17517.0,,17533.0,15878.7,7017.5,5452.8,6765.7,8292.5,,,12054.0,13308.0,8739.8,4669.0,261.0,,3435.6,7356.0,,7372.0,5717.7,-3143.5,-4708.2,-3395.3,-1868.5,,,1893.0,3147.0,-1421.2,True,,True,False,,False,False,True,False,True,True,,,True,True,True
US,7563769,7404905.0,7551941.0,10510764.0,8703241.5,8867760.0,8006587.0,7723239.0,10504740.6,10120761.1,6047937.5,11476546.2,8568678.0,7526549.0,8102457.0,6673102.8,6962010.0,,-158864.0,-11828.0,2946995.0,1139472.5,1303991.0,442818.0,159470.0,2940971.6,2556992.1,-1515831.5,3912777.2,1004909.0,-37220.0,538688.0,-890666.2,-601759.0,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,
