,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Kentucky,23927,26427.0,23729.8,25243.7,26544.0,30759.0,,23550.6,13316.0,81943.2,35997.2,27209.5,,28629.2,26622.0,29277.3,34454.0,12427.0,20639.0,18047.7,30375.5,27042.6,20252.0,27341.1,27424.0,26547.0,,29011.0,,12475.1,,25179.6,17307.2,27683.0,27579.3,22390.0,32333.0,,2500.0,-197.2,1316.7,2617.0,6832.0,,-376.4,-10611.0,58016.2,12070.2,3282.5,,4702.2,2695.0,5350.3,10527.0,-11500.0,-3288.0,-5879.3,6448.5,3115.6,-3675.0,3414.1,3497.0,2620.0,,5084.0,,-11451.9,,1252.6,-6619.8,3756.0,3652.3,-1537.0,8406.0,,True,True,False,False,,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,True,False,False,False,True,False,
Louisiana,23422,26156.0,21309.7,26121.5,25758.0,31550.0,,23919.2,17163.0,53168.2,27195.8,23730.3,,28313.3,25954.0,29526.5,30040.0,12308.7,19849.5,21721.1,20853.5,26459.8,22038.0,27856.4,24784.0,27684.0,,26823.2,,19546.8,,25562.9,19784.0,25268.3,23345.1,22114.0,24519.1,,2734.0,-2112.3,2699.5,2336.0,8128.0,,497.2,-6259.0,29746.2,3773.8,308.3,,4891.3,2532.0,6104.5,6618.0,-11113.3,-3572.5,-1700.9,-2568.5,3037.8,-1384.0,4434.4,1362.0,4262.0,,3401.2,,-3875.2,,2140.9,-3638.0,1846.3,-76.9,-1308.0,1097.1,,True,True,True,False,,True,False,False,False,True,,False,True,False,False,False,False,True,True,False,True,False,True,False,,False,,False,,True,False,True,True,True,True,
Maine,4200,3774.0,3400.7,3775.5,3802.0,3828.0,,3749.6,3484.0,3842.6,3105.1,4216.9,,4003.1,3694.0,4327.2,3971.0,4406.8,3860.0,5325.2,3319.5,3704.1,4525.1,4182.6,4858.0,3660.0,,3929.4,,4857.0,,3648.2,4446.1,3717.0,4019.0,4132.0,5131.5,,-426.0,-799.3,-424.5,-398.0,-372.0,,-450.4,-716.0,-357.4,-1094.9,16.9,,-196.9,-506.0,127.2,-229.0,206.8,-340.0,1125.2,-880.5,-495.9,325.1,-17.4,658.0,-540.0,,-270.6,,657.0,,-551.8,246.1,-483.0,-181.0,-68.0,931.5,,False,True,True,True,,False,False,True,False,True,,True,False,True,True,True,True,False,False,False,True,True,False,False,,True,,False,,False,True,False,True,True,False,
Maryland,20667,20193.0,19663.2,20298.8,21375.0,22387.0,,19125.4,26516.0,22388.2,22298.9,23767.6,,24983.3,21768.0,21065.9,20432.0,14521.5,18996.5,19003.7,22451.0,25523.0,16737.4,22624.3,21296.0,21175.0,,22413.0,,25336.1,,21079.3,21665.3,21253.1,24115.8,20479.0,32791.5,,-474.0,-1003.8,-368.2,708.0,1720.0,,-1541.6,5849.0,1721.2,1631.9,3100.6,,4316.3,1101.0,398.9,-235.0,-6145.5,-1670.5,-1663.3,1784.0,4856.0,-3929.6,1957.3,629.0,508.0,,1746.0,,4669.1,,412.3,998.3,586.1,3448.8,-188.0,12124.5,,False,True,False,False,,False,False,False,False,False,,False,False,True,True,False,False,False,False,False,False,False,False,False,,False,,False,,True,False,False,False,True,False,
Massachusetts,38591,42954.0,39135.7,43227.7,42988.0,52709.0,,38881.3,32152.0,40493.0,38795.6,45205.0,,48267.2,40724.0,43022.1,44523.0,20557.3,37144.0,39529.1,42781.5,47695.8,30153.8,46885.7,36200.0,41092.0,,49840.2,,41259.2,,48015.4,43643.9,37762.5,44155.5,42913.0,58926.0,,4363.0,544.7,4636.7,4397.0,14118.0,,290.3,-6439.0,1902.0,204.6,6614.0,,9676.2,2133.0,4431.1,5932.0,-18033.7,-1447.0,938.1,4190.5,9104.8,-8437.2,8294.7,-2391.0,2501.0,,11249.2,,2668.2,,9424.4,5052.9,-828.5,5564.5,4322.0,20335.0,,True,False,False,False,,True,False,True,True,False,,False,True,False,False,False,True,True,True,False,False,False,True,True,,False,,True,,False,False,True,False,True,False,
Michigan,19232,24432.0,29634.9,25297.7,24294.0,30848.0,,22896.8,8752.0,38921.6,43584.5,19850.2,,24156.0,27674.0,25840.8,31085.0,23299.4,19715.0,16676.5,21918.0,23024.4,21436.4,24356.4,25651.0,23228.0,,22442.1,,10000.5,,28869.3,16049.2,28110.0,25483.1,24869.0,27787.7,,5200.0,10402.9,6065.7,5062.0,11616.0,,3664.8,-10480.0,19689.6,24352.5,618.2,,4924.0,8442.0,6608.8,11853.0,4067.4,483.0,-2555.5,2686.0,3792.4,2204.4,5124.4,6419.0,3996.0,,3210.1,,-9231.5,,9637.3,-3182.8,8878.0,6251.1,5637.0,8555.7,,False,False,True,False,,True,False,False,False,True,,True,False,False,False,True,True,True,True,True,True,True,False,True,,True,,False,,False,True,False,False,False,False,
Minnesota,10634,16581.0,19284.2,18641.7,15369.0,20310.0,,13915.4,4593.0,14185.0,15609.9,16184.2,,13970.6,15354.0,11978.2,18925.0,9919.6,12442.5,6206.4,13439.0,15824.8,12572.8,16417.9,14127.0,17717.0,,15384.4,,5680.0,,17317.8,3111.9,16855.2,17272.2,14008.0,18958.7,,5947.0,8650.2,8007.7,4735.0,9676.0,,3281.4,-6041.0,3551.0,4975.9,5550.2,,3336.6,4720.0,1344.2,8291.0,-714.4,1808.5,-4427.6,2805.0,5190.8,1938.8,5783.9,3493.0,7083.0,,4750.4,,-4954.0,,6683.8,-7522.1,6221.2,6638.2,3374.0,8324.7,,False,False,True,False,,True,False,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,,True,,False,False,False,False,True,False,
Mississippi,14001,16591.0,15898.0,16544.2,16980.0,16757.0,,15189.2,13999.0,20408.1,15477.8,17315.8,,18744.7,17224.0,18047.3,14889.0,8965.2,15677.5,18356.2,18053.0,19557.4,15061.6,17466.3,17605.0,16375.0,,19108.2,,10497.9,,15824.1,18042.5,17632.0,17240.9,14198.0,19748.8,,2590.0,1897.0,2543.2,2979.0,2756.0,,1188.2,-2.0,6407.1,1476.8,3314.8,,4743.7,3223.0,4046.3,888.0,-5035.8,1676.5,4355.2,4052.0,5556.4,1060.6,3465.3,3604.0,2374.0,,5107.2,,-3503.1,,1823.1,4041.5,3631.0,3239.9,197.0,5747.8,,True,True,False,False,,True,True,False,True,False,,False,False,False,True,False,True,False,False,False,True,False,False,True,,False,,False,,True,False,False,False,True,False,
Missouri,16654,21638.0,23609.5,21326.7,21723.0,21808.0,,19870.2,12253.0,24135.0,22818.4,23404.4,,23593.0,25548.0,18650.2,21302.0,12148.5,19047.0,16290.2,18587.5,25959.0,22411.1,21848.4,21864.0,23310.0,,23263.0,,13393.2,,22211.6,18802.7,23646.9,23696.6,20984.0,23009.4,,4984.0,6955.5,4672.7,5069.0,5154.0,,3216.2,-4401.0,7481.0,6164.4,6750.4,,6939.0,8894.0,1996.2,4648.0,-4505.5,2393.0,-363.8,1933.5,9305.0,5757.1,5194.4,5210.0,6656.0,,6609.0,,-3260.8,,5557.6,2148.7,6992.9,7042.6,4330.0,6355.4,,False,True,False,False,,True,True,False,False,False,,False,False,True,True,True,True,True,True,False,False,False,False,False,,False,,True,,False,True,False,False,True,False,
Montana,2954,4158.0,4305.6,4404.6,3588.0,3539.0,,3124.7,1258.0,3601.6,4885.6,3312.1,,3418.1,3758.0,2700.1,4408.0,1773.2,2979.5,2218.9,1972.0,3868.5,3263.7,3942.6,3692.0,4684.0,,3886.5,,2511.5,,3827.7,1395.4,6046.0,4720.0,3221.0,3637.6,,1204.0,1351.6,1450.6,634.0,585.0,,170.7,-1696.0,647.6,1931.6,358.1,,464.1,804.0,-253.9,1454.0,-1180.8,25.5,-735.1,-982.0,914.5,309.7,988.6,738.0,1730.0,,932.5,,-442.5,,873.7,-1558.6,3092.0,1766.0,267.0,683.6,,False,False,True,True,,True,False,True,False,True,,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,,True,,True,False,False,False,True,True,
