,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,310292,190842.0,258152.0,,158732.2,196248.0,,162380.0,226960.4,175714.6,108537.9,204931.5,,195361.3,141610.0,,-119450.0,-52140.0,,-151559.8,-114044.0,,-147912.0,-83331.6,-134577.4,-201754.1,-105360.5,,-114930.7,-168682.0,,True,,False,True,,False,True,False,False,True,,True,False,
Hawaii,5736,3936.0,4036.0,,4015.7,2292.0,,,4321.3,3390.6,8785.7,3589.0,,2485.9,2547.0,382.8,-1800.0,-1700.0,,-1720.3,-3444.0,,,-1414.7,-2345.4,3049.7,-2147.0,,-3250.1,-3189.0,-5353.2,True,,True,False,,,True,False,False,False,,False,False,False
Idaho,45571,60270.0,54739.0,,58421.0,39825.0,,59427.0,81538.1,40171.7,33773.2,51943.5,,54447.9,38441.0,8608.3,14699.0,9168.0,,12850.0,-5746.0,,13856.0,35967.1,-5399.3,-11797.8,6372.5,,8876.9,-7130.0,-36962.7,True,,True,True,,True,False,True,True,True,,True,True,False
Illinois,284692,402234.0,427163.0,,340534.5,315933.0,,352983.0,412216.9,192378.9,317386.4,338770.5,,568874.2,213153.0,,117542.0,142471.0,,55842.5,31241.0,,68291.0,127524.9,-92313.1,32694.4,54078.5,,284182.2,-71539.0,,False,,True,True,,True,False,True,True,True,,False,True,
Indiana,212030,276066.0,255723.0,,264949.0,266842.0,,261577.0,443793.8,172739.0,156972.9,300917.0,,397478.4,209694.0,39325.5,64036.0,43693.0,,52919.0,54812.0,,49547.0,231763.8,-39291.0,-55057.1,88887.0,,185448.4,-2336.0,-172704.5,True,,True,True,,True,False,True,True,False,,False,True,False
Iowa,61363,97236.0,63490.0,,86635.9,151860.0,,100244.0,99877.8,30788.9,51908.2,71082.0,,93871.3,37080.0,6591.3,35873.0,2127.0,,25272.9,90497.0,,38881.0,38514.8,-30574.1,-9454.8,9719.0,,32508.3,-24283.0,-54771.7,True,,True,False,,False,False,True,True,True,,True,True,False
Kansas,87409,95178.0,73522.0,,105833.7,130435.0,,84479.0,155164.9,61143.1,53397.8,112030.5,,96904.6,32489.0,17003.7,7769.0,-13887.0,,18424.7,43026.0,,-2930.0,67755.9,-26265.9,-34011.2,24621.5,,9495.6,-54920.0,-70405.3,False,,False,False,,True,False,False,False,False,,False,False,False
Kentucky,126260,143292.0,135758.0,,145644.6,80463.0,,123871.0,245766.9,148915.7,79805.6,133213.5,,171649.9,112794.0,28348.7,17032.0,9498.0,,19384.6,-45797.0,,-2389.0,119506.9,22655.7,-46454.4,6953.5,,45389.9,-13466.0,-97911.3,True,,False,False,,True,False,False,False,True,,False,True,False
Louisiana,117676,99450.0,109652.0,,108333.7,112713.0,,114424.0,174578.7,264206.6,93448.3,80544.0,,79441.2,68628.0,19661.8,-18226.0,-8024.0,,-9342.3,-4963.0,,-3252.0,56902.7,146530.6,-24227.7,-37132.0,,-38234.8,-49048.0,-98014.2,True,,True,True,,True,False,False,False,False,,False,False,False
Maine,20092,11034.0,14597.0,,8696.8,16200.0,,13256.0,13090.2,10949.6,12753.0,11967.5,,17870.2,8147.0,1605.9,-9058.0,-5495.0,,-11395.2,-3892.0,,-6836.0,-7001.8,-9142.4,-7339.0,-8124.5,,-2221.8,-11945.0,-18486.1,True,,False,True,,True,True,False,True,True,,True,False,False
Maryland,111647,107616.0,139578.0,,106672.6,213017.0,,92409.0,159120.4,96501.2,116080.3,112287.5,,153135.6,75462.0,33776.3,-4031.0,27931.0,,-4974.4,101370.0,,-19238.0,47473.4,-15145.8,4433.3,640.5,,41488.6,-36185.0,-77870.7,False,,False,False,,False,False,False,False,True,,False,False,False
Massachusetts,213709,177288.0,258279.0,,166974.1,159762.0,,177366.0,212204.4,197755.6,181097.8,230800.5,,216044.4,181993.0,21416.3,-36421.0,44570.0,,-46734.9,-53947.0,,-36343.0,-1504.6,-15953.4,-32611.2,17091.5,,2335.4,-31716.0,-192292.7,False,,False,False,,True,True,True,True,True,,True,True,False
Michigan,155209,290544.0,227454.0,,317916.7,292824.0,,314479.0,432559.5,224076.6,261198.7,222111.0,,331916.1,136370.0,47506.8,135335.0,72245.0,,162707.7,137615.0,,159270.0,277350.5,68867.6,105989.7,66902.0,,176707.1,-18839.0,-107702.2,True,,False,False,,False,False,True,True,True,,False,True,True
Minnesota,99766,247548.0,220176.0,,243786.0,459430.0,,269217.0,353706.7,129761.2,114052.0,151168.5,,278993.3,150087.0,46524.3,147782.0,120410.0,,144020.0,359664.0,,169451.0,253940.7,29995.2,14286.0,51402.5,,179227.3,50321.0,-53241.7,True,,True,False,,False,False,True,True,True,,False,True,True
Mississippi,87411,81108.0,70548.0,,67316.4,72395.0,,80239.0,112064.5,109257.4,43414.0,86957.5,,56467.1,76762.0,14580.0,-6303.0,-16863.0,,-20094.6,-15016.0,,-7172.0,24653.5,21846.4,-43997.0,-453.5,,-30943.9,-10649.0,-72831.0,False,,False,False,,False,False,False,False,True,,False,False,False
Missouri,123622,158958.0,140733.0,,160684.2,253129.0,,154146.0,228480.5,62227.7,81095.9,148263.5,,168874.1,97224.0,,35336.0,17111.0,,37062.2,129507.0,,30524.0,104858.5,-61394.3,-42526.1,24641.5,,45252.1,-26398.0,,True,,False,False,,True,False,False,False,True,,False,True,
Montana,21987,37344.0,19124.0,,33975.8,16721.0,,41146.0,61719.3,21664.7,13481.6,28097.0,,22155.8,18674.0,6190.3,15357.0,-2863.0,,11988.8,-5266.0,,19159.0,39732.3,-322.3,-8505.4,6110.0,,168.8,-3313.0,-15796.7,True,,True,True,,False,False,True,True,True,,True,True,False
Nebraska,42342,79470.0,77088.0,,76950.8,72636.0,,82565.0,72476.6,39617.8,47675.0,76696.0,,63397.5,51658.0,9218.6,37128.0,34746.0,,34608.8,30294.0,,40223.0,30134.6,-2724.2,5333.0,34354.0,,21055.5,9316.0,-33123.4,True,,True,True,,False,True,True,True,True,,True,True,True
Nevada,94462,98394.0,71362.0,,109513.1,129348.0,,92032.0,172197.9,124497.5,79617.5,108753.5,,98015.4,61661.0,35896.6,3932.0,-23100.0,,15051.1,34886.0,,-2430.0,77735.9,30035.5,-14844.5,14291.5,,3553.4,-32801.0,-58565.4,False,,False,False,,True,False,False,False,False,,True,False,False
New Hampshire,31807,25242.0,28793.0,,26194.1,62539.0,,30708.0,41842.0,42524.8,29661.0,28694.0,,32090.5,20592.0,8009.8,-6565.0,-3014.0,,-5612.9,30732.0,,-1099.0,10035.0,10717.8,-2146.0,-3113.0,,283.5,-11215.0,-23797.2,True,,True,False,,True,False,False,True,True,,True,False,False
New Jersey,225570,194598.0,205151.0,,195742.0,381357.0,,174247.0,291755.1,183496.0,210396.1,199765.0,,431200.5,138441.0,43781.5,-30972.0,-20419.0,,-29828.0,155787.0,,-51323.0,66185.1,-42074.0,-15173.9,-25805.0,,205630.5,-87129.0,-181788.5,True,,True,False,,False,False,False,True,True,,False,False,False
New Mexico,56037,77244.0,52183.0,,77416.5,73610.0,,71660.0,151286.1,62785.5,53457.9,63178.0,,77272.4,37662.0,42601.3,21207.0,-3854.0,,21379.5,17573.0,,15623.0,95249.1,6748.5,-2579.1,7141.0,,21235.4,-18375.0,-13435.7,True,,False,True,,True,False,True,True,True,,False,True,True
New York,524184,370122.0,493153.0,,698462.6,855207.0,,318676.0,515190.0,1129624.1,512219.2,516219.5,,411700.0,334969.0,110852.7,-154062.0,-31031.0,,174278.6,331023.0,,-205508.0,-8994.0,605440.1,-11964.8,-7964.5,,-112484.0,-189215.0,-413331.3,True,,False,False,,False,True,False,True,True,,True,False,False
North Carolina,279274,183564.0,208918.0,,185311.5,173798.0,,213064.0,303914.5,190234.8,159148.6,244964.0,,142324.1,182670.0,45525.7,-95710.0,-70356.0,,-93962.5,-105476.0,,-66210.0,24640.5,-89039.2,-120125.4,-34310.0,,-136949.9,-96604.0,-233748.3,True,,True,False,,True,True,True,False,True,,False,False,False
North Dakota,13210,27414.0,10134.0,,29019.0,12638.0,,30013.0,34854.0,7786.5,11836.6,15658.5,,9632.8,10977.0,3526.0,14204.0,-3076.0,,15809.0,-572.0,,16803.0,21644.0,-5423.5,-1373.4,2448.5,,-3577.2,-2233.0,-9684.0,True,,False,True,,False,False,True,True,True,,True,True,True
Ohio,354075,364374.0,327988.0,,416140.3,717893.0,,387691.0,608614.1,350366.8,291253.2,332264.5,,419150.4,225250.0,99114.3,10299.0,-26087.0,,62065.3,363818.0,,33616.0,254539.1,-3708.2,-62821.8,-21810.5,,65075.4,-128825.0,-254960.7,False,,False,False,,False,False,True,False,False,,False,False,False
Oklahoma,138420,116526.0,102319.0,,134984.4,292455.0,,145422.0,162266.7,87637.7,69892.5,105008.5,,131468.1,85201.0,31135.9,-21894.0,-36101.0,,-3435.6,154035.0,,7002.0,23846.7,-50782.3,-68527.5,-33411.5,,-6951.9,-53219.0,-107284.1,False,,True,False,,True,False,False,False,False,,True,False,False
Oregon,49169,64422.0,71499.0,,67047.5,92698.0,,61168.0,109395.4,100128.7,74991.4,66930.0,,94366.5,50463.0,20134.9,15253.0,22330.0,,17878.5,43529.0,,11999.0,60226.4,50959.7,25822.4,17761.0,,45197.5,1294.0,-29034.1,False,,False,False,,True,False,False,False,False,,False,True,False
Pennsylvania,349854,358140.0,432294.0,,374411.7,741792.0,,346125.0,554685.7,468605.2,343713.6,423582.0,,341170.4,318296.0,93894.3,8286.0,82440.0,,24557.7,391938.0,,-3729.0,204831.7,118751.2,-6140.4,73728.0,,-8683.6,-31558.0,-255959.7,False,,False,False,,True,False,False,True,False,,False,False,False
Rhode Island,42306,49098.0,26096.0,,44493.8,31076.0,,45796.0,71248.8,48199.5,26087.6,42774.0,,32143.6,28162.0,8462.6,6792.0,-16210.0,,2187.8,-11230.0,,3490.0,28942.8,5893.5,-16218.4,468.0,,-10162.4,-14144.0,-33843.4,False,,True,False,,True,False,True,False,True,,False,False,False
South Carolina,153187,85944.0,112109.0,,75053.7,120741.0,,91677.0,114026.5,64013.6,67164.4,113518.0,,101407.1,88634.0,13465.7,-67243.0,-41078.0,,-78133.3,-32446.0,,-61510.0,-39160.5,-89173.4,-86022.6,-39669.0,,-51779.9,-64553.0,-139721.3,True,,False,True,,True,True,False,False,True,,True,True,False
South Dakota,19974,37230.0,18326.0,,34087.5,22354.0,,36291.0,41099.0,16563.1,12765.5,28981.0,,47261.8,18088.0,3546.4,17256.0,-1648.0,,14113.5,2380.0,,16317.0,21125.0,-3410.9,-7208.5,9007.0,,27287.8,-1886.0,-16427.6,True,,True,True,,True,False,True,True,True,,False,True,True
Tennessee,283325,204336.0,205869.0,,198223.9,171025.0,,226716.0,258046.2,167913.7,112895.8,191496.5,,195445.8,142604.0,25656.2,-78989.0,-77456.0,,-85101.1,-112300.0,,-56609.0,-25278.8,-115411.3,-170429.2,-91828.5,,-87879.2,-140721.0,-257668.8,True,,False,False,,True,True,False,False,False,,False,False,False
Texas,737773,588396.0,953468.0,,507259.4,732067.0,,505110.0,855708.7,929741.6,529285.6,602130.0,,624523.2,462348.0,82537.9,-149377.0,215695.0,,-230513.6,-5706.0,,-232663.0,117935.7,191968.6,-208487.4,-135643.0,,-113249.8,-275425.0,-655235.1,False,,False,True,,False,True,False,False,True,,True,False,False
Utah,109408,124542.0,134693.0,,125857.8,164826.0,,123900.0,223068.6,61462.1,79920.8,101924.5,,102375.0,79713.0,15895.7,15134.0,25285.0,,16449.8,55418.0,,14492.0,113660.6,-47945.9,-29487.2,-7483.5,,-7033.0,-29695.0,-93512.3,False,,False,False,,True,False,False,False,True,,True,False,False
Vermont,5021,5166.0,11161.0,,4168.0,34787.0,,5232.0,9153.6,8072.8,4188.5,4701.5,,12679.3,4500.0,1449.3,145.0,6140.0,,-853.0,29766.0,,211.0,4132.6,3051.8,-832.5,-319.5,,7658.3,-521.0,-3571.7,False,,False,False,,False,False,False,False,False,,False,False,False
Virginia,178218,105336.0,103720.0,,129816.0,106077.0,,102866.0,200842.4,145549.5,133542.5,150383.5,,113679.2,84884.0,48848.7,-72882.0,-74498.0,,-48402.0,-72141.0,,-75352.0,22624.4,-32668.5,-44675.5,-27834.5,,-64538.8,-93334.0,-129369.3,False,,True,True,,False,True,True,True,True,,True,False,False
Washington,102889,90954.0,69727.0,,100685.4,316141.0,,72715.0,175490.4,138458.1,128217.3,54474.0,,182878.1,44234.0,,-11935.0,-33162.0,,-2203.6,213252.0,,-30174.0,72601.4,35569.1,25328.3,-48415.0,,79989.1,-58655.0,,False,,True,False,,False,False,False,False,False,,False,False,
West Virginia,54552,46362.0,39819.0,,42800.8,89254.0,,44005.0,70941.7,54638.9,25291.3,48916.0,,67639.9,39416.0,12407.5,-8190.0,-14733.0,,-11751.2,34702.0,,-10547.0,16389.7,86.9,-29260.7,-5636.0,,13087.9,-15136.0,-42144.5,False,,False,False,,False,False,True,False,True,,False,False,False
Wisconsin,128357,197514.0,138976.0,,191100.1,94004.0,,158179.0,201841.0,72971.0,98147.1,130748.0,,169109.8,86474.0,20285.8,69157.0,10619.0,,62743.1,-34353.0,,29822.0,73484.0,-55386.0,-30209.9,2391.0,,40752.8,-41883.0,-108071.2,True,,True,True,,True,False,True,True,True,,True,True,False
Wyoming,13127,23628.0,16738.0,,22082.7,26790.0,,23726.0,25718.5,12519.8,7817.8,14051.0,,21193.2,10067.0,3821.1,10501.0,3611.0,,8955.7,13663.0,,10599.0,12591.5,-607.2,-5309.2,924.0,,8066.2,-3060.0,-9305.9,True,,True,False,,False,False,True,True,True,,True,True,True
US,9070395,8019816.0,8816982.0,12154710.0,10116505.4,10939082.0,8551233.0,7775480.0,11690143.4,9238330.8,6726784.2,8343631.5,8950547.0,8819308.7,5935360.0,,-1050579.0,-253413.0,3084315.0,1046110.4,1868687.0,-519162.0,-1294915.0,2619748.4,167935.8,-2343610.8,-726763.5,-119848.0,-251086.3,-3135035.0,,True,False,True,False,True,False,False,True,False,True,True,True,False,
