,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,124541,112668.0,110423.1,113324.4,114383.0,122921.0,,111560.0,81002.0,103250.5,84933.9,,130409.1,113044.0,109931.7,120102.0,65466.4,79938.5,158913.0,121972.0,120907.4,121938.6,133466.0,123947.0,,116696.8,86039.0,,111329.8,140772.8,105701.8,83347.5,108687.0,158602.0,,-11873.0,-14117.9,-11216.6,-10158.0,-1620.0,,-12981.0,-43539.0,-21290.5,-39607.1,,5868.1,-11497.0,-14609.3,-4439.0,-59074.6,-44602.5,34372.0,-2569.0,-3633.6,-2602.4,8925.0,-594.0,,-7844.2,-38502.0,,-13211.2,16231.8,-18839.2,-41193.5,-15854.0,34061.0,,False,True,True,True,,False,False,False,False,,True,True,False,True,False,False,False,True,True,True,True,True,,True,False,,False,False,False,False,False,False,
Hawaii,2293,1850.0,1891.1,1845.2,1876.0,5655.0,,1677.1,763.0,2277.8,1934.1,,2029.0,,1857.2,1780.0,4064.7,1817.0,1732.0,1882.5,1877.0,2526.5,2150.0,3138.0,,1898.8,1603.8,,1484.9,2548.3,2165.8,2701.0,1577.0,2147.0,1488.8,-443.0,-401.9,-447.8,-417.0,3362.0,,-615.9,-1530.0,-15.2,-358.9,,-264.0,,-435.8,-513.0,1771.7,-476.0,-561.0,-410.5,-416.0,233.5,-143.0,845.0,,-394.2,-689.2,,-808.1,255.3,-127.2,408.0,-716.0,-146.0,-804.2,True,False,True,False,,False,False,True,True,,True,,True,False,False,False,False,True,True,True,True,False,,True,False,,False,True,True,True,False,True,False
Idaho,13077,12824.0,16828.6,13281.4,10946.0,12666.0,,11401.0,8432.0,11141.2,12589.3,,7512.7,12720.0,8698.1,11612.0,9350.3,8488.5,9616.4,8435.5,9551.7,12527.1,12192.0,10327.0,,7244.5,12044.3,,11757.0,17925.5,12374.0,15841.9,11869.0,14238.4,7818.7,-253.0,3751.6,204.4,-2131.0,-411.0,,-1676.0,-4645.0,-1935.8,-487.7,,-5564.3,-357.0,-4378.9,-1465.0,-3726.7,-4588.5,-3460.6,-4641.5,-3525.3,-549.9,-885.0,-2750.0,,-5832.5,-1032.7,,-1320.0,4848.5,-703.0,2764.9,-1208.0,1161.4,-5258.3,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Illinois,89315,82420.0,95942.2,82706.4,72935.0,103627.0,,69542.0,27688.0,56389.0,87556.9,,58445.8,76349.0,72829.6,73407.0,52226.0,56674.0,64884.9,61296.5,74353.6,73220.7,73488.0,83330.0,,71086.6,36200.8,,72731.6,88262.2,85552.9,88475.0,72052.0,84756.9,,-6895.0,6627.2,-6608.6,-16380.0,14312.0,,-19773.0,-61627.0,-32926.0,-1758.1,,-30869.2,-12966.0,-16485.4,-15908.0,-37089.0,-32641.0,-24430.1,-28018.5,-14961.4,-16094.3,-15827.0,-5985.0,,-18228.4,-53114.2,,-16583.4,-1052.8,-3762.1,-840.0,-17263.0,-4558.1,,True,True,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,True,True,True,False,True,
Indiana,63959,62138.0,76590.6,61856.9,55730.0,68625.0,,56536.5,42074.0,49125.6,72524.8,,47920.8,56482.0,54474.3,57285.0,38351.4,46354.0,65039.4,42044.0,55730.0,54457.2,63006.0,54855.0,,52678.0,39588.3,,65412.5,86236.8,59623.4,56273.9,58699.0,79582.5,42055.4,-1821.0,12631.6,-2102.1,-8229.0,4666.0,,-7422.5,-21885.0,-14833.4,8565.8,,-16038.2,-7477.0,-9484.7,-6674.0,-25607.6,-17605.0,1080.4,-21915.0,-8229.0,-9501.8,-953.0,-9104.0,,-11281.0,-24370.7,,1453.5,22277.8,-4335.6,-7685.1,-5260.0,15623.5,-21903.6,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,,True,False,False,False,False,False,False
Iowa,20853,18204.0,22639.8,18371.2,15258.0,15307.0,,15584.8,13257.0,12867.7,14590.8,,13268.9,18316.0,14580.0,16011.0,13431.1,9809.0,15520.8,11693.0,16649.8,16607.6,16060.0,24243.0,,15401.7,6137.5,,12705.6,24509.8,22526.6,17196.1,14662.0,21073.0,12163.7,-2649.0,1786.8,-2481.8,-5595.0,-5546.0,,-5268.2,-7596.0,-7985.3,-6262.2,,-7584.1,-2537.0,-6273.0,-4842.0,-7421.9,-11044.0,-5332.2,-9160.0,-4203.2,-4245.4,-4793.0,3390.0,,-5451.3,-14715.5,,-8147.4,3656.8,1673.6,-3656.9,-6191.0,220.0,-8689.3,True,True,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,False,True,False
Kansas,28403,34650.0,31221.5,32472.4,27362.0,52444.0,,26839.0,34316.0,7577.0,23954.2,,24130.0,24609.0,48413.2,,16955.1,15865.0,22094.6,4122.5,28806.6,26964.8,31069.0,34166.0,,20330.0,13870.8,,37404.9,34263.9,32527.7,31646.4,25338.0,29114.6,19698.0,6247.0,2818.5,4069.4,-1041.0,24041.0,,-1564.0,5913.0,-20826.0,-4448.8,,-4273.0,-3794.0,20010.2,,-11447.9,-12538.0,-6308.4,-24280.5,403.6,-1438.2,2666.0,5763.0,,-8073.0,-14532.2,,9001.9,5860.9,4124.7,3243.4,-3065.0,711.6,-8705.0,True,True,True,False,,True,True,False,True,,True,True,False,,False,False,False,False,True,True,True,True,,False,False,,False,True,True,True,True,True,False
Kentucky,50354,36816.0,41364.5,37384.7,35635.0,51951.0,,29805.1,17172.0,28295.2,46043.2,,33318.2,36714.0,43136.7,33495.0,23834.5,25752.5,33552.8,43875.0,33385.0,37749.8,36052.0,35801.0,,36200.8,26964.9,,33628.4,42168.4,39141.7,35637.3,35589.0,39612.9,20604.4,-13538.0,-8989.5,-12969.3,-14719.0,1597.0,,-20548.9,-33182.0,-22058.8,-4310.8,,-17035.8,-13640.0,-7217.3,-16859.0,-26519.5,-24601.5,-16801.2,-6479.0,-16969.0,-12604.2,-14302.0,-14553.0,,-14153.2,-23389.1,,-16725.6,-8185.6,-11212.3,-14716.7,-14765.0,-10741.1,-29749.6,True,True,False,True,,False,False,False,True,,False,False,True,False,False,False,False,True,False,True,False,False,,False,False,,False,True,True,False,False,True,False
Louisiana,49578,37552.0,36656.8,38745.1,36470.0,82151.0,,34857.2,36481.0,314247.8,25377.2,,37540.8,35657.0,52068.0,44300.0,23125.9,30121.5,35385.7,33599.5,33106.0,43526.6,35879.0,41560.0,,32377.5,39657.4,,39048.9,39356.6,37793.4,30465.2,23263.0,39193.3,28727.3,-12026.0,-12921.2,-10832.9,-13108.0,32573.0,,-14720.8,-13097.0,264669.8,-24200.8,,-12037.2,-13921.0,2490.0,-5278.0,-26452.1,-19456.5,-14192.3,-15978.5,-16472.0,-6051.4,-13699.0,-8018.0,,-17200.5,-9920.6,,-10529.1,-10221.4,-11784.6,-19112.8,-26315.0,-10384.7,-20850.7,False,True,False,False,,False,False,False,False,,False,False,True,True,False,False,False,False,False,True,False,True,,False,True,,True,True,True,False,False,True,False
Maine,7974,7396.0,5721.9,7537.3,7485.0,9263.0,,7471.7,7073.0,6165.9,6720.7,,7388.3,6633.0,8569.4,8093.0,9052.8,6358.5,11009.8,6914.0,7059.0,9175.2,9624.0,7118.0,,7517.4,9209.9,,6492.9,9501.4,6217.6,8325.6,8670.0,8224.0,7308.0,-578.0,-2252.1,-436.7,-489.0,1289.0,,-502.3,-901.0,-1808.1,-1253.3,,-585.7,-1341.0,595.4,119.0,1078.8,-1615.5,3035.8,-1060.0,-915.0,1201.2,1650.0,-856.0,,-456.6,1235.9,,-1481.1,1527.4,-1756.4,351.6,696.0,250.0,-666.0,False,True,True,False,,True,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,,False,False,False,True,False,True,False
Maryland,40860,35462.0,35146.6,36140.9,35055.0,43917.0,,33265.7,26903.0,31480.3,36773.7,,34490.8,35902.0,41119.9,35378.0,29080.6,33599.5,35051.1,35995.5,37724.5,35032.9,38013.0,34111.0,,33042.7,50762.9,,35571.4,52062.9,33131.6,39170.1,35054.0,38381.3,23052.1,-5398.0,-5713.4,-4719.1,-5805.0,3057.0,,-7594.3,-13957.0,-9379.7,-4086.3,,-6369.2,-4958.0,259.9,-5482.0,-11779.4,-7260.5,-5808.9,-4864.5,-3135.5,-5827.1,-2847.0,-6749.0,,-7817.3,9902.9,,-5288.6,11202.9,-7728.4,-1689.9,-5806.0,-2478.7,-17807.9,False,True,False,True,,False,False,False,True,,False,True,True,False,False,False,False,True,True,False,True,False,,False,False,,True,False,False,True,False,True,False
Massachusetts,81545,69158.0,69404.1,68599.6,67935.0,91913.0,,66319.9,54704.0,37872.1,56149.3,,61817.0,70972.0,80506.7,67602.0,45192.2,47481.0,116085.3,63221.5,61453.4,69870.8,54241.0,65982.0,,58766.9,82936.9,,76811.0,103666.4,54308.9,65279.5,75104.0,82351.3,49443.1,-12387.0,-12140.9,-12945.4,-13610.0,10368.0,,-15225.1,-26841.0,-43672.9,-25395.7,,-19728.0,-10573.0,-1038.3,-13943.0,-36352.8,-34064.0,34540.3,-18323.5,-20091.6,-11674.2,-27304.0,-15563.0,,-22778.1,1391.9,,-4734.0,22121.4,-27236.1,-16265.5,-6441.0,806.3,-32101.9,True,False,False,True,,False,False,False,False,,False,True,True,False,False,False,False,False,False,True,False,False,,False,True,,True,False,False,False,True,True,False
Michigan,43664,43590.0,54993.0,41079.2,36700.0,55232.0,,34853.1,30371.0,102078.2,49927.6,,26795.1,41369.0,43898.6,39331.0,41827.0,32335.5,30859.4,37339.0,36860.5,35826.9,42906.0,40208.0,,23742.5,23853.8,,67379.6,41778.9,44686.5,32745.9,35433.0,47204.3,22369.3,-74.0,11329.0,-2584.8,-6964.0,11568.0,,-8810.9,-13293.0,58414.2,6263.6,,-16868.9,-2295.0,234.6,-4333.0,-1837.0,-11328.5,-12804.6,-6325.0,-6803.5,-7837.1,-758.0,-3456.0,,-19921.5,-19810.2,,23715.6,-1885.1,1022.5,-10918.1,-8231.0,3540.3,-21294.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Minnesota,27215,22574.0,37863.8,24184.5,20417.0,28726.0,,19234.1,32354.0,16471.7,19456.2,,13020.6,22828.0,19937.3,13409.0,18441.2,11647.5,14579.9,23657.0,19437.8,25963.0,18651.0,23224.0,,10798.7,13844.2,,22653.3,20517.3,22478.7,12552.1,21406.0,23497.4,12925.4,-4641.0,10648.8,-3030.5,-6798.0,1511.0,,-7980.9,5139.0,-10743.3,-7758.8,,-14194.4,-4387.0,-7277.7,-13806.0,-8773.8,-15567.5,-12635.1,-3558.0,-7777.2,-1252.0,-8564.0,-3991.0,,-16416.3,-13370.8,,-4561.7,-6697.7,-4736.3,-14662.9,-5809.0,-3717.6,-14289.6,False,True,False,True,,False,False,False,False,,False,True,False,False,False,False,False,True,False,True,False,True,,False,False,,True,False,False,False,False,True,False
Mississippi,30592,30508.0,29475.7,30023.1,29281.0,34179.0,,27645.3,35005.0,29915.1,27160.8,,28832.6,29328.0,31554.6,29872.0,18309.2,25471.0,36371.4,27265.5,28552.6,29436.8,31004.0,29902.0,,29120.2,20025.2,,25593.3,41386.1,29876.1,29635.6,27940.0,36460.1,23939.3,-84.0,-1116.3,-568.9,-1311.0,3587.0,,-2946.7,4413.0,-676.9,-3431.2,,-1759.4,-1264.0,962.6,-720.0,-12282.8,-5121.0,5779.4,-3326.5,-2039.4,-1155.2,412.0,-690.0,,-1471.8,-10566.8,,-4998.7,10794.1,-715.9,-956.4,-2652.0,5868.1,-6652.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Missouri,51479,39678.0,47989.8,40104.0,37846.0,43902.0,,33634.1,27898.0,34284.6,34553.6,,37497.0,39858.0,34868.1,38848.0,25567.7,32020.5,30960.5,30468.0,42544.6,38191.5,38774.0,42923.0,,33669.1,20859.7,,40619.4,60051.4,40642.6,42558.2,34835.0,40118.7,,-11801.0,-3489.2,-11375.0,-13633.0,-7577.0,,-17844.9,-23581.0,-17194.4,-16925.4,,-13982.0,-11621.0,-16610.9,-12631.0,-25911.3,-19458.5,-20518.5,-21011.0,-8934.4,-13287.5,-12705.0,-8556.0,,-17809.9,-30619.3,,-10859.6,8572.4,-10836.4,-8920.8,-16644.0,-11360.3,,True,True,False,True,,False,False,False,False,,False,True,False,False,False,False,False,False,True,False,False,True,,False,False,,True,True,True,True,False,True,
Montana,7112,5022.0,8613.0,4852.3,4192.0,3807.0,,4677.7,2326.0,4343.0,3877.2,,3276.9,5615.0,5206.4,5150.0,3748.2,2878.0,4246.5,2983.0,3479.4,5770.3,4705.0,4536.0,,3068.8,5749.8,,4440.9,4713.5,8314.7,3772.6,3829.0,4887.1,3316.3,-2090.0,1501.0,-2259.7,-2920.0,-3305.0,,-2434.3,-4786.0,-2769.0,-3234.8,,-3835.1,-1497.0,-1905.6,-1962.0,-3363.8,-4234.0,-2865.5,-4129.0,-3632.6,-1341.7,-2407.0,-2576.0,,-4043.2,-1362.2,,-2671.1,-2398.5,1202.7,-3339.4,-3283.0,-2224.9,-3795.7,True,False,False,False,,False,False,False,False,,False,True,True,True,False,False,False,False,False,True,False,False,,False,True,,False,False,True,False,False,False,False
