,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01041,223,128.0,,138.4,,107.0,144.0,,,,,127.0,31.8,,,95.0,106.5,73.5,,,80.0,114.3,16.4,,146.0,143.0,73.9,,,,,,152.8,,,,125.9,114.0,-95.0,,-84.6,,-116.0,-79.0,,,,,-96.0,-191.2,,,-128.0,-116.5,-149.5,,,-143.0,-108.7,-206.6,,-77.0,-80.0,-149.1,,,,,,-70.2,,,,-97.1,-109.0,,True,,False,True,,,,,False,False,,,False,False,False,,,False,False,False,,True,True,False,,,,,,True,,,,False,False
01043,757,1034.0,,1079.9,,898.0,967.0,,,,,808.2,685.8,,,928.0,648.5,558.4,667.0,,541.5,876.0,245.2,,1059.0,977.0,984.9,,,,,929.0,878.2,,,,1299.3,641.0,277.0,,322.9,,141.0,210.0,,,,,51.2,-71.2,,,171.0,-108.5,-198.6,-90.0,,-215.5,119.0,-511.8,,302.0,220.0,227.9,,,,,172.0,121.2,,,,542.3,-116.0,,False,,True,True,,,,,True,True,,,True,True,True,True,,True,True,False,,False,True,True,,,,,True,True,,,,False,True
01045,539,484.0,,491.4,,412.0,597.0,,,,,414.7,284.6,,,407.0,371.1,299.3,319.5,,460.0,404.7,119.3,,519.0,513.0,397.5,,,,,369.6,438.0,,,,510.5,333.0,-55.0,,-47.6,,-127.0,58.0,,,,,-124.3,-254.4,,,-132.0,-167.9,-239.7,-219.5,,-79.0,-134.3,-419.7,,-20.0,-26.0,-141.5,,,,,-169.4,-101.0,,,,-28.5,-206.0,,True,,False,False,,,,,False,False,,,False,False,False,False,,False,False,False,,True,True,False,,,,,False,False,,,,True,False
01047,203,284.0,,282.9,,261.0,316.0,,,,,292.7,68.7,,,261.0,258.1,192.3,160.0,,193.0,227.6,32.5,,287.0,333.0,337.9,,,,,212.8,326.5,,,,327.3,247.0,81.0,,79.9,,58.0,113.0,,,,,89.7,-134.3,,,58.0,55.1,-10.7,-43.0,,-10.0,24.6,-170.5,,84.0,130.0,134.9,,,,,9.8,123.5,,,,124.3,44.0,,True,,True,False,,,,,False,False,,,True,True,True,True,,True,True,False,,False,False,False,,,,,True,False,,,,False,True
01049,667,588.0,,617.3,,458.0,270.0,,,,,728.7,468.2,,,841.0,255.3,395.8,495.5,,223.0,465.9,0.0,,601.0,614.0,582.8,,,,,427.2,429.4,,,,531.1,565.0,-79.0,,-49.7,,-209.0,-397.0,,,,,61.7,-198.8,,,174.0,-411.7,-271.2,-171.5,,-444.0,-201.1,-667.0,,-66.0,-53.0,-84.2,,,,,-239.8,-237.6,,,,-135.9,-102.0,,True,,False,False,,,,,True,False,,,False,False,False,False,,False,False,False,,True,True,False,,,,,False,False,,,,False,False
01051,1158,1368.0,,1375.7,,1100.0,1480.0,,,,,932.2,727.6,,,636.0,1211.7,689.7,783.5,,1201.0,1161.0,158.1,,1429.0,1109.0,831.0,,,,,1208.1,1339.2,,,,1464.5,1078.0,210.0,,217.7,,-58.0,322.0,,,,,-225.8,-430.4,,,-522.0,53.7,-468.3,-374.5,,43.0,3.0,-999.9,,271.0,-49.0,-327.0,,,,,50.1,181.2,,,,306.5,-80.0,,False,,True,False,,,,,False,False,,,False,True,False,False,,True,True,False,,False,True,False,,,,,True,True,,,,False,True
01053,448,388.0,,376.3,,312.0,238.0,,,,,350.5,230.0,,,315.0,360.0,228.2,281.5,,252.0,315.6,37.1,,442.0,391.0,300.1,,,,,282.2,331.5,,,,388.5,335.0,-60.0,,-71.7,,-136.0,-210.0,,,,,-97.5,-218.0,,,-133.0,-88.0,-219.8,-166.5,,-196.0,-132.4,-410.9,,-6.0,-57.0,-147.9,,,,,-165.8,-116.5,,,,-59.5,-113.0,,False,,False,False,,,,,False,False,,,False,False,False,False,,False,False,False,,True,True,False,,,,,False,False,,,,True,False
01055,1422,1292.0,,1356.3,,1037.0,900.0,,,,,1345.8,1339.2,,,1098.0,693.9,859.2,589.0,,965.0,1225.2,0.0,,1391.0,1305.0,968.5,,,,,1116.3,1227.6,,,,1903.4,1158.0,-130.0,,-65.7,,-385.0,-522.0,,,,,-76.2,-82.8,,,-324.0,-728.1,-562.8,-833.0,,-457.0,-196.8,-1422.0,,-31.0,-117.0,-453.5,,,,,-305.7,-194.4,,,,481.4,-264.0,,True,,False,False,,,,,True,True,,,False,False,False,False,,False,False,False,,True,True,False,,,,,False,False,,,,False,False
01057,215,150.0,,149.8,,142.0,84.0,,,,,157.2,158.4,,,173.0,84.6,110.9,,,95.0,129.1,0.0,,161.0,166.0,183.8,,,,,,155.1,,,,176.1,140.0,-65.0,,-65.2,,-73.0,-131.0,,,,,-57.8,-56.6,,,-42.0,-130.4,-104.1,,,-120.0,-85.9,-215.0,,-54.0,-49.0,-31.2,,,,,,-59.9,,,,-38.9,-75.0,,False,,False,False,,,,,True,True,,,True,False,False,,,False,False,False,,True,True,True,,,,,,True,,,,True,False
01059,335,364.0,,375.0,,301.0,303.0,,,,,364.3,255.0,,,426.0,331.2,196.5,275.5,,296.0,309.0,33.0,,364.0,355.0,281.1,,,,,275.4,350.8,,,,297.4,255.0,29.0,,40.0,,-34.0,-32.0,,,,,29.3,-80.0,,,91.0,-3.8,-138.5,-59.5,,-39.0,-26.0,-302.0,,29.0,20.0,-53.9,,,,,-59.6,15.8,,,,-37.6,-80.0,,False,,False,False,,,,,False,False,,,False,True,False,False,,False,True,False,,False,True,False,,,,,False,True,,,,False,False
