,actual_cases,COVIDhub-baseline,BPagano-RtDriven,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,227363,177040.0,275489.9,195756.0,168206.0,,195535.6,136502.0,164754.1,253824.9,,267507.2,186027.0,239869.3,212688.7,198179.0,123851.4,156161.5,319004.3,237738.0,216767.0,225864.6,217773.0,,238669.6,130772.7,,133293.9,182373.4,118619.0,184037.0,173501.1,,-50323.0,48126.9,-31607.0,-59157.0,,-31827.4,-90861.0,-62608.9,26461.9,,40144.2,-41336.0,12506.3,-14674.3,-29184.0,-103511.6,-71201.5,91641.3,10375.0,-10596.0,-1498.4,-9590.0,,11306.6,-96590.3,,-94069.1,-44989.6,-108744.0,-43326.0,-53861.9,,True,True,False,,True,False,False,True,,True,True,True,True,True,False,False,False,True,True,True,True,,True,False,,False,True,False,True,False,
Hawaii,4099,3456.0,1099.8,3741.0,3861.0,,3600.3,1336.0,3692.5,4100.4,,5959.8,,3876.2,4160.5,3336.0,9651.6,3566.0,3184.6,3590.0,5294.5,4134.8,5909.0,,4250.0,2755.9,,2381.7,3378.1,4559.2,5154.0,3502.5,3703.4,-643.0,-2999.2,-358.0,-238.0,,-498.7,-2763.0,-406.5,1.4,,1860.8,,-222.8,61.5,-763.0,5552.6,-533.0,-914.4,-509.0,1195.5,35.8,1810.0,,151.0,-1343.1,,-1717.3,-720.9,460.2,1055.0,-596.5,-395.6,False,True,True,,True,False,True,True,,False,,True,True,False,False,True,False,True,False,True,False,,True,False,,False,False,True,False,True,True
Idaho,26207,33748.0,35678.6,33036.0,25783.0,,35776.5,20948.0,42383.8,42603.3,,29358.8,33597.0,45640.1,23134.8,34334.0,26049.5,34136.5,37016.2,27989.0,32111.5,36083.4,34894.0,,30792.8,28019.1,,25046.5,48998.0,39781.8,21751.0,42263.4,48926.6,7541.0,9471.6,6829.0,-424.0,,9569.5,-5259.0,16176.8,16396.3,,3151.8,7390.0,19433.1,-3072.2,8127.0,-157.5,7929.5,10809.2,1782.0,5904.5,9876.4,8687.0,,4585.8,1812.1,,-1160.5,22791.0,13574.8,-4456.0,16056.4,22719.6,False,True,True,,False,True,False,False,,True,True,False,True,False,True,False,False,True,True,False,False,,True,True,,True,False,False,True,False,False
Illinois,170300,210716.0,170152.7,171811.0,159928.0,,187907.4,118752.0,147517.9,297378.8,,159039.4,209611.0,278327.5,117987.8,168260.0,155179.1,182177.5,173974.5,144966.0,179734.0,197975.8,206110.0,,176495.0,102875.3,,191990.4,258224.3,169298.1,167436.0,225220.4,,40416.0,-147.3,1511.0,-10372.0,,17607.4,-51548.0,-22782.1,127078.8,,-11260.6,39311.0,108027.5,-52312.2,-2040.0,-15120.9,11877.5,3674.5,-25334.0,9434.0,27675.8,35810.0,,6195.0,-67424.7,,21690.4,87924.3,-1001.9,-2864.0,54920.4,,True,True,True,,True,False,True,False,,True,True,False,False,True,True,True,True,True,True,True,True,,True,False,,True,False,True,True,False,
Indiana,129178,153340.0,160468.5,148459.0,111943.0,,160512.2,91517.0,128228.9,224486.9,,144459.0,167278.0,218072.3,88794.4,176046.0,99063.4,168967.0,150817.0,121973.0,135298.7,167013.6,134490.0,,142928.0,102337.8,,193710.9,204141.4,153257.7,135352.0,199395.6,196192.2,24162.0,31290.5,19281.0,-17235.0,,31334.2,-37661.0,-949.1,95308.9,,15281.0,38100.0,88894.3,-40383.6,46868.0,-30114.6,39789.0,21639.0,-7205.0,6120.7,37835.6,5312.0,,13750.0,-26840.2,,64532.9,74963.4,24079.7,6174.0,70217.6,67014.2,False,True,True,,False,False,True,False,,True,False,False,False,False,False,False,True,True,True,False,True,,True,False,,False,False,True,True,False,False
Iowa,37789,47800.0,60104.7,35651.0,35803.0,,37508.7,16517.0,33491.3,53437.2,,28332.0,49264.0,60033.3,14125.6,50215.0,38114.3,25885.0,24319.0,30346.5,35528.4,37060.1,67657.0,,27197.5,15276.7,,55111.1,77599.3,78544.0,38261.0,48921.7,26631.8,10011.0,22315.7,-2138.0,-1986.0,,-280.3,-21272.0,-4297.7,15648.2,,-9457.0,11475.0,22244.3,-23663.4,12426.0,325.3,-11904.0,-13470.0,-7442.5,-2260.6,-728.9,29868.0,,-10591.5,-22512.3,,17322.1,39810.3,40755.0,472.0,11132.7,-11157.2,False,True,True,,True,False,True,False,,True,False,False,False,False,True,False,False,True,True,True,False,,False,False,,False,False,False,True,False,False
Kansas,55097,60756.0,66998.5,53930.0,44811.0,,56911.5,38172.0,21767.7,66117.1,,38675.2,55149.0,74380.4,45415.6,67333.0,41831.4,39739.0,50864.5,61195.5,46179.2,63734.6,55071.0,,39665.2,33074.3,,63882.1,86195.0,69945.2,51579.0,67910.0,60182.2,5659.0,11901.5,-1167.0,-10286.0,,1814.5,-16925.0,-33329.3,11020.1,,-16421.8,52.0,19283.4,-9681.4,12236.0,-13265.6,-15358.0,-4232.5,6098.5,-8917.8,8637.6,-26.0,,-15431.8,-22022.7,,8785.1,31098.0,14848.2,-3518.0,12813.0,5085.2,False,True,False,,True,False,False,False,,False,True,False,False,False,False,False,True,False,False,False,True,,False,False,,False,False,False,True,False,True
Kentucky,83761,79616.0,83514.2,76289.0,65445.0,,87035.2,70672.0,82892.3,108321.4,,73289.8,84522.0,108321.9,89775.8,83203.0,55229.3,93424.0,75231.7,60914.0,65823.1,91226.0,70240.0,,54348.4,85696.2,,72769.3,113040.1,93167.9,72839.0,95692.5,96545.9,-4145.0,-246.8,-7472.0,-18316.0,,3274.2,-13089.0,-868.7,24560.4,,-10471.2,761.0,24560.9,6014.8,-558.0,-28531.7,9663.0,-8529.3,-22847.0,-17937.9,7465.0,-13521.0,,-29412.6,1935.2,,-10991.7,29279.1,9406.9,-10922.0,11931.5,12784.9,True,False,False,,True,False,True,False,,False,True,False,False,True,False,False,False,False,False,False,False,,False,True,,False,False,False,False,False,False
Louisiana,82419,72972.0,75115.1,74046.0,75946.0,,73539.6,81217.0,525207.0,71977.6,,80164.6,73757.0,82168.8,52105.0,85666.0,62095.4,71138.0,96136.3,51243.5,63442.6,82698.3,92598.0,,59157.9,120522.3,,65307.6,82243.0,58567.6,58881.0,80062.4,90864.9,-9447.0,-7303.9,-8373.0,-6473.0,,-8879.4,-1202.0,442788.0,-10441.4,,-2254.4,-8662.0,-250.2,-30314.0,3247.0,-20323.6,-11281.0,13717.3,-31175.5,-18976.4,279.3,10179.0,,-23261.1,38103.3,,-17111.4,-176.0,-23851.4,-23538.0,-2356.6,8445.9,True,True,True,,True,True,False,False,,True,True,True,False,True,False,False,False,False,False,True,False,,False,False,,False,True,False,False,True,True
Maine,14481,12472.0,8512.2,14363.0,13393.0,,13769.1,10123.0,5853.3,25367.8,,20589.0,13103.0,21483.2,28977.6,16721.0,16551.1,12139.0,23586.6,15980.5,12699.9,15538.6,17263.0,,12919.6,16312.9,,14378.8,11921.5,22012.7,17171.0,16267.4,29958.1,-2009.0,-5968.8,-118.0,-1088.0,,-711.9,-4358.0,-8627.7,10886.8,,6108.0,-1378.0,7002.2,14496.6,2240.0,2070.1,-2342.0,9105.6,1499.5,-1781.1,1057.6,2782.0,,-1561.4,1831.9,,-102.2,-2559.5,7531.7,2690.0,1786.4,15477.1,False,True,True,,True,False,False,False,,False,True,False,False,False,False,False,False,True,True,True,False,,True,True,,True,False,False,False,True,False
Maryland,75277,66980.0,78901.6,69527.0,48318.0,,74631.4,72673.0,72792.9,98910.8,,61293.2,70948.0,87363.9,61334.1,79834.0,73045.2,81602.5,69250.4,55081.5,56451.1,77030.0,72142.0,,53517.7,99098.1,,78896.3,98807.7,52627.8,61506.0,89784.9,112252.7,-8297.0,3624.6,-5750.0,-26959.0,,-645.6,-2604.0,-2484.1,23633.8,,-13983.8,-4329.0,12086.9,-13942.9,4557.0,-2231.8,6325.5,-6026.6,-20195.5,-18825.9,1753.0,-3135.0,,-21759.3,23821.1,,3619.3,23530.7,-22649.2,-13771.0,14507.9,36975.7,True,True,False,,True,True,True,False,,False,True,False,False,True,True,True,True,False,False,True,True,,False,False,,True,False,False,False,False,False
Massachusetts,146456,134180.0,141625.6,139223.0,111387.0,,153196.7,101128.0,74933.5,295123.8,,162975.8,146551.0,212514.1,131696.1,160714.0,117690.8,160330.0,248486.9,112454.5,125302.1,170609.9,126675.0,,142271.8,179175.2,,112421.4,168809.2,176651.0,128385.0,174602.4,343095.7,-12276.0,-4830.4,-7233.0,-35069.0,,6740.7,-45328.0,-71522.5,148667.8,,16519.8,95.0,66058.1,-14759.9,14258.0,-28765.2,13874.0,102030.9,-34001.5,-21153.9,24153.9,-19781.0,,-4184.2,32719.2,,-34034.6,22353.2,30195.0,-18071.0,28146.4,196639.7,True,True,False,,True,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False
Michigan,85729,123588.0,116666.9,98925.0,82222.0,,107788.9,51831.0,168488.2,166597.5,,74973.9,124536.0,140489.5,46725.9,97163.0,113626.1,121284.5,98306.4,84582.5,96624.9,104024.9,103734.0,,62890.8,83750.1,,199421.4,178573.6,146873.4,86258.0,152801.8,110353.8,37859.0,30937.9,13196.0,-3507.0,,22059.9,-33898.0,82759.2,80868.5,,-10755.1,38807.0,54760.5,-39003.1,11434.0,27897.1,35555.5,12577.4,-1146.5,10895.9,18295.9,18005.0,,-22838.2,-1978.9,,113692.4,92844.6,61144.4,529.0,67072.8,24624.8,True,True,True,,True,True,False,False,,True,False,False,False,True,True,True,True,True,True,True,True,,True,True,,False,False,False,True,False,True
Minnesota,50412,76948.0,94753.2,58724.0,41113.0,,77282.2,41517.0,74443.1,71887.8,,29692.0,92622.0,94023.4,23003.6,50491.0,50939.2,52048.0,52214.3,36912.0,56517.5,73621.1,63968.0,,31135.8,51255.3,,64111.5,144491.9,58680.9,51469.0,84835.9,70890.4,26536.0,44341.2,8312.0,-9299.0,,26870.2,-8895.0,24031.1,21475.8,,-20720.0,42210.0,43611.4,-27408.4,79.0,527.2,1636.0,1802.3,-13500.0,6105.5,23209.1,13556.0,,-19276.2,843.3,,13699.5,94079.9,8268.9,1057.0,34423.9,20478.4,False,True,True,,False,True,True,True,,True,False,False,False,True,True,True,True,True,True,True,True,,True,True,,True,False,True,True,False,True
Mississippi,58758,56656.0,68945.7,64532.0,41129.0,,65258.3,64108.0,63519.2,71143.7,,74617.6,63508.0,80317.8,63240.7,68954.0,39557.3,68158.0,83265.7,64453.5,60796.2,68972.8,64976.0,,65153.3,20793.9,,56910.2,76169.2,44329.6,59130.0,74116.4,118130.6,-2102.0,10187.7,5774.0,-17629.0,,6500.3,5350.0,4761.2,12385.7,,15859.6,4750.0,21559.8,4482.7,10196.0,-19200.7,9400.0,24507.7,5695.5,2038.2,10214.8,6218.0,,6395.3,-37964.1,,-1847.8,17411.2,-14428.4,372.0,15358.4,59372.6,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,,True,False,False,True,False,False
Missouri,76805,88612.0,105668.8,79898.0,75067.0,,85024.4,46208.0,78906.8,127556.6,,74009.2,82882.0,115849.0,72264.5,94224.0,65496.0,84754.5,73158.2,65297.5,74653.7,89363.2,113925.0,,69728.8,46500.4,,80160.6,122112.5,105614.5,86271.0,93648.7,,11807.0,28863.8,3093.0,-1738.0,,8219.4,-30597.0,2101.8,50751.6,,-2795.8,6077.0,39044.0,-4540.5,17419.0,-11309.0,7949.5,-3646.8,-11507.5,-2151.3,12558.2,37120.0,,-7076.2,-30304.6,,3355.6,45307.5,28809.5,9466.0,16843.7,,False,True,True,,True,False,True,False,,True,True,False,True,False,True,True,True,True,True,False,False,,True,False,,True,False,False,True,False,
Montana,12437,15900.0,15386.9,12792.0,9665.0,,15101.1,9016.0,12078.0,18579.6,,10148.7,19816.0,17360.5,7694.8,16347.0,11324.4,11004.5,11478.0,12381.0,13772.1,16701.1,14797.0,,12864.2,15439.9,,10416.3,21532.3,16742.8,11997.0,17337.7,14046.8,3463.0,2949.9,355.0,-2772.0,,2664.1,-3421.0,-359.0,6142.6,,-2288.3,7379.0,4923.5,-4742.2,3910.0,-1112.6,-1432.5,-959.0,-56.0,1335.1,4264.1,2360.0,,427.2,3002.9,,-2020.7,9095.3,4305.8,-440.0,4900.7,1609.8,True,True,True,,True,True,True,False,,True,False,False,False,False,True,True,True,True,True,False,True,,True,True,,True,False,False,True,False,True
Nebraska,25495,30908.0,16490.2,22955.0,21171.0,,28008.2,9292.0,31562.2,15150.2,,14444.0,30629.0,31613.0,12933.3,24716.0,28757.8,21414.5,21467.2,19097.0,25002.8,29497.4,36482.0,,18059.7,35250.8,,13004.6,51633.9,35401.1,19948.0,31213.3,24641.9,5413.0,-9004.8,-2540.0,-4324.0,,2513.2,-16203.0,6067.2,-10344.8,,-11051.0,5134.0,6118.0,-12561.7,-779.0,3262.8,-4080.5,-4027.8,-6398.0,-492.2,4002.4,10987.0,,-7435.3,9755.8,,-12490.4,26138.9,9906.1,-5547.0,5718.3,-853.1,False,True,True,,True,False,False,False,,False,True,False,False,True,True,True,True,False,True,True,False,,False,False,,False,False,False,False,False,True
Nevada,58232,71636.0,76927.9,67113.0,58085.0,,72278.4,47707.0,70765.9,104392.1,,65788.3,70632.0,88732.7,55435.1,78357.0,48124.6,75465.0,74551.9,56148.0,56886.8,69213.4,63079.0,,66261.6,67712.8,,76694.4,91832.1,67799.7,63229.0,76203.6,,13404.0,18695.9,8881.0,-147.0,,14046.4,-10525.0,12533.9,46160.1,,7556.3,12400.0,30500.7,-2796.9,20125.0,-10107.4,17233.0,16319.9,-2084.0,-1345.2,10981.4,4847.0,,8029.6,9480.8,,18462.4,33600.1,9567.7,4997.0,17971.6,,False,True,True,,False,True,True,False,,True,True,False,True,False,True,False,False,True,True,True,True,,True,True,,False,False,True,True,False,
New Hampshire,20336,21460.0,30031.5,24958.0,15731.0,,25370.3,21947.0,15123.7,45499.2,,28305.3,26401.0,36585.9,31526.1,24378.0,22348.4,29928.0,53393.5,19830.5,22862.7,31498.9,20569.0,,23922.2,49448.0,,27322.9,28312.2,24940.8,19542.0,34104.9,71573.4,1124.0,9695.5,4622.0,-4605.0,,5034.3,1611.0,-5212.3,25163.2,,7969.3,6065.0,16249.9,11190.1,4042.0,2012.4,9592.0,33057.5,-505.5,2526.7,11162.9,233.0,,3586.2,29112.0,,6986.9,7976.2,4604.8,-794.0,13768.9,51237.4,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,True,,False,False,,False,False,False,True,False,False
New Jersey,151005,123684.0,117808.0,123930.0,99909.0,,113719.1,91372.0,83236.9,203510.0,,124975.8,119111.0,150757.4,97273.7,124859.0,152989.5,148461.0,133989.5,107454.0,115160.8,142615.8,125498.0,,120877.8,250258.6,,124826.5,172621.0,162842.4,121944.0,153966.2,179871.4,-27321.0,-33197.0,-27075.0,-51096.0,,-37285.9,-59633.0,-67768.1,52505.0,,-26029.2,-31894.0,-247.6,-53731.3,-26146.0,1984.5,-2544.0,-17015.5,-43551.0,-35844.2,-8389.2,-25507.0,,-30127.2,99253.6,,-26178.5,21616.0,11837.4,-29061.0,2961.2,28866.4,False,True,False,,False,False,False,False,,True,False,True,False,True,True,True,True,False,False,True,True,,False,False,,True,True,True,False,True,False
