,actual_deaths,Baseline,COVIDhub-baseline,CU-select,IHME-CurveFit,LANL-GrowthRate,MOBS-GLEAM_COVID,UMass-ExpertCrowd,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UMass-ExpertCrowd,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UMass-ExpertCrowd,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,1403,1412.7,1404.8,1188.0,1623.1,1256.2,,,966.5,1289.7,9.7,1.8,-215.0,220.1,-146.8,,,-436.5,-113.3,True,False,False,False,,,False,False
Hawaii,17,12.9,12.9,17.0,26.1,13.2,,,17.6,21.7,-4.1,-4.1,0.0,9.1,-3.8,,,0.6,4.7,True,True,False,True,,,True,False
Idaho,67,92.6,97.0,59.0,61.1,55.4,87.0,,106.1,83.9,25.6,30.0,-8.0,-5.9,-11.6,20.0,,39.1,16.9,False,True,True,True,True,,False,True
Illinois,3349,2918.6,3005.4,4737.0,2087.3,2677.3,2474.7,,2226.9,2475.9,-430.4,-343.6,1388.0,-1261.7,-671.7,-874.3,,-1122.1,-873.1,True,False,False,False,False,,False,False
Indiana,1490,1187.7,1190.0,1173.0,925.5,1199.2,775.7,,997.2,1038.5,-302.3,-300.0,-317.0,-564.5,-290.8,-714.3,,-492.8,-451.5,True,False,False,True,False,,False,False
Iowa,252,172.1,194.1,159.0,263.3,254.8,132.3,,162.9,172.8,-79.9,-57.9,-93.0,11.3,2.8,-119.7,,-89.1,-79.2,True,False,True,True,False,,False,True
Kansas,174,198.7,175.0,139.0,214.5,144.3,183.3,,157.1,178.8,24.7,1.0,-35.0,40.5,-29.7,9.3,,-16.9,4.8,True,False,False,False,True,,True,True
Kentucky,304,286.0,306.0,186.0,397.7,305.1,,,239.9,252.8,-18.0,2.0,-118.0,93.7,1.1,,,-64.1,-51.2,True,False,False,True,,,False,False
Louisiana,2267,2598.9,2650.0,2229.0,1698.2,1581.1,,,1649.7,2150.8,331.9,383.0,-38.0,-568.8,-685.9,,,-617.3,-116.2,False,True,False,False,,,False,True
Maine,64,76.9,71.0,41.0,53.3,47.8,73.2,,81.1,71.7,12.9,7.0,-23.0,-10.7,-16.2,9.2,,17.1,7.7,True,False,True,False,True,,False,True
Maryland,1614,1103.9,1066.1,2128.0,1102.5,1041.5,578.3,,989.8,1097.8,-510.1,-547.9,514.0,-511.5,-572.5,-1035.7,,-624.2,-516.2,False,False,False,False,False,,False,False
Massachusetts,4840,4420.3,3558.0,6820.0,3692.8,4426.2,1852.2,,3579.9,3129.3,-419.7,-1282.0,1980.0,-1147.2,-413.8,-2987.8,,-1260.1,-1710.7,False,False,False,True,False,,False,False
Michigan,4757,4996.7,5079.9,3899.0,3355.2,3437.7,4507.8,,3632.1,4212.6,399.7,482.9,-698.0,-1241.8,-1159.3,-89.2,,-964.9,-384.4,False,False,False,False,True,,False,True
Minnesota,558,316.9,292.0,290.0,283.6,326.9,223.1,,374.7,318.7,-241.1,-266.0,-268.0,-274.4,-231.1,-334.9,,-183.3,-239.3,False,False,False,True,False,,True,True
Mississippi,421,339.0,329.0,179.0,373.6,279.7,,,253.7,303.1,-82.0,-92.0,-242.0,-47.4,-141.3,,,-167.3,-117.9,False,False,True,False,,,False,False
Missouri,594,430.4,440.0,555.0,352.0,282.9,711.5,,345.6,361.3,-120.6,-111.0,4.0,-199.0,-268.1,160.5,,-205.4,-189.7,True,True,False,False,False,,False,False
Montana,16,21.4,22.0,13.0,14.2,11.5,28.1,,21.6,22.8,5.4,6.0,-3.0,-1.8,-4.5,12.1,,5.6,6.8,False,True,True,True,False,,False,False
Nebraska,90,59.4,45.0,15.0,122.3,88.2,79.5,,60.3,59.6,-30.6,-45.0,-75.0,32.3,-1.8,-10.5,,-29.7,-30.4,False,False,False,True,True,,True,True
Nevada,313,289.4,298.0,253.0,239.1,260.0,339.1,,253.6,259.2,-23.6,-15.0,-60.0,-73.9,-53.0,26.1,,-59.4,-53.8,True,False,False,False,False,,False,False
New Hampshire,131,80.9,86.0,165.0,70.1,85.4,75.6,,88.9,84.2,-50.1,-45.0,34.0,-60.9,-45.6,-55.4,,-42.1,-46.8,True,True,False,True,False,,True,True
New Jersey,10805,10110.6,9731.2,11042.0,7058.0,9370.2,4659.0,,5688.1,8235.3,448.6,69.2,1380.0,-2604.0,-291.8,-5003.0,,-3973.9,-1426.7,True,False,False,True,False,,False,False
New Mexico,191,137.9,155.0,107.0,103.0,113.4,63.0,,154.9,133.0,-53.1,-36.0,-84.0,-88.0,-77.6,-128.0,,-36.1,-58.0,True,False,False,False,False,,True,False
New York,27454,33267.7,44802.6,30269.0,23630.9,33971.2,23026.8,,17232.9,26441.1,5930.7,17465.6,2932.0,-3706.1,6634.2,-4310.2,,-10104.1,-895.9,False,True,True,False,True,,False,True
North Carolina,551,517.1,481.0,279.0,309.8,487.3,371.5,,493.1,540.5,-33.9,-70.0,-272.0,-241.2,-63.7,-179.5,,-57.9,-10.5,False,False,False,False,False,,False,True
North Dakota,35,14.7,15.0,9.0,103.7,17.2,26.4,,18.7,19.6,-20.3,-20.0,-26.0,68.7,-17.8,-8.6,,-16.3,-15.4,True,False,False,True,True,,True,True
Ohio,1331,1093.9,1062.9,1164.0,770.4,1803.0,874.2,,979.2,982.5,-237.1,-268.1,-167.0,-560.6,472.0,-456.8,,-351.8,-348.5,False,True,False,False,False,,False,False
Oklahoma,270,265.7,262.0,170.0,264.5,206.4,441.2,,220.3,239.5,-4.3,-8.0,-100.0,-5.5,-63.6,171.2,,-49.7,-30.5,False,False,False,False,False,,False,False
Oregon,127,136.9,144.0,137.0,116.9,123.9,162.2,,145.4,133.4,9.9,17.0,10.0,-10.1,-3.1,35.2,,18.4,6.4,False,False,False,True,False,,False,True
Pennsylvania,3779,3330.3,2658.9,4188.0,2290.2,3221.5,1706.6,,3095.8,2911.5,-448.7,-1120.1,409.0,-1488.8,-557.5,-2072.4,,-683.2,-867.5,False,True,False,False,False,,False,False
Rhode Island,480,398.6,380.0,163.0,522.8,391.8,182.6,,469.9,429.7,-84.4,-103.0,-320.0,39.8,-91.2,-300.4,,-13.1,-53.3,False,False,True,False,False,,True,True
South Carolina,330,228.6,236.0,325.0,235.4,208.4,377.7,,193.4,208.4,-101.4,-94.0,-5.0,-94.6,-121.6,47.7,,-136.6,-121.6,True,True,True,False,True,,False,False
South Dakota,34,9.9,10.0,344.0,35.8,24.3,82.5,,29.9,25.9,-24.1,-24.0,310.0,1.8,-9.7,48.5,,-4.1,-8.1,True,False,True,True,False,,True,True
Tennessee,242,268.0,250.0,407.0,232.3,260.0,548.5,,279.9,245.7,26.0,8.0,165.0,-9.7,18.0,306.5,,37.9,3.7,True,False,True,True,False,,False,True
Texas,1132,1081.4,1106.0,1266.0,1061.1,966.4,1285.0,,987.8,960.4,5.4,30.0,190.0,-14.9,-109.6,209.0,,-88.2,-115.6,False,False,False,False,False,,False,False
Utah,66,52.7,46.0,164.0,153.0,43.4,74.2,,84.4,55.7,-13.3,-20.0,98.0,87.0,-22.6,8.2,,18.4,-10.3,False,False,False,False,True,,False,True
Vermont,53,69.4,77.0,49.0,42.8,43.9,106.8,,59.1,60.6,16.4,24.0,-4.0,-10.2,-9.1,53.8,,6.1,7.6,False,True,True,True,False,,True,True
Virginia,827,665.6,641.9,867.0,702.3,719.0,515.8,,632.9,609.6,-161.4,-185.1,40.0,-124.7,-108.0,-311.2,,-194.1,-217.4,False,True,True,True,False,,False,False
Washington,921,1007.4,967.1,1231.0,772.6,881.7,1747.4,,784.6,847.1,86.4,46.1,310.0,-148.4,-39.3,826.4,,-136.4,-73.9,True,False,False,True,False,,False,True
West Virginia,52,52.3,49.0,19.0,34.5,26.2,22.3,,56.9,62.6,0.3,-3.0,-33.0,-17.5,-25.8,-29.7,,4.9,10.6,False,False,False,False,False,,False,False
Wisconsin,434,437.1,437.0,384.0,337.4,386.2,511.1,,401.4,375.2,41.1,41.0,-12.0,-58.6,-9.8,115.1,,5.4,-20.8,True,True,False,True,False,,True,True
Wyoming,7,7.7,8.0,1.0,230.7,2.4,4.1,,5.9,11.3,0.7,1.0,-6.0,223.7,-4.6,-2.9,,-1.1,4.3,False,False,False,False,False,,False,False
US,81817,83399.3,93270.0,89492.0,63615.4,,63831.8,64750.0,56973.5,70526.0,3136.3,13007.0,9229.0,-16647.6,,-16431.2,-15513.0,-23289.5,-9737.0,False,False,False,,False,False,False,False
