,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Kansas,174,173.0,190.0,225.6,156.0,263.0,216.4,204.0,,178.6,180.6,366.0,168.1,182.3,-1.0,16.0,51.6,-18.0,89.0,42.4,30.0,,4.6,6.6,192.0,-5.9,8.3,False,False,False,False,False,False,,False,False,False,False,False
Kentucky,304,323.1,327.0,340.1,233.0,353.0,385.6,291.0,,307.5,286.5,504.0,336.9,307.0,19.1,23.0,36.1,-71.0,49.0,81.6,-13.0,,3.5,-17.5,200.0,32.9,3.0,False,False,False,False,False,True,,True,True,False,False,True
Louisiana,2267,2533.1,2587.0,2102.2,1988.0,2026.0,2007.1,2648.0,,1867.6,2102.7,2193.0,2070.3,2429.5,266.1,320.0,-164.8,-279.0,-241.0,-259.9,381.0,,-399.4,-164.3,-74.0,-196.7,162.5,False,True,False,True,True,False,,False,True,True,True,True
Maine,64,79.7,77.0,70.5,55.0,69.0,65.8,66.0,,57.2,65.7,80.0,87.9,80.4,15.7,13.0,6.5,-9.0,5.0,1.8,2.0,,-6.8,1.7,16.0,23.9,16.4,True,True,True,True,True,True,,True,True,False,False,False
Maryland,1614,1743.9,1783.0,1715.6,1966.0,1606.0,1183.2,1452.0,,1755.3,1103.1,2164.0,1313.7,1550.3,129.9,169.0,101.6,352.0,-8.0,-430.8,-162.0,,141.3,-510.9,550.0,-300.3,-63.7,False,True,False,True,False,False,,False,False,False,False,True
Massachusetts,4840,5114.6,5382.0,5459.8,6350.0,5389.0,4760.3,4785.0,,5771.4,3199.8,6603.0,4556.2,5147.8,274.6,542.0,619.8,1510.0,549.0,-79.7,-55.0,,931.4,-1640.2,1763.0,-283.8,307.8,False,False,False,False,True,True,,False,False,False,False,False
Michigan,4757,5031.0,4849.0,4485.2,4200.0,4811.0,3805.2,4485.0,,3994.4,4206.9,4890.0,4362.1,4714.5,464.0,282.0,-81.8,-367.0,244.0,-761.8,-82.0,,-572.6,-360.1,323.0,-204.9,147.5,True,True,True,True,False,True,,False,True,True,True,True
Minnesota,558,528.3,490.0,465.9,284.0,460.0,577.4,374.0,,515.5,310.7,576.0,581.3,480.1,-29.7,-68.0,-92.1,-274.0,-98.0,19.4,-184.0,,-42.5,-247.3,18.0,23.3,-77.9,False,False,False,False,True,False,,False,False,True,True,False
Mississippi,421,353.3,359.0,353.0,245.0,421.0,347.0,278.0,,278.9,350.7,494.0,344.0,336.7,-67.7,-62.0,-68.0,-176.0,0.0,-74.0,-143.0,,-142.1,-70.3,73.0,-77.0,-84.3,True,False,False,True,False,False,,False,False,False,False,False
Missouri,594,439.0,449.0,432.7,478.0,444.0,499.5,453.0,,345.8,488.4,489.0,421.5,418.8,-64.0,-54.0,-70.3,-25.0,-59.0,-3.5,-50.0,,-157.2,-14.6,-14.0,-81.5,-84.2,True,False,True,True,True,True,,False,True,True,False,False
Montana,16,21.4,22.0,17.7,15.0,12.0,26.4,19.0,,14.6,20.9,19.0,24.0,23.7,5.4,6.0,1.7,-1.0,-4.0,10.4,3.0,,-1.4,4.9,3.0,8.0,7.7,False,True,True,True,False,True,,True,True,True,False,False
Nebraska,90,108.0,102.0,131.5,14.0,171.0,146.6,137.0,,139.8,71.7,242.0,106.3,89.4,18.0,12.0,41.5,-76.0,81.0,56.6,47.0,,49.8,-18.3,152.0,16.3,-0.6,True,False,False,False,False,False,,False,False,False,True,True
Nevada,313,295.1,313.0,300.3,304.0,325.0,254.8,423.0,,290.1,294.1,322.0,266.7,292.5,-17.9,0.0,-12.7,-9.0,12.0,-58.2,110.0,,-22.9,-18.9,9.0,-46.3,-20.5,True,True,True,True,False,False,,False,False,True,False,False
New Hampshire,131,100.9,83.0,105.2,146.0,104.0,71.3,109.0,,87.9,74.9,114.0,95.6,92.7,-30.1,-48.0,-25.8,15.0,-27.0,-59.7,-22.0,,-43.1,-56.1,-17.0,-35.4,-38.3,False,True,True,True,False,True,,False,False,True,False,False
New Jersey,10805,8864.9,9602.0,8809.4,9949.0,9514.0,6995.5,9436.0,,8392.3,,10533.0,7258.7,8568.8,-548.1,189.0,-603.6,536.0,101.0,-2417.5,23.0,,-1020.7,,1120.0,-2154.3,-844.2,True,False,True,True,False,True,,False,,False,False,False
New Mexico,191,180.7,173.0,199.8,241.0,178.0,176.9,163.0,,172.1,123.5,222.0,216.4,169.8,-10.3,-18.0,8.8,50.0,-13.0,-14.1,-28.0,,-18.9,-67.5,31.0,25.4,-21.2,False,True,False,False,False,False,,False,False,False,False,False
New York,27454,29116.3,28507.0,24773.4,23822.0,26073.0,23962.6,25199.0,,28896.3,25388.2,31995.0,19118.7,27812.2,2303.3,1694.0,-2039.6,-2991.0,-740.0,-2850.4,-1614.0,,2083.3,-1424.8,5182.0,-7694.3,999.2,True,True,False,True,False,True,,True,True,False,False,True
North Carolina,551,554.3,541.0,530.9,387.0,524.0,375.3,461.0,,551.3,412.4,716.0,587.6,537.3,3.3,-10.0,-20.1,-164.0,-27.0,-175.7,-90.0,,0.3,-138.6,165.0,36.6,-13.7,False,False,False,False,False,False,,True,False,False,False,False
North Dakota,35,31.9,30.0,28.2,11.0,37.0,74.4,35.0,,23.6,24.4,43.0,28.9,25.8,-3.1,-5.0,-6.8,-24.0,2.0,39.4,0.0,,-11.4,-10.6,8.0,-6.1,-9.2,False,False,False,True,False,True,,False,False,False,False,False
Ohio,1331,1205.3,1231.0,1372.5,1227.0,1577.0,834.9,1151.0,,939.8,929.3,1899.0,1123.7,1139.3,-125.7,-100.0,41.5,-104.0,246.0,-496.1,-180.0,,-391.2,-401.7,568.0,-207.3,-191.7,True,True,True,False,False,False,,False,False,False,False,False
Oklahoma,270,297.1,310.0,281.2,229.0,298.0,,275.0,,255.8,324.6,304.0,270.0,285.5,27.1,40.0,11.2,-41.0,28.0,,5.0,,-14.2,54.6,34.0,0.0,15.5,False,True,False,False,,True,,True,False,False,True,True
Oregon,127,125.4,117.0,133.1,126.0,135.0,116.4,135.0,,125.6,122.5,144.0,130.7,128.3,-1.6,-10.0,6.1,-1.0,8.0,-10.6,8.0,,-1.4,-4.5,17.0,3.7,1.3,False,False,True,False,False,False,,True,False,False,False,True
Pennsylvania,3779,2818.9,3295.0,3029.9,3141.0,3274.0,2280.3,3128.0,,2787.6,,3823.0,2949.3,2806.3,-960.1,-484.0,-749.1,-638.0,-505.0,-1498.7,-651.0,,-991.4,,44.0,-829.7,-972.7,True,True,True,True,False,True,,False,,True,True,False
Rhode Island,480,367.1,371.0,521.1,830.0,487.0,482.7,473.0,,367.4,288.6,673.0,380.7,376.1,-112.9,-109.0,41.1,350.0,7.0,2.7,-7.0,,-112.6,-191.4,193.0,-99.3,-103.9,True,True,False,True,True,True,,True,False,False,True,True
South Carolina,330,274.3,260.0,263.2,248.0,254.0,274.8,324.0,,253.7,285.5,276.0,256.9,248.6,-55.7,-70.0,-66.8,-82.0,-76.0,-55.2,-6.0,,-76.3,-44.5,-54.0,-73.1,-81.4,False,False,False,False,True,True,,False,True,True,False,False
South Dakota,34,18.4,16.0,35.8,86.0,26.0,19.7,116.0,,15.5,26.3,26.0,23.7,25.5,-15.6,-18.0,1.8,52.0,-8.0,-14.3,82.0,,-18.5,-7.7,-8.0,-10.3,-8.5,False,True,False,True,True,False,,False,True,True,True,True
Tennessee,242,242.3,247.0,304.2,349.0,326.0,238.9,544.0,,279.2,323.1,329.0,256.9,243.7,0.3,5.0,62.2,107.0,84.0,-3.1,302.0,,37.2,81.1,87.0,14.9,1.7,False,False,False,False,False,False,,False,False,False,False,False
Texas,1183,950.0,962.0,1035.9,1088.0,1033.0,1124.0,1545.0,,936.5,1027.4,1204.0,959.6,924.9,-98.0,-86.0,-12.1,40.0,-15.0,76.0,497.0,,-111.5,-20.6,156.0,-88.4,-123.1,True,True,True,True,True,False,,False,True,False,True,False
Utah,66,67.0,73.0,87.3,189.0,54.0,171.2,180.0,,60.1,62.1,77.0,80.6,64.1,1.0,7.0,21.3,123.0,-12.0,105.2,114.0,,-5.9,-3.9,11.0,14.6,-1.9,False,False,False,False,False,False,,False,False,False,False,False
Vermont,53,60.9,62.0,57.2,51.0,55.0,53.8,52.0,,48.4,70.4,60.0,66.4,62.0,7.9,9.0,4.2,-2.0,2.0,0.8,-1.0,,-4.6,17.4,7.0,13.4,9.0,False,True,True,True,True,True,,True,False,True,False,False
Virginia,827,768.4,795.0,862.5,816.0,955.0,614.2,780.0,,818.4,591.0,1109.0,743.4,737.0,-58.6,-32.0,35.5,-11.0,128.0,-212.8,-47.0,,-8.6,-236.0,282.0,-83.6,-90.0,True,True,True,False,False,True,,True,False,False,False,False
Washington,952,958.9,985.0,928.9,1016.0,829.0,845.7,1135.0,,945.3,1031.9,971.0,895.4,909.5,56.9,83.0,26.9,114.0,-73.0,-56.3,233.0,,43.3,129.9,69.0,-6.6,7.5,False,True,False,False,True,False,,True,False,False,True,True
West Virginia,52,63.7,64.0,52.2,35.0,46.0,38.4,46.0,,41.8,46.2,73.0,68.4,64.3,11.7,12.0,0.2,-17.0,-6.0,-13.6,-6.0,,-10.2,-5.8,21.0,16.4,12.3,False,True,False,True,False,True,,True,True,False,False,False
Wisconsin,434,368.6,374.0,446.6,553.0,475.0,326.8,404.0,,397.6,391.0,491.0,381.9,359.5,-27.4,-22.0,50.6,157.0,79.0,-69.2,8.0,,1.6,-5.0,95.0,-14.1,-36.5,True,False,False,False,False,True,,True,True,False,True,False
Wyoming,7,16.3,17.0,9.7,1.0,5.0,45.4,12.0,,7.3,8.9,15.0,11.9,18.2,9.3,10.0,2.7,-6.0,-2.0,38.4,5.0,,0.3,1.9,8.0,4.9,11.2,False,True,True,True,False,True,,True,True,True,True,False
US,81899,80762.1,81759.0,73704.4,78094.0,,67730.6,,95218.0,84836.5,70155.5,,65902.6,77336.1,1400.1,2397.0,-5657.6,-1268.0,,-11631.4,,15856.0,5474.5,-9206.5,,-13459.4,-2025.9,False,False,True,,False,,False,False,False,,False,False
