,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,GT-DeepCOVID,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,1403,1413.7,1447.0,1373.7,1389.0,1297.0,1208.2,,1600.3,,,1523.0,1328.4,1482.4,,1414.9,1394.0,1319.4,1366.1,10.7,44.0,-29.3,-14.0,-106.0,-194.8,,197.3,,,120.0,-74.6,79.4,,11.9,-9.0,-83.6,-36.9,False,False,False,False,False,,False,,,False,False,False,,False,True,False,False
Hawaii,17,19.6,19.0,18.7,18.0,18.0,,,24.2,,,,17.2,18.9,,18.1,18.0,19.4,20.1,2.6,2.0,1.7,1.0,1.0,,,7.2,,,,0.2,1.9,,1.1,1.0,2.4,3.1,True,True,True,True,,,False,,,,True,True,,True,True,True,False
Idaho,67,70.9,72.0,71.4,67.0,74.0,,,72.0,,,68.0,68.0,71.7,,73.0,70.0,76.0,71.8,3.9,5.0,4.4,0.0,7.0,,,5.0,,,1.0,1.0,4.7,,6.0,3.0,9.0,4.8,False,False,True,False,,,False,,,True,True,False,,False,True,False,False
Illinois,3349,3205.1,3243.0,3304.5,3507.0,3750.0,2708.7,,3417.6,,,3333.0,3281.4,3316.9,2201.5,3124.2,3173.0,3134.9,3137.6,-143.9,-106.0,-44.5,158.0,401.0,-640.3,,68.6,,,-16.0,-67.6,-32.1,-1147.5,-224.8,-176.0,-214.1,-211.4,True,True,False,False,False,,True,,,True,True,True,False,False,False,False,False
Indiana,1490,1405.4,1444.0,1420.4,1338.0,1444.0,1233.6,,1828.0,,,1357.0,1366.4,1701.8,1489.0,1317.5,1479.0,1372.1,1347.4,29.4,68.0,44.4,-38.0,68.0,-142.4,,452.0,,,-19.0,-9.6,325.8,113.0,-58.5,103.0,-3.9,-28.6,False,False,False,False,False,,False,,,True,True,False,False,False,False,True,True
Iowa,252,240.6,238.0,270.5,307.0,330.0,197.1,,272.8,,,251.0,243.6,269.4,,247.7,280.0,252.0,235.3,-11.4,-14.0,18.5,55.0,78.0,-54.9,,20.8,,,-1.0,-8.4,17.4,,-4.3,28.0,0.0,-16.7,False,False,False,False,False,,False,,,True,True,False,,True,False,True,False
Kansas,174,163.7,164.0,182.5,151.0,258.0,129.0,,164.3,,,213.0,167.8,162.7,,198.9,161.0,163.0,166.3,-10.3,-10.0,8.5,-23.0,84.0,-45.0,,-9.7,,,39.0,-6.2,-11.3,,24.9,-13.0,-11.0,-7.7,True,True,False,False,False,,True,,,False,True,False,,False,False,False,True
Kentucky,304,291.6,291.0,296.0,263.0,332.0,264.0,,311.0,,,277.0,292.1,287.4,300.5,320.2,285.0,297.4,291.4,-12.4,-13.0,-8.0,-41.0,28.0,-40.0,,7.0,,,-27.0,-11.9,-16.6,-3.5,16.2,-19.0,-6.6,-12.6,False,True,False,False,False,,True,,,False,True,False,True,False,False,True,False
Louisiana,2267,2254.6,2279.0,2170.7,2090.0,2071.0,2374.4,,2295.9,,,2075.0,2186.6,2200.0,,2231.6,2185.0,2147.4,2256.8,-12.4,12.0,-96.3,-177.0,-196.0,107.4,,28.9,,,-192.0,-80.4,-67.0,,-35.4,-82.0,-119.6,-10.2,True,False,False,False,False,,False,,,False,False,False,,False,False,False,True
Maine,64,63.0,65.0,67.0,65.0,69.0,47.5,,58.8,,,58.0,65.2,67.7,,63.6,68.0,69.7,67.7,-1.0,1.0,3.0,1.0,5.0,-16.5,,-5.2,,,-6.0,1.2,3.7,,-0.4,4.0,5.7,3.7,False,False,False,False,False,,False,,,False,False,False,,True,False,False,False
Maryland,1614,1599.0,1627.0,1599.4,1574.0,1643.0,1153.1,,1582.8,,,1526.0,1604.8,1853.9,,1408.4,1710.0,1433.9,1568.6,-15.0,13.0,-14.6,-40.0,29.0,-460.9,,-31.2,,,-88.0,-9.2,239.9,,-205.6,96.0,-180.1,-45.4,True,True,False,False,False,,False,,,False,True,False,,False,False,False,False
Massachusetts,4840,4951.1,4962.0,4957.1,4888.0,5483.0,3570.8,,5241.6,,,4864.0,4833.2,4932.3,,4491.1,5343.0,4820.9,4877.1,111.1,122.0,117.1,48.0,643.0,-1269.2,,401.6,,,24.0,-6.8,92.3,,-348.9,503.0,-19.1,37.1,False,False,True,False,False,,False,,,True,True,True,,False,False,True,True
Michigan,4757,4685.6,4887.0,4572.2,4511.0,4766.0,3795.4,,4898.6,,,4369.0,4446.0,4595.3,5241.5,4511.5,4579.0,4514.9,4655.6,133.6,335.0,20.2,-41.0,214.0,-756.6,,346.6,,,-183.0,-106.0,43.3,689.5,-40.5,27.0,-37.1,103.6,False,True,True,False,False,,False,,,False,True,True,False,True,True,True,True
Minnesota,558,543.1,544.0,570.8,453.0,603.0,376.2,,638.0,,,424.0,593.6,697.0,509.5,445.5,657.0,585.0,533.6,-14.9,-14.0,12.8,-105.0,45.0,-181.8,,80.0,,,-134.0,35.6,139.0,-48.5,-112.5,99.0,27.0,-24.4,True,True,False,False,False,,False,,,False,False,False,False,False,False,False,False
Mississippi,421,368.1,361.0,359.1,317.0,388.0,322.4,,334.7,,,303.0,335.4,352.9,,355.2,351.0,370.4,360.7,-52.9,-60.0,-61.9,-104.0,-33.0,-98.6,,-86.3,,,-118.0,-85.6,-68.1,,-65.8,-70.0,-50.6,-60.3,False,False,False,True,False,,False,,,False,False,False,,False,False,True,False
Missouri,594,465.0,471.0,446.1,425.0,460.0,324.4,,471.0,,,466.0,438.6,475.7,,424.5,436.0,458.7,450.5,-26.0,-20.0,-44.9,-66.0,-31.0,-166.6,,-20.0,,,-25.0,-52.4,-15.3,,-66.5,-55.0,-32.3,-40.5,True,False,False,False,False,,True,,,True,False,True,,False,False,False,False
Montana,16,17.7,18.0,18.0,17.0,14.0,19.4,,13.2,,,16.0,16.0,19.5,,17.8,17.0,19.4,18.4,1.7,2.0,2.0,1.0,-2.0,3.4,,-2.8,,,0.0,0.0,3.5,,1.8,1.0,3.4,2.4,False,False,True,False,False,,False,,,True,True,False,,False,True,False,False
Nebraska,90,96.9,96.0,113.2,99.0,164.0,58.3,,109.2,,,171.0,102.3,106.5,,111.4,123.0,102.7,97.5,6.9,6.0,23.2,9.0,74.0,-31.7,,19.2,,,81.0,12.3,16.5,,21.4,33.0,12.7,7.5,True,False,False,False,False,,False,,,False,False,False,,False,False,False,False
Nevada,313,302.6,305.0,299.6,302.0,321.0,251.5,,312.7,,,349.0,294.6,284.5,,301.6,281.0,294.1,299.2,-10.4,-8.0,-13.4,-11.0,8.0,-61.5,,-0.3,,,36.0,-18.4,-28.5,,-11.4,-32.0,-18.9,-13.8,True,False,False,True,False,,True,,,False,False,False,,False,False,False,False
New Hampshire,131,108.3,115.0,111.9,133.0,107.0,76.5,,97.8,,,101.0,110.7,129.2,,98.3,103.0,108.7,105.9,-22.7,-16.0,-19.1,2.0,-24.0,-54.5,,-33.2,,,-30.0,-20.3,-1.8,,-32.7,-28.0,-22.3,-25.1,True,True,True,False,False,,False,,,False,True,True,,False,False,True,False
New Jersey,10805,9527.9,9570.0,9107.0,9008.0,9348.0,8971.2,,9858.4,,,9339.0,9199.9,9461.0,,8984.3,8951.0,8812.9,9092.5,307.9,350.0,-113.0,-212.0,128.0,-248.8,,638.4,,,119.0,-20.1,241.0,,-235.7,-269.0,-407.1,-127.5,False,True,True,True,True,,False,,,True,True,True,,True,True,False,True
New Mexico,191,195.6,183.0,195.5,154.0,196.0,128.9,,191.5,,,177.0,190.5,221.6,,164.7,203.0,203.6,189.5,4.6,-8.0,4.5,-37.0,5.0,-62.1,,0.5,,,-14.0,-0.5,30.6,,-26.3,12.0,12.6,-1.5,False,True,False,False,False,,True,,,False,True,False,,False,False,False,True
New York,27454,26798.6,26387.0,26130.9,25557.0,23513.0,18354.8,,27537.4,,,21669.0,26511.0,25907.8,,21960.8,25512.0,20137.4,26592.6,120.6,-291.0,-547.1,-1121.0,-3165.0,-8323.2,,859.4,,,-5009.0,-167.0,-770.2,,-4717.2,-1166.0,-6540.6,-85.4,False,False,False,False,False,,False,,,False,False,False,,False,False,False,True
North Carolina,551,528.3,557.0,550.1,549.0,575.0,439.9,,606.5,,,540.0,510.7,605.1,,506.5,570.0,560.1,525.8,-22.7,6.0,-0.9,-2.0,24.0,-111.1,,55.5,,,-11.0,-40.3,54.1,,-44.5,19.0,9.1,-25.2,True,True,True,False,False,,False,,,True,False,False,,False,True,True,False
North Dakota,35,31.9,32.0,32.1,9.0,35.0,22.1,,29.3,,,30.0,28.0,36.4,,29.1,34.0,32.1,30.2,-3.1,-3.0,-2.9,-26.0,0.0,-12.9,,-5.7,,,-5.0,-7.0,1.4,,-5.9,-1.0,-2.9,-4.8,True,True,False,True,False,,False,,,False,False,True,,False,True,True,False
Ohio,1331,1305.6,1333.0,1319.1,1283.0,1420.0,1045.2,,1544.8,,,1311.0,1264.5,1461.1,1450.0,1228.4,1374.0,1269.0,1254.8,-25.4,2.0,-11.9,-48.0,89.0,-285.8,,213.8,,,-20.0,-66.5,130.1,119.0,-102.6,43.0,-62.0,-76.2,True,True,False,False,False,,False,,,True,False,False,False,False,False,False,False
Oklahoma,270,274.9,282.0,275.3,252.0,294.0,252.7,,286.0,,,238.0,278.1,288.7,,278.6,264.0,272.7,274.9,4.9,12.0,5.3,-18.0,24.0,-17.3,,16.0,,,-32.0,8.1,18.7,,8.6,-6.0,2.7,4.9,False,False,False,False,False,,False,,,False,False,False,,False,False,True,False
Oregon,127,123.6,131.0,125.7,132.0,131.0,110.5,,128.9,,,134.0,125.1,125.8,,122.7,120.0,125.7,123.4,-3.4,4.0,-1.3,5.0,4.0,-16.5,,1.9,,,7.0,-1.9,-1.2,,-4.3,-7.0,-1.3,-3.6,False,True,False,False,False,,True,,,False,True,True,,False,False,True,False
Pennsylvania,3779,3494.9,3597.0,3381.4,3009.0,3514.0,2658.0,,4029.7,,,3549.0,3101.9,4061.4,,3206.5,3354.0,3502.6,3303.1,-284.1,-182.0,-397.6,-770.0,-265.0,-1121.0,,250.7,,,-230.0,-677.1,282.4,,-572.5,-425.0,-276.4,-475.9,True,False,False,True,False,,True,,,True,False,True,,False,False,True,False
Rhode Island,480,400.6,377.0,404.0,515.0,424.0,256.7,,362.4,,,423.0,367.3,369.3,,385.3,382.0,404.3,384.7,-23.4,-47.0,-20.0,91.0,0.0,-167.3,,-61.6,,,-1.0,-56.7,-54.7,,-38.7,-42.0,-19.7,-39.3,False,True,False,True,False,,False,,,True,False,False,,False,False,True,False
South Carolina,330,361.6,368.0,338.5,314.0,298.0,231.4,,429.0,,,274.0,333.8,370.3,,295.4,375.0,353.9,328.5,31.6,38.0,8.5,-16.0,-32.0,-98.6,,99.0,,,-56.0,3.8,40.3,,-34.6,45.0,23.9,-1.5,False,True,True,False,False,,False,,,False,True,False,,False,False,True,True
South Dakota,34,29.6,32.0,27.9,35.0,24.0,31.6,,25.5,,,42.0,22.7,30.2,,25.2,30.0,35.6,24.8,-4.4,-2.0,-6.1,1.0,-10.0,-2.4,,-8.5,,,8.0,-11.3,-3.8,,-8.8,-4.0,1.6,-9.2,True,False,True,False,True,,False,,,False,False,True,,False,True,True,False
Tennessee,242,234.9,241.0,266.0,291.0,312.0,236.4,,261.0,,,332.0,247.3,250.1,,273.5,211.0,254.1,234.0,-7.1,-1.0,24.0,49.0,70.0,-5.6,,19.0,,,90.0,5.3,8.1,,31.5,-31.0,12.1,-8.0,True,False,False,False,True,,False,,,False,True,False,,False,False,False,False
Texas,1151,1072.6,1088.0,1060.8,1116.0,1048.0,1034.1,,1166.6,,,1124.0,1075.1,1064.2,,1057.0,1032.0,1054.0,1039.2,22.6,38.0,10.8,66.0,-2.0,-15.9,,116.6,,,74.0,25.1,14.2,,7.0,-18.0,4.0,-10.8,False,True,False,True,True,,False,,,False,False,True,,True,True,True,True
Utah,66,57.7,57.0,63.7,86.0,60.0,65.9,,57.0,,,96.0,59.3,61.2,,56.7,61.0,65.9,59.4,-8.3,-9.0,-2.3,20.0,-6.0,-0.1,,-9.0,,,30.0,-6.7,-4.8,,-9.3,-5.0,-0.1,-6.6,False,True,False,True,True,,False,,,False,True,True,,False,True,True,True
Vermont,53,59.0,56.0,57.9,53.0,56.0,48.6,,53.5,,,56.0,54.5,58.8,,56.4,55.0,62.3,59.3,6.0,3.0,4.9,0.0,3.0,-4.4,,0.5,,,3.0,1.5,5.8,,3.4,2.0,9.3,6.3,True,True,True,True,True,,True,,,True,True,True,,True,True,False,False
Virginia,827,840.9,797.0,847.0,882.0,928.0,589.9,,805.4,,,809.0,853.8,838.3,,766.2,849.0,854.4,804.6,13.9,-30.0,20.0,55.0,101.0,-237.1,,-21.6,,,-18.0,26.8,11.3,,-60.8,22.0,27.4,-22.4,False,False,False,False,False,,False,,,False,False,True,,False,False,False,False
Washington,952,906.9,923.0,923.2,956.0,868.0,791.2,,960.1,,,1080.0,937.8,946.0,,946.6,878.0,907.7,904.7,-5.1,11.0,11.2,44.0,-44.0,-120.8,,48.1,,,168.0,25.8,34.0,,34.6,-34.0,-4.3,-7.3,False,False,False,False,False,,False,,,False,False,False,,False,False,True,False
West Virginia,52,60.0,64.0,59.6,52.0,52.0,42.0,,58.1,,,49.0,52.3,76.9,,54.7,62.0,66.6,60.0,8.0,12.0,7.6,0.0,0.0,-10.0,,6.1,,,-3.0,0.3,24.9,,2.7,10.0,14.6,8.0,False,True,True,True,False,,True,,,True,True,False,,True,False,False,False
Wisconsin,434,396.4,402.0,414.9,457.0,482.0,338.3,,410.4,,,390.0,402.1,382.3,379.0,407.5,357.0,394.0,379.6,8.4,14.0,26.9,69.0,94.0,-49.7,,22.4,,,2.0,14.1,-5.7,-9.0,19.5,-31.0,6.0,-8.4,False,False,False,False,False,,False,,,True,False,True,False,False,False,True,True
Wyoming,7,7.0,7.0,9.0,7.0,8.0,8.8,,6.0,,,7.0,7.4,8.8,,8.1,11.0,8.0,9.6,0.0,0.0,2.0,0.0,1.0,1.8,,-1.0,,,0.0,0.4,1.8,,1.1,4.0,1.0,2.6,True,False,True,False,False,,False,,,True,False,False,,False,False,False,False
US,81867,78654.3,78983.0,76459.8,76511.0,77517.0,78592.9,74220.0,82424.3,79511.0,79268.0,73569.0,78755.0,77034.5,,77336.2,,70645.9,77521.6,-186.7,142.0,-2381.2,-2330.0,-1324.0,-248.1,-4621.0,3583.3,670.0,427.0,-5272.0,-86.0,-1806.5,,-1504.8,,-8195.1,-1319.4,True,False,False,False,False,False,False,False,False,False,True,False,,False,,False,False
