,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,8647,8126.6,8225.6,8213.9,8255.0,8210.0,8205.0,8187.0,8447.0,8250.8,8133.0,8266.7,8181.4,8210.3,,8284.8,8249.0,8279.0,8191.2,8247.1,8046.0,8050.6,8185.0,8234.6,8176.9,8156.9,8144.0,8160.7,8154.2,,8075.7,8278.9,7849.0,,8339.3,8180.9,,8270.0,8586.2,8207.0,8202.4,,8145.1,8167.6,8179.0,8253.7,8196.2,8310.0,8105.0,7967.3,8117.0,-520.4,-421.4,-433.1,-392.0,-437.0,-442.0,-460.0,-200.0,-396.2,-514.0,-380.3,-465.6,-436.7,,-362.2,-398.0,-368.0,-455.8,-399.9,-601.0,-596.4,-462.0,-412.4,-470.1,-490.1,-503.0,-486.3,-492.8,,-571.3,-368.1,-798.0,,-307.7,-466.1,,-377.0,-60.8,-440.0,-444.6,,-501.9,-479.4,-468.0,-393.3,-450.8,-337.0,-542.0,-679.7,-530.0,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,False,True,True,True,True,True,True,True,,False,True,False,,True,True,,True,True,True,True,,True,True,True,True,True,True,False,False,False
Hawaii,220,258.4,283.5,267.2,257.0,264.0,250.0,223.0,250.0,247.8,238.0,256.8,,229.7,,225.8,,,254.5,233.3,251.0,255.4,254.0,245.2,239.0,235.2,242.0,253.1,258.3,,293.7,252.3,250.0,,,198.2,,251.0,178.4,280.0,226.0,,240.9,256.8,244.0,247.2,220.8,252.0,262.0,233.2,254.0,38.4,63.5,47.2,37.0,44.0,30.0,3.0,30.0,27.8,18.0,36.8,,9.7,,5.8,,,34.5,13.3,31.0,35.4,34.0,25.2,19.0,15.2,22.0,33.1,38.3,,73.7,32.3,30.0,,,-21.8,,31.0,-41.6,60.0,6.0,,20.9,36.8,24.0,27.2,0.8,32.0,42.0,13.2,34.0,False,False,True,False,True,True,True,True,True,True,,True,,True,,,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,,True,,True,False,False,True,,True,True,True,True,True,True,False,True,True
Idaho,683,656.6,716.9,656.7,642.0,658.0,655.0,697.0,642.0,632.9,616.0,639.7,660.7,652.6,,578.0,668.0,643.0,654.2,641.3,681.0,636.1,631.5,677.8,622.0,664.0,682.0,677.8,670.2,,655.4,651.6,692.0,,,573.5,,655.0,588.7,667.0,647.8,,609.6,689.0,661.0,637.8,668.9,677.0,652.0,608.6,640.0,-26.4,33.9,-26.3,-41.0,-25.0,-28.0,14.0,-41.0,-50.1,-67.0,-43.3,-22.3,-30.4,,-105.0,-15.0,-40.0,-28.8,-41.7,-2.0,-46.9,-51.5,-5.2,-61.0,-19.0,-1.0,-5.2,-12.8,,-27.6,-31.4,9.0,,,-109.5,,-28.0,-94.3,-16.0,-35.2,,-73.4,6.0,-22.0,-45.2,-14.1,-6.0,-31.0,-74.4,-43.0,False,True,False,True,False,True,False,False,False,False,True,False,,False,True,False,False,False,True,False,False,True,False,True,True,True,True,,False,False,True,,,False,,False,False,True,False,,False,True,True,False,True,True,False,False,False
Illinois,10488,10334.0,10581.8,10348.9,10347.0,10348.9,10410.0,10530.0,10888.0,10486.9,10357.0,10325.2,10538.4,10383.6,,10054.8,10333.0,10278.0,10423.9,10719.3,10014.0,10147.3,10226.0,10619.5,10242.6,10511.4,10176.0,10421.9,10447.7,10285.5,10074.0,10538.2,10184.0,,10189.9,10092.3,,10501.0,10066.6,10561.0,10242.4,,10210.0,10454.3,10437.0,10328.1,11246.4,10578.0,10463.0,9760.9,10210.0,-154.0,93.8,-139.1,-141.0,-139.1,-78.0,42.0,400.0,-1.1,-131.0,-162.8,50.4,-104.4,,-433.2,-155.0,-210.0,-64.1,231.3,-474.0,-340.7,-262.0,131.5,-245.4,23.4,-312.0,-66.1,-40.3,-202.5,-414.0,50.2,-304.0,,-298.1,-395.7,,13.0,-421.4,73.0,-245.6,,-278.0,-33.7,-51.0,-159.9,758.4,90.0,-25.0,-727.1,-278.0,True,True,True,True,True,True,False,True,True,False,True,True,,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,,False,False,,True,False,True,False,,False,True,True,False,False,True,True,False,False
Indiana,4592,4488.4,4684.5,4515.4,4524.0,4518.0,4516.0,4563.0,4754.0,4630.2,4420.0,4445.6,4506.8,4484.7,,4445.2,4458.0,4461.0,4543.0,4590.8,4272.0,4301.8,4451.5,4635.9,4453.9,4554.7,4420.0,4496.7,4533.8,4659.0,4475.6,4607.2,4331.0,,4397.6,4286.3,,4583.0,4974.3,4582.0,4436.7,,4398.1,4512.6,4516.0,4382.6,4942.7,4636.0,4624.5,4022.0,4614.0,-103.6,92.5,-76.6,-68.0,-74.0,-76.0,-29.0,162.0,38.2,-172.0,-146.4,-85.2,-107.3,,-146.8,-134.0,-131.0,-49.0,-1.2,-320.0,-290.2,-140.5,43.9,-138.1,-37.3,-172.0,-95.3,-58.2,67.0,-116.4,15.2,-261.0,,-194.4,-305.7,,-9.0,382.3,-10.0,-155.3,,-193.9,-79.4,-76.0,-209.4,350.7,44.0,32.5,-570.0,22.0,True,True,True,True,True,True,False,True,False,False,True,False,,False,False,False,True,True,False,False,False,True,False,True,False,True,True,True,False,True,False,,False,False,,True,False,True,False,,False,True,True,False,False,True,True,False,True
Iowa,1842,1826.3,1899.8,1847.6,1813.0,1846.0,1830.0,1719.0,1859.0,1842.0,1783.0,1825.3,1821.9,1839.5,,1800.4,1794.0,1787.0,1843.7,1836.0,1904.0,1736.8,1819.0,1836.2,1800.8,1841.4,1845.0,1833.8,1830.2,,1836.1,1887.4,1793.0,,1802.7,1671.0,,1840.0,2069.5,1843.0,1817.6,,1793.4,1843.1,1802.0,1789.6,1890.4,1842.0,1822.0,1713.9,1838.0,-15.7,57.8,5.6,-29.0,4.0,-12.0,-123.0,17.0,-0.0,-59.0,-16.7,-20.1,-2.5,,-41.6,-48.0,-55.0,1.7,-6.0,62.0,-105.2,-23.0,-5.8,-41.2,-0.6,3.0,-8.2,-11.8,,-5.9,45.4,-49.0,,-39.3,-171.0,,-2.0,227.5,1.0,-24.4,,-48.6,1.1,-40.0,-52.4,48.4,0.0,-20.0,-128.1,-4.0,False,True,False,True,True,False,False,True,False,False,False,True,,False,False,False,True,True,False,False,False,True,False,True,True,True,True,,True,False,False,,False,False,,True,False,True,False,,False,True,False,False,False,True,False,False,True
Kansas,1166,1136.1,1210.6,1148.2,1182.0,1150.0,1149.0,1061.0,1271.0,1165.4,1080.0,1136.3,1134.0,1128.3,,1213.2,1094.0,1122.0,1194.2,1218.8,1154.0,1071.7,1157.0,1146.1,1067.1,1114.1,1167.0,1166.3,1158.2,,1092.4,1155.2,1193.0,,,991.1,,1196.0,1025.8,1130.0,1115.9,,1159.5,1174.1,1178.0,1167.3,1060.5,1170.0,1129.0,1032.3,1133.0,-10.9,63.6,1.2,35.0,3.0,2.0,-86.0,124.0,18.4,-67.0,-10.7,-13.0,-18.7,,66.2,-53.0,-25.0,47.2,71.8,7.0,-75.3,10.0,-0.9,-79.9,-32.9,20.0,19.3,11.2,,-54.6,8.2,46.0,,,-155.9,,49.0,-121.2,-17.0,-31.1,,12.5,27.1,31.0,20.3,-86.5,23.0,-18.0,-114.7,-14.0,False,True,False,True,True,False,False,False,False,True,False,False,,False,False,False,False,False,True,False,True,True,False,False,False,False,False,,False,True,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Kentucky,1561,1572.3,1662.8,1590.1,1571.0,1588.0,1574.0,1593.0,1571.0,1555.8,1550.0,1557.2,1539.1,1573.9,,1492.1,1534.0,1603.0,1564.4,1555.4,1619.0,1549.2,1590.5,1585.3,1555.8,1582.9,1626.0,1611.6,1588.4,1571.5,1490.9,1621.1,1537.0,,1529.6,1521.5,,1587.0,1591.7,1584.0,1575.9,,1495.9,1623.4,1572.0,1528.9,1693.6,1605.0,1571.5,1481.7,1607.0,11.3,101.8,29.1,10.0,27.0,13.0,32.0,10.0,-5.2,-11.0,-3.8,-21.9,12.9,,-68.9,-27.0,42.0,3.4,-5.6,58.0,-11.8,29.5,24.3,-5.2,21.9,65.0,50.6,27.4,10.5,-70.1,60.1,-24.0,,-31.4,-39.5,,26.0,30.7,23.0,14.9,,-65.1,62.4,11.0,-32.1,132.6,44.0,10.5,-79.3,46.0,False,False,True,False,False,False,True,True,True,True,False,False,,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,,False,False,True,False,False,False,True,False,False
Louisiana,6016,5998.6,6001.5,6007.9,5985.0,6006.1,6006.0,5971.0,6025.0,6005.5,5927.0,6003.1,6026.2,6000.8,,6016.9,5976.0,5984.0,5985.1,6025.1,5835.0,5925.2,5984.0,6002.2,5996.4,5966.8,5964.0,6026.5,6006.0,,5999.9,5993.9,6073.0,,6036.9,6007.1,,6027.0,5763.5,6042.0,6031.7,,5959.7,6032.4,5988.0,6072.6,6069.6,6008.0,5978.0,5788.6,6006.0,-17.4,-14.5,-8.1,-31.0,-9.9,-10.0,-45.0,9.0,-10.5,-89.0,-12.9,10.2,-15.2,,0.9,-40.0,-32.0,-30.9,9.1,-181.0,-90.8,-32.0,-13.8,-19.6,-49.2,-52.0,10.5,-10.0,,-16.1,-22.1,57.0,,20.9,-8.9,,11.0,-252.5,26.0,15.7,,-56.3,16.4,-28.0,56.6,53.6,-8.0,-38.0,-227.4,-10.0,True,True,False,True,True,False,True,True,False,True,True,True,,True,False,False,False,True,False,False,False,True,False,False,False,True,True,,True,False,False,,False,True,,True,False,False,True,,False,True,False,False,False,True,False,False,True
Maine,151,146.0,147.4,146.6,150.0,147.0,150.0,147.0,150.0,149.6,151.0,153.6,149.7,148.4,,149.1,146.0,153.0,148.2,152.6,153.0,156.8,146.0,149.1,150.8,146.1,166.0,149.8,155.9,,147.5,148.9,149.0,,,156.5,,150.0,163.3,156.0,146.3,,147.9,161.7,150.0,151.5,158.8,149.0,149.0,149.0,,-5.0,-3.6,-4.4,-1.0,-4.0,-1.0,-4.0,-1.0,-1.4,0.0,2.6,-1.3,-2.6,,-1.9,-5.0,2.0,-2.8,1.6,2.0,5.8,-5.0,-1.9,-0.2,-4.9,15.0,-1.2,4.9,,-3.5,-2.1,-2.0,,,5.5,,-1.0,12.3,5.0,-4.7,,-3.1,10.7,-1.0,0.5,7.8,-2.0,-2.0,-2.0,,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,False,False,True,True,True,False,True,True,,True,True,True,,,False,,True,False,False,True,,True,False,True,True,False,True,True,True,
Maryland,4201,4205.6,4201.2,4200.1,4182.0,4201.0,4192.0,4241.0,4179.0,4166.0,4156.0,4220.0,4189.0,4190.1,,4196.4,4192.0,4176.0,4179.2,4196.9,4179.0,4193.5,4168.0,4192.6,4171.9,4214.6,4186.0,4200.5,4192.6,,4196.7,4190.9,4149.0,,4178.2,4130.0,4395.0,4191.0,4293.2,4193.0,4180.0,,4163.4,4212.8,4189.0,4200.8,4387.1,4196.0,4248.0,4136.3,4248.0,4.6,0.2,-0.9,-19.0,0.0,-9.0,40.0,-22.0,-35.0,-45.0,19.0,-12.0,-10.9,,-4.6,-9.0,-25.0,-21.8,-4.1,-22.0,-7.5,-33.0,-8.4,-29.1,13.6,-15.0,-0.5,-8.4,,-4.3,-10.1,-52.0,,-22.8,-71.0,194.0,-10.0,92.2,-8.0,-21.0,,-37.6,11.8,-12.0,-0.2,186.1,-5.0,47.0,-64.7,47.0,True,True,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,True,False,False,,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False
Massachusetts,10129,10099.9,10128.4,10075.1,10091.0,10071.6,10100.0,10196.0,10093.0,10166.9,10150.0,10153.2,10086.1,10224.7,,10081.0,10017.0,10084.0,10117.2,10166.3,10043.0,10023.3,9983.0,10154.0,10098.5,10156.5,10006.0,10086.8,10107.9,,10100.8,10158.2,10063.0,,10097.6,9948.9,,10161.0,10420.3,10207.0,10018.9,,10064.6,10098.0,10161.0,10076.9,10482.7,10163.0,10159.0,9948.8,9971.0,-29.1,-0.6,-53.9,-38.0,-57.4,-29.0,67.0,-36.0,37.9,21.0,24.2,-42.9,95.7,,-48.0,-112.0,-45.0,-11.8,37.3,-86.0,-105.7,-146.0,25.0,-30.5,27.5,-123.0,-42.2,-21.1,,-28.2,29.2,-66.0,,-31.4,-180.1,,32.0,291.3,78.0,-110.1,,-64.4,-31.0,32.0,-52.1,353.7,34.0,30.0,-180.2,-158.0,True,False,False,False,True,False,False,False,True,True,False,False,,False,False,False,True,False,False,False,False,True,False,True,False,False,True,,True,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Michigan,7945,7860.0,8084.0,7890.9,7865.0,7886.1,7887.0,7999.0,8035.0,7905.5,7810.0,7778.6,8074.8,7775.5,,7829.1,7804.0,7902.0,7910.6,8057.0,7751.0,7801.3,7825.5,7937.1,7673.9,7894.8,7806.0,7950.2,7882.2,8774.5,7610.2,7982.3,7803.0,,7665.0,7674.9,,7942.0,8243.7,7811.0,7801.4,,7737.2,7963.2,7980.0,7773.9,8733.8,8004.0,7859.0,7542.0,7854.0,-85.0,139.0,-54.1,-80.0,-58.9,-58.0,54.0,90.0,-39.5,-135.0,-166.4,129.8,-169.5,,-115.9,-141.0,-43.0,-34.4,112.0,-194.0,-143.7,-119.5,-7.9,-271.1,-50.2,-139.0,5.2,-62.8,829.5,-334.8,37.3,-142.0,,-280.0,-270.1,,-3.0,298.7,-134.0,-143.6,,-207.8,18.2,35.0,-171.1,788.8,59.0,-86.0,-403.0,-91.0,False,True,True,True,True,True,False,True,False,False,False,False,,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,,False,False,,True,False,False,False,,False,True,True,False,False,True,False,False,False
Minnesota,2679,2615.6,2667.3,2600.5,2568.0,2603.0,2609.0,2559.0,2653.0,2613.3,2632.0,2614.6,,2606.9,,2620.1,2580.0,2610.0,2628.0,2567.4,2587.0,2538.5,2595.0,2599.2,2581.3,2649.9,2613.0,2632.0,2637.0,2523.0,2588.8,2651.4,2649.0,,2582.6,2556.1,,2576.0,2920.8,2628.0,2578.0,,2573.0,2645.9,2640.0,2575.3,2863.1,2627.0,2725.0,2440.8,2680.0,-63.4,-11.7,-78.5,-111.0,-76.0,-70.0,-120.0,-26.0,-65.7,-47.0,-64.4,,-72.1,,-58.9,-99.0,-69.0,-51.0,-111.6,-92.0,-140.5,-84.0,-79.8,-97.7,-29.1,-66.0,-47.0,-42.0,-156.0,-90.2,-27.6,-30.0,,-96.4,-122.9,,-103.0,241.8,-51.0,-101.0,,-106.0,-33.1,-39.0,-103.7,184.1,-52.0,46.0,-238.2,1.0,True,False,False,False,False,False,True,False,True,False,,False,,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,,False,False,,False,False,True,False,,False,True,True,False,False,True,True,False,True
Mississippi,3433,3411.0,3443.6,3421.3,3430.0,3423.3,3421.0,3448.0,3458.0,3473.4,3369.0,3418.5,3380.4,3462.3,,3506.7,3444.0,3394.0,3427.9,3475.5,3431.0,3339.0,3389.0,3488.5,3354.8,3399.3,3412.0,3424.2,3444.7,,3408.5,3439.6,3419.0,,3393.9,3268.8,,3462.0,3023.2,3359.0,3420.3,,3368.2,3436.3,3450.0,3433.5,3546.9,3449.0,3348.0,3392.1,3376.0,-22.0,10.6,-11.7,-3.0,-9.7,-12.0,15.0,25.0,40.4,-64.0,-14.5,-52.6,29.3,,73.7,11.0,-39.0,-5.1,42.5,-2.0,-94.0,-44.0,55.5,-78.2,-33.7,-21.0,-8.8,11.7,,-24.5,6.6,-14.0,,-39.1,-164.2,,29.0,-409.8,-74.0,-12.7,,-64.8,3.3,17.0,0.5,113.9,16.0,-85.0,-40.9,-57.0,True,True,True,True,True,True,False,False,False,True,False,False,,False,True,False,True,False,True,False,False,False,False,False,True,True,True,,False,True,True,,False,False,,False,False,False,True,,False,True,True,True,False,True,False,False,False
Missouri,3162,3243.4,3195.1,3314.2,3256.0,3262.0,3250.0,3303.0,3315.0,3380.6,3097.0,3202.7,3276.8,3067.5,,2767.7,3311.0,3104.0,3336.7,3014.0,3040.0,3028.6,3179.5,3176.3,3159.5,3221.7,3144.0,3286.1,3253.9,,3140.1,3329.5,3247.0,,3097.7,3253.4,,3283.0,3172.6,3295.0,2932.4,,3281.1,3328.3,3091.0,3126.3,3242.6,3302.0,3374.0,2777.6,3343.0,81.4,33.1,152.2,94.0,100.0,88.0,141.0,153.0,218.6,-65.0,40.7,114.8,-94.5,,-394.3,149.0,-58.0,174.7,-148.0,-122.0,-133.4,17.5,14.3,-2.5,59.7,-18.0,124.1,91.9,,-21.9,167.5,85.0,,-64.3,91.4,,121.0,10.6,133.0,-229.6,,119.1,166.3,-71.0,-35.7,80.6,140.0,212.0,-384.4,181.0,True,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,False,False,False,False,True,True,True,True,True,False,False,,True,False,False,,True,False,,False,True,False,False,,False,False,True,True,True,False,False,False,False
Montana,445,401.0,439.9,408.3,361.0,404.0,399.0,367.0,403.0,391.4,370.0,363.7,409.8,408.3,,406.3,410.0,357.0,410.9,421.9,399.0,328.4,371.5,398.8,374.3,391.2,422.0,443.8,405.8,,369.1,423.4,357.0,,,300.9,,420.0,495.8,405.0,338.0,,353.6,454.5,409.0,367.8,410.5,421.0,372.0,331.1,426.0,-44.0,-5.1,-36.7,-84.0,-41.0,-46.0,-78.0,-42.0,-53.6,-75.0,-81.3,-35.2,-36.7,,-38.7,-35.0,-88.0,-34.1,-23.1,-46.0,-116.6,-73.5,-46.2,-70.7,-53.8,-23.0,-1.2,-39.2,,-75.9,-21.6,-88.0,,,-144.1,,-25.0,50.8,-40.0,-107.0,,-91.4,9.5,-36.0,-77.2,-34.5,-24.0,-73.0,-113.9,-19.0,True,True,False,True,False,False,True,False,False,False,True,True,,True,True,False,True,True,False,False,False,False,False,False,True,True,True,,False,True,False,,,False,,True,False,True,False,,False,True,True,False,True,True,False,False,True
Nebraska,703,685.1,768.7,687.4,696.0,691.0,689.0,749.0,701.0,676.5,688.0,690.1,704.7,693.9,,615.6,646.0,689.0,685.1,674.3,719.0,667.7,677.0,694.0,646.8,685.4,767.0,698.4,698.8,,658.4,717.2,649.0,,,632.8,,696.0,628.2,691.0,669.6,,650.0,710.3,674.0,640.0,716.8,709.0,684.5,628.6,694.0,-17.9,65.7,-15.6,-7.0,-12.0,-14.0,46.0,-2.0,-26.5,-15.0,-12.9,1.7,-9.1,,-87.4,-57.0,-14.0,-17.9,-28.7,16.0,-35.3,-26.0,-9.0,-56.2,-17.6,64.0,-4.6,-4.2,,-44.6,14.2,-54.0,,,-70.2,,-7.0,-74.8,-12.0,-33.4,,-53.0,7.3,-29.0,-63.0,13.8,6.0,-18.5,-74.4,-9.0,False,True,True,True,True,False,True,False,True,True,True,True,,False,False,True,False,False,True,False,False,True,False,True,False,True,True,,False,True,False,,,False,,True,False,True,False,,False,True,False,False,True,True,False,False,True
Nevada,1850,1807.1,1799.1,1794.8,1828.0,1803.0,1828.0,1855.0,1841.0,1862.0,1805.0,1838.8,1814.3,1825.3,,1951.4,1812.0,1849.0,1824.9,1894.0,1817.0,1807.9,1810.0,1853.9,1831.8,1832.1,1816.0,1816.3,1856.4,,1845.2,1842.1,1775.0,,1868.6,1802.8,,1855.0,2036.3,1839.0,1826.5,,1815.3,1823.4,1849.0,1829.6,1896.3,1812.0,1817.0,1819.2,1824.0,-38.9,-46.9,-51.2,-18.0,-43.0,-18.0,9.0,-5.0,16.0,-41.0,-7.2,-31.7,-20.7,,105.4,-34.0,3.0,-21.1,48.0,-29.0,-38.1,-36.0,7.9,-14.2,-13.9,-30.0,-29.7,10.4,,-0.8,-3.9,-71.0,,22.6,-43.2,,9.0,190.3,-7.0,-19.5,,-30.7,-22.6,3.0,-16.4,50.3,-34.0,-29.0,-26.8,-22.0,False,False,True,False,True,True,True,True,False,True,True,True,,False,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,False,,True,False,,True,False,True,True,,True,True,True,True,False,True,True,True,True
New Hampshire,489,486.0,480.9,486.8,488.0,487.0,495.0,487.0,508.0,538.6,497.0,498.1,504.9,499.3,,507.6,488.0,490.0,497.7,512.0,490.0,490.0,489.0,507.0,488.2,485.3,495.0,485.5,498.2,,484.0,488.3,492.0,,,495.8,,497.0,486.0,495.0,485.4,,504.1,498.2,493.0,496.8,537.7,498.0,504.5,478.7,486.0,-3.0,-8.1,-2.2,-1.0,-2.0,6.0,-2.0,19.0,49.6,8.0,9.1,15.9,10.3,,18.6,-1.0,1.0,8.7,23.0,1.0,1.0,0.0,18.0,-0.8,-3.7,6.0,-3.5,9.2,,-5.0,-0.7,3.0,,,6.8,,8.0,-3.0,6.0,-3.6,,15.1,9.2,4.0,7.8,48.7,9.0,15.5,-10.3,-3.0,False,True,True,True,False,True,False,False,False,False,False,False,,False,True,True,False,False,True,True,True,False,True,False,False,False,False,,False,True,False,,,False,,False,True,False,False,,False,False,False,False,False,False,False,False,False
New Jersey,16425,16422.4,16498.6,16426.9,16431.0,16439.2,16432.0,16669.0,16403.0,16407.2,16544.0,16393.4,,16473.0,,16248.1,16424.0,16409.0,16395.8,16509.2,16460.0,16423.4,16425.0,16431.0,16375.7,16449.7,16414.0,16480.2,16422.0,,16432.5,16428.5,16297.0,,16348.5,16286.0,,16437.0,18444.8,16411.0,16404.0,,16351.4,16494.4,16446.0,16686.4,17307.5,16461.0,16626.0,16332.3,16663.0,-2.6,73.6,1.9,6.0,14.2,7.0,244.0,-22.0,-17.8,119.0,-31.6,,48.0,,-176.9,-1.0,-16.0,-29.2,84.2,35.0,-1.6,0.0,6.0,-49.3,24.7,-11.0,55.2,-3.0,,7.5,3.5,-128.0,,-76.5,-139.0,,12.0,2019.8,-14.0,-21.0,,-73.6,69.4,21.0,261.4,882.5,36.0,201.0,-92.7,238.0,False,True,False,False,False,False,False,False,False,False,,False,,False,True,False,False,False,False,True,True,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
New Mexico,1104,1028.3,1061.5,1038.2,1028.0,1037.0,1040.0,1103.0,1066.0,1071.6,1014.0,1034.0,,1059.5,,1048.1,1032.0,1012.0,1057.8,1112.4,1050.0,1025.5,1022.0,1085.5,1033.6,1046.9,1045.0,1038.1,1064.9,,1022.8,1051.6,987.0,,,987.0,,1074.0,1154.2,1058.0,1023.4,,998.2,1050.6,1060.0,1029.4,1151.4,1090.0,1025.0,1002.6,1039.0,-75.7,-42.5,-65.8,-76.0,-67.0,-64.0,-1.0,-38.0,-32.4,-90.0,-70.0,,-44.5,,-55.9,-72.0,-92.0,-46.2,8.4,-54.0,-78.5,-82.0,-18.5,-70.4,-57.1,-59.0,-65.9,-39.1,,-81.2,-52.4,-117.0,,,-117.0,,-30.0,50.2,-46.0,-80.6,,-105.8,-53.4,-44.0,-74.6,47.4,-14.0,-79.0,-101.4,-65.0,True,True,False,True,True,True,True,True,False,True,,True,,True,True,False,True,True,True,False,False,True,True,True,True,True,True,,False,True,False,,,False,,True,True,True,False,,False,True,True,True,True,True,False,False,True
