,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,8647,8211.1,7778.5,8228.1,7912.0,8105.1,8187.0,8097.0,7936.5,8004.5,7959.6,8041.2,7950.2,,8224.5,7915.5,,7901.0,,8207.4,,7875.0,7846.1,-435.9,-868.5,-418.9,-735.0,-541.9,-460.0,-550.0,-710.5,-642.5,-687.4,-605.8,-696.8,,-422.5,-731.5,,-746.0,,-439.6,,-772.0,-800.9,False,True,False,False,False,False,False,False,False,False,False,,True,False,,False,,False,,False,False
Hawaii,220,272.6,442.8,263.0,205.0,179.4,181.0,,197.0,182.8,267.4,215.5,211.4,,197.0,205.0,,175.4,,187.3,,248.0,198.4,52.6,222.8,43.0,-15.0,-40.6,-39.0,,-23.0,-37.2,47.4,-4.5,-8.6,,-23.0,-15.0,,-44.6,,-32.7,,28.0,-21.6,False,True,True,True,True,,True,True,True,True,True,,True,True,,True,,True,,True,True
Idaho,683,588.9,674.8,580.0,947.0,613.9,598.0,595.0,643.5,671.9,657.2,605.4,550.9,,643.9,548.0,,492.3,,582.6,,622.0,550.4,-94.1,-8.2,-103.0,264.0,-69.1,-85.0,-88.0,-39.5,-11.1,-25.8,-77.6,-132.1,,-39.1,-135.0,,-190.7,,-100.4,,-61.0,-132.6,True,False,False,True,True,True,True,True,True,True,False,,True,False,,False,,False,,True,False
Illinois,10488,9987.1,10308.2,9978.9,9827.0,9684.2,9626.0,9717.0,9985.2,10010.2,9883.2,9890.2,9538.2,9834.0,9636.3,9778.0,,9747.5,,9742.0,,10105.0,9123.3,-500.9,-179.8,-509.1,-661.0,-803.8,-862.0,-771.0,-502.8,-477.8,-604.8,-597.8,-949.8,-654.0,-851.7,-710.0,,-740.5,,-746.0,,-383.0,-1364.7,True,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,,False,,True,False
Indiana,4592,4130.6,4130.5,4130.2,4128.0,4075.3,4073.0,4107.0,4088.7,4192.4,4121.1,4087.1,3994.4,3754.0,4040.4,4042.0,,3844.0,,4004.6,,4190.0,3679.6,-461.4,-461.5,-461.8,-464.0,-516.7,-519.0,-485.0,-503.3,-399.6,-470.9,-504.9,-597.6,-838.0,-551.6,-550.0,,-748.0,,-587.4,,-402.0,-912.4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,,False,,True,False
Iowa,1842,1731.9,1845.4,1715.9,1654.0,1656.4,1706.0,1646.0,1766.0,1709.0,1735.9,1773.4,1522.0,,1552.8,1576.0,,1520.5,,1680.6,,1778.0,1532.2,-110.1,3.4,-126.1,-188.0,-185.6,-136.0,-196.0,-76.0,-133.0,-106.1,-68.6,-320.0,,-289.2,-266.0,,-321.5,,-161.4,,-64.0,-309.8,True,False,False,False,False,False,True,False,True,True,False,,False,False,,False,,False,,True,False
Kansas,1166,957.1,985.8,965.2,1073.0,923.3,874.0,857.0,955.8,949.4,937.7,1007.1,808.6,,885.5,973.0,,737.6,,902.4,,905.0,792.0,-200.9,-172.2,-192.8,-85.0,-234.7,-284.0,-301.0,-202.2,-208.6,-220.3,-150.9,-349.4,,-272.5,-185.0,,-420.4,,-255.6,,-253.0,-366.0,True,True,True,False,False,False,False,False,False,True,False,,False,True,,False,,False,,False,False
Kentucky,1561,1461.6,1541.1,1459.8,1499.0,1439.2,1517.0,1485.0,1535.7,1493.2,1639.1,1479.8,1394.4,1778.5,1301.3,1561.0,,1378.6,,1499.6,,1565.0,1347.4,-99.4,-19.9,-101.2,-62.0,-121.8,-44.0,-76.0,-25.3,-67.8,78.1,-81.2,-166.6,217.5,-259.7,0.0,,-182.4,,-61.4,,4.0,-213.6,True,False,True,False,True,True,True,True,True,True,False,False,False,True,,False,,True,,True,False
Louisiana,6016,6121.0,6131.7,6052.3,5802.0,5912.7,5867.0,5939.0,5954.5,5911.9,5897.4,5926.4,5905.0,,5945.7,5831.0,,5873.0,,6199.4,,5871.0,5802.5,105.0,115.7,36.3,-214.0,-103.3,-149.0,-77.0,-61.5,-104.1,-118.6,-89.6,-111.0,,-70.3,-185.0,,-143.0,,183.4,,-145.0,-213.5,False,True,False,True,False,True,True,True,False,True,False,,True,False,,False,,False,,False,False
Maine,151,151.7,146.9,153.0,149.0,152.9,152.0,153.0,154.6,154.0,178.5,155.8,150.0,,146.4,150.0,,146.4,,146.2,,155.0,149.9,0.7,-4.1,2.0,-2.0,1.9,1.0,2.0,3.6,3.0,27.5,4.8,-1.0,,-4.6,-1.0,,-4.6,,-4.8,,4.0,-1.1,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False
Maryland,4201,4069.7,3988.3,4128.3,4122.0,4146.3,4027.0,4106.0,4129.9,4225.7,4289.2,4158.9,4065.4,,4277.0,4111.5,,4035.7,,4076.0,,4140.0,4060.9,-131.3,-212.7,-72.7,-79.0,-54.7,-174.0,-95.0,-71.1,24.7,88.2,-42.1,-135.6,,76.0,-89.5,,-165.3,,-125.0,,-61.0,-140.1,False,True,True,True,False,True,True,True,True,True,False,,True,True,,False,,True,,True,False
Massachusetts,10129,10024.9,10055.9,10115.6,11111.0,10493.3,9821.0,9810.0,10368.4,10269.8,9921.9,10333.3,9952.1,,9877.9,9748.0,,9650.5,,9835.8,,10457.0,9755.8,-104.1,-73.1,-13.4,982.0,364.3,-308.0,-319.0,239.4,140.8,-207.1,204.3,-176.9,,-251.1,-381.0,,-478.5,,-293.2,,328.0,-373.2,True,True,False,False,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False
Michigan,7945,7512.6,7715.6,7544.9,7507.0,7451.2,7305.0,7415.0,7582.4,7852.8,7768.1,7529.0,7291.9,8711.5,7281.3,7444.0,,7305.9,,7383.7,,7615.0,7191.3,-432.4,-229.4,-400.1,-438.0,-493.8,-640.0,-530.0,-362.6,-92.2,-176.9,-416.0,-653.1,766.5,-663.7,-501.0,,-639.1,,-561.3,,-330.0,-753.7,True,True,False,False,False,False,True,True,True,True,False,False,False,False,,False,,False,,True,False
Minnesota,2679,2487.6,2752.9,2476.1,2786.0,2436.5,2310.0,2427.0,2529.1,2538.9,2464.1,2436.1,2341.7,3219.0,2330.5,2393.0,,2351.0,,2466.8,,2631.0,2234.5,-191.4,73.9,-202.9,107.0,-242.5,-369.0,-252.0,-149.9,-140.1,-214.9,-242.9,-337.3,540.0,-348.5,-286.0,,-328.0,,-212.2,,-48.0,-444.5,True,False,True,False,False,False,True,True,False,False,False,False,False,False,,False,,False,,True,False
Mississippi,3433,3469.6,3225.9,3510.4,3531.0,3461.0,3304.0,3499.0,3517.0,3515.4,3255.4,3344.5,3318.9,,3278.0,3288.0,,3263.7,,3465.8,,3514.0,3351.8,36.6,-207.1,77.4,98.0,28.0,-129.0,66.0,84.0,82.4,-177.6,-88.5,-114.1,,-155.0,-145.0,,-169.3,,32.8,,81.0,-81.2,False,False,False,True,False,False,False,False,False,False,False,,False,False,,False,,True,,False,False
Missouri,3162,2832.0,2656.1,2792.4,2861.0,3011.7,2757.0,2788.0,2704.0,2793.2,2726.5,2984.9,4301.5,,2889.4,3195.0,,2763.3,,2459.3,,2837.0,2292.9,-330.0,-505.9,-369.6,-301.0,-150.3,-405.0,-374.0,-458.0,-368.8,-435.5,-177.1,1139.5,,-272.6,33.0,,-398.7,,-702.7,,-325.0,-869.1,False,False,True,True,False,False,False,False,False,True,False,,True,True,,False,,False,,True,False
Montana,445,255.0,233.2,261.0,749.0,385.9,275.0,262.0,363.0,464.6,278.9,371.6,271.8,,282.1,244.0,,194.3,,250.7,,376.0,223.7,-190.0,-211.8,-184.0,304.0,-59.1,-170.0,-183.0,-82.0,19.6,-166.1,-73.4,-173.2,,-162.9,-201.0,,-250.7,,-194.3,,-69.0,-221.3,False,True,False,True,True,True,True,True,True,True,True,,True,False,,False,,False,,True,False
Nebraska,703,651.6,715.6,637.1,716.0,649.8,612.0,591.0,617.0,657.8,654.9,635.7,580.8,,651.0,645.0,,545.7,,533.9,,670.0,551.5,-51.4,12.6,-65.9,13.0,-53.2,-91.0,-112.0,-86.0,-45.2,-48.1,-67.3,-122.2,,-52.0,-58.0,,-157.3,,-169.1,,-33.0,-151.5,True,False,True,False,False,False,False,True,True,False,False,,False,False,,False,,False,,True,False
Nevada,1850,1807.6,1676.7,1810.0,2320.0,1931.9,1798.0,1792.0,1903.1,1964.7,1802.6,1879.3,1817.7,,1794.9,1770.0,,1776.8,,1921.5,,1895.0,1809.9,-42.4,-173.3,-40.0,470.0,81.9,-52.0,-58.0,53.1,114.7,-47.4,29.3,-32.3,,-55.1,-80.0,,-73.2,,71.5,,45.0,-40.1,False,True,False,False,False,False,False,False,False,True,True,,False,False,,False,,False,,False,True
New Hampshire,489,462.4,656.0,462.7,454.0,451.1,456.0,463.0,450.9,462.6,477.2,465.6,465.1,,470.6,446.0,,444.8,,466.6,,476.0,450.3,-26.6,167.0,-26.3,-35.0,-37.9,-33.0,-26.0,-38.1,-26.4,-11.8,-23.4,-23.9,,-18.4,-43.0,,-44.2,,-22.4,,-13.0,-38.7,False,True,False,False,False,True,False,True,True,True,True,,True,False,,False,,True,,True,False
New Jersey,16425,16281.7,16256.7,16509.1,16857.0,16527.8,16385.0,16349.5,16455.9,16664.0,16422.2,16428.9,16319.1,,16312.8,16146.0,,16184.1,,16251.5,,16434.0,16330.1,-143.3,-168.3,84.1,432.0,102.8,-40.0,-75.5,30.9,239.0,-2.8,3.9,-105.9,,-112.2,-279.0,,-240.9,,-173.5,,9.0,-94.9,False,True,False,True,True,True,True,False,True,True,True,,True,False,,False,,False,,True,True
New Mexico,1104,998.9,984.4,990.1,1488.0,1064.3,951.0,988.0,1090.8,1123.1,1062.0,1026.8,1011.9,,1007.6,978.0,,990.6,,963.5,,1094.0,968.1,-105.1,-119.6,-113.9,384.0,-39.7,-153.0,-116.0,-13.2,19.1,-42.0,-77.2,-92.1,,-96.4,-126.0,,-113.4,,-140.5,,-10.0,-135.9,False,False,False,True,False,False,True,True,True,True,True,,True,False,,False,,False,,True,False
New York,33884,33564.4,34100.5,33910.1,33553.0,33567.7,33440.0,33433.0,33453.4,33760.4,33802.6,33856.7,33460.7,,33510.2,33202.0,,33521.1,,33355.3,,33762.0,33227.4,-135.6,400.5,210.1,-147.0,-132.3,-260.0,-267.0,-246.6,60.4,102.6,156.7,-239.3,,-189.8,-498.0,,-178.9,,-344.7,,62.0,-472.6,False,False,False,True,False,False,False,True,True,False,False,,False,False,,False,,False,,True,False
North Carolina,4605,4571.4,4285.1,4574.5,4431.0,4500.8,4237.0,4407.0,4615.1,4439.3,4804.1,4453.9,4124.7,,4205.5,4078.0,,4088.4,,4352.6,,4694.0,4110.0,-33.6,-319.9,-30.5,-174.0,-104.2,-368.0,-198.0,10.1,-165.7,199.1,-151.1,-480.3,,-399.5,-527.0,,-516.6,,-252.4,,89.0,-495.0,False,True,False,False,False,False,True,False,False,False,False,,False,False,,False,,False,,False,False
North Dakota,628,482.9,486.4,491.0,556.0,552.9,406.0,426.0,514.6,392.8,349.0,597.8,421.7,,550.4,700.0,,312.6,,369.0,,565.0,332.8,-145.1,-141.6,-137.0,-72.0,-75.1,-222.0,-202.0,-113.4,-235.2,-279.0,-30.2,-206.3,,-77.6,72.0,,-315.4,,-259.0,,-63.0,-295.2,True,True,True,True,False,False,True,False,False,True,False,,True,True,,False,,False,,True,False
Ohio,5506,5818.7,6327.8,5851.0,5566.0,5534.5,5543.0,5270.5,5613.0,5605.9,5848.7,5721.4,5437.9,6538.5,5257.0,5759.0,,5409.1,,5549.6,,5793.0,5393.3,312.7,821.8,345.0,60.0,28.5,37.0,-235.5,107.0,99.9,342.7,215.4,-68.1,1032.5,-249.0,253.0,,-96.9,,43.6,,287.0,-112.7,False,False,True,True,True,True,True,True,False,True,True,False,True,True,,True,,True,,True,True
Oklahoma,1429,1269.6,1206.3,1286.0,1348.0,1379.3,1385.0,1324.0,1393.6,1330.0,1390.1,1395.4,1140.0,,1204.6,1180.0,,1172.9,,1302.9,,1328.0,1190.4,-159.4,-222.7,-143.0,-81.0,-49.7,-44.0,-105.0,-35.4,-99.0,-38.9,-33.6,-289.0,,-224.4,-249.0,,-256.1,,-126.1,,-101.0,-238.6,False,True,True,True,True,True,True,True,True,True,False,,False,False,,False,,True,,True,False
Oregon,729,712.9,769.4,716.0,836.0,667.4,658.0,666.0,700.5,692.4,844.2,689.4,646.0,,695.6,610.0,,637.2,,705.4,,718.0,639.6,-16.1,40.4,-13.0,107.0,-61.6,-71.0,-63.0,-28.5,-36.6,115.2,-39.6,-83.0,,-33.4,-119.0,,-91.8,,-23.6,,-11.0,-89.4,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,,False,,True,False
Pennsylvania,9001,8724.4,8507.6,8686.8,8892.0,8885.7,8454.0,8644.0,8801.5,9078.6,9072.1,8775.5,8637.9,,9066.2,8335.0,,8477.6,,8506.2,,8792.0,8464.5,-276.6,-493.4,-314.2,-109.0,-115.3,-547.0,-357.0,-199.5,77.6,71.1,-225.5,-363.1,,65.2,-666.0,,-523.4,,-494.8,,-209.0,-536.5,False,False,True,True,False,False,True,True,True,True,False,,True,False,,False,,False,,True,False
Rhode Island,1224,1171.4,1130.3,1179.7,1208.0,1215.4,1151.0,1178.0,1229.1,1233.3,1222.1,1215.7,1163.0,,1194.3,1177.0,,1119.5,,1154.5,,1188.0,0.0,-52.6,-93.7,-44.3,-16.0,-8.6,-73.0,-46.0,5.1,9.3,-1.9,-8.3,-61.0,,-29.7,-47.0,,-104.5,,-69.5,,-36.0,-1224.0,False,True,True,True,False,True,True,True,True,True,False,,True,True,,False,,False,,True,False
South Carolina,4015,4069.9,3919.4,4036.9,3770.0,3961.7,3964.0,3904.0,4083.1,3786.5,3793.6,4213.3,3766.4,,3797.8,3670.0,,3731.7,,4012.2,,4019.0,3838.3,54.9,-95.6,21.9,-245.0,-53.3,-51.0,-111.0,68.1,-228.5,-221.4,198.3,-248.6,,-217.2,-345.0,,-283.3,,-2.8,,4.0,-176.7,False,True,False,True,True,False,False,False,False,False,False,,False,False,,False,,True,,True,False
South Dakota,523,393.7,461.8,398.0,500.0,400.7,353.0,314.0,367.1,392.7,286.9,400.6,339.9,,368.1,386.0,,258.0,,298.1,,473.0,286.2,-129.3,-61.2,-125.0,-23.0,-122.3,-170.0,-209.0,-155.9,-130.3,-236.1,-122.4,-183.1,,-154.9,-137.0,,-265.0,,-224.9,,-50.0,-236.8,True,True,True,True,False,False,False,False,False,True,False,,False,False,,False,,False,,True,False
Tennessee,3590,3548.4,4161.0,3489.5,3311.0,3296.1,3182.0,3138.0,3323.5,3109.0,3224.9,3241.5,3160.2,,3090.6,3326.0,,2872.5,,3411.4,,3413.0,2934.0,-41.6,571.0,-100.5,-279.0,-293.9,-408.0,-452.0,-266.5,-481.0,-365.1,-348.5,-429.8,,-499.4,-264.0,,-717.5,,-178.6,,-177.0,-656.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False
Texas,19141,19112.9,18940.8,19231.7,22549.0,20186.5,18362.0,18974.0,19287.5,19637.5,18721.1,18948.3,17823.1,,18418.7,18075.0,,17982.6,19389.0,18930.5,,19584.0,18129.2,-14.1,-186.2,104.7,3422.0,1059.5,-765.0,-153.0,160.5,510.5,-405.9,-178.7,-1303.9,,-708.3,-1052.0,,-1144.4,262.0,-196.5,,457.0,-997.8,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False
Utah,658,599.4,870.4,616.0,635.0,633.4,584.0,528.0,586.3,499.8,613.5,622.4,604.1,,629.9,503.0,,516.7,,595.4,,674.0,427.4,-58.6,212.4,-42.0,-23.0,-24.6,-74.0,-130.0,-71.7,-158.2,-44.5,-35.6,-53.9,,-28.1,-155.0,,-141.3,,-62.6,,16.0,-230.6,False,True,True,True,False,False,False,False,True,True,True,,True,False,,False,,False,,True,False
Vermont,59,58.0,59.4,60.0,58.0,59.4,60.0,58.0,58.0,58.5,68.9,58.7,60.3,,61.8,58.0,,58.0,,58.5,,58.0,57.9,-1.0,0.4,1.0,-1.0,0.4,1.0,-1.0,-1.0,-0.5,9.9,-0.3,1.3,,2.8,-1.0,,-1.0,,-0.5,,-1.0,-1.1,True,False,False,True,False,False,False,True,False,True,False,,False,False,,False,,True,,False,False
Virginia,3704,3818.9,3367.3,3892.3,3893.0,4015.4,3484.0,3720.0,3938.9,3826.7,3890.4,4013.3,3776.9,,3610.4,3685.0,,3586.4,,3637.3,,3840.0,3600.5,117.9,-333.7,191.3,192.0,314.4,-217.0,19.0,237.9,125.7,189.4,312.3,75.9,,-90.6,-16.0,,-114.6,,-63.7,,139.0,-100.5,False,False,False,False,False,True,False,False,False,False,True,,True,True,,True,,True,,False,True
Washington,2439,2346.0,2317.9,2352.9,2719.0,2533.1,2492.0,2324.0,2336.9,2453.3,2539.8,2397.9,2321.4,,2201.2,2269.0,,2215.7,,2464.5,,2433.0,2304.4,-93.0,-121.1,-86.1,280.0,94.1,53.0,-115.0,-102.1,14.3,100.8,-41.1,-117.6,,-237.8,-170.0,,-223.3,,25.5,,-6.0,-134.6,False,True,False,False,True,False,False,True,False,True,False,,False,False,,False,,True,,True,False
West Virginia,503,485.4,410.7,493.0,465.0,514.2,523.0,497.0,521.9,520.8,558.6,567.4,454.2,,448.1,449.0,,383.5,,464.4,,491.0,435.8,-17.6,-92.3,-10.0,-38.0,11.2,20.0,-6.0,18.9,17.8,55.6,64.4,-48.8,,-54.9,-54.0,,-119.5,,-38.6,,-12.0,-67.2,False,True,False,True,False,True,False,False,False,False,False,,False,False,,False,,False,,True,False
Wisconsin,2548,1843.3,2313.2,1826.9,2101.0,1881.5,1837.0,1678.0,1916.3,1869.4,1820.1,1933.1,1603.5,2022.0,1834.4,1629.0,,1558.9,,1745.0,,1980.0,1514.1,-628.7,-158.8,-645.1,-371.0,-590.5,-635.0,-794.0,-555.7,-602.6,-651.9,-538.9,-868.5,-450.0,-637.6,-843.0,,-913.1,,-727.0,,-492.0,-957.9,True,False,True,True,False,False,True,True,False,True,False,True,False,False,,False,,False,,True,False
Wyoming,114,67.6,68.5,68.8,111.0,97.2,75.0,66.0,69.6,74.4,85.8,91.9,73.6,,73.3,75.0,,53.0,,60.2,,78.0,58.1,-46.4,-45.5,-45.2,-3.0,-16.8,-39.0,-48.0,-44.4,-39.6,-28.2,-22.1,-40.4,,-40.7,-39.0,,-61.0,,-53.8,,-36.0,-55.9,True,True,True,True,True,False,True,True,True,True,True,,True,True,,False,,False,,True,False
US,238082,233836.7,228393.1,233849.6,243930.0,236166.3,227196.0,233340.0,234378.5,233996.6,233140.8,233968.4,224039.4,,229065.2,226055.5,235512.2,222110.5,230675.0,231578.8,244655.0,235303.0,226468.7,-3958.3,-9401.9,-3945.4,6135.0,-1628.7,-10599.0,-4455.0,-3416.5,-3798.4,-4654.2,-3826.6,-13755.6,,-8729.8,-11739.5,-2282.8,-15684.5,-7120.0,-6216.2,6860.0,-2492.0,-11326.3,False,True,False,True,False,False,True,True,False,True,False,,False,False,True,False,False,False,False,True,False
