,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,8647,8272.3,8408.8,8229.4,8172.0,8249.2,8224.0,8201.0,8210.4,7986.2,8106.0,8282.1,8224.2,8205.1,,8100.8,8182.0,8170.2,8124.7,8097.4,8030.6,8097.6,8166.0,8255.1,8160.9,8124.0,8213.3,8149.5,,8051.7,8309.4,7930.0,,8303.0,8233.5,,8290.0,8172.8,8358.0,8226.6,,8213.1,8244.0,8285.1,8335.0,8171.5,8046.1,8249.0,-374.7,-238.2,-417.6,-475.0,-397.8,-423.0,-446.0,-436.6,-660.8,-541.0,-364.9,-422.8,-441.9,,-546.2,-465.0,-476.8,-522.3,-549.6,-616.4,-549.4,-481.0,-391.9,-486.1,-523.0,-433.7,-497.5,,-595.3,-337.6,-717.0,,-344.0,-413.5,,-357.0,-474.2,-289.0,-420.4,,-433.9,-403.0,-361.9,-312.0,-475.5,-600.9,-398.0,True,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,True,False,,True,False,True,False,,False,False,True,True,False,False,False
Hawaii,220,238.4,239.6,244.9,239.0,240.0,228.0,205.0,,228.4,218.0,247.7,,204.5,,245.5,,229.8,243.4,222.1,261.6,228.4,226.3,214.5,254.0,239.0,222.6,236.3,,242.9,228.0,222.0,,,211.8,,235.0,178.4,265.0,205.1,,220.8,219.0,235.5,232.0,251.0,216.1,236.0,18.4,19.6,24.9,19.0,20.0,8.0,-15.0,,8.4,-2.0,27.7,,-15.5,,25.5,,9.8,23.4,2.1,41.6,8.4,6.3,-5.5,34.0,19.0,2.6,16.3,,22.9,8.0,2.0,,,-8.2,,15.0,-41.6,45.0,-14.9,,0.8,-1.0,15.5,12.0,31.0,-3.9,16.0,False,False,False,False,True,True,,True,True,False,,True,,False,,True,False,True,False,True,True,True,False,False,True,True,,False,True,True,,,True,,True,False,False,True,,True,True,True,True,False,True,True
Idaho,683,588.0,588.6,598.5,620.0,595.0,610.0,686.0,613.6,603.4,575.0,601.1,636.9,600.4,,670.0,600.0,614.7,653.5,678.9,623.0,663.6,587.9,620.5,570.0,664.0,644.4,654.2,,636.3,613.0,558.0,,,574.5,,618.0,485.3,628.0,596.0,,655.9,616.0,593.9,607.0,577.0,576.8,592.0,-95.0,-94.4,-84.5,-63.0,-88.0,-73.0,3.0,-69.4,-79.6,-108.0,-81.9,-46.1,-82.6,,-13.0,-83.0,-68.3,-29.5,-4.1,-60.0,-19.4,-95.1,-62.5,-113.0,-19.0,-38.6,-28.8,,-46.7,-70.0,-125.0,,,-108.5,,-65.0,-197.7,-55.0,-87.0,,-27.1,-67.0,-89.1,-76.0,-106.0,-106.2,-91.0,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,False,True,False,True,True,True,,True,True,False,,,False,,True,False,True,True,,True,True,True,True,False,False,True
Illinois,10488,10171.1,10683.6,10143.0,10076.0,10144.6,10145.0,10443.0,10765.4,9997.5,9795.0,10190.5,10225.8,10000.9,,10024.6,10029.0,10168.3,10332.3,9942.0,10003.6,10375.1,10169.2,10387.8,10115.9,10039.0,9941.7,10243.0,9961.5,9899.6,10356.5,9790.0,,9934.8,10129.0,,10220.0,10009.2,10581.0,9999.3,,9963.3,10410.0,10188.3,10378.0,10361.0,9555.2,10079.0,-316.9,195.6,-345.0,-412.0,-343.4,-343.0,-45.0,277.4,-490.5,-693.0,-297.5,-262.2,-487.1,,-463.4,-459.0,-319.7,-155.7,-546.0,-484.4,-112.9,-318.8,-100.2,-372.1,-449.0,-546.3,-245.0,-526.5,-588.4,-131.5,-698.0,,-553.2,-359.0,,-268.0,-478.8,93.0,-488.7,,-524.7,-78.0,-299.7,-110.0,-127.0,-932.8,-409.0,True,False,False,False,False,True,True,False,False,True,True,False,,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,,False,False,,True,False,True,False,,False,True,True,True,True,False,False
Indiana,4592,4359.9,4638.3,4326.2,4294.0,4326.0,4342.0,4585.0,4900.5,4240.4,4146.0,4320.1,4321.0,4304.2,,4437.1,4160.0,4321.4,4481.2,4159.9,4191.2,4450.5,4248.0,4458.0,4303.0,4300.0,4397.8,4320.1,4621.5,4403.3,4525.7,4223.0,,4170.6,4342.2,,4385.0,5203.2,4442.0,4225.2,,4413.7,4448.0,4251.3,4540.0,4570.0,3885.9,4633.0,-232.1,46.3,-265.8,-298.0,-266.0,-250.0,-7.0,308.5,-351.6,-446.0,-271.9,-271.0,-287.8,,-154.9,-432.0,-270.6,-110.8,-432.1,-400.8,-141.5,-344.0,-134.0,-289.0,-292.0,-194.2,-271.9,29.5,-188.7,-66.3,-369.0,,-421.4,-249.8,,-207.0,611.2,-150.0,-366.8,,-178.3,-144.0,-340.7,-52.0,-22.0,-706.1,41.0,True,False,False,False,False,True,False,False,False,False,False,False,,True,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,False,,False,False,,True,False,True,False,,True,True,False,True,True,False,True
Iowa,1842,1732.0,1744.7,1736.2,1774.0,1735.0,1744.0,1683.0,1935.7,1731.9,1661.0,1725.2,1728.3,1747.9,,1804.3,1716.0,1756.8,1816.2,1870.1,1696.7,1796.2,1665.1,1773.6,1727.5,1824.0,1762.1,1771.5,,1790.4,1801.6,1854.0,,1733.3,1690.6,,1766.0,2114.3,1779.0,1714.6,,1770.3,1729.0,1714.5,1776.0,1772.0,1642.0,1746.0,-110.0,-97.3,-105.8,-68.0,-107.0,-98.0,-159.0,93.7,-110.1,-181.0,-116.8,-113.7,-94.1,,-37.7,-126.0,-85.2,-25.8,28.1,-145.3,-45.8,-176.9,-68.4,-114.5,-18.0,-79.9,-70.5,,-51.6,-40.4,12.0,,-108.7,-151.4,,-76.0,272.3,-63.0,-127.4,,-71.7,-113.0,-127.5,-66.0,-70.0,-200.0,-96.0,True,True,True,True,True,False,True,False,False,False,False,True,,True,False,True,True,True,False,True,False,True,False,True,True,True,,True,True,True,,True,False,,True,False,True,False,,True,False,False,True,True,False,True
Kansas,1166,1101.9,1222.8,1129.6,1139.0,1117.0,1095.0,1046.0,1203.2,974.2,880.0,1129.5,1164.2,1065.6,,1279.4,1025.0,1120.0,1102.2,1171.0,1033.6,1101.5,1011.0,1076.9,1065.8,1138.0,1148.2,1081.6,,997.8,1145.7,1073.0,,,1100.3,,1120.0,962.6,1074.0,1056.8,,1156.8,1267.0,1140.0,1148.0,1090.0,964.6,1090.0,-64.1,56.8,-36.4,-27.0,-49.0,-71.0,-120.0,37.2,-191.8,-286.0,-36.5,-1.8,-100.4,,113.4,-141.0,-46.0,-63.8,5.0,-132.4,-64.5,-155.0,-89.1,-100.2,-28.0,-17.8,-84.4,,-168.2,-20.3,-93.0,,,-65.7,,-46.0,-203.4,-92.0,-109.2,,-9.2,101.0,-26.0,-18.0,-76.0,-201.4,-76.0,True,True,True,True,False,False,True,False,False,True,True,False,,False,False,True,True,True,False,False,False,False,False,True,True,False,,False,True,False,,,False,,True,False,False,False,,True,False,True,True,False,False,False
Kentucky,1561,1506.6,1624.2,1496.1,1526.0,1501.0,1507.0,1576.0,1514.2,1439.4,1472.0,1520.9,,1498.4,,1583.5,1480.0,1501.0,1485.4,1591.1,1530.8,1544.8,1435.8,1507.1,1530.5,1588.0,1553.7,1508.2,1601.0,1418.1,1534.6,1394.0,,1429.9,1523.1,,1521.0,1607.5,1485.0,1506.1,,1567.5,1544.0,1453.7,1547.0,1480.0,1415.5,1517.0,-54.4,63.2,-64.9,-35.0,-60.0,-54.0,15.0,-46.8,-121.6,-89.0,-40.1,,-62.6,,22.5,-81.0,-60.0,-75.6,30.1,-30.2,-16.2,-125.2,-53.9,-30.5,27.0,-7.3,-52.8,40.0,-142.9,-26.4,-167.0,,-131.1,-37.9,,-40.0,46.5,-76.0,-54.9,,6.5,-17.0,-107.3,-14.0,-81.0,-145.5,-44.0,False,False,True,False,True,True,True,False,False,True,,False,,True,False,False,False,True,True,True,False,True,True,True,True,True,True,False,True,False,,False,True,,True,True,False,False,,True,True,False,True,False,False,True
Louisiana,6016,6021.4,5955.2,6003.3,5952.0,6003.5,5974.0,5946.0,5958.7,5898.2,5926.0,5986.6,6068.8,5950.0,,6029.6,5909.0,5965.5,5949.6,5832.8,5904.1,5951.3,5986.1,5943.9,6022.6,5964.0,6021.7,5974.1,,5967.7,5966.1,5835.0,,5958.0,5935.0,,6026.0,5763.5,6096.0,6059.9,,6021.3,5974.0,6121.2,5964.0,5933.0,5861.4,5989.0,5.4,-60.8,-12.7,-64.0,-12.5,-42.0,-70.0,-57.3,-117.8,-90.0,-29.4,52.8,-66.0,,13.6,-107.0,-50.5,-66.4,-183.2,-111.9,-64.7,-29.9,-72.1,6.6,-52.0,5.7,-41.9,,-48.3,-49.9,-181.0,,-58.0,-81.0,,10.0,-252.5,80.0,43.9,,5.3,-42.0,105.2,-52.0,-83.0,-154.6,-27.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,True,False,False,False,False,False,False
Maine,151,154.6,173.4,153.6,155.0,155.0,153.0,147.0,148.2,147.7,149.0,157.9,152.8,151.8,,147.2,152.0,149.4,148.5,160.4,163.9,153.3,149.8,146.8,158.3,173.0,154.0,159.2,,148.6,153.6,147.0,,,146.3,,152.0,174.8,166.0,148.2,,167.9,153.0,156.1,154.0,152.0,152.0,,3.6,22.4,2.6,4.0,4.0,2.0,-4.0,-2.8,-3.3,-2.0,6.9,1.8,0.8,,-3.8,1.0,-1.6,-2.5,9.4,12.9,2.3,-1.2,-4.2,7.3,22.0,3.0,8.2,,-2.4,2.6,-4.0,,,-4.7,,1.0,23.8,15.0,-2.8,,16.9,2.0,5.1,3.0,1.0,1.0,,False,True,False,False,True,False,True,True,True,False,True,True,,False,True,True,True,False,False,True,True,False,False,False,True,False,,True,True,False,,,False,,True,False,False,True,,False,True,False,True,True,True,
