,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,8647,8128.4,8183.4,8150.7,8171.0,8150.0,8153.0,8165.0,8154.2,8207.0,8239.8,8126.0,8153.9,8154.7,8130.9,8178.4,,8175.0,8247.0,8169.2,8174.2,7964.0,8089.4,8162.0,8185.3,8109.0,8129.7,8158.0,8144.9,8144.9,,8110.4,8172.9,8045.0,,8217.7,8024.6,,8177.0,7706.3,8131.0,8145.7,,8173.9,8145.8,8144.0,8181.9,8168.0,8166.4,8108.0,7952.5,8112.0,-518.6,-463.6,-496.3,-476.0,-497.0,-494.0,-482.0,-492.8,-440.0,-407.2,-521.0,-493.1,-492.3,-516.1,-468.6,,-472.0,-400.0,-477.8,-472.8,-683.0,-557.6,-485.0,-461.7,-538.0,-517.3,-489.0,-502.1,-502.1,,-536.6,-474.1,-602.0,,-429.3,-622.4,,-470.0,-940.7,-516.0,-501.3,,-473.1,-501.2,-503.0,-465.1,-479.0,-480.6,-539.0,-694.5,-535.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,False,False,True,True,False,True,True,True,True,,False,True,False,,True,False,,True,False,True,True,,True,True,True,True,True,True,False,False,False
Hawaii,220,225.0,251.1,226.2,229.0,226.0,231.0,223.0,229.1,,251.5,231.0,232.9,,255.0,228.0,,,,241.8,232.5,229.0,236.0,233.0,234.2,228.0,224.8,234.0,224.8,234.5,,259.6,226.5,236.0,,,221.1,,234.0,190.1,232.0,224.8,,252.0,225.3,228.0,234.3,226.0,231.9,240.0,227.8,231.0,5.0,31.1,6.2,9.0,6.0,11.0,3.0,9.1,,31.5,11.0,12.9,,35.0,8.0,,,,21.8,12.5,9.0,16.0,13.0,14.2,8.0,4.8,14.0,4.8,14.5,,39.6,6.5,16.0,,,1.1,,14.0,-29.9,12.0,4.8,,32.0,5.3,8.0,14.3,6.0,11.9,20.0,7.8,11.0,False,False,False,False,False,True,False,,False,False,False,,False,False,,,,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,,,True,,False,False,False,True,,False,False,False,False,False,False,False,False,False
Idaho,683,678.9,693.5,688.0,674.0,686.0,683.0,690.0,689.0,686.0,664.2,658.0,669.4,678.7,695.5,673.4,,682.0,688.0,682.9,651.1,686.0,660.0,674.0,689.9,693.0,682.5,695.0,689.0,687.4,,677.9,681.5,680.0,,,709.2,,690.0,730.5,681.0,687.0,,691.9,692.4,686.0,674.0,693.0,690.4,680.0,651.7,694.0,-4.1,10.5,5.0,-9.0,3.0,0.0,7.0,6.0,3.0,-18.8,-25.0,-13.6,-4.3,12.5,-9.6,,-1.0,5.0,-0.1,-31.9,3.0,-23.0,-9.0,6.9,10.0,-0.5,12.0,6.0,4.4,,-5.1,-1.5,-3.0,,,26.2,,7.0,47.5,-2.0,4.0,,8.9,9.4,3.0,-9.0,10.0,7.4,-3.0,-31.3,11.0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,,True,False,True,False,True,False,False,False,False,True,False,False,False,,False,True,True,,,False,,False,False,True,True,,False,False,True,False,False,False,True,False,False
Illinois,10488,10332.1,10462.3,10234.0,10336.0,10237.0,10359.0,10438.0,10335.1,10498.0,10583.7,10372.0,10358.4,10376.2,10328.1,10376.5,,10280.0,10350.0,10347.7,10496.9,10005.0,10172.1,10246.0,10410.9,10412.0,10439.3,10257.0,10248.5,10372.3,10410.5,10241.8,10321.9,10205.0,,10294.2,10255.4,,10378.0,9854.6,10450.0,10203.9,,10387.3,10246.0,10404.0,10267.4,10343.0,10241.0,10336.0,9929.5,10137.0,-155.9,-25.7,-254.0,-152.0,-251.0,-129.0,-50.0,-152.9,10.0,95.7,-116.0,-129.6,-111.8,-159.9,-111.5,,-208.0,-138.0,-140.3,8.9,-483.0,-315.9,-242.0,-77.1,-76.0,-48.7,-231.0,-239.5,-115.7,-77.5,-246.2,-166.1,-283.0,,-193.8,-232.6,,-110.0,-633.4,-38.0,-284.1,,-100.7,-242.0,-84.0,-220.6,-145.0,-247.0,-152.0,-558.5,-351.0,True,False,True,False,True,True,True,True,True,True,True,True,False,True,,False,True,True,True,False,False,False,True,True,True,False,False,True,True,False,False,False,,False,False,,True,False,True,False,,True,False,True,False,True,False,True,False,False
Indiana,4592,4564.6,4626.0,4546.4,4532.0,4546.0,4575.0,4590.0,4544.1,4632.0,4693.3,4606.0,4567.9,4582.3,4532.0,4551.1,,4542.0,4520.0,4588.2,4574.6,4310.0,4436.5,4513.5,4620.0,4615.0,4599.6,4525.0,4523.6,4577.3,4463.0,4544.5,4587.0,4463.0,,4509.7,4385.9,,4573.0,4243.3,4601.0,4532.1,,4598.7,4528.1,4579.0,4483.7,4594.0,4545.0,4627.5,4198.3,4595.0,-27.4,34.0,-45.6,-60.0,-46.0,-17.0,-2.0,-47.9,40.0,101.3,14.0,-24.1,-9.7,-60.0,-40.9,,-50.0,-72.0,-3.8,-17.4,-282.0,-155.5,-78.5,28.0,23.0,7.6,-67.0,-68.4,-14.7,-129.0,-47.5,-5.0,-129.0,,-82.3,-206.1,,-19.0,-348.7,9.0,-59.9,,6.7,-63.9,-13.0,-108.3,2.0,-47.0,35.5,-393.7,3.0,False,False,False,False,True,True,False,False,False,True,True,True,False,False,,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,,False,False,,True,False,True,False,,True,False,True,False,True,False,False,False,True
Iowa,1842,1817.0,1854.9,1796.4,1814.0,1798.0,1823.0,1777.0,1807.1,1851.0,1880.2,1818.0,1829.4,1800.3,1792.2,1829.4,,1788.0,1824.0,1826.0,1860.3,1812.0,1763.9,1802.0,1816.3,1854.0,1860.0,1837.0,1800.2,1833.9,,1830.6,1838.3,1798.0,,1811.9,1835.6,,1820.0,1773.1,1828.0,1786.2,,1849.1,1802.5,1833.0,1795.3,1815.0,1805.0,1822.0,1776.5,1837.0,-25.0,12.9,-45.6,-28.0,-44.0,-19.0,-65.0,-34.9,9.0,38.2,-24.0,-12.6,-41.7,-49.8,-12.6,,-54.0,-18.0,-16.0,18.3,-30.0,-78.1,-40.0,-25.7,12.0,18.0,-5.0,-41.8,-8.1,,-11.4,-3.7,-44.0,,-30.1,-6.4,,-22.0,-68.9,-14.0,-55.8,,7.1,-39.5,-9.0,-46.7,-27.0,-37.0,-20.0,-65.5,-5.0,True,False,False,False,True,False,False,True,False,True,True,False,False,True,,False,True,True,True,False,False,False,False,True,True,True,False,True,,True,True,False,,False,True,,True,False,True,False,,True,False,True,False,False,False,True,False,True
Kansas,1166,1084.1,1142.2,1092.6,1081.0,1094.0,1110.0,1096.0,1095.8,1144.0,1217.0,1091.0,1102.4,1117.1,1111.8,1126.7,,1081.0,1132.0,1130.3,1150.1,1102.0,1078.3,1088.5,1115.1,1123.0,1093.8,1147.0,1116.9,1107.4,,1070.6,1101.1,1141.0,,,1062.6,,1111.0,935.2,1098.0,1082.2,,1134.6,1119.7,1097.0,1119.2,1110.0,1111.5,1091.0,1066.9,1097.0,-77.9,-19.8,-69.4,-81.0,-68.0,-52.0,-66.0,-66.2,-18.0,55.0,-71.0,-59.6,-44.9,-50.2,-35.3,,-81.0,-30.0,-31.7,-11.9,-60.0,-83.7,-73.5,-46.9,-39.0,-68.2,-15.0,-45.1,-54.6,,-91.4,-60.9,-21.0,,,-99.4,,-51.0,-226.8,-64.0,-79.8,,-27.4,-42.3,-65.0,-42.8,-52.0,-50.5,-71.0,-95.1,-65.0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,False,,True,False,True,False,,True,True,True,True,True,True,True,False,True
Kentucky,1561,1559.3,1608.2,1567.6,1570.0,1566.0,1578.0,1614.0,1580.5,1599.0,1609.9,1566.0,1561.6,1562.6,1564.3,1579.6,,1548.0,1605.0,1581.9,1575.2,1584.0,1557.2,1569.0,1587.6,1589.0,1586.7,1616.0,1584.9,1586.9,1621.0,1530.2,1586.2,1554.0,,,1521.2,,1578.0,1540.8,1566.0,1561.9,,1608.4,1588.3,1567.0,1555.4,1581.0,1574.4,1571.0,1529.8,1579.0,-1.7,47.2,6.6,9.0,5.0,17.0,53.0,19.5,38.0,48.9,5.0,0.6,1.6,3.3,18.6,,-13.0,44.0,20.9,14.2,23.0,-3.8,8.0,26.6,28.0,25.7,55.0,23.9,25.9,60.0,-30.8,25.2,-7.0,,,-39.8,,17.0,-20.2,5.0,0.9,,47.4,27.3,6.0,-5.6,20.0,13.4,10.0,-31.2,18.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False
Louisiana,6016,6002.3,6016.5,6017.7,6015.0,6018.0,6010.0,5992.0,5990.7,6031.0,6024.2,5967.0,5989.3,6010.8,6018.9,6021.4,,6010.0,6009.0,6016.0,5976.9,5785.0,5968.1,6011.0,6015.2,5992.0,5980.2,5997.0,6028.0,6008.5,,6004.1,5995.7,5971.0,,6015.7,5978.6,,6025.0,5573.8,6005.0,6027.0,,6019.7,6030.5,5991.0,6040.9,6016.0,6006.9,5992.0,5783.1,6023.0,-13.7,0.5,1.7,-1.0,2.0,-6.0,-24.0,-25.3,15.0,8.2,-49.0,-26.7,-5.2,2.9,5.4,,-6.0,-7.0,-0.0,-39.1,-231.0,-47.9,-5.0,-0.8,-24.0,-35.8,-19.0,12.0,-7.5,,-11.9,-20.3,-45.0,,-0.3,-37.4,,9.0,-442.2,-11.0,11.0,,3.7,14.5,-25.0,24.9,0.0,-9.1,-24.0,-232.9,7.0,True,True,True,True,True,False,False,False,True,False,False,True,True,True,,True,True,True,False,False,False,True,True,False,False,False,True,True,,True,False,False,,True,False,,True,False,True,True,,True,False,False,False,True,True,False,False,True
Maine,151,147.9,147.4,147.5,147.0,148.0,149.0,148.0,149.2,148.0,149.8,149.0,149.3,150.7,148.9,149.5,,148.0,155.0,148.0,149.4,150.0,152.2,147.0,148.5,148.0,147.0,157.0,148.8,152.7,,147.9,148.2,149.0,,,147.8,,148.0,162.1,152.0,148.0,,150.2,152.8,149.0,149.4,148.0,148.6,148.0,148.4,,-3.1,-3.6,-3.5,-4.0,-3.0,-2.0,-3.0,-1.8,-3.0,-1.2,-2.0,-1.7,-0.3,-2.1,-1.5,,-3.0,4.0,-3.0,-1.6,-1.0,1.2,-4.0,-2.5,-3.0,-4.0,6.0,-2.2,1.7,,-3.1,-2.8,-2.0,,,-3.2,,-3.0,11.1,1.0,-3.0,,-0.8,1.8,-2.0,-1.6,-3.0,-2.4,-3.0,-2.6,,False,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,False,True,True,False,False,True,True,,True,True,True,,,False,,True,False,True,True,,True,True,True,True,True,True,True,True,
Maryland,4201,4200.0,4209.7,4204.1,4203.0,4203.0,4204.0,4265.0,4208.4,4213.0,4189.0,4177.0,4200.0,4200.1,4202.4,4208.3,,4202.0,4190.0,4204.4,4180.8,4191.0,4203.9,4196.0,4209.4,4212.0,4211.7,4199.0,4206.7,4205.2,,4213.5,4211.0,4184.0,,4195.8,4149.1,4402.0,4204.0,4231.4,4209.0,4201.4,,4215.2,4210.7,4199.0,4206.5,4210.0,4209.3,4263.0,4177.7,4262.0,-1.0,8.7,3.1,2.0,2.0,3.0,64.0,7.4,12.0,-12.0,-24.0,-1.0,-0.9,1.4,7.3,,1.0,-11.0,3.4,-20.2,-10.0,2.9,-5.0,8.4,11.0,10.7,-2.0,5.7,4.2,,12.5,10.0,-17.0,,-5.2,-51.9,201.0,3.0,30.4,8.0,0.4,,14.2,9.7,-2.0,5.5,9.0,8.3,62.0,-23.3,61.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
Massachusetts,10129,10140.7,10155.6,10146.0,10128.0,10143.0,10152.0,10221.0,10140.4,10179.0,10167.9,10169.0,10122.6,10114.3,10178.7,10170.7,,10095.0,10116.0,10157.7,10194.6,10117.0,10075.7,10079.5,10199.8,10154.0,10154.0,10089.0,10140.2,10151.4,,10143.1,10166.0,10079.0,,10129.9,10006.8,,10165.0,10373.2,10188.0,10140.1,,10125.8,10144.1,10163.0,10128.1,10161.0,10117.4,10191.0,10036.4,10041.0,11.7,26.6,17.0,-1.0,14.0,23.0,92.0,11.4,50.0,38.9,40.0,-6.4,-14.7,49.7,41.7,,-34.0,-13.0,28.7,65.6,-12.0,-53.3,-49.5,70.8,25.0,25.0,-40.0,11.2,22.4,,14.1,37.0,-50.0,,0.9,-122.2,,36.0,244.2,59.0,11.1,,-3.2,15.1,34.0,-0.9,32.0,-11.6,62.0,-92.6,-88.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,True,False,,False,False,False,True,,True,False,False,True,False,True,False,False,False
Michigan,7945,7850.7,7951.6,7875.2,7890.0,7876.0,7896.0,8004.0,7894.0,8040.0,8047.5,7873.0,7832.4,,7860.9,7858.7,,7853.0,7907.0,7944.2,8007.0,7787.0,7826.1,7876.5,7977.5,7961.0,7890.3,7869.0,7899.4,7899.0,7929.5,7747.0,7919.0,7817.0,,7779.4,7860.7,,7941.0,7768.0,7842.0,7856.7,,7977.3,7901.6,7904.0,7841.9,7898.0,7881.6,7867.5,7673.6,7867.0,-94.3,6.6,-69.8,-55.0,-69.0,-49.0,59.0,-51.0,95.0,102.5,-72.0,-112.6,,-84.1,-86.3,,-92.0,-38.0,-0.8,62.0,-158.0,-118.9,-68.5,32.5,16.0,-54.7,-76.0,-45.6,-46.0,-15.5,-198.0,-26.0,-128.0,,-165.6,-84.3,,-4.0,-177.0,-103.0,-88.3,,32.3,-43.4,-41.0,-103.1,-47.0,-63.4,-77.5,-271.4,-78.0,True,True,True,True,True,True,True,False,False,True,False,,True,True,,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,,False,True,,True,False,False,True,,True,True,True,False,True,True,True,False,True
Minnesota,2679,2637.9,2668.5,2641.7,2634.0,2641.0,2648.0,2637.0,2634.7,2667.0,2669.7,2676.0,2633.3,2675.5,2681.8,2664.8,,2643.0,2647.0,2653.4,2590.0,2591.0,2593.2,2632.0,2670.6,2669.0,2681.7,2648.0,2643.5,2661.6,2586.5,2639.0,2665.8,2601.0,,2619.3,2591.0,,2640.0,2564.4,2660.0,2639.2,,2651.5,2647.5,2656.0,2629.5,2659.0,2631.5,2690.5,2520.9,2706.0,-41.1,-10.5,-37.3,-45.0,-38.0,-31.0,-42.0,-44.3,-12.0,-9.3,-3.0,-45.7,-3.5,2.8,-14.2,,-36.0,-32.0,-25.6,-89.0,-88.0,-85.8,-47.0,-8.4,-10.0,2.7,-31.0,-35.5,-17.4,-92.5,-40.0,-13.2,-78.0,,-59.7,-88.0,,-39.0,-114.6,-19.0,-39.8,,-27.5,-31.5,-23.0,-49.5,-20.0,-47.5,11.5,-158.1,27.0,True,True,False,True,True,False,False,True,True,True,False,True,True,True,,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,False,,False,False,,True,False,True,True,,True,True,True,False,True,False,True,False,True
Mississippi,3433,3427.7,3437.6,3412.7,3424.0,3413.0,3420.0,3434.0,3415.3,3421.0,3432.4,3402.0,3422.6,3440.5,3416.4,3437.8,,3412.0,3410.0,3406.8,3408.3,3416.0,3374.3,3400.0,3429.2,3421.0,3417.0,3421.0,3423.4,3432.9,,3426.4,3420.8,3420.0,,3411.5,3357.3,,3428.0,2989.3,3414.0,3415.1,,3426.9,3426.8,3416.0,3421.6,3418.0,3419.2,3413.0,3414.7,3434.0,-5.3,4.6,-20.3,-9.0,-20.0,-13.0,1.0,-17.7,-12.0,-0.6,-31.0,-10.4,7.5,-16.6,4.8,,-21.0,-23.0,-26.2,-24.7,-17.0,-58.7,-33.0,-3.8,-12.0,-16.0,-12.0,-9.6,-0.1,,-6.6,-12.2,-13.0,,-21.5,-75.7,,-5.0,-443.7,-19.0,-17.9,,-6.1,-6.2,-17.0,-11.4,-15.0,-13.8,-20.0,-18.3,1.0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,False,,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,True
Missouri,3162,3224.9,3250.7,3243.1,3273.0,3266.0,3266.0,3358.0,3218.6,3295.0,3273.6,3177.0,3217.6,,3380.1,3079.0,,3306.0,3184.0,3316.3,2954.0,3046.0,3150.2,3257.0,3330.6,3259.0,3202.0,3220.0,3276.5,3256.0,,3249.1,3297.4,3289.0,,3053.0,2855.6,,3265.0,2934.5,3266.0,3246.1,,3289.4,3287.7,3243.0,3197.2,3331.0,3271.6,3323.0,2918.5,3360.0,62.9,88.7,81.1,111.0,104.0,104.0,196.0,56.6,133.0,111.6,15.0,55.6,,218.1,-83.0,,144.0,22.0,154.3,-208.0,-116.0,-11.8,95.0,168.6,97.0,40.0,58.0,114.5,94.0,,87.1,135.4,127.0,,-109.0,-306.4,,103.0,-227.5,104.0,84.1,,127.4,125.7,81.0,35.2,169.0,109.6,161.0,-243.5,198.0,False,False,False,False,False,False,True,False,False,True,True,,False,False,,False,True,False,False,False,True,False,False,False,True,True,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False
Montana,445,443.7,446.2,459.6,435.0,456.0,446.0,417.0,435.9,448.0,442.0,421.0,428.3,447.6,478.5,439.6,,452.0,456.0,445.2,395.9,456.0,393.4,442.5,448.2,455.0,441.5,454.0,475.5,444.3,,415.7,444.6,451.0,,,420.3,,449.0,518.3,443.0,457.6,,455.1,479.2,432.0,464.9,457.0,452.2,432.0,401.8,463.0,-1.3,1.2,14.6,-10.0,11.0,1.0,-28.0,-9.1,3.0,-3.0,-24.0,-16.7,2.6,33.5,-5.4,,7.0,11.0,0.2,-49.1,11.0,-51.6,-2.5,3.2,10.0,-3.5,9.0,30.5,-0.7,,-29.3,-0.4,6.0,,,-24.7,,4.0,73.3,-2.0,12.6,,10.1,34.2,-13.0,19.9,12.0,7.2,-13.0,-43.2,18.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,True,,False,True,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Nebraska,703,703.7,728.3,707.6,704.0,709.0,709.0,749.0,704.8,715.0,709.7,701.0,718.1,713.8,732.7,713.0,,681.0,713.0,716.5,692.3,706.0,690.0,701.0,716.5,750.0,715.3,756.0,707.1,713.9,,691.5,713.2,698.0,,,665.2,,709.0,701.7,706.0,706.3,,717.3,710.9,697.0,688.4,709.0,708.5,716.0,674.2,730.0,0.7,25.3,4.6,1.0,6.0,6.0,46.0,1.8,12.0,6.7,-2.0,15.1,10.8,29.7,10.0,,-22.0,10.0,13.5,-10.7,3.0,-13.0,-2.0,13.5,47.0,12.3,53.0,4.1,10.9,,-11.5,10.2,-5.0,,,-37.8,,6.0,-1.3,3.0,3.3,,14.3,7.9,-6.0,-14.6,6.0,5.5,13.0,-28.8,27.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Nevada,1850,1805.3,1806.5,1806.2,1809.0,1807.0,1813.0,1841.0,1816.6,1812.0,1840.1,1807.0,1810.6,1816.0,1816.0,1818.4,,1807.0,1816.0,1812.8,1826.6,1813.0,1802.9,1808.0,1815.5,1806.0,1816.0,1818.0,1792.3,1821.7,,1836.7,1809.1,1815.0,,1815.3,1764.9,,1819.0,1779.9,1809.0,1814.0,,1800.6,1795.5,1822.0,1814.5,1807.0,1808.3,1818.0,1812.9,1827.0,-40.7,-39.5,-39.8,-37.0,-39.0,-33.0,-5.0,-29.4,-34.0,-5.9,-39.0,-35.4,-30.0,-30.0,-27.6,,-39.0,-30.0,-33.2,-19.4,-33.0,-43.1,-38.0,-30.5,-40.0,-30.0,-28.0,-53.7,-24.3,,-9.3,-36.9,-31.0,,-30.7,-81.1,,-27.0,-66.1,-37.0,-32.0,,-45.4,-50.5,-24.0,-31.5,-39.0,-37.7,-28.0,-33.1,-19.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,False,True,,True,True,True,,True,False,,True,False,True,True,,False,False,True,True,True,True,True,True,True
New Hampshire,489,491.6,487.3,492.1,495.0,493.0,494.0,490.0,496.1,497.0,514.0,496.0,498.4,498.8,490.4,501.7,,493.0,499.0,496.9,493.2,493.0,491.3,492.0,496.7,489.0,489.8,495.0,492.4,495.0,,488.3,495.9,493.0,,,482.3,,495.0,492.4,493.0,493.2,,501.4,496.5,493.0,494.6,494.0,493.7,494.0,486.7,494.0,2.6,-1.7,3.1,6.0,4.0,5.0,1.0,7.1,8.0,25.0,7.0,9.4,9.8,1.4,12.7,,4.0,10.0,7.9,4.2,4.0,2.3,3.0,7.7,0.0,0.8,6.0,3.4,6.0,,-0.7,6.9,4.0,,,-6.7,,6.0,3.4,4.0,4.2,,12.4,7.5,4.0,5.6,5.0,4.7,5.0,-2.3,5.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,True,False,False,True,True,False,False,False,,True,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False
New Jersey,16425,16413.1,16453.3,16416.1,16422.0,16419.0,16431.0,16665.0,16442.6,16454.0,16420.8,16482.0,16410.5,16450.5,16426.5,16480.8,,16422.0,16431.0,16425.0,16475.2,16423.0,16425.3,16435.0,16443.5,16439.0,16439.1,16433.0,16432.3,16432.1,,16430.1,16436.5,16357.0,,16410.2,16520.4,,16436.0,19782.6,16431.0,16411.2,,16469.0,16436.0,16423.0,16541.5,16439.0,16438.4,16617.0,16358.9,16620.0,-11.9,28.3,-8.9,-3.0,-6.0,6.0,240.0,17.6,29.0,-4.2,57.0,-14.5,25.5,1.5,55.8,,-3.0,6.0,-0.0,50.2,-2.0,0.3,10.0,18.5,14.0,14.1,8.0,7.3,7.1,,5.1,11.5,-68.0,,-14.8,95.4,,11.0,3357.6,6.0,-13.8,,44.0,11.0,-2.0,116.5,14.0,13.4,192.0,-66.1,195.0,False,True,True,True,True,False,False,False,True,False,False,False,True,False,,True,True,True,False,True,True,True,False,False,False,True,True,True,,True,True,False,,False,False,,True,False,True,False,,False,True,True,False,False,False,False,False,False
