,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Montana,445,276.4,333.0,289.5,,422.0,248.5,212.3,381.9,149.4,,214.2,214.6,216.0,173.8,-168.6,-112.0,-155.5,,-23.0,-196.5,-232.7,-63.1,-295.6,,-230.8,-230.4,-229.0,-271.2,True,True,,True,False,False,True,False,,False,False,False,False
Nebraska,703,669.7,855.0,702.8,,786.0,632.1,593.8,676.5,496.6,,559.0,606.6,594.0,499.5,-33.3,152.0,-0.2,,83.0,-70.9,-109.2,-26.5,-206.4,,-144.0,-96.4,-109.0,-203.5,False,True,,False,False,False,True,False,,False,False,False,False
Nevada,1850,1947.0,1710.0,1771.3,,1955.0,1693.2,1624.2,2330.6,1515.5,,2042.3,1703.1,1657.0,1769.9,97.0,-140.0,-78.7,,105.0,-156.8,-225.8,480.6,-334.5,,192.3,-146.9,-193.0,-80.1,False,True,,False,False,False,False,False,,False,False,False,True
New Hampshire,489,459.6,565.0,467.2,,487.0,473.6,494.7,457.1,517.1,,467.1,658.2,513.0,447.8,-29.4,76.0,-21.8,,-2.0,-15.4,5.7,-31.9,28.1,,-21.9,169.2,24.0,-41.2,False,True,,True,True,True,False,True,,True,False,True,False
New Jersey,16425,16361.0,16740.0,16342.1,,16577.0,16376.2,16585.3,16779.3,16126.6,,16248.7,17298.8,16483.0,16397.5,-64.0,315.0,-82.9,,152.0,-48.8,160.3,354.3,-298.4,,-176.3,873.8,58.0,-27.5,False,False,,False,True,False,False,False,,False,False,True,True
New Mexico,1104,980.1,1067.0,962.0,,1111.0,930.1,921.1,1423.3,878.4,,923.8,972.8,904.0,934.1,-123.9,-37.0,-142.0,,7.0,-173.9,-182.9,319.3,-225.6,,-180.2,-131.2,-200.0,-169.9,True,False,,True,False,False,False,False,,False,False,False,False
New York,33884,33305.9,34310.0,33456.6,,33744.0,33608.4,34296.5,35616.0,34320.0,,33281.2,36199.3,33466.0,33225.5,-578.1,426.0,-427.4,,-140.0,-275.6,412.5,1732.0,436.0,,-602.8,2315.3,-418.0,-658.5,True,True,,True,True,True,False,True,,False,False,True,False
North Carolina,4605,4324.9,5805.0,4288.2,,4789.0,3995.9,3786.2,4359.7,3511.5,,4000.5,3941.3,3864.0,3626.1,-280.1,1200.0,-316.8,,184.0,-609.1,-818.8,-245.3,-1093.5,,-604.5,-663.7,-741.0,-978.9,False,False,,True,False,False,True,False,,False,False,False,False
North Dakota,628,262.3,420.0,375.0,,317.0,326.1,268.1,278.0,199.7,,201.5,406.3,250.0,201.3,-365.7,-208.0,-253.0,,-311.0,-301.9,-359.9,-350.0,-428.3,,-426.5,-221.7,-378.0,-426.7,True,True,,True,True,True,True,False,,False,True,False,False
Ohio,5506,5640.7,6709.0,5411.9,,6171.0,5603.5,5509.3,6090.6,4795.7,,5378.3,6280.1,5277.0,5024.8,134.7,1203.0,-94.1,,665.0,97.5,3.3,584.6,-710.3,,-127.7,774.1,-229.0,-481.2,False,True,,False,True,True,False,False,,True,False,False,False
Oklahoma,1429,1313.6,2401.0,1345.2,,1565.0,1461.2,1370.8,1653.3,1027.8,,1257.1,1517.5,1275.0,1094.5,-115.4,972.0,-83.8,,136.0,32.2,-58.2,224.3,-401.2,,-171.9,88.5,-154.0,-334.5,False,True,,False,True,True,False,False,,False,True,False,False
Oregon,729,729.0,643.0,654.4,,761.0,675.8,642.3,893.6,600.7,,690.4,696.2,654.0,609.5,0.0,-86.0,-74.6,,32.0,-53.2,-86.7,164.6,-128.3,,-38.6,-32.8,-75.0,-119.5,False,False,,False,False,False,False,False,,False,False,False,False
Pennsylvania,9001,8449.7,9999.0,8625.6,,8522.0,8830.5,8961.2,8497.8,8052.1,,8206.9,9638.9,8661.0,8132.9,-551.3,998.0,-375.4,,-479.0,-170.5,-39.8,-503.2,-948.9,,-794.1,637.9,-340.0,-868.1,False,True,,True,True,True,True,False,,False,False,True,False
Rhode Island,1224,1196.7,1167.0,1155.8,,1125.0,1143.3,1161.5,1785.8,1118.0,,1137.5,1258.7,1162.0,0.0,-27.3,-57.0,-68.2,,-99.0,-80.7,-62.5,561.8,-106.0,,-86.5,34.7,-62.0,-1224.0,False,False,,False,False,False,False,False,,False,False,False,False
South Carolina,4015,4454.7,6847.0,4420.2,,4096.0,4317.5,3627.6,4158.4,3519.4,,4048.3,4941.8,3936.0,3602.9,439.7,2832.0,405.2,,81.0,302.5,-387.4,143.4,-495.6,,33.3,926.8,-79.0,-412.1,False,True,,True,True,True,True,False,,True,False,True,True
South Dakota,523,270.4,231.0,320.8,,376.0,309.3,271.4,415.1,213.0,,229.2,327.8,217.0,213.9,-252.6,-292.0,-202.2,,-147.0,-213.7,-251.6,-107.9,-310.0,,-293.8,-195.2,-306.0,-309.1,False,True,,True,True,True,True,False,,False,True,False,False
Tennessee,3590,3751.6,4035.0,3043.2,,3463.0,3051.2,2687.5,4734.5,2570.5,,3347.0,2735.2,3068.0,2524.1,161.6,445.0,-546.8,,-127.0,-538.8,-902.5,1144.5,-1019.5,,-243.0,-854.8,-522.0,-1065.9,False,False,,True,False,False,False,False,,False,False,False,False
Texas,19252,20305.7,16864.0,17388.2,,19764.0,17583.5,17030.8,21586.1,16742.5,19389.0,18845.9,17889.4,17298.0,16838.8,1154.7,-2287.0,-1762.8,,613.0,-1567.5,-2120.2,2435.1,-2408.5,238.0,-305.1,-1261.6,-1853.0,-2312.2,False,False,,True,False,False,False,False,True,True,False,False,False
Utah,658,519.4,714.0,712.2,,739.0,591.7,516.3,591.6,443.1,,564.9,685.3,565.0,415.1,-138.6,56.0,54.2,,81.0,-66.3,-141.7,-66.4,-214.9,,-93.1,27.3,-93.0,-242.9,True,True,,True,True,False,True,False,,True,True,True,False
Vermont,59,58.0,58.0,61.3,,79.0,58.0,78.5,70.4,58.0,,59.2,69.4,58.0,58.0,-1.0,-1.0,2.3,,20.0,-1.0,19.5,11.4,-1.0,,0.2,10.4,-1.0,-1.0,False,False,,False,False,False,False,False,,True,False,False,True
Virginia,3704,3085.4,4379.0,3402.9,,3714.0,3471.6,3724.1,3476.4,2888.5,,2987.6,3995.7,2955.0,3065.9,-618.6,675.0,-301.1,,10.0,-232.4,20.1,-227.6,-815.5,,-716.4,291.7,-749.0,-638.1,False,True,,True,True,True,True,False,,False,True,False,False
Washington,2411,2289.6,2181.0,2242.7,,2255.0,2285.6,2341.2,2770.2,2092.8,,2394.3,2545.6,2227.0,2231.3,-129.4,-238.0,-176.3,,-164.0,-133.4,-77.8,351.2,-326.2,,-24.7,126.6,-192.0,-187.7,False,False,,False,False,True,False,False,,True,True,False,False
West Virginia,503,408.4,2409.0,706.0,,632.0,704.4,453.6,784.5,312.4,,386.4,549.9,475.0,344.7,-94.6,1906.0,203.0,,129.0,201.4,-49.4,281.5,-190.6,,-116.6,46.9,-28.0,-158.3,False,False,,False,False,True,False,False,,False,True,True,False
Wisconsin,2548,1540.0,2983.0,1870.3,,1687.0,1757.6,1884.6,1577.6,1407.5,,1482.3,2962.5,1739.0,1377.8,-950.0,493.0,-619.7,,-803.0,-732.4,-605.4,-912.4,-1082.5,,-1007.7,472.5,-751.0,-1112.2,True,True,,True,True,True,True,False,,False,True,True,False
Wyoming,114,42.0,63.0,61.7,,143.0,69.0,108.0,320.7,60.9,,45.8,80.4,46.0,88.4,-72.0,-51.0,-52.3,,29.0,-45.0,-6.0,206.7,-53.1,,-68.2,-33.6,-68.0,-25.6,True,True,,True,True,True,False,True,,True,True,True,True
US,238165,234378.1,231008.0,222708.5,241609.8,236724.0,225579.4,221037.0,,209431.3,232169.0,223129.7,242804.6,221206.0,218643.8,-3633.9,-7004.0,-15303.5,3597.8,-1288.0,-12432.6,-16975.0,,-28580.7,-5843.0,-14882.3,4792.6,-16806.0,-19368.2,False,False,True,True,False,False,,False,False,False,False,False,False
