,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Indiana,4592,4013.4,3903.0,3912.7,4062.0,,4283.2,3978.0,3994.8,4137.9,4187.0,3867.0,4423.5,4857.0,3941.6,4029.5,,3804.7,3916.8,5021.4,3956.0,3619.2,-578.6,-689.0,-679.3,-530.0,,-308.8,-614.0,-597.2,-454.1,-405.0,-725.0,-168.5,265.0,-650.4,-562.5,,-787.3,-675.2,429.4,-636.0,-972.8,False,False,True,,True,False,False,True,True,False,True,True,False,True,,False,False,True,False,False
Iowa,1842,1614.7,1511.0,1543.2,1689.0,,1550.5,1657.0,1723.0,1797.3,1742.9,1509.8,1766.2,,1472.7,1796.0,,1416.4,1617.4,1933.7,1569.0,1475.0,-227.3,-331.0,-298.8,-153.0,,-291.5,-185.0,-119.0,-44.7,-99.1,-332.2,-75.8,,-369.3,-46.0,,-425.6,-224.6,91.7,-273.0,-367.0,False,False,True,,False,True,True,True,True,False,True,,False,True,,False,True,True,False,False
Kansas,1166,869.3,911.0,982.3,858.0,,1880.7,829.0,882.0,1021.9,938.5,800.9,1029.5,,907.5,1045.0,,676.6,844.3,862.0,943.0,741.4,-296.7,-255.0,-183.7,-308.0,,714.7,-337.0,-284.0,-144.1,-227.5,-365.1,-136.5,,-258.5,-121.0,,-489.4,-321.7,-304.0,-223.0,-424.6,True,True,False,,False,False,True,True,True,False,True,,True,True,,False,False,False,True,False
Kentucky,1561,1426.4,1494.0,1410.5,1510.0,,1780.2,1426.0,1518.5,1505.0,1721.3,1340.6,1748.2,1679.5,1279.6,1614.0,,1228.6,1504.2,1752.8,1472.0,1312.6,-134.6,-67.0,-150.5,-51.0,,219.2,-135.0,-42.5,-56.0,160.3,-220.4,187.2,118.5,-281.4,53.0,,-332.4,-56.8,191.8,-89.0,-248.4,True,False,True,,False,False,True,True,False,False,False,True,False,True,,False,True,False,True,False
Louisiana,6016,6033.1,6047.0,5973.9,5847.0,,6396.2,5997.0,5907.9,5844.2,5863.2,5822.9,6176.8,,5780.5,5754.0,,5776.2,6260.9,6110.8,5799.0,5779.7,17.1,31.0,-42.1,-169.0,,380.2,-19.0,-108.1,-171.8,-152.8,-193.1,160.8,,-235.5,-262.0,,-239.8,244.9,94.8,-217.0,-236.3,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Maine,151,145.9,161.0,161.3,145.0,,158.1,192.0,160.0,160.4,181.1,146.9,196.1,,144.0,152.0,,140.8,145.1,176.0,158.0,149.4,-5.1,10.0,10.3,-6.0,,7.1,41.0,9.0,9.4,30.1,-4.1,45.1,,-7.0,1.0,,-10.2,-5.9,25.0,7.0,-1.6,False,False,False,,False,False,False,False,False,True,False,,False,True,,False,False,False,False,True
Maryland,4201,4263.0,4176.0,4118.2,3954.0,,4159.1,4240.0,4146.6,4222.2,4331.3,4065.2,4365.2,,4212.5,4135.0,,4026.1,4114.4,4598.4,4122.0,4055.7,62.0,-25.0,-82.8,-247.0,,-41.9,39.0,-54.4,21.2,130.3,-135.8,164.2,,11.5,-66.0,,-174.9,-86.6,397.4,-79.0,-145.3,True,False,False,,True,True,True,True,False,False,False,,True,False,,False,False,False,False,False
Massachusetts,10129,9954.6,10778.0,10023.2,9507.0,,10111.4,9670.0,10211.2,9896.8,9953.0,9867.2,10088.6,,9684.1,9450.0,,9634.9,9703.2,10892.3,10389.0,9616.8,-174.4,649.0,-105.8,-622.0,,-17.6,-459.0,82.2,-232.2,-176.0,-261.8,-40.4,,-444.9,-679.0,,-494.1,-425.8,763.3,260.0,-512.2,False,True,False,,True,False,True,False,False,False,True,,False,False,,False,False,False,False,False
Michigan,7945,7483.3,7461.0,7412.3,7169.0,,7561.9,7561.0,7511.6,8180.2,7885.7,7200.5,7768.8,7485.0,7275.5,7558.0,,7201.9,7343.4,8841.9,7488.0,7138.1,-461.7,-484.0,-532.7,-776.0,,-383.1,-384.0,-433.4,235.2,-59.3,-744.5,-176.2,-460.0,-669.5,-387.0,,-743.1,-601.6,896.9,-457.0,-806.9,False,False,False,,True,True,True,True,True,False,True,True,False,True,,False,False,False,True,False
Minnesota,2679,2311.9,2523.0,2344.6,2114.0,,2641.6,2391.0,2380.9,2571.2,2456.6,2323.8,2397.2,2705.5,2155.9,2421.0,,2148.1,2378.7,3372.5,2509.0,2177.1,-367.1,-156.0,-334.4,-565.0,,-37.4,-288.0,-298.1,-107.8,-222.4,-355.2,-281.8,26.5,-523.1,-258.0,,-530.9,-300.3,693.5,-170.0,-501.9,True,True,False,,True,True,True,True,True,True,True,True,False,True,,False,True,False,True,False
Mississippi,3433,3557.4,3452.0,3319.3,3296.0,,3669.2,3320.0,3403.0,3259.6,3230.6,3271.5,3419.9,,3242.8,3265.0,,3236.3,3460.8,3482.1,3452.0,3316.0,124.4,19.0,-113.7,-137.0,,236.2,-113.0,-30.0,-173.4,-202.4,-161.5,-13.1,,-190.2,-168.0,,-196.7,27.8,49.1,19.0,-117.0,True,True,False,,False,True,True,False,False,False,True,,False,False,,False,True,True,True,True
Missouri,3162,3382.6,3080.0,2648.2,2676.0,,2717.7,2316.0,2756.2,2623.1,2760.9,2709.2,3153.6,,2868.7,2904.0,,2525.3,2796.1,3249.5,3254.0,2202.9,220.6,-82.0,-513.8,-486.0,,-444.3,-846.0,-405.8,-538.9,-401.1,-452.8,-8.4,,-293.3,-258.0,,-636.7,-365.9,87.5,92.0,-959.1,True,False,False,,False,False,False,False,False,False,True,,False,False,,False,False,True,True,False
Montana,445,266.7,966.0,356.3,209.0,,306.5,263.0,316.4,328.3,278.8,270.0,365.9,,263.1,302.0,,201.8,241.7,365.2,350.0,214.1,-178.3,521.0,-88.7,-236.0,,-138.5,-182.0,-128.6,-116.7,-166.2,-175.0,-79.1,,-181.9,-143.0,,-243.2,-203.3,-79.8,-95.0,-230.9,False,True,False,,True,False,True,True,True,True,True,,False,True,,False,False,True,True,False
Nebraska,703,634.0,720.0,611.8,510.0,,773.0,611.0,619.5,685.2,675.8,551.6,602.6,,576.9,611.0,,536.8,558.7,682.9,584.0,525.7,-69.0,17.0,-91.2,-193.0,,70.0,-92.0,-83.5,-17.8,-27.2,-151.4,-100.4,,-126.1,-92.0,,-166.2,-144.3,-20.1,-119.0,-177.3,True,False,False,,False,False,False,True,True,False,False,,False,False,,False,False,True,False,False
Nevada,1850,1901.3,2391.0,1865.7,1819.0,,2115.7,1849.0,1863.0,1766.6,1838.4,1910.7,1913.5,,1760.4,1792.0,,1684.2,1996.2,1943.0,2069.0,1820.5,51.3,541.0,15.7,-31.0,,265.7,-1.0,13.0,-83.4,-11.6,60.7,63.5,,-89.6,-58.0,,-165.8,146.2,93.0,219.0,-29.5,False,True,True,,False,True,True,False,True,False,False,,False,False,,False,False,False,False,True
New Hampshire,489,444.9,454.0,455.3,439.0,,465.7,452.0,451.9,474.3,486.7,453.4,479.8,,467.1,441.0,,446.2,455.8,535.0,444.0,448.4,-44.1,-35.0,-33.7,-50.0,,-23.3,-37.0,-37.1,-14.7,-2.3,-35.6,-9.2,,-21.9,-48.0,,-42.8,-33.2,46.0,-45.0,-40.6,True,True,False,,True,True,True,True,True,True,True,,True,False,,True,True,False,False,True
New Jersey,16425,16334.4,17265.0,16419.8,16131.0,,17305.1,16325.0,16437.3,16741.5,16466.5,16313.9,16909.7,,16590.9,16108.0,,16321.5,16266.8,18323.5,16422.0,16349.3,-90.6,840.0,-5.2,-294.0,,880.1,-100.0,12.3,316.5,41.5,-111.1,484.7,,165.9,-317.0,,-103.5,-158.2,1898.5,-3.0,-75.7,False,True,False,,False,False,True,False,True,False,False,,False,False,,False,False,False,True,True
New Mexico,1104,993.0,1243.0,981.8,929.0,,1007.4,993.0,1025.2,991.4,1102.4,1007.6,1077.9,,1024.9,918.0,,908.3,958.1,1177.5,1128.0,959.8,-111.0,139.0,-122.2,-175.0,,-96.6,-111.0,-78.8,-112.6,-1.6,-96.4,-26.1,,-79.1,-186.0,,-195.7,-145.9,73.5,24.0,-144.2,False,False,False,,True,False,True,False,True,True,True,,True,False,,False,False,True,True,False
New York,33884,33388.7,33431.0,33413.3,33133.0,,33670.6,33363.0,33474.6,34238.1,33834.7,33321.9,35098.8,,33301.3,33190.0,,33351.9,33320.6,36059.5,33437.0,33194.0,-333.3,-291.0,-308.7,-589.0,,-51.4,-359.0,-247.4,516.1,112.7,-400.1,1376.8,,-420.7,-532.0,,-370.1,-401.4,2337.5,-285.0,-528.0,True,True,False,,True,False,True,False,True,False,False,,False,False,,False,False,False,True,False
North Carolina,4605,4600.7,4542.0,4278.7,4152.0,,4822.3,4358.0,4483.6,4397.2,4886.6,4311.6,4456.2,,4098.5,4822.0,,3903.3,4333.0,5381.6,4851.0,3971.6,-4.3,-63.0,-326.3,-453.0,,217.3,-247.0,-121.4,-207.8,281.6,-293.4,-148.8,,-506.5,217.0,,-701.7,-272.0,776.6,246.0,-633.4,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
North Dakota,628,459.4,472.0,426.9,232.0,,458.7,308.0,463.8,447.1,314.9,356.8,372.7,,585.5,655.5,,388.1,291.8,421.8,451.0,281.9,-168.6,-156.0,-201.1,-396.0,,-169.3,-320.0,-164.2,-180.9,-313.1,-271.2,-255.3,,-42.5,27.5,,-239.9,-336.2,-206.2,-177.0,-346.1,True,False,False,,False,False,True,False,False,False,False,,True,True,,False,False,False,False,False
Ohio,5506,5479.0,5405.0,5552.1,5469.0,,5793.7,5279.0,5560.8,5364.7,5833.7,5287.5,6113.6,5658.5,5084.7,5774.0,,4966.4,5425.4,6084.4,5411.0,5261.5,-27.0,-101.0,46.1,-37.0,,287.7,-227.0,54.8,-141.3,327.7,-218.5,607.6,152.5,-421.3,268.0,,-539.6,-80.6,578.4,-95.0,-244.5,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Oklahoma,1429,1357.4,1653.0,1334.9,1377.0,,1459.0,1289.0,1489.4,1655.3,1483.3,1179.3,1469.1,,1061.8,1287.0,,1126.2,1332.7,1554.0,1417.0,1167.0,-71.6,224.0,-94.1,-52.0,,30.0,-140.0,60.4,226.3,54.3,-249.7,40.1,,-367.2,-142.0,,-302.8,-96.3,125.0,-12.0,-262.0,False,False,True,,True,False,True,False,True,False,True,,False,False,,False,False,False,True,False
Oregon,729,642.6,880.0,654.3,639.0,,700.4,661.0,675.6,700.2,885.5,641.3,713.6,,675.5,827.5,,589.5,667.7,778.1,740.0,617.0,-86.4,151.0,-74.7,-90.0,,-28.6,-68.0,-53.4,-28.8,156.5,-87.7,-15.4,,-53.5,98.5,,-139.5,-61.3,49.1,11.0,-112.0,False,True,False,,True,True,True,True,False,False,True,,True,False,,False,True,True,True,False
Pennsylvania,9001,8824.0,8823.0,8833.4,8332.0,,8959.9,8709.0,8800.7,8940.0,9204.0,8481.0,9246.4,,8300.3,9008.0,,8300.8,8562.2,10091.9,8909.0,8405.1,-177.0,-178.0,-167.6,-669.0,,-41.1,-292.0,-200.3,-61.0,203.0,-520.0,245.4,,-700.7,7.0,,-700.2,-438.8,1090.9,-92.0,-595.9,False,True,False,,True,False,False,True,False,False,False,,False,True,,False,False,False,True,False
Rhode Island,1224,1218.3,1327.0,1229.7,1108.0,,1296.1,1165.0,1219.7,1193.8,1246.8,1130.1,1376.6,,1228.4,1257.0,,1130.3,1169.2,1240.8,1184.0,0.0,-5.7,103.0,5.7,-116.0,,72.1,-59.0,-4.3,-30.2,22.8,-93.9,152.6,,4.4,33.0,,-93.7,-54.8,16.8,-40.0,-1224.0,False,True,False,,False,False,True,False,False,False,False,,True,False,,False,False,False,False,False
South Carolina,4015,4069.9,4385.0,4065.6,3944.0,,4297.5,3816.0,4249.1,3942.4,3832.6,3733.5,3987.5,,3847.6,3840.0,,3573.0,4055.9,4219.7,4258.0,3770.8,54.9,370.0,50.6,-71.0,,282.5,-199.0,234.1,-72.6,-182.4,-281.5,-27.5,,-167.4,-175.0,,-442.0,40.9,204.7,243.0,-244.2,False,True,False,,False,False,False,False,False,False,True,,False,False,,False,True,False,False,False
South Dakota,523,311.7,327.0,326.0,224.0,,350.3,286.0,327.5,449.9,269.5,306.5,326.2,,280.0,396.0,,226.3,264.1,469.0,347.0,252.0,-211.3,-196.0,-197.0,-299.0,,-172.7,-237.0,-195.5,-73.1,-253.5,-216.5,-196.8,,-243.0,-127.0,,-296.7,-258.9,-54.0,-176.0,-271.0,True,True,False,,True,False,True,True,False,False,True,,False,True,,False,False,True,True,False
Tennessee,3590,3308.3,3453.0,3241.2,3072.0,,4402.1,3022.0,3130.3,2932.0,3214.0,3110.9,3182.5,,2859.4,3311.0,,2659.4,3293.1,3025.1,3169.0,2754.9,-281.7,-137.0,-348.8,-518.0,,812.1,-568.0,-459.7,-658.0,-376.0,-479.1,-407.5,,-730.6,-279.0,,-930.6,-296.9,-564.9,-421.0,-835.1,True,False,False,,False,False,False,False,False,False,False,,False,True,,False,False,False,False,False
Texas,19141,19593.1,38653.0,19592.9,18298.0,,21112.7,18962.0,18923.0,19800.7,18836.0,17655.9,18911.9,,18229.2,18095.0,,16689.7,19184.0,19437.2,19387.0,17806.1,467.1,19527.0,466.9,-828.0,,1986.7,-164.0,-203.0,674.7,-290.0,-1470.1,-214.1,,-896.8,-1031.0,,-2436.3,58.0,311.2,261.0,-1319.9,False,True,False,,False,True,True,False,True,False,True,,False,False,,False,True,True,True,False
Utah,658,529.1,785.0,689.2,551.0,,495.5,529.0,605.4,773.9,593.6,578.3,536.5,,632.1,474.0,,468.0,537.2,769.0,561.0,411.2,-128.9,127.0,31.2,-107.0,,-162.5,-129.0,-52.6,115.9,-64.4,-79.7,-121.5,,-25.9,-184.0,,-190.0,-120.8,111.0,-97.0,-246.8,True,True,True,,False,False,True,True,True,True,True,,True,False,,False,True,True,True,False
Vermont,59,58.0,58.0,59.3,59.0,,58.6,58.0,58.0,66.5,72.4,59.2,66.7,,62.1,58.0,,58.0,58.7,64.1,58.0,58.2,-1.0,-1.0,0.3,0.0,,-0.4,-1.0,-1.0,7.5,13.4,0.2,7.7,,3.1,-1.0,,-1.0,-0.3,5.1,-1.0,-0.8,False,True,True,,True,False,False,False,False,True,False,,False,False,,False,True,False,False,True
Virginia,3704,4000.4,4212.0,4259.6,3288.0,,3270.4,3845.0,3848.1,3660.6,3957.4,3671.6,4053.0,,3550.9,4231.0,,3501.7,3628.1,3878.3,3458.0,3534.1,298.4,510.0,557.6,-414.0,,-431.6,143.0,146.1,-41.4,255.4,-30.4,351.0,,-151.1,529.0,,-200.3,-73.9,176.3,-244.0,-167.9,False,False,False,,False,True,True,True,True,True,False,,True,False,,True,True,True,True,True
Washington,2439,2469.0,2638.0,2374.2,2529.0,,2283.0,2297.0,2323.2,2464.4,2574.3,2311.7,2384.3,,2318.5,2535.0,,2204.6,2457.6,2883.2,2569.0,2293.0,30.0,199.0,-64.8,90.0,,-156.0,-142.0,-115.8,25.4,135.3,-127.3,-54.7,,-120.5,96.0,,-234.4,18.6,444.2,130.0,-146.0,False,False,False,,False,False,False,True,False,False,False,,False,False,,False,True,False,False,False
West Virginia,503,485.4,537.0,563.8,508.0,,884.6,489.0,618.0,452.4,585.9,453.5,636.3,,439.7,543.0,,384.0,448.4,500.5,501.0,421.0,-17.6,34.0,60.8,5.0,,381.6,-14.0,115.0,-50.6,82.9,-49.5,133.3,,-63.3,40.0,,-119.0,-54.6,-2.5,-2.0,-82.0,False,False,True,,False,True,False,False,False,False,False,,False,False,,False,False,True,True,False
Wisconsin,2548,1509.4,3097.0,1804.4,1703.0,,1583.0,1618.0,1869.7,2427.3,1809.0,1563.3,1658.8,2124.0,6345.4,1477.0,,1357.6,1569.4,2754.1,1730.0,1416.0,-949.6,638.0,-654.6,-756.0,,-876.0,-841.0,-589.3,-31.7,-650.0,-895.7,-800.2,-335.0,3886.4,-982.0,,-1101.4,-889.6,295.1,-729.0,-1043.0,True,True,True,,True,True,True,True,True,True,True,True,False,False,,False,True,True,True,False
Wyoming,114,55.9,319.0,116.9,61.0,,60.1,67.0,62.0,122.7,90.0,79.4,210.7,,69.1,80.0,,50.0,56.4,108.7,57.0,54.1,-58.1,205.0,2.9,-53.0,,-53.9,-47.0,-52.0,8.7,-24.0,-34.6,96.7,,-44.9,-34.0,,-64.0,-57.6,-5.3,-57.0,-59.9,False,True,True,,True,True,True,True,True,True,False,,True,True,,False,True,True,True,False
US,238082,235488.4,245393.0,229245.2,224234.0,242522.0,244904.2,223060.0,231707.0,231000.9,235370.7,219910.5,,,230670.9,229352.0,236900.3,,228110.7,247708.9,238722.0,224316.9,-2322.6,7582.0,-8565.8,-13577.0,4711.0,7093.2,-14751.0,-6104.0,-6810.1,-2440.3,-17900.5,,,-7140.1,-8459.0,-910.7,,-9700.3,9897.9,911.0,-13494.1,False,False,False,False,False,False,False,False,False,False,,,False,False,True,,False,False,True,False
