,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,8647,8446.6,8076.0,7745.6,8183.0,,8144.8,8380.0,8254.4,7662.2,9169.0,,7173.4,,8395.0,8076.0,7907.0,7590.4,-200.4,-571.0,-901.4,-464.0,,-502.2,-267.0,-392.6,-984.8,522.0,,-1473.6,,-252.0,-571.0,-740.0,-1056.6,False,False,False,,False,False,False,False,False,,False,,False,False,False,False
Hawaii,220,264.0,133.0,160.6,168.0,,157.5,,186.3,167.1,170.3,,127.1,,218.3,154.9,171.0,170.1,44.0,-87.0,-59.4,-52.0,,-62.5,,-33.7,-52.9,-49.7,,-92.9,,-1.7,-65.1,-49.0,-49.9,False,False,False,,False,,True,False,False,,False,,True,False,False,False
Idaho,683,635.0,631.0,593.9,566.0,,583.2,675.0,602.1,551.5,2338.1,,490.1,,594.0,606.8,605.0,544.6,-48.0,-52.0,-89.1,-117.0,,-99.8,-8.0,-80.9,-131.5,1655.1,,-192.9,,-89.0,-76.2,-78.0,-138.4,False,False,False,,False,True,False,False,False,,False,,False,False,False,False
Illinois,10488,9680.3,9399.0,9511.0,9300.0,,9543.3,9505.0,9807.0,9249.7,9158.1,,9135.5,,9495.0,11837.5,9525.0,8876.8,-807.7,-1089.0,-977.0,-1188.0,,-944.7,-983.0,-681.0,-1238.3,-1329.9,,-1352.5,,-993.0,1349.5,-963.0,-1611.2,False,False,False,,False,False,True,False,False,,False,,False,False,False,False
Indiana,4828,3972.3,3951.0,3924.7,4089.0,,4048.7,4043.0,4005.1,3748.2,4234.4,,3783.5,,3870.3,5003.7,3909.0,3576.1,-873.7,-895.0,-921.3,-757.0,,-797.3,-803.0,-840.9,-1097.8,-611.6,,-1062.5,,-975.7,157.7,-937.0,-1269.9,False,False,True,,True,True,True,False,True,,False,,False,True,False,False
Iowa,1842,1573.6,1382.0,1538.0,1716.0,,1772.4,1722.0,1696.4,1480.3,1621.8,,1326.8,,1591.3,2049.8,1468.0,1441.1,-268.4,-460.0,-304.0,-126.0,,-69.6,-120.0,-145.6,-361.7,-220.2,,-515.2,,-250.7,207.8,-374.0,-400.9,False,False,True,,True,True,True,False,True,,False,,True,True,False,False
Kansas,1166,1054.4,811.0,948.0,845.0,,1225.2,861.0,845.3,797.5,841.4,,653.1,,899.1,839.1,934.0,708.0,-110.6,-354.0,-217.0,-320.0,,60.2,-304.0,-319.7,-367.5,-323.6,,-511.9,,-265.9,-325.9,-231.0,-457.0,False,False,False,,True,False,False,False,False,,False,,False,False,False,False
Kentucky,1561,1460.7,1636.0,1494.5,1522.0,,1703.8,1792.0,1559.0,1348.1,1476.3,,1299.4,,1528.0,1724.3,1446.0,1285.6,-100.3,75.0,-66.5,-39.0,,142.8,231.0,-2.0,-212.9,-84.7,,-261.6,,-33.0,163.3,-115.0,-275.4,True,True,True,,False,False,True,False,True,,False,,True,False,False,False
Louisiana,6016,6280.0,7423.0,6027.2,5856.0,,6143.9,6414.0,5874.4,5851.8,6735.4,,5879.7,,6513.2,6097.8,5923.0,5791.1,264.0,1407.0,11.2,-160.0,,127.9,398.0,-141.6,-164.2,719.4,,-136.3,,497.2,81.8,-93.0,-224.9,False,True,True,,True,False,True,True,False,,True,,False,True,True,True
Maine,151,159.6,158.0,150.9,144.0,,141.4,218.0,161.5,150.9,205.6,,144.5,,152.6,199.6,166.0,150.2,8.6,7.0,-0.1,-7.0,,-9.6,67.0,10.5,-0.1,54.6,,-6.5,,1.6,48.6,15.0,-0.8,True,True,True,,False,False,False,True,False,,True,,True,False,False,True
Maryland,4201,4160.1,4875.0,4147.0,3902.0,,4364.4,4163.0,4203.4,4031.7,4122.3,,3987.7,,4071.3,4842.7,4160.0,4025.1,-40.9,674.0,-54.0,-299.0,,163.4,-38.0,2.4,-169.3,-78.7,,-213.3,,-129.7,641.7,-41.0,-175.9,False,False,False,,False,True,True,False,False,,False,,False,False,False,False
Massachusetts,10129,9995.7,61296.0,9479.5,9340.0,,10232.0,9549.0,9963.2,9720.8,9697.9,,9658.6,,9635.1,11466.7,10531.0,9549.3,-133.3,51167.0,-649.5,-789.0,,103.0,-580.0,-165.8,-408.2,-431.1,,-470.4,,-493.9,1337.7,402.0,-579.7,False,False,False,,True,False,False,False,False,,False,,False,False,False,False
Michigan,7945,7366.7,7873.0,7534.7,7273.0,,7236.9,7796.0,7565.9,7071.2,7453.5,,7340.9,,7214.2,8679.1,7166.0,7090.2,-578.3,-72.0,-410.3,-672.0,,-708.1,-149.0,-379.1,-873.8,-491.5,,-604.1,,-730.8,734.1,-779.0,-854.8,True,True,False,,False,True,True,False,True,,False,,False,False,False,False
Minnesota,2679,2332.4,2251.0,2313.2,2081.0,,2454.7,2578.0,2391.2,2323.1,2230.8,,2190.8,,2427.6,3898.7,2513.0,2103.8,-346.6,-428.0,-365.8,-598.0,,-224.3,-101.0,-287.8,-355.9,-448.2,,-488.2,,-251.4,1219.7,-166.0,-575.2,False,False,False,,True,True,True,False,False,,False,,True,False,True,False
Mississippi,3433,3584.9,3362.0,3185.2,3275.0,,3072.0,3912.0,3449.1,3290.8,3635.2,,3021.0,,3489.4,3435.6,3298.0,3266.6,151.9,-71.0,-247.8,-158.0,,-361.0,479.0,16.1,-142.2,202.2,,-412.0,,56.4,2.6,-135.0,-166.4,True,False,False,,False,False,True,True,False,,False,,True,True,True,False
Missouri,3182,2477.4,3466.0,2512.2,2519.0,,2229.5,2616.0,2598.7,2168.4,2816.5,,2026.3,,2278.5,3043.1,2282.0,1964.9,-675.6,313.0,-640.8,-634.0,,-923.5,-537.0,-554.3,-984.6,-336.5,,-1126.7,,-874.5,-109.9,-871.0,-1188.1,True,True,True,,False,True,True,False,True,,False,,False,True,False,False
Montana,445,307.9,329.0,309.4,202.0,,218.9,240.0,285.6,260.6,388.9,,187.3,,252.2,347.7,349.0,201.8,-137.1,-116.0,-135.6,-243.0,,-226.1,-205.0,-159.4,-184.4,-56.1,,-257.7,,-192.8,-97.3,-96.0,-243.2,True,True,False,,False,False,False,False,True,,False,,False,True,True,False
Nebraska,703,496.9,890.0,664.2,476.0,,810.4,569.0,626.5,514.1,668.6,,486.7,,482.3,668.0,564.0,498.1,-206.1,187.0,-38.8,-227.0,,107.4,-134.0,-76.5,-188.9,-34.4,,-216.3,,-220.7,-35.0,-139.0,-204.9,True,True,False,,True,True,True,True,True,,False,,False,True,True,True
Nevada,1850,2072.7,1737.0,1759.3,1832.0,,1852.8,1937.0,1794.8,1829.7,2304.5,,1651.2,,2085.6,1816.9,1905.0,1816.8,222.7,-113.0,-90.7,-18.0,,2.8,87.0,-55.2,-20.3,454.5,,-198.8,,235.6,-33.1,55.0,-33.2,True,True,True,,True,True,True,True,False,,True,,False,True,True,True
New Hampshire,489,451.7,978.0,463.9,439.0,,450.5,459.0,464.2,459.5,489.4,,449.7,,465.1,593.1,467.0,450.1,-37.3,489.0,-25.1,-50.0,,-38.5,-30.0,-24.8,-29.5,0.4,,-39.3,,-23.9,104.1,-22.0,-38.9,False,True,False,,False,True,True,True,True,,False,,True,False,True,False
New Jersey,16425,16313.9,17671.0,16434.3,16096.0,,17569.3,16658.0,16379.4,16218.6,16699.8,,16160.4,,16253.1,18304.0,16456.0,16366.0,-111.1,1246.0,9.3,-329.0,,1144.3,233.0,-45.6,-206.4,274.8,,-264.6,,-171.9,1879.0,31.0,-59.0,False,True,False,,False,False,True,False,False,,False,,False,False,True,True
New Mexico,1104,1027.3,1017.0,942.4,916.0,,1025.8,1113.0,977.3,954.0,1415.1,,889.1,,953.6,1028.0,1010.0,951.1,-76.7,-87.0,-161.6,-188.0,,-78.2,9.0,-126.7,-150.0,311.1,,-214.9,,-150.4,-76.0,-94.0,-152.9,False,False,False,,False,True,False,False,False,,False,,False,True,False,False
New York,33884,33525.9,33734.0,33402.4,33089.0,,34222.7,33792.0,33615.1,33281.6,35402.7,,34431.3,,33339.2,35785.2,33547.0,33238.2,-358.1,-150.0,-481.6,-795.0,,338.7,-92.0,-268.9,-602.4,1518.7,,547.3,,-544.8,1901.2,-337.0,-645.8,True,False,False,,True,True,True,False,False,,False,,False,False,True,False
North Carolina,4605,4552.7,4079.0,4151.3,4113.0,,4723.5,4818.0,4311.2,3982.6,4374.9,,3820.9,,4188.2,4275.8,4148.0,3795.6,-52.3,-526.0,-453.7,-492.0,,118.5,213.0,-293.8,-622.4,-230.1,,-784.1,,-416.8,-329.2,-457.0,-809.4,False,False,False,,False,False,False,False,False,,False,,False,False,False,False
North Dakota,628,356.6,368.0,353.5,193.0,,295.8,303.0,347.7,275.0,292.7,,258.4,,198.5,406.9,329.0,232.7,-271.4,-260.0,-274.5,-435.0,,-332.2,-325.0,-280.3,-353.0,-335.3,,-369.6,,-429.5,-221.1,-299.0,-395.3,True,False,False,,False,False,False,False,False,,False,,False,True,False,False
Ohio,5653,5986.4,5936.0,5490.0,5482.0,,5752.3,5688.0,5662.5,5178.6,6050.8,,4898.3,,5625.2,6133.0,5610.0,5205.5,-42.6,-93.0,-539.0,-547.0,,-276.7,-341.0,-366.5,-850.4,21.8,,-1130.7,,-403.8,104.0,-419.0,-823.5,False,False,False,,False,False,False,False,True,,False,,False,False,False,False
Oklahoma,1429,1227.1,2141.0,1289.3,1352.0,,1162.8,1536.0,1499.9,1195.1,1628.1,,1058.1,,1262.1,1717.9,1291.0,1117.7,-201.9,712.0,-139.7,-77.0,,-266.2,107.0,70.9,-233.9,199.1,,-370.9,,-166.9,288.9,-138.0,-311.3,False,True,True,,False,True,True,False,True,,False,,True,False,True,False
Oregon,729,642.6,662.0,659.0,639.0,,646.9,661.0,669.4,637.8,874.0,,586.9,,661.4,761.8,674.0,613.4,-86.4,-67.0,-70.0,-90.0,,-82.1,-68.0,-59.6,-91.2,145.0,,-142.1,,-67.6,32.8,-55.0,-115.6,True,True,False,,True,True,True,False,False,,False,,True,True,True,False
Pennsylvania,9001,8858.3,9225.0,8619.2,8193.0,,8986.6,8515.0,8740.9,8287.6,8519.4,,8769.2,,8371.3,10024.9,8724.0,8315.8,-142.7,224.0,-381.8,-808.0,,-14.4,-486.0,-260.1,-713.4,-481.6,,-231.8,,-629.7,1023.9,-277.0,-685.2,False,False,False,,True,False,False,False,False,,False,,False,False,False,False
Rhode Island,1241,1204.6,1381.0,1183.8,1090.0,,1241.8,1141.0,1209.4,1114.7,1752.6,,1106.5,,1151.5,1235.6,1180.0,0.0,-9.4,167.0,-30.2,-124.0,,27.8,-73.0,-4.6,-99.3,538.6,,-107.5,,-62.5,21.6,-34.0,-1214.0,False,False,False,,False,False,True,False,False,,False,,False,False,False,False
South Carolina,4015,4124.7,6749.0,4393.2,3988.0,,4254.2,4234.0,4311.1,3640.7,4102.9,,3564.9,,4068.4,4029.9,3992.0,3688.0,109.7,2734.0,378.2,-27.0,,239.2,219.0,296.1,-374.3,87.9,,-450.1,,53.4,14.9,-23.0,-327.0,False,False,True,,False,False,False,False,True,,False,,True,True,True,False
South Dakota,523,325.4,251.0,305.4,211.0,,247.3,310.0,321.4,258.0,436.0,,252.1,,229.3,432.3,289.0,235.2,-197.6,-272.0,-217.6,-312.0,,-275.7,-213.0,-201.6,-265.0,-87.0,,-270.9,,-293.7,-90.7,-234.0,-287.8,False,False,False,,False,False,False,False,True,,False,,False,True,False,False
Tennessee,3590,3178.0,4579.0,3288.3,2959.0,,4136.1,3617.0,2986.9,3041.7,4675.3,,2613.6,,3249.4,3007.8,3165.0,2631.9,-412.0,989.0,-301.7,-631.0,,546.1,27.0,-603.1,-548.3,1085.3,,-976.4,,-340.6,-582.2,-425.0,-958.1,False,True,False,,False,True,False,False,False,,False,,True,False,False,False
Texas,19489,19771.4,18265.0,17842.2,18358.0,,18477.3,20559.0,18376.3,17896.6,20986.2,,16239.0,19389.0,19043.3,19262.1,19671.0,17353.9,560.4,-946.0,-1368.8,-853.0,,-733.7,1348.0,-834.7,-1314.4,1775.2,,-2972.0,178.0,-167.7,51.1,460.0,-1857.1,False,False,False,,False,False,False,False,False,,False,True,True,True,True,False
Utah,658,488.0,800.0,656.5,506.0,,535.0,583.0,598.2,565.3,575.7,,452.1,,542.2,956.5,528.0,410.5,-170.0,142.0,-1.5,-152.0,,-123.0,-75.0,-59.8,-92.7,-82.3,,-205.9,,-115.8,298.5,-130.0,-247.5,True,True,True,,True,True,True,True,True,,False,,True,False,True,False
Vermont,59,58.0,58.0,60.5,59.0,,58.7,59.0,58.0,58.6,69.1,,58.0,,59.0,65.3,58.0,57.9,-1.0,-1.0,1.5,0.0,,-0.3,0.0,-1.0,-0.4,10.1,,-1.0,,-0.0,6.3,-1.0,-1.1,False,False,True,,True,True,False,True,False,,False,,True,False,False,False
Virginia,3704,4994.7,5205.0,3754.1,3159.0,,3454.9,3890.0,3805.8,3452.3,3554.8,,3906.6,,3819.8,3928.5,3650.0,3418.4,1292.7,1503.0,52.1,-543.0,,-247.1,188.0,103.8,-249.7,-147.2,,204.6,,117.8,226.5,-52.0,-283.6,False,True,True,,True,True,True,True,True,,True,,True,True,True,True
Washington,2411,2352.4,2274.0,2238.7,2548.0,,2353.8,2368.0,2257.5,2189.2,2738.1,,2117.2,,2405.0,2579.0,2283.0,2251.4,-61.6,-140.0,-175.3,134.0,,-60.2,-46.0,-156.5,-224.8,324.1,,-296.8,,-9.0,165.0,-131.0,-162.6,False,False,False,,True,True,False,False,False,,False,,True,False,False,False
West Virginia,503,636.3,1162.0,658.3,466.0,,485.6,553.0,686.2,471.6,810.5,,409.9,,480.6,526.6,611.0,404.6,133.3,659.0,155.3,-37.0,,-17.4,50.0,183.2,-31.4,307.5,,-93.1,,-22.4,23.6,108.0,-98.4,False,False,True,,True,True,False,True,False,,True,,True,True,True,True
Wisconsin,2548,1461.4,4437.0,1789.8,1705.0,,1775.4,1673.0,1741.6,1845.6,1562.7,,1338.0,,1463.1,4404.2,1977.0,1392.4,-1021.6,1954.0,-693.2,-778.0,,-707.6,-810.0,-741.4,-637.4,-920.3,,-1145.0,,-1019.9,1921.2,-506.0,-1090.6,False,True,True,,True,True,True,True,True,,False,,True,False,True,False
Wyoming,114,97.0,159.0,69.3,62.0,,45.8,61.0,78.2,78.2,278.7,,49.0,,71.2,106.6,70.0,86.9,-17.0,45.0,-44.7,-52.0,,-68.2,-53.0,-35.8,-35.8,164.7,,-65.0,,-42.8,-7.4,-44.0,-27.1,False,False,False,,False,False,False,False,False,,False,,False,True,False,False
US,238858,236798.1,229200.0,222566.8,223185.0,245490.0,236566.1,236298.0,229149.5,218713.2,,229468.8,214237.2,230750.0,226755.5,250440.3,233256.0,221810.7,-2037.9,-9636.0,-16269.2,-15651.0,6654.0,-2269.9,-2538.0,-9686.5,-20122.8,,-9367.2,-24598.8,-8086.0,-12080.5,11604.3,-5580.0,-17025.3,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False
