,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,2447,2288.9,2802.0,2352.0,2315.6,2277.0,2223.8,2305.3,2286.0,,2383.3,2283.0,2342.3,,,2353.0,2385.8,2323.3,2315.3,,,2227.0,2355.0,2327.0,2310.2,2302.0,2057.0,2279.4,2310.7,-158.1,355.0,-95.0,-131.4,-170.0,-223.2,-141.7,-161.0,,-63.7,-164.0,-104.7,,,-94.0,-61.2,-123.7,-131.7,,,-220.0,-92.0,-120.0,-136.8,-145.0,-390.0,-167.6,-136.3,False,True,True,False,False,True,False,,True,False,True,,,True,True,True,True,,,False,True,True,True,True,False,False,True
Hawaii,17,17.0,22.0,17.0,17.3,17.0,17.3,18.8,17.0,,,17.0,17.5,,,,18.0,18.0,17.4,,17.0,15.0,22.0,19.0,17.3,17.0,17.4,17.5,17.4,0.0,5.0,0.0,0.3,0.0,0.3,1.8,0.0,,,0.0,0.5,,,,1.0,1.0,0.4,,0.0,-2.0,5.0,2.0,0.3,0.0,0.4,0.5,0.4,False,True,False,True,False,False,True,,,True,False,,,,False,False,False,,True,False,False,False,False,True,False,False,False
Idaho,87,83.9,107.0,84.0,86.7,84.0,86.7,92.3,90.0,85.5,,83.0,94.4,,,83.0,93.6,87.3,84.7,,84.2,80.0,,94.0,85.2,85.0,77.8,85.3,84.6,-3.1,20.0,-3.0,-0.3,-3.0,-0.3,5.3,3.0,-1.5,,-4.0,7.4,,,-4.0,6.6,0.3,-2.3,,-2.8,-7.0,,7.0,-1.8,-2.0,-9.2,-1.7,-2.4,False,True,True,True,True,False,True,True,,False,False,,,False,False,True,True,,True,False,,False,True,True,False,True,True
Illinois,6289,6344.6,7317.0,6398.0,6301.3,6197.0,5915.1,6127.8,6215.0,6204.9,,6310.0,6106.2,,,6538.0,6420.5,6204.9,6390.1,6312.0,6226.9,8084.0,6393.0,6130.0,6419.3,6228.0,6100.2,6304.5,6291.2,55.6,1028.0,109.0,12.3,-92.0,-373.9,-161.2,-74.0,-84.1,,21.0,-182.8,,,249.0,131.5,-84.1,101.1,23.0,-62.1,1795.0,104.0,-159.0,130.3,-61.0,-188.8,15.5,2.2,False,False,True,False,False,False,False,False,,True,False,,,False,False,False,False,True,False,False,False,False,False,False,False,True,True
Indiana,2413,2447.9,2703.0,2459.0,2434.2,2415.0,2313.7,2472.3,2427.0,,,2504.0,2221.5,,,2350.0,2316.3,2427.4,2459.0,2514.0,2443.9,2216.0,2303.0,2446.0,2428.4,2424.0,2401.5,2445.3,2448.4,34.9,290.0,46.0,21.2,2.0,-99.3,59.3,14.0,,,91.0,-191.5,,,-63.0,-96.7,14.4,46.0,101.0,30.9,-197.0,-110.0,33.0,15.4,11.0,-11.5,32.3,35.4,False,False,True,True,False,False,True,,,False,False,,,False,False,True,False,False,True,False,False,True,True,True,True,True,False
Iowa,650,665.0,955.0,667.0,672.2,690.0,613.7,673.0,654.0,664.7,,656.0,687.4,,,644.0,714.2,664.1,690.9,,657.4,731.5,685.0,655.0,655.9,656.0,612.8,673.0,665.4,15.0,305.0,17.0,22.2,40.0,-36.3,23.0,4.0,14.7,,6.0,37.4,,,-6.0,64.2,14.1,40.9,,7.4,81.5,35.0,5.0,5.9,6.0,-37.2,23.0,15.4,False,False,False,False,False,False,True,True,,True,False,,,True,False,True,False,,True,False,False,True,True,True,False,False,False
Kansas,245,248.4,316.0,251.0,247.2,243.0,243.9,256.3,245.0,247.5,,255.0,243.4,,,269.0,269.3,239.1,242.1,,247.7,236.5,237.0,245.0,247.3,241.0,226.5,241.5,245.3,3.4,71.0,6.0,2.2,-2.0,-1.1,11.3,0.0,2.5,,10.0,-1.6,,,24.0,24.3,-5.9,-2.9,,2.7,-8.5,-8.0,0.0,2.3,-4.0,-18.5,-3.5,0.3,False,False,True,True,True,False,True,True,,False,True,,,False,False,False,True,,True,False,False,True,True,False,False,False,True
Kentucky,499,503.4,569.0,509.0,512.1,528.0,466.6,570.4,502.0,523.9,,513.0,532.9,,,513.0,534.1,503.4,501.7,504.0,507.2,437.5,515.0,490.0,527.4,500.0,495.3,503.2,502.9,4.4,70.0,10.0,13.1,29.0,-32.4,71.4,3.0,24.9,,14.0,33.9,,,14.0,35.1,4.4,2.7,5.0,8.2,-61.5,16.0,-9.0,28.4,1.0,-3.7,4.2,3.9,False,False,False,False,False,False,True,False,,False,False,,,False,False,True,True,False,False,False,False,False,False,True,True,True,True
Louisiana,3004,3060.3,3312.0,3064.0,3016.6,3012.0,2910.7,3121.1,2997.0,,,3075.0,2972.9,,,3002.0,2956.3,3059.4,2996.8,,3068.9,2955.5,2901.0,3140.0,3025.1,3037.0,2752.5,3007.3,3047.9,56.3,308.0,60.0,12.6,8.0,-93.3,117.1,-7.0,,,71.0,-31.1,,,-2.0,-47.7,55.4,-7.2,,64.9,-48.5,-103.0,136.0,21.1,33.0,-251.5,3.3,43.9,False,False,True,True,False,False,True,,,False,True,,,True,True,True,True,,False,True,False,False,True,True,False,True,True
Maine,100,107.6,122.0,107.0,107.1,113.0,96.5,108.6,111.0,107.2,,109.0,113.2,,,104.0,112.1,105.2,103.9,,105.9,90.0,100.0,112.0,101.4,106.0,104.1,105.9,104.3,7.6,22.0,7.0,7.1,13.0,-3.5,8.6,11.0,7.2,,9.0,13.2,,,4.0,12.1,5.2,3.9,,5.9,-10.0,0.0,12.0,1.4,6.0,4.1,5.9,4.3,False,True,True,False,True,False,False,True,,False,False,,,True,False,True,True,,True,False,True,False,True,True,True,True,True
Maryland,2926,2935.0,3377.0,2971.0,2971.3,2974.0,2800.0,3066.9,2997.0,2880.0,,2991.0,2941.1,,,3100.0,3079.3,2888.7,2940.9,,2909.8,2725.0,3109.0,2875.0,3013.7,2902.0,2930.7,2920.5,2943.4,9.0,451.0,45.0,45.3,48.0,-126.0,140.9,71.0,-46.0,,65.0,15.1,,,174.0,153.3,-37.3,14.9,,-16.2,-201.0,183.0,-51.0,87.7,-24.0,4.7,-5.5,17.4,False,False,False,False,False,False,False,False,,False,False,,,False,False,False,False,,False,False,False,False,False,False,True,True,False
Massachusetts,7576,7718.9,8186.0,7810.0,7618.0,7628.0,7416.3,7678.3,7539.0,,,7594.0,7479.5,,,7898.0,7596.5,7542.0,7710.5,,7659.8,6897.5,7611.0,7390.0,7656.0,7568.0,7155.4,7560.2,7577.5,142.9,610.0,234.0,42.0,52.0,-159.7,102.3,-37.0,,,18.0,-96.5,,,322.0,20.5,-34.0,134.5,,83.8,-678.5,35.0,-186.0,80.0,-8.0,-420.6,-15.8,1.5,False,False,True,True,False,True,True,,,True,True,,,False,True,True,True,,True,False,True,False,True,True,False,True,True
Michigan,6013,6241.3,6639.0,5762.0,5982.8,5765.0,5699.0,6107.2,6081.0,,,5679.0,5745.7,,,6189.0,6144.6,6200.7,5743.6,5872.0,5991.6,5549.5,6102.0,6181.0,6090.2,5762.0,5217.4,6180.8,6028.4,260.3,658.0,-219.0,1.8,-216.0,-282.0,126.2,100.0,,,-302.0,-235.3,,,208.0,163.6,219.7,-237.4,-109.0,10.6,-431.5,121.0,200.0,109.2,-219.0,-763.6,199.8,47.4,False,True,True,True,False,True,True,,,False,True,,,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Minnesota,1314,1323.0,1548.0,1326.0,1328.1,1401.0,1242.6,1366.0,1367.0,,,1375.0,1309.1,,,1238.0,1390.9,1310.1,1349.5,1342.5,1300.3,1109.5,1325.0,1321.0,1319.4,1312.0,1272.6,1329.7,1329.3,9.0,234.0,12.0,14.1,87.0,-71.4,52.0,53.0,,,61.0,-4.9,,,-76.0,76.9,-3.9,35.5,28.5,-13.7,-204.5,11.0,7.0,5.4,-2.0,-41.4,15.7,15.3,False,False,False,False,False,False,False,,,False,True,,,False,False,True,False,False,False,False,False,True,True,True,False,False,False
Mississippi,889,888.1,1070.0,899.0,889.5,897.0,798.3,929.5,905.0,844.7,,871.0,910.2,,,841.0,914.8,878.8,912.7,,888.0,821.0,927.0,914.0,873.1,879.0,859.5,886.1,891.2,-0.9,181.0,10.0,0.5,8.0,-90.7,40.5,16.0,-44.3,,-18.0,21.2,,,-48.0,25.8,-10.2,23.7,,-1.0,-68.0,38.0,25.0,-15.9,-10.0,-29.5,-2.9,2.2,False,False,True,False,False,False,False,False,,False,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Missouri,887,848.4,997.0,856.0,878.5,856.0,819.1,974.6,890.0,878.2,,885.0,884.0,,,912.0,878.8,873.7,871.2,,883.3,829.5,911.0,858.0,904.9,859.0,828.9,870.0,871.3,-3.6,145.0,4.0,26.5,4.0,-32.9,122.6,38.0,26.2,,33.0,32.0,,,60.0,26.8,21.7,19.2,,31.3,-22.5,59.0,6.0,52.9,7.0,-23.1,18.0,19.3,False,False,False,False,False,False,False,False,,False,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Montana,18,18.9,22.0,19.0,19.0,18.0,17.6,29.4,18.0,19.0,,22.0,18.2,,,18.0,25.3,19.6,18.4,,18.9,10.0,20.0,19.0,18.6,19.0,16.1,18.9,18.6,0.9,4.0,1.0,1.0,0.0,-0.4,11.4,0.0,1.0,,4.0,0.2,,,0.0,7.3,1.6,0.4,,0.9,-8.0,2.0,1.0,0.6,1.0,-1.9,0.9,0.6,False,False,False,True,True,False,True,False,,False,True,,,True,False,False,True,,False,False,False,False,True,False,False,False,True
Nebraska,215,201.6,312.0,204.0,215.2,251.0,211.6,229.5,199.0,,,187.0,236.1,,,221.0,237.5,199.0,207.5,,201.6,210.0,206.0,235.0,211.3,200.0,194.2,209.7,205.0,-13.4,97.0,-11.0,0.2,36.0,-3.4,14.5,-16.0,,,-28.0,21.1,,,6.0,22.5,-16.0,-7.5,,-13.4,-5.0,-9.0,20.0,-3.7,-15.0,-20.8,-5.3,-10.0,False,True,True,False,True,False,False,,,False,False,,,True,False,False,True,,True,True,True,False,True,False,False,True,True
Nevada,462,456.0,527.0,457.0,468.9,470.0,439.6,526.1,478.0,473.5,,462.0,491.0,,,493.0,470.3,468.2,457.3,,459.1,400.0,478.0,494.0,461.8,459.0,427.5,460.7,457.4,-6.0,65.0,-5.0,6.9,8.0,-22.4,64.1,16.0,11.5,,0.0,29.0,,,31.0,8.3,6.2,-4.7,,-2.9,-62.0,16.0,32.0,-0.2,-3.0,-34.5,-1.3,-4.6,False,True,False,False,False,False,False,False,,True,False,,,False,False,False,True,,True,False,False,False,True,True,False,True,True
New Hampshire,318,321.1,342.0,328.0,315.9,310.0,257.8,299.3,324.0,346.6,,318.0,316.6,,,292.0,327.0,309.9,330.2,,319.7,295.0,334.0,298.0,314.5,311.0,294.7,323.3,317.3,3.1,24.0,10.0,-2.1,-8.0,-60.2,-18.7,6.0,28.6,,0.0,-1.4,,,-26.0,9.0,-8.1,12.2,,1.7,-23.0,16.0,-20.0,-3.5,-7.0,-23.3,5.3,-0.7,False,False,True,False,False,False,False,False,,True,True,,,False,False,False,False,,True,False,False,False,False,False,False,False,True
New Jersey,14476,12585.7,13609.0,12578.0,12501.1,12421.0,12115.0,12497.7,12418.0,,,12586.0,12395.9,,,12763.0,12473.2,12460.9,12486.2,,12503.7,12341.5,12461.0,12355.0,12589.6,12481.0,11777.5,12477.4,12561.9,-50.3,973.0,-58.0,-134.9,-215.0,-521.0,-138.3,-218.0,,,-50.0,-240.1,,,127.0,-162.8,-175.1,-149.8,,-132.3,-294.5,-175.0,-281.0,-46.4,-155.0,-858.5,-158.6,-74.1,False,False,False,False,False,False,False,,,True,False,,,False,False,False,False,,False,False,False,False,True,False,False,False,False
New Mexico,431,430.3,476.0,433.0,433.6,424.0,385.1,459.5,432.0,446.0,,423.0,456.3,,,427.0,434.4,441.6,435.2,,438.5,380.0,437.0,442.0,440.2,427.0,378.4,427.5,430.0,-0.7,45.0,2.0,2.6,-7.0,-45.9,28.5,1.0,15.0,,-8.0,25.3,,,-4.0,3.4,10.6,4.2,,7.5,-51.0,6.0,11.0,9.2,-4.0,-52.6,-3.5,-1.0,False,False,False,False,False,False,False,False,,False,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False
New York,31568,30879.7,33104.0,30850.0,30696.4,30602.0,30638.3,30783.0,30544.0,,,30654.0,30916.0,,,31004.0,30550.7,30750.5,30554.5,,30757.5,28570.5,30347.0,30679.0,30684.1,30727.0,29402.2,30548.9,30781.3,163.7,2388.0,134.0,-19.6,-114.0,-77.7,67.0,-172.0,,,-62.0,200.0,,,288.0,-165.3,34.5,-161.5,,41.5,-2145.5,-369.0,-37.0,-31.9,11.0,-1313.8,-167.1,65.3,False,True,True,True,True,True,False,,,True,False,,,False,False,True,True,,True,False,False,True,True,True,False,False,True
North Carolina,1127,1113.4,1608.0,1127.0,1165.9,1325.0,1064.6,1174.7,1248.0,1163.1,,1104.0,1181.6,,,1102.0,1201.8,1146.0,1129.8,,,1058.0,1156.0,1295.0,1158.9,1128.0,1158.8,1114.9,1118.7,-13.6,481.0,0.0,38.9,198.0,-62.4,47.7,121.0,36.1,,-23.0,54.6,,,-25.0,74.8,19.0,2.8,,,-69.0,29.0,168.0,31.9,1.0,31.8,-12.1,-8.3,False,True,False,False,False,False,False,False,,False,False,,,False,False,False,True,,,False,False,False,False,True,False,True,True
North Dakota,74,81.4,99.0,84.0,80.5,79.0,68.5,89.1,79.0,85.6,,94.0,75.7,,,80.0,91.6,78.2,83.7,,82.8,60.0,137.0,86.0,77.0,79.0,71.2,84.1,80.9,7.4,25.0,10.0,6.5,5.0,-5.5,15.1,5.0,11.6,,20.0,1.7,,,6.0,17.6,4.2,9.7,,8.8,-14.0,63.0,12.0,3.0,5.0,-2.8,10.1,6.9,False,False,True,True,True,False,True,False,,False,True,,,True,False,True,False,,False,False,False,False,True,True,True,False,True
Ohio,2556,2571.0,2822.0,2595.0,2577.2,2527.0,2394.5,2525.5,2532.0,2634.9,,2484.0,2547.4,,,2645.0,2753.5,2531.3,2589.3,2648.5,2544.9,2606.5,2671.0,2496.0,2546.7,2515.0,2539.2,2556.4,2555.6,15.0,266.0,39.0,21.2,-29.0,-161.5,-30.5,-24.0,78.9,,-72.0,-8.6,,,89.0,197.5,-24.7,33.3,92.5,-11.1,50.5,115.0,-60.0,-9.3,-41.0,-16.8,0.4,-0.4,False,False,False,False,False,False,False,False,,False,True,,,False,False,False,False,False,True,False,False,False,True,False,False,True,True
Oklahoma,359,360.0,437.0,360.0,363.1,354.0,353.0,385.8,373.0,370.7,,357.0,361.6,,,349.0,405.7,362.7,355.8,,360.0,331.0,382.0,380.0,359.6,360.0,342.0,358.7,362.0,1.0,78.0,1.0,4.1,-5.0,-6.0,26.8,14.0,11.7,,-2.0,2.6,,,-10.0,46.7,3.7,-3.2,,1.0,-28.0,23.0,21.0,0.6,1.0,-17.0,-0.3,3.0,False,False,False,False,False,False,False,False,,False,False,,,False,False,False,False,,True,False,False,False,True,False,False,True,False
Oregon,173,171.6,199.0,169.0,170.2,163.0,164.2,198.4,171.0,171.1,,168.0,169.1,,,172.0,186.9,172.1,166.2,,172.1,150.0,165.0,191.0,172.1,170.0,167.1,168.0,169.4,-1.4,26.0,-4.0,-2.8,-10.0,-8.8,25.4,-2.0,-1.9,,-5.0,-3.9,,,-1.0,13.9,-0.9,-6.8,,-0.9,-23.0,-8.0,18.0,-0.9,-3.0,-5.9,-5.0,-3.6,False,False,False,False,False,False,False,False,,False,False,,,True,False,True,False,,True,False,False,False,True,False,False,False,False
Pennsylvania,6211,6275.6,6903.0,6325.0,6244.3,6155.0,5916.7,6218.3,6310.0,,,6283.0,6115.6,,,6201.0,6360.1,6236.3,6326.9,,6220.7,6430.5,6454.0,6084.0,6321.8,6197.0,5745.0,6236.6,6247.5,64.6,692.0,114.0,33.3,-56.0,-294.3,7.3,99.0,,,72.0,-95.4,,,-10.0,149.1,25.3,115.9,,9.7,219.5,243.0,-127.0,110.8,-14.0,-466.0,25.6,36.5,False,False,True,True,False,True,False,,,False,False,,,True,False,True,False,,True,False,False,False,False,True,False,True,True
Rhode Island,883,818.3,1009.0,833.0,818.0,802.0,764.4,805.4,821.0,,,831.0,836.5,,,839.0,790.5,800.9,851.1,,803.0,766.5,855.0,785.0,814.1,808.0,621.8,820.0,825.3,35.3,226.0,50.0,35.0,19.0,-18.6,22.4,38.0,,,48.0,53.5,,,56.0,7.5,17.9,68.1,,20.0,-16.5,72.0,2.0,31.1,25.0,-161.2,37.0,42.3,False,False,True,True,True,True,False,,,False,False,,,False,True,True,False,,True,True,False,True,True,True,False,False,False
South Carolina,599,590.6,671.0,591.0,602.5,637.0,530.4,645.2,629.0,609.3,,678.0,592.4,,,575.0,624.6,615.4,581.0,,627.0,535.0,604.0,712.0,589.0,608.0,580.4,584.8,596.8,-8.4,72.0,-8.0,3.5,38.0,-68.6,46.2,30.0,10.3,,79.0,-6.6,,,-24.0,25.6,16.4,-18.0,,28.0,-64.0,5.0,113.0,-10.0,9.0,-18.6,-14.2,-2.2,False,True,True,False,False,False,False,False,,False,True,,,False,False,False,False,,False,False,True,False,False,False,False,False,True
South Dakota,75,67.6,108.0,68.0,72.7,80.0,71.2,81.3,72.0,69.9,,68.0,68.5,,,70.0,84.4,71.1,70.8,,69.5,65.0,71.0,85.0,69.5,70.0,67.3,71.8,70.6,-7.4,33.0,-7.0,-2.3,5.0,-3.8,6.3,-3.0,-5.1,,-7.0,-6.5,,,-5.0,9.4,-3.9,-4.2,,-5.5,-10.0,-4.0,10.0,-5.5,-5.0,-7.7,-3.2,-4.4,False,True,True,True,True,True,True,True,,True,True,,,True,False,True,True,,True,False,True,False,True,True,False,True,True
