,actual_deaths,Baseline,CU-select,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,NotreDame-FRED,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_40,UChicago-CovidIL_60,UChicago-CovidIL_80,YYG-ParamSearch,error-Baseline,error-CU-select,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-NotreDame-FRED,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_40,error-UChicago-CovidIL_60,error-UChicago-CovidIL_80,error-YYG-ParamSearch,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_40,beat_baseline-UChicago-CovidIL_60,beat_baseline-UChicago-CovidIL_80,beat_baseline-YYG-ParamSearch
Montana,18,16.0,17.0,15.0,14.0,16.2,,21.0,,,,,,22.2,-2.0,-1.0,-3.0,-4.0,-1.8,,3.0,,,,,,4.2,True,False,False,True,,False,,,,,,False
Nebraska,215,148.3,2250.0,775.0,189.4,127.5,,432.8,,,,,,190.2,-66.7,2035.0,560.0,-25.6,-87.5,,217.8,,,,,,-24.8,False,False,True,False,,False,,,,,,True
Nevada,462,562.6,583.0,443.0,472.1,440.7,,454.3,,,,,,536.2,100.6,121.0,-19.0,10.1,-21.3,,-7.7,,,,,,74.2,False,True,True,True,,True,,,,,,True
New Hampshire,318,361.3,285.0,333.0,199.8,224.0,,221.2,,,,,,299.5,43.3,-33.0,15.0,-118.2,-94.0,,-96.8,,,,,,-18.5,True,True,False,False,,False,,,,,,True
New Jersey,14476,15983.1,12078.0,13221.0,14082.3,11754.0,,12703.5,,,,,,13835.5,3213.1,-692.0,451.0,1312.3,-1016.0,,-66.5,,,,,,1065.5,True,True,True,True,,True,,,,,,True
New Mexico,431,438.0,245.0,517.0,352.4,327.7,,306.8,,,,,,432.5,7.0,-186.0,86.0,-78.6,-103.3,,-124.2,,,,,,1.5,False,False,False,False,,False,,,,,,True
New York,31441,36029.9,31273.0,30537.0,31358.6,30410.5,,35788.1,,,,,,31680.8,5587.9,831.0,95.0,916.6,-31.5,,5346.1,,,,,,1238.8,True,True,True,True,,True,,,,,,True
North Carolina,1127,1195.4,2286.0,1518.0,1048.6,1042.5,,860.8,,,,,,1030.2,68.4,1159.0,391.0,-78.4,-84.5,,-266.2,,,,,,-96.8,False,False,False,False,,False,,,,,,False
North Dakota,74,83.6,256.0,86.0,72.0,64.7,,71.1,,,,,,99.1,9.6,182.0,12.0,-2.0,-9.3,,-2.9,,,,,,25.1,False,False,True,True,,True,,,,,,False
Ohio,2556,2807.9,3748.0,2352.0,2542.8,2204.6,3465.0,2105.0,,,,,,2619.6,251.9,1192.0,-204.0,-13.2,-351.4,909.0,-451.0,,,,,,63.6,False,True,True,False,False,False,,,,,,True
Oklahoma,359,437.1,418.0,399.0,426.8,397.2,,425.7,,,,,,436.6,78.1,59.0,40.0,67.8,38.2,,66.7,,,,,,77.6,True,True,True,True,,True,,,,,,True
Oregon,173,214.4,196.0,190.0,190.5,206.1,,199.2,,,,,,189.6,41.4,23.0,17.0,17.5,33.1,,26.2,,,,,,16.6,True,True,True,True,,True,,,,,,True
Pennsylvania,6211,9080.9,5977.0,7846.0,8427.0,6717.4,,4997.4,,,,,,7434.2,2869.9,-234.0,1635.0,2216.0,506.4,,-1213.6,,,,,,1223.2,True,True,True,True,,True,,,,,,True
Rhode Island,833,917.4,906.0,615.0,659.6,688.0,,749.5,,,,,,868.3,84.4,73.0,-218.0,-173.4,-145.0,,-83.5,,,,,,35.3,True,False,False,False,,True,,,,,,True
South Carolina,599,603.0,1036.0,659.0,670.7,562.0,,485.5,,,,,,654.4,4.0,437.0,60.0,71.7,-37.0,,-113.5,,,,,,55.4,False,False,False,False,,False,,,,,,False
South Dakota,75,97.1,363.0,61.0,100.0,118.2,,56.9,,,,,,91.7,22.1,288.0,-14.0,25.0,43.2,,-18.1,,,,,,16.7,False,True,False,False,,True,,,,,,True
Tennessee,472,403.3,630.0,460.0,441.8,290.5,,436.6,,,,,,347.8,-68.7,158.0,-12.0,-30.2,-181.5,,-35.4,,,,,,-124.2,False,True,True,False,,True,,,,,,False
Texas,1971,2143.1,4547.0,1523.0,2043.8,1698.5,,1863.1,,,,,,2415.9,172.1,2576.0,-448.0,72.8,-272.5,,-107.9,,,,,,444.9,False,False,True,False,,True,,,,,,False
Utah,139,149.6,327.0,100.0,126.5,113.3,,110.0,,,,,,151.1,10.6,188.0,-39.0,-12.5,-25.7,,-29.0,,,,,,12.1,False,False,False,False,,False,,,,,,False
Vermont,55,53.0,55.0,62.0,52.3,58.5,,71.4,,,,,,71.1,-2.0,0.0,7.0,-2.7,3.5,,16.4,,,,,,16.1,True,False,False,False,,False,,,,,,False
Virginia,1541,1708.4,1991.0,2203.0,1314.7,1598.5,,1545.0,,,,,,1749.2,167.4,450.0,662.0,-226.3,57.5,,4.0,,,,,,208.2,False,False,False,True,,True,,,,,,False
Washington,1213,1402.1,1419.0,1013.0,1100.3,1230.3,,1262.6,,,,,,1213.1,189.1,206.0,-200.0,-112.7,17.3,,49.6,,,,,,0.1,False,False,True,True,,True,,,,,,True
West Virginia,88,83.1,70.0,90.0,71.3,90.5,,75.3,,,,,,97.1,-4.9,-18.0,2.0,-16.7,2.5,,-12.7,,,,,,9.1,False,True,False,True,,False,,,,,,False
Wisconsin,691,696.3,926.0,893.0,612.8,607.2,868.5,757.1,,,,,,595.8,5.3,235.0,202.0,-78.2,-83.8,177.5,66.1,,,,,,-95.2,False,False,False,False,False,False,,,,,,False
Wyoming,18,7.0,7.0,18.0,6.0,11.3,,13.4,,,,,,14.5,-11.0,-11.0,0.0,-12.0,-6.7,,-4.6,,,,,,-3.5,False,True,False,True,,True,,,,,,True
US,117939,137054.0,129693.0,127676.0,121372.9,106353.1,,115483.9,,,,,,123667.2,22150.0,14789.0,12772.0,6468.9,-8550.9,,579.9,,,,,,8763.2,True,True,True,True,,True,,,,,,True
