,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,GT-DeepCOVID,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_increase,UChicago-CovidIL_30_increase,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-GT-DeepCOVID,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_10_increase,error-UChicago-CovidIL_30_increase,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-GT-DeepCOVID,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_10_increase,beat_baseline-UChicago-CovidIL_30_increase,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,2447,2396.9,2222.6,2458.0,2090.7,1900.0,2346.6,2166.8,1871.0,3976.2,1961.9,1947.0,2120.8,,2324.0,1947.0,2056.7,,,,,2048.0,1855.2,1817.7,2407.0,-50.1,11.0,-356.3,-547.0,-100.4,-280.2,-576.0,1529.2,-485.1,-500.0,-326.2,,-123.0,-500.0,-390.3,,,,,-399.0,-591.8,-629.3,-40.0,True,False,False,False,False,False,False,False,False,False,,False,False,False,,,,,False,False,False,True
Hawaii,17,17.0,17.0,29.0,21.6,18.0,,19.0,,28.6,17.9,19.0,21.2,,17.0,21.0,21.3,,,,,18.0,19.0,20.3,22.7,0.0,12.0,4.6,1.0,,2.0,,11.6,0.9,2.0,4.2,,0.0,4.0,4.3,,,,,1.0,2.0,3.3,5.7,False,False,False,,False,,False,False,False,False,,True,False,False,,,,,False,False,False,False
Idaho,87,96.1,91.0,120.0,92.9,103.0,90.0,81.0,75.0,310.5,93.2,83.0,88.0,,78.0,132.0,99.8,,,,,87.0,82.9,92.1,87.5,9.1,33.0,5.9,16.0,3.0,-6.0,-12.0,223.5,6.2,-4.0,1.0,,-9.0,45.0,12.8,,,,,0.0,-4.1,5.1,0.5,False,True,False,True,True,False,False,True,True,True,,True,False,False,,,,,True,True,True,True
Illinois,6289,7150.9,6492.4,7660.0,6759.1,6378.0,6608.3,7462.6,6642.5,11370.7,5958.8,7666.0,7418.4,7796.0,8227.5,5964.0,6775.4,8764.1,8775.4,8764.1,8795.3,6198.0,5761.2,5353.6,7519.0,861.9,1371.0,470.1,89.0,319.3,1173.6,353.5,5081.7,-330.2,1377.0,1129.4,1507.0,1938.5,-325.0,486.4,2475.1,2486.4,2475.1,2506.3,-91.0,-527.8,-935.4,1230.0,False,True,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False
Indiana,2413,2688.3,2480.8,2857.0,2624.3,2475.0,3012.9,2211.1,2327.0,4361.1,2382.6,2667.0,3436.1,4334.0,3252.0,3003.0,2290.2,,,,,2390.0,2522.6,2210.8,2968.4,275.3,444.0,211.3,62.0,599.9,-201.9,-86.0,1948.1,-30.4,254.0,1023.1,1921.0,839.0,590.0,-122.8,,,,,-23.0,109.6,-202.2,555.4,False,True,True,False,True,True,False,True,True,False,False,False,False,True,,,,,True,True,True,False
Iowa,650,682.7,609.3,796.0,792.4,769.0,754.6,749.6,516.0,1925.2,561.2,732.0,972.2,,1060.0,524.0,683.6,,,,,578.0,416.3,639.9,893.5,32.7,146.0,142.4,119.0,104.6,99.6,-134.0,1275.2,-88.8,82.0,322.2,,410.0,-126.0,33.6,,,,,-72.0,-233.7,-10.1,243.5,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,,,False,False,True,False
Kansas,245,276.0,258.1,358.0,258.6,274.0,241.5,281.8,262.0,719.9,224.9,459.0,262.7,,253.5,223.0,266.0,,,,,230.0,357.6,233.6,262.9,31.0,113.0,13.6,29.0,-3.5,36.8,17.0,474.9,-20.1,214.0,17.7,,8.5,-22.0,21.0,,,,,-15.0,112.6,-11.4,17.9,False,True,True,True,False,True,False,True,False,True,,True,True,True,,,,,True,False,True,True
Kentucky,499,449.7,424.1,509.0,442.0,607.0,492.9,464.4,425.0,894.6,435.2,569.0,447.0,503.5,470.0,743.0,418.9,,,,,406.0,581.7,386.7,444.2,-49.3,10.0,-57.0,108.0,-6.1,-34.6,-74.0,395.6,-63.8,70.0,-52.0,4.5,-29.0,244.0,-80.1,,,,,-93.0,82.7,-112.3,-54.8,True,False,False,True,True,False,False,False,False,False,True,True,False,False,,,,,False,False,False,False
Louisiana,3004,3281.7,3106.6,3377.0,3024.5,2929.0,3029.5,3028.0,2883.0,3481.1,3374.1,2576.0,2871.2,,3051.5,2838.0,2947.2,,,,,3064.0,2695.1,2667.1,3083.6,277.7,373.0,20.5,-75.0,25.5,24.0,-121.0,477.1,370.1,-428.0,-132.8,,47.5,-166.0,-56.8,,,,,60.0,-308.9,-336.9,79.6,False,True,True,True,True,True,False,False,False,True,,True,True,True,,,,,True,False,False,True
Maine,100,93.1,88.0,117.0,109.6,114.0,92.5,79.5,240.0,150.1,108.4,110.0,82.5,,75.0,168.0,100.1,,,,,96.0,105.7,86.9,92.0,-6.9,17.0,9.6,14.0,-7.5,-20.5,140.0,50.1,8.4,10.0,-17.5,,-25.0,68.0,0.1,,,,,-4.0,5.7,-13.1,-8.0,False,False,False,False,False,False,False,False,False,False,,False,False,True,,,,,True,True,False,False
Maryland,2926,3334.3,3037.1,3256.0,2971.1,2975.0,,3187.5,2940.0,4154.9,2807.4,3737.0,3247.0,,3192.0,3707.0,3057.9,,,,,2932.0,2762.8,2515.5,3131.1,408.3,330.0,45.1,49.0,,261.5,14.0,1228.9,-118.6,811.0,321.0,,266.0,781.0,131.9,,,,,6.0,-163.2,-410.5,205.1,True,True,True,,True,True,False,True,False,True,,True,False,True,,,,,True,True,False,True
Massachusetts,7576,8952.1,8253.5,9120.0,8106.4,7223.0,,8246.5,7969.0,10542.0,7686.0,8530.0,9436.9,,8407.5,8375.0,8365.5,,,,,7810.0,6441.5,6836.7,8012.2,1376.1,1544.0,530.4,-353.0,,670.5,393.0,2966.0,110.0,954.0,1860.9,,831.5,799.0,789.5,,,,,234.0,-1134.5,-739.3,436.2,False,True,True,,True,True,False,True,True,False,,True,True,True,,,,,True,True,True,True
Michigan,6013,6439.3,6148.1,6553.0,5850.5,5668.0,5855.5,5855.4,5721.5,6321.8,6178.2,5873.0,5998.7,5928.5,5284.5,5538.0,5858.2,,,,,5534.0,4896.7,5227.6,5874.7,426.3,540.0,-162.5,-345.0,-157.5,-157.6,-291.5,308.8,165.2,-140.0,-14.3,-84.5,-728.5,-475.0,-154.8,,,,,-479.0,-1116.3,-785.4,-138.3,False,True,True,True,True,True,True,True,True,True,True,False,False,True,,,,,False,False,False,True
Minnesota,1314,1321.1,1190.5,1718.0,1401.2,4658.0,,1422.8,1241.0,1618.0,1200.6,3404.0,1747.7,2122.0,1428.0,2525.0,1384.3,,,,,1246.0,1885.9,1286.2,1354.8,7.1,404.0,87.2,3344.0,,108.8,-73.0,304.0,-113.4,2090.0,433.7,808.0,114.0,1211.0,70.3,,,,,-68.0,571.9,-27.8,40.8,False,False,False,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
Mississippi,889,872.0,794.3,1056.0,937.3,897.0,,840.0,659.0,1802.3,800.4,839.0,1098.1,,1136.0,1150.0,802.2,,,,,816.0,761.1,674.9,1035.4,-17.0,167.0,48.3,8.0,,-49.0,-230.0,913.3,-88.6,-50.0,209.1,,247.0,261.0,-86.8,,,,,-73.0,-127.9,-214.1,146.4,False,False,True,,False,False,False,False,False,False,,False,False,False,,,,,False,False,False,False
Missouri,885,1056.7,977.3,1047.0,897.9,751.0,,1102.5,892.0,1574.5,833.4,864.0,900.4,,1076.0,1011.0,840.7,,,,,841.0,755.0,788.0,1084.6,171.7,162.0,12.9,-134.0,,217.5,7.0,689.5,-51.6,-21.0,15.4,,191.0,126.0,-44.3,,,,,-44.0,-130.0,-97.0,199.6,True,True,True,,False,True,False,True,True,True,,False,True,True,,,,,True,True,True,False
Montana,18,16.0,16.0,24.0,24.5,17.0,19.5,12.0,16.0,94.7,17.0,16.0,19.7,,16.0,21.0,19.6,,,,,17.0,17.7,22.6,19.5,-2.0,6.0,6.5,-1.0,1.5,-6.0,-2.0,76.7,-1.0,-2.0,1.7,,-2.0,3.0,1.6,,,,,-1.0,-0.3,4.6,1.5,False,False,True,True,False,False,False,True,False,True,,False,False,True,,,,,True,True,False,True
Nebraska,215,250.3,222.1,335.0,306.7,586.0,,197.9,293.0,798.6,160.9,369.0,328.9,,170.0,857.0,305.4,,,,,230.0,140.8,199.9,252.7,35.3,120.0,91.7,371.0,,-17.1,78.0,583.6,-54.1,154.0,113.9,,-45.0,642.0,90.4,,,,,15.0,-74.2,-15.1,37.7,False,False,False,,True,False,False,False,False,False,,False,False,False,,,,,True,False,True,False
Nevada,462,504.3,470.1,529.0,480.3,433.0,,510.4,501.0,311.9,502.8,444.0,469.0,,548.0,389.0,474.9,,,,,486.0,452.6,430.6,505.5,42.3,67.0,18.3,-29.0,,48.4,39.0,-150.1,40.8,-18.0,7.0,,86.0,-73.0,12.9,,,,,24.0,-9.4,-31.4,43.5,False,True,True,,False,True,False,True,True,True,,False,False,True,,,,,True,True,True,False
New Hampshire,318,322.4,289.1,310.0,330.5,288.0,,285.3,275.0,713.5,250.6,350.0,534.0,,562.0,188.0,312.7,,,,,316.0,271.2,291.5,356.6,4.4,-8.0,12.5,-30.0,,-32.7,-43.0,395.5,-67.4,32.0,216.0,,244.0,-130.0,-5.3,,,,,-2.0,-46.8,-26.5,38.6,False,False,False,,False,False,False,False,False,False,,False,False,False,,,,,True,False,False,False
New Jersey,12621,14632.9,13687.4,14701.0,12848.3,11791.0,,13392.4,12945.0,14923.7,12293.4,12572.0,13281.5,,13712.5,13043.0,12610.1,,,,,12506.0,10912.0,11344.5,13485.4,2011.9,2080.0,227.3,-830.0,,771.4,324.0,2302.7,-327.6,-49.0,660.5,,1091.5,422.0,-10.9,,,,,-115.0,-1709.0,-1276.5,864.4,False,True,True,,True,True,False,True,True,True,,True,True,True,,,,,True,True,True,True
New Mexico,431,515.7,460.2,465.0,472.2,272.0,,448.7,327.0,584.0,419.9,514.0,625.0,,584.0,549.0,564.7,,,,,465.0,430.9,433.0,534.7,84.7,34.0,41.2,-159.0,,17.7,-104.0,153.0,-11.1,83.0,194.0,,153.0,118.0,133.7,,,,,34.0,-0.1,2.0,103.7,True,True,False,,True,False,False,True,True,False,,False,False,False,,,,,True,True,True,False
New York,30795,34368.7,33009.9,35041.0,31516.6,30077.0,,31660.7,32434.0,29972.7,31789.9,30209.0,31413.2,,27234.5,27567.0,31251.3,,,,,30902.0,29007.7,29361.5,31532.7,3573.7,4246.0,721.6,-718.0,,865.7,1639.0,-822.3,994.9,-586.0,618.2,,-3560.5,-3228.0,456.3,,,,,107.0,-1787.3,-1433.5,737.7,False,True,True,,True,True,True,True,True,True,,True,True,True,,,,,True,True,True,True
North Carolina,1127,1156.6,1052.4,1442.0,1249.9,2139.0,,1387.2,712.0,2435.8,1140.5,1450.0,1100.8,,1224.5,2336.0,1100.1,,,,,1146.0,1279.7,924.7,1113.9,29.6,315.0,122.9,1012.0,,260.2,-415.0,1308.8,13.5,323.0,-26.2,,97.5,1209.0,-26.9,,,,,19.0,152.7,-202.3,-13.1,False,False,False,,False,False,False,True,False,True,,False,False,True,,,,,True,False,False,True
North Dakota,74,73.9,67.0,90.0,81.9,110.0,,100.0,76.0,123.3,86.0,82.0,102.9,,67.0,249.0,66.0,,,,,82.0,83.2,69.6,88.3,-0.1,16.0,7.9,36.0,,26.0,2.0,49.3,12.0,8.0,28.9,,-7.0,175.0,-8.0,,,,,8.0,9.2,-4.4,14.3,False,False,False,,False,False,False,False,False,False,,False,False,False,,,,,False,False,False,False
Ohio,2556,2720.4,2477.9,2344.0,2385.0,2561.0,,2613.7,2115.5,4362.5,2263.8,2333.0,2748.2,3465.0,3339.0,2322.0,2407.0,,,,,2316.0,2643.6,2127.6,2810.6,164.4,-212.0,-171.0,5.0,,57.7,-440.5,1806.5,-292.2,-223.0,192.2,909.0,783.0,-234.0,-149.0,,,,,-240.0,87.6,-428.4,254.6,False,False,True,,True,False,False,False,False,False,False,False,False,True,,,,,False,True,False,False
Oklahoma,359,349.7,336.0,428.0,364.5,371.0,329.2,355.3,290.0,533.7,399.3,395.0,354.7,,404.0,570.0,388.3,,,,,353.0,405.1,308.6,375.4,-9.3,69.0,5.5,12.0,-29.8,-3.7,-69.0,174.7,40.3,36.0,-4.3,,45.0,211.0,29.3,,,,,-6.0,46.1,-50.4,16.4,False,True,False,False,True,False,False,False,False,True,,False,False,False,,,,,True,False,False,False
Oregon,173,175.6,167.0,248.0,179.0,203.0,,201.9,156.0,404.4,166.0,195.0,180.7,,180.0,206.0,193.9,,,,,169.0,195.7,163.4,172.8,2.6,75.0,6.0,30.0,,28.9,-17.0,231.4,-7.0,22.0,7.7,,7.0,33.0,20.9,,,,,-4.0,22.7,-9.6,-0.2,False,False,False,,False,False,False,False,False,False,,False,False,False,,,,,False,False,False,True
Pennsylvania,6211,7152.6,6564.1,6597.0,6476.2,5997.0,6251.4,7804.3,6230.0,10163.0,5785.2,7478.0,8536.1,,8318.5,7006.0,6253.9,,,,,6039.0,5122.7,5478.1,7050.9,941.6,386.0,265.2,-214.0,40.4,1593.3,19.0,3952.0,-425.8,1267.0,2325.1,,2107.5,795.0,42.9,,,,,-172.0,-1088.3,-732.9,839.9,True,True,True,True,False,True,False,True,False,False,,False,True,True,,,,,True,False,True,True
Rhode Island,833,796.0,730.2,859.0,768.9,1081.0,,714.7,948.0,257.3,704.8,638.0,910.9,,814.0,829.0,755.2,,,,,684.0,539.1,623.6,781.5,-37.0,26.0,-64.1,248.0,,-118.3,115.0,-575.7,-128.2,-195.0,77.9,,-19.0,-4.0,-77.8,,,,,-149.0,-293.9,-209.4,-51.5,True,False,False,,False,False,False,False,False,False,,True,True,False,,,,,False,False,False,False
South Carolina,599,593.3,547.2,594.0,565.4,588.0,,479.4,400.0,1034.1,593.9,653.0,693.6,,776.0,423.0,551.6,,,,,532.0,539.2,480.2,668.6,-5.7,-5.0,-33.6,-11.0,,-119.6,-199.0,435.1,-5.1,54.0,94.6,,177.0,-176.0,-47.4,,,,,-67.0,-59.8,-118.8,69.6,True,False,False,,False,False,False,True,False,False,,False,False,False,,,,,False,False,False,False
South Dakota,75,82.6,74.0,124.0,121.8,106.0,,102.9,120.0,354.6,61.9,84.0,117.7,,75.0,146.0,63.7,,,,,72.0,55.3,141.3,92.8,7.6,49.0,46.8,31.0,,27.9,45.0,279.6,-13.1,9.0,42.7,,0.0,71.0,-11.3,,,,,-3.0,-19.7,66.3,17.8,False,False,False,,False,False,False,False,False,False,,True,False,False,,,,,True,False,False,False
Tennessee,472,510.1,463.2,644.0,530.0,588.0,,436.1,515.0,1375.8,360.9,441.0,520.0,,355.0,572.0,472.4,,,,,407.0,434.6,375.9,421.8,38.1,172.0,58.0,116.0,,-35.9,43.0,903.8,-111.1,-31.0,48.0,,-117.0,100.0,0.4,,,,,-65.0,-37.4,-96.1,-50.2,False,False,False,,True,False,False,False,True,False,,False,False,True,,,,,False,True,False,False
Texas,1971,2303.4,2090.8,2678.0,2555.5,2502.0,,2453.9,1798.0,6571.0,2004.3,1774.0,2138.1,,2213.5,3007.0,2182.2,,,,,2542.0,2258.1,1838.0,2674.1,332.4,707.0,584.5,531.0,,482.9,-173.0,4600.0,33.3,-197.0,167.1,,242.5,1036.0,211.2,,,,,571.0,287.1,-133.0,703.1,False,False,False,,False,True,False,True,True,True,,True,False,True,,,,,False,True,True,False
Utah,139,130.1,119.0,225.0,163.0,179.0,,125.1,88.0,579.0,122.6,115.0,122.8,,158.0,366.0,113.6,,,,,128.0,127.7,125.0,144.7,-8.9,86.0,24.0,40.0,,-13.9,-51.0,440.0,-16.4,-24.0,-16.2,,19.0,227.0,-25.4,,,,,-11.0,-11.3,-14.0,5.7,False,False,False,,False,False,False,False,False,False,,False,False,False,,,,,False,False,False,True
Vermont,55,57.9,57.0,71.0,61.3,55.0,,49.0,53.0,100.0,57.2,57.0,63.1,,61.5,59.0,68.4,,,,,57.0,62.6,60.6,64.2,2.9,16.0,6.3,0.0,,-6.0,-2.0,45.0,2.2,2.0,8.1,,6.5,4.0,13.4,,,,,2.0,7.6,5.6,9.2,False,False,True,,False,True,False,True,True,False,,False,False,False,,,,,True,False,False,False
Virginia,1541,1669.6,1523.5,1942.0,1581.3,2163.0,1557.5,1687.3,1399.0,2505.2,1495.8,2012.0,1652.3,,1841.0,2728.0,1547.2,,,,,1700.0,1740.7,1337.1,1664.2,128.6,401.0,40.3,622.0,16.5,146.3,-142.0,964.2,-45.2,471.0,111.3,,300.0,1187.0,6.2,,,,,159.0,199.7,-203.9,123.2,False,True,False,True,False,False,False,True,False,True,,False,False,True,,,,,False,False,False,True
Washington,1213,1271.0,1211.2,1401.0,1236.2,1266.0,1397.6,1205.2,1231.0,2054.5,1187.9,1089.0,1191.6,,1270.0,2315.0,1184.9,,,,,1169.0,1155.6,1192.3,1199.9,58.0,188.0,23.2,53.0,184.6,-7.8,18.0,841.5,-25.1,-124.0,-21.4,,57.0,1102.0,-28.1,,,,,-44.0,-57.4,-20.7,-13.1,False,True,True,False,True,True,False,True,False,True,,True,False,True,,,,,True,True,True,True
West Virginia,88,117.1,106.0,105.0,103.3,69.0,,95.2,63.0,345.8,93.4,88.0,133.2,,77.0,108.0,94.4,,,,,109.0,90.7,102.7,100.1,29.1,17.0,15.3,-19.0,,7.2,-25.0,257.8,5.4,0.0,45.2,,-11.0,20.0,6.4,,,,,21.0,2.7,14.7,12.1,True,True,True,,True,True,False,True,True,False,,True,True,True,,,,,True,True,True,True
Wisconsin,691,657.4,612.2,875.0,666.1,1051.0,,651.5,705.0,1314.8,661.5,863.0,619.4,868.5,598.0,1433.0,635.4,,,,,662.0,814.7,577.0,622.0,-33.6,184.0,-24.9,360.0,,-39.5,14.0,623.8,-29.5,172.0,-71.6,177.5,-93.0,742.0,-55.6,,,,,-29.0,123.7,-114.0,-69.0,False,True,False,,False,True,False,True,False,False,False,False,False,False,,,,,True,False,False,False
Wyoming,18,11.9,11.0,23.0,18.2,7.0,,4.0,7.0,76.9,12.5,12.0,12.2,,8.5,25.0,11.3,,,,,13.0,8.3,12.0,12.1,-6.1,5.0,0.2,-11.0,,-14.0,-11.0,58.9,-5.5,-6.0,-5.8,,-9.5,7.0,-6.7,,,,,-5.0,-9.7,-6.0,-5.9,True,True,False,,False,False,False,True,True,True,,False,False,False,,,,,True,False,True,True
US,115436,128607.1,120035.0,,113363.5,119170.0,108454.7,122886.3,113922.0,168180.7,112717.0,120960.0,115446.6,,123098.5,127920.0,119009.6,,,,,115007.0,107115.8,104391.1,123284.3,13171.1,,-2072.5,3734.0,-6981.3,7450.3,-1514.0,52744.7,-2719.0,5524.0,10.6,,7662.5,12484.0,3573.6,,,,,-429.0,-8320.2,-11044.9,7848.3,,True,True,True,True,True,False,True,True,True,,True,True,True,,,,,True,True,True,True
