,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,2447,2472.7,2425.9,2626.0,2351.0,2236.0,2125.0,2340.4,2408.8,2482.0,2319.9,2387.0,2575.8,2357.0,2271.0,2283.4,,2380.0,2309.0,2481.0,2337.2,2291.0,2112.4,2376.3,2472.7,25.7,179.0,-96.0,-211.0,-322.0,-106.6,-38.2,35.0,-127.1,-60.0,128.8,-90.0,-176.0,-163.6,,-67.0,-138.0,34.0,-109.8,-156.0,-334.6,-70.7,25.7,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
Hawaii,17,17.0,17.0,27.0,18.2,17.0,17.5,23.2,,,17.4,,20.5,17.7,17.0,18.1,,17.0,27.0,19.0,17.8,17.0,17.5,17.9,18.2,0.0,10.0,1.2,0.0,0.5,6.2,,,0.4,,3.5,0.7,0.0,1.1,,0.0,10.0,2.0,0.8,0.0,0.5,0.9,1.2,False,False,True,False,False,,,False,,False,False,True,False,,True,False,False,False,True,False,False,False
Idaho,87,87.6,86.9,125.0,92.0,87.0,87.2,106.4,90.4,,91.7,84.0,113.8,96.3,86.0,86.4,,84.0,82.0,104.0,87.1,89.0,80.6,88.3,86.7,0.6,38.0,5.0,0.0,0.2,19.4,3.4,,4.7,-3.0,26.8,9.3,-1.0,-0.6,,-3.0,-5.0,17.0,0.1,2.0,-6.4,1.3,-0.3,False,False,True,True,False,False,,False,False,False,False,False,True,,False,False,False,True,False,False,False,True
Illinois,6289,6381.7,6271.0,7652.0,6302.4,6343.0,5762.0,6187.3,5832.9,,5974.4,6747.0,6614.1,6078.0,6312.0,6482.2,5949.5,6957.0,6343.0,6089.0,6521.1,6114.0,6021.5,6223.8,6199.8,92.7,1363.0,13.4,54.0,-527.0,-101.7,-456.1,,-314.6,458.0,325.1,-211.0,23.0,193.2,-339.5,668.0,54.0,-200.0,232.1,-175.0,-267.5,-65.2,-89.2,False,True,True,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True
Indiana,2413,2427.4,2394.7,2800.0,2441.5,2401.0,2224.7,2572.3,2264.6,,2189.7,2610.0,2489.8,2444.3,2408.0,2511.6,2214.0,2510.5,2263.0,2366.0,2373.1,2431.0,2279.6,2385.1,2441.5,14.4,387.0,28.5,-12.0,-188.3,159.3,-148.4,,-223.3,197.0,76.8,31.3,-5.0,98.6,-199.0,97.5,-150.0,-47.0,-39.9,18.0,-133.4,-27.9,28.5,False,False,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Iowa,650,681.7,665.3,828.0,711.7,725.0,567.6,735.3,676.9,,754.8,605.0,820.0,686.3,653.0,757.2,,680.0,794.0,697.0,648.5,676.0,574.9,702.1,702.0,31.7,178.0,61.7,75.0,-82.4,85.3,26.9,,104.8,-45.0,170.0,36.3,3.0,107.2,,30.0,144.0,47.0,-1.5,26.0,-75.1,52.1,52.0,False,False,False,False,False,True,,False,False,False,False,True,False,,True,False,False,True,True,False,False,False
Kansas,245,233.6,231.5,358.0,245.2,274.0,242.3,248.2,227.9,,223.8,268.0,295.3,226.9,241.0,232.1,,236.0,233.0,239.0,252.1,228.0,225.2,227.1,235.8,-11.4,113.0,0.2,29.0,-2.7,3.2,-17.1,,-21.2,23.0,50.3,-18.1,-4.0,-12.9,,-9.0,-12.0,-6.0,7.1,-17.0,-19.8,-17.9,-9.2,False,True,False,True,True,False,,False,False,False,False,True,False,,True,False,True,True,False,False,False,True
Kentucky,499,505.3,497.0,552.0,526.1,524.0,436.2,594.5,,,496.5,482.0,592.6,494.8,504.0,495.7,421.0,477.0,470.0,580.0,556.5,523.0,494.4,496.2,497.3,6.3,53.0,27.1,25.0,-62.8,95.5,,,-2.5,-17.0,93.6,-4.2,5.0,-3.3,-78.0,-22.0,-29.0,81.0,57.5,24.0,-4.6,-2.8,-1.7,False,False,False,False,False,,,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True
Louisiana,3004,2976.7,2956.0,3381.0,2988.4,2907.0,2856.9,3140.0,2920.9,,2880.8,2913.0,2979.1,3124.4,2875.0,2927.3,,3090.0,2874.0,3252.0,3011.5,2991.0,1911.3,2914.3,2995.0,-27.3,377.0,-15.6,-97.0,-147.1,136.0,-83.1,,-123.2,-91.0,-24.9,120.4,-129.0,-76.7,,86.0,-130.0,248.0,7.5,-13.0,-1092.7,-89.7,-9.0,False,True,False,False,False,False,,False,False,True,False,False,False,,False,False,False,True,True,False,False,True
Maine,100,109.4,107.1,118.0,106.5,132.0,89.2,102.6,112.2,,110.8,105.0,114.8,102.4,110.0,99.9,,85.0,265.0,119.0,94.9,114.0,106.6,103.7,98.6,9.4,18.0,6.5,32.0,-10.8,2.6,12.2,,10.8,5.0,14.8,2.4,10.0,-0.1,,-15.0,165.0,19.0,-5.1,14.0,6.6,3.7,-1.4,False,True,False,False,True,False,,False,True,False,True,False,True,,False,False,False,True,False,True,True,True
Maryland,2926,3005.6,2952.7,3362.0,3038.8,3124.0,2738.2,3239.5,,,2701.2,3224.0,3024.5,2962.0,3086.0,2942.2,,2946.5,3110.0,2907.0,3162.9,2974.0,2902.1,2931.3,2987.0,79.6,436.0,112.8,198.0,-187.8,313.5,,,-224.8,298.0,98.5,36.0,160.0,16.2,,20.5,184.0,-19.0,236.9,48.0,-23.9,5.3,61.0,False,False,False,False,False,,,False,False,False,True,False,True,,True,False,True,False,True,True,True,True
Massachusetts,7576,7726.3,7628.0,8229.0,7536.9,7436.0,7108.8,7766.8,,,7767.5,8011.0,7526.6,7489.1,7444.0,7692.4,,7559.0,7182.0,7207.0,7634.2,7309.0,7104.8,7484.3,7527.0,150.3,653.0,-39.1,-140.0,-467.2,190.8,,,191.5,435.0,-49.4,-86.9,-132.0,116.4,,-17.0,-394.0,-369.0,58.2,-267.0,-471.2,-91.7,-49.0,False,True,True,False,False,,,False,False,True,True,True,True,,True,False,False,True,False,False,True,True
Michigan,6013,6223.1,6168.2,6300.0,5876.2,5748.0,5624.5,6053.0,5866.1,,5702.6,5826.0,6031.0,6071.7,5712.0,5777.8,4027.0,5611.5,5729.0,6117.0,5892.0,5874.0,5149.5,5781.0,5847.5,210.1,287.0,-136.8,-265.0,-388.5,40.0,-146.9,,-310.4,-187.0,18.0,58.7,-301.0,-235.2,-1986.0,-401.5,-284.0,104.0,-121.0,-139.0,-863.5,-232.0,-165.5,False,True,False,False,True,True,,False,True,True,True,False,False,False,False,False,True,True,True,False,False,True
Minnesota,1314,1369.4,1333.8,1659.0,1415.1,1541.0,1310.9,1384.6,1340.2,,1328.9,1260.0,1508.3,1321.0,1527.0,1414.7,1462.5,1282.0,1218.0,1532.0,1340.1,1402.0,1245.8,1354.7,1355.4,55.4,345.0,101.1,227.0,-3.1,70.6,26.2,,14.9,-54.0,194.3,7.0,213.0,100.7,148.5,-32.0,-96.0,218.0,26.1,88.0,-68.2,40.7,41.4,False,False,False,True,False,True,,True,True,False,True,False,False,False,True,False,False,True,False,False,True,True
Mississippi,889,936.4,913.8,993.0,947.2,923.0,745.4,969.3,930.9,,861.3,764.0,977.5,950.7,922.0,958.3,,992.0,886.0,889.0,864.3,957.0,874.9,955.8,946.3,47.4,104.0,58.2,34.0,-143.6,80.3,41.9,,-27.7,-125.0,88.5,61.7,33.0,69.3,,103.0,-3.0,0.0,-24.7,68.0,-14.1,66.8,57.3,False,False,True,False,False,True,,True,False,False,False,True,False,,False,True,True,True,False,True,False,False
Missouri,885,899.4,889.9,942.0,956.8,949.0,745.6,1010.6,961.5,,856.6,946.0,1029.1,921.9,916.0,926.5,,952.0,961.0,942.0,963.3,980.0,835.4,955.0,949.8,14.4,57.0,71.8,64.0,-139.4,125.6,76.5,,-28.4,61.0,144.1,36.9,31.0,41.5,,67.0,76.0,57.0,78.3,95.0,-49.6,70.0,64.8,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
Montana,18,18.9,18.6,24.0,19.7,17.0,17.4,20.2,20.6,,16.0,17.0,33.7,21.7,17.0,17.9,,16.0,21.0,23.0,18.5,19.0,15.1,18.3,18.3,0.9,6.0,1.7,-1.0,-0.6,2.2,2.6,,-2.0,-1.0,15.7,3.7,-1.0,-0.1,,-2.0,3.0,5.0,0.5,1.0,-2.9,0.3,0.3,False,False,False,True,False,False,,False,False,False,False,False,True,,False,False,False,True,False,False,True,True
Nebraska,215,212.7,207.9,372.0,243.4,333.0,214.6,281.3,210.2,,256.2,281.0,304.3,209.5,215.0,225.0,,219.0,207.0,309.0,227.6,214.0,183.2,221.0,221.4,-2.3,157.0,28.4,118.0,-0.4,66.3,-4.8,,41.2,66.0,89.3,-5.5,0.0,10.0,,4.0,-8.0,94.0,12.6,-1.0,-31.8,6.0,6.4,False,False,False,True,False,False,,False,False,False,False,True,False,,False,False,False,False,True,False,False,False
Nevada,462,485.7,478.0,537.0,477.3,472.0,431.1,524.6,,,523.8,548.0,501.8,471.7,471.0,466.0,,482.0,476.0,478.0,476.0,473.0,446.0,470.4,468.9,23.7,75.0,15.3,10.0,-30.9,62.6,,,61.8,86.0,39.8,9.7,9.0,4.0,,20.0,14.0,16.0,14.0,11.0,-16.0,8.4,6.9,False,True,True,False,False,,,False,False,False,True,True,True,,True,True,True,True,True,True,True,True
New Hampshire,318,311.9,304.4,355.0,311.9,287.0,231.7,287.0,309.0,,304.9,261.0,339.5,321.4,332.0,328.0,,304.0,311.0,282.0,302.3,283.0,283.0,323.9,314.9,-6.1,37.0,-6.1,-31.0,-86.3,-31.0,-9.0,,-13.1,-57.0,21.5,3.4,14.0,10.0,,-14.0,-7.0,-36.0,-15.7,-35.0,-35.0,5.9,-3.1,False,True,False,False,False,False,,False,False,False,True,False,False,,False,False,False,False,False,False,True,True
New Jersey,12621,12738.0,12621.9,14058.0,12524.5,12316.0,11981.0,12692.0,,,12282.8,12869.0,12433.6,12772.4,12339.0,12546.6,,12938.0,12669.0,12409.0,12678.2,12482.0,11524.3,12336.1,12555.0,117.0,1437.0,-96.5,-305.0,-640.0,71.0,,,-338.2,248.0,-187.4,151.4,-282.0,-74.4,,317.0,48.0,-212.0,57.2,-139.0,-1096.7,-284.9,-66.0,False,True,False,False,True,,,False,False,False,False,False,True,,False,True,False,True,False,False,False,True
New Mexico,431,428.4,420.3,533.0,434.2,409.0,358.8,470.2,431.5,,440.4,412.0,450.4,421.3,434.0,450.7,,436.0,448.0,441.0,436.6,417.0,389.2,433.4,433.3,-2.6,102.0,3.2,-22.0,-72.2,39.2,0.5,,9.4,-19.0,19.4,-9.7,3.0,19.7,,5.0,17.0,10.0,5.6,-14.0,-41.8,2.4,2.3,False,False,False,False,False,True,,False,False,False,False,False,False,,False,False,False,False,False,False,True,True
New York,30795,30978.1,30844.8,34968.0,30606.1,30664.0,30698.9,30976.0,,,30838.6,31807.0,29954.8,30933.8,30171.0,30423.0,,29373.0,29498.0,30541.0,30590.1,30496.0,28678.4,30336.8,30701.2,183.1,4173.0,-188.9,-131.0,-96.1,181.0,,,43.6,1012.0,-840.2,138.8,-624.0,-372.0,,-1422.0,-1297.0,-254.0,-204.9,-299.0,-2116.6,-458.2,-93.8,False,False,True,True,True,,,True,False,False,True,False,False,,False,False,False,False,False,False,False,True
North Carolina,1127,1221.1,1189.4,1384.0,1291.4,1780.0,980.9,1165.9,,,1149.0,1022.0,1349.0,1267.0,1298.0,1165.0,,1178.0,1006.0,1547.0,1191.7,1296.0,1247.7,1143.8,1177.8,94.1,257.0,164.4,653.0,-146.1,38.9,,,22.0,-105.0,222.0,140.0,171.0,38.0,,51.0,-121.0,420.0,64.7,169.0,120.7,16.8,50.8,False,False,False,False,True,,,True,False,False,False,False,True,,True,False,False,True,False,False,True,True
North Dakota,74,75.9,74.2,97.0,81.6,82.0,66.4,99.3,70.9,,72.7,90.0,100.4,68.1,81.0,79.3,,72.0,191.0,77.0,71.5,72.0,73.4,87.1,78.9,1.9,23.0,7.6,8.0,-7.6,25.3,-3.1,,-1.3,16.0,26.4,-5.9,7.0,5.3,,-2.0,117.0,3.0,-2.5,-2.0,-0.6,13.1,4.9,False,False,False,False,False,False,,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
Ohio,2556,2500.4,2461.9,3094.0,2616.1,2767.0,2279.5,2572.9,2692.6,,2636.4,2638.0,3071.3,2532.2,2524.0,2624.2,2234.0,2184.5,2686.0,2473.0,2532.9,2511.0,2338.9,2513.7,2551.6,-55.6,538.0,60.1,211.0,-276.5,16.9,136.6,,80.4,82.0,515.3,-23.8,-32.0,68.2,-322.0,-371.5,130.0,-83.0,-23.1,-45.0,-217.1,-42.3,-4.4,False,False,False,False,True,False,,False,False,False,True,True,False,False,False,False,False,True,True,False,True,True
Oklahoma,359,376.7,371.9,438.0,376.5,370.0,343.7,398.9,394.6,,351.8,331.0,448.5,352.7,386.0,355.4,,361.0,351.0,388.0,359.8,368.0,368.8,366.0,375.8,17.7,79.0,17.5,11.0,-15.3,39.9,35.6,,-7.2,-28.0,89.5,-6.3,27.0,-3.6,,2.0,-8.0,29.0,0.8,9.0,9.8,7.0,16.8,False,True,True,True,False,False,,True,False,False,True,False,True,,True,True,False,True,True,True,True,True
Oregon,173,162.3,161.2,216.0,175.3,177.0,160.8,203.3,166.7,,163.3,167.0,215.0,171.2,171.0,164.3,,173.0,158.0,181.0,173.3,165.0,170.0,161.6,163.3,-10.7,43.0,2.3,4.0,-12.2,30.3,-6.3,,-9.7,-6.0,42.0,-1.8,-2.0,-8.7,,0.0,-15.0,8.0,0.3,-8.0,-3.0,-11.4,-9.7,False,True,True,False,False,True,,True,True,False,True,True,True,,True,False,True,True,True,True,False,True
Pennsylvania,6211,6333.1,6246.3,7258.0,6305.4,6261.0,5708.1,6082.6,,,6026.1,5792.0,6704.0,6268.9,6376.0,6480.4,,6461.5,6243.0,5791.0,6366.1,6234.0,5604.4,6127.2,6251.8,122.1,1047.0,94.4,50.0,-502.9,-128.4,,,-184.9,-419.0,493.0,57.9,165.0,269.4,,250.5,32.0,-420.0,155.1,23.0,-606.6,-83.8,40.8,False,True,True,False,False,,,False,False,False,True,False,False,,False,True,False,False,True,False,True,True
Rhode Island,833,922.3,899.5,931.0,861.3,794.0,701.1,839.2,,,888.7,858.0,903.7,835.5,810.0,927.2,,936.0,,785.0,818.1,911.0,619.3,887.3,882.9,89.3,98.0,28.3,-39.0,-131.9,6.2,,,55.7,25.0,70.7,2.5,-23.0,94.2,,103.0,,-48.0,-14.9,78.0,-213.7,54.3,49.9,False,True,True,False,True,,,True,True,True,True,True,False,,False,,True,True,True,False,True,True
South Carolina,599,603.6,591.3,627.0,613.6,638.0,496.0,632.4,598.0,,553.7,540.0,657.7,652.7,613.0,574.7,,567.0,581.0,753.0,585.0,606.0,578.3,581.8,613.7,4.6,28.0,14.6,39.0,-103.0,33.4,-1.0,,-45.3,-59.0,58.7,53.7,14.0,-24.3,,-32.0,-18.0,154.0,-14.0,7.0,-20.7,-17.2,14.7,False,False,False,False,False,True,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
South Dakota,75,84.3,81.8,130.0,83.1,74.0,70.1,96.1,93.7,,60.0,65.0,111.4,72.6,78.0,81.2,,80.0,69.0,87.0,72.1,80.0,69.2,88.7,83.6,9.3,55.0,8.1,-1.0,-4.9,21.1,18.7,,-15.0,-10.0,36.4,-2.4,3.0,6.2,,5.0,-6.0,12.0,-2.9,5.0,-5.8,13.7,8.6,False,True,True,True,False,False,,False,False,False,True,True,True,,True,True,False,True,True,True,False,True
Tennessee,472,416.0,410.2,692.0,459.3,676.0,429.6,460.5,471.0,,477.4,462.0,509.8,413.3,431.0,429.4,,413.0,405.0,642.0,403.2,423.0,400.8,419.2,429.5,-56.0,220.0,-12.7,204.0,-42.4,-11.5,-1.0,,5.4,-10.0,37.8,-58.7,-41.0,-42.6,,-59.0,-67.0,170.0,-68.8,-49.0,-71.2,-52.8,-42.5,False,True,False,True,True,True,,True,True,True,False,True,True,,False,False,False,False,True,False,True,True
Texas,1971,1948.0,1917.5,2515.0,2094.4,2258.0,1849.5,2209.0,,,1830.8,1898.0,2393.9,2120.9,2026.0,1955.1,,2056.0,1954.0,2740.0,2060.9,1977.0,1997.3,1974.8,2045.0,-23.0,544.0,123.4,287.0,-121.5,238.0,,,-140.2,-73.0,422.9,149.9,55.0,-15.9,,85.0,-17.0,769.0,89.9,6.0,26.3,3.8,74.0,False,False,False,False,False,,,False,False,False,False,False,True,,False,True,False,False,True,False,True,False
Utah,139,142.7,139.4,245.0,152.6,177.0,138.5,171.9,148.2,,146.1,144.0,172.6,155.7,141.0,144.7,,150.0,135.0,292.0,143.6,146.0,128.7,150.0,147.2,3.7,106.0,13.6,38.0,-0.5,32.9,9.2,,7.1,5.0,33.6,16.7,2.0,5.7,,11.0,-4.0,153.0,4.6,7.0,-10.3,11.0,8.2,False,False,False,True,False,False,,False,False,False,False,True,False,,False,False,False,False,False,False,False,False
Vermont,55,56.9,56.6,69.0,57.6,55.0,55.9,62.9,60.2,,56.4,55.0,61.2,57.3,55.0,57.4,,55.0,55.0,58.0,60.0,56.0,54.3,56.6,57.0,1.9,14.0,2.6,0.0,0.9,7.9,5.2,,1.4,0.0,6.2,2.3,0.0,2.4,,0.0,0.0,3.0,5.0,1.0,-0.7,1.6,2.0,False,False,True,True,False,False,,True,True,False,False,True,False,,True,True,False,False,True,True,True,False
Virginia,1541,1753.9,1711.6,1986.0,1805.7,2199.0,1503.7,1920.6,,,1841.7,1794.0,1865.8,1674.8,1777.0,1730.4,,1580.0,1650.0,1842.0,1767.2,1781.0,1729.4,1667.8,1702.3,212.9,445.0,264.7,658.0,-37.3,379.6,,,300.7,253.0,324.8,133.8,236.0,189.4,,39.0,109.0,301.0,226.2,240.0,188.4,126.8,161.3,False,False,False,True,False,,,False,False,False,True,False,True,,True,True,False,False,False,True,True,True
Washington,1213,1223.9,1212.0,1431.0,1215.5,1241.0,1156.2,1225.6,,,1147.0,1264.0,1252.6,1257.3,1189.0,1198.6,,1162.0,1175.0,1504.0,1186.8,1231.0,1143.5,1191.5,1199.5,10.9,218.0,2.5,28.0,-56.8,12.6,,,-66.0,51.0,39.6,44.3,-24.0,-14.4,,-51.0,-38.0,291.0,-26.2,18.0,-69.5,-21.5,-13.5,False,True,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
West Virginia,88,80.6,79.9,113.0,90.6,93.0,80.9,91.1,87.2,,94.6,77.0,121.4,94.9,85.0,84.1,,81.0,77.0,101.0,91.5,85.0,83.6,84.1,83.4,-7.4,25.0,2.6,5.0,-7.1,3.1,-0.8,,6.6,-11.0,33.4,6.9,-3.0,-3.9,,-7.0,-11.0,13.0,3.5,-3.0,-4.4,-3.9,-4.6,False,True,True,True,True,True,,True,False,False,True,True,True,,True,False,False,True,True,True,True,True
