,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
New Jersey,15869,26900.1,13443.6,15753.6,16257.0,15739.8,,46229.2,15821.5,,15577.0,15266.0,13649.2,16189.1,15758.5,11031.1,-2425.4,-115.4,388.0,-129.2,,30360.2,-47.5,,-292.0,-603.0,-2219.8,320.1,-110.5,True,True,True,True,,False,True,,True,True,True,True,True
New Mexico,681,626.7,665.7,672.6,688.0,670.4,,570.0,641.0,,608.0,590.7,609.0,613.7,658.9,-54.3,-15.3,-8.4,7.0,-10.6,,-111.0,-40.0,,-73.0,-90.3,-72.0,-67.3,-22.1,True,True,True,True,,False,True,,False,False,False,False,True
New York,32753,32990.1,31703.0,32646.5,31998.0,32437.1,,32036.3,31739.0,,31687.0,31767.0,32690.1,31931.7,32365.8,918.1,-369.0,574.5,-74.0,365.1,,-35.7,-333.0,,-385.0,-305.0,618.1,-140.3,293.8,True,True,True,True,,True,True,,True,True,True,True,True
North Carolina,2184,2107.6,2227.9,1835.6,1928.0,1900.2,,1653.9,1929.0,,1729.0,1886.1,1967.2,2028.9,2228.8,-76.4,43.9,-348.4,-256.0,-283.8,,-530.1,-255.0,,-455.0,-297.9,-216.8,-155.1,44.8,True,False,False,False,,False,False,,False,False,False,False,True
North Dakota,112,90.7,93.5,86.5,100.0,94.5,,132.0,163.0,,89.0,92.4,89.7,98.7,101.4,-21.3,-18.5,-25.5,-12.0,-17.5,,20.0,51.0,,-23.0,-19.6,-22.3,-13.3,-10.6,True,False,True,True,,True,False,,False,True,False,True,True
Ohio,3335,3433.7,3404.8,3576.2,3261.0,3537.0,4287.5,3060.1,3311.5,,3362.0,3472.8,3784.3,4182.7,3610.4,-161.3,-190.2,-18.8,-334.0,-58.0,692.5,-534.9,-283.5,,-233.0,-122.2,189.3,587.7,15.4,False,True,False,True,False,False,False,,False,True,False,False,True
Oklahoma,603,478.7,652.7,451.5,431.0,460.0,,460.1,404.0,,402.0,449.5,626.9,656.3,512.8,-124.3,49.7,-151.5,-172.0,-143.0,,-142.9,-199.0,,-201.0,-153.5,23.9,53.3,-90.2,True,False,False,False,,False,False,,False,False,True,True,True
Oregon,355,272.3,340.3,311.8,352.0,291.1,,367.4,225.0,,325.0,260.2,347.4,366.0,296.1,-82.7,-14.7,-43.2,-3.0,-63.9,,12.4,-130.0,,-30.0,-94.8,-7.6,11.0,-58.9,True,True,True,True,,True,False,,True,False,True,True,True
Pennsylvania,7310,7677.9,7374.9,7470.1,7373.0,7455.3,,6980.6,7239.5,,7386.0,7228.0,7288.6,7115.2,7773.7,367.9,64.9,160.1,63.0,145.3,,-329.4,-70.5,,76.0,-82.0,-21.4,-194.8,463.7,True,True,True,True,,True,True,,True,True,True,True,False
Rhode Island,1037,1120.3,1034.7,1155.8,1164.0,988.6,,1027.9,1095.5,,1069.0,1065.9,841.4,977.7,1150.2,127.3,41.7,162.8,171.0,-4.4,,34.9,102.5,,76.0,72.9,-151.6,-15.3,157.2,True,False,False,True,,True,True,,True,True,False,True,False
South Carolina,2007,1085.0,1745.2,1063.0,842.0,1148.6,,1019.1,1019.0,,865.0,858.4,1603.8,1459.3,1256.9,-922.0,-261.8,-944.0,-1165.0,-858.4,,-987.9,-988.0,,-1142.0,-1148.6,-403.2,-547.7,-750.1,True,False,False,True,,False,False,,False,False,True,True,True
South Dakota,146,149.6,118.0,152.8,110.0,120.8,,171.8,199.5,,144.0,103.7,109.8,116.2,147.1,3.6,-28.0,6.8,-36.0,-25.2,,25.8,53.5,,-2.0,-42.3,-36.2,-29.8,1.1,False,False,False,False,,False,False,,True,False,False,False,True
Tennessee,1215,923.7,1022.1,1076.1,1219.0,735.0,,861.3,885.5,,748.0,743.0,835.3,1038.1,1051.7,-291.3,-192.9,-138.9,4.0,-480.0,,-353.7,-329.5,,-467.0,-472.0,-379.7,-176.9,-163.3,True,True,True,False,,False,False,,False,False,False,True,True
Texas,9414,3637.9,5410.5,5009.0,3182.0,3300.2,,3281.7,3253.5,4408.0,3233.0,3770.9,5306.0,6795.9,4318.9,-5419.1,-3646.5,-4048.0,-5875.0,-5756.8,,-5775.3,-5803.5,-4649.0,-5824.0,-5286.1,-3751.0,-2261.1,-4738.1,True,True,False,False,,False,False,True,False,True,True,True,True
Utah,335,219.7,483.0,272.6,220.0,250.3,,373.2,357.5,,221.0,215.4,302.6,276.3,295.9,-115.3,148.0,-62.4,-115.0,-84.7,,38.2,22.5,,-114.0,-119.6,-32.4,-58.7,-39.1,False,True,True,True,,True,True,,True,False,True,True,True
Vermont,58,56.0,60.7,62.1,56.0,64.3,,64.9,56.0,,,60.8,51.2,57.7,60.4,-2.0,2.7,4.1,-2.0,6.3,,6.9,-2.0,,,2.8,-6.8,-0.3,2.4,False,False,False,False,,False,False,,,False,False,True,False
Virginia,2322,2440.7,2000.9,2047.8,2149.0,2030.4,,2102.4,1968.5,,2140.0,1878.8,1900.9,1869.1,2134.0,118.7,-321.1,-274.2,-173.0,-291.6,,-219.6,-353.5,,-182.0,-443.2,-421.1,-452.9,-188.0,False,False,False,False,,False,False,,False,False,False,False,False
Washington,1711,1544.3,1563.6,1591.3,1370.0,1517.5,,1535.7,1422.0,,1410.0,1391.2,1633.0,1721.4,1631.2,-184.7,-165.4,-137.7,-359.0,-211.5,,-193.3,-307.0,,-319.0,-337.8,-96.0,-7.6,-97.8,True,True,False,False,,False,False,,False,False,True,True,True
West Virginia,131,116.4,111.2,118.0,97.0,120.5,,151.3,93.0,,106.0,115.3,132.5,150.2,114.6,-14.6,-19.8,-13.0,-34.0,-10.5,,20.3,-38.0,,-25.0,-15.7,1.5,19.2,-16.4,False,True,False,True,,False,False,,False,False,True,False,False
Wisconsin,1043,970.3,964.5,1035.7,937.0,1034.1,1191.0,916.3,1005.5,,935.0,868.1,921.8,1149.8,1091.6,-36.7,-42.5,28.7,-70.0,27.1,184.0,-90.7,-1.5,,-72.0,-138.9,-85.2,142.8,84.6,False,True,False,True,False,False,True,,False,False,False,False,False
Wyoming,28,20.0,38.9,21.5,21.0,34.6,,52.5,20.0,,52.0,21.3,34.3,25.4,27.8,-8.0,10.9,-6.5,-7.0,6.6,,24.5,-8.0,,24.0,-6.7,6.3,-2.6,-0.2,False,True,True,True,,False,False,,False,True,True,True,True
US,162498,159915.0,152196.5,149782.0,134219.0,150034.1,,163882.5,148529.0,136299.0,140985.0,143479.8,155741.3,167498.8,152435.1,-1734.0,-9452.5,-11867.0,-27430.0,-11614.9,,2233.5,-13120.0,-25350.0,-20664.0,-18169.2,-5907.7,5849.8,-9213.9,False,False,False,False,,False,False,False,False,False,False,False,False
