,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
New Hampshire,419,634.4,300.9,362.0,558.7,361.6,215.4,-118.1,-57.0,139.7,-57.4,True,True,True,True
New Jersey,15869,23488.9,13607.8,13137.0,13741.7,10969.9,9374.9,-506.2,-977.0,-372.3,-3144.1,True,True,True,True
New Mexico,681,1035.7,501.2,329.0,1066.0,559.3,354.7,-179.8,-352.0,385.0,-121.7,True,True,False,True
New York,32753,47096.7,31332.9,32770.0,32217.5,29119.8,15082.7,-681.1,756.0,203.5,-2894.2,True,True,True,True
North Carolina,2184,2132.6,2468.1,765.0,1528.2,2019.5,-51.4,284.1,-1419.0,-655.8,-164.5,False,False,False,False
North Dakota,112,137.9,127.7,89.0,85.6,119.6,25.9,15.7,-23.0,-26.4,7.6,True,True,False,True
Ohio,3668,4992.4,2852.0,2144.0,2995.2,3516.3,1324.4,-816.0,-1524.0,-672.8,-151.7,True,False,True,True
Oklahoma,603,477.7,356.4,296.0,443.7,529.2,-125.3,-246.6,-307.0,-159.3,-73.8,False,False,False,True
Oregon,355,255.6,221.3,159.0,248.7,285.4,-99.4,-133.7,-196.0,-106.3,-69.6,False,False,False,True
Pennsylvania,7310,12664.6,9163.6,6370.0,7675.8,5454.5,5354.6,1853.6,-940.0,365.8,-1855.5,True,True,True,True
Rhode Island,1025,1412.0,744.0,1396.0,916.8,547.4,436.0,-232.0,420.0,-59.2,-428.6,True,True,True,True
South Carolina,2007,1025.3,464.5,429.0,701.7,677.6,-981.7,-1542.5,-1578.0,-1305.3,-1329.4,False,False,False,False
South Dakota,146,162.6,120.0,259.0,78.3,57.1,16.6,-26.0,113.0,-67.7,-88.9,False,False,False,False
Tennessee,1215,950.1,481.6,861.0,639.3,523.4,-264.9,-733.4,-354.0,-575.7,-691.6,False,False,False,False
Texas,9058,4295.4,3634.0,2472.0,2957.4,3618.8,-4694.6,-5356.0,-6518.0,-6032.6,-5371.2,False,False,False,False
Utah,335,234.1,149.0,88.0,143.9,185.9,-100.9,-186.0,-247.0,-191.1,-149.1,False,False,False,False
Vermont,58,65.9,53.0,53.0,77.4,64.4,7.9,-5.0,-5.0,19.4,6.4,True,True,False,True
Virginia,2322,3037.6,1910.3,1454.0,1897.7,2161.1,715.6,-411.7,-868.0,-424.3,-160.9,True,False,True,True
Washington,1688,1831.0,1218.3,1256.0,1317.4,1264.6,143.0,-469.7,-432.0,-370.6,-423.4,False,False,False,False
West Virginia,131,221.1,107.6,64.0,119.0,120.0,90.1,-23.4,-67.0,-12.0,-11.0,True,True,True,True
Wisconsin,996,1081.4,716.1,1335.0,748.1,1204.2,85.4,-279.9,339.0,-247.9,208.2,False,False,False,False
Wyoming,28,19.9,7.0,7.0,14.1,11.5,-8.1,-21.0,-21.0,-13.9,-16.5,False,False,False,False
US,162419,208560.3,139388.1,124489.5,137153.5,119024.7,49083.3,-20088.9,-34987.5,-22323.5,-40452.3,True,True,True,True
