,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Michigan,6520,6597.4,6344.5,6387.2,6882.0,,6564.7,6297.2,6417.0,77.4,-175.5,-132.8,362.0,,44.7,-222.8,-103.0,False,False,False,,True,False,False
Minnesota,1689,1981.1,1841.2,1758.9,2086.0,,1804.8,1502.9,2119.6,292.1,152.2,69.9,397.0,,115.8,-186.1,430.6,True,True,False,,True,True,False
Mississippi,1874,1260.3,1504.1,1175.0,1124.0,,1169.9,1194.3,1451.6,-613.7,-369.9,-699.0,-750.0,,-704.1,-679.7,-422.4,True,False,False,,False,False,True
Missouri,1327,1513.6,1261.6,1773.9,1190.0,,1534.6,1397.7,1293.5,196.6,-55.4,456.9,-127.0,,217.6,80.7,-23.5,True,False,True,,False,True,True
Montana,75,26.9,26.3,29.1,26.0,,23.1,20.5,27.6,-48.1,-48.7,-45.9,-49.0,,-51.9,-54.5,-47.4,False,True,False,,False,False,True
Nebraska,345,442.9,337.5,402.9,296.0,,327.8,263.9,466.7,97.9,-7.5,57.9,-49.0,,-17.2,-81.1,121.7,True,True,True,,True,True,False
Nevada,949,651.6,677.0,681.0,647.0,,624.1,773.6,679.6,-297.4,-272.0,-268.0,-302.0,,-324.9,-175.4,-269.4,True,True,False,,False,True,True
New Hampshire,419,469.3,465.0,547.7,340.0,,475.9,431.3,501.3,50.3,46.0,128.7,-79.0,,56.9,12.3,82.3,True,False,False,,False,True,False
New Jersey,15869,14859.0,13422.5,13649.6,13920.0,,13963.6,12994.9,13615.1,853.0,-583.5,-356.4,-86.0,,-42.4,-1011.1,-390.9,True,True,True,,True,False,True
New Mexico,681,702.1,663.0,702.2,532.0,,590.5,556.7,674.9,21.1,-18.0,21.2,-149.0,,-90.5,-124.3,-6.1,True,False,False,,False,False,True
New York,32753,33182.1,31655.8,31762.8,32275.0,,31879.4,32712.6,31793.0,1158.1,-368.2,-261.2,251.0,,-144.6,688.6,-231.0,True,True,True,,True,True,True
North Carolina,2184,1784.1,2332.1,1704.7,1880.0,,1982.8,2249.1,1953.2,-369.9,178.1,-449.3,-274.0,,-171.2,95.1,-200.8,True,False,True,,True,True,True
North Dakota,112,97.6,91.5,88.6,93.0,,95.3,87.4,116.2,-14.4,-20.5,-23.4,-19.0,,-16.7,-24.6,4.2,False,False,False,,False,False,True
Ohio,3668,3666.9,3317.3,3385.1,3190.0,,3306.2,3411.3,3788.1,-1.1,-350.7,-282.9,-478.0,,-361.8,-256.7,120.1,False,False,False,,False,False,False
Oklahoma,603,437.6,476.6,472.4,616.0,,420.4,671.0,497.6,-165.4,-126.4,-130.6,13.0,,-182.6,68.0,-105.4,True,True,True,,False,True,True
Oregon,355,270.3,265.7,392.4,244.0,,237.6,372.8,272.1,-82.7,-87.3,39.4,-109.0,,-115.4,19.8,-80.9,False,True,False,,False,True,True
Pennsylvania,7310,7849.3,7691.2,7297.4,6753.0,,7301.0,7329.2,7381.4,539.3,381.2,-12.6,-557.0,,-9.0,19.2,71.4,True,True,False,,True,True,True
Rhode Island,1025,1312.3,1047.4,1092.7,1008.0,,1073.3,792.9,1159.5,301.3,36.4,81.7,-3.0,,62.3,-218.1,148.5,True,True,True,,True,True,True
South Carolina,2007,1016.4,1649.7,981.7,993.0,,1100.8,1924.6,1231.1,-990.6,-357.3,-1025.3,-1014.0,,-906.2,-82.4,-775.9,True,False,False,,True,True,True
South Dakota,146,122.1,114.3,144.1,92.0,,98.1,103.2,139.7,-23.9,-31.7,-1.9,-54.0,,-47.9,-42.8,-6.3,False,True,False,,False,False,True
Tennessee,1215,882.6,851.8,860.6,1068.0,,712.1,837.6,955.5,-332.4,-363.2,-354.4,-147.0,,-502.9,-377.4,-259.5,False,False,True,,False,False,True
Texas,9058,3610.4,3867.5,5464.3,4245.0,5276.0,3362.9,4760.5,4190.0,-5270.6,-5013.5,-3416.7,-4636.0,-3605.0,-5518.1,-4120.5,-4691.0,True,True,True,True,False,True,True
Utah,335,288.3,505.4,289.6,271.0,,211.2,342.2,316.8,-46.7,170.4,-45.4,-64.0,,-123.8,7.2,-18.2,False,True,False,,False,True,True
Vermont,58,62.9,63.1,61.9,57.0,,62.8,52.2,61.0,4.9,5.1,3.9,-1.0,,4.8,-5.8,3.0,False,True,True,,True,False,True
Virginia,2322,2056.7,2061.9,1752.3,1878.0,,1839.8,1811.8,2020.2,-265.3,-260.1,-569.7,-444.0,,-482.2,-510.2,-301.8,True,False,False,,False,False,False
Washington,1688,1633.4,1508.5,1566.6,1469.0,,1367.6,1661.6,1648.6,-54.6,-179.5,-121.4,-219.0,,-320.4,-26.4,-39.4,False,False,False,,False,True,True
West Virginia,131,95.9,102.7,105.7,89.0,,120.3,131.2,113.4,-35.1,-28.3,-25.3,-42.0,,-10.7,0.2,-17.6,True,True,False,,True,True,True
Wisconsin,996,1100.6,961.8,955.3,926.0,,861.7,888.7,1116.8,104.6,-34.2,-40.7,-70.0,,-134.3,-107.3,120.8,True,True,True,,False,False,False
Wyoming,28,33.7,29.0,20.0,18.0,,21.5,35.5,38.4,5.7,1.0,-8.0,-10.0,,-6.5,7.5,10.4,True,False,False,,False,False,False
US,162419,149002.1,145835.0,148163.1,140812.0,134597.0,133326.8,148694.1,147924.0,-10590.9,-13758.0,-11429.9,-18781.0,-24996.0,-26266.2,-10898.9,-11669.0,False,False,False,False,False,False,False
