,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,4186,4099.7,4103.0,4144.1,4072.0,4297.0,,4071.6,4300.0,4055.8,4016.2,3974.7,3956.8,3971.0,4237.7,3988.9,4236.4,3870.5,4090.7,3664.8,4172.7,,3491.3,4230.1,3634.0,,3743.7,,4231.0,4284.1,,4011.0,3809.9,4302.0,4089.0,3930.5,4130.6,4380.0,-86.3,-83.0,-41.9,-114.0,111.0,,-114.4,114.0,-130.2,-169.8,-211.3,-229.2,-215.0,51.7,-197.1,50.4,-315.5,-95.3,-521.2,-13.3,,-694.7,44.1,-552.0,,-442.3,,45.0,98.1,,-175.0,-376.1,116.0,-97.0,-255.5,-55.4,194.0,True,True,False,False,,False,False,False,False,False,False,False,True,False,True,False,False,False,True,,False,True,False,,False,,True,False,,False,False,False,False,False,True,False
Hawaii,31,29.7,31.0,30.0,32.0,36.0,,28.3,28.0,36.6,,,26.8,,31.2,37.9,30.9,33.6,26.4,26.2,30.7,,37.3,31.8,45.0,,27.8,,33.0,28.1,,32.0,,30.8,33.0,34.0,30.5,,-1.3,0.0,-1.0,1.0,5.0,,-2.7,-3.0,5.6,,,-4.2,,0.2,6.9,-0.1,2.6,-4.6,-4.8,-0.3,,6.3,0.8,14.0,,-3.2,,2.0,-2.9,,1.0,,-0.2,2.0,3.0,-0.5,,True,True,True,False,,False,False,False,,,False,,True,False,True,False,False,False,True,,False,True,False,,False,,False,False,,True,,True,False,False,True,
Idaho,235,196.1,200.0,194.0,198.0,198.0,,257.8,201.0,286.2,196.2,,152.5,191.0,234.7,243.5,195.9,177.9,184.5,176.3,198.3,,178.3,195.4,300.0,,162.8,,227.0,193.9,,187.0,,199.3,206.0,355.0,207.1,,-38.9,-35.0,-41.0,-37.0,-37.0,,22.8,-34.0,51.2,-38.8,,-82.5,-44.0,-0.3,8.5,-39.1,-57.1,-50.5,-58.7,-36.7,,-56.7,-39.6,65.0,,-72.2,,-8.0,-41.1,,-48.0,,-35.7,-29.0,120.0,-27.9,,True,False,True,True,,True,True,False,True,,False,False,True,True,False,False,False,False,True,,False,False,False,,False,,True,False,,False,,True,True,False,True,
Illinois,7840,7779.4,7808.0,7802.9,7861.0,7958.0,,7782.1,7636.0,7754.0,7949.8,,7695.9,7870.0,7792.9,7757.9,7804.2,7811.8,7772.7,8123.7,7846.9,7910.0,7680.7,7826.4,7773.0,,7955.5,,7861.0,7833.2,,7787.0,8057.8,8163.5,7787.0,7730.0,7788.8,7517.0,-60.6,-32.0,-37.1,21.0,118.0,,-57.9,-204.0,-86.0,109.8,,-144.1,30.0,-47.1,-82.1,-35.8,-28.2,-67.3,283.7,6.9,70.0,-159.3,-13.6,-67.0,,115.5,,21.0,-6.8,,-53.0,217.8,323.5,-53.0,-110.0,-51.2,-323.0,True,True,True,False,,True,False,False,False,,False,True,True,False,True,True,False,False,True,False,False,True,False,,False,,True,True,,True,False,False,True,False,True,False
Indiana,3036,3053.4,3052.0,3045.0,3096.0,3099.0,,2995.6,3107.0,3020.4,3080.3,,2993.4,2996.0,3134.9,2935.1,3057.6,3037.6,3050.2,3204.4,3175.9,3141.5,2959.0,3083.4,2956.0,,3141.0,,3114.0,3054.2,,3093.0,3044.9,3274.0,3076.0,3108.0,3101.0,3161.0,17.4,16.0,9.0,60.0,63.0,,-40.4,71.0,-15.6,44.3,,-42.6,-40.0,98.9,-100.9,21.6,1.6,14.2,168.4,139.9,105.5,-77.0,47.4,-80.0,,105.0,,78.0,18.2,,57.0,8.9,238.0,40.0,72.0,65.0,125.0,True,True,False,False,,False,False,True,False,,False,False,False,False,False,True,True,False,False,False,False,False,False,,False,,False,False,,False,True,False,False,False,False,False
Iowa,927,895.9,905.0,900.0,895.0,895.0,,928.5,888.0,875.4,905.0,,919.9,886.0,928.3,950.6,957.2,873.2,886.1,893.3,950.0,,867.0,898.5,842.0,,870.7,,896.0,885.8,,883.0,891.3,962.0,897.0,915.5,919.6,,-31.1,-22.0,-27.0,-32.0,-32.0,,1.5,-39.0,-51.6,-22.0,,-7.1,-41.0,1.3,23.6,30.2,-53.8,-40.9,-33.7,23.0,,-60.0,-28.5,-85.0,,-56.3,,-31.0,-41.2,,-44.0,-35.7,35.0,-30.0,-11.5,-7.4,,True,True,False,False,,True,False,False,True,,True,False,True,True,True,False,False,False,True,,False,True,False,,False,,True,False,,False,False,False,True,True,True,
Kansas,380,371.9,378.0,371.0,377.0,428.0,,427.4,354.0,380.7,,,339.8,395.0,407.7,435.6,359.2,356.1,371.8,362.1,364.2,,344.9,377.3,358.0,,407.8,,388.0,375.6,,368.0,,403.9,366.0,400.0,370.9,,-8.1,-2.0,-9.0,-3.0,48.0,,47.4,-26.0,0.7,,,-40.2,15.0,27.7,55.6,-20.8,-23.9,-8.2,-17.9,-15.8,,-35.1,-2.7,-22.0,,27.8,,8.0,-4.4,,-12.0,,23.9,-14.0,20.0,-9.1,,True,False,True,False,,False,False,True,,,False,False,False,False,False,False,False,False,False,,False,True,False,,False,,True,True,,False,,False,False,False,False,
Kentucky,772,755.7,770.0,754.0,787.0,870.0,,774.4,816.0,803.8,767.2,,779.0,749.0,783.4,854.0,822.2,762.6,772.7,877.7,762.7,786.0,815.8,775.0,787.0,,780.6,,782.0,741.1,,791.0,754.3,845.6,765.0,813.0,799.7,,-16.3,-2.0,-18.0,15.0,98.0,,2.4,44.0,31.8,-4.8,,7.0,-23.0,11.4,82.0,50.2,-9.4,0.7,105.7,-9.3,14.0,43.8,3.0,15.0,,8.6,,10.0,-30.9,,19.0,-17.7,73.6,-7.0,41.0,27.7,,True,False,True,False,,True,False,False,True,,True,False,True,False,False,True,True,False,True,True,False,True,True,,True,,True,False,,False,False,False,True,False,False,
Louisiana,4207,4171.6,4109.0,4126.9,4206.0,4285.0,,3934.7,4254.0,4275.0,4141.5,,3963.7,4176.0,4329.2,4022.9,4155.7,4128.3,4125.2,3780.5,4252.8,,3856.2,4118.1,3961.0,,4058.9,,4320.0,4209.6,,4206.0,,4646.8,4173.0,4297.5,4115.0,4228.0,-35.4,-98.0,-80.1,-1.0,78.0,,-272.3,47.0,68.0,-65.5,,-243.3,-31.0,122.2,-184.1,-51.3,-78.7,-81.8,-426.5,45.8,,-350.8,-88.9,-246.0,,-148.1,,113.0,2.6,,-1.0,,439.8,-34.0,90.5,-92.0,21.0,False,False,True,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,,False,False,False,,False,,False,True,,True,,False,True,False,False,True
Maine,125,122.7,124.0,123.0,123.0,118.0,,119.2,122.0,125.4,127.0,,127.2,133.0,122.9,130.6,125.1,122.1,119.4,128.8,122.4,,124.1,123.7,121.0,,123.1,,122.0,120.2,,123.0,124.0,127.0,124.0,128.0,123.4,,-2.3,-1.0,-2.0,-2.0,-7.0,,-5.8,-3.0,0.4,2.0,,2.2,8.0,-2.1,5.6,0.1,-2.9,-5.6,3.8,-2.6,,-0.9,-1.3,-4.0,,-1.9,,-3.0,-4.8,,-2.0,-1.0,2.0,-1.0,3.0,-1.6,,True,True,True,False,,False,False,True,True,,True,False,True,False,True,False,False,False,False,,True,True,False,,True,,False,False,,True,True,True,True,False,True,
Maryland,3577,3557.0,3570.0,3563.2,3586.0,3702.0,,3534.7,3586.0,3522.5,3639.8,,3627.5,3627.0,3572.5,3609.4,3551.1,3571.2,3558.9,3595.1,3534.1,,3542.0,3610.5,3507.0,,3563.5,,3622.0,3572.8,,3587.0,,3764.8,3577.0,3621.0,3591.7,3609.0,-20.0,-7.0,-13.8,9.0,125.0,,-42.3,9.0,-54.5,62.8,,50.5,50.0,-4.5,32.4,-25.9,-5.8,-18.1,18.1,-42.9,,-35.0,33.5,-70.0,,-13.5,,45.0,-4.2,,10.0,,187.8,0.0,44.0,14.7,32.0,True,True,True,False,,False,True,False,False,,False,False,True,False,False,True,True,True,False,,False,False,False,,True,,False,True,,True,,False,True,False,True,False
Massachusetts,8721,8711.0,8670.0,8701.1,8709.0,8726.0,,8466.6,8567.0,8666.8,8773.3,,8919.0,8622.0,8677.9,8668.0,8597.3,8836.6,8677.0,8420.7,8783.7,,8581.2,8720.9,8564.5,,8709.4,,8705.0,8672.4,,8704.0,,8759.5,8743.0,8820.0,8648.2,8528.0,-10.0,-51.0,-19.9,-12.0,5.0,,-254.4,-154.0,-54.2,52.3,,198.0,-99.0,-43.1,-53.0,-123.7,115.6,-44.0,-300.3,62.7,,-139.8,-0.1,-156.5,,-11.6,,-16.0,-48.6,,-17.0,,38.5,22.0,99.0,-72.8,-193.0,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,True,False,,False,,False,False,,False,,False,False,False,False,False
Michigan,6520,6463.1,6482.0,6475.8,6526.0,6539.0,,6507.3,6584.0,6486.0,6596.2,,6631.8,6573.0,6536.7,6546.5,6528.5,6519.9,6465.5,6941.6,6439.0,9074.0,6595.8,6466.7,6428.5,,6571.0,,6483.0,6465.6,,6480.0,6552.6,7000.6,6461.0,6479.0,6464.9,6472.0,-56.9,-38.0,-44.2,6.0,19.0,,-12.7,64.0,-34.0,76.2,,111.8,53.0,16.7,26.5,8.5,-0.1,-54.5,421.6,-81.0,2554.0,75.8,-53.3,-91.5,,51.0,,-37.0,-54.4,,-40.0,32.6,480.6,-59.0,-41.0,-55.1,-48.0,True,True,True,True,,True,False,True,False,,False,True,True,True,True,True,True,False,False,False,False,True,False,,True,,True,True,,True,True,False,False,True,True,True
Minnesota,1689,1675.3,1691.0,1677.0,1686.0,1770.0,,1752.6,1684.0,1650.4,1702.9,,1676.4,1674.0,1716.8,1663.6,1709.7,1690.0,1679.2,1726.3,1691.3,1684.0,1632.5,1684.7,1623.0,,,,1699.0,1673.6,,1685.0,1722.4,1844.6,1681.0,1658.0,1690.3,,-13.7,2.0,-12.0,-3.0,81.0,,63.6,-5.0,-38.6,13.9,,-12.6,-15.0,27.8,-25.4,20.7,1.0,-9.8,37.3,2.3,-5.0,-56.5,-4.3,-66.0,,,,10.0,-15.4,,-4.0,33.4,155.6,-8.0,-31.0,1.3,,True,True,True,False,,False,True,False,False,,True,False,False,False,False,True,True,False,True,True,False,True,False,,,,True,False,,True,False,False,True,False,True,
Mississippi,1874,1749.3,1743.0,1741.8,1768.0,1891.0,,1775.3,1781.0,1795.6,1827.1,,1733.4,1653.0,1840.8,1755.2,1701.2,1721.8,1751.8,1717.4,1758.0,,1685.5,1831.7,1776.0,,1607.7,,1879.0,1745.1,,1802.0,1714.8,1822.4,1822.0,1802.5,1752.0,1755.0,-124.7,-131.0,-132.2,-106.0,17.0,,-98.7,-93.0,-78.4,-46.9,,-140.6,-221.0,-33.2,-118.8,-172.8,-152.2,-122.2,-156.6,-116.0,,-188.5,-42.3,-98.0,,-266.3,,5.0,-128.9,,-72.0,-159.2,-51.6,-52.0,-71.5,-122.0,-119.0,False,False,True,True,,True,True,True,True,,False,False,True,True,False,False,True,False,True,,False,True,True,,False,,True,False,,True,False,True,True,True,True,True
Missouri,1327,1344.6,1346.0,1328.0,1345.0,1525.0,,1354.7,1447.0,1337.0,1294.0,,1287.1,1292.0,1426.6,1401.2,1302.6,1334.6,1340.8,1331.0,1339.7,,1277.4,1392.9,1281.0,,1315.8,,1407.0,1361.8,,1423.0,1290.2,1438.7,1394.0,1356.0,1348.1,,17.6,19.0,1.0,18.0,198.0,,27.7,120.0,10.0,-33.0,,-39.9,-35.0,99.6,74.2,-24.4,7.6,13.8,4.0,12.7,,-49.6,65.9,-46.0,,-11.2,,80.0,34.8,,96.0,-36.8,111.7,67.0,29.0,21.1,,False,True,False,False,,False,False,True,False,,False,False,False,False,False,True,True,True,True,,False,False,False,,True,,False,False,,False,False,False,False,False,False,
Montana,75,62.7,64.0,64.0,67.0,47.0,,54.5,59.0,84.4,64.5,,49.2,51.0,65.0,78.8,75.7,63.2,58.0,68.1,75.7,,82.0,69.0,83.0,,49.2,,75.0,59.7,,67.0,,63.4,60.0,99.0,66.2,,-12.3,-11.0,-11.0,-8.0,-28.0,,-20.5,-16.0,9.4,-10.5,,-25.8,-24.0,-10.0,3.8,0.7,-11.8,-17.0,-6.9,0.7,,7.0,-6.0,8.0,,-25.8,,0.0,-15.3,,-8.0,,-11.6,-15.0,24.0,-8.8,,True,True,True,False,,False,False,True,True,,False,False,True,True,True,True,False,True,True,,True,True,True,,False,,True,False,,True,,True,False,False,True,
Nebraska,345,343.9,349.0,346.0,344.0,368.0,,358.8,338.0,346.3,352.1,,310.9,337.0,366.0,378.6,333.4,340.1,340.3,350.3,343.4,,349.1,353.6,322.0,,319.1,,361.0,342.4,,344.0,,350.7,348.0,354.0,347.4,,-1.1,4.0,1.0,-1.0,23.0,,13.8,-7.0,1.3,7.1,,-34.1,-8.0,21.0,33.6,-11.6,-4.9,-4.7,5.3,-1.6,,4.1,8.6,-23.0,,-25.9,,16.0,-2.6,,-1.0,,5.7,3.0,9.0,2.4,,False,True,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,,True,,False,False,False,False,
Nevada,949,895.6,891.0,904.0,915.0,897.0,,878.8,941.0,960.3,886.4,,860.2,945.0,985.6,932.5,923.6,849.4,877.7,785.5,929.2,,889.3,908.5,1024.0,,819.1,,926.0,918.7,,881.0,,952.0,917.0,1142.0,942.7,1001.0,-53.4,-58.0,-45.0,-34.0,-52.0,,-70.2,-8.0,11.3,-62.6,,-88.8,-4.0,36.6,-16.5,-25.4,-99.6,-71.3,-163.5,-19.8,,-59.7,-40.5,75.0,,-129.9,,-23.0,-30.3,,-68.0,,3.0,-32.0,193.0,-6.3,52.0,False,True,True,True,,False,True,True,False,,False,True,True,True,True,False,False,False,True,,False,True,False,,False,,True,True,,False,,True,True,False,True,True
New Hampshire,419,429.4,428.0,435.0,430.0,429.0,,428.5,421.0,424.7,435.9,,414.6,410.0,433.7,426.5,418.7,441.2,419.0,434.9,435.0,,436.0,440.0,416.0,,434.4,,438.0,445.5,,425.0,442.0,429.9,435.0,423.0,427.7,,10.4,9.0,16.0,11.0,10.0,,9.5,2.0,5.7,16.9,,-4.4,-9.0,14.7,7.5,-0.3,22.2,0.0,15.9,16.0,,17.0,21.0,-3.0,,15.4,,19.0,26.5,,6.0,23.0,10.9,16.0,4.0,8.7,,True,False,False,True,,True,True,True,False,,True,True,False,True,True,False,True,False,False,,False,False,True,,False,,False,False,,True,False,False,False,True,True,
