,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,4186,3662.6,3404.0,3687.5,3803.0,3661.0,,4186.0,4341.0,3563.6,4206.7,3581.8,3560.0,3954.5,3389.1,3526.4,3412.4,3542.7,4088.9,,3297.9,3888.2,3656.0,,8639.4,,3566.0,3855.3,3834.0,3521.7,5167.9,3960.7,3533.0,3808.3,3640.0,-523.4,-782.0,-498.5,-383.0,-525.0,,-0.0,155.0,-622.4,20.7,-604.2,-626.0,-231.5,-796.9,-659.6,-773.6,-643.3,-97.1,,-888.1,-297.8,-530.0,,4453.4,,-620.0,-330.7,-352.0,-664.3,981.9,-225.3,-653.0,-377.7,-546.0,False,True,True,False,,True,True,False,True,False,False,True,False,False,False,False,True,,False,True,False,,False,,False,True,True,False,False,True,False,True,False
Hawaii,31,38.3,26.0,39.0,30.0,24.0,,28.6,27.0,,,20.6,,47.7,29.4,27.2,24.1,21.2,29.5,,38.8,35.6,,,37.8,,35.0,33.7,32.0,,34.0,36.4,33.0,26.9,,7.3,-5.0,8.0,-1.0,-7.0,,-2.4,-4.0,,,-10.4,,16.7,-1.6,-3.8,-6.9,-9.8,-1.5,,7.8,4.6,,,6.8,,4.0,2.7,1.0,,3.0,5.4,2.0,-4.1,,True,False,True,True,,True,True,,,False,,False,True,True,True,False,True,,False,True,,,True,,True,True,True,,True,True,True,True,
Idaho,235,167.6,141.0,170.0,198.0,163.0,,268.2,198.0,190.2,,151.7,164.0,249.1,129.6,168.1,142.5,149.5,165.1,,166.0,194.0,204.0,,176.5,,217.0,157.2,186.0,,292.4,199.0,329.0,199.1,,-67.4,-94.0,-65.0,-37.0,-72.0,,33.2,-37.0,-44.8,,-83.3,-71.0,14.1,-105.4,-66.9,-92.5,-85.5,-69.9,,-69.0,-41.0,-31.0,,-58.5,,-18.0,-77.8,-49.0,,57.4,-36.0,94.0,-35.9,,False,True,True,False,,True,True,True,,False,False,True,False,True,False,False,False,,False,True,True,,True,,True,False,True,,True,True,False,True,
Illinois,7840,7773.7,7619.0,7830.4,7892.0,7849.0,,7605.1,7545.0,8205.8,,7667.4,7843.0,7969.8,7561.8,7794.3,7582.3,7997.2,7925.1,8509.5,7647.3,7914.1,7807.0,,8623.2,,7858.0,7820.2,7816.0,7981.4,7964.1,8515.7,7730.0,7761.1,7312.0,-66.3,-221.0,-9.6,52.0,9.0,,-234.9,-295.0,365.8,,-172.6,3.0,129.8,-278.2,-45.7,-257.7,157.2,85.1,669.5,-192.7,74.1,-33.0,,783.2,,18.0,-19.8,-24.0,141.4,124.1,675.7,-110.0,-78.9,-528.0,False,True,True,True,,False,False,False,,False,True,False,False,True,False,False,False,False,False,False,True,,False,,True,True,True,False,False,False,False,False,False
Indiana,3036,2999.1,2887.0,3012.4,3052.0,2933.0,,2974.1,2983.0,3065.2,,2891.7,2864.0,2997.4,2996.5,3063.1,2899.4,3196.7,3375.0,3115.5,2936.7,3075.3,2917.0,,4034.6,,3078.0,2996.1,3164.0,2962.9,3399.2,3262.7,3092.0,3040.3,3073.0,-36.9,-149.0,-23.6,16.0,-103.0,,-61.9,-53.0,29.2,,-144.3,-172.0,-38.6,-39.5,27.1,-136.6,160.7,339.0,79.5,-99.3,39.3,-119.0,,998.6,,42.0,-39.9,128.0,-73.1,363.2,226.7,56.0,4.3,37.0,False,True,True,False,,False,False,True,,False,False,False,False,True,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,True,False
Iowa,927,910.1,828.0,912.1,901.0,888.0,,935.0,881.0,896.9,,871.3,826.0,995.4,860.9,849.3,830.2,874.7,987.4,,840.2,940.6,811.0,,1022.7,,953.0,883.8,898.0,874.4,1082.5,897.8,958.5,886.9,,-16.9,-99.0,-14.9,-26.0,-39.0,,8.0,-46.0,-30.1,,-55.7,-101.0,68.4,-66.1,-77.7,-96.8,-52.3,60.4,,-86.8,13.6,-116.0,,95.7,,26.0,-43.2,-29.0,-52.6,155.5,-29.2,31.5,-40.1,,False,True,False,False,,True,False,False,,False,False,False,False,False,False,False,False,,False,True,False,,False,,False,False,False,False,False,False,False,False,
Kansas,380,343.3,331.0,347.0,362.0,390.0,,443.1,338.0,,,336.4,358.0,468.0,318.0,342.3,326.3,368.7,346.8,,339.9,356.6,322.0,,289.4,,320.0,341.7,356.0,,487.5,346.8,381.0,360.7,,-36.7,-49.0,-33.0,-18.0,10.0,,63.1,-42.0,,,-43.6,-22.0,88.0,-62.0,-37.7,-53.7,-11.3,-33.2,,-40.1,-23.4,-58.0,,-90.6,,-60.0,-38.3,-24.0,,107.5,-33.2,1.0,-19.3,,False,True,True,True,,False,False,,,False,True,False,False,False,False,True,True,,False,True,False,,False,,False,False,True,,False,True,True,True,
Kentucky,772,798.6,709.0,801.9,810.0,728.0,,743.4,818.0,885.1,,801.5,710.0,921.9,707.4,886.0,723.3,985.9,794.4,837.0,757.6,873.6,725.0,,1565.6,,709.0,791.5,906.0,736.3,969.3,956.1,906.0,834.8,,26.6,-63.0,29.9,38.0,-44.0,,-28.6,46.0,113.1,,29.5,-62.0,149.9,-64.6,114.0,-48.7,213.9,22.4,65.0,-14.4,101.6,-47.0,,793.6,,-63.0,19.5,134.0,-35.7,197.3,184.1,134.0,62.8,,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,True,False,True,False,False,,False,,False,True,False,False,False,False,False,False,
Louisiana,4207,3905.9,3669.0,3826.8,3982.0,3765.0,,3937.9,4232.0,4037.1,,3973.8,3896.0,3970.8,4010.5,3939.5,3674.2,3700.1,4149.8,,3720.5,3935.6,3577.0,,1298.2,,4126.0,3945.8,4144.0,,4176.4,3646.8,4123.0,4115.4,3879.0,-301.1,-538.0,-380.2,-225.0,-442.0,,-269.1,25.0,-169.9,,-233.2,-311.0,-236.2,-196.5,-267.5,-532.8,-506.9,-57.2,,-486.5,-271.4,-630.0,,-2908.8,,-81.0,-261.2,-63.0,,-30.6,-560.2,-84.0,-91.6,-328.0,False,False,True,False,,True,True,True,,True,False,True,True,True,False,False,True,,False,True,False,,False,,True,True,True,,True,False,True,True,False
Maine,125,125.6,122.0,132.0,126.0,116.0,,119.5,122.0,129.4,,126.1,126.0,139.4,118.6,120.9,117.2,127.1,122.9,,121.0,130.0,121.0,,74.6,,125.0,123.3,126.0,,132.7,125.7,135.0,125.9,,0.6,-3.0,7.0,1.0,-9.0,,-5.5,-3.0,4.4,,1.1,1.0,14.4,-6.4,-4.1,-7.8,2.1,-2.1,,-4.0,5.0,-4.0,,-50.4,,0.0,-1.7,1.0,,7.7,0.7,10.0,0.9,,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,,True,False,False,,False,False,False,False,
Maryland,3577,3542.7,3436.0,3543.6,3613.0,3604.0,,3491.2,3462.0,3713.8,,3644.7,3589.0,3660.6,3391.5,3622.4,3450.1,3541.2,3965.5,,3528.4,3627.0,3492.0,,2473.4,,3639.0,3536.1,3684.0,3496.9,3845.1,3731.8,3640.0,3589.0,3584.0,-34.3,-141.0,-33.4,36.0,27.0,,-85.8,-115.0,136.8,,67.7,12.0,83.6,-185.5,45.4,-126.9,-35.8,388.5,,-48.6,50.0,-85.0,,-1103.6,,62.0,-40.9,107.0,-80.1,268.1,154.8,63.0,12.0,7.0,False,True,False,True,,False,False,False,,False,True,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,True,True
Massachusetts,8721,8733.9,8504.0,8770.9,8702.0,8614.0,,8404.7,8509.0,8916.1,,8935.1,8576.0,8632.9,8490.3,8886.7,8494.9,8335.5,8830.2,,8613.4,8833.8,8580.0,,8768.8,,8818.0,8683.9,8706.0,8677.0,8741.2,8789.3,8880.5,8689.3,8646.0,12.9,-217.0,49.9,-19.0,-107.0,,-316.3,-212.0,195.1,,214.1,-145.0,-88.1,-230.7,165.7,-226.1,-385.5,109.2,,-107.6,112.8,-141.0,,47.8,,97.0,-37.1,-15.0,-44.0,20.2,68.3,159.5,-31.7,-75.0,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False
Michigan,6520,6514.6,6432.0,6534.5,6621.0,6587.0,,6492.0,6611.0,6763.3,,6728.8,6615.0,6758.0,6444.3,6595.3,6431.9,7028.5,7409.1,6678.5,6618.6,6574.8,6416.0,,7353.9,,6474.0,6507.6,6623.0,6491.4,6928.2,6747.2,6590.0,6589.5,6646.0,-5.4,-88.0,14.5,101.0,67.0,,-28.0,91.0,243.3,,208.8,95.0,238.0,-75.7,75.3,-88.1,508.5,889.1,158.5,98.6,54.8,-104.0,,833.9,,-46.0,-12.4,103.0,-28.6,408.2,227.2,70.0,69.5,126.0,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False
Minnesota,1689,1698.1,1631.0,1701.0,1702.0,1689.0,,1759.8,1682.0,1716.1,,1647.5,1731.0,1799.0,1635.8,1695.1,1624.1,1762.9,1713.5,1775.0,1625.3,1731.0,1649.0,,,,1726.0,1689.9,1712.0,1672.0,1727.3,1690.3,1657.0,1727.9,,9.1,-58.0,12.0,13.0,0.0,,70.8,-7.0,27.1,,-41.5,42.0,110.0,-53.2,6.1,-64.9,73.9,24.5,86.0,-63.7,42.0,-40.0,,,,37.0,0.9,23.0,-17.0,38.3,1.3,-32.0,38.9,,False,False,False,True,,False,True,False,,False,False,False,False,True,False,False,False,False,False,False,False,,,,False,True,False,False,False,True,False,False,
Mississippi,1874,1657.9,1454.0,1694.1,1672.0,1466.0,,1734.4,1675.0,1656.3,,1809.8,1567.0,1710.5,1441.3,1625.6,1464.7,1792.7,1743.6,,1661.9,1807.9,1528.0,,3370.9,,1752.0,1636.8,1737.0,1653.1,1656.0,1839.1,1846.0,1706.2,1660.0,-216.1,-420.0,-179.9,-202.0,-408.0,,-139.6,-199.0,-217.7,,-64.2,-307.0,-163.5,-432.7,-248.4,-409.3,-81.3,-130.4,,-212.1,-66.1,-346.0,,1496.9,,-122.0,-237.2,-137.0,-220.9,-218.0,-34.9,-28.0,-167.8,-214.0,False,True,True,False,,True,True,False,,True,False,True,False,False,False,True,True,,True,True,False,,False,,True,False,True,False,False,True,True,True,True
Missouri,1327,1261.7,1193.0,1270.7,1300.0,1321.0,,1336.6,1389.0,1286.8,,1311.9,1205.0,1421.5,1202.9,1284.0,1190.5,1380.0,1398.1,,1259.1,1332.3,1196.0,,1037.8,,1340.0,1313.3,1328.0,1253.8,1358.5,1354.2,1284.0,1299.8,,-65.3,-134.0,-56.3,-27.0,-6.0,,9.6,62.0,-40.2,,-15.1,-122.0,94.5,-124.1,-43.0,-136.5,53.0,71.1,,-67.9,5.3,-131.0,,-289.2,,13.0,-13.7,1.0,-73.2,31.5,27.2,-43.0,-27.2,,False,True,True,True,,True,True,True,,True,False,False,False,True,False,True,False,,False,True,False,,False,,True,True,True,False,True,True,True,True,
Montana,75,59.9,42.0,61.0,64.0,38.0,,55.5,59.0,71.4,,49.2,50.0,78.4,71.5,59.8,44.1,64.1,74.1,,96.8,78.2,48.0,,0.0,,50.0,57.7,71.0,45.8,76.4,92.1,115.0,60.2,,-15.1,-33.0,-14.0,-11.0,-37.0,,-19.5,-16.0,-3.6,,-25.8,-25.0,3.4,-3.5,-15.2,-30.9,-10.9,-0.9,,21.8,3.2,-27.0,,-75.0,,-25.0,-17.3,-4.0,-29.2,1.4,17.1,40.0,-14.8,,False,True,True,False,,False,False,True,,False,False,True,True,False,False,True,True,,False,True,False,,False,,False,False,True,False,True,False,False,True,
Nebraska,345,346.7,309.0,349.0,339.0,333.0,,351.6,310.0,383.1,,290.8,326.0,405.0,306.8,324.4,312.4,339.0,343.3,,362.7,356.2,342.0,,0.0,,318.0,337.5,333.0,344.2,431.0,357.3,366.0,346.6,,1.7,-36.0,4.0,-6.0,-12.0,,6.6,-35.0,38.1,,-54.2,-19.0,60.0,-38.2,-20.6,-32.6,-6.0,-1.7,,17.7,11.2,-3.0,,-345.0,,-27.0,-7.5,-12.0,-0.8,86.0,12.3,21.0,1.6,,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,True,,False,False,False,,False,,False,False,False,True,False,False,False,True,
Nevada,949,801.3,732.0,808.0,870.0,839.0,,904.7,938.0,870.3,,1008.6,862.0,960.9,694.7,837.2,727.8,728.7,898.5,,945.9,870.2,958.0,,1395.7,,858.0,789.6,879.0,725.0,1237.2,925.7,1001.5,872.8,869.0,-147.7,-217.0,-141.0,-79.0,-110.0,,-44.3,-11.0,-78.7,,59.6,-87.0,11.9,-254.3,-111.8,-221.2,-220.3,-50.5,,-3.1,-78.8,9.0,,446.7,,-91.0,-159.4,-70.0,-224.0,288.2,-23.3,52.5,-76.2,-80.0,False,True,True,True,,True,True,True,,True,True,True,False,True,False,False,True,,True,True,True,,False,,True,False,True,False,False,True,True,True,True
New Hampshire,419,418.0,402.0,413.0,420.0,396.0,,431.7,420.0,428.5,,420.1,399.0,425.9,398.5,430.6,397.9,435.9,438.1,,417.2,415.7,430.0,,0.0,,413.0,423.0,415.0,421.9,424.9,408.0,428.0,417.6,,-1.0,-17.0,-6.0,1.0,-23.0,,12.7,1.0,9.5,,1.1,-20.0,6.9,-20.5,11.6,-21.1,16.9,19.1,,-1.8,-3.3,11.0,,-419.0,,-6.0,4.0,-4.0,2.9,5.9,-11.0,9.0,-1.4,,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,
New Jersey,15869,16223.1,15833.0,16297.4,16084.0,15829.0,,15914.0,15994.0,17326.6,,16597.6,16077.0,16014.9,15806.6,15997.8,15768.2,15771.7,16771.9,,16128.3,16187.8,16058.0,,4018.0,,15791.0,16049.7,15924.0,,15854.9,16098.5,16420.0,16014.2,14749.0,354.1,-36.0,428.4,215.0,-40.0,,45.0,125.0,1457.6,,728.6,208.0,145.9,-62.4,128.8,-100.8,-97.3,902.9,,259.3,318.8,189.0,,-11851.0,,-78.0,180.7,55.0,,-14.1,229.5,551.0,145.2,-1120.0,True,False,True,True,,True,True,False,,False,True,True,True,True,True,True,False,,True,True,True,,False,,True,True,True,,True,True,False,True,False
New Mexico,681,645.3,603.0,647.0,651.0,610.0,,660.7,665.0,671.7,,725.6,658.0,734.7,592.2,641.6,597.9,687.0,676.7,,620.4,666.6,616.0,,443.7,,641.0,646.9,653.0,637.5,642.8,663.5,663.0,670.3,,-35.7,-78.0,-34.0,-30.0,-71.0,,-20.3,-16.0,-9.3,,44.6,-23.0,53.7,-88.8,-39.4,-83.1,6.0,-4.3,,-60.6,-14.4,-65.0,,-237.3,,-40.0,-34.1,-28.0,-43.5,-38.2,-17.5,-18.0,-10.7,,False,True,True,False,,True,True,True,,False,True,False,False,False,False,True,True,,False,True,False,,False,,False,True,True,False,False,True,True,True,
