,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,4186,3554.6,3551.3,3755.1,3983.0,,4248.0,4475.0,3489.9,4206.7,3802.0,4065.2,3331.2,3499.4,3817.5,,3201.2,3952.0,3649.0,,3308.0,,3387.0,3678.5,4011.0,,4526.4,4741.9,3299.0,3854.1,3520.0,-631.4,-634.7,-430.9,-203.0,,62.0,289.0,-696.1,20.7,-384.0,-120.8,-854.8,-686.6,-368.5,,-984.8,-234.0,-537.0,,-878.0,,-799.0,-507.5,-175.0,,340.4,555.9,-887.0,-331.9,-666.0,False,True,True,,True,True,False,True,True,True,False,False,True,,False,True,True,,False,,False,True,True,,True,True,False,True,False
Hawaii,31,19.0,20.3,22.4,22.0,,28.1,22.0,,,,40.9,23.6,18.5,20.1,,30.8,22.9,19.0,,19.0,,25.0,19.5,26.0,,25.6,29.1,20.0,20.7,,-12.0,-10.7,-8.6,-9.0,,-2.9,-9.0,,,,9.9,-7.4,-12.5,-10.9,,-0.2,-8.1,-12.0,,-12.0,,-6.0,-11.5,-5.0,,-5.4,-1.9,-11.0,-10.3,,True,True,True,,True,True,,,,True,True,False,True,,True,True,False,,False,,True,True,True,,True,True,True,True,
Idaho,235,136.7,138.0,169.0,176.0,,260.4,187.0,170.6,,156.0,230.8,155.3,134.9,129.6,,141.8,175.7,104.0,,98.8,,135.0,130.5,185.0,,161.4,181.4,273.0,148.0,,-98.3,-97.0,-66.0,-59.0,,25.4,-48.0,-64.4,,-79.0,-4.2,-79.7,-100.1,-105.4,,-93.2,-59.3,-131.0,,-136.2,,-100.0,-104.5,-50.0,,-73.6,-53.6,38.0,-87.0,,True,True,True,,True,True,True,,True,True,True,False,False,,True,True,False,,False,,False,False,True,,True,True,True,True,
Illinois,7840,8807.4,8788.8,8121.1,7930.0,,7496.5,7498.0,8920.4,,8080.0,8261.3,7868.7,7183.5,8116.6,8922.5,7699.0,8368.6,8175.0,,7753.9,,7783.0,8440.1,8172.0,,7684.0,9240.0,8029.5,7779.6,7274.0,967.4,948.8,281.1,90.0,,-343.5,-342.0,1080.4,,240.0,421.3,28.7,-656.5,276.6,1082.5,-141.0,528.6,335.0,,-86.1,,-57.0,600.1,332.0,,-156.0,1400.0,189.5,-60.4,-566.0,True,True,True,,True,True,False,,True,True,True,True,True,False,True,True,True,,True,,True,True,True,,True,False,True,True,True
Indiana,3036,3018.4,3033.8,3054.2,2981.0,,2951.2,2972.0,3201.9,,2955.0,3109.4,3070.8,3017.0,2954.0,3239.0,2945.8,3177.2,3183.0,,2801.2,,3114.0,2995.4,3156.0,,3188.8,3220.7,3075.0,3050.8,3113.0,-17.6,-2.2,18.2,-55.0,,-84.8,-64.0,165.9,,-81.0,73.4,34.8,-19.0,-82.0,203.0,-90.2,141.2,147.0,,-234.8,,78.0,-40.6,120.0,,152.8,184.7,39.0,14.8,77.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,,False,False,False,,False,False,False,True,False
Iowa,927,871.6,855.9,872.9,906.0,,957.0,841.0,978.6,,838.0,1039.1,867.2,1022.6,839.3,,790.3,925.7,769.0,,810.1,,829.0,850.5,943.0,,934.1,926.9,793.0,869.9,,-55.4,-71.1,-54.1,-21.0,,30.0,-86.0,51.6,,-89.0,112.1,-59.8,95.6,-87.7,,-136.7,-1.3,-158.0,,-116.9,,-98.0,-76.5,16.0,,7.1,-0.1,-134.0,-57.1,,False,True,True,,True,False,True,,False,False,False,False,False,,False,True,False,,False,,False,False,True,,True,True,False,False,
Kansas,380,347.1,343.1,375.3,424.0,,444.9,332.0,386.4,,455.0,523.7,351.7,345.0,333.8,,320.6,377.6,328.0,,319.2,,314.0,343.7,380.0,,370.1,429.4,407.0,361.8,,-32.9,-36.9,-4.7,44.0,,64.9,-48.0,6.4,,75.0,143.7,-28.3,-35.0,-46.2,,-59.4,-2.4,-52.0,,-60.8,,-66.0,-36.3,0.0,,-9.9,49.4,27.0,-18.2,,False,True,False,,False,False,True,,False,False,True,False,False,,False,True,False,,False,,False,False,True,,True,False,True,True,
Kentucky,772,779.3,770.1,787.5,687.0,,718.3,767.0,877.7,,782.0,930.0,749.1,1237.1,706.3,812.0,785.2,904.2,772.0,,738.9,,719.0,748.8,790.0,,806.7,917.8,861.0,800.5,,7.3,-1.9,15.5,-85.0,,-53.7,-5.0,105.7,,10.0,158.0,-22.9,465.1,-65.7,40.0,13.2,132.2,0.0,,-33.1,,-53.0,-23.2,18.0,,34.7,145.8,89.0,28.5,,True,False,False,,False,True,False,,False,False,False,False,False,False,False,False,True,,False,,False,False,False,,False,False,False,False,
Louisiana,4207,3909.7,3903.5,4022.0,3926.0,,3933.5,4209.0,4483.9,,4185.0,4089.6,3744.7,3498.1,3997.6,,3682.4,4265.5,3612.0,,3614.4,,3776.0,3833.0,4546.0,,5164.6,4777.3,4267.5,3981.3,3918.0,-297.3,-303.5,-185.0,-281.0,,-273.5,2.0,276.9,,-22.0,-117.4,-462.3,-708.9,-209.4,,-524.6,58.5,-595.0,,-592.6,,-431.0,-374.0,339.0,,957.6,570.3,60.5,-225.7,-289.0,False,True,True,,True,True,True,,True,True,False,False,True,,False,True,False,,False,,False,False,False,,False,False,True,True,True
Maine,125,133.3,132.0,124.6,112.0,,119.4,122.0,129.2,,114.0,150.5,118.4,179.6,118.1,,130.9,120.5,113.0,,123.2,,134.0,125.7,124.0,,131.9,118.7,147.0,125.4,,8.3,7.0,-0.4,-13.0,,-5.6,-3.0,4.2,,-11.0,25.5,-6.6,54.6,-6.9,,5.9,-4.5,-12.0,,-1.8,,9.0,0.7,-1.0,,6.9,-6.3,22.0,0.4,,True,True,False,,True,True,True,,False,False,True,False,True,,True,True,False,,True,,False,True,True,,True,True,False,True,
Maryland,3577,3612.1,3609.3,3598.6,3546.0,,3458.5,3407.0,3758.7,,3603.0,3737.2,3634.5,4224.6,3548.2,,3507.3,3702.9,3475.0,,3490.8,,3659.0,3576.2,3670.0,,3590.2,3772.6,3721.0,3572.4,3610.0,35.1,32.3,21.6,-31.0,,-118.5,-170.0,181.7,,26.0,160.2,57.5,647.6,-28.8,,-69.7,125.9,-102.0,,-86.2,,82.0,-0.8,93.0,,13.2,195.6,144.0,-4.6,33.0,True,True,True,,False,False,False,,True,False,False,False,True,,False,False,False,,False,,False,True,False,,True,False,False,True,True
Massachusetts,8721,8872.7,8896.5,8774.1,8559.0,,8381.1,8466.0,9052.6,,9108.0,8666.8,8809.9,8463.6,8745.8,,8633.8,8916.8,9054.0,,8694.3,,8819.0,8726.3,8676.0,,8437.8,9204.7,8977.5,8625.0,8696.0,151.7,175.5,53.1,-162.0,,-339.9,-255.0,331.6,,387.0,-54.2,88.9,-257.4,24.8,,-87.2,195.8,333.0,,-26.7,,98.0,5.3,-45.0,,-283.2,483.7,256.5,-96.0,-25.0,False,True,False,,False,False,False,,False,True,True,False,True,,True,False,False,,True,,True,True,True,,False,False,False,True,True
Michigan,6520,6684.3,6719.0,6752.8,6555.0,,6447.4,6662.0,6947.2,,6457.0,6930.2,6589.7,7258.6,6403.0,8137.0,6595.2,6880.7,6635.0,,6308.6,,6545.0,6592.4,6790.0,,6648.8,7089.9,7011.0,6634.0,6728.0,164.3,199.0,232.8,35.0,,-72.6,142.0,427.2,,-63.0,410.2,69.7,738.6,-117.0,1617.0,75.2,360.7,115.0,,-211.4,,25.0,72.4,270.0,,128.8,569.9,491.0,114.0,208.0,False,False,True,,True,True,False,,True,False,True,False,True,False,True,False,True,,False,,True,True,False,,True,False,False,True,False
Minnesota,1689,1663.4,1673.8,1727.3,1819.0,,1741.7,1660.0,1960.2,,1713.0,1917.0,1749.3,2114.0,1745.8,1915.0,1611.4,1685.6,1587.0,,1727.1,,1689.0,1657.6,1716.0,,1724.6,1824.2,1618.0,1697.2,,-25.6,-15.2,38.3,130.0,,52.7,-29.0,271.2,,24.0,228.0,60.3,425.0,56.8,226.0,-77.6,-3.4,-102.0,,38.1,,0.0,-31.4,27.0,,35.6,135.2,-71.0,8.2,,True,False,False,,False,False,False,,True,False,False,False,False,False,False,True,False,,False,,True,False,False,,False,False,False,True,
Mississippi,1874,1781.3,1721.7,1695.5,1358.0,,1708.2,1644.0,1844.6,,1574.0,1698.2,1563.0,1850.4,1611.0,,1623.0,1918.3,1571.0,,1426.6,,1793.0,1683.2,1871.0,,1826.4,1933.9,1922.0,1795.9,1730.0,-92.7,-152.3,-178.5,-516.0,,-165.8,-230.0,-29.4,,-300.0,-175.8,-311.0,-23.6,-263.0,,-251.0,44.3,-303.0,,-447.4,,-81.0,-190.8,-3.0,,-47.6,59.9,48.0,-78.1,-144.0,False,False,False,,False,False,True,,False,False,False,True,False,,False,True,False,,False,,True,False,True,,True,True,True,True,False
Missouri,1327,1250.1,1255.0,1296.1,1286.0,,1339.8,1410.0,1347.1,,1337.0,1428.7,1218.5,1744.8,1223.6,,1201.8,1351.0,1283.0,,1306.2,,1204.0,1316.1,1302.0,,1531.6,1582.7,1311.0,1303.5,,-76.9,-72.0,-30.9,-41.0,,12.8,83.0,20.1,,10.0,101.7,-108.5,417.8,-103.4,,-125.2,24.0,-44.0,,-20.8,,-123.0,-10.9,-25.0,,204.6,255.7,-16.0,-23.5,,True,True,True,,True,False,True,,True,False,False,False,False,,False,True,True,,True,,False,True,True,,False,False,True,True,
Montana,75,52.1,53.0,72.3,79.0,,50.7,44.0,51.0,,34.0,70.6,56.4,29.0,60.3,,94.4,83.6,41.0,,38.9,,87.0,45.4,114.0,,108.2,119.4,166.0,50.9,,-22.9,-22.0,-2.7,4.0,,-24.3,-31.0,-24.0,,-41.0,-4.4,-18.6,-46.0,-14.7,,19.4,8.6,-34.0,,-36.1,,12.0,-29.6,39.0,,33.2,44.4,91.0,-24.1,,True,True,True,,False,False,False,,False,True,True,False,True,,True,True,False,,False,,True,False,False,,False,False,False,False,
Nebraska,345,288.9,296.3,340.3,341.0,,344.8,301.0,357.2,,351.0,439.1,335.6,468.9,342.1,,345.6,337.2,427.5,,361.6,,296.0,298.3,327.0,,307.7,355.9,343.5,339.9,,-56.1,-48.7,-4.7,-4.0,,-0.2,-44.0,12.2,,6.0,94.1,-9.4,123.9,-2.9,,0.6,-7.8,82.5,,16.6,,-49.0,-46.7,-18.0,,-37.3,10.9,-1.5,-5.1,,True,True,True,,True,True,True,,True,False,True,False,True,,True,True,False,,True,,True,True,True,,True,True,True,True,
Nevada,949,820.6,840.1,853.3,806.0,,900.2,962.0,925.7,,847.0,966.4,741.3,672.5,895.8,,799.2,958.2,628.0,,614.7,,797.0,775.9,914.0,,1053.8,876.5,933.0,858.6,1010.0,-128.4,-108.9,-95.7,-143.0,,-48.8,13.0,-23.3,,-102.0,17.4,-207.7,-276.5,-53.2,,-149.8,9.2,-321.0,,-334.3,,-152.0,-173.1,-35.0,,104.8,-72.5,-16.0,-90.4,61.0,True,True,False,,True,True,True,,True,True,False,False,True,,False,True,False,,False,,False,False,True,,True,True,True,True,True
New Hampshire,419,429.6,439.4,428.3,399.0,,435.3,429.0,428.0,,417.0,438.0,440.1,639.0,459.7,,418.7,428.2,456.0,,443.1,,425.0,435.2,418.0,,427.2,423.9,441.0,421.0,,10.6,20.4,9.3,-20.0,,16.3,10.0,9.0,,-2.0,19.0,21.1,220.0,40.7,,-0.3,9.2,37.0,,24.1,,6.0,16.2,-1.0,,8.2,4.9,22.0,2.0,,False,True,False,,False,True,True,,True,False,False,False,False,,True,True,False,,False,,True,False,True,,True,True,False,True,
New Jersey,15869,16736.1,16968.1,16594.1,15990.0,,15824.4,15893.0,18917.3,,16824.0,16067.5,16118.5,13567.9,17005.8,,16176.7,16489.5,18390.0,,20349.0,,16360.0,16297.9,16230.0,,15631.4,17713.7,16799.0,15868.7,14940.0,867.1,1099.1,725.1,121.0,,-44.6,24.0,3048.3,,955.0,198.5,249.5,-2301.1,1136.8,,307.7,620.5,2521.0,,4480.0,,491.0,428.9,361.0,,-237.6,1844.7,930.0,-0.3,-929.0,False,True,True,,True,True,False,,False,True,True,False,False,,True,True,False,,False,,True,True,True,,True,False,False,True,False
New Mexico,681,668.4,663.0,671.5,589.0,,669.4,661.0,762.3,,772.0,782.6,637.5,681.8,631.3,,608.4,722.6,685.0,,621.3,,641.0,666.6,686.0,,705.4,757.6,673.0,658.5,,-12.6,-18.0,-9.5,-92.0,,-11.6,-20.0,81.3,,91.0,101.6,-43.5,0.8,-49.7,,-72.6,41.6,4.0,,-59.7,,-40.0,-14.4,5.0,,24.4,76.6,-8.0,-22.5,,False,True,False,,True,False,False,,False,False,False,True,False,,False,False,True,,False,,False,False,True,,False,False,True,False,
New York,32753,32905.4,33482.1,32849.3,33013.0,,32446.2,32611.0,33363.6,,33561.0,33002.2,32939.3,27346.5,32595.8,,32386.7,32972.0,33065.0,,25532.4,,32565.0,32704.5,32833.0,,32429.3,33134.9,32753.0,32741.6,32955.0,197.4,774.1,141.3,305.0,,-261.8,-97.0,655.6,,853.0,294.2,231.3,-5361.5,-112.2,,-321.3,264.0,357.0,,-7175.6,,-143.0,-3.5,125.0,,-278.7,426.9,45.0,33.6,247.0,False,True,False,,False,True,False,,False,False,False,False,True,,False,False,False,,False,,True,True,True,,False,False,True,True,False
North Carolina,2184,1903.9,1877.1,2094.0,2139.0,,2121.7,2768.0,1785.3,2992.7,2151.0,2667.4,1826.9,1675.3,1958.3,,1846.7,1938.9,2096.5,,1906.0,,1833.0,1970.2,1985.0,,2228.0,2089.0,2016.0,1991.2,1911.0,-280.1,-306.9,-90.0,-45.0,,-62.3,584.0,-398.7,808.7,-33.0,483.4,-357.1,-508.7,-225.7,,-337.3,-245.1,-87.5,,-278.0,,-351.0,-213.8,-199.0,,44.0,-95.0,-168.0,-192.8,-273.0,False,True,True,,True,False,False,False,True,False,False,False,True,,False,True,True,,True,,False,True,True,,True,True,True,True,True
North Dakota,112,114.0,115.0,111.3,114.0,,100.8,96.0,129.7,,118.0,140.6,113.1,108.8,97.7,,108.9,152.2,87.0,,103.0,,97.0,99.0,132.0,,108.2,156.2,104.0,111.8,,2.0,3.0,-0.7,2.0,,-11.2,-16.0,17.7,,6.0,28.6,1.1,-3.2,-14.3,,-3.1,40.2,-25.0,,-9.0,,-15.0,-13.0,20.0,,-3.8,44.2,-8.0,-0.2,,False,True,False,,False,False,False,,False,False,True,False,False,,False,False,False,,False,,False,False,False,,False,False,False,True,
Ohio,3668,3625.0,3551.3,3732.0,3573.0,,3738.7,4853.0,,,3470.0,4012.5,3526.7,4288.1,4074.8,3828.0,3324.7,3841.8,3528.5,,3458.0,,3459.0,3644.3,3896.0,,4101.4,4151.4,3584.0,3690.5,3568.0,-43.0,-116.7,64.0,-95.0,,70.7,1185.0,,,-198.0,344.5,-141.3,620.1,406.8,160.0,-343.3,173.8,-139.5,,-210.0,,-209.0,-23.7,228.0,,433.4,483.4,-84.0,22.5,-100.0,False,False,False,,False,False,,,False,False,False,False,False,False,False,False,False,,False,,False,True,False,,False,False,False,True,False
Oklahoma,603,514.6,513.0,565.4,552.0,,637.1,626.0,598.4,,714.0,799.2,489.0,594.9,515.3,,542.2,573.0,435.0,,508.1,,496.0,504.0,574.0,,682.8,566.7,594.0,518.0,,-88.4,-90.0,-37.6,-51.0,,34.1,23.0,-4.6,,111.0,196.2,-114.0,-8.1,-87.7,,-60.8,-30.0,-168.0,,-94.9,,-107.0,-99.0,-29.0,,79.8,-36.3,-9.0,-85.0,,False,True,True,,True,True,True,,False,False,False,True,True,,True,True,False,,False,,False,False,True,,True,True,True,True,
Oregon,355,307.3,308.0,327.3,266.0,,326.8,338.0,320.7,,342.0,506.5,295.7,278.3,327.5,,331.1,346.7,299.0,,269.6,,304.0,294.4,337.0,,385.9,335.5,340.0,335.1,,-47.7,-47.0,-27.7,-89.0,,-28.2,-17.0,-34.3,,-13.0,151.5,-59.3,-76.7,-27.5,,-23.9,-8.3,-56.0,,-85.4,,-51.0,-60.6,-18.0,,30.9,-19.5,-15.0,-19.9,,True,True,False,,True,True,True,,True,False,False,False,True,,True,True,False,,False,,False,False,True,,True,True,True,True,
Pennsylvania,7310,7486.4,7502.3,7494.0,7300.0,,7385.8,7505.0,8000.4,,7530.0,7615.9,7332.2,7140.3,7274.3,,7269.9,7793.3,7574.0,,7502.2,,7311.0,7477.5,7485.0,,7466.3,7934.0,7689.5,7495.5,7479.0,176.4,192.3,184.0,-10.0,,75.8,195.0,690.4,,220.0,305.9,22.2,-169.7,-35.7,,-40.1,483.3,264.0,,192.2,,1.0,167.5,175.0,,156.3,624.0,379.5,185.5,169.0,False,False,True,,True,False,False,,False,False,True,True,True,,True,False,False,,False,,True,True,True,,True,False,False,False,True
