,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Georgia,4186,4580.3,3165.2,5033.7,2929.0,,3934.0,3121.0,4410.5,394.3,-1020.8,847.7,-1257.0,,-252.0,-1065.0,224.5,False,False,False,,True,False,True
Hawaii,31,17.0,19.2,20.6,,,18.2,23.1,19.4,-14.0,-11.8,-10.4,,,-12.8,-7.9,-11.6,True,True,,,True,True,True
Idaho,235,118.4,126.2,98.3,87.0,,96.3,109.1,101.1,-116.6,-108.8,-136.7,-148.0,,-138.7,-125.9,-133.9,True,False,False,,False,False,False
Illinois,7840,9482.3,7407.0,7541.9,8073.0,,7541.1,7058.1,9325.6,1642.3,-433.0,-298.1,233.0,,-298.9,-781.9,1485.6,True,True,True,,True,True,True
Indiana,3036,3357.0,3064.6,2936.0,2505.0,,2802.7,3146.3,3505.4,321.0,28.6,-100.0,-531.0,,-233.3,110.3,469.4,True,True,False,,True,True,False
Iowa,927,1021.3,1110.6,1022.8,785.0,,872.2,873.0,997.5,94.3,183.6,95.8,-142.0,,-54.8,-54.0,70.5,False,False,False,,True,True,True
Kansas,380,339.3,300.7,348.8,334.0,,289.4,202.6,340.8,-40.7,-79.3,-31.2,-46.0,,-90.6,-177.4,-39.2,False,True,False,,False,False,True
Kentucky,772,726.9,676.5,711.6,595.0,,743.8,701.3,877.4,-45.1,-95.5,-60.4,-177.0,,-28.2,-70.7,105.4,False,False,False,,True,False,False
Louisiana,4207,3626.9,3625.1,3815.8,3677.0,,3330.5,3225.3,3823.7,-580.1,-581.9,-391.2,-530.0,,-876.5,-981.7,-383.3,False,True,True,,False,False,True
Maine,125,107.9,116.7,145.6,126.0,,109.5,158.1,130.7,-17.1,-8.3,20.6,1.0,,-15.5,33.1,5.7,True,False,True,,True,False,True
Maryland,3577,4431.9,3747.1,4109.4,3869.0,,3513.0,3709.7,4296.9,854.9,170.1,532.4,292.0,,-64.0,132.7,719.9,True,True,True,,True,True,True
Massachusetts,8721,10044.0,8380.5,8299.1,8902.0,,8449.0,8287.6,9046.2,1323.0,-340.5,-421.9,181.0,,-272.0,-433.4,325.2,True,True,True,,True,True,True
Michigan,6520,6715.3,6427.3,7297.3,7379.0,,6658.6,6248.0,6655.2,195.3,-92.7,777.3,859.0,,138.6,-272.0,135.2,True,False,False,,True,False,True
Minnesota,1689,2366.1,2005.7,2210.4,2158.0,,1823.5,1454.0,2440.9,677.1,316.7,521.4,469.0,,134.5,-235.0,751.9,True,True,True,,True,True,False
Mississippi,1874,1472.4,1713.3,1253.7,1073.0,,1182.6,1365.9,1665.5,-401.6,-160.7,-620.3,-801.0,,-691.4,-508.1,-208.5,True,False,False,,False,False,True
Missouri,1327,1160.0,1266.3,1322.1,1122.0,,1595.8,1234.9,1716.1,-163.0,-56.7,-0.9,-201.0,,272.8,-88.1,393.1,True,True,False,,False,True,False
Montana,75,26.9,20.6,23.1,19.0,,22.1,18.4,22.7,-48.1,-54.4,-51.9,-56.0,,-52.9,-56.6,-52.3,False,False,False,,False,False,False
Nebraska,345,435.0,348.0,373.7,283.0,,324.1,245.0,443.7,90.0,3.0,28.7,-62.0,,-20.9,-100.0,98.7,True,True,True,,True,False,False
Nevada,949,659.4,664.5,660.3,607.0,,605.2,730.8,736.3,-289.6,-284.5,-288.7,-342.0,,-343.8,-218.2,-212.7,True,True,False,,False,True,True
New Hampshire,419,587.1,489.6,575.7,340.0,,490.6,450.7,668.2,168.1,70.6,156.7,-79.0,,71.6,31.7,249.2,True,True,True,,True,True,False
New Jersey,15869,16454.0,13342.0,13809.6,13965.0,,13981.8,13023.9,14380.9,2441.0,-671.0,-203.4,-48.0,,-31.2,-989.1,367.9,True,True,True,,True,True,True
New Mexico,681,741.4,762.1,745.5,530.0,,579.6,554.9,774.9,60.4,81.1,64.5,-151.0,,-101.4,-126.1,93.9,False,False,False,,False,False,False
New York,32753,34368.6,31609.0,32768.2,32772.0,,31592.4,32565.8,32308.5,2385.6,-374.0,785.2,789.0,,-390.6,582.8,325.5,True,True,True,,True,True,True
North Carolina,2184,1917.7,2472.2,1888.2,2009.0,,2167.3,2735.8,2409.8,-266.3,288.2,-295.8,-175.0,,-16.7,551.8,225.8,False,False,True,,True,False,True
North Dakota,112,89.7,89.5,112.6,145.0,,97.2,92.2,125.9,-22.3,-22.5,0.6,33.0,,-14.8,-19.8,13.9,False,True,False,,True,True,True
Ohio,3668,3973.3,3456.5,3262.8,3158.0,,3280.8,3207.6,4117.6,305.3,-211.5,-405.2,-510.0,,-387.2,-460.4,449.6,True,False,False,,False,False,False
Oklahoma,603,445.4,432.4,515.8,485.0,,400.5,539.0,453.9,-157.6,-170.6,-87.2,-118.0,,-202.5,-64.0,-149.1,False,True,True,,False,True,True
Oregon,355,251.6,221.4,316.1,220.0,,217.3,317.8,241.3,-100.4,-130.6,-35.9,-132.0,,-134.7,-34.2,-110.7,False,True,False,,False,True,False
Pennsylvania,7310,8352.1,8113.3,7733.7,6738.0,,7455.1,7378.4,8017.8,1042.1,803.3,423.7,-572.0,,145.1,68.4,707.8,True,True,True,,True,True,True
Rhode Island,1014,1312.3,1057.0,1082.5,992.0,,1067.9,779.0,1266.3,298.3,43.0,68.5,-22.0,,53.9,-235.0,252.3,True,True,True,,True,True,True
South Carolina,2007,1024.3,1502.3,1609.6,845.0,,969.2,1786.7,1320.3,-982.7,-504.7,-397.4,-1162.0,,-1037.8,-220.3,-686.7,True,True,False,,False,True,True
South Dakota,146,153.6,111.3,145.5,94.0,,96.0,100.8,140.9,7.6,-34.7,-0.5,-52.0,,-50.0,-45.2,-5.1,False,True,False,,False,False,True
Tennessee,1215,914.0,776.3,1139.1,974.0,,702.7,768.6,856.4,-301.0,-438.7,-75.9,-241.0,,-512.3,-446.4,-358.6,False,True,True,,False,False,False
Texas,9058,3107.6,3459.4,3404.6,3303.0,9534.0,2577.1,4036.2,3419.8,-5787.4,-5435.6,-5490.4,-5592.0,639.0,-6317.9,-4858.8,-5475.2,True,True,True,True,False,True,True
Utah,335,280.4,462.9,307.8,247.0,,204.8,324.7,332.9,-54.6,127.9,-27.2,-88.0,,-130.2,-10.3,-2.1,False,True,False,,False,True,True
Vermont,58,55.0,66.9,59.1,58.0,,64.9,54.4,61.0,-3.0,8.9,1.1,0.0,,6.9,-3.6,3.0,False,True,True,,False,False,False
Virginia,2322,2127.4,2290.5,1927.5,1989.0,,1854.3,1901.8,2523.1,-194.6,-31.5,-394.5,-333.0,,-467.7,-420.2,201.1,True,False,False,,False,False,False
Washington,1688,1688.4,1475.9,1441.0,1402.0,,1340.4,1549.1,1677.9,0.4,-212.1,-247.0,-286.0,,-347.6,-138.9,-10.1,False,False,False,,False,False,False
West Virginia,131,119.4,98.9,121.5,87.0,,123.1,140.5,121.2,-11.6,-32.1,-9.5,-44.0,,-7.9,9.5,-9.8,False,True,False,,True,True,True
Wisconsin,996,1045.6,1008.9,1057.0,1020.0,,855.8,861.6,1263.6,49.6,12.9,61.0,24.0,,-140.2,-134.4,267.6,True,False,True,,False,False,False
Wyoming,28,25.9,24.6,19.0,18.0,,19.4,32.2,25.4,-2.1,-3.4,-9.0,-10.0,,-8.6,4.2,-2.6,False,False,False,,False,False,False
US,162408,156251.3,145632.4,152312.7,139923.0,143102.0,131279.8,143841.6,156304.4,-3360.7,-13979.6,-7299.3,-19689.0,-16510.0,-28332.2,-15770.4,-3307.6,False,False,False,False,False,False,True
