,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Mississippi,1874,1552.1,1057.4,1395.4,940.0,1146.2,1220.0,1799.7,-321.9,-816.6,-478.6,-934.0,-727.8,-654.0,-74.3,False,False,False,False,False,True
Missouri,1327,1160.4,965.8,1246.9,1028.0,1635.3,1137.8,1818.5,-131.6,-326.2,-45.1,-264.0,343.3,-154.2,526.5,False,True,False,False,False,False
Montana,75,26.9,19.7,18.9,18.0,21.0,16.3,21.2,-48.1,-55.3,-56.1,-57.0,-54.0,-58.7,-53.8,False,False,False,False,False,False
Nebraska,345,337.6,368.3,687.0,270.0,320.3,210.1,428.0,-7.4,23.3,342.0,-75.0,-24.7,-134.9,83.0,False,False,False,False,False,False
Nevada,949,624.0,522.8,654.7,561.0,591.3,591.3,744.6,-325.0,-426.2,-294.3,-388.0,-357.7,-357.7,-204.4,False,True,False,False,False,True
New Hampshire,419,649.1,305.4,499.3,311.0,514.7,370.9,665.0,230.1,-113.6,80.3,-108.0,95.7,-48.1,246.0,True,True,True,True,True,False
New Jersey,15869,16409.7,12728.9,13264.6,13608.0,14023.5,11882.1,14272.0,2380.7,-1300.1,-764.4,-421.0,-5.5,-2146.9,243.0,True,True,True,True,True,True
New Mexico,681,750.3,472.4,692.0,497.0,715.2,449.1,853.9,69.3,-208.6,11.0,-184.0,34.2,-231.9,172.9,False,True,False,True,False,False
New York,32768,35599.7,31830.7,31787.3,32496.0,31402.9,29585.4,32656.8,3525.7,-243.3,-286.7,422.0,-671.1,-2488.6,582.8,True,True,True,True,True,True
North Carolina,2184,1873.4,1926.5,3388.7,1607.0,1913.5,2934.1,2540.9,-310.6,-257.5,1204.7,-577.0,-270.5,750.1,356.9,True,False,False,True,False,False
North Dakota,112,169.4,98.8,170.1,116.0,100.6,79.9,160.9,57.4,-13.2,58.1,4.0,-11.4,-32.1,48.9,True,False,True,True,True,True
Ohio,3668,4363.0,2844.2,3868.3,3058.0,3343.8,3083.5,5172.9,695.0,-823.8,200.3,-610.0,-324.2,-584.5,1504.9,False,True,True,True,True,False
Oklahoma,603,472.0,406.3,462.0,382.0,407.2,468.9,488.2,-131.0,-196.7,-141.0,-221.0,-195.8,-134.1,-114.8,False,False,False,False,False,True
Oregon,355,251.6,179.5,227.4,190.0,222.0,229.1,220.8,-103.4,-175.5,-127.6,-165.0,-133.0,-125.9,-134.2,False,False,False,False,False,False
Pennsylvania,7310,9379.6,6463.9,7514.7,6519.0,8085.4,6397.6,8530.3,2069.6,-846.1,204.7,-791.0,775.4,-912.4,1220.3,True,True,True,True,True,True
Rhode Island,1014,1250.3,854.7,995.6,939.0,981.8,637.6,1453.2,236.3,-159.3,-18.4,-75.0,-32.2,-376.4,439.2,True,True,True,True,False,False
South Carolina,2007,1006.6,767.1,851.0,648.0,881.6,1047.4,1397.8,-1000.4,-1239.9,-1156.0,-1359.0,-1125.4,-959.6,-609.2,False,False,False,False,True,True
South Dakota,146,91.6,114.6,103.9,83.0,89.4,75.0,147.5,-54.4,-31.4,-42.1,-63.0,-56.6,-71.0,1.5,True,True,False,False,False,True
Tennessee,1215,896.3,722.3,849.2,774.0,665.4,706.6,956.8,-318.7,-492.7,-365.8,-441.0,-549.6,-508.4,-258.2,False,False,False,False,False,True
Texas,9058,3311.3,2965.6,3586.1,2496.0,2770.5,3747.2,4065.5,-5621.7,-5967.4,-5346.9,-6437.0,-6162.5,-5185.8,-4867.5,False,True,False,False,True,True
Utah,335,191.9,345.8,381.4,250.0,269.6,256.6,315.1,-143.1,10.8,46.4,-85.0,-65.4,-78.4,-19.9,True,True,True,True,True,True
Vermont,58,55.0,57.7,65.2,56.0,64.0,51.6,61.4,-3.0,-0.3,7.2,-2.0,6.0,-6.4,3.4,True,False,True,False,False,False
Virginia,2322,2222.7,2091.7,2235.4,1983.0,2191.6,2160.5,2853.2,-88.3,-219.3,-75.6,-328.0,-119.4,-150.5,542.2,False,True,False,False,False,False
Washington,1688,1502.4,1414.8,1235.5,1358.0,1302.8,1425.1,1632.2,-185.6,-273.2,-452.5,-330.0,-385.2,-262.9,-55.8,False,False,False,False,False,True
West Virginia,131,163.7,116.5,142.2,85.0,126.5,124.9,130.0,32.7,-14.5,11.2,-46.0,-4.5,-6.1,-1.0,True,True,False,True,True,True
Wisconsin,996,1134.1,1020.3,1908.7,982.0,847.7,1036.9,1421.1,138.1,24.3,912.7,-14.0,-148.3,40.9,425.1,True,False,True,False,True,False
Wyoming,28,25.9,24.3,28.9,17.0,18.3,25.8,29.5,-2.1,-3.7,0.9,-11.0,-9.7,-2.2,1.5,False,True,False,False,False,True
US,162423,164834.9,128963.3,147938.0,131910.0,132467.2,129784.5,162806.6,5131.9,-30739.7,-11765.0,-27793.0,-27235.8,-29918.5,3103.6,False,False,False,False,False,True
