,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Maine,125,164.9,138.4,256.0,100.6,163.2,39.9,13.4,131.0,-24.4,38.2,True,False,True,True
Maryland,3577,5371.3,3835.0,3512.0,4026.1,3905.4,1794.3,258.0,-65.0,449.1,328.4,True,True,True,True
Massachusetts,8721,12614.9,8010.8,8465.0,9216.1,7009.4,3893.9,-710.2,-256.0,495.1,-1711.6,True,True,True,True
Michigan,6520,8886.9,6037.2,6179.0,6360.7,5877.8,2604.9,-244.8,-103.0,78.7,-404.2,True,True,True,True
Minnesota,1689,2474.0,1865.9,6480.0,1827.5,1322.0,785.0,176.9,4791.0,138.5,-367.0,True,False,True,True
Mississippi,1874,1754.1,1275.0,1014.0,1034.6,951.5,-119.9,-599.0,-860.0,-839.4,-922.5,False,False,False,False
Missouri,1327,1619.7,845.9,1051.0,1500.7,920.6,374.7,-399.1,-194.0,255.7,-324.4,False,True,True,True
Montana,75,16.0,17.0,17.0,21.1,17.5,-59.0,-58.0,-58.0,-53.9,-57.5,True,True,True,True
Nebraska,345,407.6,384.4,417.0,364.7,166.1,62.6,39.4,72.0,19.7,-178.9,True,False,True,False
Nevada,949,705.7,474.9,587.0,558.4,555.5,-243.3,-474.1,-362.0,-390.6,-393.5,False,False,False,False
New Hampshire,419,610.7,252.8,321.0,479.0,372.0,191.7,-166.2,-98.0,60.0,-47.0,True,True,True,True
New Jersey,15869,19552.3,12681.9,13162.0,14091.1,11643.0,5472.3,-1398.1,-918.0,11.1,-2437.0,True,True,True,True
New Mexico,681,881.6,440.5,500.0,634.9,544.0,200.6,-240.5,-181.0,-46.1,-137.0,False,True,True,True
New York,32753,39010.1,32256.8,32441.0,32093.5,29348.3,7241.1,487.8,672.0,324.5,-2420.7,True,True,True,True
North Carolina,2184,1848.0,1590.5,1565.0,1791.5,1988.9,-336.0,-593.5,-619.0,-392.5,-195.1,False,False,False,True
North Dakota,112,161.6,119.3,926.0,103.2,122.4,49.6,7.3,814.0,-8.8,10.4,True,False,True,True
Ohio,3668,5703.9,3077.8,2565.0,3202.2,3558.2,2035.9,-590.2,-1103.0,-465.8,-109.8,True,True,True,True
Oklahoma,603,560.7,401.5,917.0,390.4,532.3,-42.3,-201.5,314.0,-212.6,-70.7,False,False,False,False
Oregon,355,267.4,182.3,159.0,219.6,262.0,-87.6,-172.7,-196.0,-135.4,-93.0,False,False,False,False
Pennsylvania,7310,12095.4,6350.8,5824.0,8135.8,5709.3,4785.4,-959.2,-1486.0,825.8,-1600.7,True,True,True,True
Rhode Island,1025,1791.4,751.1,862.0,961.1,621.2,777.4,-262.9,-152.0,-52.9,-392.8,True,True,True,True
South Carolina,2007,977.9,611.0,637.0,918.1,718.4,-1029.1,-1396.0,-1370.0,-1088.9,-1288.6,False,False,False,False
South Dakota,146,115.1,127.1,314.0,81.0,63.7,-30.9,-18.9,168.0,-65.0,-82.3,True,False,False,False
Tennessee,1215,748.6,692.3,680.0,446.9,539.4,-466.4,-522.7,-535.0,-768.1,-675.6,False,False,False,False
Texas,9214,3536.6,3046.6,4854.0,2832.8,3090.0,-5561.4,-6051.4,-4244.0,-6265.2,-6008.0,False,True,False,False
Utah,335,281.6,293.7,124.0,228.6,191.1,-53.4,-41.3,-211.0,-106.4,-143.9,True,False,False,False
Vermont,58,54.0,56.4,55.0,70.3,56.3,-4.0,-1.6,-3.0,12.3,-1.7,True,True,False,True
Virginia,2322,2919.0,1989.7,1714.0,1993.0,2203.8,597.0,-332.3,-608.0,-329.0,-118.2,True,False,True,True
Washington,1711,1712.4,1293.4,1238.0,1264.4,1277.9,24.4,-394.6,-450.0,-423.6,-410.1,False,False,False,False
West Virginia,131,126.3,93.8,75.0,144.3,136.3,-4.7,-37.2,-56.0,13.3,5.3,False,False,False,False
Wisconsin,1043,1128.9,875.9,1167.0,852.6,1141.4,139.9,-113.1,178.0,-136.4,152.4,True,False,True,False
Wyoming,28,55.4,22.9,13.0,14.4,60.2,27.4,-5.1,-15.0,-13.6,32.2,True,True,True,False
US,162645,186292.6,127503.1,136922.0,130339.6,122070.3,26943.6,-31845.9,-22427.0,-29009.4,-37278.7,False,True,False,False
