,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,8721,8780.4,8714.0,,8320.7,8543.9,8368.0,9325.8,8810.0,8784.0,8707.6,8463.6,,8646.5,8434.5,,,8656.3,8342.3,9022.3,8610.3,9121.7,59.4,-7.0,,-400.3,-177.1,-353.0,604.8,89.0,63.0,-13.4,-257.4,,-74.5,-286.5,,,-64.7,-378.7,301.3,-110.7,400.7,True,,False,False,False,False,False,False,True,False,,False,False,,,False,False,False,False,False
Michigan,6520,6514.3,6569.0,,6379.4,6677.5,6681.0,6517.7,6581.0,7294.4,6570.2,7259.2,6718.5,6430.6,6381.0,,,6416.8,6595.1,7014.5,6546.6,6605.3,-5.7,49.0,,-140.6,157.5,161.0,-2.3,61.0,774.4,50.2,739.2,198.5,-89.4,-139.0,,,-103.2,75.1,494.5,26.6,85.3,False,,False,False,False,True,False,False,False,False,False,False,False,,,False,False,False,False,False
Minnesota,1689,1741.1,1702.0,,1758.6,1742.0,1687.0,1745.5,1731.0,2261.9,1689.3,2115.4,1906.0,1589.9,1657.5,,,1691.6,1690.6,1785.8,1797.2,1725.0,52.1,13.0,,69.6,53.0,-2.0,56.5,42.0,572.9,0.3,426.4,217.0,-99.1,-31.5,,,2.6,1.6,96.8,108.2,36.0,True,,False,False,True,False,True,False,True,False,False,False,True,,,True,True,False,False,True
Mississippi,1874,1460.7,1292.0,,1653.3,1629.9,1775.0,1612.3,1617.0,1517.9,1358.5,1833.8,,1374.9,1345.0,,,1513.2,1719.0,2131.8,1583.3,1658.0,-413.3,-582.0,,-220.7,-244.1,-99.0,-261.7,-257.0,-356.1,-515.5,-40.2,,-499.1,-529.0,,,-360.8,-155.0,257.8,-290.7,-216.0,False,,True,True,True,True,True,True,False,True,,False,False,,,True,True,True,True,True
Missouri,1347,1230.7,1186.0,,1372.9,4229.0,1444.0,1355.0,1241.0,1476.9,1285.0,1745.8,,1154.1,1176.5,,,1316.6,1505.0,1625.5,1255.4,,-105.3,-150.0,,36.9,2893.0,108.0,19.0,-95.0,140.9,-51.0,409.8,,-181.9,-159.5,,,-19.4,169.0,289.5,-80.6,,False,,True,False,False,True,True,False,True,False,,False,False,,,True,False,False,True,
Montana,75,27.9,29.0,,43.6,135.9,35.0,21.9,29.0,69.5,45.3,29.0,,88.5,23.0,,,30.4,82.7,78.6,30.0,,-47.1,-46.0,,-31.4,60.9,-40.0,-53.1,-46.0,-5.5,-29.7,-46.0,,13.5,-52.0,,,-44.6,7.7,3.6,-45.0,,True,,True,False,True,False,True,True,True,True,,True,False,,,True,True,True,True,
Nebraska,345,366.6,387.0,,340.9,377.9,310.0,395.1,356.0,498.4,346.4,468.7,,391.8,538.0,,,335.9,314.1,369.5,380.9,,21.6,42.0,,-4.1,32.9,-35.0,50.1,11.0,153.4,1.4,123.7,,46.8,193.0,,,-9.1,-30.9,24.5,35.9,,False,,True,False,False,False,True,False,True,False,,False,False,,,True,False,False,False,
Nevada,949,699.1,655.0,,928.8,1602.7,1108.0,712.1,605.0,1060.1,715.5,672.6,,592.1,584.5,,,660.0,1226.5,1103.1,735.6,,-249.9,-294.0,,-20.2,653.7,159.0,-236.9,-344.0,111.1,-233.5,-276.4,,-356.9,-364.5,,,-289.0,277.5,154.1,-213.4,,False,,True,False,True,True,False,True,True,False,,False,False,,,False,False,True,True,
New Hampshire,419,449.0,442.0,,440.4,405.4,437.0,480.4,385.0,504.8,422.9,639.5,,418.3,459.0,,,460.7,438.4,428.7,466.3,,30.0,23.0,,21.4,-13.6,18.0,61.4,-34.0,85.8,3.9,220.5,,-0.7,40.0,,,41.7,19.4,9.7,47.3,,True,,True,True,True,False,False,False,True,False,,True,False,,,False,True,True,False,
New Jersey,15869,16357.3,18698.0,,13470.2,15790.9,15645.0,16021.9,17386.0,16573.9,16029.2,13566.8,,15874.2,16279.5,,,16003.2,15378.5,19095.6,15751.5,14438.7,488.3,2829.0,,-2398.8,-78.1,-224.0,152.9,1517.0,704.9,160.2,-2302.2,,5.2,410.5,,,134.2,-490.5,3226.6,-117.5,-1430.3,False,,False,True,True,True,False,False,True,False,,True,True,,,True,False,False,True,False
