,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,125,113.0,116.0,,111.0,122.0,,,,,,,80.0,108.2,69.1,,164.3,153.8,,129.0,166.0,,51.0,108.5,,,,,142.2,203.9,-12.0,-9.0,,-14.0,-3.0,,,,,,,-45.0,-16.8,-55.9,,39.3,28.8,,4.0,41.0,,-74.0,-16.5,,,,,17.2,78.9,True,,False,True,,,,,,,False,False,False,,False,False,,True,False,,False,False,,,,,False,False
01023,8,12.0,11.9,,10.0,9.0,,,,,,,22.0,18.3,9.9,,0.3,5.5,,18.0,15.0,,1.0,12.7,,,,,16.0,9.3,4.0,3.9,,2.0,1.0,,,,,,,14.0,10.3,1.9,,-7.7,-2.5,,10.0,7.0,,-7.0,4.7,,,,,8.0,1.3,True,,True,True,,,,,,,False,False,True,,False,True,,False,False,,False,False,,,,,False,True
01025,21,32.0,14.7,,35.0,59.0,,,,,,,65.0,39.7,40.1,,22.3,31.6,,,57.0,,49.2,37.5,,,,,58.6,74.4,11.0,-6.3,,14.0,38.0,,,,,,,44.0,18.7,19.1,,1.3,10.6,,,36.0,,28.2,16.5,,,,,37.6,53.4,True,,False,False,,,,,,,False,False,False,,True,True,,,False,,False,False,,,,,False,False
01027,50,26.0,24.9,,25.0,16.0,,,,,,,21.0,26.7,17.1,,24.4,30.8,,41.0,44.0,,6.5,25.8,,,,,35.5,31.3,-24.0,-25.1,,-25.0,-34.0,,,,,,,-29.0,-23.3,-32.9,,-25.6,-19.2,,-9.0,-6.0,,-43.5,-24.2,,,,,-14.5,-18.7,False,,False,False,,,,,,,False,True,False,,False,True,,True,True,,False,False,,,,,True,True
01029,32,24.0,20.7,,18.0,27.0,,,,,,,16.0,38.8,11.7,,5.6,14.5,,28.0,11.0,,14.6,23.1,,,,,29.6,29.5,-8.0,-11.3,,-14.0,-5.0,,,,,,,-16.0,6.8,-20.3,,-26.4,-17.5,,-4.0,-21.0,,-17.4,-8.9,,,,,-2.4,-2.5,False,,False,True,,,,,,,False,True,False,,False,False,,True,False,,False,False,,,,,True,True
01031,31,49.0,63.7,,49.0,60.0,,,,,,,101.0,68.3,71.1,,30.2,46.1,,83.0,0.0,,7.6,48.5,,,,,77.6,101.4,18.0,32.7,,18.0,29.0,,,,,,,70.0,37.3,40.1,,-0.8,15.1,,52.0,-31.0,,-23.4,17.5,,,,,46.6,70.4,False,,False,False,,,,,,,False,False,False,,True,True,,False,False,,False,True,,,,,False,False
01033,56,81.0,86.0,,76.0,66.0,,,,,,,90.0,86.2,64.4,,62.2,71.4,,131.0,115.0,,36.8,81.3,,,,,130.5,130.8,25.0,30.0,,20.0,10.0,,,,,,,34.0,30.2,8.4,,6.2,15.4,,75.0,59.0,,-19.2,25.3,,,,,74.5,74.8,False,,True,True,,,,,,,False,False,True,,True,True,,False,False,,True,False,,,,,False,False
01035,6,14.0,14.4,,11.0,7.0,,,,,,,29.0,19.6,15.3,,2.7,9.7,0.0,28.0,0.0,,9.9,12.8,,,,,20.5,27.3,8.0,8.4,,5.0,1.0,,,,,,,23.0,13.6,9.3,,-3.3,3.7,-6.0,22.0,-6.0,,3.9,6.8,,,,,14.5,21.3,False,,True,True,,,,,,,False,False,False,,True,True,True,False,True,,True,True,,,,,False,False
01037,3,0.0,0.0,,2.0,0.0,,,,,,,13.0,5.7,7.0,,2.1,3.5,5.9,6.0,3.0,,1.6,0.8,,,,,2.7,12.3,-3.0,-3.0,,-1.0,-3.0,,,,,,,10.0,2.7,4.0,,-0.9,0.5,2.9,3.0,0.0,,-1.4,-2.2,,,,,-0.3,9.3,False,,True,False,,,,,,,False,True,False,,True,True,True,False,True,,True,True,,,,,True,False
01039,22,0.0,0.0,,21.0,17.0,,,,,,,79.0,23.1,52.3,,9.3,22.5,21.3,37.0,5.0,,25.6,0.7,,,,,17.9,112.3,-22.0,-22.0,,-1.0,-5.0,,,,,,,57.0,1.1,30.3,,-12.7,0.5,-0.7,15.0,-17.0,,3.6,-21.3,,,,,-4.1,90.3,False,,True,True,,,,,,,False,True,False,,True,True,True,True,True,,True,True,,,,,True,False
01041,13,22.0,22.2,,15.0,8.0,,,,,,,31.0,26.1,20.5,,12.8,14.3,0.0,36.0,47.0,,1.6,29.6,,,,,25.2,55.6,9.0,9.2,,2.0,-5.0,,,,,,,18.0,13.1,7.5,,-0.2,1.3,-13.0,23.0,34.0,,-11.4,16.6,,,,,12.2,42.6,False,,True,True,,,,,,,False,False,True,,True,True,False,False,False,,False,False,,,,,False,False
01043,45,63.0,62.4,,65.0,67.0,,,,,,,127.0,89.1,114.2,,41.4,67.5,44.2,107.0,117.0,,8.3,65.4,,,,,97.8,164.1,18.0,17.4,,20.0,22.0,,,,,,,82.0,44.1,69.2,,-3.6,22.5,-0.8,62.0,72.0,,-36.7,20.4,,,,,52.8,119.1,True,,False,False,,,,,,,False,False,False,,True,False,True,False,False,,False,False,,,,,False,False
01045,28,48.0,55.1,,48.0,83.0,,,,,,,88.0,79.2,66.3,,35.4,48.2,38.5,77.0,0.0,,39.0,40.4,,,,,73.5,117.1,20.0,27.1,,20.0,55.0,,,,,,,60.0,51.2,38.3,,7.4,20.2,10.5,49.0,-28.0,,11.0,12.4,,,,,45.5,89.1,False,,False,False,,,,,,,False,False,False,,True,False,True,False,False,,True,True,,,,,False,False
01047,30,10.0,8.2,,20.0,20.0,,,,,,,88.0,34.3,34.1,,18.0,37.4,0.8,,42.0,,23.1,12.5,,,,,27.7,100.2,-20.0,-21.8,,-10.0,-10.0,,,,,,,58.0,4.3,4.1,,-12.0,7.4,-29.2,,12.0,,-6.9,-17.5,,,,,-2.3,70.2,False,,True,True,,,,,,,False,True,True,,True,True,False,,True,,True,True,,,,,True,False
01049,60,68.0,66.9,,60.0,56.0,,,,,,,114.0,101.4,78.6,,43.1,59.0,41.7,,76.0,,46.2,80.5,,,,,115.5,152.5,8.0,6.9,,0.0,-4.0,,,,,,,54.0,41.4,18.6,,-16.9,-1.0,-18.3,,16.0,,-13.8,20.5,,,,,55.5,92.5,True,,True,True,,,,,,,False,False,False,,False,True,False,,False,,False,False,,,,,False,False
01051,103,83.0,83.7,,83.0,86.0,,,,,,,103.0,108.6,66.1,,72.0,97.7,45.5,141.0,108.0,,39.2,77.4,,,,,137.2,197.6,-20.0,-19.3,,-20.0,-17.0,,,,,,,0.0,5.6,-36.9,,-31.0,-5.3,-57.5,38.0,5.0,,-63.8,-25.6,,,,,34.2,94.6,True,,False,True,,,,,,,True,True,False,,False,True,False,False,True,,False,False,,,,,False,False
01053,42,40.0,37.6,,35.0,20.0,,,,,,,98.0,59.4,58.0,,12.0,32.1,0.4,69.0,45.0,,19.6,35.4,,,,,76.6,121.8,-2.0,-4.4,,-7.0,-22.0,,,,,,,56.0,17.4,16.0,,-30.0,-9.9,-41.6,27.0,3.0,,-22.4,-6.6,,,,,34.6,79.8,False,,False,False,,,,,,,False,False,False,,False,False,False,False,False,,False,False,,,,,False,False
01055,103,165.0,164.0,,147.0,162.0,,,,,,,142.0,183.0,202.3,,99.5,123.0,96.9,208.0,216.0,,140.9,147.2,,,,,230.4,285.3,62.0,61.0,,44.0,59.0,,,,,,,39.0,80.0,99.3,,-3.5,20.0,-6.1,105.0,113.0,,37.9,44.2,,,,,127.4,182.3,True,,True,True,,,,,,,True,False,False,,True,True,True,False,False,,True,True,,,,,False,False
01057,27,19.0,19.1,,19.0,16.0,,,,,,,24.0,32.3,27.7,,6.7,13.2,22.4,28.0,7.0,,12.2,20.3,,,,,31.0,37.4,-8.0,-7.9,,-8.0,-11.0,,,,,,,-3.0,5.3,0.7,,-20.3,-13.8,-4.6,1.0,-20.0,,-14.8,-6.7,,,,,4.0,10.4,True,,False,False,,,,,,,True,True,True,,False,False,True,True,False,,False,True,,,,,True,False
01059,64,105.0,101.2,,79.0,89.0,,,,,,,74.0,81.4,28.0,,66.8,78.5,62.8,143.0,172.0,,65.1,93.4,,,,,132.9,150.0,41.0,37.2,,15.0,25.0,,,,,,,10.0,17.4,-36.0,,2.8,14.5,-1.2,79.0,108.0,,1.1,29.4,,,,,68.9,86.0,True,,True,True,,,,,,,True,True,True,,True,True,True,False,False,,True,True,,,,,False,False
01061,25,30.0,31.7,,32.0,48.0,,,,,,,56.0,62.6,52.2,,17.2,30.4,31.9,35.0,0.0,,20.4,30.2,,,,,40.8,46.8,5.0,6.7,,7.0,23.0,,,,,,,31.0,37.6,27.2,,-7.8,5.4,6.9,10.0,-25.0,,-4.6,5.2,,,,,15.8,21.8,False,,False,False,,,,,,,False,False,False,,False,False,False,False,False,,True,False,,,,,False,False
01063,9,6.0,6.2,,6.0,5.0,,,,,,,14.0,13.4,6.6,,5.3,8.3,0.1,18.0,6.0,,4.6,5.6,,,,,7.9,15.1,-3.0,-2.8,,-3.0,-4.0,,,,,,,5.0,4.4,-2.4,,-3.7,-0.7,-8.9,9.0,-3.0,,-4.4,-3.4,,,,,-1.1,6.1,True,,False,False,,,,,,,False,False,True,,False,True,False,False,False,,False,False,,,,,True,False
01065,13,15.0,15.1,,14.0,13.0,,,,,,,30.0,22.6,12.1,,7.2,14.5,1.0,,23.0,,2.8,17.0,,,,,19.4,39.1,2.0,2.1,,1.0,0.0,,,,,,,17.0,9.6,-0.9,,-5.8,1.5,-12.0,,10.0,,-10.2,4.0,,,,,6.4,26.1,False,,True,True,,,,,,,False,False,True,,False,True,False,,False,,False,False,,,,,False,False
01067,25,18.0,16.1,,17.0,20.0,,,,,,,26.0,31.9,19.9,,7.7,16.4,13.4,20.0,0.0,,5.9,16.6,,,,,25.9,31.1,-7.0,-8.9,,-8.0,-5.0,,,,,,,1.0,6.9,-5.1,,-17.3,-8.6,-11.6,-5.0,-25.0,,-19.1,-8.4,,,,,0.9,6.1,False,,False,True,,,,,,,True,True,True,,False,False,False,True,False,,False,False,,,,,True,True
01069,100,82.0,89.9,,90.0,107.0,,,,,,,192.0,178.5,158.7,,74.1,95.1,79.6,134.0,0.0,,29.6,84.0,,,,,145.9,163.1,-18.0,-10.1,,-10.0,7.0,,,,,,,92.0,78.5,58.7,,-25.9,-4.9,-20.4,34.0,-100.0,,-70.4,-16.0,,,,,45.9,63.1,True,,True,True,,,,,,,False,False,False,,False,True,False,False,False,,False,True,,,,,False,False
01071,55,50.0,53.8,,54.0,31.0,,,,,,,71.0,79.5,84.8,,50.4,64.6,57.8,,8.0,,33.2,51.7,,,,,103.8,103.9,-5.0,-1.2,,-1.0,-24.0,,,,,,,16.0,24.5,29.8,,-4.6,9.6,2.8,,-47.0,,-21.8,-3.3,,,,,48.8,48.9,True,,True,False,,,,,,,False,False,False,,True,False,True,,False,,False,True,,,,,False,False
01073,895,1012.0,915.9,1080.7,956.0,1393.0,,,,,,,649.0,1022.5,870.5,,1190.3,922.7,295.3,1585.0,2178.0,,577.5,955.8,1002.0,,,,1915.8,1705.2,117.0,20.9,185.7,61.0,498.0,,,,,,,-246.0,127.5,-24.5,,295.3,27.7,-599.7,690.0,1283.0,,-317.5,60.8,107.0,,,,1020.8,810.2,True,False,True,False,,,,,,,False,False,True,,False,True,False,False,False,,False,True,True,,,,False,False
01075,13,9.0,8.8,,11.0,7.0,,,,,,,25.0,17.3,17.3,,5.3,11.3,14.4,,16.0,,5.8,11.9,,,,,16.2,8.7,-4.0,-4.2,,-2.0,-6.0,,,,,,,12.0,4.3,4.3,,-7.7,-1.7,1.4,,3.0,,-7.2,-1.1,,,,,3.2,-4.3,False,,True,False,,,,,,,False,False,False,,False,True,True,,True,,False,True,,,,,True,False
01077,69,78.0,78.0,,75.0,84.0,,,,,,,142.0,106.6,99.6,,46.7,70.2,51.3,120.0,29.0,,51.0,74.9,,,,,109.6,110.3,9.0,9.0,,6.0,15.0,,,,,,,73.0,37.6,30.6,,-22.3,1.2,-17.7,51.0,-40.0,,-18.0,5.9,,,,,40.6,41.3,True,,True,False,,,,,,,False,False,False,,False,True,False,False,False,,False,True,,,,,False,False
01079,59,46.0,46.7,,47.0,32.0,,,,,,,48.0,56.1,41.4,,47.2,57.1,30.0,49.0,38.0,,9.4,46.5,,,,,54.5,56.3,-13.0,-12.3,,-12.0,-27.0,,,,,,,-11.0,-2.9,-17.6,,-11.8,-1.9,-29.0,-10.0,-21.0,,-49.6,-12.5,,,,,-4.5,-2.7,True,,True,False,,,,,,,True,True,False,,True,True,False,True,False,,False,True,,,,,True,True
01081,290,284.0,287.1,,275.0,378.0,,,,,,,259.0,222.6,192.8,,331.9,265.4,105.6,402.0,706.0,,456.5,260.6,367.0,,,,362.2,1460.3,-6.0,-2.9,,-15.0,88.0,,,,,,,-31.0,-67.4,-97.2,,41.9,-24.6,-184.4,112.0,416.0,,166.5,-29.4,77.0,,,,72.2,1170.3,True,,False,False,,,,,,,False,False,False,,False,False,False,False,False,,False,False,False,,,,False,False
01083,81,96.0,96.1,,96.0,83.0,,,,,,,128.0,119.8,72.8,,99.6,104.9,62.2,147.0,124.0,,75.9,93.8,,,,,155.9,166.8,15.0,15.1,,15.0,2.0,,,,,,,47.0,38.8,-8.2,,18.6,23.9,-18.8,66.0,43.0,,-5.1,12.8,,,,,74.9,85.8,False,,False,True,,,,,,,False,False,True,,False,False,False,False,False,,True,True,,,,,False,False
01085,8,14.0,9.2,,9.0,0.0,,,,,,,19.0,15.4,5.4,,3.6,11.1,0.3,37.0,38.0,,8.1,12.8,,,,,19.2,38.9,6.0,1.2,,1.0,-8.0,,,,,,,11.0,7.4,-2.6,,-4.4,3.1,-7.7,29.0,30.0,,0.1,4.8,,,,,11.2,30.9,True,,True,False,,,,,,,False,False,True,,True,True,False,False,False,,True,True,,,,,False,False
01087,19,17.0,17.7,,16.0,14.0,,,,,,,22.0,31.5,20.7,,8.6,18.3,0.0,33.0,27.0,,13.9,16.2,,,,,26.3,52.8,-2.0,-1.3,,-3.0,-5.0,,,,,,,3.0,12.5,1.7,,-10.4,-0.7,-19.0,14.0,8.0,,-5.1,-2.8,,,,,7.3,33.8,True,,False,False,,,,,,,False,False,True,,False,True,False,False,False,,False,False,,,,,False,False
01089,382,285.0,260.3,302.6,285.0,353.0,,,,,,,366.0,350.6,417.6,,316.1,303.4,119.0,507.0,381.0,,0.0,267.4,278.0,,,,442.8,517.4,-97.0,-121.7,-79.4,-97.0,-29.0,,,,,,,-16.0,-31.4,35.6,,-65.9,-78.6,-263.0,125.0,-1.0,,-382.0,-114.6,-104.0,,,,60.8,135.4,False,True,False,True,,,,,,,True,True,True,,True,True,False,False,True,,False,False,False,,,,True,False
01091,20,17.0,15.6,,16.0,16.0,,,,,,,51.0,27.0,17.0,,3.5,12.5,0.2,,29.0,,10.9,18.7,,,,,23.2,21.6,-3.0,-4.4,,-4.0,-4.0,,,,,,,31.0,7.0,-3.0,,-16.5,-7.5,-19.8,,9.0,,-9.1,-1.3,,,,,3.2,1.6,False,,False,False,,,,,,,False,False,True,,False,False,False,,False,,False,True,,,,,False,True
01093,25,60.0,59.1,,48.0,67.0,,,,,,,48.0,67.5,46.7,,26.2,44.3,21.6,70.0,41.0,,19.7,52.9,,,,,75.2,61.3,35.0,34.1,,23.0,42.0,,,,,,,23.0,42.5,21.7,,1.2,19.3,-3.4,45.0,16.0,,-5.3,27.9,,,,,50.2,36.3,True,,True,False,,,,,,,True,False,True,,True,True,True,False,True,,True,True,,,,,False,False
01095,29,62.0,65.9,,66.0,67.0,,,,,,,154.0,130.1,96.6,,30.5,58.9,24.1,190.0,0.0,,30.4,78.8,,,,,130.6,162.8,33.0,36.9,,37.0,38.0,,,,,,,125.0,101.1,67.6,,1.5,29.9,-4.9,161.0,-29.0,,1.4,49.8,,,,,101.6,133.8,False,,False,False,,,,,,,False,False,False,,True,True,True,False,True,,True,False,,,,,False,False
01097,328,411.0,396.2,501.0,411.0,325.0,,,,,,,523.0,529.6,565.1,,447.9,368.5,333.3,,385.0,,190.0,585.1,307.0,,,,779.4,596.1,83.0,68.2,173.0,83.0,-3.0,,,,,,,195.0,201.6,237.1,,119.9,40.5,5.3,,57.0,,-138.0,257.1,-21.0,,,,451.4,268.1,True,False,False,True,,,,,,,False,False,False,,False,True,True,,True,,False,False,True,,,,False,False
01099,3,0.0,0.0,,5.0,5.0,,,,,,,46.0,12.9,22.1,,2.4,5.0,7.7,21.0,3.0,,3.0,0.0,,,,,7.4,47.6,-3.0,-3.0,,2.0,2.0,,,,,,,43.0,9.9,19.1,,-0.6,2.0,4.7,18.0,0.0,,0.0,-3.0,,,,,4.4,44.6,False,,True,True,,,,,,,False,False,False,,True,True,False,False,True,,True,False,,,,,False,False
01101,241,253.0,253.1,312.5,254.0,198.0,,,,,,,308.0,290.4,167.6,,314.6,323.3,87.6,,412.0,,250.3,254.4,289.0,,,,455.6,480.6,12.0,12.1,71.5,13.0,-43.0,,,,,,,67.0,49.4,-73.4,,73.6,82.3,-153.4,,171.0,,9.3,13.4,48.0,,,,214.6,239.6,False,False,False,False,,,,,,,False,False,False,,False,False,False,,False,,True,False,False,,,,False,False
01103,94,165.0,157.0,,160.0,183.0,,,,,,,160.0,182.0,116.0,,165.6,155.6,55.1,269.0,241.0,,60.6,161.9,,,,,250.5,299.1,71.0,63.0,,66.0,89.0,,,,,,,66.0,88.0,22.0,,71.6,61.6,-38.9,175.0,147.0,,-33.4,67.9,,,,,156.5,205.1,True,,True,False,,,,,,,True,False,True,,False,True,True,False,False,,True,True,,,,,False,False
01105,4,9.0,9.2,,8.0,7.0,,,,,,,17.0,14.5,10.9,,1.2,4.8,0.0,,0.0,,3.2,10.5,,,,,17.9,26.8,5.0,5.2,,4.0,3.0,,,,,,,13.0,10.5,6.9,,-2.8,0.8,-4.0,,-4.0,,-0.8,6.5,,,,,13.9,22.8,False,,True,True,,,,,,,False,False,False,,True,True,True,,True,,True,False,,,,,False,False
01107,15,34.0,37.8,,30.0,47.0,,,,,,,40.0,47.5,25.6,,19.8,30.0,22.0,49.0,0.0,,30.2,28.9,,,,,53.8,50.2,19.0,22.8,,15.0,32.0,,,,,,,25.0,32.5,10.6,,4.8,15.0,7.0,34.0,-15.0,,15.2,13.9,,,,,38.8,35.2,False,,True,False,,,,,,,False,False,True,,True,True,True,False,True,,True,True,,,,,False,False
01109,29,43.0,38.2,,38.0,40.0,,,,,,,87.0,63.5,33.2,,22.6,33.3,19.1,68.0,0.0,,14.0,41.4,,,,,59.0,97.0,14.0,9.2,,9.0,11.0,,,,,,,58.0,34.5,4.2,,-6.4,4.3,-9.9,39.0,-29.0,,-15.0,12.4,,,,,30.0,68.0,True,,True,True,,,,,,,False,False,True,,True,True,True,False,False,,False,True,,,,,False,False
