,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,68121,93660.0,88728.9,79140.0,101565.0,,80549.0,75045.6,259582.3,68452.7,80588.9,73064.5,78432.9,,148754.7,82238.8,148933.7,75756.7,60385.0,25539.0,20607.9,11019.0,33444.0,,12428.0,6924.6,191461.3,331.7,12467.9,4943.5,10311.9,,80633.7,14117.8,80812.7,7635.7,-7736.0,True,True,False,,True,True,False,True,True,True,True,,False,True,False,True,True
Hawaii,6347,4596.0,4218.4,4489.0,6250.0,,3383.0,3542.8,22.9,9333.8,6873.7,5790.2,5272.1,,4949.3,4228.9,,14716.7,12315.0,-1751.0,-2128.6,-1858.0,-97.0,,-2964.0,-2804.2,-6324.1,2986.8,526.7,-556.8,-1074.9,,-1397.7,-2118.1,,8369.7,5968.0,False,False,True,,False,False,False,False,True,True,True,,True,False,,False,False
Idaho,8977,13548.0,13862.6,13005.0,19548.0,,10715.0,23226.7,21493.5,17898.8,13931.3,8514.3,10213.5,,11211.6,11126.0,16871.9,10023.0,12987.0,4571.0,4885.6,4028.0,10571.0,,1738.0,14249.7,12516.5,8921.8,4954.3,-462.7,1236.5,,2234.6,2149.0,7894.9,1046.0,4010.0,False,True,False,,True,False,False,False,False,True,True,,True,True,False,True,True
Illinois,56104,48976.0,49363.7,51844.0,70383.0,,2629.0,58146.0,53771.3,61841.6,69711.3,33510.5,48618.8,,65928.5,59949.8,31994.4,59756.2,54765.0,-7128.0,-6740.3,-4260.0,14279.0,,-53475.0,2042.0,-2332.7,5737.6,13607.3,-22593.5,-7485.2,,9824.5,3845.8,-24109.6,3652.2,-1339.0,True,True,False,,False,True,True,True,False,False,False,,False,True,False,True,True
Indiana,25674,24660.0,24161.6,25879.0,35305.0,,7572.0,27615.1,35147.7,33732.0,26083.9,21888.0,25471.0,,50165.7,25405.8,24047.2,43471.1,25120.0,-1014.0,-1512.4,205.0,9631.0,,-18102.0,1941.1,9473.7,8058.0,409.9,-3786.0,-203.0,,24491.7,-268.2,-1626.8,17797.1,-554.0,False,True,False,,False,False,False,False,True,False,True,,False,True,False,False,True
Iowa,21155,12968.0,13074.7,12338.0,15408.0,,2700.0,12046.1,16968.9,16112.2,12505.9,9479.7,10322.8,,16501.3,10612.9,14790.4,12066.1,11193.0,-8187.0,-8080.3,-8817.0,-5747.0,,-18455.0,-9108.9,-4186.1,-5042.8,-8649.1,-11675.3,-10832.2,,-4653.7,-10542.1,-6364.6,-9088.9,-9962.0,True,False,True,,False,False,True,True,False,False,False,,True,False,True,False,False
Kansas,15179,11484.0,11463.4,11078.0,14017.0,,8804.0,9774.1,30184.4,18912.3,8305.0,6758.0,8110.4,,14213.6,11854.0,11855.4,7320.9,9441.0,-3695.0,-3715.6,-4101.0,-1162.0,,-6375.0,-5404.9,15005.4,3733.3,-6874.0,-8421.0,-7068.6,,-965.4,-3325.0,-3323.6,-7858.1,-5738.0,False,False,True,,False,False,False,False,False,False,False,,True,True,True,False,False
Kentucky,17886,15420.0,15588.4,15660.0,20206.0,,10956.0,36116.2,41902.8,25838.0,17152.6,10936.5,13012.5,,22152.9,14222.4,20716.7,12711.9,13101.0,-2466.0,-2297.6,-2226.0,2320.0,,-6930.0,18230.2,24016.8,7952.0,-733.4,-6949.5,-4873.5,,4266.9,-3663.6,2830.7,-5174.1,-4785.0,True,True,True,,False,False,False,False,True,False,False,,False,False,False,False,False
Louisiana,23613,49864.0,49964.3,41483.0,48597.0,,31964.0,58945.2,113626.2,34510.9,42854.5,35535.2,33872.7,,33244.5,42526.1,,25836.9,17308.0,26251.0,26351.3,17870.0,24984.0,,8351.0,35332.2,90013.2,10897.9,19241.5,11922.2,10259.7,,9631.5,18913.1,,2223.9,-6305.0,False,True,True,,True,False,False,True,True,True,True,,True,True,,True,True
Maine,605,364.0,363.9,352.0,452.0,,170.0,475.3,776.1,1141.3,342.9,219.5,354.9,,283.1,343.7,589.3,309.8,280.0,-241.0,-241.1,-253.0,-153.0,,-435.0,-129.7,171.1,536.3,-262.1,-385.5,-250.1,,-321.9,-261.3,-15.7,-295.2,-325.0,False,False,True,,False,True,True,False,False,False,False,,False,False,True,False,False
Maryland,17026,20864.0,20708.6,20139.0,15544.0,,7543.0,28913.2,33023.5,18754.8,38470.8,15395.4,19214.4,,20522.7,20723.8,17608.8,16690.1,14334.0,3838.0,3682.6,3113.0,-1482.0,,-9483.0,11887.2,15997.5,1728.8,21444.8,-1630.6,2188.4,,3496.7,3697.8,582.8,-335.9,-2692.0,True,True,True,,False,False,False,True,False,True,True,,True,True,True,True,True
Massachusetts,8426,10684.0,10583.9,11347.0,10907.0,,71.0,12450.7,29048.0,18829.2,22425.2,6600.4,11395.3,,11046.3,17034.4,5402.5,13258.6,10790.0,2258.0,2157.9,2921.0,2481.0,,-8355.0,4024.7,20622.0,10403.2,13999.2,-1825.6,2969.3,,2620.3,8608.4,-3023.5,4832.6,2364.0,True,False,False,,False,False,False,False,False,True,False,,False,False,False,False,False
Michigan,21000,19436.0,18847.1,19200.0,18488.0,,4578.0,23358.4,28666.2,44102.2,35383.9,13116.5,17597.4,,31489.4,16215.2,,15068.4,15323.0,-1564.0,-2152.9,-1800.0,-2512.0,,-16422.0,2358.4,7666.2,23102.2,14383.9,-7883.5,-3402.6,,10489.4,-4784.8,,-5931.6,-5677.0,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,False
Minnesota,19779,19652.0,20259.7,20469.0,23349.0,,5059.0,28290.4,14111.3,22832.2,29818.6,16310.9,17494.2,,40617.5,20075.9,21365.6,22889.1,17786.0,-127.0,480.7,690.0,3570.0,,-14720.0,8511.4,-5667.7,3053.2,10039.6,-3468.1,-2284.8,,20838.5,296.9,1586.6,3110.1,-1993.0,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Mississippi,19832,27060.0,27065.9,26859.0,23814.0,,30923.0,26356.2,63239.3,24780.0,66553.8,14714.4,20904.9,,45589.7,37627.9,45166.8,14084.3,13429.0,7228.0,7233.9,7027.0,3982.0,,11091.0,6524.2,43407.3,4948.0,46721.8,-5117.6,1072.9,,25757.7,17795.9,25334.8,-5747.7,-6403.0,False,True,True,,False,True,False,True,False,True,True,,False,False,False,True,True
Missouri,36002,25556.0,28440.5,29051.0,16083.0,,33664.0,33130.6,81467.9,39950.1,106438.1,20052.8,24742.4,,22805.2,35691.3,49199.3,11758.6,15946.0,-10446.0,-7561.5,-6951.0,-19919.0,,-2338.0,-2871.4,45465.9,3948.1,70436.1,-15949.2,-11259.6,,-13196.8,-310.7,13197.3,-24243.4,-20056.0,True,True,False,,True,True,False,True,False,False,False,,False,True,False,False,False
Montana,3275,3232.0,3214.9,2879.0,3190.0,,2221.0,2439.6,2877.1,5032.5,3979.1,2352.8,2626.6,,4558.8,2348.9,5437.4,2862.9,2904.0,-43.0,-60.1,-396.0,-85.0,,-1054.0,-835.4,-397.9,1757.5,704.1,-922.2,-648.4,,1283.8,-926.1,2162.4,-412.1,-371.0,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Nebraska,7560,7416.0,7270.3,7198.0,6846.0,,1247.0,9311.6,7094.5,7939.3,11171.3,4500.7,5972.3,,12398.9,9537.0,5635.3,5029.7,5197.0,-144.0,-289.7,-362.0,-714.0,,-6313.0,1751.6,-465.5,379.3,3611.3,-3059.3,-1587.7,,4838.9,1977.0,-1924.7,-2530.3,-2363.0,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Nevada,15683,25380.0,25726.8,19343.0,17744.0,,31140.0,19467.0,69536.1,18342.0,28162.4,17103.8,17704.0,,19645.1,20019.8,41135.8,14538.9,16808.0,9697.0,10043.8,3660.0,2061.0,,15457.0,3784.0,53853.1,2659.0,12479.4,1420.8,2021.0,,3962.1,4336.8,25452.8,-1144.1,1125.0,False,True,True,,False,True,False,True,False,True,True,,True,True,False,True,True
New Hampshire,606,816.0,817.5,816.0,1154.0,,43.0,975.8,3006.4,1704.2,192.4,521.6,813.1,,864.4,759.0,738.2,768.5,801.0,210.0,211.5,210.0,548.0,,-563.0,369.8,2400.4,1098.2,-413.6,-84.4,207.1,,258.4,153.0,132.2,162.5,195.0,False,False,False,,False,False,False,False,False,True,True,,False,True,True,True,True
New Jersey,10498,9600.0,9812.5,9969.0,10080.0,,162.0,9778.1,13273.5,15242.6,12348.1,6315.2,11006.4,,7672.0,18463.2,1526.3,20860.2,5323.0,-898.0,-685.5,-529.0,-418.0,,-10336.0,-719.9,2775.5,4744.6,1850.1,-4182.8,508.4,,-2826.0,7965.2,-8971.7,10362.2,-5175.0,True,True,True,,False,True,False,False,False,False,True,,False,False,False,False,False
New Mexico,3933,5276.0,4968.8,5080.0,4868.0,,4728.0,6114.9,16178.4,9256.8,8605.6,3593.8,4406.5,,3968.0,6575.8,7902.1,3166.3,3210.0,1343.0,1035.8,1147.0,935.0,,795.0,2181.9,12245.4,5323.8,4672.6,-339.2,473.5,,35.0,2642.8,3969.1,-766.7,-723.0,True,True,True,,True,False,False,False,False,True,True,,True,False,False,True,True
New York,17835,18312.0,18827.7,18207.0,19027.0,,290.0,15055.0,24193.5,60608.4,21766.9,11514.5,18517.4,,16287.0,18909.5,1758.3,16611.8,16781.0,477.0,992.7,372.0,1192.0,,-17545.0,-2780.0,6358.5,42773.4,3931.9,-6320.5,682.4,,-1548.0,1074.5,-16076.7,-1223.2,-1054.0,False,True,False,,False,False,False,False,False,False,False,,False,False,False,False,False
North Carolina,42468,43768.0,43477.2,43123.0,43354.0,,54407.0,34877.3,108045.8,55955.7,45530.6,30220.2,32556.9,,51177.2,42653.2,61550.1,28830.0,33728.0,1300.0,1009.2,655.0,886.0,,11939.0,-7590.7,65577.8,13487.7,3062.6,-12247.8,-9911.1,,8709.2,185.2,19082.1,-13638.0,-8740.0,True,True,True,,False,False,False,False,False,False,False,,False,True,False,False,False
North Dakota,5826,3624.0,3683.1,3594.0,3108.0,,457.0,5844.6,2212.2,3669.5,3669.9,2829.5,3261.8,,5055.9,4315.1,4085.2,3953.5,3485.0,-2202.0,-2142.9,-2232.0,-2718.0,,-5369.0,18.6,-3613.8,-2156.5,-2156.1,-2996.5,-2564.2,,-770.1,-1510.9,-1740.8,-1872.5,-2341.0,True,False,False,,False,True,False,True,True,False,False,,True,True,True,True,False
Ohio,29816,31528.0,31976.3,27477.0,35516.0,,18540.0,27563.7,96025.3,59322.3,30505.9,19919.2,26393.1,,24647.5,27713.0,40252.0,24479.9,25721.0,1712.0,2160.3,-2339.0,5700.0,,-11276.0,-2252.3,66209.3,29506.3,689.9,-9896.8,-3422.9,,-5168.5,-2103.0,10436.0,-5336.1,-4095.0,False,False,False,,False,False,False,False,True,False,False,,False,False,False,False,False
Oklahoma,20107,21396.0,22148.2,21444.0,18937.0,,24673.0,15764.1,41977.2,35739.3,48324.0,12635.9,16687.4,,46152.0,18198.2,37658.4,12378.8,14783.0,1289.0,2041.2,1337.0,-1170.0,,4566.0,-4342.9,21870.2,15632.3,28217.0,-7471.1,-3419.6,,26045.0,-1908.8,17551.4,-7728.2,-5324.0,False,False,True,,False,False,False,False,False,False,False,,False,False,False,False,False
Oregon,6846,8772.0,8677.8,8742.0,10125.0,,10137.0,5898.7,30669.8,19169.0,9801.5,6573.3,8131.8,,9023.0,7833.0,13385.3,7763.8,7689.0,1926.0,1831.8,1896.0,3279.0,,3291.0,-947.3,23823.8,12323.0,2955.5,-272.7,1285.8,,2177.0,987.0,6539.3,917.8,843.0,True,True,False,,False,True,False,False,False,True,True,,False,True,False,True,True
Pennsylvania,20615,20788.0,20729.9,19620.0,18268.0,,684.0,19731.8,30524.7,49702.7,36341.3,13147.6,18477.3,,25313.5,17522.7,11434.3,16182.2,13287.0,173.0,114.9,-995.0,-2347.0,,-19931.0,-883.2,9909.7,29087.7,15726.3,-7467.4,-2137.7,,4698.5,-3092.3,-9180.7,-4432.8,-7328.0,True,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Rhode Island,2505,2864.0,2792.2,2099.0,2859.0,,20.0,4299.1,1991.7,808.3,1046.2,1193.2,2056.9,,1946.7,2785.8,815.9,2343.1,1922.0,359.0,287.2,-406.0,354.0,,-2485.0,1794.1,-513.3,-1696.7,-1458.8,-1311.8,-448.1,,-558.3,280.8,-1689.1,-161.9,-583.0,True,False,True,,False,False,False,False,False,False,False,,False,True,False,True,False
South Carolina,24829,35444.0,35097.8,30556.0,31692.0,,33914.0,21366.0,57099.8,36770.0,32720.4,21070.6,29096.4,,26873.1,27049.6,45085.0,21164.3,22867.0,10615.0,10268.8,5727.0,6863.0,,9085.0,-3463.0,32270.8,11941.0,7891.4,-3758.4,4267.4,,2044.1,2220.6,20256.0,-3664.7,-1962.0,True,True,True,,True,True,False,False,True,True,True,,True,True,False,True,True
South Dakota,5412,2440.0,2441.4,2466.0,2258.0,,547.0,2453.5,2484.8,1709.9,2635.7,2195.9,2975.2,,3701.9,4316.2,1673.2,4577.0,2954.0,-2972.0,-2970.6,-2946.0,-3154.0,,-4865.0,-2958.5,-2927.2,-3702.1,-2776.3,-3216.1,-2436.8,,-1710.1,-1095.8,-3738.8,-835.0,-2458.0,True,True,False,,False,True,True,False,True,False,True,,True,True,False,True,True
Tennessee,41777,49604.0,54837.6,48926.0,44646.0,,51396.0,52620.7,38141.0,50582.4,47959.4,45134.9,42177.1,,68739.5,51765.4,92287.6,38860.8,26939.0,7827.0,13060.6,7149.0,2869.0,,9619.0,10843.7,-3636.0,8805.4,6182.4,3357.9,400.1,,26962.5,9988.4,50510.6,-2916.2,-14838.0,False,True,True,,False,False,True,False,True,True,True,,False,False,False,True,False
Texas,156848,211576.0,193321.0,186990.0,232695.0,,200652.0,128174.5,748479.5,190096.1,185888.0,118089.5,165189.3,,377598.0,185897.5,287950.8,144901.2,150321.0,54728.0,36473.0,30142.0,75847.0,,43804.0,-28673.5,591631.5,33248.1,29040.0,-38758.5,8341.3,,220750.0,29049.5,131102.8,-11946.8,-6527.0,True,True,False,,True,True,False,True,True,True,True,,False,True,False,True,True
Utah,10521,12196.0,12832.6,10583.0,10917.0,,11726.0,8489.0,18394.7,12190.2,10689.1,8432.7,8653.0,,6961.7,12677.5,19133.7,8085.7,8437.0,1675.0,2311.6,62.0,396.0,,1205.0,-2032.0,7873.7,1669.2,168.1,-2088.3,-1868.0,,-3559.3,2156.5,8612.7,-2435.3,-2084.0,False,True,True,,True,False,False,True,True,False,False,,False,False,False,False,False
Vermont,193,132.0,106.9,123.0,225.0,,22.0,121.5,93.5,702.9,296.2,95.8,118.5,,526.8,205.3,,130.8,101.0,-61.0,-86.1,-70.0,32.0,,-171.0,-71.5,-99.5,509.9,103.2,-97.2,-74.5,,333.8,12.3,,-62.2,-92.0,False,False,True,,False,False,False,False,False,False,False,,False,True,,False,False
Virginia,26538,33552.0,33106.9,35696.0,51088.0,,10431.0,37561.1,103797.8,40347.1,30490.8,21853.8,27608.1,,75469.1,43472.1,31472.7,39586.1,0.0,7014.0,6568.9,9158.0,24550.0,,-16107.0,11023.1,77259.8,13809.1,3952.8,-4684.2,1070.1,,48931.1,16934.1,4934.7,13048.1,-26538.0,True,False,False,,False,False,False,False,True,True,True,,False,False,True,False,False
Washington,14790,19928.0,19343.0,20414.0,20268.0,,21225.0,16423.6,46629.6,27466.5,25955.0,14165.2,14376.3,,25869.5,21748.1,24311.2,16798.0,16460.0,5138.0,4553.0,5624.0,5478.0,,6435.0,1633.6,31839.6,12676.5,11165.0,-624.8,-413.7,,11079.5,6958.1,9521.2,2008.0,1670.0,True,False,False,,False,True,False,False,False,True,True,,False,False,False,True,True
West Virginia,3730,3300.0,3241.1,3267.0,4392.0,,3208.0,4007.0,2627.2,7752.3,5349.6,2794.9,3086.1,,16675.6,2602.9,5170.6,3067.7,3480.0,-430.0,-488.9,-463.0,662.0,,-522.0,277.0,-1102.8,4022.3,1619.6,-935.1,-643.9,,12945.6,-1127.1,1440.6,-662.3,-250.0,False,False,False,,False,True,False,False,False,False,False,,False,False,False,False,True
Wisconsin,20367,23724.0,24023.8,23736.0,31815.0,,10768.0,26677.2,33890.4,33609.6,21064.2,17228.2,18202.4,,27045.8,23145.8,31352.7,22726.9,21290.0,3357.0,3656.8,3369.0,11448.0,,-9599.0,6310.2,13523.4,13242.6,697.2,-3138.8,-2164.6,,6678.8,2778.8,10985.7,2359.9,923.0,False,False,False,,False,False,False,False,True,True,True,,False,True,False,True,True
Wyoming,991,984.0,980.8,939.0,720.0,,895.0,1022.8,25.1,1839.5,2609.0,650.3,827.2,,1051.1,1088.9,,546.7,951.0,-7.0,-10.2,-52.0,-271.0,,-96.0,31.8,-965.9,848.5,1618.0,-340.7,-163.8,,60.1,97.9,,-444.3,-40.0,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,False
US,1246573,1509348.0,1478314.9,1435588.0,1498507.0,1044205.0,1406799.0,1300077.6,3324541.1,1731385.5,1726454.9,957987.9,1203261.2,1361308.4,1911135.0,1213722.2,1651848.6,1117767.3,1058693.0,262775.0,231741.9,189015.0,251934.0,-202368.0,160226.0,53504.6,2077968.1,484812.5,479881.9,-288585.1,-43311.8,114735.4,664562.0,-32850.8,405275.6,-128805.7,-187880.0,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,True,True
