,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,13790,15536.0,15675.9,13209.0,15865.0,,12925.8,16116.0,13469.3,14802.0,16945.0,16374.0,13010.3,12058.2,15941.9,10788.0,12445.8,13609.0,,11926.4,15047.0,13060.5,13209.0,14587.0,1746.0,1885.9,-581.0,2075.0,,-864.2,2326.0,-320.7,1012.0,3155.0,2584.0,-779.7,-1731.8,2151.9,-3002.0,-1344.2,-181.0,,-1863.6,1257.0,-729.5,-581.0,797.0,False,True,False,,True,False,True,True,False,False,True,True,False,False,True,True,,False,True,True,True,True
Hawaii,1554,1783.0,1801.4,1762.0,1898.0,,1918.9,1526.0,2402.5,2019.2,,,1604.6,2013.8,1848.4,1741.5,1580.5,2218.0,,2394.2,1808.1,1714.2,1912.9,1863.0,229.0,247.4,208.0,344.0,,364.9,-28.0,848.5,465.2,,,50.6,459.8,294.4,187.5,26.5,664.0,,840.2,254.1,160.2,358.9,309.0,False,True,False,,False,True,False,False,,,True,False,False,True,True,False,,False,False,True,False,False
Idaho,1806,2009.0,2024.4,1991.0,1780.0,,1729.9,2219.0,4734.2,1917.9,2390.0,1883.0,2411.2,2794.9,2254.7,1619.7,1734.4,1672.0,,1239.4,1990.7,1704.8,1779.9,1671.0,203.0,218.4,185.0,-26.0,,-76.1,413.0,2928.2,111.9,584.0,77.0,605.2,988.9,448.7,-186.3,-71.6,-134.0,,-566.6,184.7,-101.2,-26.1,-135.0,False,True,True,,True,False,False,True,False,True,False,False,False,True,True,True,,False,True,True,True,True
Illinois,17036,13365.0,13297.1,13286.0,12687.0,,13446.1,4758.0,14836.5,13702.3,14258.0,14082.0,11098.8,12944.3,18202.4,12917.4,13138.1,14684.0,,10601.4,13712.1,9262.1,13285.8,13506.0,-3671.0,-3738.9,-3750.0,-4349.0,,-3589.9,-12278.0,-2199.5,-3333.7,-2778.0,-2954.0,-5937.2,-4091.7,1166.4,-4118.6,-3897.9,-2352.0,,-6434.6,-3323.9,-7773.9,-3750.2,-3530.0,False,False,False,,True,False,True,True,True,True,False,False,True,False,False,True,,False,True,False,False,True
Indiana,6527,7117.0,7186.2,6528.0,8065.0,,6344.6,5327.0,6524.3,6323.5,7297.0,5916.0,5578.9,7739.1,7021.5,6025.3,6528.0,7239.0,,5432.7,7380.0,4444.4,7278.7,7423.0,590.0,659.2,1.0,1538.0,,-182.4,-1200.0,-2.7,-203.5,770.0,-611.0,-948.1,1212.1,494.5,-501.7,1.0,712.0,,-1094.3,853.0,-2082.6,751.7,896.0,False,True,False,,True,False,True,True,False,False,False,False,True,True,True,False,,False,False,False,False,False
Iowa,6078,7616.0,7482.4,7305.0,8806.0,,6717.6,7305.0,6346.2,7188.5,8251.0,5654.0,7943.3,3497.5,7504.3,7157.9,6580.2,9158.0,,8201.0,7443.9,4194.7,10433.0,7727.0,1538.0,1404.4,1227.0,2728.0,,639.6,1227.0,268.2,1110.5,2173.0,-424.0,1865.3,-2580.5,1426.3,1079.9,502.2,3080.0,,2123.0,1365.9,-1883.3,4355.0,1649.0,True,True,False,,True,True,True,True,False,True,False,False,True,True,True,False,,False,True,False,False,False
Kansas,4061,4207.0,4177.6,3686.0,4354.0,,3698.8,2869.0,3701.2,4729.1,5006.0,4602.0,4697.7,3856.8,3581.4,2735.8,3091.1,4977.0,,2589.6,3843.2,3164.1,3171.6,4320.0,146.0,116.6,-375.0,293.0,,-362.2,-1192.0,-359.8,668.1,945.0,541.0,636.7,-204.2,-479.6,-1325.2,-969.9,916.0,,-1471.4,-217.8,-896.9,-889.4,259.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Kentucky,4887,4511.0,4509.7,4458.0,4939.0,,4440.8,4259.0,8084.0,4685.8,6135.0,5279.0,4490.2,4261.9,4461.8,3951.7,4457.8,4913.0,,3427.1,4431.3,3003.9,4891.0,4703.0,-376.0,-377.3,-429.0,52.0,,-446.2,-628.0,3197.0,-201.2,1248.0,392.0,-396.8,-625.1,-425.2,-935.3,-429.2,26.0,,-1459.9,-455.7,-1883.1,4.0,-184.0,False,False,True,,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,True,True
Louisiana,5415,4523.0,4561.2,4561.0,3956.0,,4643.9,5317.0,8182.9,3513.6,3756.0,5023.0,2593.5,3000.1,3337.3,5990.4,5188.1,2885.0,,1220.7,4691.7,4205.3,4320.9,3471.0,-892.0,-853.8,-854.0,-1459.0,,-771.1,-98.0,2767.9,-1901.4,-1659.0,-392.0,-2821.5,-2414.9,-2077.7,575.4,-226.9,-2530.0,,-4194.3,-723.3,-1209.7,-1094.1,-1944.0,True,True,False,,True,True,False,False,False,True,False,False,False,True,True,False,,False,True,False,False,False
Maine,141,174.0,191.9,174.0,218.0,,172.8,121.0,143.6,180.8,161.0,102.0,184.8,289.1,84.6,177.6,174.5,239.0,,138.9,167.2,140.9,228.9,192.0,33.0,50.9,33.0,77.0,,31.8,-20.0,2.6,39.8,20.0,-39.0,43.8,148.1,-56.4,36.6,33.5,98.0,,-2.1,26.2,-0.1,87.9,51.0,False,False,False,,True,True,True,False,True,False,False,False,False,False,False,False,,True,True,True,False,False
Maryland,4313,3771.0,3722.4,3486.0,3736.0,,3330.1,915.0,3612.1,3776.7,3863.0,4193.0,2735.6,3960.9,3311.7,3411.8,3485.8,3319.0,,2242.0,3425.2,,3989.2,3635.0,-542.0,-590.6,-827.0,-577.0,,-982.9,-3398.0,-700.9,-536.3,-450.0,-120.0,-1577.4,-352.1,-1001.3,-901.2,-827.2,-994.0,,-2071.0,-887.8,,-323.8,-678.0,False,False,False,,False,False,False,True,True,True,False,True,False,False,False,False,,False,False,,True,False
Massachusetts,2065,2670.0,2696.2,2098.0,2098.0,,1952.0,877.0,2097.8,2589.7,2804.0,2642.0,1222.5,1934.3,2860.1,2020.4,2325.8,2624.0,,5533.9,2864.6,,152.9,2522.0,605.0,631.2,33.0,33.0,,-113.0,-1188.0,32.8,524.7,739.0,577.0,-842.5,-130.7,795.1,-44.6,260.8,559.0,,3468.9,799.6,,-1912.1,457.0,False,True,True,,True,False,True,True,False,True,False,True,False,True,True,True,,False,False,,False,True
Michigan,6055,5092.0,5212.9,5369.0,5180.0,,5883.9,3040.0,5501.2,8176.4,5781.0,6041.0,4053.7,7625.7,5545.5,6844.1,5867.0,4655.0,,2332.2,5656.1,,6008.6,5300.0,-963.0,-842.1,-686.0,-875.0,,-171.1,-3015.0,-553.8,2121.4,-274.0,-14.0,-2001.3,1570.7,-509.5,789.1,-188.0,-1400.0,,-3722.8,-398.9,,-46.4,-755.0,True,True,True,,True,False,True,False,True,True,False,False,True,True,True,False,,False,True,,True,True
Minnesota,5623,5390.0,5349.3,5390.0,5688.0,,5312.4,1388.0,5960.4,6106.1,6382.0,5659.0,4390.5,4687.7,4434.9,6070.8,5781.7,5738.0,,4294.7,5393.9,3713.9,7477.3,5645.0,-233.0,-273.7,-233.0,65.0,,-310.6,-4235.0,337.4,483.1,759.0,36.0,-1232.5,-935.3,-1188.1,447.8,158.7,115.0,,-1328.3,-229.1,-1909.1,1854.3,22.0,False,False,True,,False,False,False,False,False,True,False,False,False,False,True,True,,False,True,False,False,True
Mississippi,4449,4761.0,4926.6,4386.0,4873.0,,4380.6,4231.0,4598.5,4787.6,5101.0,5100.0,3453.1,3891.1,3911.4,4092.9,4469.0,4675.0,,2886.9,4392.4,3899.5,4385.9,4546.0,312.0,477.6,-63.0,424.0,,-68.4,-218.0,149.5,338.6,652.0,651.0,-995.9,-557.9,-537.6,-356.1,20.0,226.0,,-1562.1,-56.6,-549.5,-63.1,97.0,False,True,False,,True,True,True,False,False,False,False,False,False,False,True,True,,False,True,False,True,True
Missouri,10003,8216.0,8210.2,7884.0,7508.0,,8938.6,7284.0,8023.3,7963.9,6907.0,7884.0,7251.1,8136.1,7106.0,9075.9,8333.0,8581.0,,6401.2,7350.5,7192.2,9817.0,8195.0,-1787.0,-1792.8,-2119.0,-2495.0,,-1064.4,-2719.0,-1979.7,-2039.1,-3096.0,-2119.0,-2751.9,-1866.9,-2897.0,-927.1,-1670.0,-1422.0,,-3601.8,-2652.5,-2810.8,-186.0,-1808.0,False,False,False,,True,False,False,False,False,False,False,False,False,True,True,True,,False,False,False,True,False
Montana,913,875.0,851.5,842.0,659.0,,791.2,728.0,679.7,871.3,1168.0,1005.0,1013.4,865.3,818.7,878.3,836.1,972.0,,988.0,788.5,698.4,1051.8,842.0,-38.0,-61.5,-71.0,-254.0,,-121.8,-185.0,-233.3,-41.7,255.0,92.0,100.4,-47.7,-94.3,-34.7,-76.9,59.0,,75.0,-124.5,-214.6,138.8,-71.0,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False
Nebraska,2052,1973.0,1915.4,2061.0,2176.0,,2061.4,730.0,2234.9,1864.5,2527.0,2118.0,2037.1,1605.1,2427.9,2100.4,2112.6,2033.0,,1378.6,1972.8,1389.9,2605.5,1881.0,-79.0,-136.6,9.0,124.0,,9.4,-1322.0,182.9,-187.5,475.0,66.0,-14.9,-446.9,375.9,48.4,60.6,-19.0,,-673.4,-79.2,-662.1,553.5,-171.0,False,True,False,,True,False,False,False,False,True,True,False,False,True,True,True,,False,False,False,False,False
Nevada,2641,3392.0,3398.4,3149.0,2760.0,,3291.4,4049.0,3208.0,3002.3,3775.0,3477.0,2830.3,2517.0,3611.8,3148.5,3014.8,2849.0,,2538.3,3345.2,2905.9,3001.9,2989.0,751.0,757.4,508.0,119.0,,650.4,1408.0,567.0,361.3,1134.0,836.0,189.3,-124.0,970.8,507.5,373.8,208.0,,-102.7,704.2,264.9,360.9,348.0,False,True,True,,True,False,True,True,False,False,True,True,False,True,True,True,,True,True,True,True,True
New Hampshire,178,152.0,161.6,126.0,156.0,,103.4,5.0,113.8,149.1,167.0,128.0,167.1,306.8,48.5,108.1,122.8,141.0,,109.4,141.3,214.7,125.8,131.0,-26.0,-16.4,-52.0,-22.0,,-74.6,-173.0,-64.2,-28.9,-11.0,-50.0,-10.9,128.8,-129.5,-69.9,-55.2,-37.0,,-68.6,-36.7,36.7,-52.2,-47.0,True,False,True,,False,False,False,False,True,False,True,False,False,False,False,False,,False,False,False,False,False
New Jersey,2427,1974.0,1893.5,1974.0,2057.0,,1741.3,63.0,1733.1,1859.9,1684.0,2709.0,955.1,3239.5,2798.8,1933.0,2091.8,1935.0,,1510.6,1998.2,,2286.2,1879.0,-453.0,-533.5,-453.0,-370.0,,-685.7,-2364.0,-693.9,-567.1,-743.0,282.0,-1471.9,812.5,371.8,-494.0,-335.2,-492.0,,-916.4,-428.8,,-140.8,-548.0,False,False,True,,False,False,False,False,False,True,False,False,True,False,True,False,,False,True,,True,False
New Mexico,870,876.0,828.9,822.0,903.0,,809.7,699.0,823.8,845.6,851.0,1016.0,815.7,1076.5,734.4,807.9,849.0,836.0,,581.0,821.9,754.3,897.6,898.0,6.0,-41.1,-48.0,33.0,,-60.3,-171.0,-46.2,-24.4,-19.0,146.0,-54.3,206.5,-135.6,-62.1,-21.0,-34.0,,-289.0,-48.1,-115.7,27.6,28.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
New York,5256,4237.0,4211.7,4119.0,4386.0,,3190.7,74.0,3625.3,4229.9,4334.0,3739.0,2162.7,6715.7,4670.6,4119.3,4560.3,4161.0,,4949.6,3947.7,,3941.8,4185.0,-1019.0,-1044.3,-1137.0,-870.0,,-2065.3,-5182.0,-1630.7,-1026.1,-922.0,-1517.0,-3093.3,1459.7,-585.4,-1136.7,-695.7,-1095.0,,-306.4,-1308.3,,-1314.2,-1071.0,False,False,True,,False,False,False,False,True,False,False,False,True,False,True,False,,True,False,,False,False
North Carolina,10318,11436.0,11312.2,10721.0,12485.0,,9530.8,14049.0,8645.8,12097.6,12229.0,11258.0,10721.3,9476.2,8442.7,9132.1,10459.7,13227.0,,9361.6,10957.1,9066.9,12475.9,12053.0,1118.0,994.2,403.0,2167.0,,-787.2,3731.0,-1672.2,1779.6,1911.0,940.0,403.3,-841.8,-1875.3,-1185.9,141.7,2909.0,,-956.4,639.1,-1251.1,2157.9,1735.0,True,True,False,,True,False,False,False,False,True,True,True,False,False,True,False,,True,True,False,False,False
North Dakota,1850,1748.0,1707.8,1831.0,2045.0,,1895.9,50.0,1928.8,2222.4,2334.0,1453.0,1831.5,877.3,1809.8,1856.7,1762.0,2400.0,,2222.7,1677.5,1424.6,2268.2,1844.0,-102.0,-142.2,-19.0,195.0,,45.9,-1800.0,78.8,372.4,484.0,-397.0,-18.5,-972.7,-40.2,6.7,-88.0,550.0,,372.7,-172.5,-425.4,418.2,-6.0,False,True,False,,True,False,True,False,False,False,True,False,True,True,True,False,,False,False,False,False,True
Ohio,8465,7155.0,7103.1,7010.0,7931.0,,6465.5,5911.0,6463.9,7277.4,8247.0,7010.0,6447.5,9898.4,6234.5,6741.2,7185.3,7203.0,,4501.9,7157.0,4458.7,8241.2,6408.0,-1310.0,-1361.9,-1455.0,-534.0,,-1999.5,-2554.0,-2001.1,-1187.6,-218.0,-1455.0,-2017.5,1433.4,-2230.5,-1723.8,-1279.7,-1262.0,,-3963.1,-1308.0,-4006.3,-223.8,-2057.0,False,False,True,,False,False,False,True,True,False,False,False,False,False,True,True,,False,True,False,True,False
Oklahoma,5834,4754.0,4690.6,4751.0,4692.0,,4751.0,4719.0,4604.3,4747.5,5617.0,5388.0,5071.0,5837.7,3961.1,5331.7,5074.0,5088.0,,3508.8,4562.5,3710.3,6165.8,4969.0,-1080.0,-1143.4,-1083.0,-1142.0,,-1083.0,-1115.0,-1229.7,-1086.5,-217.0,-446.0,-763.0,3.7,-1872.9,-502.3,-760.0,-746.0,,-2325.2,-1271.5,-2123.7,331.8,-865.0,False,False,False,,False,False,False,False,True,True,True,True,False,True,True,True,,False,False,False,True,True
Oregon,1563,1583.0,1580.6,1588.0,1400.0,,1568.6,1727.0,1634.3,1566.2,1800.0,1656.0,1662.4,3132.1,1690.0,1530.8,1588.4,1412.0,,1092.8,1524.5,1284.8,1645.2,1542.0,20.0,17.6,25.0,-163.0,,5.6,164.0,71.3,3.2,237.0,93.0,99.4,1569.1,127.0,-32.2,25.4,-151.0,,-470.2,-38.5,-278.2,82.2,-21.0,True,False,False,,True,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False
Pennsylvania,5704,4416.0,4206.1,4203.0,4203.0,,4227.4,1155.0,4012.6,4399.6,4780.0,3628.0,3332.8,6803.1,4278.8,4188.9,4428.6,4281.0,,3050.6,4317.4,2780.5,4591.6,4198.0,-1288.0,-1497.9,-1501.0,-1501.0,,-1476.6,-4549.0,-1691.4,-1304.4,-924.0,-2076.0,-2371.2,1099.1,-1425.2,-1515.1,-1275.4,-1423.0,,-2653.4,-1386.6,-2923.5,-1112.4,-1506.0,False,False,False,,False,False,False,False,True,False,False,True,False,False,True,False,,False,False,False,True,False
Rhode Island,560,661.0,650.3,487.0,738.0,,421.2,1.0,937.3,652.5,575.0,930.0,395.1,562.9,884.2,313.4,441.0,641.0,,77.7,670.1,650.8,548.6,592.0,101.0,90.3,-73.0,178.0,,-138.8,-559.0,377.3,92.5,15.0,370.0,-164.9,2.9,324.2,-246.6,-119.0,81.0,,-482.3,110.1,90.8,-11.4,32.0,True,True,False,,False,False,False,True,True,False,False,True,False,False,False,True,,False,False,True,True,True
South Carolina,7040,5954.0,5953.1,5953.0,6396.0,,5378.5,4173.0,4926.9,5916.4,7358.0,5976.0,5017.7,3022.6,4678.1,6664.6,6359.4,5876.0,,4367.0,6157.9,5093.6,8248.0,6080.0,-1086.0,-1086.9,-1087.0,-644.0,,-1661.5,-2867.0,-2113.1,-1123.6,318.0,-1064.0,-2022.3,-4017.4,-2361.9,-375.4,-680.6,-1164.0,,-2673.0,-882.1,-1946.4,1208.0,-960.0,False,False,True,,False,False,False,False,True,True,False,False,False,True,True,False,,False,True,False,False,True
South Dakota,1947,1807.0,1884.9,1885.0,1951.0,,2020.1,93.0,1845.6,2114.4,2113.0,1231.0,1915.9,441.9,3048.1,2687.3,1897.6,2279.0,,1638.7,1713.7,997.8,4021.8,2068.0,-140.0,-62.1,-62.0,4.0,,73.1,-1854.0,-101.4,167.4,166.0,-716.0,-31.1,-1505.1,1101.1,740.3,-49.4,332.0,,-308.3,-233.3,-949.2,2074.8,121.0,True,True,True,,True,False,True,False,False,False,True,False,False,False,True,False,,False,False,False,False,True
Tennessee,10082,10197.0,10328.8,8488.0,9694.0,,8227.4,7741.0,8846.9,9703.0,12002.0,8843.0,12194.8,9081.0,7928.1,7681.4,7656.4,9040.0,,7163.6,9497.7,8276.4,8488.5,9344.0,115.0,246.8,-1594.0,-388.0,,-1854.6,-2341.0,-1235.1,-379.0,1920.0,-1239.0,2112.8,-1001.0,-2153.9,-2400.6,-2425.6,-1042.0,,-2918.4,-584.3,-1805.6,-1593.5,-738.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Texas,29276,37472.0,37562.6,30589.0,35604.0,,30588.9,34720.0,31034.4,37646.4,34576.0,39382.0,29140.1,27167.4,36684.0,23446.2,30222.7,31478.0,,18293.0,34632.3,31664.1,28322.8,31304.0,8196.0,8286.6,1313.0,6328.0,,1312.9,5444.0,1758.4,8370.4,5300.0,10106.0,-135.9,-2108.6,7408.0,-5829.8,946.7,2202.0,,-10983.0,5356.3,2388.1,-953.2,2028.0,False,True,True,,True,True,True,False,True,False,True,True,True,True,True,True,,False,True,True,True,True
Utah,2866,2592.0,2578.1,2318.0,2249.0,,2847.7,1964.0,2219.1,2599.5,3014.0,2318.0,2119.9,1972.3,1974.0,2696.9,2825.4,2609.0,,1518.0,2653.2,2151.1,2661.0,2606.0,-274.0,-287.9,-548.0,-617.0,,-18.3,-902.0,-646.9,-266.5,148.0,-548.0,-746.1,-893.7,-892.0,-169.1,-40.6,-257.0,,-1348.0,-212.8,-714.9,-205.0,-260.0,False,False,False,,True,False,False,True,True,False,False,False,False,True,True,True,,False,True,False,True,True
Vermont,42,52.0,54.0,56.0,44.0,,59.8,13.0,44.4,55.9,34.0,58.0,57.6,132.6,64.9,56.0,60.2,58.0,,28.5,55.5,,69.1,53.0,10.0,12.0,14.0,2.0,,17.8,-29.0,2.4,13.9,-8.0,16.0,15.6,90.6,22.9,14.0,18.2,16.0,,-13.5,13.5,,27.1,11.0,False,False,True,,False,False,True,False,True,False,False,False,False,False,False,False,,False,False,,False,False
