,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Maine,843,870.0,,284.6,303.0,2310.9,396.0,442.7,938.0,1469.0,1064.0,27.0,,-558.4,-540.0,1467.9,-447.0,-400.3,95.0,626.0,221.0,,False,False,False,False,False,False,False,False
Maryland,28553,35088.0,,33684.0,8367.0,37792.3,22823.0,21704.3,67697.6,50965.4,46049.0,6535.0,,5131.0,-20186.0,9239.3,-5730.0,-6848.7,39144.6,22412.4,17496.0,,True,False,False,True,False,False,False,False
Massachusetts,12582,12180.0,,10891.9,272.0,62428.4,10520.0,7368.9,25106.3,30794.3,13450.0,-402.0,,-1690.1,-12310.0,49846.4,-2062.0,-5213.1,12524.3,18212.3,868.0,,False,False,False,False,False,False,False,False
Michigan,31569,25704.0,,36884.4,5398.0,40365.4,37564.0,20413.0,44178.4,32724.7,22093.0,-5865.0,,5315.4,-26171.0,8796.4,5995.0,-11156.0,12609.4,1155.7,-9476.0,,True,False,False,False,False,False,True,False
Minnesota,29589,28926.0,,28707.7,5215.0,13313.9,35558.0,22362.0,50267.7,52440.1,34281.0,-663.0,,-881.3,-24374.0,-16275.1,5969.0,-7227.0,20678.7,22851.1,4692.0,,False,False,False,False,False,False,False,False
Mississippi,35497,54810.0,,65843.5,41535.0,55819.8,46105.0,38236.5,47215.1,53252.3,31515.0,19313.0,,30346.5,6038.0,20322.8,10608.0,2739.5,11718.1,17755.3,-3982.0,,False,True,False,True,True,True,True,True
Missouri,52932,49980.0,,78654.6,39058.0,21272.4,34038.0,41705.2,53432.4,110211.3,53018.0,-2952.0,,25722.6,-13874.0,-31659.6,-18894.0,-11226.8,500.4,57279.3,86.0,,False,False,False,False,False,True,False,True
Montana,4905,4728.0,,12058.3,1984.0,18967.5,5881.0,3991.0,3949.6,6802.8,3501.0,-177.0,,7153.3,-2921.0,14062.5,976.0,-914.0,-955.4,1897.8,-1404.0,,False,False,False,False,False,False,False,False
Nebraska,11410,11484.0,,12468.0,1569.0,2323.5,9436.0,7104.0,15117.7,15699.6,11051.0,74.0,,1058.0,-9841.0,-9086.5,-1974.0,-4306.0,3707.7,4289.6,-359.0,,False,False,False,False,False,False,False,False
Nevada,29286,44034.0,,59081.2,41932.0,60783.0,37445.0,29643.9,34980.8,23996.3,24093.0,14748.0,,29795.2,12646.0,31497.0,8159.0,357.9,5694.8,-5289.7,-5193.0,,False,True,False,True,True,True,True,True
New Hampshire,1009,1362.0,,693.0,106.0,2194.3,971.0,802.8,1467.1,2717.8,1793.0,353.0,,-316.0,-903.0,1185.3,-38.0,-206.2,458.1,1708.8,784.0,,True,False,False,True,True,False,False,False
New Jersey,16650,12264.0,,10710.8,275.0,86467.1,10101.0,9540.1,7504.6,15045.8,18830.0,-4386.0,,-5939.2,-16375.0,69817.1,-6549.0,-7109.9,-9145.4,-1604.2,2180.0,,False,False,False,False,False,False,True,True
New Mexico,7260,12312.0,,14120.9,4394.0,14344.0,10375.0,7906.2,13088.3,12280.7,9296.0,5052.0,,6860.9,-2866.0,7084.0,3115.0,646.2,5828.3,5020.7,2036.0,,False,True,False,True,True,False,True,True
New York,26695,29370.0,,25561.8,645.0,110385.3,13852.0,15383.5,24749.1,29507.5,26958.0,2675.0,,-1133.2,-26050.0,83690.3,-12843.0,-11311.5,-1945.9,2812.5,263.0,,True,False,False,False,False,True,False,True
North Carolina,66568,79974.0,,83228.1,111826.0,67664.8,93941.0,45231.8,75478.5,58807.6,48959.0,13406.0,,16660.1,45258.0,1096.8,27373.0,-21336.2,8910.5,-7760.4,-17609.0,,False,False,True,False,False,True,True,False
North Dakota,7598,4974.0,,7344.8,1021.0,3849.8,4372.0,4128.7,7386.5,7832.1,4996.0,-2624.0,,-253.2,-6577.0,-3748.2,-3226.0,-3469.3,-211.5,234.1,-2602.0,,True,False,False,False,False,True,True,True
Ohio,46601,56178.0,,75031.9,22488.0,29731.7,50139.0,30725.6,48198.3,45525.2,42821.0,9577.0,,28430.9,-24113.0,-16869.3,3538.0,-15875.4,1597.3,-1075.8,-3780.0,,False,False,False,True,False,True,True,True
Oklahoma,33106,30144.0,,36602.4,25679.0,45842.5,45945.0,42492.1,21704.8,61545.9,37637.0,-2962.0,,3496.4,-7427.0,12736.5,12839.0,9386.1,-11401.2,28439.9,4531.0,,False,False,False,False,False,False,False,False
Oregon,11364,11730.0,,13862.2,14302.0,17460.1,10613.0,12058.5,11772.0,12668.1,11392.0,366.0,,2498.2,2938.0,6096.1,-751.0,694.5,408.0,1304.1,28.0,,False,False,False,False,False,False,False,True
Pennsylvania,32165,38010.0,,47670.1,2089.0,37907.9,29226.0,19239.8,42834.3,42417.0,39676.0,5845.0,,15505.1,-30076.0,5742.9,-2939.0,-12925.2,10669.3,10252.0,7511.0,,False,False,True,True,False,False,False,False
Rhode Island,4019,2586.0,,3689.1,74.0,3436.4,4113.0,1034.4,2468.6,2509.6,1304.0,-1433.0,,-329.9,-3945.0,-582.6,94.0,-2984.6,-1550.4,-1509.4,-2715.0,,True,False,True,True,False,False,False,False
South Carolina,44281,74376.0,,90014.5,82396.0,88918.9,60131.0,37966.1,54446.3,32139.9,31165.0,30095.0,,45733.5,38115.0,44637.9,15850.0,-6314.9,10165.3,-12141.1,-13116.0,,False,False,False,True,True,True,True,True
South Dakota,6584,2658.0,,1843.1,1053.0,4992.9,1911.0,1917.1,4818.3,5191.7,3071.0,-3926.0,,-4740.9,-5531.0,-1591.1,-4673.0,-4666.9,-1765.7,-1392.3,-3513.0,,False,False,True,False,False,True,True,True
Tennessee,71566,86760.0,,140336.0,92556.0,59915.7,72147.0,99151.3,75233.2,75904.1,72100.0,15194.0,,68770.0,20990.0,-11650.3,581.0,27585.3,3667.2,4338.1,534.0,,False,False,True,True,False,True,True,True
Texas,268608,379080.0,,559248.4,484648.0,1187490.5,557986.0,102465.6,295389.4,140949.4,155456.0,110472.0,,290640.4,216040.0,918882.5,289378.0,-166142.4,26781.4,-127658.6,-113152.0,,False,False,False,False,False,True,False,False
Utah,16649,25746.0,,26060.8,33453.0,38056.7,21556.0,12264.6,23705.2,12524.1,14337.0,9097.0,,9411.8,16804.0,21407.7,4907.0,-4384.4,7056.2,-4124.9,-2312.0,,False,False,False,True,True,True,True,True
Vermont,251,348.0,,270.8,18.0,5.0,179.0,153.1,420.1,456.9,237.0,97.0,,19.8,-233.0,-246.0,-72.0,-97.9,169.1,205.9,-14.0,,True,False,False,True,False,False,False,True
Virginia,42118,43416.0,,44237.9,12055.0,25119.2,35794.0,27351.8,78009.7,47650.7,5040.0,1298.0,,2119.9,-30063.0,-16998.8,-6324.0,-14766.2,35891.7,5532.7,-37078.0,,False,False,False,False,False,False,False,False
Washington,25310,34938.0,,37828.0,31820.0,70205.2,27225.0,22545.0,40268.6,27995.5,28681.0,9628.0,,12518.0,6510.0,44895.2,1915.0,-2765.0,14958.6,2685.5,3371.0,,False,True,False,True,True,False,True,True
West Virginia,5518,5286.0,,9239.2,3629.0,896.2,2900.0,4516.4,5052.3,8516.6,5968.0,-232.0,,3721.2,-1889.0,-4621.8,-2618.0,-1001.6,-465.7,2998.6,450.0,,False,False,False,False,False,False,False,False
Wisconsin,32430,38310.0,,44036.5,14979.0,8617.8,32598.0,27528.6,35054.0,46033.3,31349.0,5880.0,,11606.5,-17451.0,-23812.2,168.0,-4901.4,2624.0,13603.3,-1081.0,,False,False,False,True,True,True,False,True
Wyoming,1560,2028.0,,2832.3,1072.0,7.1,1270.0,1340.6,3040.4,2667.8,1926.0,468.0,,1272.3,-488.0,-1552.9,-290.0,-219.4,1480.4,1107.8,366.0,,False,False,False,True,True,False,False,True
US,2065976,2799648.0,2094484.0,3705140.2,2395847.0,4153773.0,2715838.0,1534664.4,2912177.5,2226094.3,1766475.0,733672.0,28508.0,1639164.2,329871.0,2087797.0,649862.0,-531311.6,846201.5,160118.3,-299501.0,True,False,True,False,True,True,False,True,True
