,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,46380,65223.0,65200.9,53074.0,55226.0,,47857.2,57864.0,66628.8,59544.0,49261.7,61743.7,34801.3,44838.3,52622.0,,39970.2,50723.4,54356.3,79035.0,41272.5,55869.0,18843.0,18820.9,6694.0,8846.0,,1477.2,11484.0,20248.8,13164.0,2881.7,15363.7,-11578.7,-1541.7,6242.0,,-6409.8,4343.4,7976.3,32655.0,-5107.5,9489.0,True,True,True,,True,True,False,True,True,True,True,True,True,,True,True,True,False,True,True
Hawaii,4868,4437.0,4426.1,5422.0,5422.0,,7753.6,4547.0,8890.4,,7929.5,16539.4,5914.5,4943.5,9059.0,,4176.1,5006.8,5199.8,,8031.3,5263.0,-431.0,-441.9,554.0,554.0,,2885.6,-321.0,4022.4,,3061.5,11671.4,1046.5,75.5,4191.0,,-691.9,138.8,331.8,,3163.3,395.0,False,False,False,,False,True,False,,False,False,False,True,False,,False,True,True,,False,True
Idaho,5999,8934.0,9043.4,7632.0,8599.0,,5661.9,7760.0,25671.3,7632.0,12980.9,9870.1,5053.6,7227.0,7362.0,,5404.9,8794.1,6055.1,8969.2,5669.9,6541.0,2935.0,3044.4,1633.0,2600.0,,-337.1,1761.0,19672.3,1633.0,6981.9,3871.1,-945.4,1228.0,1363.0,,-594.1,2795.1,56.1,2970.2,-329.1,542.0,False,True,True,,True,True,False,True,False,False,True,True,True,,True,True,True,False,True,True
Illinois,44251,35559.0,35688.0,35612.0,44522.0,,34951.5,5717.0,46383.5,30398.0,40464.2,53835.1,27608.8,33822.6,45050.0,,33791.1,21681.7,46971.6,24805.5,38170.4,33849.0,-8692.0,-8563.0,-8639.0,271.0,,-9299.5,-38534.0,2132.5,-13853.0,-3786.8,9584.1,-16642.2,-10428.4,799.0,,-10459.9,-22569.3,2720.6,-19445.5,-6080.6,-10402.0,True,True,True,,False,False,True,False,True,False,False,False,True,,False,False,True,False,True,False
Indiana,19285,19167.0,19556.3,19144.0,23930.0,,20404.1,6972.0,20985.9,14118.0,24549.5,22464.2,14494.3,15754.8,22420.0,,16440.4,10766.6,22551.2,17502.4,17677.0,21954.0,-118.0,271.3,-141.0,4645.0,,1119.1,-12313.0,1700.9,-5167.0,5264.5,3179.2,-4790.7,-3530.2,3135.0,,-2844.6,-8518.4,3266.2,-1782.6,-1608.0,2669.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Iowa,17625,10590.0,10539.5,9002.0,15450.0,,7724.5,2234.0,8027.8,7734.0,11119.9,9162.7,9260.6,9614.6,11653.0,,7649.7,6714.8,9118.3,10550.6,14200.6,7198.0,-7035.0,-7085.5,-8623.0,-2175.0,,-9900.5,-15391.0,-9597.2,-9891.0,-6505.1,-8462.3,-8364.4,-8010.4,-5972.0,,-9975.3,-10910.2,-8506.7,-7074.4,-3424.4,-10427.0,False,False,True,,False,False,False,False,True,False,False,False,True,,False,False,False,False,True,False
Kansas,11771,10266.0,10219.5,8976.0,19154.0,,,7182.0,6846.3,10320.0,12544.7,9271.6,6378.7,8043.9,11846.0,,3902.9,6889.5,7577.4,12356.0,9447.5,9671.0,-1505.0,-1551.5,-2795.0,7383.0,,,-4589.0,-4924.7,-1451.0,773.7,-2499.4,-5392.3,-3727.1,75.0,,-7868.1,-4881.5,-4193.6,585.0,-2323.5,-2100.0,False,False,False,,,False,False,True,True,False,False,False,True,,False,False,False,True,False,False
Kentucky,13534,13056.0,12541.5,11340.0,18026.0,,,9725.0,29842.1,12508.0,17236.8,10499.3,7041.5,7810.1,14778.0,,4974.8,9601.7,14265.8,15937.9,9815.0,11366.0,-478.0,-992.5,-2194.0,4492.0,,,-3809.0,16308.1,-1026.0,3702.8,-3034.7,-6492.5,-5723.9,1244.0,,-8559.2,-3932.3,731.8,2403.9,-3719.0,-2168.0,False,False,False,,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Louisiana,14736,23973.0,20669.4,19025.0,16468.0,,,22815.0,38968.7,27768.0,18799.3,24371.1,14833.5,12940.8,12552.0,,14821.4,33077.5,21007.5,,11258.7,11228.0,9237.0,5933.4,4289.0,1732.0,,,8079.0,24232.7,13032.0,4063.3,9635.1,97.5,-1795.2,-2184.0,,85.4,18341.5,6271.5,,-3477.3,-3508.0,True,True,True,,,True,False,False,True,False,True,True,True,,True,False,True,,True,True
Maine,489,348.0,379.3,370.0,414.0,,,145.0,334.1,89.0,744.8,251.9,361.2,397.2,379.0,,366.4,333.4,381.8,,580.7,295.0,-141.0,-109.7,-119.0,-75.0,,,-344.0,-154.9,-400.0,255.8,-237.1,-127.8,-91.8,-110.0,,-122.6,-155.6,-107.2,,91.7,-194.0,True,True,True,,,False,False,False,False,False,True,True,True,,True,False,True,,True,False
Maryland,11914,15336.0,15303.3,12605.0,18211.0,,,4805.0,18335.7,11775.0,14038.5,12559.0,10240.3,10916.3,12866.0,,12541.8,1389.5,16672.5,9454.3,10815.6,12265.0,3422.0,3389.3,691.0,6297.0,,,-7109.0,6421.7,-139.0,2124.5,645.0,-1673.7,-997.7,952.0,,627.8,-10524.5,4758.5,-2459.7,-1098.4,351.0,True,True,False,,,False,False,True,True,True,True,True,True,,True,False,False,True,True,True
Massachusetts,6418,7464.0,7518.0,6302.0,1209.0,,,4120.0,11946.3,6815.0,4916.4,10865.4,5921.8,7932.5,8305.0,,538.7,0.0,9162.0,597.4,2054.4,6853.0,1046.0,1100.0,-116.0,-5209.0,,,-2298.0,5528.3,397.0,-1501.6,4447.4,-496.2,1514.5,1887.0,,-5879.3,-6418.0,2744.0,-5820.6,-4363.6,435.0,False,True,False,,,False,False,True,False,False,True,False,False,,False,False,False,False,False,True
Michigan,15409,16773.0,16755.0,16524.0,23462.0,,,1039.0,25310.8,16744.0,30046.7,18309.6,12039.6,15240.3,18714.0,,10852.0,25256.7,19256.9,,15033.8,16664.0,1364.0,1346.0,1115.0,8053.0,,,-14370.0,9901.8,1335.0,14637.7,2900.6,-3369.4,-168.7,3305.0,,-4557.0,9847.7,3847.9,,-375.2,1255.0,True,True,False,,,False,False,True,False,False,False,True,False,,False,False,False,,True,True
Minnesota,15467,12936.0,12984.6,12276.0,11537.0,,,4614.0,14134.4,13332.0,15146.6,14316.6,11771.7,10892.2,12584.0,,10825.5,9141.2,9443.2,12134.2,13573.1,11170.0,-2531.0,-2482.4,-3191.0,-3930.0,,,-10853.0,-1332.6,-2135.0,-320.4,-1150.4,-3695.3,-4574.8,-2883.0,,-4641.5,-6325.8,-6023.8,-3332.8,-1893.9,-4297.0,True,False,False,,,False,True,True,True,True,False,False,False,,False,False,False,False,True,False
Mississippi,14723,15327.0,15430.1,13341.0,11795.0,,,18395.0,18099.1,16865.0,16167.7,15108.0,9242.3,10476.2,10814.0,,7845.4,18674.0,13009.7,26342.5,8782.2,10613.0,604.0,707.1,-1382.0,-2928.0,,,3672.0,3376.1,2142.0,1444.7,385.0,-5480.7,-4246.8,-3909.0,,-6877.6,3951.0,-1713.3,11619.5,-5940.8,-4110.0,False,False,False,,,False,False,False,False,True,False,False,False,,False,False,False,False,False,False
Missouri,26167,26949.0,25025.2,23833.0,41759.0,,,22980.0,30008.4,19284.0,28044.5,24270.8,21887.1,21618.5,24688.0,,15158.2,51718.6,49306.6,41043.6,29066.2,21910.0,782.0,-1141.8,-2334.0,15592.0,,,-3187.0,3841.4,-6883.0,1877.5,-1896.2,-4279.9,-4548.5,-1479.0,,-11008.8,25551.6,23139.6,14876.6,2899.2,-4257.0,False,False,False,,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Montana,2505,2310.0,2294.4,2267.0,1574.0,,,1884.0,3463.3,3206.0,3402.1,2778.9,2188.1,2094.9,2141.0,,1506.8,4336.5,1382.7,1951.1,2446.9,2342.0,-195.0,-210.6,-238.0,-931.0,,,-621.0,958.3,701.0,897.1,273.9,-316.9,-410.1,-364.0,,-998.2,1831.5,-1122.3,-553.9,-58.1,-163.0,False,False,False,,,False,False,False,False,False,False,False,False,,False,False,False,False,True,True
Nebraska,5564,5988.0,5762.5,4805.0,7340.0,,,1002.0,4841.9,4775.0,5358.3,8311.2,3938.0,4758.8,6073.0,,3553.3,210.1,5931.7,3726.3,4845.5,5045.0,424.0,198.5,-759.0,1776.0,,,-4562.0,-722.1,-789.0,-205.7,2747.2,-1626.0,-805.2,509.0,,-2010.7,-5353.9,367.7,-1837.7,-718.5,-519.0,True,False,False,,,False,False,False,True,False,False,False,False,,False,False,True,False,False,False
Nevada,10494,15567.0,15786.8,12550.0,11362.0,,,19091.0,17159.7,12917.0,11848.7,14386.8,12747.5,11153.2,10967.0,,11063.1,31652.4,12277.6,10321.4,12335.6,11293.0,5073.0,5292.8,2056.0,868.0,,,8597.0,6665.7,2423.0,1354.7,3892.8,2253.5,659.2,473.0,,569.1,21158.4,1783.6,-172.6,1841.6,799.0,False,True,True,,,False,False,True,True,True,True,True,True,,True,False,True,True,True,True
New Hampshire,444,486.0,489.3,429.0,631.0,,,26.0,539.4,442.0,1143.3,158.8,334.5,394.6,500.0,,370.3,0.0,498.0,344.4,421.9,448.0,42.0,45.3,-15.0,187.0,,,-418.0,95.4,-2.0,699.3,-285.2,-109.5,-49.4,56.0,,-73.7,-444.0,54.0,-99.6,-22.1,4.0,False,True,False,,,False,False,True,False,False,False,False,False,,False,False,False,False,True,True
New Jersey,6305,9039.0,8664.5,8466.0,11826.0,,,308.0,9979.0,6454.0,11297.4,8926.9,5326.4,7517.1,9515.0,,7024.1,10241.8,10998.0,,9241.5,8647.0,2734.0,2359.5,2161.0,5521.0,,,-5997.0,3674.0,149.0,4992.4,2621.9,-978.6,1212.1,3210.0,,719.1,3936.8,4693.0,,2936.5,2342.0,True,True,False,,,False,False,True,False,True,True,True,False,,True,False,False,,False,True
New Mexico,2746,3561.0,3956.0,3131.0,3097.0,,,3142.0,3462.8,4638.0,5178.9,2625.7,2300.7,2509.9,2173.0,,2218.0,6864.6,3419.8,5443.3,2512.0,2421.0,815.0,1210.0,385.0,351.0,,,396.0,716.8,1892.0,2432.9,-120.3,-445.3,-236.1,-573.0,,-528.0,4118.6,673.8,2697.3,-234.0,-325.0,False,True,True,,,True,True,False,False,True,True,True,True,,True,False,True,False,True,True
New York,13871,13668.0,13683.4,13648.0,14852.0,,,180.0,22119.0,7806.0,28907.8,14929.5,10297.3,14085.3,14305.0,,10390.7,14061.2,12472.4,,16939.5,14669.0,-203.0,-187.6,-223.0,981.0,,,-13691.0,8248.0,-6065.0,15036.8,1058.5,-3573.7,214.3,434.0,,-3480.3,190.2,-1398.6,,3068.5,798.0,True,False,False,,,False,False,False,False,False,False,False,False,,False,True,False,,False,False
North Carolina,32675,26268.0,26950.7,24790.0,25658.0,,,35291.0,24341.2,26845.0,37809.8,26062.3,20520.1,20902.5,19052.0,,19794.9,28529.3,23818.4,10480.0,20718.2,20746.0,-6407.0,-5724.3,-7885.0,-7017.0,,,2616.0,-8333.8,-5830.0,5134.8,-6612.7,-12154.9,-11772.5,-13623.0,,-12880.1,-4145.7,-8856.6,-22195.0,-11956.8,-11929.0,True,False,False,,,True,False,True,True,False,False,False,False,,False,True,False,False,False,False
North Dakota,4890,2808.0,2795.5,2845.0,2816.0,,,257.0,3999.1,2318.0,2828.2,2801.7,2402.9,2680.4,3332.0,,3552.5,4147.9,3160.2,3100.7,3092.0,2720.0,-2082.0,-2094.5,-2045.0,-2074.0,,,-4633.0,-890.9,-2572.0,-2061.8,-2088.3,-2487.1,-2209.6,-1558.0,,-1337.5,-742.1,-1729.8,-1789.3,-1798.0,-2170.0,False,True,True,,,False,True,False,True,False,False,False,True,,True,True,True,True,True,False
Ohio,22111,23115.0,23027.8,20128.0,25473.0,,,15676.0,22448.4,20630.0,39274.3,21186.1,14827.2,18375.4,18897.0,,13106.1,20482.6,21704.2,26183.8,16255.9,20273.0,1004.0,916.8,-1983.0,3362.0,,,-6435.0,337.4,-1481.0,17163.3,-924.9,-7283.8,-3735.6,-3214.0,,-9004.9,-1628.4,-406.8,4072.8,-5855.1,-1838.0,True,False,False,,,False,True,False,False,True,False,False,False,,False,False,True,False,False,False
Oklahoma,15389,14154.0,13534.3,13437.0,12815.0,,,17777.0,14837.0,16581.0,22898.1,12544.6,10478.8,12212.2,12101.0,,6716.4,22250.3,12766.7,10572.2,13541.4,12556.0,-1235.0,-1854.7,-1952.0,-2574.0,,,2388.0,-552.0,1192.0,7509.1,-2844.4,-4910.2,-3176.8,-3288.0,,-8672.6,6861.3,-2622.3,-4816.8,-1847.6,-2833.0,False,False,False,,,False,True,True,False,False,False,False,False,,False,False,False,False,False,False
Oregon,4838,6024.0,6031.6,5601.0,5717.0,,,6753.0,5647.6,5084.0,12743.1,6860.9,4964.8,5426.5,5229.0,,4966.6,7284.3,4981.6,6132.5,5929.9,5808.0,1186.0,1193.6,763.0,879.0,,,1915.0,809.6,246.0,7905.1,2022.9,126.8,588.5,391.0,,128.6,2446.3,143.6,1294.5,1091.9,970.0,False,True,True,,,False,True,True,False,False,True,True,True,,True,False,True,False,True,True
Pennsylvania,14749,17598.0,17344.5,15731.0,25531.0,,,4741.0,19159.3,10765.0,31907.1,15621.4,11624.1,15242.1,16013.0,,11960.0,14556.8,20049.8,14394.9,16979.4,15363.0,2849.0,2595.5,982.0,10782.0,,,-10008.0,4410.3,-3984.0,17158.1,872.4,-3124.9,493.1,1264.0,,-2789.0,-192.2,5300.8,-354.1,2230.4,614.0,True,True,False,,,False,False,False,False,True,False,True,True,,True,True,False,True,True,True
Rhode Island,1908,1791.0,1725.0,1456.0,2633.0,,,10.0,2309.0,1765.0,780.7,2812.4,751.8,1346.7,1602.0,,536.8,993.7,1781.6,,1822.0,1130.0,-117.0,-183.0,-452.0,725.0,,,-1898.0,401.0,-143.0,-1127.3,904.4,-1156.2,-561.3,-306.0,,-1371.2,-914.3,-126.4,,-86.0,-778.0,False,False,False,,,False,False,False,False,False,False,False,False,,False,False,False,,True,False
South Carolina,18407,19266.0,18766.8,15708.0,14805.0,,,19152.0,16700.0,19039.0,23979.3,18335.1,11558.1,13527.1,11776.0,,12005.3,17486.2,15729.9,5382.4,11833.2,11299.0,859.0,359.8,-2699.0,-3602.0,,,745.0,-1707.0,632.0,5572.3,-71.9,-6848.9,-4879.9,-6631.0,,-6401.7,-920.8,-2677.1,-13024.6,-6573.8,-7108.0,True,False,False,,,True,False,True,False,True,False,False,False,,False,False,False,False,False,False
South Dakota,4771,1923.0,1921.1,2000.0,1909.0,,,361.0,2104.2,1415.0,1297.0,2340.1,1939.9,2290.3,2511.0,,2025.0,2462.0,2398.9,1425.2,3083.9,1995.0,-2848.0,-2849.9,-2771.0,-2862.0,,,-4410.0,-2666.8,-3356.0,-3474.0,-2430.9,-2831.1,-2480.7,-2260.0,,-2746.0,-2309.0,-2372.1,-3345.8,-1687.1,-2776.0,False,True,False,,,False,True,False,False,True,True,True,True,,True,True,True,False,True,True
Tennessee,30615,33486.0,34529.9,31018.0,33471.0,,,32057.0,39059.3,29027.0,35172.8,30015.3,31235.7,25449.1,24230.0,,22963.9,34091.8,26952.0,53585.3,27958.1,23789.0,2871.0,3914.9,403.0,2856.0,,,1442.0,8444.3,-1588.0,4557.8,-599.7,620.7,-5165.9,-6385.0,,-7651.1,3476.8,-3663.0,22970.3,-2656.9,-6826.0,False,True,True,,,True,False,True,False,True,True,False,False,,False,False,False,False,True,False
Texas,109263,146760.0,149759.3,138977.0,152598.0,,,147832.0,143171.2,169564.0,126045.4,134582.1,149507.3,153609.3,115505.0,,73029.2,91640.1,107268.8,199098.7,119733.7,104364.0,37497.0,40496.3,29714.0,43335.0,,,38569.0,33908.2,60301.0,16782.4,25319.1,40244.3,44346.3,6242.0,,-36233.8,-17622.9,-1994.2,89835.7,10470.7,-4899.0,False,True,False,,,False,True,False,True,True,False,False,True,,True,True,True,False,True,True
Utah,7951,7710.0,7571.5,6455.0,6385.0,,,7027.0,6215.4,6282.0,8037.8,6706.9,5961.0,6135.5,5669.0,,4462.2,7085.9,8006.2,4031.8,5635.0,5356.0,-241.0,-379.5,-1496.0,-1566.0,,,-924.0,-1735.6,-1669.0,86.8,-1244.1,-1990.0,-1815.5,-2282.0,,-3488.8,-865.1,55.2,-3919.2,-2316.0,-2595.0,False,False,False,,,False,False,False,True,False,False,False,False,,False,False,True,False,False,False
Vermont,138,165.0,159.6,147.0,197.0,,,13.0,153.0,94.0,510.3,202.6,127.5,154.6,308.0,,61.2,83.6,173.3,,233.3,155.0,27.0,21.6,9.0,59.0,,,-125.0,15.0,-44.0,372.3,64.6,-10.5,16.6,170.0,,-76.8,-54.4,35.3,,95.3,17.0,True,True,False,,,False,True,False,False,False,True,True,False,,False,False,False,,False,True
Virginia,19977,19683.0,19834.6,17655.0,19513.0,,,8350.0,23537.7,16260.0,24614.9,23418.3,15773.2,17990.4,20833.0,,12520.0,11233.2,15215.9,18056.4,17623.3,0.0,-294.0,-142.4,-2322.0,-464.0,,,-11627.0,3560.7,-3717.0,4637.9,3441.3,-4203.8,-1986.6,856.0,,-7457.0,-8743.8,-4761.1,-1920.6,-2353.7,-19977.0,True,False,False,,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Washington,9951,13086.0,13489.3,12149.0,12380.0,,,15728.0,15540.2,10429.0,20132.9,13051.9,10686.2,11140.5,10725.0,,10827.9,12563.2,14116.2,,11137.3,12409.0,3135.0,3538.3,2198.0,2429.0,,,5777.0,5589.2,478.0,10181.9,3100.9,735.2,1189.5,774.0,,876.9,2612.2,4165.2,,1186.3,2458.0,False,True,True,,,False,False,True,False,True,True,True,True,,True,True,False,,True,True
West Virginia,2831,2697.0,2714.5,2617.0,3484.0,,,2495.0,3323.4,2073.0,5245.2,3252.0,2329.3,2361.0,2562.0,,1816.5,2241.9,2218.9,,3112.4,2855.0,-134.0,-116.5,-214.0,653.0,,,-336.0,492.4,-758.0,2414.2,421.0,-501.7,-470.0,-269.0,,-1014.5,-589.1,-612.1,,281.4,24.0,True,False,False,,,False,False,False,False,False,False,False,False,,False,False,False,,False,True
Wisconsin,15244,15369.0,15551.0,14380.0,15875.0,,,13241.0,18766.8,12725.0,21320.3,15340.4,12968.3,12346.8,13965.0,,10720.0,17538.2,8166.0,19834.6,15774.5,12593.0,125.0,307.0,-864.0,631.0,,,-2003.0,3522.8,-2519.0,6076.3,96.4,-2275.7,-2897.2,-1279.0,,-4524.0,2294.2,-7078.0,4590.6,530.5,-2651.0,False,False,False,,,False,False,False,False,True,False,False,False,,False,False,False,False,False,False
Wyoming,771,636.0,676.0,697.0,394.0,,,603.0,859.6,628.0,1100.9,1683.1,744.2,679.6,577.0,,402.0,648.6,741.5,,1452.5,634.0,-135.0,-95.0,-74.0,-377.0,,,-168.0,88.6,-143.0,329.9,912.1,-26.8,-91.4,-194.0,,-369.0,-122.4,-29.5,,681.5,-137.0,True,True,False,,,False,True,False,False,False,True,True,False,,False,True,True,,False,False
US,891614,1089708.0,1079226.1,911708.0,1243235.0,893150.0,776477.8,905953.0,1137809.9,975246.0,1128773.5,1014213.0,707050.7,912505.9,923716.0,1046901.8,687703.3,911819.3,918251.8,1155552.6,886205.7,812017.0,198094.0,187612.1,20094.0,351621.0,1536.0,-115136.2,14339.0,246195.9,83632.0,237159.5,122599.0,-184563.3,20891.9,32102.0,155287.8,-203910.7,20205.3,26637.8,263938.6,-5408.3,-79597.0,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True
