,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,29326,34108.0,33850.8,29914.0,32071.0,,25423.8,36133.0,30865.5,16993.5,42104.0,34650.0,27847.1,37286.0,24284.8,26781.6,27126.0,,24615.7,42116.7,31816.9,29720.5,26807.7,25098.0,4782.0,4524.8,588.0,2745.0,,-3902.2,6807.0,1539.5,-12332.5,12778.0,5324.0,-1478.9,7960.0,-5041.2,-2544.4,-2200.0,,-4710.3,12790.7,2490.9,394.5,-2518.3,-4228.0,True,True,True,,True,False,True,False,False,False,True,False,False,True,True,,True,False,True,True,True,True
Hawaii,3337,3062.0,3046.4,3259.0,3447.0,,5269.3,3021.0,3816.5,1672.5,,,4539.0,7967.1,3476.1,3139.5,5023.0,,2819.8,1410.1,3689.5,3723.6,3764.8,3174.0,-275.0,-290.6,-78.0,110.0,,1932.3,-316.0,479.5,-1664.5,,,1202.0,4630.1,139.1,-197.5,1686.0,,-517.2,-1926.9,352.5,386.6,427.8,-163.0,False,True,True,,False,False,False,False,,,False,False,True,True,False,,False,False,False,False,False,True
Idaho,3815,4368.0,4262.9,4058.0,3321.0,,3001.5,5070.0,12046.0,1222.7,4192.0,4161.0,6568.4,5250.3,3017.4,3605.3,3289.0,,3074.2,7952.4,4015.8,3904.6,2792.9,3167.0,553.0,447.9,243.0,-494.0,,-813.5,1255.0,8231.0,-2592.3,377.0,346.0,2753.4,1435.3,-797.6,-209.7,-526.0,,-740.8,4137.4,200.8,89.6,-1022.1,-648.0,True,True,True,,False,False,False,False,True,True,False,False,False,True,True,,False,False,True,True,False,False
Illinois,30401,27700.0,27661.6,26683.0,33959.0,,23909.7,5969.0,26092.7,14593.0,23356.0,24037.0,27579.7,36237.1,24180.9,27037.7,31248.0,,26767.0,16662.4,29155.5,19128.9,32380.7,28358.0,-2701.0,-2739.4,-3718.0,3558.0,,-6491.3,-24432.0,-4308.3,-15808.0,-7045.0,-6364.0,-2821.3,5836.1,-6220.1,-3363.3,847.0,,-3634.0,-13738.6,-1245.5,-11272.1,1979.7,-2043.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,,False,False,True,False,True,True
Indiana,13644,11282.0,11251.7,10176.0,10855.0,,10600.8,4550.0,10625.8,5037.9,13584.0,9964.0,14944.8,13800.5,9116.7,9496.4,11315.0,,8702.2,6852.5,9449.1,9061.1,10610.3,10228.0,-2362.0,-2392.3,-3468.0,-2789.0,,-3043.2,-9094.0,-3018.2,-8606.1,-60.0,-3680.0,1300.8,156.5,-4527.3,-4147.6,-2329.0,,-4941.8,-6791.5,-4194.9,-4582.9,-3033.7,-3416.0,False,False,False,,False,False,False,False,True,False,True,True,False,False,True,,False,False,False,False,False,False
Iowa,13694,7862.0,7953.1,6922.0,11510.0,,6414.7,1900.0,5561.5,4384.5,7629.0,6922.0,6834.2,6536.2,7247.6,7172.7,9698.0,,7161.9,2971.6,8933.6,5076.2,9413.7,7874.0,-5832.0,-5740.9,-6772.0,-2184.0,,-7279.3,-11794.0,-8132.5,-9309.5,-6065.0,-6772.0,-6859.8,-7157.8,-6446.4,-6521.3,-3996.0,,-6532.1,-10722.4,-4760.4,-8617.8,-4280.3,-5820.0,True,False,True,,False,False,False,False,False,False,False,False,False,False,True,,False,False,True,False,True,True
Kansas,8268,7006.0,7034.7,6120.0,9115.0,,5319.2,5186.0,5148.3,3373.3,8226.0,8696.0,8885.7,6284.6,5771.7,6767.8,9413.0,,4547.0,6938.3,5576.1,5964.4,7516.9,7767.0,-1262.0,-1233.3,-2148.0,847.0,,-2948.8,-3082.0,-3119.7,-4894.7,-42.0,428.0,617.7,-1983.4,-2496.3,-1500.2,1145.0,,-3721.0,-1329.7,-2691.9,-2303.6,-751.1,-501.0,True,False,True,,False,False,False,False,True,True,True,False,False,False,True,,False,False,False,False,True,True
Kentucky,9398,8272.0,8253.3,7710.0,9357.0,,6852.2,7770.0,10729.8,4099.9,12835.0,9965.0,8646.6,8853.7,4448.6,6417.6,8526.0,,2477.3,8922.7,8260.1,6222.8,6199.1,9609.0,-1126.0,-1144.7,-1688.0,-41.0,,-2545.8,-1628.0,1331.8,-5298.1,3437.0,567.0,-751.4,-544.3,-4949.4,-2980.4,-872.0,,-6920.7,-475.3,-1137.9,-3175.2,-3198.9,211.0,False,False,True,,False,False,False,False,False,True,True,True,False,False,True,,False,True,False,False,False,True
Louisiana,9753,9966.0,9558.3,8586.0,7063.0,,4608.3,14309.0,23842.9,2047.9,12041.0,13921.0,8281.3,7895.7,9513.8,7441.3,5878.0,,8585.7,16042.2,9484.3,,6561.4,5799.0,213.0,-194.7,-1167.0,-2690.0,,-5144.7,4556.0,14089.9,-7705.1,2288.0,4168.0,-1471.7,-1857.3,-239.2,-2311.7,-3875.0,,-1167.3,6289.2,-268.7,,-3191.6,-3954.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False
Maine,315,348.0,339.2,291.0,482.0,,283.1,111.0,266.0,212.0,321.0,284.0,533.7,166.2,272.1,325.2,546.0,,165.3,594.7,320.5,289.7,471.4,469.0,33.0,24.2,-24.0,167.0,,-31.9,-204.0,-49.0,-103.0,6.0,-31.0,218.7,-148.8,-42.9,10.2,231.0,,-149.7,279.7,5.5,-25.3,156.4,154.0,True,True,False,,True,False,False,False,True,True,False,False,False,True,False,,False,False,True,True,False,False
Maryland,8084,7660.0,7354.1,6923.0,7393.0,,6264.9,2464.0,9140.5,2957.0,8265.0,8094.0,8423.7,7133.7,6646.2,6660.8,6619.0,,6443.7,15010.4,8754.4,,7030.8,6570.0,-424.0,-729.9,-1161.0,-691.0,,-1819.1,-5620.0,1056.5,-5127.0,181.0,10.0,339.7,-950.3,-1437.8,-1423.2,-1465.0,,-1640.3,6926.4,670.4,,-1053.2,-1514.0,False,False,False,,False,False,False,False,True,True,True,False,False,False,False,,False,False,False,,False,False
Massachusetts,4349,4322.0,4381.2,2612.0,296.0,,4620.3,2175.0,4349.6,1549.4,2743.0,10171.0,3302.2,6833.2,2386.9,2576.6,3757.0,,2433.9,868.3,5197.7,,229.1,4109.0,-27.0,32.2,-1737.0,-4053.0,,271.3,-2174.0,0.6,-2799.6,-1606.0,5822.0,-1046.8,2484.2,-1962.1,-1772.4,-592.0,,-1915.1,-3480.7,848.7,,-4119.9,-240.0,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False
Michigan,11147,8524.0,8278.1,8784.0,8239.0,,8089.1,5618.0,11635.1,4432.8,10106.0,9800.0,16846.6,10755.8,8588.7,8428.9,8817.0,,7675.1,13592.6,9903.3,,10086.8,6466.0,-2623.0,-2868.9,-2363.0,-2908.0,,-3057.9,-5529.0,488.1,-6714.2,-1041.0,-1347.0,5699.6,-391.2,-2558.3,-2718.1,-2330.0,,-3471.9,2445.6,-1243.7,,-1060.2,-4681.0,False,True,False,,False,False,True,False,True,True,False,True,True,False,True,,False,True,True,,True,False
Minnesota,11013,8908.0,8846.8,8762.0,9793.0,,6834.9,2968.0,8208.3,4415.5,9681.0,8621.0,9923.9,8671.0,8607.6,7832.6,8331.0,,7269.4,2303.5,9315.9,6683.1,11026.2,9023.0,-2105.0,-2166.2,-2251.0,-1220.0,,-4178.1,-8045.0,-2804.7,-6597.5,-1332.0,-2392.0,-1089.1,-2342.0,-2405.4,-3180.4,-2682.0,,-3743.6,-8709.5,-1697.1,-4329.9,13.2,-1990.0,False,False,True,,False,False,False,False,True,False,True,False,False,False,False,,False,False,True,False,True,True
Mississippi,9210,11026.0,11015.3,9289.0,11440.0,,6284.5,9125.0,9811.1,5501.3,16411.0,9427.0,8770.3,8020.3,9596.8,9093.4,9859.0,,6831.1,8423.1,12670.5,8672.1,11079.2,6247.0,1816.0,1805.3,79.0,2230.0,,-2925.5,-85.0,601.1,-3708.7,7201.0,217.0,-439.7,-1189.7,386.8,-116.6,649.0,,-2378.9,-786.9,3460.5,-537.9,1869.2,-2963.0,True,True,False,,False,True,True,False,False,True,True,True,True,True,True,,False,True,False,True,False,False
Missouri,18219,15896.0,13596.9,13597.0,16483.0,,12001.8,14560.0,15118.3,7542.6,21314.0,14810.0,18114.3,14127.6,11826.9,13393.0,16287.0,,10261.1,19762.9,10651.3,10666.1,12174.8,14674.0,-2323.0,-4622.1,-4622.0,-1736.0,,-6217.2,-3659.0,-3100.7,-10676.4,3095.0,-3409.0,-104.7,-4091.4,-6392.1,-4826.0,-1932.0,,-7957.9,1543.9,-7567.7,-7552.9,-6044.2,-3545.0,False,False,True,,False,False,False,False,False,False,True,False,False,False,True,,False,True,False,False,False,False
Montana,1788,1434.0,1437.2,1343.0,1086.0,,1109.9,1425.0,1536.2,706.9,2165.0,2202.0,1854.2,1676.2,1302.2,1174.2,1315.0,,803.2,4096.1,1059.4,1272.0,1357.4,1421.0,-354.0,-350.8,-445.0,-702.0,,-678.1,-363.0,-251.8,-1081.1,377.0,414.0,66.2,-111.8,-485.8,-613.8,-473.0,,-984.8,2308.1,-728.6,-516.0,-430.6,-367.0,True,False,False,,False,False,True,False,False,False,True,True,False,False,False,,False,False,False,False,False,False
Nebraska,4025,3078.0,3136.5,2790.0,2790.0,,2843.9,958.0,2766.1,1500.6,3754.0,3548.0,3370.6,5200.9,2084.9,2576.1,2927.0,,2219.8,3229.5,3096.8,2882.9,2254.1,2491.0,-947.0,-888.5,-1235.0,-1235.0,,-1181.1,-3067.0,-1258.9,-2524.4,-271.0,-477.0,-654.4,1175.9,-1940.1,-1448.9,-1098.0,,-1805.2,-795.5,-928.2,-1142.1,-1770.9,-1534.0,True,False,False,,False,False,False,False,True,True,True,False,False,False,False,,False,True,True,False,False,False
Nevada,6033,8922.0,9005.5,8005.0,8481.0,,5519.5,9872.0,8245.1,3653.0,9487.0,8620.0,6063.5,8186.8,6688.3,6538.5,6970.0,,6467.4,11012.8,8432.6,7490.3,6544.3,6852.0,2889.0,2972.5,1972.0,2448.0,,-513.5,3839.0,2212.1,-2380.0,3454.0,2587.0,30.5,2153.8,655.3,505.5,937.0,,434.4,4979.8,2399.6,1457.3,511.3,819.0,False,True,True,,True,False,True,True,False,True,True,True,True,True,True,,True,False,True,True,True,True
New Hampshire,330,228.0,229.5,224.0,223.0,,274.0,13.0,313.6,119.4,349.0,238.0,540.4,91.1,183.7,195.7,199.0,,180.3,71.8,224.1,478.3,235.0,184.0,-102.0,-100.5,-106.0,-107.0,,-56.0,-317.0,-16.4,-210.6,19.0,-92.0,210.4,-238.9,-146.3,-134.3,-131.0,,-149.7,-258.2,-105.9,148.3,-95.0,-146.0,True,False,False,,True,False,True,False,True,True,False,False,False,False,False,,False,False,False,False,True,False
New Jersey,4401,3808.0,3962.9,4529.0,5182.0,,5255.4,189.0,4695.0,1831.7,3073.0,5229.0,6855.3,5882.3,2748.6,3309.7,3995.0,,7416.9,1595.4,3603.1,,4251.2,2633.0,-593.0,-438.1,128.0,781.0,,854.4,-4212.0,294.0,-2569.3,-1328.0,828.0,2454.3,1481.3,-1652.4,-1091.3,-406.0,,3015.9,-2805.6,-797.9,,-149.8,-1768.0,True,True,False,,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,,True,False
New Mexico,1746,2000.0,1981.3,1777.0,1642.0,,939.3,1639.0,1964.4,988.6,2226.0,2391.0,2330.4,1585.1,1822.9,1661.7,1648.0,,1769.2,3910.3,1767.6,1934.5,2282.7,1572.0,254.0,235.3,31.0,-104.0,,-806.7,-107.0,218.4,-757.4,480.0,645.0,584.4,-160.9,76.9,-84.3,-98.0,,23.2,2164.3,21.6,188.5,536.7,-174.0,True,True,True,,False,True,True,False,False,False,False,True,True,True,True,,True,False,True,True,False,True
New York,9607,8528.0,8583.0,8081.0,8820.0,,7795.1,142.0,9942.9,4419.4,8568.0,6240.0,15581.0,9889.1,6794.7,8167.3,8619.0,,7894.4,213.2,7011.2,,8428.2,8500.0,-1079.0,-1024.0,-1526.0,-787.0,,-1811.9,-9465.0,335.9,-5187.6,-1039.0,-3367.0,5974.0,282.1,-2812.3,-1439.7,-988.0,,-1712.6,-9393.8,-2595.8,,-1178.8,-1107.0,True,False,True,,False,False,True,False,True,False,False,True,False,False,True,,False,False,False,,False,False
North Carolina,22175,19872.0,19951.6,19056.0,25331.0,,13080.4,28326.0,15436.1,10164.8,25503.0,16703.0,20871.7,17027.9,18892.5,18743.2,19939.0,,15419.9,29621.7,19228.4,16890.8,25903.3,15315.0,-2303.0,-2223.4,-3119.0,3156.0,,-9094.6,6151.0,-6738.9,-12010.2,3328.0,-5472.0,-1303.3,-5147.1,-3282.5,-3431.8,-2236.0,,-6755.1,7446.7,-2946.6,-5284.2,3728.3,-6860.0,True,False,False,,False,False,False,False,False,False,True,False,False,False,True,,False,False,False,False,False,False
North Dakota,3598,2584.0,2585.9,2401.0,3551.0,,2033.4,130.0,2344.2,1308.7,2593.0,1836.0,1751.0,2062.2,2658.1,2440.9,3504.0,,2575.6,1896.1,2730.0,2299.4,4074.6,2757.0,-1014.0,-1012.1,-1197.0,-47.0,,-1564.6,-3468.0,-1253.8,-2289.3,-1005.0,-1762.0,-1847.0,-1535.8,-939.9,-1157.1,-94.0,,-1022.4,-1701.9,-868.0,-1298.6,476.6,-841.0,True,False,True,,False,False,False,False,True,False,False,False,True,False,True,,False,False,True,False,True,True
Ohio,15620,12982.0,13045.1,11997.0,13058.0,,9027.8,11950.0,11465.4,6495.8,16082.0,13025.0,22457.0,13061.1,9898.9,11320.4,11285.0,,9461.6,2221.8,12693.2,10115.8,11586.0,11863.0,-2638.0,-2574.9,-3623.0,-2562.0,,-6592.2,-3670.0,-4154.6,-9124.2,462.0,-2595.0,6837.0,-2558.9,-5721.1,-4299.6,-4335.0,,-6158.4,-13398.2,-2926.8,-5504.2,-4034.0,-3757.0,True,False,True,,False,False,False,False,True,True,False,True,False,False,False,,False,False,False,False,False,False
Oklahoma,10588,9602.0,9263.8,9119.0,12015.0,,6548.1,9679.0,8231.9,4767.3,12269.0,9793.0,13201.8,7994.4,8747.5,7949.2,9387.0,,5622.5,11297.6,9273.8,7542.0,11291.7,8600.0,-986.0,-1324.2,-1469.0,1427.0,,-4039.9,-909.0,-2356.1,-5820.7,1681.0,-795.0,2613.8,-2593.6,-1840.5,-2638.8,-1201.0,,-4965.5,709.6,-1314.2,-3046.0,703.7,-1988.0,False,False,False,,False,True,False,False,False,True,False,False,False,False,False,,False,True,False,False,True,False
Oregon,3146,3384.0,3376.9,3132.0,3028.0,,2988.5,5212.0,3086.5,1345.2,4489.0,3233.0,7066.2,3723.2,2984.2,2984.9,2969.0,,2622.9,7302.9,3148.1,2811.1,3194.2,3491.0,238.0,230.9,-14.0,-118.0,,-157.5,2066.0,-59.5,-1800.8,1343.0,87.0,3920.2,577.2,-161.8,-161.1,-177.0,,-523.1,4156.9,2.1,-334.9,48.2,345.0,True,True,True,,True,False,True,False,False,True,False,False,True,True,True,,False,False,True,False,True,False
Pennsylvania,10120,9258.0,8982.7,8208.0,8087.0,,8146.0,2869.0,9636.8,4614.5,9255.0,7159.0,16308.8,8650.7,7308.1,8333.5,8666.0,,6698.3,10060.9,8623.5,7675.9,8292.7,8272.0,-862.0,-1137.3,-1912.0,-2033.0,,-1974.0,-7251.0,-483.2,-5505.5,-865.0,-2961.0,6188.8,-1469.3,-2811.9,-1786.5,-1454.0,,-3421.7,-59.1,-1496.5,-2444.1,-1827.3,-1848.0,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,,False,True,False,False,False,False
Rhode Island,1221,1374.0,1439.1,1027.0,1027.0,,1208.0,4.0,1807.1,665.5,998.0,3587.0,860.4,1824.6,655.4,941.3,1145.0,,598.4,126.9,1513.1,,1191.0,860.0,153.0,218.1,-194.0,-194.0,,-13.0,-1217.0,586.1,-555.5,-223.0,2366.0,-360.6,603.6,-565.6,-279.7,-76.0,,-622.6,-1094.1,292.1,,-30.0,-361.0,False,False,False,,True,False,False,False,False,False,False,False,False,False,True,,False,False,False,,True,False
South Carolina,12994,10826.0,10637.1,9539.0,9355.0,,5961.8,9680.0,9146.9,4827.2,14364.0,10446.0,7655.3,10450.1,9596.2,9133.7,8254.0,,7488.3,18611.4,9817.9,9848.5,10534.3,7901.0,-2168.0,-2356.9,-3455.0,-3639.0,,-7032.2,-3314.0,-3847.1,-8166.8,1370.0,-2548.0,-5338.7,-2543.9,-3397.8,-3860.3,-4740.0,,-5505.7,5617.4,-3176.1,-3145.5,-2459.7,-5093.0,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False
South Dakota,3754,2034.0,2030.7,2000.0,2295.0,,2091.2,212.0,1499.7,1293.8,1466.0,1371.0,834.5,1741.2,2084.6,2037.5,3022.0,,2178.6,597.5,2263.2,805.8,3868.1,2376.0,-1720.0,-1723.3,-1754.0,-1459.0,,-1662.8,-3542.0,-2254.3,-2460.2,-2288.0,-2383.0,-2919.5,-2012.8,-1669.4,-1716.5,-732.0,,-1575.4,-3156.5,-1490.8,-2948.2,114.1,-1378.0,False,False,True,,True,False,False,False,False,False,False,False,True,True,True,,True,False,True,False,True,True
Tennessee,20279,20672.0,21145.4,18105.0,19162.0,,11479.3,17157.0,20293.5,10346.2,29579.0,17376.0,20317.1,16340.4,20300.3,16434.0,16334.0,,17470.3,19843.3,18181.1,16191.2,19302.5,15438.0,393.0,866.4,-2174.0,-1117.0,,-8799.7,-3122.0,14.5,-9932.8,9300.0,-2903.0,38.1,-3938.6,21.3,-3845.0,-3945.0,,-2808.7,-435.7,-2097.9,-4087.8,-976.5,-4841.0,False,False,False,,False,False,True,False,False,False,True,False,True,False,False,,False,False,False,False,False,False
Texas,66536,85594.0,86469.0,65990.0,69531.0,,58943.5,79978.0,66156.4,43584.2,76975.0,104752.0,67636.6,79737.4,55215.6,65734.8,65393.0,,57534.9,211553.4,80061.7,71665.0,49889.4,71538.0,19058.0,19933.0,-546.0,2995.0,,-7592.5,13442.0,-379.6,-22951.8,10439.0,38216.0,1100.6,13201.4,-11320.4,-801.2,-1143.0,,-9001.1,145017.4,13525.7,5129.0,-16646.6,5002.0,False,True,True,,True,True,True,False,True,False,True,True,True,True,True,,True,False,True,True,True,True
Utah,5458,4986.0,5104.7,4222.0,4160.0,,3397.3,4155.0,3835.3,2496.2,5340.0,4440.0,4390.3,4192.3,4338.5,4351.7,4308.0,,3172.2,6374.0,5272.1,4512.3,3902.5,3897.0,-472.0,-353.3,-1236.0,-1298.0,,-2060.7,-1303.0,-1622.7,-2961.8,-118.0,-1018.0,-1067.7,-1265.7,-1119.5,-1106.3,-1150.0,,-2285.8,916.0,-185.9,-945.7,-1555.5,-1561.0,True,False,False,,False,False,False,False,True,False,False,False,False,False,False,,False,False,True,False,False,False
