,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01121,1414,688.0,787.6,,,,1085.0,687.7,1108.3,,,-726.0,-626.4,,,,-329.0,-726.3,-305.7,,,True,,,,True,False,True,,
01123,437,320.0,,,,,689.0,114.3,,,,-117.0,,,,,252.0,-322.7,,,,,,,,False,False,,,
01125,3558,3248.0,4421.9,,,,8136.0,1251.2,3206.8,,,-310.0,863.9,,,,4578.0,-2306.8,-351.2,,,False,,,,False,False,False,,
01127,923,1176.0,628.7,,,,2448.0,395.0,2110.8,,,253.0,-294.3,,,,1525.0,-528.0,1187.8,,,False,,,,False,False,False,,
01129,373,288.0,,,,,356.0,64.3,,,,-85.0,,,,,-17.0,-308.7,,,,,,,,True,False,,,
01131,216,104.0,,,,,79.0,37.2,,,,-112.0,,,,,-137.0,-178.8,,,,,,,,False,False,,,
01133,308,336.0,,,,,358.0,204.9,,,,28.0,,,,,50.0,-103.1,,,,,,,,False,False,,,
02013,8,0.0,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,,
02016,88,8.0,,,,,,,,,,-80.0,,,,,,,,,,,,,,,,,,
02020,2672,1168.0,1045.5,,,,,1439.7,932.0,,,-1504.0,-1626.5,,,,,-1232.3,-1740.0,,,False,,,,,True,False,,
02050,48,16.0,,,,,,,,,,-32.0,,,,,,,,,,,,,,,,,,
02060,0,24.0,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,
02068,5,0.0,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,,
02070,5,0.0,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,,
02090,537,480.0,96.1,,,,,288.9,,,,-57.0,-440.9,,,,,-248.1,,,,False,,,,,False,,,
02100,2,0.0,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,
02105,0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
02110,220,24.0,,,,,,,,,,-196.0,,,,,,,,,,,,,,,,,,
02122,388,248.0,516.7,,,,,288.1,,,,-140.0,128.7,,,,,-99.9,,,,True,,,,,True,,,
02130,33,8.0,,,,,,,,,,-25.0,,,,,,,,,,,,,,,,,,
02150,51,0.0,,,,,,,,,,-51.0,,,,,,,,,,,,,,,,,,
02158,6,8.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
02164,19,0.0,,,,,,,,,,-19.0,,,,,,,,,,,,,,,,,,
02170,382,160.0,369.9,,,,,352.3,,,,-222.0,-12.1,,,,,-29.7,,,,True,,,,,True,,,
02180,33,24.0,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,
02185,52,0.0,,,,,,,,,,-52.0,,,,,,,,,,,,,,,,,,
02188,65,8.0,,,,,,,,,,-57.0,,,,,,,,,,,,,,,,,,
02195,3,8.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
02198,25,0.0,,,,,,,,,,-25.0,,,,,,,,,,,,,,,,,,
02220,35,0.0,,,,,,,,,,-35.0,,,,,,,,,,,,,,,,,,
02230,0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
02240,11,0.0,,,,,,,,,,-11.0,,,,,,,,,,,,,,,,,,
02261,96,16.0,,,,,,,,,,-80.0,,,,,,,,,,,,,,,,,,
02275,10,0.0,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,,
02282,23,0.0,,,,,,,,,,-23.0,,,,,,,,,,,,,,,,,,
02290,67,24.0,,,,,,,,,,-43.0,,,,,,,,,,,,,,,,,,
04001,813,1024.0,2832.9,,,,866.0,95.8,1417.3,,,211.0,2019.9,,,,53.0,-717.2,604.3,,,False,,,,True,False,False,,
04003,828,2240.0,1897.6,,,,1381.0,984.4,,,,1412.0,1069.6,,,,553.0,156.4,,,,True,,,,True,True,,,
04005,974,2560.0,2682.0,,,,3837.0,633.8,5131.2,,,1586.0,1708.0,,,,2863.0,-340.2,4157.2,,,False,,,,False,True,False,,
04007,703,832.0,574.8,,,,489.0,327.7,,,,129.0,-128.2,,,,-214.0,-375.3,,,,True,,,,False,False,,,
04009,562,592.0,,,,,208.0,264.7,,,,30.0,,,,,-354.0,-297.3,,,,,,,,False,False,,,
04011,32,112.0,,,,,185.0,,,,,80.0,,,,,153.0,,,,,,,,,False,,,,
04012,122,328.0,,,,,579.0,81.5,,,,206.0,,,,,457.0,-40.5,,,,,,,,False,True,,,
04013,57375,149216.0,262700.7,,,,180133.0,56939.4,99055.7,,,91841.0,205325.7,,,,122758.0,-435.6,41680.7,,,False,,,,False,True,True,,
04015,1988,3208.0,5586.6,,,,3793.0,1662.3,8562.5,,,1220.0,3598.6,,,,1805.0,-325.7,6574.5,,,False,,,,False,True,False,,
04017,1375,3448.0,5511.3,,,,2160.0,1007.6,3476.7,,,2073.0,4136.3,,,,785.0,-367.4,2101.7,,,False,,,,True,True,False,,
04019,10399,17040.0,53586.8,,,,17988.0,7190.8,15477.5,,,6641.0,43187.8,,,,7589.0,-3208.2,5078.5,,,False,,,,False,True,True,,
04021,4436,10208.0,17129.1,,,,6076.0,3277.0,5758.3,,,5772.0,12693.1,,,,1640.0,-1159.0,1322.3,,,False,,,,True,True,True,,
04023,644,1840.0,,,,,3552.0,96.2,,,,1196.0,,,,,2908.0,-547.8,,,,,,,,False,True,,,
04025,1272,1608.0,4250.8,,,,2043.0,1702.0,1092.8,,,336.0,2978.8,,,,771.0,430.0,-179.2,,,False,,,,False,False,True,,
04027,4170,8648.0,14530.2,,,,968.0,3221.3,2485.6,,,4478.0,10360.2,,,,-3202.0,-948.7,-1684.4,,,False,,,,True,True,True,,
05001,239,152.0,,,,,84.0,,,,,-87.0,,,,,-155.0,,,,,,,,,False,,,,
05003,293,136.0,,,,,259.0,,,,,-157.0,,,,,-34.0,,,,,,,,,True,,,,
05005,120,40.0,,,,,73.0,,,,,-80.0,,,,,-47.0,,,,,,,,,True,,,,
05007,2183,3640.0,5504.5,,,,3519.0,1214.0,3501.6,,,1457.0,3321.5,,,,1336.0,-969.0,1318.6,,,False,,,,True,True,True,,
05009,347,136.0,,,,,393.0,,,,,-211.0,,,,,46.0,,,,,,,,,True,,,,
05011,228,152.0,,,,,208.0,,,,,-76.0,,,,,-20.0,,,,,,,,,True,,,,
05013,24,0.0,,,,,1.0,,,,,-24.0,,,,,-23.0,,,,,,,,,True,,,,
05015,261,304.0,,,,,215.0,223.0,,,,43.0,,,,,-46.0,-38.0,,,,,,,,False,True,,,
05017,762,408.0,,,,,352.0,109.7,,,,-354.0,,,,,-410.0,-652.3,,,,,,,,False,False,,,
05019,185,136.0,,,,,308.0,,,,,-49.0,,,,,123.0,,,,,,,,,False,,,,
05021,126,120.0,,,,,91.0,,,,,-6.0,,,,,-35.0,,,,,,,,,False,,,,
05023,136,160.0,,,,,310.0,55.3,,,,24.0,,,,,174.0,-80.7,,,,,,,,False,False,,,
05025,106,48.0,,,,,62.0,,,,,-58.0,,,,,-44.0,,,,,,,,,True,,,,
05027,208,144.0,,,,,380.0,124.5,,,,-64.0,,,,,172.0,-83.5,,,,,,,,False,False,,,
05029,127,160.0,,,,,456.0,,,,,33.0,,,,,329.0,,,,,,,,,False,,,,
05031,1481,552.0,521.2,,,,2094.0,286.0,830.7,,,-929.0,-959.8,,,,613.0,-1195.0,-650.3,,,False,,,,True,False,True,,
05033,701,496.0,1611.9,,,,2949.0,627.2,,,,-205.0,910.9,,,,2248.0,-73.8,,,,False,,,,False,True,,,
05035,870,536.0,,,,,1515.0,172.1,,,,-334.0,,,,,645.0,-697.9,,,,,,,,False,False,,,
05037,208,56.0,,,,,348.0,,,,,-152.0,,,,,140.0,,,,,,,,,True,,,,
05039,126,0.0,,,,,38.0,,,,,-126.0,,,,,-88.0,,,,,,,,,True,,,,
05041,173,160.0,,,,,183.0,,,,,-13.0,,,,,10.0,,,,,,,,,True,,,,
05043,222,128.0,,,,,225.0,,,,,-94.0,,,,,3.0,,,,,,,,,True,,,,
05045,1013,1544.0,3488.7,,,,1876.0,1206.5,,,,531.0,2475.7,,,,863.0,193.5,,,,False,,,,False,True,,,
05047,152,32.0,,,,,531.0,,,,,-120.0,,,,,379.0,,,,,,,,,False,,,,
05049,67,16.0,,,,,45.0,,,,,-51.0,,,,,-22.0,,,,,,,,,True,,,,
05051,1181,344.0,158.7,,,,2249.0,490.2,,,,-837.0,-1022.3,,,,1068.0,-690.8,,,,False,,,,False,True,,,
05053,150,64.0,,,,,76.0,,,,,-86.0,,,,,-74.0,,,,,,,,,True,,,,
05055,513,208.0,,,,,414.0,255.2,,,,-305.0,,,,,-99.0,-257.8,,,,,,,,True,True,,,
05057,259,128.0,,,,,272.0,,,,,-131.0,,,,,13.0,,,,,,,,,True,,,,
05059,528,5040.0,,,,,1162.0,960.8,,,,4512.0,,,,,634.0,432.8,,,,,,,,True,True,,,
05061,300,280.0,,,,,524.0,125.0,,,,-20.0,,,,,224.0,-175.0,,,,,,,,False,False,,,
05063,735,88.0,,,,,773.0,,,,,-647.0,,,,,38.0,,,,,,,,,True,,,,
05065,88,16.0,,,,,73.0,,,,,-72.0,,,,,-15.0,,,,,,,,,True,,,,
05067,155,72.0,,,,,407.0,,,,,-83.0,,,,,252.0,,,,,,,,,False,,,,
05069,1391,904.0,256.8,,,,1004.0,111.6,834.3,,,-487.0,-1134.2,,,,-387.0,-1279.4,-556.7,,,False,,,,True,False,False,,
05071,414,752.0,,,,,1470.0,269.4,,,,338.0,,,,,1056.0,-144.6,,,,,,,,False,True,,,
05073,51,24.0,,,,,9.0,,,,,-27.0,,,,,-42.0,,,,,,,,,False,,,,
05075,151,104.0,,,,,221.0,26.4,,,,-47.0,,,,,70.0,-124.6,,,,,,,,False,False,,,
05077,185,216.0,,,,,230.0,45.3,,,,31.0,,,,,45.0,-139.7,,,,,,,,False,False,,,
05079,706,56.0,,,,,292.0,2.4,,,,-650.0,,,,,-414.0,-703.6,,,,,,,,True,False,,,
05081,258,16.0,,,,,201.0,,,,,-242.0,,,,,-57.0,,,,,,,,,True,,,,
05083,293,152.0,,,,,905.0,,,,,-141.0,,,,,612.0,,,,,,,,,False,,,,
05085,573,240.0,443.3,,,,690.0,492.5,,,,-333.0,-129.7,,,,117.0,-80.5,,,,True,,,,True,True,,,
05087,87,176.0,,,,,294.0,118.4,,,,89.0,,,,,207.0,31.4,,,,,,,,False,True,,,
05089,39,8.0,,,,,59.0,,,,,-31.0,,,,,20.0,,,,,,,,,True,,,,
05091,398,1000.0,,,,,1570.0,417.4,,,,602.0,,,,,1172.0,19.4,,,,,,,,False,True,,,
05093,1101,816.0,,,,,1118.0,507.5,,,,-285.0,,,,,17.0,-593.5,,,,,,,,True,False,,,
05095,82,32.0,,,,,25.0,,,,,-50.0,,,,,-57.0,,,,,,,,,False,,,,
05097,112,24.0,,,,,50.0,,,,,-88.0,,,,,-62.0,,,,,,,,,True,,,,
05099,57,40.0,,,,,121.0,27.3,,,,-17.0,,,,,64.0,-29.7,,,,,,,,False,False,,,
05101,133,0.0,,,,,71.0,,,,,-133.0,,,,,-62.0,,,,,,,,,True,,,,
05103,144,96.0,,,,,196.0,,,,,-48.0,,,,,52.0,,,,,,,,,False,,,,
05105,33,0.0,,,,,61.0,,,,,-33.0,,,,,28.0,,,,,,,,,True,,,,
05107,242,136.0,,,,,525.0,69.9,,,,-106.0,,,,,283.0,-172.1,,,,,,,,False,False,,,
05109,164,104.0,,,,,92.0,,,,,-60.0,,,,,-72.0,,,,,,,,,False,,,,
05111,439,88.0,,,,,293.0,,,,,-351.0,,,,,-146.0,,,,,,,,,True,,,,
05113,148,80.0,,,,,614.0,,,,,-68.0,,,,,466.0,,,,,,,,,False,,,,
05115,1191,1320.0,2586.0,,,,1541.0,540.6,,,,129.0,1395.0,,,,350.0,-650.4,,,,False,,,,False,False,,,
05117,93,56.0,,,,,71.0,,,,,-37.0,,,,,-22.0,,,,,,,,,True,,,,
05119,4555,4328.0,4507.6,,,,4752.0,2927.4,5006.9,,,-227.0,-47.4,,,,197.0,-1627.6,451.9,,,True,,,,True,False,False,,
05121,244,168.0,,,,,141.0,,,,,-76.0,,,,,-103.0,,,,,,,,,False,,,,
05123,461,176.0,,,,,982.0,15.7,,,,-285.0,,,,,521.0,-445.3,,,,,,,,False,False,,,
05125,1218,968.0,875.2,,,,1586.0,1015.2,,,,-250.0,-342.8,,,,368.0,-202.8,,,,False,,,,False,True,,,
05127,73,32.0,,,,,197.0,,,,,-41.0,,,,,124.0,,,,,,,,,False,,,,
05129,100,32.0,,,,,30.0,,,,,-68.0,,,,,-70.0,,,,,,,,,False,,,,
05131,2177,1832.0,2300.1,,,,16494.0,1221.7,,,,-345.0,123.1,,,,14317.0,-955.3,,,,True,,,,False,False,,,
05133,367,544.0,,,,,1907.0,42.9,,,,177.0,,,,,1540.0,-324.1,,,,,,,,False,False,,,
05135,99,48.0,,,,,59.0,,,,,-51.0,,,,,-40.0,,,,,,,,,True,,,,
05137,210,32.0,,,,,30.0,,,,,-178.0,,,,,-180.0,,,,,,,,,False,,,,
05139,451,168.0,,,,,766.0,71.1,,,,-283.0,,,,,315.0,-379.9,,,,,,,,False,False,,,
05141,105,16.0,,,,,48.0,,,,,-89.0,,,,,-57.0,,,,,,,,,True,,,,
05143,3121,4192.0,12610.5,,,,9625.0,1271.4,1144.7,,,1071.0,9489.5,,,,6504.0,-1849.6,-1976.3,,,False,,,,False,False,False,,
05145,437,280.0,121.2,,,,1159.0,286.1,,,,-157.0,-315.8,,,,722.0,-150.9,,,,False,,,,False,True,,,
05147,17,32.0,,,,,68.0,,,,,15.0,,,,,51.0,,,,,,,,,False,,,,
05149,350,1184.0,,,,,977.0,439.2,,,,834.0,,,,,627.0,89.2,,,,,,,,True,True,,,
06001,11406,9352.0,8045.2,,,,17228.0,9574.1,5895.2,,,-2054.0,-3360.8,,,,5822.0,-1831.9,-5510.8,,,False,,,,False,True,False,,
06003,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,True,,,,
06005,240,72.0,,,,,190.0,,,,,-168.0,,,,,-50.0,,,,,,,,,True,,,,
06007,1989,1056.0,1008.3,,,,2748.0,1973.5,,,,-933.0,-980.7,,,,759.0,-15.5,,,,False,,,,True,True,,,
06009,206,112.0,,,,,258.0,,,,,-94.0,,,,,52.0,,,,,,,,,True,,,,
06011,360,344.0,,,,,389.0,274.5,,,,-16.0,,,,,29.0,-85.5,,,,,,,,False,False,,,
06013,9943,8328.0,11474.4,,,,13967.0,13336.1,11949.2,,,-1615.0,1531.4,,,,4024.0,3393.1,2006.2,,,True,,,,False,False,False,,
06015,64,16.0,,,,,164.0,,,,,-48.0,,,,,100.0,,,,,,,,,False,,,,
06017,694,648.0,498.4,,,,3101.0,2108.5,,,,-46.0,-195.6,,,,2407.0,1414.5,,,,False,,,,False,False,,,
06019,18241,16440.0,34276.8,,,,41422.0,13437.8,18392.3,,,-1801.0,16035.8,,,,23181.0,-4803.2,151.3,,,False,,,,False,False,True,,
06021,340,336.0,,,,,375.0,332.1,,,,-4.0,,,,,35.0,-7.9,,,,,,,,False,False,,,
06023,244,168.0,68.9,,,,832.0,168.6,,,,-76.0,-175.1,,,,588.0,-75.4,,,,False,,,,False,True,,,
06025,3214,6304.0,7128.2,,,,1571.0,602.4,5632.6,,,3090.0,3914.2,,,,-1643.0,-2611.6,2418.6,,,False,,,,True,True,True,,
06027,176,8.0,,,,,11.0,,,,,-168.0,,,,,-165.0,,,,,,,,,True,,,,
06029,23519,9672.0,7217.5,,,,24645.0,5830.5,15133.0,,,-13847.0,-16301.5,,,,1126.0,-17688.5,-8386.0,,,False,,,,True,False,True,,
06031,3790,2384.0,2109.7,,,,4596.0,766.1,4039.2,,,-1406.0,-1680.3,,,,806.0,-3023.9,249.2,,,False,,,,True,False,True,,
06033,252,168.0,92.8,,,,393.0,227.3,,,,-84.0,-159.2,,,,141.0,-24.7,,,,False,,,,False,True,,,
06035,450,264.0,,,,,215.0,214.8,,,,-186.0,,,,,-235.0,-235.2,,,,,,,,False,False,,,
06037,117148,180544.0,174535.8,,,,101238.0,63447.5,204096.9,,,63396.0,57387.8,,,,-15910.0,-53700.5,86948.9,,,True,,,,True,True,False,,
06039,3060,2520.0,2697.4,,,,5302.0,2439.1,,,,-540.0,-362.6,,,,2242.0,-620.9,,,,True,,,,False,False,,,
06041,2899,5720.0,9745.6,,,,1987.0,2785.7,4334.0,,,2821.0,6846.6,,,,-912.0,-113.3,1435.0,,,False,,,,True,True,True,,
06043,43,32.0,,,,,23.0,,,,,-11.0,,,,,-20.0,,,,,,,,,False,,,,
06045,624,224.0,236.3,,,,520.0,254.0,,,,-400.0,-387.7,,,,-104.0,-370.0,,,,True,,,,True,True,,,
06047,6393,4896.0,5902.2,,,,16259.0,3242.2,4786.3,,,-1497.0,-490.8,,,,9866.0,-3150.8,-1606.7,,,True,,,,False,False,False,,
06049,21,0.0,,,,,6.0,,,,,-21.0,,,,,-15.0,,,,,,,,,True,,,,
06051,112,40.0,,,,,17.0,,,,,-72.0,,,,,-95.0,,,,,,,,,False,,,,
06053,5786,5000.0,12013.5,,,,8434.0,5320.0,8349.0,,,-786.0,6227.5,,,,2648.0,-466.0,2563.0,,,False,,,,False,True,False,,
06055,998,808.0,1470.7,,,,2114.0,1394.1,,,,-190.0,472.7,,,,1116.0,396.1,,,,False,,,,False,False,,,
06057,293,272.0,6.3,,,,985.0,782.8,,,,-21.0,-286.7,,,,692.0,489.8,,,,False,,,,False,False,,,
06059,20305,61680.0,60870.1,,,,9183.0,20673.2,53286.3,,,41375.0,40565.1,,,,-11122.0,368.2,32981.3,,,True,,,,True,True,True,,
06061,2099,1816.0,4248.2,,,,6761.0,3977.2,11134.4,,,-283.0,2149.2,,,,4662.0,1878.2,9035.4,,,False,,,,False,False,False,,
06063,28,48.0,,,,,41.0,,,,,20.0,,,,,13.0,,,,,,,,,True,,,,
06065,29222,42520.0,52250.6,,,,12703.0,14682.9,39040.7,,,13298.0,23028.6,,,,-16519.0,-14539.1,9818.7,,,False,,,,False,False,True,,
06067,13474,10680.0,9627.1,,,,36897.0,15522.0,10660.8,,,-2794.0,-3846.9,,,,23423.0,2048.0,-2813.2,,,False,,,,False,True,False,,
06069,841,568.0,827.6,,,,1839.0,606.7,,,,-273.0,-13.4,,,,998.0,-234.3,,,,True,,,,False,True,,,
06071,31034,41888.0,49432.2,,,,65166.0,17621.6,29376.5,,,10854.0,18398.2,,,,34132.0,-13412.4,-1657.5,,,False,,,,False,False,True,,
06073,20971,29400.0,34809.5,,,,8664.0,12119.7,13048.9,,,8429.0,13838.5,,,,-12307.0,-8851.3,-7922.1,,,False,,,,False,False,True,,
06075,5413,5200.0,1325.9,,,,3868.0,2800.8,5504.2,,,-213.0,-4087.1,,,,-1545.0,-2612.2,91.2,,,False,,,,False,False,True,,
