,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Kansas,23963,21042.0,,39209.0,3047.0,5513.6,19021.0,12055.1,22364.2,13295.7,70426.9,-2921.0,,15246.0,-20916.0,-18449.4,-4942.0,-11907.9,-1598.8,-10667.3,46463.9,,False,False,False,False,False,True,False,False
Kentucky,30280,21441.0,,26954.8,14758.0,30466.7,21116.0,32079.7,48812.7,154118.2,9276.7,-8839.0,,-3325.2,-15522.0,186.7,-9164.0,1799.7,18532.7,123838.2,-21003.3,,True,False,True,False,True,False,False,False
Louisiana,63769,82509.0,,130798.4,44131.0,91405.0,106549.0,86407.3,338995.2,55183.4,32833.8,18740.0,,67029.4,-19638.0,27636.0,42780.0,22638.3,275226.2,-8585.6,-30935.2,,False,False,False,False,False,False,True,False
Maine,989,875.0,,402.3,430.0,2243.4,166.0,647.6,763.5,601.7,2819.5,-114.0,,-586.7,-559.0,1254.4,-823.0,-341.4,-225.5,-387.3,1830.5,,False,False,False,False,False,False,False,False
Maryland,34401,33173.0,,20328.4,3418.0,45990.4,17998.0,22538.3,88214.3,106219.3,32012.4,-1228.0,,-14072.6,-30983.0,11589.4,-16403.0,-11862.7,53813.3,71818.3,-2388.6,,False,False,False,False,False,False,False,False
Massachusetts,14318,12880.0,,9252.6,512.0,72451.8,7452.0,6788.5,18202.2,19526.7,13725.2,-1438.0,,-5065.4,-13806.0,58133.8,-6866.0,-7529.5,3884.2,5208.7,-592.8,,False,False,False,False,False,False,False,True
Michigan,35853,34776.0,,40252.9,4888.0,75697.6,41933.0,19272.0,71358.2,62167.8,81000.5,-1077.0,,4399.9,-30965.0,39844.6,6080.0,-16581.0,35505.2,26314.8,45147.5,,False,False,False,False,False,False,False,False
Minnesota,34410,27293.0,,28293.8,5559.0,8845.4,36900.0,18702.8,32278.7,34913.5,8380.4,-7117.0,,-6116.2,-28851.0,-25564.6,2490.0,-15707.2,-2131.3,503.5,-26029.6,,True,False,False,True,False,True,True,False
Mississippi,44632,44989.0,,49508.6,22328.0,115330.3,40596.0,29555.2,42811.6,45441.8,31515.9,357.0,,4876.6,-22304.0,70698.3,-4036.0,-15076.8,-1820.4,809.8,-13116.1,,False,False,False,False,False,False,False,False
Missouri,60467,35686.0,,45376.3,21621.0,27409.2,29955.0,29276.4,79692.1,77638.5,27244.3,-24781.0,,-15090.7,-38846.0,-33057.8,-30512.0,-31190.6,19225.1,17171.5,-33222.7,,True,False,False,False,False,True,True,False
Montana,5693,5558.0,,14163.5,2695.0,19378.4,7308.0,4946.5,4589.3,3397.7,20870.5,-135.0,,8470.5,-2998.0,13685.4,1615.0,-746.5,-1103.7,-2295.3,15177.5,,False,False,False,False,False,False,False,False
Nebraska,13324,10381.0,,7044.0,664.0,923.3,9983.0,4207.8,12525.2,6160.3,5896.3,-2943.0,,-6280.0,-12660.0,-12400.7,-3341.0,-9116.2,-798.8,-7163.7,-7427.7,,False,False,False,False,False,True,False,False
Nevada,36625,53473.0,,92351.8,38256.0,158388.1,43881.0,49835.6,54972.5,72981.1,56962.8,16848.0,,55726.8,1631.0,121763.1,7256.0,13210.6,18347.5,36356.1,20337.8,,False,True,False,True,True,False,False,False
New Hampshire,1236,1148.0,,196.6,138.0,2899.3,790.0,534.1,771.3,1385.8,439.9,-88.0,,-1039.4,-1098.0,1663.3,-446.0,-701.9,-464.7,149.8,-796.1,,False,False,False,False,False,False,False,False
New Jersey,16964,12985.0,,11595.7,462.0,150029.6,9832.0,3947.5,6677.9,4766.3,25683.7,-3979.0,,-5368.3,-16502.0,133065.6,-7132.0,-13016.5,-10286.1,-12197.7,8719.7,,False,False,False,False,False,False,False,False
New Mexico,9312,13741.0,,14953.2,4011.0,27087.0,12890.0,8450.7,14697.2,11773.8,21569.3,4429.0,,5641.2,-5301.0,17775.0,3578.0,-861.3,5385.2,2461.8,12257.3,,False,False,False,True,True,False,True,False
New York,32467,36932.0,,29542.2,1759.0,135861.6,15061.0,16572.3,58970.8,32924.7,61487.1,4465.0,,-2924.8,-30708.0,103394.6,-17406.0,-15894.7,26503.8,457.7,29020.1,,True,False,False,False,False,False,True,False
North Carolina,80201,99302.0,,87790.7,141205.0,39617.8,117712.0,57275.8,117890.7,81995.3,74591.0,19101.0,,7589.7,61004.0,-40583.2,37511.0,-22925.2,37689.7,1794.3,-5610.0,,True,False,False,False,False,False,True,True
North Dakota,8427,4648.0,,6660.2,321.0,13660.8,4332.0,3430.8,10574.4,11772.9,7582.4,-3779.0,,-1766.8,-8106.0,5233.8,-4095.0,-4996.2,2147.4,3345.9,-844.6,,True,False,False,False,False,True,True,True
Ohio,55964,67249.0,,78432.7,24471.0,66716.9,60742.0,39133.4,75923.8,73222.5,146056.3,11285.0,,22468.7,-31493.0,10752.9,4778.0,-16830.6,19959.8,17258.5,90092.3,,False,False,True,True,False,False,False,False
Oklahoma,38130,36946.0,,49561.6,24405.0,28644.1,63067.0,15856.0,28842.5,9831.5,39978.5,-1184.0,,11431.6,-13725.0,-9485.9,24937.0,-22274.0,-9287.5,-28298.5,1848.5,,False,False,False,False,False,False,False,False
Oregon,13707,16086.0,,18526.8,14649.0,14448.2,14612.0,13365.5,15007.1,34014.2,28693.6,2379.0,,4819.8,942.0,741.2,905.0,-341.5,1300.1,20307.2,14986.6,,False,True,True,True,True,True,False,False
Pennsylvania,38500,38948.0,,49347.4,3491.0,61415.1,24411.0,19871.5,45091.9,37144.4,61101.2,448.0,,10847.4,-35009.0,22915.1,-14089.0,-18628.5,6591.9,-1355.6,22601.2,,False,False,False,False,False,False,False,False
Rhode Island,4450,3367.0,,2671.8,109.0,2341.1,7002.0,940.9,2500.2,3558.3,666.6,-1083.0,,-1778.2,-4341.0,-2108.9,2552.0,-3509.1,-1949.8,-891.7,-3783.4,,False,False,False,False,False,False,True,False
South Carolina,56677,90391.0,,123842.8,40318.0,195103.5,87981.0,83779.6,73699.5,78338.0,77598.2,33714.0,,67165.8,-16359.0,138426.5,31304.0,27102.6,17022.5,21661.0,20921.2,,False,True,False,True,True,True,True,True
South Dakota,7027,2856.0,,2186.8,825.0,6125.5,2519.0,1731.4,20595.5,2811.5,4285.9,-4171.0,,-4840.2,-6202.0,-901.5,-4508.0,-5295.6,13568.5,-4215.5,-2741.1,,False,False,True,False,False,False,False,True
Tennessee,86026,107310.0,,128360.6,100432.0,62734.6,92062.0,65844.2,100694.8,91116.8,83738.4,21284.0,,42334.6,14406.0,-23291.4,6036.0,-20181.8,14668.8,5090.8,-2287.6,,False,True,False,True,True,True,True,True
Texas,331965,508837.0,,675156.3,506305.0,1329787.4,704532.0,283115.2,435536.1,251082.4,241691.9,176872.0,,343191.3,174340.0,997822.4,372567.0,-48849.8,103571.1,-80882.6,-90273.1,,False,True,False,False,True,True,True,True
Utah,20940,31339.0,,27303.8,36787.0,65879.4,26264.0,25718.2,28756.5,44183.4,15158.3,10399.0,,6363.8,15847.0,44939.4,5324.0,4778.2,7816.5,23243.4,-5781.7,,True,False,False,True,True,True,False,True
Vermont,309,385.0,,95.4,16.0,11.6,282.0,225.0,415.6,643.0,257.3,76.0,,-213.6,-293.0,-297.4,-27.0,-84.0,106.6,334.0,-51.7,,False,False,False,True,False,False,False,True
Virginia,49354,46137.0,,39852.9,13320.0,118833.7,36738.0,29067.0,66608.7,93668.4,5177.7,-3217.0,,-9501.1,-36034.0,69479.7,-12616.0,-20287.0,17254.7,44314.4,-44176.3,,False,False,False,False,False,False,False,False
Washington,30810,47656.0,,45108.8,23521.0,70336.2,34553.0,29846.6,49971.0,76790.5,58426.9,16846.0,,14298.8,-7289.0,39526.2,3743.0,-963.4,19161.0,45980.5,27616.9,,True,True,False,True,True,False,False,False
West Virginia,6399,5236.0,,14945.3,4424.0,919.2,3604.0,3005.5,7784.2,2978.1,23931.8,-1163.0,,8546.3,-1975.0,-5479.8,-2795.0,-3393.5,1385.2,-3420.9,17532.8,,False,False,False,False,False,False,False,False
Wisconsin,38815,40642.0,,48862.1,14634.0,7503.4,35987.0,29034.8,64421.8,51990.6,52854.6,1827.0,,10047.1,-24181.0,-31311.6,-2828.0,-9780.2,25606.8,13175.6,14039.6,,False,False,False,False,False,False,False,False
Wyoming,1898,1883.0,,3120.7,974.0,14.3,1950.0,1063.8,2443.5,1075.8,1413.5,-15.0,,1222.7,-924.0,-1883.7,52.0,-834.2,545.5,-822.2,-484.5,,False,False,False,False,False,False,False,False
US,2533734,3258416.0,2606682.0,4278774.6,2455828.0,4927882.6,3619301.0,1971076.5,3677417.6,2687775.0,3883245.3,724682.0,72948.0,1745040.6,-77906.0,2394148.6,1085567.0,-562657.5,1143683.6,154041.0,1349511.3,True,False,True,False,False,True,False,True,False
