,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01047,251,212.0,,215.7,,182.0,145.0,,,,,210.7,,59.6,193.7,,245.1,140.6,,,,,,-39.0,,-35.3,,-69.0,-106.0,,,,,-40.3,,-191.4,-57.3,,-5.9,-110.4,,,,,,,True,,False,False,,,,,False,,False,False,,True,False,,,,,
01049,343,592.0,976.9,596.0,,563.0,586.0,,,,,690.4,,405.8,462.7,,391.5,444.2,,,,,,249.0,633.9,253.0,,220.0,243.0,,,,,347.4,,62.8,119.7,,48.5,101.2,,,,,,False,False,,True,True,,,,,False,,True,True,,True,True,,,,,
01051,513,612.0,1201.4,620.4,,528.0,375.0,,,,,519.9,,365.8,446.0,,554.8,546.6,,,,,,99.0,688.4,107.4,,15.0,-138.0,,,,,6.9,,-147.2,-67.0,,41.8,33.6,,,,,,False,False,,True,False,,,,,True,,False,True,,True,True,,,,,
01053,266,492.0,,543.2,,343.0,325.0,,,,,545.1,,254.5,342.3,,67.6,286.2,,,,,,226.0,,277.2,,77.0,59.0,,,,,279.1,,-11.5,76.3,,-198.4,20.2,,,,,,,False,,True,True,,,,,False,,True,True,,True,True,,,,,
01055,850,880.0,1580.1,904.1,,742.0,616.0,,,,,1331.2,,719.6,560.6,,570.2,602.9,,,,,,30.0,730.1,54.1,,-108.0,-234.0,,,,,481.2,,-130.4,-289.4,,-279.8,-247.1,,,,,,False,False,,False,False,,,,,False,,False,False,,False,False,,,,,
01057,133,148.0,,149.0,,133.0,237.0,,,,,150.9,,148.2,127.9,,88.6,108.0,,,,,,15.0,,16.0,,0.0,104.0,,,,,17.9,,15.2,-5.1,,-44.4,-25.0,,,,,,,False,,True,False,,,,,False,,False,True,,False,False,,,,,
01059,318,420.0,,417.1,,371.0,541.0,,,,,101.5,,195.6,333.5,,398.6,338.1,,,,,,102.0,,99.1,,53.0,223.0,,,,,-216.5,,-122.4,15.5,,80.6,20.1,,,,,,,True,,True,False,,,,,False,,False,True,,True,True,,,,,
01061,188,164.0,,159.6,,160.0,170.0,,,,,262.3,,32.0,116.7,,164.8,90.0,,,,,,-24.0,,-28.4,,-28.0,-18.0,,,,,74.3,,-156.0,-71.3,,-23.2,-98.0,,,,,,,False,,False,True,,,,,False,,False,False,,True,False,,,,,
01063,35,44.0,,43.6,,33.0,28.0,,,,,36.1,,8.0,31.0,,43.5,35.4,,,,,,9.0,,8.6,,-2.0,-7.0,,,,,1.1,,-27.0,-4.0,,8.5,0.4,,,,,,,True,,True,True,,,,,True,,False,True,,True,True,,,,,
01065,79,100.0,,112.7,,96.0,94.0,,,,,66.1,,22.3,89.9,,98.5,108.3,,,,,,21.0,,33.7,,17.0,15.0,,,,,-12.9,,-56.7,10.9,,19.5,29.3,,,,,,,False,,True,True,,,,,True,,False,True,,True,False,,,,,
01067,129,84.0,,90.5,,68.0,82.0,,,,,101.8,,26.3,86.6,,42.5,47.2,,,,,,-45.0,,-38.5,,-61.0,-47.0,,,,,-27.2,,-102.7,-42.4,,-86.5,-81.8,,,,,,,True,,False,False,,,,,True,,False,True,,False,False,,,,,
01069,804,444.0,1355.3,485.9,,444.0,162.0,,,,,742.5,,214.4,332.9,,114.2,1885.4,,,,,,-360.0,551.3,-318.1,,-360.0,-642.0,,,,,-61.5,,-589.6,-471.1,,-689.8,1081.4,,,,,,False,True,,False,False,,,,,True,,False,False,,False,False,,,,,
01071,349,740.0,1041.0,777.2,,640.0,1556.0,,,,,602.1,,597.8,584.3,,427.1,570.2,,,,,,391.0,692.0,428.2,,291.0,1207.0,,,,,253.1,,248.8,235.3,,78.1,221.2,,,,,,False,False,,True,False,,,,,True,,True,True,,True,True,,,,,
01073,3925,6016.0,7805.1,5896.5,5133.7,5454.0,8789.0,,,,,5542.3,,5655.2,4370.1,,5454.1,4605.0,4139.0,,,,,2091.0,3880.1,1971.5,1208.7,1529.0,4864.0,,,,,1617.3,,1730.2,445.1,,1529.1,680.0,214.0,,,,,False,True,True,True,False,,,,,True,,True,True,,True,True,True,,,,
01075,71,116.0,,125.2,,89.0,138.0,,,,,116.1,,54.7,98.2,,75.9,56.9,,,,,,45.0,,54.2,,18.0,67.0,,,,,45.1,,-16.3,27.2,,4.9,-14.1,,,,,,,False,,True,False,,,,,False,,True,True,,True,True,,,,,
01077,323,516.0,987.2,475.9,,459.0,406.0,,,,,802.7,,280.0,355.4,,318.8,470.8,,,,,,193.0,664.2,152.9,,136.0,83.0,,,,,479.7,,-43.0,32.4,,-4.2,147.8,,,,,,False,True,,True,True,,,,,False,,True,True,,True,True,,,,,
01079,168,200.0,,186.0,,190.0,180.0,,,,,286.7,,71.1,137.0,,233.3,328.5,,,,,,32.0,,18.0,,22.0,12.0,,,,,118.7,,-96.9,-31.0,,65.3,160.5,,,,,,,True,,True,True,,,,,False,,False,True,,False,False,,,,,
01081,2244,820.0,2366.6,727.7,,737.0,933.0,,,,,1238.8,,742.9,635.9,,566.1,584.7,526.0,,,,,-1424.0,122.6,-1516.3,,-1507.0,-1311.0,,,,,-1005.2,,-1501.1,-1608.1,,-1677.9,-1659.3,-1718.0,,,,,True,False,,False,True,,,,,True,,False,False,,False,False,False,,,,
01083,395,652.0,1548.4,647.7,,621.0,662.0,,,,,682.6,,577.7,580.3,,329.5,680.4,,,,,,257.0,1153.4,252.7,,226.0,267.0,,,,,287.6,,182.7,185.3,,-65.5,285.4,,,,,,False,True,,True,False,,,,,False,,True,True,,True,False,,,,,
01085,45,104.0,,100.7,,46.0,23.0,,,,,26.3,,13.5,78.3,,38.0,60.5,,,,,,59.0,,55.7,,1.0,-22.0,,,,,-18.7,,-31.5,33.3,,-7.0,15.5,,,,,,,True,,True,True,,,,,True,,True,True,,True,True,,,,,
01087,103,120.0,,113.7,,99.0,88.0,,,,,122.0,,28.0,90.1,,120.1,118.7,,,,,,17.0,,10.7,,-4.0,-15.0,,,,,19.0,,-75.0,-12.9,,17.1,15.7,,,,,,,True,,True,True,,,,,False,,False,True,,False,True,,,,,
01089,1357,1988.0,4844.7,1552.1,1885.7,1598.0,1416.0,,,,,3710.4,,1493.6,1288.2,,483.4,1922.4,1013.0,,,,,631.0,3487.7,195.1,528.7,241.0,59.0,,,,,2353.4,,136.6,-68.8,,-873.6,565.4,-344.0,,,,,False,True,True,True,True,,,,,False,,True,True,,False,True,True,,,,
01091,104,188.0,,174.3,,141.0,149.0,,,,,105.6,,68.5,121.5,,129.5,258.4,,,,,,84.0,,70.3,,37.0,45.0,,,,,1.6,,-35.5,17.5,,25.5,154.4,,,,,,,True,,True,True,,,,,True,,True,True,,True,False,,,,,
01093,208,168.0,,170.6,,148.0,93.0,,,,,244.5,,83.0,133.0,,122.0,185.9,,,,,,-40.0,,-37.4,,-60.0,-115.0,,,,,36.5,,-125.0,-75.0,,-86.0,-22.1,,,,,,,True,,False,False,,,,,True,,False,False,,False,True,,,,,
01095,441,1008.0,2011.2,984.1,,860.0,921.0,,,,,1005.4,,765.5,749.0,,831.1,606.0,,,,,,567.0,1570.2,543.1,,419.0,480.0,,,,,564.4,,324.5,308.0,,390.1,165.0,,,,,,False,True,,True,True,,,,,True,,True,True,,True,True,,,,,
01097,2521,5480.0,5926.3,5295.8,3554.2,4176.0,4414.0,,,,,3465.6,,3891.6,3254.0,,3727.8,7412.4,3262.0,,,,,2959.0,3405.3,2774.8,1033.2,1655.0,1893.0,,,,,944.6,,1370.6,733.0,,1206.8,4891.4,741.0,,,,,False,True,True,True,True,,,,,True,,True,True,,True,False,True,,,,
01099,77,136.0,,134.2,,112.0,91.0,,,,,165.1,,29.4,100.2,,151.1,102.8,,,,,,59.0,,57.2,,35.0,14.0,,,,,88.1,,-47.6,23.2,,74.1,25.8,,,,,,,True,,True,True,,,,,False,,True,True,,False,True,,,,,
01101,1307,2064.0,3821.1,2118.1,1742.5,2109.0,2368.0,,,,,999.3,,2136.2,2770.3,,1805.5,2107.9,2439.0,,,,,757.0,2514.1,811.1,435.5,802.0,1061.0,,,,,-307.7,,829.2,1463.3,,498.5,800.9,1132.0,,,,,False,False,True,False,False,,,,,True,,False,False,,True,False,False,,,,
01103,553,852.0,1495.7,793.2,,736.0,816.0,,,,,977.0,,505.3,623.8,,491.8,535.2,,,,,,299.0,942.7,240.2,,183.0,263.0,,,,,424.0,,-47.7,70.8,,-61.2,-17.8,,,,,,False,True,,True,True,,,,,False,,True,True,,True,True,,,,,
01105,51,84.0,,94.7,,66.0,75.0,,,,,97.1,,19.8,53.6,,22.6,65.5,,,,,,33.0,,43.7,,15.0,24.0,,,,,46.1,,-31.2,2.6,,-28.4,14.5,,,,,,,False,,True,True,,,,,False,,True,True,,True,True,,,,,
01107,173,132.0,,134.3,,121.0,109.0,,,,,120.6,,97.5,154.8,,243.7,79.6,,,,,,-41.0,,-38.7,,-52.0,-64.0,,,,,-52.4,,-75.5,-18.2,,70.7,-93.4,,,,,,,True,,False,False,,,,,False,,False,True,,False,False,,,,,
01109,289,236.0,,220.3,,203.0,204.0,,,,,168.1,,77.3,202.8,,178.4,266.5,,,,,,-53.0,,-68.7,,-86.0,-85.0,,,,,-120.9,,-211.7,-86.2,,-110.6,-22.5,,,,,,,False,,False,False,,,,,False,,False,False,,False,True,,,,,
01111,128,40.0,,42.7,,42.0,9.0,,,,,167.2,,18.1,60.5,,11.5,117.9,,,,,,-88.0,,-85.3,,-86.0,-119.0,,,,,39.2,,-109.9,-67.5,,-116.5,-10.1,,,,,,,True,,True,False,,,,,True,,False,True,,False,True,,,,,
01113,258,692.0,922.9,630.2,,687.0,794.0,,,,,447.9,,448.0,441.3,,872.0,939.1,,,,,,434.0,664.9,372.2,,429.0,536.0,,,,,189.9,,190.0,183.3,,614.0,681.1,,,,,,False,True,,True,False,,,,,True,,True,True,,False,False,,,,,
01115,522,636.0,1210.7,625.7,,596.0,559.0,,,,,877.7,,433.8,470.1,,599.3,453.6,,,,,,114.0,688.7,103.7,,74.0,37.0,,,,,355.7,,-88.2,-51.9,,77.3,-68.4,,,,,,False,True,,True,True,,,,,False,,True,True,,True,True,,,,,
01117,1407,1224.0,2855.8,1222.2,,1114.0,1204.0,,,,,1758.9,,978.4,825.5,,445.1,1000.8,689.0,,,,,-183.0,1448.8,-184.8,,-293.0,-203.0,,,,,351.9,,-428.6,-581.5,,-961.9,-406.2,-718.0,,,,,False,False,,False,False,,,,,False,,False,False,,False,False,False,,,,
01119,44,0.0,,0.0,,9.0,28.0,,,,,17.2,,0.2,18.6,,12.7,19.1,,,,,,-44.0,,-44.0,,-35.0,-16.0,,,,,-26.8,,-43.8,-25.4,,-31.3,-24.9,,,,,,,False,,True,True,,,,,True,,True,True,,True,True,,,,,
01121,570,588.0,1605.9,573.8,,574.0,467.0,,,,,905.9,,417.6,465.2,,470.0,971.8,,,,,,18.0,1035.9,3.8,,4.0,-103.0,,,,,335.9,,-152.4,-104.8,,-100.0,401.8,,,,,,False,True,,True,False,,,,,False,,False,False,,False,False,,,,,
01123,159,212.0,,235.2,,185.0,179.0,,,,,225.4,,83.4,167.9,,183.6,248.4,,,,,,53.0,,76.2,,26.0,20.0,,,,,66.4,,-75.6,8.9,,24.6,89.4,,,,,,,False,,True,True,,,,,False,,False,True,,True,False,,,,,
01125,1948,1356.0,1327.3,1388.1,,1099.0,1463.0,,,,,1144.9,,930.3,860.8,,1157.9,949.3,1033.0,,,,,-592.0,-620.7,-559.9,,-849.0,-485.0,,,,,-803.1,,-1017.7,-1087.2,,-790.1,-998.7,-915.0,,,,,False,True,,False,True,,,,,False,,False,False,,False,False,False,,,,
01127,459,280.0,300.1,267.4,,223.0,121.0,,,,,384.6,,107.0,229.2,,97.8,184.0,,,,,,-179.0,-158.9,-191.6,,-236.0,-338.0,,,,,-74.4,,-352.0,-229.8,,-361.2,-275.0,,,,,,True,False,,False,False,,,,,True,,False,False,,False,False,,,,,
01129,132,328.0,,358.0,,228.0,294.0,,,,,158.0,,158.2,212.0,,30.2,245.0,,,,,,196.0,,226.0,,96.0,162.0,,,,,26.0,,26.2,80.0,,-101.8,113.0,,,,,,,False,,True,True,,,,,True,,True,True,,True,True,,,,,
01131,80,104.0,,91.5,,85.0,82.0,,,,,51.6,,38.1,92.3,,104.9,74.6,,,,,,24.0,,11.5,,5.0,2.0,,,,,-28.4,,-41.9,12.3,,24.9,-5.4,,,,,,,True,,True,True,,,,,False,,False,True,,False,True,,,,,
01133,148,96.0,,96.8,,97.0,75.0,,,,,191.7,,54.6,112.7,,151.6,59.1,,,,,,-52.0,,-51.2,,-51.0,-73.0,,,,,43.7,,-93.4,-35.3,,3.6,-88.9,,,,,,,True,,True,False,,,,,True,,False,True,,True,False,,,,,
02013,6,4.0,,4.5,,4.0,0.0,,,,,20.7,,,0.6,,0.4,,,,,,,-2.0,,-1.5,,-2.0,-6.0,,,,,14.7,,,-5.4,,-5.7,,,,,,,,True,,False,False,,,,,False,,,False,,False,,,,,,
02016,5,0.0,,0.0,,0.0,0.0,,,,,21.7,,,1.0,,2.3,,,,,,,-5.0,,-5.0,,-5.0,-5.0,,,,,16.7,,,-4.0,,-2.7,,,,,,,,False,,False,False,,,,,False,,,True,,True,,,,,,
02020,1164,1324.0,2610.9,1201.1,,1149.0,561.0,,,,,3220.2,,753.3,1033.1,,646.7,2107.4,1160.0,,,,,160.0,1446.9,37.1,,-15.0,-603.0,,,,,2056.2,,-410.7,-130.9,,-517.3,943.4,-4.0,,,,,False,True,,True,False,,,,,False,,False,True,,False,False,True,,,,
02050,39,8.0,,8.4,,0.0,0.0,,,,,8.8,,0.8,1.2,,6.0,,,,,,,-31.0,,-30.6,,-39.0,-39.0,,,,,-30.2,,-38.2,-37.8,,-33.0,,,,,,,,True,,False,False,,,,,True,,False,False,,False,,,,,,
02060,0,12.0,,10.3,,5.0,0.0,,,,,0.0,,1.3,2.3,,7.2,9.9,,,,,,12.0,,10.3,,5.0,0.0,,,,,0.0,,1.3,2.3,,7.2,9.9,,,,,,,True,,True,True,,,,,True,,True,True,,True,True,,,,,
02068,2,0.0,,0.7,,0.0,0.0,,,,,3.5,,,0.1,,0.0,,,,,,,-2.0,,-1.3,,-2.0,-2.0,,,,,1.5,,,-1.9,,-2.0,,,,,,,,True,,False,False,,,,,True,,,True,,False,,,,,,
02070,4,0.0,,0.5,,0.0,0.0,,,,,12.8,,0.0,0.2,,0.0,,,,,,,-4.0,,-3.5,,-4.0,-4.0,,,,,8.8,,-4.0,-3.8,,-4.0,,,,,,,,True,,False,False,,,,,False,,True,True,,False,,,,,,
02090,308,112.0,311.5,104.7,,110.0,,,,,,411.6,,84.9,136.5,,82.8,212.8,,,,,,-196.0,3.5,-203.3,,-198.0,,,,,,103.6,,-223.1,-171.5,,-225.2,-95.2,,,,,,True,False,,False,,,,,,True,,False,True,,False,True,,,,,
02100,0,0.0,,0.5,,0.0,0.0,,,,,2.2,,,0.0,,0.2,,,,,,,0.0,,0.5,,0.0,0.0,,,,,2.2,,,0.0,,0.2,,,,,,,,False,,True,True,,,,,False,,,False,,False,,,,,,
02105,0,0.0,,0.0,,0.0,0.0,,,,,18.0,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,,,18.0,,,0.0,,0.0,,,,,,,,True,,True,True,,,,,False,,,False,,True,,,,,,
02110,103,56.0,,56.4,,56.0,56.0,,,,,119.9,,30.4,73.6,,50.3,209.2,,,,,,-47.0,,-46.6,,-47.0,-47.0,,,,,16.9,,-72.6,-29.4,,-52.7,106.2,,,,,,,True,,False,False,,,,,True,,False,True,,False,False,,,,,
02122,101,64.0,508.8,62.5,,63.0,58.0,,,,,251.0,,23.2,80.5,,57.4,47.1,,,,,,-37.0,407.8,-38.5,,-38.0,-43.0,,,,,150.0,,-77.8,-20.5,,-43.6,-53.9,,,,,,False,False,,False,False,,,,,False,,False,True,,False,False,,,,,
02130,14,8.0,,8.4,,1.0,0.0,,,,,6.0,,1.3,2.0,,0.6,14.0,,,,,,-6.0,,-5.6,,-13.0,-14.0,,,,,-8.0,,-12.7,-12.0,,-13.4,-0.0,,,,,,,True,,False,False,,,,,False,,False,False,,False,True,,,,,
02150,27,0.0,,1.1,,0.0,0.0,,,,,2.5,,0.1,0.7,,8.7,0.8,,,,,,-27.0,,-25.9,,-27.0,-27.0,,,,,-24.5,,-26.9,-26.3,,-18.3,-26.2,,,,,,,True,,False,False,,,,,True,,True,True,,True,True,,,,,
02158,2,8.0,,7.9,,2.0,0.0,,,,,,,,1.6,,1.5,,,,,,,6.0,,5.9,,0.0,-2.0,,,,,,,,-0.4,,-0.5,,,,,,,,True,,True,True,,,,,,,,True,,True,,,,,,
02164,4,0.0,,0.0,,0.0,0.0,,,,,20.7,,,0.0,,0.0,,,,,,,-4.0,,-4.0,,-4.0,-4.0,,,,,16.7,,,-4.0,,-4.0,,,,,,,,False,,False,False,,,,,False,,,True,,False,,,,,,
02170,179,148.0,402.0,126.2,,146.0,278.0,,,,,508.6,,99.1,182.5,,73.5,89.6,,,,,,-31.0,223.0,-52.8,,-33.0,99.0,,,,,329.6,,-79.9,3.5,,-105.5,-89.4,,,,,,False,False,,False,False,,,,,False,,False,True,,False,False,,,,,
02180,26,8.0,,6.4,,0.0,0.0,,,,,2.4,,0.4,0.7,,2.6,,,,,,,-18.0,,-19.6,,-26.0,-26.0,,,,,-23.6,,-25.6,-25.3,,-23.4,,,,,,,,False,,False,False,,,,,False,,False,False,,False,,,,,,
02185,33,20.0,,19.5,,4.0,0.0,,,,,16.9,,0.4,6.7,,1.0,,,,,,,-13.0,,-13.5,,-29.0,-33.0,,,,,-16.1,,-32.6,-26.3,,-32.0,,,,,,,,False,,False,False,,,,,False,,False,False,,False,,,,,,
