,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01083,909,1344.0,1202.1,,,,,1806.0,1973.2,1036.7,,,,435.0,293.1,,,,,897.0,1064.2,127.7,,,,True,,,,,False,False,True,,,
01085,110,210.0,,,,,,88.0,18.1,3.7,,,,100.0,,,,,,-22.0,-91.9,-106.3,,,,,,,,,True,True,False,,,
01087,191,231.0,,,,,,128.0,54.6,107.1,,,,40.0,,,,,,-63.0,-136.4,-83.9,,,,,,,,,False,False,False,,,
01089,3264,8428.0,6782.4,,,,,7116.0,13769.3,4221.2,9652.0,,,5164.0,3518.4,,,,,3852.0,10505.3,957.2,6388.0,,,True,,,,,True,False,True,False,,
01091,248,427.0,,,,,,369.0,296.0,110.9,,,,179.0,,,,,,121.0,48.0,-137.1,,,,,,,,,True,True,True,,,
01093,381,938.0,,,,,,480.0,1563.0,259.2,,,,557.0,,,,,,99.0,1182.0,-121.8,,,,,,,,,True,False,True,,,
01095,1318,2506.0,2502.8,,,,,3149.0,2174.2,845.6,1414.8,,,1188.0,1184.8,,,,,1831.0,856.2,-472.4,96.8,,,True,,,,,False,True,True,True,,
01097,6458,8022.0,4361.6,,,,,10850.0,10879.9,2494.1,20917.3,,,1564.0,-2096.4,,,,,4392.0,4421.9,-3963.9,14459.3,,,False,,,,,False,False,False,False,,
01099,223,385.0,,,,,,346.0,65.5,134.2,,,,162.0,,,,,,123.0,-157.5,-88.8,,,,,,,,,True,True,True,,,
01101,2996,3885.0,1342.6,,,,,5650.0,1810.3,1476.8,3072.0,,,889.0,-1653.4,,,,,2654.0,-1185.7,-1519.2,76.0,,,False,,,,,False,False,False,True,,
01103,1296,2471.0,1937.9,,,,,2843.0,1430.2,921.4,,,,1175.0,641.9,,,,,1547.0,134.2,-374.6,,,,True,,,,,False,True,True,,,
01105,195,532.0,,,,,,77.0,642.9,48.3,,,,337.0,,,,,,-118.0,447.9,-146.7,,,,,,,,,True,False,True,,,
01107,274,210.0,,,,,,290.0,111.8,145.3,,,,-64.0,,,,,,16.0,-162.2,-128.7,,,,,,,,,True,False,False,,,
01109,492,427.0,,,,,,675.0,96.3,152.4,,,,-65.0,,,,,,183.0,-395.7,-339.6,,,,,,,,,False,False,False,,,
01111,222,294.0,,,,,,261.0,203.9,146.6,,,,72.0,,,,,,39.0,-18.1,-75.4,,,,,,,,,True,True,False,,,
01113,720,1470.0,1474.7,,,,,762.0,1368.9,444.9,,,,750.0,754.7,,,,,42.0,648.9,-275.1,,,,False,,,,,True,True,True,,,
01115,1134,1750.0,1504.8,,,,,1455.0,1976.6,1049.5,,,,616.0,370.8,,,,,321.0,842.6,-84.5,,,,True,,,,,True,False,True,,,
01117,2612,3542.0,4037.9,,,,,3988.0,5273.1,2028.6,4189.4,,,930.0,1425.9,,,,,1376.0,2661.1,-583.4,1577.4,,,False,,,,,False,False,True,False,,
01119,97,168.0,,,,,,188.0,14.5,6.8,,,,71.0,,,,,,91.0,-82.5,-90.2,,,,,,,,,False,False,False,,,
01121,1198,1246.0,1060.3,,,,,1427.0,2160.4,827.8,1083.5,,,48.0,-137.7,,,,,229.0,962.4,-370.2,-114.5,,,False,,,,,False,False,False,False,,
01123,360,434.0,,,,,,623.0,325.0,132.9,,,,74.0,,,,,,263.0,-35.0,-227.1,,,,,,,,,False,True,False,,,
01125,3101,3052.0,4361.3,,,,,5292.0,3496.7,1262.3,2301.1,,,-49.0,1260.3,,,,,2191.0,395.7,-1838.7,-799.9,,,False,,,,,False,False,False,False,,
01127,754,1155.0,688.3,,,,,1598.0,383.9,386.0,2267.7,,,401.0,-65.7,,,,,844.0,-370.1,-368.0,1513.7,,,True,,,,,False,True,True,False,,
01129,315,399.0,,,,,,315.0,187.6,91.1,,,,84.0,,,,,,0.0,-127.4,-223.9,,,,,,,,,True,False,False,,,
01131,175,266.0,,,,,,96.0,45.5,53.0,,,,91.0,,,,,,-79.0,-129.5,-122.0,,,,,,,,,True,False,False,,,
01133,263,315.0,,,,,,355.0,144.4,178.8,,,,52.0,,,,,,92.0,-118.6,-84.2,,,,,,,,,False,False,False,,,
02013,8,0.0,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,,,,,,
02016,82,0.0,,,,,,,,,,,,-82.0,,,,,,,,,,,,,,,,,,,,,,
02020,2436,1393.0,1532.0,,,,,,1069.5,1490.2,1306.6,,,-1043.0,-904.0,,,,,,-1366.5,-945.8,-1129.4,,,True,,,,,,False,True,False,,
02050,45,21.0,,,,,,,3.0,,,,,-24.0,,,,,,,-42.0,,,,,,,,,,,False,,,,
02060,0,14.0,,,,,,,0.9,,,,,14.0,,,,,,,0.9,,,,,,,,,,,True,,,,
02068,3,0.0,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,
02070,5,7.0,,,,,,,0.1,,,,,2.0,,,,,,,-4.9,,,,,,,,,,,False,,,,
02090,446,532.0,239.0,,,,,,532.4,404.8,,,,86.0,-207.0,,,,,,86.4,-41.2,,,,False,,,,,,False,True,,,
02100,1,7.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
02105,0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
02110,206,70.0,,,,,,,26.5,,,,,-136.0,,,,,,,-179.5,,,,,,,,,,,False,,,,
02122,341,294.0,441.8,,,,,,64.7,324.9,,,,-47.0,100.8,,,,,,-276.3,-16.1,,,,False,,,,,,False,True,,,
02130,30,7.0,,,,,,,4.8,,,,,-23.0,,,,,,,-25.2,,,,,,,,,,,False,,,,
02150,47,7.0,,,,,,,0.3,,,,,-40.0,,,,,,,-46.7,,,,,,,,,,,False,,,,
02158,5,7.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
02164,13,0.0,,,,,,,,,,,,-13.0,,,,,,,,,,,,,,,,,,,,,,
02170,340,280.0,371.6,,,,,,153.7,396.1,,,,-60.0,31.6,,,,,,-186.3,56.1,,,,True,,,,,,False,True,,,
02180,30,21.0,,,,,,,2.6,,,,,-9.0,,,,,,,-27.4,,,,,,,,,,,False,,,,
02185,49,14.0,,,,,,,0.4,,,,,-35.0,,,,,,,-48.6,,,,,,,,,,,False,,,,
02188,63,14.0,,,,,,,0.8,,,,,-49.0,,,,,,,-62.2,,,,,,,,,,,False,,,,
02195,2,0.0,,,,,,,0.6,,,,,-2.0,,,,,,,-1.4,,,,,,,,,,,True,,,,
02198,25,0.0,,,,,,,0.1,,,,,-25.0,,,,,,,-24.9,,,,,,,,,,,True,,,,
02220,30,14.0,,,,,,,1.8,,,,,-16.0,,,,,,,-28.2,,,,,,,,,,,False,,,,
02230,0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
02240,11,0.0,,,,,,,1.9,,,,,-11.0,,,,,,,-9.1,,,,,,,,,,,True,,,,
02261,69,91.0,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,
02275,9,0.0,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,,,,
02282,23,0.0,,,,,,,,,,,,-23.0,,,,,,,,,,,,,,,,,,,,,,
02290,55,84.0,,,,,,,19.3,,,,,29.0,,,,,,,-35.7,,,,,,,,,,,False,,,,
04001,629,1288.0,2086.9,,,,,957.0,312.2,58.4,1200.6,,,659.0,1457.9,,,,,328.0,-316.8,-570.6,571.6,,,False,,,,,True,True,True,True,,
04003,631,1379.0,1585.5,,,,,1254.0,530.6,881.2,,,,748.0,954.5,,,,,623.0,-100.4,250.2,,,,False,,,,,True,True,True,,,
04005,754,1540.0,2425.1,,,,,1560.0,847.0,692.9,6438.0,,,786.0,1671.1,,,,,806.0,93.0,-61.1,5684.0,,,False,,,,,False,True,True,False,,
04007,591,784.0,880.2,,,,,387.0,979.0,289.3,,,,193.0,289.2,,,,,-204.0,388.0,-301.7,,,,False,,,,,False,False,False,,,
04009,485,539.0,,,,,,380.0,832.5,224.5,,,,54.0,,,,,,-105.0,347.5,-260.5,,,,,,,,,False,False,False,,,
04011,23,49.0,,,,,,59.0,4.9,,,,,26.0,,,,,,36.0,-18.1,,,,,,,,,,False,True,,,,
04012,86,252.0,,,,,,326.0,25.1,51.1,,,,166.0,,,,,,240.0,-60.9,-34.9,,,,,,,,,False,True,True,,,
04013,41986,107723.0,325933.3,,,,,104183.0,109431.3,49273.6,65345.1,,,65737.0,283947.3,,,,,62197.0,67445.3,7287.6,23359.1,,,False,,,,,True,False,True,True,,
04015,1518,3290.0,3072.8,,,,,3810.0,1948.8,1759.2,8102.8,,,1772.0,1554.8,,,,,2292.0,430.8,241.2,6584.8,,,True,,,,,False,True,True,False,,
04017,886,3423.0,1202.9,,,,,1881.0,1998.8,1057.7,2527.3,,,2537.0,316.9,,,,,995.0,1112.8,171.7,1641.3,,,True,,,,,True,True,True,True,,
04019,8572,12789.0,20244.8,,,,,13890.0,10728.8,6402.0,8872.7,,,4217.0,11672.8,,,,,5318.0,2156.8,-2170.0,300.7,,,False,,,,,False,True,True,True,,
04021,3413,7161.0,13588.2,,,,,5787.0,7271.5,2845.9,4281.9,,,3748.0,10175.2,,,,,2374.0,3858.5,-567.1,868.9,,,False,,,,,True,False,True,True,,
04023,536,756.0,,,,,,1328.0,251.6,59.4,,,,220.0,,,,,,792.0,-284.4,-476.6,,,,,,,,,False,False,False,,,
04025,1019,1771.0,4225.6,,,,,2241.0,2305.6,1487.0,2332.3,,,752.0,3206.6,,,,,1222.0,1286.6,468.0,1313.3,,,False,,,,,False,False,True,False,,
04027,3227,6601.0,13445.1,,,,,6145.0,1960.7,542.5,6334.6,,,3374.0,10218.1,,,,,2918.0,-1266.3,-2684.5,3107.6,,,False,,,,,True,True,True,True,,
05001,187,364.0,,,,,,171.0,725.4,106.8,,,,177.0,,,,,,-16.0,538.4,-80.2,,,,,,,,,True,False,True,,,
05003,265,196.0,,,,,,236.0,180.3,172.3,,,,-69.0,,,,,,-29.0,-84.7,-92.7,,,,,,,,,True,False,False,,,
05005,109,77.0,,,,,,120.0,15.7,,,,,-32.0,,,,,,11.0,-93.3,,,,,,,,,,True,False,,,,
05007,1810,2611.0,2726.0,,,,,3749.0,1016.0,1079.7,1477.6,,,801.0,916.0,,,,,1939.0,-794.0,-730.3,-332.4,,,False,,,,,False,True,True,True,,
05009,319,196.0,,,,,,278.0,69.1,,,,,-123.0,,,,,,-41.0,-249.9,,,,,,,,,,True,False,,,,
05011,212,112.0,,,,,,143.0,64.9,,,,,-100.0,,,,,,-69.0,-147.1,,,,,,,,,,True,False,,,,
05013,21,21.0,,,,,,24.0,,,,,,0.0,,,,,,3.0,,,,,,,,,,,False,,,,,
05015,224,259.0,,,,,,158.0,153.0,226.4,,,,35.0,,,,,,-66.0,-71.0,2.4,,,,,,,,,False,False,True,,,
05017,720,294.0,,,,,,171.0,56.5,118.7,,,,-426.0,,,,,,-549.0,-663.5,-601.3,,,,,,,,,False,False,False,,,
05019,162,133.0,,,,,,220.0,40.1,,,,,-29.0,,,,,,58.0,-121.9,,,,,,,,,,False,False,,,,
05021,118,56.0,,,,,,91.0,133.6,,,,,-62.0,,,,,,-27.0,15.6,,,,,,,,,,True,True,,,,
05023,113,161.0,,,,,,172.0,71.8,116.5,,,,48.0,,,,,,59.0,-41.2,3.5,,,,,,,,,False,True,True,,,
05025,100,42.0,,,,,,64.0,8.2,,,,,-58.0,,,,,,-36.0,-91.8,,,,,,,,,,True,False,,,,
05027,183,175.0,,,,,,340.0,147.0,152.3,,,,-8.0,,,,,,157.0,-36.0,-30.7,,,,,,,,,False,False,False,,,
05029,105,154.0,,,,,,305.0,90.9,176.7,,,,49.0,,,,,,200.0,-14.1,71.7,,,,,,,,,False,True,False,,,
05031,1321,1120.0,983.6,,,,,1614.0,279.0,632.8,888.5,,,-201.0,-337.4,,,,,293.0,-1042.0,-688.2,-432.5,,,False,,,,,False,False,False,False,,
05033,624,539.0,1264.2,,,,,1179.0,285.4,551.5,,,,-85.0,640.2,,,,,555.0,-338.6,-72.5,,,,False,,,,,False,False,True,,,
05035,774,672.0,,,,,,602.0,213.7,142.4,,,,-102.0,,,,,,-172.0,-560.3,-631.6,,,,,,,,,False,False,False,,,
05037,190,126.0,,,,,,137.0,23.3,62.6,,,,-64.0,,,,,,-53.0,-166.7,-127.4,,,,,,,,,True,False,False,,,
05039,116,70.0,,,,,,54.0,11.9,,,,,-46.0,,,,,,-62.0,-104.1,,,,,,,,,,False,False,,,,
05041,154,133.0,,,,,,120.0,81.5,,,,,-21.0,,,,,,-34.0,-72.5,,,,,,,,,,False,False,,,,
05043,200,154.0,,,,,,240.0,100.4,121.2,,,,-46.0,,,,,,40.0,-99.6,-78.8,,,,,,,,,True,False,False,,,
05045,882,917.0,2333.2,,,,,1642.0,822.4,1176.7,,,,35.0,1451.2,,,,,760.0,-59.6,294.7,,,,False,,,,,False,False,False,,,
05047,145,49.0,,,,,,148.0,59.3,,,,,-96.0,,,,,,3.0,-85.7,,,,,,,,,,True,True,,,,
05049,64,21.0,,,,,,42.0,8.2,,,,,-43.0,,,,,,-22.0,-55.8,,,,,,,,,,True,False,,,,
05051,1059,854.0,290.8,,,,,1702.0,3500.8,744.8,,,,-205.0,-768.2,,,,,643.0,2441.8,-314.2,,,,False,,,,,False,False,False,,,
05053,126,168.0,,,,,,92.0,129.1,,,,,42.0,,,,,,-34.0,3.1,,,,,,,,,,True,True,,,,
05055,492,147.0,,,,,,409.0,90.6,269.2,,,,-345.0,,,,,,-83.0,-401.4,-222.8,,,,,,,,,True,False,True,,,
05057,223,252.0,,,,,,290.0,315.7,192.3,,,,29.0,,,,,,67.0,92.7,-30.7,,,,,,,,,False,False,False,,,
05059,397,917.0,,,,,,779.0,208.7,727.7,,,,520.0,,,,,,382.0,-188.3,330.7,,,,,,,,,True,True,True,,,
05061,268,224.0,,,,,,165.0,29.3,142.0,,,,-44.0,,,,,,-103.0,-238.7,-126.0,,,,,,,,,False,False,False,,,
05063,699,252.0,,,,,,587.0,236.3,251.2,,,,-447.0,,,,,,-112.0,-462.7,-447.8,,,,,,,,,True,False,False,,,
05065,85,21.0,,,,,,81.0,6.8,,,,,-64.0,,,,,,-4.0,-78.2,,,,,,,,,,True,False,,,,
05067,152,21.0,,,,,,189.0,87.9,,,,,-131.0,,,,,,37.0,-64.1,,,,,,,,,,True,True,,,,
05069,1272,833.0,280.3,,,,,1034.0,1207.6,193.9,2085.7,,,-439.0,-991.7,,,,,-238.0,-64.4,-1078.1,813.7,,,False,,,,,True,True,False,False,,
05071,301,791.0,,,,,,623.0,185.4,282.3,,,,490.0,,,,,,322.0,-115.6,-18.7,,,,,,,,,True,True,True,,,
05073,39,84.0,,,,,,39.0,13.7,,,,,45.0,,,,,,0.0,-25.3,,,,,,,,,,True,True,,,,
05075,131,126.0,,,,,,133.0,15.2,42.9,,,,-5.0,,,,,,2.0,-115.8,-88.1,,,,,,,,,True,False,False,,,
05077,151,238.0,,,,,,141.0,9.6,33.2,,,,87.0,,,,,,-10.0,-141.4,-117.8,,,,,,,,,True,False,False,,,
05079,636,490.0,,,,,,300.0,175.6,2.5,,,,-146.0,,,,,,-336.0,-460.4,-633.5,,,,,,,,,False,False,False,,,
05081,240,126.0,,,,,,113.0,126.6,,,,,-114.0,,,,,,-127.0,-113.4,,,,,,,,,,False,True,,,,
05083,267,182.0,,,,,,315.0,113.8,149.1,,,,-85.0,,,,,,48.0,-153.2,-117.9,,,,,,,,,True,False,False,,,
05085,521,364.0,343.3,,,,,672.0,289.9,514.2,,,,-157.0,-177.7,,,,,151.0,-231.1,-6.8,,,,False,,,,,True,False,True,,,
05087,81,35.0,,,,,,120.0,4.0,82.0,,,,-46.0,,,,,,39.0,-77.0,1.0,,,,,,,,,True,False,True,,,
05089,37,14.0,,,,,,51.0,6.3,,,,,-23.0,,,,,,14.0,-30.7,,,,,,,,,,True,False,,,,
05091,323,525.0,,,,,,658.0,148.8,495.4,,,,202.0,,,,,,335.0,-174.2,172.4,,,,,,,,,False,True,True,,,
05093,1004,679.0,,,,,,616.0,852.4,490.3,,,,-325.0,,,,,,-388.0,-151.6,-513.7,,,,,,,,,False,True,False,,,
05095,72,63.0,,,,,,58.0,25.2,,,,,-9.0,,,,,,-14.0,-46.8,,,,,,,,,,False,False,,,,
05097,107,28.0,,,,,,51.0,4.0,,,,,-79.0,,,,,,-56.0,-103.0,,,,,,,,,,True,False,,,,
05099,50,49.0,,,,,,104.0,4.0,18.4,,,,-1.0,,,,,,54.0,-46.0,-31.6,,,,,,,,,False,False,False,,,
05101,127,42.0,,,,,,25.0,6.1,,,,,-85.0,,,,,,-102.0,-120.9,,,,,,,,,,False,False,,,,
05103,133,77.0,,,,,,272.0,36.0,,,,,-56.0,,,,,,139.0,-97.0,,,,,,,,,,False,False,,,,
05105,27,42.0,,,,,,53.0,31.2,,,,,15.0,,,,,,26.0,4.2,,,,,,,,,,False,True,,,,
05107,209,231.0,,,,,,317.0,43.0,1.5,,,,22.0,,,,,,108.0,-166.0,-207.5,,,,,,,,,False,False,False,,,
05109,153,49.0,,,,,,105.0,9.9,,,,,-104.0,,,,,,-48.0,-143.1,,,,,,,,,,True,False,,,,
05111,421,126.0,,,,,,236.0,24.8,,,,,-295.0,,,,,,-185.0,-396.2,,,,,,,,,,True,False,,,,
05113,133,105.0,,,,,,261.0,41.6,89.4,,,,-28.0,,,,,,128.0,-91.4,-43.6,,,,,,,,,False,False,False,,,
05115,1015,1232.0,1816.7,,,,,1087.0,614.3,645.0,,,,217.0,801.7,,,,,72.0,-400.7,-370.0,,,,False,,,,,True,False,False,,,
05117,77,112.0,,,,,,56.0,32.1,,,,,35.0,,,,,,-21.0,-44.9,,,,,,,,,,True,False,,,,
05119,3863,4844.0,7928.1,,,,,5272.0,5145.2,3320.2,7134.1,,,981.0,4065.1,,,,,1409.0,1282.2,-542.8,3271.1,,,False,,,,,False,False,True,False,,
05121,225,133.0,,,,,,170.0,75.4,,,,,-92.0,,,,,,-55.0,-149.6,,,,,,,,,,True,False,,,,
05123,422,273.0,,,,,,597.0,57.0,13.3,,,,-149.0,,,,,,175.0,-365.0,-408.7,,,,,,,,,False,False,False,,,
05125,1098,840.0,1938.9,,,,,1644.0,314.2,1278.1,,,,-258.0,840.9,,,,,546.0,-783.8,180.1,,,,False,,,,,False,False,True,,,
05127,70,21.0,,,,,,60.0,14.2,,,,,-49.0,,,,,,-10.0,-55.8,,,,,,,,,,True,False,,,,
05129,97,14.0,,,,,,38.0,3.5,,,,,-83.0,,,,,,-59.0,-93.5,,,,,,,,,,True,False,,,,
05131,1881,2072.0,1465.0,,,,,4533.0,1618.8,1406.3,,,,191.0,-416.0,,,,,2652.0,-262.2,-474.7,,,,False,,,,,False,False,False,,,
05133,321,322.0,,,,,,588.0,74.9,36.4,,,,1.0,,,,,,267.0,-246.1,-284.6,,,,,,,,,False,False,False,,,
05135,84,105.0,,,,,,85.0,26.1,,,,,21.0,,,,,,1.0,-57.9,,,,,,,,,,True,False,,,,
05137,205,35.0,,,,,,56.0,7.1,,,,,-170.0,,,,,,-149.0,-197.9,,,,,,,,,,True,False,,,,
05139,419,224.0,,,,,,656.0,63.3,68.5,,,,-195.0,,,,,,237.0,-355.7,-350.5,,,,,,,,,False,False,False,,,
05141,102,21.0,,,,,,59.0,6.4,,,,,-81.0,,,,,,-43.0,-95.6,,,,,,,,,,True,False,,,,
05143,2518,4221.0,14386.5,,,,,4977.0,1225.0,1018.6,2600.8,,,1703.0,11868.5,,,,,2459.0,-1293.0,-1499.4,82.8,,,False,,,,,False,True,True,True,,
05145,397,280.0,325.4,,,,,1126.0,41.8,579.6,,,,-117.0,-71.6,,,,,729.0,-355.2,182.6,,,,True,,,,,False,False,False,,,
