,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,91536,124120.0,,126192.6,96735.0,333767.0,103448.0,105824.8,101001.9,83273.1,,109686.4,88994.7,86951.0,32584.0,,34656.6,5199.0,242231.0,11912.0,14288.8,9465.9,-8262.9,,18150.4,-2541.3,-4585.0,,False,True,False,True,True,True,True,,True,True,True
Hawaii,7496,2885.0,,2802.0,462.0,67.3,,11630.0,5559.3,3199.9,,2769.6,13804.9,9365.0,-4611.0,,-4694.0,-7034.0,-7428.7,,4134.0,-1936.7,-4296.1,,-4726.4,6308.9,1869.0,,False,False,False,,True,True,True,,False,False,True
Idaho,12364,16420.0,,22622.5,14209.0,10526.9,14311.0,24296.7,23506.0,6243.4,,12155.6,5797.8,11586.0,4056.0,,10258.5,1845.0,-1837.1,1947.0,11932.7,11142.0,-6120.6,,-208.4,-6566.2,-778.0,,False,True,True,True,False,False,False,,True,False,True
Illinois,68348,53160.0,,66255.0,643.0,33635.2,48917.0,84473.0,93354.9,36703.7,,67218.2,73705.2,49649.0,-15188.0,,-2093.0,-67705.0,-34712.8,-19431.0,16125.0,25006.9,-31644.3,,-1129.8,5357.2,-18699.0,,True,False,False,False,False,False,False,,True,True,False
Indiana,31839,28010.0,,35207.2,9195.0,44651.5,27573.0,39927.1,63835.1,19585.8,,32363.6,27015.3,24109.0,-3829.0,,3368.2,-22644.0,12812.5,-4266.0,8088.1,31996.1,-12253.2,,524.6,-4823.7,-7730.0,,True,False,False,False,False,False,False,,True,False,False
Iowa,24397,17035.0,,18749.9,3538.0,28590.0,14294.0,21466.9,24977.1,12192.2,,14729.0,16019.3,13096.0,-7362.0,,-5647.1,-20859.0,4193.0,-10103.0,-2930.1,580.1,-12204.8,,-9668.0,-8377.7,-11301.0,,True,False,True,False,True,True,False,,False,False,False
Kansas,18034,12915.0,,19726.8,3951.0,10713.4,19110.0,24742.8,39431.3,6812.7,,10352.3,6726.7,8244.0,-5119.0,,1692.8,-14083.0,-7320.6,1076.0,6708.8,21397.3,-11221.3,,-7681.7,-11307.3,-9790.0,,True,False,False,True,False,False,False,,False,False,False
Kentucky,21741,19795.0,,30156.0,15690.0,15987.2,21822.0,35850.2,62691.4,14157.9,,16235.5,17620.1,19758.0,-1946.0,,8415.0,-6051.0,-5753.8,81.0,14109.2,40950.4,-7583.1,,-5505.5,-4120.9,-1983.0,,False,False,False,True,False,False,False,,False,False,False
Louisiana,36079,62730.0,,72313.3,47564.0,112748.3,64751.0,52737.3,54010.1,66374.9,,47980.6,32780.1,25798.0,26651.0,,36234.3,11485.0,76669.3,28672.0,16658.3,17931.1,30295.9,,11901.6,-3298.9,-10281.0,,False,True,False,False,True,True,False,,True,True,True
Maine,696,735.0,,554.0,214.0,907.9,518.0,1718.0,434.6,514.7,,763.6,1005.3,1119.0,39.0,,-142.0,-482.0,211.9,-178.0,1022.0,-261.4,-181.3,,67.6,309.3,423.0,,False,False,False,False,False,False,False,,False,False,False
Maryland,22242,31555.0,,41806.3,10045.0,23615.9,22126.0,25246.6,64762.1,22115.8,,56613.3,37268.2,30932.0,9313.0,,19564.3,-12197.0,1373.9,-116.0,3004.6,42520.1,-126.2,,34371.3,15026.2,8690.0,,False,False,True,True,True,False,True,,False,False,True
Massachusetts,10488,13860.0,,15468.9,141.0,39076.7,11259.0,30118.1,14672.6,9418.7,,22988.0,29597.4,18524.0,3372.0,,4980.9,-10347.0,28588.7,771.0,19630.1,4184.6,-1069.3,,12500.0,19109.4,8036.0,,False,False,False,True,False,False,True,,False,False,False
Michigan,25859,28550.0,,29786.3,5123.0,17044.0,31552.0,76510.9,68521.6,14992.1,,38957.6,24987.0,29656.0,2691.0,,3927.3,-20736.0,-8815.0,5693.0,50651.9,42662.6,-10866.9,,13098.6,-872.0,3797.0,,False,False,False,False,False,False,False,,False,True,False
Minnesota,24692,24485.0,,32950.2,6696.0,15607.4,31095.0,29057.9,44659.3,18188.4,,28157.5,27059.8,25613.0,-207.0,,8258.2,-17996.0,-9084.6,6403.0,4365.9,19967.3,-6503.6,,3465.5,2367.8,921.0,,False,False,False,False,False,False,False,,False,False,False
Mississippi,26597,44500.0,,54571.7,43583.0,82176.1,41319.0,33523.8,88642.4,21967.7,,37904.8,23878.7,22013.0,17903.0,,27974.7,16986.0,55579.1,14722.0,6926.8,62045.4,-4629.3,,11307.8,-2718.3,-4584.0,,False,True,False,True,True,False,True,,True,True,True
Missouri,41264,52990.0,,86422.3,50617.0,43165.2,45499.0,54063.7,137742.8,21621.0,,63290.9,40139.7,73741.0,11726.0,,45158.3,9353.0,1901.2,4235.0,12799.7,96478.8,-19643.0,,22026.9,-1124.3,32477.0,,False,True,True,True,False,False,False,,False,True,False
Montana,4083,4110.0,,7420.0,2607.0,1887.9,5815.0,6244.1,2245.4,4361.4,,3004.1,4762.2,4676.0,27.0,,3337.0,-1476.0,-2195.1,1732.0,2161.1,-1837.6,278.4,,-1078.9,679.2,593.0,,False,False,False,False,False,False,False,,False,False,False
Nebraska,9414,9980.0,,14134.0,1187.0,21910.3,8506.0,10402.0,20480.5,7101.4,,13598.6,12087.5,7440.0,566.0,,4720.0,-8227.0,12496.3,-908.0,988.0,11066.5,-2312.6,,4184.6,2673.5,-1974.0,,False,False,False,False,False,False,False,,False,False,False
Nevada,22028,36290.0,,41849.7,32154.0,80729.4,31663.0,24747.8,71561.5,28396.8,,30421.8,30742.8,22117.0,14262.0,,19821.7,10126.0,58701.4,9635.0,2719.8,49533.5,6368.8,,8393.8,8714.8,89.0,,False,True,False,True,True,False,True,,True,True,True
New Hampshire,810,995.0,,1199.9,62.0,2660.8,818.0,2559.2,247.0,556.1,,1051.7,1881.4,828.0,185.0,,389.9,-748.0,1850.8,8.0,1749.2,-563.0,-253.9,,241.7,1071.4,18.0,,False,False,False,True,False,False,False,,False,False,True
New Jersey,13173,15855.0,,9243.3,137.0,42355.5,13551.0,21677.3,7177.5,8269.5,,12846.2,23396.9,24787.0,2682.0,,-3929.7,-13036.0,29182.5,378.0,8504.3,-5995.5,-4903.5,,-326.8,10223.9,11614.0,,False,False,False,True,False,False,False,,True,False,False
New Mexico,5252,10040.0,,11215.1,4502.0,10805.0,9216.0,15642.6,17045.8,5309.2,,9988.2,4598.4,8971.0,4788.0,,5963.1,-750.0,5553.0,3964.0,10390.6,11793.8,57.2,,4736.2,-653.6,3719.0,,False,True,False,True,False,False,True,,True,True,True
New York,22113,22835.0,,18251.4,468.0,71220.6,12941.0,94398.8,27884.3,13402.4,,25216.2,22468.9,20081.0,722.0,,-3861.6,-21645.0,49107.6,-9172.0,72285.8,5771.3,-8710.6,,3103.2,355.9,-2032.0,,False,False,False,False,False,False,False,,False,True,False
North Carolina,53615,62925.0,,61998.4,101307.0,83216.8,76358.0,80005.5,86063.4,35888.8,,51256.2,37699.9,48309.0,9310.0,,8383.4,47692.0,29601.8,22743.0,26390.5,32448.4,-17726.2,,-2358.8,-15915.1,-5306.0,,True,False,False,False,False,False,False,,True,False,True
North Dakota,6732,4330.0,,7417.2,763.0,3116.8,3699.0,4508.7,3880.0,2247.5,,5046.7,2778.4,3476.0,-2402.0,,685.2,-5969.0,-3615.2,-3033.0,-2223.3,-2852.0,-4484.5,,-1685.3,-3953.6,-3256.0,,True,False,False,False,True,False,False,,True,False,False
Ohio,37698,44515.0,,45768.5,23064.0,90968.5,41415.0,87135.9,54576.5,26419.8,,39238.7,35648.2,35741.0,6817.0,,8070.5,-14634.0,53270.5,3717.0,49437.9,16878.5,-11278.2,,1540.7,-2049.8,-1957.0,,False,False,False,True,False,False,False,,True,True,True
Oklahoma,25456,38250.0,,38559.6,28963.0,35913.4,39010.0,49352.2,66604.0,18467.0,,28583.4,21040.1,36323.0,12794.0,,13103.6,3507.0,10457.4,13554.0,23896.2,41148.0,-6989.0,,3127.4,-4415.9,10867.0,,False,True,True,False,False,False,True,,True,True,True
Oregon,9039,11625.0,,12224.6,14305.0,12233.3,8812.0,25618.2,15279.2,8113.4,,10652.3,10936.4,11338.0,2586.0,,3185.6,5266.0,3194.3,-227.0,16579.2,6240.2,-925.6,,1613.3,1897.4,2299.0,,False,False,False,True,False,False,True,,True,True,True
Pennsylvania,25812,31765.0,,36659.2,1217.0,41138.4,23617.0,81165.8,58881.1,15710.2,,33679.8,24725.6,27298.0,5953.0,,10847.2,-24595.0,15326.4,-2195.0,55353.8,33069.1,-10101.8,,7867.8,-1086.4,1486.0,,False,False,False,True,False,False,False,,False,True,True
Rhode Island,3221,3990.0,,4505.6,39.0,1956.2,3185.0,1059.6,1454.8,1167.5,,3432.0,2734.7,2052.0,769.0,,1284.6,-3182.0,-1264.8,-36.0,-2161.4,-1766.2,-2053.5,,211.0,-486.3,-1169.0,,False,False,False,True,False,False,False,,True,True,False
South Carolina,33690,52955.0,,45207.4,57515.0,70482.4,48481.0,51047.5,61358.8,32437.7,,38334.8,32264.0,33406.0,19265.0,,11517.4,23825.0,36792.4,14791.0,17357.5,27668.8,-1252.3,,4644.8,-1426.0,-284.0,,True,False,False,True,True,False,True,,True,True,True
South Dakota,6022,2810.0,,2890.0,776.0,2944.2,2429.0,2162.0,2951.5,2124.3,,6093.6,4568.3,2641.0,-3212.0,,-3132.0,-5246.0,-3077.8,-3593.0,-3860.0,-3070.5,-3897.7,,71.6,-1453.7,-3381.0,,True,False,True,False,False,True,False,,True,True,False
Tennessee,54178,86940.0,,93008.1,84669.0,51553.7,68459.0,68402.3,195361.9,42831.4,,89545.7,59708.2,60849.0,32762.0,,38830.1,30491.0,-2624.3,14281.0,14224.3,141183.9,-11346.6,,35367.7,5530.2,6671.0,,False,True,True,True,True,False,True,,False,True,True
Texas,212622,272260.0,,295961.0,384610.0,955694.6,310041.0,260916.4,284274.4,81947.5,,208576.4,128579.2,142368.0,59638.0,,83339.0,171988.0,743072.6,97419.0,48294.4,71652.4,-130674.5,,-4045.6,-84042.8,-70254.0,,False,False,False,False,True,False,False,,True,False,False
Utah,13570,15395.0,,19588.2,19626.0,13715.5,13636.0,19690.9,21862.4,10002.6,,15595.4,9370.1,9988.0,1825.0,,6018.2,6056.0,145.5,66.0,6120.9,8292.4,-3567.4,,2025.4,-4199.9,-3582.0,,False,False,True,True,False,False,False,,False,False,False
Vermont,226,125.0,,88.0,18.0,4.4,144.0,860.4,435.4,67.3,,310.2,106.0,88.0,-101.0,,-138.0,-208.0,-221.6,-82.0,634.4,209.4,-158.7,,84.2,-120.0,-138.0,,False,False,False,True,False,False,False,,True,False,False
Virginia,34926,35960.0,,49774.5,11394.0,7705.5,29824.0,49835.8,82674.5,22291.7,,46533.1,26081.6,0.0,1034.0,,14848.5,-23532.0,-27220.5,-5102.0,14909.8,47748.5,-12634.3,,11607.1,-8844.4,-34926.0,,False,False,False,False,False,False,False,,False,False,False
Washington,19763,28460.0,,34074.6,27008.0,24363.4,22213.0,45661.9,65959.4,19401.8,,29324.9,28539.1,23846.0,8697.0,,14311.6,7245.0,4600.4,2450.0,25898.9,46196.4,-361.2,,9561.9,8776.1,4083.0,,False,True,True,True,False,False,True,,False,False,True
West Virginia,4555,4815.0,,5237.8,4223.0,842.6,4842.0,10872.3,5831.7,3936.8,,5271.4,6222.4,5727.0,260.0,,682.8,-332.0,-3712.4,287.0,6317.3,1276.7,-618.2,,716.4,1667.4,1172.0,,False,False,False,False,False,False,False,,False,False,False
Wisconsin,26298,30660.0,,38862.1,17231.0,44156.7,24437.0,45714.9,74181.0,24252.3,,27452.3,29713.5,23992.0,4362.0,,12564.1,-9067.0,17858.7,-1861.0,19416.9,47883.0,-2045.7,,1154.3,3415.5,-2306.0,,False,False,False,True,False,False,True,,True,True,True
Wyoming,1237,1615.0,,1911.3,1012.0,94.9,1347.0,2743.8,3445.5,1065.6,,1843.9,1281.7,1657.0,378.0,,674.3,-225.0,-1142.1,110.0,1506.8,2208.5,-171.4,,606.9,44.7,420.0,,False,True,False,True,False,False,True,,False,True,False
US,1622577,2207370.0,1432428.0,2406633.9,2013920.0,3639093.7,2112339.0,2490391.5,3221695.4,1182194.2,1744119.2,1984834.3,1481019.5,1489134.0,584793.0,-190149.0,784056.9,391343.0,2016516.7,489762.0,867814.5,1599118.4,-440382.8,121542.2,362257.3,-141557.5,-133443.0,True,False,True,False,True,False,False,True,True,True,True,True
