,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01031,280,147.0,255.6,135.4,,135.0,91.0,,,,,262.0,203.0,,120.4,126.1,,126.0,,88.7,,320.2,,,,,,299.7,-133.0,-24.4,-144.6,,-145.0,-189.0,,,,,-18.0,-77.0,,-159.6,-153.9,,-154.0,,-191.3,,40.2,,,,,,19.7,True,False,,False,False,,,,,True,True,,False,False,,False,,False,,True,,,,,,True
01033,214,282.0,707.0,295.8,,254.0,173.0,,,,,262.0,316.8,,140.1,186.2,,188.0,,123.7,,343.2,,,,,,567.7,68.0,493.0,81.8,,40.0,-41.0,,,,,48.0,102.8,,-73.9,-27.8,,-26.0,,-90.3,,129.2,,,,,,353.7,False,False,,True,True,,,,,True,False,,False,True,,True,,False,,False,,,,,,False
01035,62,42.0,,43.6,,37.0,29.0,,,,,93.0,64.6,,9.1,30.9,0.0,51.0,,54.8,,36.4,,,,,,71.4,-20.0,,-18.4,,-25.0,-33.0,,,,,31.0,2.6,,-52.9,-31.1,-62.0,-11.0,,-7.2,,-25.6,,,,,,9.4,,True,,False,False,,,,,False,True,,False,False,False,True,,True,,False,,,,,,True
01037,28,15.0,,17.1,,17.0,20.0,,,,,24.0,35.9,,0.6,6.7,22.8,17.0,,4.6,,35.6,,,,,,100.1,-13.0,,-10.9,,-11.0,-8.0,,,,,-4.0,7.9,,-27.4,-21.3,-5.2,-11.0,,-23.4,,7.6,,,,,,72.1,,True,,True,True,,,,,True,True,,False,False,True,True,,False,,True,,,,,,False
01039,244,111.0,,97.7,,86.0,36.0,,,,,245.0,250.6,,58.9,84.9,93.3,111.0,,35.9,,84.7,,,,,,516.3,-133.0,,-146.3,,-158.0,-208.0,,,,,1.0,6.6,,-185.1,-159.1,-150.7,-133.0,,-208.1,,-159.3,,,,,,272.3,,False,,False,False,,,,,True,True,,False,False,False,False,,False,,False,,,,,,False
01041,93,99.0,,117.6,,59.0,60.0,,,,,61.0,62.5,,22.6,57.7,0.1,57.0,,96.0,,203.3,,,,,,411.0,6.0,,24.6,,-34.0,-33.0,,,,,-32.0,-30.5,,-70.4,-35.3,-92.9,-36.0,,3.0,,110.3,,,,,,318.0,,False,,False,False,,,,,False,False,,False,False,False,False,,True,,False,,,,,,False
01043,305,114.0,1102.4,154.3,,171.0,46.0,,,,,371.0,485.2,,80.3,148.0,190.8,168.0,,155.5,,311.3,,,,,,705.2,-191.0,797.4,-150.7,,-134.0,-259.0,,,,,66.0,180.2,,-224.7,-157.0,-114.2,-137.0,,-149.5,,6.3,,,,,,400.2,False,True,,True,False,,,,,True,True,,False,True,True,True,,True,,True,,,,,,False
01045,257,132.0,,162.0,,119.0,51.0,,,,,251.0,227.4,,78.5,115.3,115.9,129.0,,86.2,,190.7,,,,,,390.3,-125.0,,-95.0,,-138.0,-206.0,,,,,-6.0,-29.6,,-178.5,-141.7,-141.1,-128.0,,-170.8,,-66.3,,,,,,133.3,,True,,False,False,,,,,True,True,,False,False,False,False,,False,,True,,,,,,False
01047,186,135.0,,137.2,,90.0,65.0,,,,,287.0,155.0,,52.4,89.9,2.7,162.0,,30.1,,108.4,,,,,,215.1,-51.0,,-48.8,,-96.0,-121.0,,,,,101.0,-31.0,,-133.6,-96.1,-183.3,-24.0,,-155.9,,-77.6,,,,,,29.1,,True,,False,False,,,,,False,True,,False,False,False,True,,False,,False,,,,,,True
01049,257,285.0,780.4,289.1,,210.0,178.0,,,,,437.0,399.1,,145.4,173.7,156.0,248.0,,125.8,,223.7,,,,,,808.0,28.0,523.4,32.1,,-47.0,-79.0,,,,,180.0,142.1,,-111.6,-83.3,-101.0,-9.0,,-131.2,,-33.3,,,,,,551.0,False,False,,False,False,,,,,False,False,,False,False,False,True,,False,,False,,,,,,False
01051,398,255.0,622.8,282.0,,232.0,169.0,,,,,319.0,317.3,,186.8,261.3,174.3,270.0,,236.6,,219.4,,,,,,399.1,-143.0,224.8,-116.0,,-166.0,-229.0,,,,,-79.0,-80.7,,-211.2,-136.7,-223.7,-128.0,,-161.4,,-178.6,,,,,,1.1,False,True,,False,False,,,,,True,True,,False,True,False,True,,False,,False,,,,,,True
01053,214,87.0,,87.2,,81.0,103.0,,,,,376.0,291.1,,36.3,81.8,0.6,133.0,,62.6,,86.3,,,,,,1045.4,-127.0,,-126.8,,-133.0,-111.0,,,,,162.0,77.1,,-177.7,-132.2,-213.4,-81.0,,-151.4,,-127.7,,,,,,831.4,,True,,False,True,,,,,False,True,,False,False,False,True,,False,,False,,,,,,False
01055,680,372.0,1523.4,354.1,,340.0,189.0,,,,,571.0,721.9,,242.3,341.2,330.6,315.0,,362.3,,298.5,,,,,,1263.0,-308.0,843.4,-325.9,,-340.0,-491.0,,,,,-109.0,41.9,,-437.7,-338.8,-349.4,-365.0,,-317.7,,-381.5,,,,,,583.0,False,False,,False,False,,,,,True,True,,False,False,False,False,,False,,False,,,,,,False
01057,94,99.0,,102.2,,81.0,131.0,,,,,69.0,113.2,,39.8,82.4,60.5,54.0,,94.7,,69.5,,,,,,278.8,5.0,,8.2,,-13.0,37.0,,,,,-25.0,19.2,,-54.2,-11.6,-33.5,-40.0,,0.7,,-24.5,,,,,,184.8,,False,,False,False,,,,,False,False,,False,False,False,False,,True,,False,,,,,,False
01059,269,165.0,,158.6,,162.0,217.0,,,,,217.0,74.4,,133.0,207.9,19.4,190.0,,210.5,,143.8,,,,,,215.9,-104.0,,-110.4,,-107.0,-52.0,,,,,-52.0,-194.6,,-136.0,-61.1,-249.6,-79.0,,-58.5,,-125.2,,,,,,-53.1,,False,,False,True,,,,,True,False,,False,True,False,True,,True,,False,,,,,,True
01061,168,63.0,,69.0,,68.0,41.0,,,,,173.0,140.5,,26.6,58.6,75.1,47.0,,46.3,,205.5,,,,,,317.7,-105.0,,-99.0,,-100.0,-127.0,,,,,5.0,-27.5,,-141.4,-109.4,-92.9,-121.0,,-121.7,,37.5,,,,,,149.7,,True,,True,False,,,,,True,True,,False,False,True,False,,False,,True,,,,,,False
01063,27,21.0,,17.6,,17.0,9.0,,,,,42.0,23.5,,6.0,18.7,0.1,,,34.0,,16.8,,,,,,51.1,-6.0,,-9.4,,-10.0,-18.0,,,,,15.0,-3.5,,-21.0,-8.3,-26.9,,,7.0,,-10.2,,,,,,24.1,,False,,False,False,,,,,False,True,,False,False,False,,,False,,False,,,,,,False
01065,55,66.0,,68.9,,53.0,64.0,,,,,94.0,44.7,,11.3,51.7,2.6,63.0,,37.4,,75.4,,,,,,112.3,11.0,,13.9,,-2.0,9.0,,,,,39.0,-10.3,,-43.7,-3.3,-52.4,8.0,,-17.6,,20.4,,,,,,57.3,,False,,True,True,,,,,False,True,,False,True,False,True,,False,,False,,,,,,False
01067,114,45.0,,48.8,,41.0,28.0,,,,,58.0,69.7,,8.3,31.2,46.5,37.0,,19.4,,41.6,,,,,,97.9,-69.0,,-65.2,,-73.0,-86.0,,,,,-56.0,-44.3,,-105.7,-82.8,-67.5,-77.0,,-94.6,,-72.4,,,,,,-16.1,,True,,False,False,,,,,True,True,,False,False,True,False,,False,,False,,,,,,True
01069,667,372.0,1026.0,333.9,,321.0,415.0,,,,,540.0,447.9,,232.6,231.9,229.1,249.0,,259.7,,736.3,,,,,,643.1,-295.0,359.0,-333.1,,-346.0,-252.0,,,,,-127.0,-219.1,,-434.4,-435.1,-437.9,-418.0,,-407.3,,69.3,,,,,,-23.9,False,False,,False,True,,,,,True,True,,False,False,False,False,,False,,True,,,,,,True
01071,210,456.0,545.7,454.7,,340.0,518.0,,,,,251.0,430.2,,287.4,261.0,208.0,228.0,,350.0,,347.7,,,,,,1849.1,246.0,335.7,244.7,,130.0,308.0,,,,,41.0,220.2,,77.4,51.0,-2.0,18.0,,140.0,,137.7,,,,,,1639.1,False,True,,True,False,,,,,True,True,,True,True,True,True,,True,,True,,,,,,False
01073,2981,2808.0,9887.9,2517.9,2371.2,2167.0,1552.0,,,,,3053.0,3387.8,,2240.2,1915.4,1105.8,2082.0,,1180.9,,2093.1,1520.0,,,,,6563.1,-173.0,6906.9,-463.1,-609.8,-814.0,-1429.0,,,,,72.0,406.8,,-740.8,-1065.6,-1875.2,-899.0,,-1800.1,,-887.9,-1461.0,,,,,3582.1,False,False,False,False,False,,,,,True,False,,False,False,False,False,,False,,False,False,,,,,False
01075,52,57.0,,59.3,,47.0,48.0,,,,,58.0,77.1,,13.6,38.6,59.9,32.0,,17.7,,33.6,,,,,,77.7,5.0,,7.3,,-5.0,-4.0,,,,,6.0,25.1,,-38.4,-13.4,7.9,-20.0,,-34.3,,-18.4,,,,,,25.7,,False,,False,True,,,,,False,False,,False,False,False,False,,False,,False,,,,,,False
01077,254,222.0,468.8,233.3,,211.0,115.0,,,,,374.0,471.1,,116.3,165.4,195.5,170.0,,111.7,,277.7,,,,,,556.3,-32.0,214.8,-20.7,,-43.0,-139.0,,,,,120.0,217.1,,-137.7,-88.6,-58.5,-84.0,,-142.3,,23.7,,,,,,302.3,False,True,,False,False,,,,,False,False,,False,False,False,False,,False,,True,,,,,,False
01079,144,57.0,,60.9,,64.0,25.0,,,,,153.0,173.6,,29.7,54.4,122.1,54.0,,55.3,,95.2,,,,,,466.1,-87.0,,-83.1,,-80.0,-119.0,,,,,9.0,29.6,,-114.3,-89.6,-21.9,-90.0,,-88.7,,-48.8,,,,,,322.1,,True,,True,False,,,,,True,True,,False,False,True,False,,False,,True,,,,,,False
01081,2079,300.0,1479.4,287.2,,251.0,164.0,,,,,554.0,673.6,,196.6,241.4,270.6,341.0,,179.9,,275.5,142.0,,,,,781.5,-1779.0,-599.6,-1791.8,,-1828.0,-1915.0,,,,,-1525.0,-1405.4,,-1882.4,-1837.6,-1808.4,-1738.0,,-1899.1,,-1803.5,-1937.0,,,,,-1297.5,True,False,,False,False,,,,,True,True,,False,False,False,True,,False,,False,False,,,,,True
01083,272,342.0,806.1,336.6,,295.0,254.0,,,,,368.0,419.8,,290.8,300.0,232.4,241.0,,183.6,,308.7,,,,,,1494.0,70.0,534.1,64.6,,23.0,-18.0,,,,,96.0,147.8,,18.8,28.0,-39.6,-31.0,,-88.4,,36.7,,,,,,1222.0,False,True,,True,True,,,,,False,False,,True,True,True,True,,False,,True,,,,,,False
01085,34,18.0,,11.9,,12.0,9.0,,,,,48.0,18.5,,2.6,25.3,0.5,,,4.1,,13.7,,,,,,79.7,-16.0,,-22.1,,-22.0,-25.0,,,,,14.0,-15.5,,-31.4,-8.7,-33.5,,,-29.9,,-20.3,,,,,,45.7,,False,,False,False,,,,,True,True,,False,True,False,,,False,,False,,,,,,False
01087,83,33.0,,33.1,,29.0,30.0,,,,,58.0,79.2,,4.0,25.3,7.1,39.0,,27.3,,48.5,,,,,,214.8,-50.0,,-49.9,,-54.0,-53.0,,,,,-25.0,-3.8,,-79.0,-57.7,-75.9,-44.0,,-55.7,,-34.5,,,,,,131.8,,True,,False,False,,,,,True,True,,False,False,False,True,,False,,True,,,,,,False
01089,1039,1041.0,6106.3,955.0,841.4,796.0,769.0,,,,,1235.0,1789.9,,752.2,645.7,577.0,786.0,,320.6,,856.7,377.0,,,,,2562.2,2.0,5067.3,-84.0,-197.6,-243.0,-270.0,,,,,196.0,750.9,,-286.8,-393.3,-462.0,-253.0,,-718.4,,-182.3,-662.0,,,,,1523.2,False,False,False,False,False,,,,,False,False,,False,False,False,False,,False,,False,False,,,,,False
01091,70,90.0,,95.1,,71.0,91.0,,,,,150.0,74.3,,26.9,70.0,0.6,78.0,,65.5,,125.2,,,,,,150.8,20.0,,25.1,,1.0,21.0,,,,,80.0,4.3,,-43.1,-0.0,-69.4,8.0,,-4.5,,55.2,,,,,,80.8,,False,,True,False,,,,,False,True,,False,True,False,True,,True,,False,,,,,,False
01093,167,90.0,,79.6,,76.0,49.0,,,,,146.0,166.0,,55.3,82.9,74.7,84.0,,47.5,,77.6,,,,,,170.4,-77.0,,-87.4,,-91.0,-118.0,,,,,-21.0,-1.0,,-111.7,-84.1,-92.3,-83.0,,-119.5,,-89.4,,,,,,3.4,,False,,False,False,,,,,True,True,,False,False,False,False,,False,,False,,,,,,True
01095,365,291.0,1235.3,304.6,,199.0,134.0,,,,,546.0,468.6,,81.7,161.8,151.8,353.0,,82.2,,222.0,,,,,,963.7,-74.0,870.3,-60.4,,-166.0,-231.0,,,,,181.0,103.6,,-283.3,-203.2,-213.2,-12.0,,-282.8,,-143.0,,,,,,598.7,False,True,,False,False,,,,,False,False,,False,False,False,True,,False,,False,,,,,,False
01097,1423,3375.0,3426.1,3390.0,2817.7,2320.0,2316.0,,,,,3217.0,2401.5,,1381.0,1614.9,1866.7,1565.0,,931.5,,4285.3,1554.0,,,,,5634.1,1952.0,2003.1,1967.0,1394.7,897.0,893.0,,,,,1794.0,978.5,,-42.0,191.9,443.7,142.0,,-491.5,,2862.3,131.0,,,,,4211.1,False,False,True,True,True,,,,,True,True,,True,True,True,True,,True,,False,True,,,,,False
01099,52,39.0,,44.2,,35.0,25.0,,,,,132.0,118.0,,7.9,32.6,23.3,53.0,,49.5,,32.2,,,,,,208.3,-13.0,,-7.8,,-17.0,-27.0,,,,,80.0,66.0,,-44.1,-19.4,-28.7,1.0,,-2.5,,-19.8,,,,,,156.3,,True,,False,False,,,,,False,False,,False,False,False,True,,True,,False,,,,,,False
01101,948,1380.0,583.0,1375.7,787.2,893.0,1266.0,,,,,1327.0,609.3,,632.2,880.5,731.8,995.0,,1151.2,,1439.9,855.0,,,,,1506.6,432.0,-365.0,427.7,-160.8,-55.0,318.0,,,,,379.0,-338.7,,-315.8,-67.5,-216.2,47.0,,203.2,,491.9,-93.0,,,,,558.6,True,True,True,True,True,,,,,True,True,,True,True,True,True,,True,,False,True,,,,,False
01103,435,357.0,497.1,335.1,,299.0,188.0,,,,,558.0,556.7,,189.9,261.3,223.1,331.0,,257.3,,333.0,,,,,,1614.3,-78.0,62.1,-99.9,,-136.0,-247.0,,,,,123.0,121.7,,-245.1,-173.7,-211.9,-104.0,,-177.7,,-102.0,,,,,,1179.3,True,False,,False,False,,,,,False,False,,False,False,False,False,,False,,False,,,,,,False
01105,34,45.0,,44.4,,37.0,29.0,,,,,46.0,52.1,,13.1,34.0,0.0,55.0,,13.7,,60.0,,,,,,104.6,11.0,,10.4,,3.0,-5.0,,,,,12.0,18.1,,-20.9,-0.0,-34.0,21.0,,-20.3,,26.0,,,,,,70.6,,True,,True,True,,,,,False,False,,False,True,False,False,,False,,False,,,,,,False
01107,133,126.0,,128.0,,88.0,110.0,,,,,112.0,90.3,,59.8,90.8,47.6,76.0,,87.4,,84.8,,,,,,304.2,-7.0,,-5.0,,-45.0,-23.0,,,,,-21.0,-42.7,,-73.2,-42.2,-85.4,-57.0,,-45.6,,-48.2,,,,,,171.2,,True,,False,False,,,,,False,False,,False,False,False,False,,False,,False,,,,,,False
01109,254,57.0,,35.9,,47.0,36.0,,,,,167.0,95.2,,8.2,43.5,0.1,85.0,,93.1,,95.0,,,,,,365.3,-197.0,,-218.1,,-207.0,-218.0,,,,,-87.0,-158.8,,-245.8,-210.5,-253.9,-169.0,,-160.9,,-159.0,,,,,,111.3,,False,,False,False,,,,,True,True,,False,False,False,True,,True,,True,,,,,,True
01111,112,39.0,,49.4,,38.0,8.0,,,,,96.0,86.6,,6.9,22.9,40.0,48.0,,38.5,,37.1,,,,,,80.6,-73.0,,-62.6,,-74.0,-104.0,,,,,-16.0,-25.4,,-105.1,-89.1,-72.0,-64.0,,-73.5,,-74.9,,,,,,-31.4,,True,,False,False,,,,,True,True,,False,False,True,True,,False,,False,,,,,,True
01113,210,141.0,790.0,148.5,,119.0,85.0,,,,,270.0,217.0,,23.6,79.5,42.0,154.0,,53.1,,317.1,,,,,,530.3,-69.0,580.0,-61.5,,-91.0,-125.0,,,,,60.0,7.0,,-186.4,-130.5,-168.0,-56.0,,-156.9,,107.1,,,,,,320.3,False,True,,False,False,,,,,True,True,,False,False,False,True,,False,,False,,,,,,False
01115,437,201.0,589.0,188.7,,197.0,90.0,,,,,327.0,472.8,,134.3,200.0,275.1,193.0,,125.0,,183.2,,,,,,1091.6,-236.0,152.0,-248.3,,-240.0,-347.0,,,,,-110.0,35.8,,-302.7,-237.0,-161.9,-244.0,,-312.0,,-253.8,,,,,,654.6,True,False,,False,False,,,,,True,True,,False,False,True,False,,False,,False,,,,,,False
01117,1177,618.0,2780.0,614.4,,513.0,370.0,,,,,800.0,1122.6,,536.1,512.2,326.8,523.0,,478.4,,487.1,370.0,,,,,2095.9,-559.0,1603.0,-562.6,,-664.0,-807.0,,,,,-377.0,-54.4,,-640.9,-664.8,-850.2,-654.0,,-698.6,,-689.9,-807.0,,,,,918.9,False,False,,False,False,,,,,True,True,,False,False,False,False,,False,,False,False,,,,,False
01119,28,39.0,,25.3,,26.0,37.0,,,,,69.0,12.8,,4.3,24.6,0.2,,,44.9,,44.6,,,,,,54.3,11.0,,-2.7,,-2.0,9.0,,,,,41.0,-15.2,,-23.7,-3.4,-27.8,,,16.9,,16.6,,,,,,26.3,,True,,True,True,,,,,False,False,,False,True,False,,,False,,False,,,,,,False
01121,427,339.0,645.3,365.6,,318.0,216.0,,,,,376.0,601.9,,222.6,266.9,218.0,196.0,,274.6,,367.3,,,,,,1376.5,-88.0,218.3,-61.4,,-109.0,-211.0,,,,,-51.0,174.9,,-204.4,-160.1,-209.0,-231.0,,-152.4,,-59.7,,,,,,949.5,False,True,,False,False,,,,,True,False,,False,False,False,False,,False,,True,,,,,,False
01123,112,99.0,,99.2,,72.0,72.0,,,,,179.0,148.0,,18.7,64.3,25.9,107.0,,29.6,,116.8,,,,,,142.6,-13.0,,-12.8,,-40.0,-40.0,,,,,67.0,36.0,,-93.3,-47.7,-86.1,-5.0,,-82.4,,4.8,,,,,,30.6,,True,,False,False,,,,,False,False,,False,False,False,True,,False,,True,,,,,,False
