,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Idaho,415,181.7,641.9,271.0,,156.2,249.5,-233.3,226.9,-144.0,,-258.8,-165.5,True,True,,False,True
Illinois,8527,10647.4,7878.0,8546.0,,9202.4,8222.9,2120.4,-649.0,19.0,,675.4,-304.1,True,True,,True,True
Indiana,3437,3353.4,3329.6,3288.0,,3257.1,3534.3,-83.6,-107.4,-149.0,,-179.9,97.3,False,False,,False,False
Iowa,1218,1026.6,1285.6,973.0,,938.8,1047.0,-191.4,67.6,-245.0,,-279.2,-171.0,True,False,,False,True
Kansas,526,412.1,778.3,666.0,,395.7,463.2,-113.9,252.3,140.0,,-130.3,-62.8,False,False,,False,True
Kentucky,1057,979.3,942.1,943.0,,845.8,1197.8,-77.7,-114.9,-114.0,,-211.2,140.8,False,False,,False,False
Louisiana,5202,4549.7,5090.6,6073.0,,4198.6,4936.9,-652.3,-111.4,871.0,,-1003.4,-265.1,True,False,,False,True
Maine,135,158.3,127.3,116.0,,130.7,149.6,23.3,-7.7,-19.0,,-4.3,14.6,True,True,,True,True
Maryland,3836,3992.1,3603.8,3643.0,,3873.7,3870.7,156.1,-232.2,-193.0,,37.7,34.7,False,False,,True,True
Massachusetts,9196,9582.7,8473.6,10412.0,,8973.6,8877.8,386.7,-722.4,1216.0,,-222.4,-318.2,False,False,,True,True
Michigan,6911,7164.3,6749.6,6609.0,,6838.6,7228.5,253.3,-161.4,-302.0,,-72.4,317.5,True,False,,True,False
Minnesota,1958,1823.4,2017.4,2122.0,,1771.1,1927.5,-134.6,59.4,164.0,,-186.9,-30.5,True,False,,False,True
Mississippi,2685,2471.3,2350.8,2189.0,,2012.7,2455.0,-213.7,-334.2,-496.0,,-672.3,-230.0,False,False,,False,False
Missouri,1728,1455.1,1701.1,1589.0,,1730.7,1685.3,-272.9,-26.9,-139.0,,2.7,-42.7,True,True,,True,True
Montana,133,82.1,145.2,47.0,,71.4,101.3,-50.9,12.2,-86.0,,-61.6,-31.7,True,False,,False,True
Nebraska,437,293.9,409.5,426.0,,320.2,396.2,-143.1,-27.5,-11.0,,-116.8,-40.8,True,True,,True,True
Nevada,1449,1115.6,1535.3,989.0,,912.3,1433.3,-333.4,86.3,-460.0,,-536.7,-15.7,True,False,,False,True
New Hampshire,435,479.6,447.3,445.0,,485.6,441.1,44.6,12.3,10.0,,50.6,6.1,True,True,,False,True
New Jersey,16027,18306.1,16192.1,18402.0,,16659.4,16307.5,2279.1,165.1,2375.0,,632.4,280.5,True,False,,True,True
New Mexico,821,828.4,844.1,1074.0,,806.8,844.6,7.4,23.1,253.0,,-14.2,23.6,False,False,,False,False
New York,33023,33625.4,32722.9,34607.0,,32892.4,33187.1,647.4,-255.1,1629.0,,-85.6,209.1,True,False,,True,True
North Carolina,3047,2398.9,2979.0,3429.0,,2521.0,2693.0,-648.1,-68.0,382.0,,-526.0,-354.0,True,True,,True,True
North Dakota,167,149.0,135.5,170.0,,116.2,147.0,-18.0,-31.5,3.0,,-50.8,-20.0,False,True,,False,False
Ohio,4411,4360.0,4533.0,4243.0,,4330.5,4922.0,-51.0,122.0,-168.0,,-80.5,511.0,False,False,,False,False
Oklahoma,899,634.6,1046.5,1387.0,,582.7,651.9,-264.4,147.5,488.0,,-316.3,-247.1,True,False,,False,True
Oregon,505,402.3,512.6,492.0,,342.3,567.4,-102.7,7.6,-13.0,,-162.7,62.4,True,True,,False,True
Pennsylvania,7829,8241.4,7882.2,8072.0,,8203.0,8314.9,412.4,53.2,243.0,,374.0,485.9,True,True,,True,False
Rhode Island,1071,1117.7,1082.4,1174.0,,1082.2,1083.8,57.7,22.4,114.0,,22.2,23.8,True,False,,True,True
South Carolina,3040,2209.9,2813.0,2336.0,,1933.9,2953.9,-830.1,-227.0,-704.0,,-1106.1,-86.1,True,True,,False,True
South Dakota,183,215.3,144.9,166.0,,138.2,179.7,32.3,-38.1,-17.0,,-44.8,-3.3,False,True,,False,True
Tennessee,2064,1591.3,2202.3,2357.0,,1328.1,2237.5,-472.7,138.3,293.0,,-735.9,173.5,True,True,,False,True
Texas,14629,8308.9,13606.8,12370.0,9378.0,7878.2,9896.8,-5581.1,-283.2,-1520.0,-4512.0,-6011.8,-3993.2,True,True,True,False,True
Utah,433,489.6,762.3,572.0,,455.6,640.2,56.6,329.3,139.0,,22.6,207.2,False,False,,True,False
Vermont,58,56.0,60.0,57.0,,56.9,64.8,-2.0,2.0,-1.0,,-1.1,6.8,True,True,,True,False
Virginia,2722,2966.9,2343.1,2591.0,,2486.9,3150.1,244.9,-378.9,-131.0,,-235.1,428.1,False,True,,True,False
Washington,1978,2137.7,2103.9,2050.0,,1889.2,2074.8,126.7,92.9,39.0,,-121.8,63.8,True,True,,True,True
West Virginia,266,113.7,243.7,152.0,,122.5,126.6,-152.3,-22.3,-114.0,,-143.5,-139.4,True,True,,True,True
Wisconsin,1261,1032.6,1441.5,1136.0,,1051.3,1287.3,-199.4,209.5,-96.0,,-180.7,55.3,False,True,,True,True
Wyoming,42,29.9,66.8,36.0,,26.5,34.7,-12.1,24.8,-6.0,,-15.5,-7.3,False,True,,False,True
US,194031,181660.7,193038.0,177662.0,145201.0,171732.7,189281.5,-11579.3,-202.0,-15578.0,-48039.0,-21507.3,-3958.5,True,False,False,False,True
