,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,6287,6642.1,6102.0,6699.2,6319.0,6601.2,6260.0,5986.0,,5400.0,5748.0,7424.5,6189.3,6513.7,5740.0,6352.0,6296.9,6736.9,5591.4,6234.4,4546.6,6578.7,,6497.3,6259.3,5906.0,,7084.1,5421.9,,10715.5,6381.0,6295.4,,5831.0,6746.1,6261.6,6448.0,7214.5,6192.3,6313.0,355.1,-185.0,412.2,32.0,314.2,-27.0,-301.0,,-887.0,-539.0,1137.5,-97.7,226.7,-547.0,65.0,9.9,449.9,-695.6,-52.6,-1740.4,291.7,,210.3,-27.7,-381.0,,797.1,-865.1,,4428.5,94.0,8.4,,-456.0,459.1,-25.4,161.0,927.5,-94.7,26.0,True,False,True,True,True,True,,False,False,False,True,True,False,True,True,False,False,True,False,True,,True,True,False,,False,False,,False,True,True,,False,False,True,True,False,True,True
Hawaii,97,74.7,72.0,76.6,83.0,76.0,85.0,130.0,,120.7,91.0,53.5,,,,125.6,153.8,105.8,79.1,77.1,28.7,88.6,,72.6,104.2,64.0,,,52.4,,293.8,117.0,75.0,,101.0,,83.2,56.0,87.0,81.7,56.0,-22.3,-25.0,-20.4,-14.0,-21.0,-12.0,33.0,,23.7,-6.0,-43.5,,,,28.6,56.8,8.8,-17.9,-19.9,-68.3,-8.4,,-24.4,7.2,-33.0,,,-44.6,,196.8,20.0,-22.0,,4.0,,-13.8,-41.0,-10.0,-15.3,-41.0,False,True,True,True,True,False,,False,True,False,,,,False,False,True,True,True,False,True,,False,True,False,,,False,,False,True,True,,True,,True,False,True,True,False
Idaho,415,392.4,407.0,413.9,432.0,405.0,403.0,386.0,,393.2,371.0,379.7,405.1,,334.0,422.1,650.3,459.3,340.8,384.2,406.6,465.9,,487.9,402.7,409.0,,,305.6,,631.7,441.0,353.2,,339.0,454.9,379.3,385.0,428.0,409.1,401.0,-22.6,-8.0,-1.1,17.0,-10.0,-12.0,-29.0,,-21.8,-44.0,-35.3,-9.9,,-81.0,7.1,235.3,44.3,-74.2,-30.8,-8.4,50.9,,72.9,-12.3,-6.0,,,-109.4,,216.7,26.0,-61.8,,-76.0,39.9,-35.7,-30.0,13.0,-5.9,-14.0,True,True,True,True,True,False,,True,False,False,True,,False,True,False,False,False,False,True,False,,False,True,True,,,False,,False,False,False,,False,False,False,False,True,True,True
Illinois,8527,8379.3,8945.0,8325.6,8569.0,8340.5,8398.0,8748.0,,8391.7,8345.0,8861.9,8385.3,,8307.0,8543.6,8612.7,8407.1,8241.6,8495.3,8947.9,8255.2,8765.0,8222.3,8438.5,8087.0,,8416.2,8181.3,,11031.5,8654.0,8276.8,,8439.0,8231.7,9734.5,8449.0,8396.0,8521.9,7827.0,-147.7,418.0,-201.4,42.0,-186.5,-129.0,221.0,,-135.3,-182.0,334.9,-141.7,,-220.0,16.6,85.7,-119.9,-285.4,-31.7,420.9,-271.8,238.0,-304.7,-88.5,-440.0,,-110.8,-345.7,,2504.5,127.0,-250.2,,-88.0,-295.3,1207.5,-78.0,-131.0,-5.1,-700.0,False,False,True,False,True,False,,True,False,False,True,,False,True,True,True,False,True,False,False,False,False,True,False,,True,False,,False,True,False,,True,False,False,True,True,True,False
Indiana,3392,3487.9,3519.0,3496.3,3527.0,3497.5,3480.0,3579.0,,3372.9,3390.0,3679.2,3503.0,,3360.0,3555.8,3515.4,3617.2,3346.0,3472.8,3599.4,3297.9,3464.0,3266.8,3535.8,3426.5,,3397.3,3338.2,,6600.2,3557.0,3479.6,,3478.0,3276.1,4045.8,3550.0,3536.0,3542.6,3236.0,42.9,74.0,51.3,82.0,52.5,35.0,134.0,,-72.1,-55.0,234.2,58.0,,-85.0,110.8,70.4,172.2,-99.0,27.8,154.4,-147.1,19.0,-178.2,90.8,-18.5,,-47.7,-106.8,,3155.2,112.0,34.6,,33.0,-168.9,600.8,105.0,91.0,97.6,-209.0,False,False,False,False,True,False,,False,False,False,False,,False,False,False,False,False,True,False,False,True,False,False,True,,False,False,,False,False,True,,True,False,False,False,False,False,False
Iowa,1218,1144.7,1231.0,1165.2,1246.0,1166.9,1165.0,1150.0,,1121.9,1015.0,1235.9,1171.7,,1150.0,1172.9,1305.5,1169.2,1134.6,1150.4,1038.5,1172.0,,1217.8,1214.8,1297.0,,1243.7,1076.7,,3076.2,1195.0,1094.9,,1121.0,1093.2,1242.4,1156.0,1239.0,1162.0,1113.0,-73.3,13.0,-52.8,28.0,-51.1,-53.0,-68.0,,-96.1,-203.0,17.9,-46.3,,-68.0,-45.1,87.5,-48.8,-83.4,-67.6,-179.5,-46.0,,-0.2,-3.2,79.0,,25.7,-141.3,,1858.2,-23.0,-123.1,,-97.0,-124.8,24.4,-62.0,21.0,-56.0,-105.0,True,True,True,True,True,True,,False,False,True,True,,True,True,False,True,False,True,False,True,,True,True,False,,True,False,,False,True,False,,False,False,True,True,True,True,False
Kansas,526,506.3,573.0,505.6,512.0,510.0,509.0,766.0,,549.7,510.0,483.3,525.4,,515.0,531.3,717.5,527.0,469.5,505.8,469.2,544.0,,530.6,533.7,545.0,,,436.3,,1149.3,517.0,488.9,,473.0,472.6,540.1,514.0,508.5,503.1,424.0,-19.7,47.0,-20.4,-14.0,-16.0,-17.0,240.0,,23.7,-16.0,-42.7,-0.6,,-11.0,5.3,191.5,1.0,-56.5,-20.2,-56.8,18.0,,4.6,7.7,19.0,,,-89.7,,623.3,-9.0,-37.1,,-53.0,-53.4,14.1,-12.0,-17.5,-22.9,-102.0,False,False,True,True,True,False,,False,True,False,True,,True,True,False,True,False,False,False,True,,True,True,True,,,False,,False,True,False,,False,False,True,True,True,False,False
Kentucky,1057,952.7,1001.0,969.4,983.0,961.9,965.0,1141.0,,,960.0,944.5,1036.0,,911.0,999.6,1242.5,981.0,881.5,933.9,1112.0,961.4,992.0,879.2,1010.1,928.0,,942.1,873.4,,1993.3,1026.0,969.3,,946.0,913.1,1118.0,961.0,981.0,966.5,846.0,-104.3,-56.0,-87.6,-74.0,-95.1,-92.0,84.0,,,-97.0,-112.5,-21.0,,-146.0,-57.4,185.5,-76.0,-175.5,-123.1,55.0,-95.6,-65.0,-177.8,-46.9,-129.0,,-114.9,-183.6,,936.3,-31.0,-87.7,,-111.0,-143.9,61.0,-96.0,-76.0,-90.5,-211.0,True,True,True,True,True,True,,,True,False,True,,False,True,False,True,False,False,True,True,True,False,True,False,,False,False,,False,True,True,,False,False,True,True,True,True,False
Louisiana,5202,5448.1,5171.0,5356.7,5193.0,5321.8,5210.0,4780.0,,,4986.0,5781.5,5222.8,,5235.0,5138.7,5105.5,5781.8,4967.3,5137.6,4218.3,5116.3,,5401.5,5186.7,6082.0,,5931.4,5156.6,,20447.4,5210.0,5000.2,,5095.0,,5616.1,4956.0,5574.0,5184.1,4980.0,246.1,-31.0,154.7,-9.0,119.8,8.0,-422.0,,,-216.0,579.5,20.8,,33.0,-63.3,-96.5,579.8,-234.7,-64.4,-983.7,-85.7,,199.5,-15.3,880.0,,729.4,-45.4,,15245.4,8.0,-201.8,,-107.0,,414.1,-246.0,372.0,-17.9,-222.0,True,True,True,True,True,False,,,True,False,True,,True,True,True,False,True,True,False,True,,True,True,False,,False,True,,False,True,True,,True,,False,True,False,True,True
Maine,135,134.7,146.0,135.8,134.0,135.7,137.0,127.0,,,130.0,143.2,140.5,,133.0,133.2,156.3,134.8,137.3,127.6,142.7,132.5,,144.4,137.4,130.5,,,129.9,,250.6,141.0,133.0,,136.0,,143.6,132.0,163.0,135.4,,-0.3,11.0,0.8,-1.0,0.7,2.0,-8.0,,,-5.0,8.2,5.5,,-2.0,-1.8,21.3,-0.2,2.3,-7.4,7.7,-2.5,,9.4,2.4,-4.5,,,-5.1,,115.6,6.0,-2.0,,1.0,,8.6,-3.0,28.0,0.4,,False,False,False,False,False,False,,,False,False,False,,False,False,False,True,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,,False,False,False,False,
Maryland,3836,3847.3,4117.0,3873.4,3940.0,3874.7,3868.0,4067.0,,,3829.0,4058.0,3891.2,,3780.0,3914.1,3927.2,3924.2,3771.2,3815.4,3938.3,3883.7,,3765.3,3827.9,3800.0,,4004.2,3868.3,,4340.2,3863.0,3821.5,,3834.0,3748.7,4360.9,3845.0,4003.0,3959.9,3732.0,11.3,281.0,37.4,104.0,38.7,32.0,231.0,,,-7.0,222.0,55.2,,-56.0,78.1,91.2,88.2,-64.8,-20.6,102.3,47.7,,-70.7,-8.1,-36.0,,168.2,32.3,,504.2,27.0,-14.5,,-2.0,-87.3,524.9,9.0,167.0,123.9,-104.0,False,False,False,False,False,False,,,True,False,False,,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,False,,True,False,False,True,False,False,False
Massachusetts,9196,9235.3,9401.0,9274.2,9111.0,9281.0,9204.0,8949.0,,,9215.0,9661.1,9249.1,,8869.0,9298.3,8948.5,9265.6,9113.0,9169.4,8530.5,9124.6,,9144.1,9239.7,9135.0,,9313.4,9149.4,,5947.4,9170.0,9169.3,,9200.0,8956.1,9281.4,9275.0,9507.5,9276.0,8806.0,39.3,205.0,78.2,-85.0,85.0,8.0,-247.0,,,19.0,465.1,53.1,,-327.0,102.3,-247.5,69.6,-83.0,-26.6,-665.5,-71.4,,-51.9,43.7,-61.0,,117.4,-46.6,,-3248.6,-26.0,-26.7,,4.0,-239.9,85.4,79.0,311.5,80.0,-390.0,False,False,False,False,True,False,,,True,False,False,,False,False,False,False,False,True,False,False,,False,False,False,,False,False,,False,True,True,,True,False,False,False,False,False,False
Michigan,6911,6873.6,7067.0,6836.0,6834.0,6872.8,6871.0,7056.0,,,6674.0,7161.1,6871.1,,6832.0,6856.3,7232.4,6877.1,6746.2,6906.0,7542.1,6839.2,10132.0,6759.5,6916.2,6609.0,,6741.4,6832.5,,11286.5,6891.0,6801.4,,6884.0,,7822.8,6805.0,7163.0,6858.6,6739.0,-37.4,156.0,-75.0,-77.0,-38.2,-40.0,145.0,,,-237.0,250.1,-39.9,,-79.0,-54.7,321.4,-33.9,-164.8,-5.0,631.1,-71.8,3221.0,-151.5,5.2,-302.0,,-169.6,-78.5,,4375.5,-20.0,-109.6,,-27.0,,911.8,-106.0,252.0,-52.4,-172.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,True,False,True,False,False,False,False,True,False,,False,False,,False,True,False,,True,,False,False,False,False,False
Minnesota,1958,1960.3,2067.0,1786.2,1983.0,1773.6,1893.0,1930.0,,,1823.0,2177.8,1806.3,,1869.0,1820.6,2097.3,1883.9,1870.0,2030.0,1875.5,1805.6,2017.5,1895.8,1917.1,1746.0,,1970.3,1880.6,,12966.4,1989.0,1759.4,,1916.0,1843.7,2246.5,1864.0,4169.5,1962.9,1874.0,2.3,109.0,-171.8,25.0,-184.4,-65.0,-28.0,,,-135.0,219.8,-151.7,,-89.0,-137.4,139.3,-74.1,-88.0,72.0,-82.5,-152.4,59.5,-62.2,-40.9,-212.0,,12.3,-77.4,,11008.4,31.0,-198.6,,-42.0,-114.3,288.5,-94.0,2211.5,4.9,-84.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False
Mississippi,2685,2809.1,2713.0,2909.2,2678.0,2904.2,2678.0,2313.0,,,2671.0,2734.0,2674.2,,2674.0,2753.1,2686.3,2791.5,2463.3,2579.1,2320.7,2749.4,,2907.6,2723.5,2199.0,,3374.5,2428.6,,3903.8,2560.0,2718.7,,2506.0,2849.3,2734.3,2579.0,2920.5,2675.5,2689.0,124.1,28.0,224.2,-7.0,219.2,-7.0,-372.0,,,-14.0,49.0,-10.8,,-11.0,68.1,1.3,106.5,-221.7,-105.9,-364.3,64.4,,222.6,38.5,-486.0,,689.5,-256.4,,1218.8,-125.0,33.7,,-179.0,164.3,49.3,-106.0,235.5,-9.5,4.0,True,False,True,False,True,False,,,True,True,True,,True,True,True,True,False,True,False,True,,False,True,False,,False,False,,False,False,True,,False,False,True,True,False,True,True
Missouri,1754,1572.0,1722.0,1590.9,1703.0,1581.8,1629.0,2111.0,,,1707.0,1625.8,1706.6,,1557.0,1722.5,1923.6,1666.4,1564.5,1566.2,1672.2,1604.2,,1767.0,1643.5,1610.0,,1543.2,1481.7,,6947.1,1672.0,1699.5,,1620.0,1535.2,2010.8,1565.0,1698.0,1619.6,1479.0,-162.0,-12.0,-143.1,-31.0,-152.2,-105.0,377.0,,,-27.0,-108.2,-27.4,,-177.0,-11.5,189.6,-67.6,-169.5,-167.8,-61.8,-129.8,,33.0,-90.5,-124.0,,-190.8,-252.3,,5213.1,-62.0,-34.5,,-114.0,-198.8,276.8,-169.0,-36.0,-114.4,-255.0,True,True,True,True,True,False,,,True,True,True,,False,True,False,True,False,False,True,True,,True,True,True,,False,False,,False,True,True,,True,False,False,False,True,True,False
