,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Missouri,1754,1481.7,,1758.1,1740.0,1499.0,1279.0,1744.1,,1856.6,2088.4,2255.9,1641.1,-260.3,,16.1,-2.0,-243.0,-463.0,2.1,,114.6,346.4,513.9,-100.9,,True,True,True,False,True,,True,False,False,True
Montana,133,99.9,,173.2,83.0,137.0,80.0,141.2,,72.6,165.7,229.0,107.0,-33.1,,40.2,-50.0,4.0,-53.0,8.2,,-60.4,32.7,96.0,-26.0,,False,False,True,False,True,,False,True,False,True
Nebraska,437,426.7,,422.7,313.0,296.8,356.0,373.4,,376.8,715.6,401.8,412.6,-10.3,,-14.3,-124.0,-140.2,-81.0,-63.6,,-60.2,278.6,-35.2,-24.4,,False,False,False,False,False,,False,False,False,False
Nevada,1449,1071.3,,1737.2,1373.0,1877.8,1119.0,877.2,,969.0,3509.4,1256.5,1354.1,-377.7,,288.2,-76.0,428.8,-330.0,-571.8,,-480.0,2060.4,-192.5,-94.9,,True,True,False,True,False,,False,False,True,True
New Hampshire,435,453.0,,450.0,432.0,440.9,402.0,467.5,,468.1,482.3,426.9,437.7,18.0,,15.0,-3.0,5.9,-33.0,32.5,,33.1,47.3,-8.1,2.7,,True,True,True,False,False,,False,False,True,True
New Jersey,16027,17128.1,,16370.2,16122.0,17617.0,16200.0,16041.3,,16258.8,16006.1,16541.3,16571.3,1101.1,,343.2,95.0,1590.0,173.0,14.3,,231.8,-20.9,514.3,544.3,,True,True,False,True,True,,True,True,True,True
New Mexico,821,775.3,,812.8,726.0,909.2,756.0,857.0,,767.5,749.7,834.6,905.7,-45.7,,-8.2,-95.0,88.2,-65.0,36.0,,-53.5,-71.3,13.6,84.7,,True,False,False,False,True,,False,False,True,False
New York,33023,33634.3,,32815.6,32633.0,34271.4,33350.0,28338.3,,33125.6,33951.0,33541.8,33276.3,632.3,,-186.4,-369.0,1269.4,348.0,-4663.7,,123.6,949.0,539.8,274.3,,True,True,False,True,False,,True,False,True,True
North Carolina,3047,2673.4,,2993.9,4753.0,2088.2,2301.0,2176.1,,2619.2,7611.3,3409.9,2636.8,-373.6,,-53.1,1706.0,-958.8,-746.0,-870.9,,-427.8,4564.3,362.9,-410.2,,True,False,False,False,False,,False,False,True,False
North Dakota,167,131.3,,166.5,99.0,206.9,101.0,148.2,,145.6,317.3,278.4,132.0,-35.7,,-0.5,-68.0,39.9,-66.0,-18.8,,-21.4,150.3,111.4,-35.0,,True,False,False,False,True,,True,False,False,True
Ohio,4114,4085.4,,4448.0,4238.0,4022.4,3607.0,4477.5,,4131.2,4360.1,5432.0,4737.1,-332.6,,30.0,-180.0,-395.6,-811.0,59.5,,-286.8,-57.9,1014.0,319.1,,True,True,False,False,True,,True,True,False,True
Oklahoma,899,678.9,,1045.2,864.0,712.3,809.0,632.3,,596.1,1234.0,1013.5,714.6,-220.1,,146.2,-35.0,-186.7,-90.0,-266.7,,-302.9,335.0,114.5,-184.4,,True,True,True,True,False,,False,False,True,True
Oregon,505,464.3,,507.2,492.0,419.8,360.0,772.4,,375.0,1305.7,589.6,538.4,-40.7,,2.2,-13.0,-85.2,-145.0,267.4,,-130.0,800.7,84.6,33.4,,True,True,False,False,False,,False,False,False,True
Pennsylvania,7829,7949.1,,7857.4,7544.0,7898.0,7443.0,8157.3,,7784.7,8499.6,7877.2,8095.0,120.1,,28.4,-285.0,69.0,-386.0,328.3,,-44.3,670.6,48.2,266.0,,True,False,True,False,False,,True,False,True,False
Rhode Island,1096,1100.0,,1120.1,1038.0,1027.2,1161.0,1034.3,,1075.5,1138.4,1034.2,1078.9,28.0,,48.1,-34.0,-44.8,89.0,-37.7,,3.5,66.4,-37.8,6.9,,False,False,False,False,False,,True,False,False,True
South Carolina,3040,2679.3,,2729.3,2169.0,2879.4,1818.0,1306.1,,2176.1,4636.5,2432.6,2501.6,-360.7,,-310.7,-871.0,-160.6,-1222.0,-1733.9,,-863.9,1596.5,-607.4,-538.4,,True,False,True,False,False,,False,False,False,False
South Dakota,183,188.7,,142.8,143.0,184.2,189.0,172.4,,261.6,279.9,249.1,170.2,5.7,,-40.2,-40.0,1.2,6.0,-10.6,,78.6,96.9,66.1,-12.8,,False,False,True,False,False,,False,False,False,False
Tennessee,2064,1644.4,,2500.8,2091.0,1598.6,1475.0,2081.8,,1452.4,3591.6,1867.1,1750.6,-419.6,,436.8,27.0,-465.4,-589.0,17.8,,-611.6,1527.6,-196.9,-313.4,,False,True,False,False,True,,False,False,True,True
Texas,14629,10266.3,,12485.8,10861.0,14767.2,12453.0,4850.6,18120.0,8553.5,19764.0,12584.2,10329.7,-3430.7,,-1211.2,-2836.0,1070.2,-1244.0,-8846.4,4423.0,-5143.5,6067.0,-1112.8,-3367.3,,True,True,True,True,False,False,False,False,True,True
Utah,433,463.0,,680.1,603.0,683.6,397.0,311.4,,440.6,1034.0,496.3,533.1,30.0,,247.1,170.0,250.6,-36.0,-121.6,,7.6,601.0,63.3,100.1,,False,False,False,False,False,,True,False,False,False
Vermont,58,56.0,,60.7,56.0,56.5,56.0,59.6,,57.1,73.8,56.0,64.9,-2.0,,2.7,-2.0,-1.5,-2.0,1.6,,-0.9,15.8,-2.0,6.9,,False,False,True,False,True,,True,False,True,False
Virginia,2722,2506.3,,2550.4,2270.0,3133.3,2225.0,2723.6,,2429.5,3805.5,2335.1,2717.4,-215.7,,-171.6,-452.0,411.3,-497.0,1.6,,-292.5,1083.5,-386.9,-4.6,,True,False,False,False,True,,False,False,False,True
Washington,1978,1517.7,,2059.6,1944.0,2092.0,1699.0,2595.6,,1630.0,2319.3,2309.9,1836.3,-450.3,,91.6,-24.0,124.0,-269.0,627.6,,-338.0,351.3,341.9,-131.7,,True,True,True,True,False,,True,True,True,True
West Virginia,266,131.4,,253.6,182.0,112.3,113.0,149.7,,125.9,215.4,209.8,127.7,-134.6,,-12.4,-84.0,-153.7,-153.0,-116.3,,-140.1,-50.6,-56.2,-138.3,,True,True,False,False,True,,False,True,True,False
Wisconsin,1261,1032.6,,1510.1,1079.0,939.4,949.0,1133.4,,1084.5,3318.3,1271.6,1211.1,-186.4,,291.1,-140.0,-279.6,-270.0,-85.6,,-134.5,2099.3,52.6,-7.9,,False,True,False,False,True,,True,False,True,True
Wyoming,42,56.4,,59.4,41.0,21.5,28.0,45.3,,38.6,67.0,48.9,41.4,14.4,,17.4,-1.0,-20.5,-14.0,3.3,,-3.4,25.0,6.9,-0.6,,False,True,False,True,True,,True,False,True,True
US,193757,182404.7,182470.0,194369.2,186950.0,189745.6,175702.0,164444.4,178996.0,176710.1,251927.6,180060.8,186840.2,-10617.3,-10552.0,1347.2,-6072.0,-3276.4,-17320.0,-28577.6,-14026.0,-16311.9,58905.6,-12961.2,-6181.8,True,True,True,True,False,False,False,False,False,False,True
