,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Ohio,4411,4829.3,,4225.3,4467.0,4521.1,4048.0,4083.9,4501.4,3779.0,3725.7,5603.0,,,4612.4,5399.4,4669.0,4508.1,418.3,,-185.7,56.0,110.1,-363.0,-327.1,90.4,-632.0,-685.3,1192.0,,,201.4,988.4,258.0,97.1,,True,True,True,True,True,True,False,False,False,,,True,False,True,True
Oklahoma,899,866.3,,1061.9,961.0,855.2,862.0,694.9,773.0,,598.0,1970.0,,,769.4,1005.2,1077.0,863.6,-32.7,,162.9,62.0,-43.8,-37.0,-204.1,-126.0,,-301.0,1071.0,,,-129.6,106.2,178.0,-35.4,,False,False,False,False,False,False,,False,False,,,False,False,False,False
Oregon,505,542.7,,509.2,524.0,462.0,446.0,455.9,727.4,,539.8,729.0,,,503.9,554.0,573.0,603.5,37.7,,4.2,19.0,-43.0,-59.0,-49.1,222.4,,34.8,224.0,,,-1.1,49.0,68.0,98.5,,True,True,False,False,False,False,,True,False,,,True,False,False,False
Pennsylvania,7829,7785.3,,7756.1,7448.0,7820.2,7545.0,7517.9,7939.6,,7547.5,7557.0,,,7711.3,9227.5,7842.0,7806.8,-43.7,,-72.9,-381.0,-8.8,-284.0,-311.1,110.6,,-281.5,-272.0,,,-117.7,1398.5,13.0,-22.2,,False,False,True,False,False,False,,False,False,,,False,False,True,True
Rhode Island,1071,1036.3,,1060.9,1029.0,1034.8,1096.0,1055.8,1032.9,,1043.7,1025.0,,,1043.7,1165.4,1043.0,1064.8,-34.7,,-10.1,-42.0,-36.2,25.0,-15.2,-38.1,,-27.3,-46.0,,,-27.3,94.4,-28.0,-6.2,,True,False,False,True,True,False,,True,False,,,True,False,True,True
South Carolina,3040,3452.1,,2524.2,2922.0,2970.2,2629.0,2836.9,2464.6,,3502.8,7634.5,,,2648.6,2851.3,3084.0,3283.3,412.1,,-515.8,-118.0,-69.8,-411.0,-203.1,-575.4,,462.8,4594.5,,,-391.4,-188.7,44.0,243.3,,False,True,True,True,True,False,,False,False,,,True,True,True,True
South Dakota,183,205.3,,173.2,162.0,167.1,183.0,175.4,186.0,,202.0,172.0,,,221.3,190.2,166.0,183.8,22.3,,-9.8,-21.0,-15.9,0.0,-7.6,3.0,,19.0,-11.0,,,38.3,7.2,-17.0,0.8,,True,True,True,True,True,True,,True,True,,,False,True,True,True
Tennessee,2064,1693.9,,2342.1,1993.0,1735.3,1672.0,1400.4,1809.3,,1765.8,2489.5,,,1510.9,1866.0,1832.0,1742.2,-370.1,,278.1,-71.0,-328.7,-392.0,-663.6,-254.7,,-298.2,425.5,,,-553.1,-198.0,-232.0,-321.8,,True,True,True,False,False,True,,True,False,,,False,True,True,True
Texas,14332,17432.6,,11429.5,12229.0,13564.3,16279.0,9371.5,8919.8,,13297.5,46527.0,,11899.0,16038.5,11006.3,12832.0,13517.2,3803.6,,-2199.5,-1400.0,-64.7,2650.0,-4257.5,-4709.2,,-331.5,32898.0,,-1730.0,2409.5,-2622.7,-797.0,-111.8,,True,True,True,True,False,False,,True,False,,True,True,True,True,True
Utah,433,527.7,,558.7,488.0,418.6,456.0,400.7,415.7,,641.9,740.0,,,492.5,426.4,461.0,552.9,94.7,,125.7,55.0,-14.4,23.0,-32.3,-17.3,,208.9,307.0,,,59.5,-6.6,28.0,119.9,,False,True,True,True,True,True,,False,False,,,True,True,True,False
Vermont,58,62.9,,59.6,57.0,56.5,58.0,57.9,59.4,,66.8,57.0,,,63.5,64.8,57.0,63.4,4.9,,1.6,-1.0,-1.5,0.0,-0.1,1.4,,8.8,-1.0,,,5.5,6.8,-1.0,5.4,,True,True,True,True,True,True,,False,True,,,False,False,True,False
Virginia,2722,3038.0,,2881.3,2417.0,2216.7,2406.0,2477.3,2577.8,,2436.7,2460.0,,,3066.9,3107.3,2439.0,3073.6,316.0,,159.3,-305.0,-505.3,-316.0,-244.7,-144.2,,-285.3,-262.0,,,344.9,385.3,-283.0,351.6,,True,True,False,False,True,True,,True,True,,,False,False,True,False
Washington,1991,2152.4,,2090.9,2119.0,1805.3,1928.0,1827.5,2231.9,,1786.1,2289.0,,,2117.8,2538.0,2056.0,2151.4,161.4,,99.9,128.0,-185.7,-63.0,-163.5,240.9,,-204.9,298.0,,,126.8,547.0,65.0,160.4,,True,True,False,True,False,False,,False,False,,,True,False,True,True
West Virginia,266,199.0,,191.7,173.0,118.6,140.0,140.3,157.3,,138.4,1509.0,,,192.6,220.7,198.0,181.3,-67.0,,-74.3,-93.0,-147.4,-126.0,-125.7,-108.7,,-127.6,1243.0,,,-73.4,-45.3,-68.0,-84.7,,False,False,False,False,False,False,,False,False,,,False,True,False,False
Wisconsin,1209,1276.0,,1470.9,1210.0,1399.2,1127.0,1124.0,1198.9,1390.5,986.2,1030.0,,,1201.6,1585.2,1311.0,1334.2,67.0,,261.9,1.0,190.2,-82.0,-85.0,-10.1,181.5,-222.8,-179.0,,,-7.4,376.2,102.0,125.2,,False,True,False,False,False,True,False,False,False,,,True,False,False,False
Wyoming,42,31.9,,51.7,41.0,33.3,32.0,31.8,40.8,,111.9,37.0,,,31.0,41.9,27.0,32.8,-10.1,,9.7,-1.0,-8.7,-10.0,-10.2,-1.2,,69.9,-5.0,,,-11.0,-0.1,-15.0,-9.2,,True,True,True,True,False,True,,False,True,,,False,True,False,True
US,193693,201277.9,186856.0,191190.2,189997.0,192299.4,188946.0,177614.5,175662.5,,182758.7,269032.0,201570.5,257168.0,196281.8,207517.6,199010.0,195752.6,8276.9,-6145.0,-1810.8,-3004.0,-701.6,-4055.0,-15386.5,-17338.5,,-10242.3,76031.0,8569.5,64167.0,3280.8,14516.6,6009.0,2751.6,True,True,True,True,True,False,False,,False,False,False,False,True,False,True,True
