,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Hawaii,97,67.0,77.0,68.5,64.0,68.0,73.0,120.0,,111.9,84.0,67.2,,,66.0,,87.9,106.2,93.0,69.1,70.9,80.6,,72.6,74.3,106.0,,,61.6,,70.0,43.0,87.0,67.4,,79.0,52.5,76.6,75.0,87.0,,71.6,58.0,-30.0,-20.0,-28.5,-33.0,-29.0,-24.0,23.0,,14.9,-13.0,-29.8,,,-31.0,,-9.1,9.2,-4.0,-27.9,-26.1,-16.4,,-24.4,-22.7,9.0,,,-35.4,,-27.0,-54.0,-10.0,-29.6,,-18.0,-44.5,-20.4,-22.0,-10.0,,-25.4,-39.0,True,True,False,True,True,True,,True,True,True,,,False,,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,True,,True,False,True,True,True,,True,False
Idaho,415,415.6,438.0,429.4,441.0,417.0,394.0,358.0,,393.5,393.0,440.3,399.7,,370.0,365.0,411.3,505.5,406.5,358.2,369.7,432.6,,486.5,392.2,376.0,,,337.1,,416.0,456.5,401.0,397.8,,361.0,378.3,391.8,399.0,407.0,,405.8,363.0,0.6,23.0,14.4,26.0,2.0,-21.0,-57.0,,-21.5,-22.0,25.3,-15.3,,-45.0,-50.0,-3.7,90.5,-8.5,-56.8,-45.3,17.6,,71.5,-22.8,-39.0,,,-77.9,,1.0,41.5,-14.0,-17.2,,-54.0,-36.7,-23.2,-16.0,-8.0,,-9.2,-52.0,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,,False,False
Illinois,8527,8471.9,9033.0,8522.1,8477.0,8520.9,8477.0,8800.0,,8413.4,8465.0,8496.2,8382.1,,8192.0,8462.0,8550.7,8492.8,8483.0,8386.5,8523.9,8934.0,8810.0,8295.1,8587.7,8235.0,,8435.2,8223.3,,8448.0,10473.0,8607.0,8435.9,,8494.0,8752.7,9429.9,8578.0,8475.5,,8491.2,7974.0,-55.1,506.0,-4.9,-50.0,-6.1,-50.0,273.0,,-113.6,-62.0,-30.8,-144.9,,-335.0,-65.0,23.7,-34.2,-44.0,-140.5,-3.1,407.0,283.0,-231.9,60.7,-292.0,,-91.8,-303.7,,-79.0,1946.0,80.0,-91.1,,-33.0,225.7,902.9,51.0,-51.5,,-35.8,-553.0,False,True,True,True,True,False,,False,False,True,False,,False,False,True,True,True,False,True,False,False,False,False,False,,False,False,,False,False,False,False,,True,False,False,True,True,,True,False
Indiana,3437,3468.6,3586.0,3477.0,3490.0,3488.4,3492.0,3446.0,,3359.0,3433.0,3503.0,3524.6,,3557.8,3423.0,3494.4,3363.8,3515.7,3379.3,3455.9,3496.1,3534.0,3477.5,3509.8,3646.0,,3494.1,3421.7,,3491.0,3501.6,3493.0,3438.4,,3451.0,3583.4,3871.6,3495.0,3501.5,,3515.4,3299.0,31.6,149.0,40.0,53.0,51.4,55.0,9.0,,-78.0,-4.0,66.0,87.6,,120.8,-14.0,57.4,-73.2,78.7,-57.7,18.9,59.1,97.0,40.5,72.8,209.0,,57.1,-15.3,,54.0,64.6,56.0,1.4,,14.0,146.4,434.6,58.0,64.5,,78.4,-138.0,False,False,False,False,False,True,,False,True,False,False,,False,True,False,False,False,False,True,False,False,False,False,False,,False,True,,False,False,False,True,,True,False,False,False,False,,False,False
Iowa,1218,1214.1,1282.0,1207.5,1229.0,1207.0,1195.0,1330.0,,1145.3,1072.0,1233.0,1213.7,,1205.0,1171.0,1202.0,1248.2,1190.8,1178.5,1186.0,1210.9,,1124.5,1257.5,1270.0,,1264.4,1138.5,,1191.0,1369.1,1237.0,1183.6,,1175.0,1188.7,1223.1,1202.0,1225.0,,1195.3,1147.0,-3.9,64.0,-10.5,11.0,-11.0,-23.0,112.0,,-72.7,-146.0,15.0,-4.3,,-13.0,-47.0,-16.0,30.2,-27.2,-39.5,-32.0,-7.1,,-93.5,39.5,52.0,,46.4,-79.5,,-27.0,151.1,19.0,-34.4,,-43.0,-29.3,5.1,-16.0,7.0,,-22.7,-71.0,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,False,False
Kansas,526,483.1,592.0,490.2,484.0,486.0,492.0,662.0,,564.8,515.0,492.4,509.4,,497.5,505.0,503.3,589.8,497.1,482.0,497.0,517.3,,519.5,504.0,522.0,,,472.3,,480.0,495.7,476.0,487.8,,492.0,476.8,529.0,495.0,480.0,,489.5,470.0,-42.9,66.0,-35.8,-42.0,-40.0,-34.0,136.0,,38.8,-11.0,-33.6,-16.6,,-28.5,-21.0,-22.7,63.8,-28.9,-44.0,-29.0,-8.7,,-6.5,-22.0,-4.0,,,-53.7,,-46.0,-30.3,-50.0,-38.2,,-34.0,-49.2,3.0,-31.0,-46.0,,-36.5,-56.0,False,True,True,True,True,False,,True,True,True,True,,True,True,True,False,True,False,True,True,,True,True,True,,,False,,False,True,False,True,,True,False,True,True,False,,True,False
Kentucky,1057,1049.1,1060.0,1068.7,1065.0,1058.0,1013.0,1069.0,,1007.7,1037.0,1015.5,1102.9,,1003.3,981.0,1033.7,1060.6,1024.0,938.2,1015.7,982.0,1091.5,1107.4,1072.1,997.0,,1015.3,950.9,,1010.0,1219.2,1216.0,1057.9,,1008.0,980.1,1101.8,1049.0,1043.0,,1005.6,957.0,-7.9,3.0,11.7,8.0,1.0,-44.0,12.0,,-49.3,-20.0,-41.5,45.9,,-53.7,-76.0,-23.3,3.6,-33.0,-118.8,-41.3,-75.0,34.5,50.4,15.1,-60.0,,-41.7,-106.1,,-47.0,162.2,159.0,0.9,,-49.0,-76.9,44.8,-8.0,-14.0,,-51.4,-100.0,True,False,False,True,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,,False,False,False,False,False,,False,False
Louisiana,5202,5428.9,5353.0,5461.8,5359.0,5458.2,5236.0,4901.0,,4660.1,5236.0,5547.8,5227.0,,5280.5,5187.0,5177.1,5002.5,5084.0,5212.0,5198.2,5094.7,,5351.4,5245.4,5344.0,,5752.1,5151.8,,5375.0,5438.3,5174.0,5400.9,,5166.0,,5464.1,5068.0,5407.0,,5244.8,4987.0,226.9,151.0,259.8,157.0,256.2,34.0,-301.0,,-541.9,34.0,345.8,25.0,,78.5,-15.0,-24.9,-199.5,-118.0,10.0,-3.8,-107.3,,149.4,43.4,142.0,,550.1,-50.2,,173.0,236.3,-28.0,198.9,,-36.0,,262.1,-134.0,205.0,,42.8,-215.0,True,False,True,False,True,False,,False,True,False,True,,True,True,True,True,True,True,True,True,,True,True,True,,False,True,,True,False,True,True,,True,,False,True,True,,True,True
Maine,135,142.4,149.0,138.3,138.0,139.0,142.0,130.0,,132.8,134.0,143.4,140.1,,130.7,151.0,137.0,152.2,135.6,138.1,132.4,136.9,,162.3,143.4,132.0,,,145.7,,142.0,160.7,153.0,136.7,,143.0,144.1,142.8,135.0,177.0,,137.8,,7.4,14.0,3.3,3.0,4.0,7.0,-5.0,,-2.2,-1.0,8.4,5.1,,-4.3,16.0,2.0,17.2,0.6,3.1,-2.6,1.9,,27.3,8.4,-3.0,,,10.7,,7.0,25.7,18.0,1.7,,8.0,9.1,7.8,0.0,42.0,,2.8,,False,True,True,True,True,True,,True,True,False,True,,True,False,True,False,True,True,True,True,,False,False,True,,,False,,True,False,False,True,,False,False,False,True,False,,True,
Maryland,3836,3839.6,4131.0,3831.1,3823.0,3833.6,3833.0,3882.0,,3840.2,3802.0,3892.6,3862.0,,3867.1,3788.0,3841.0,3846.6,3833.9,3797.2,3806.7,3774.7,,3784.2,3810.0,3760.0,,3906.6,3890.8,,3847.0,5497.6,3871.0,3818.2,,3828.0,,4155.2,3806.0,3921.0,,3850.8,3799.0,3.6,295.0,-4.9,-13.0,-2.4,-3.0,46.0,,4.2,-34.0,56.6,26.0,,31.1,-48.0,5.0,10.6,-2.1,-38.8,-29.3,-61.3,,-51.8,-26.0,-76.0,,70.6,54.8,,11.0,1661.6,35.0,-17.8,,-8.0,,319.2,-30.0,85.0,,14.8,-37.0,False,False,False,True,True,False,,False,False,False,False,,False,False,False,False,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,,False,False,False,,False,False
Massachusetts,9196,9158.1,9428.0,9192.2,9164.0,9219.5,9162.0,8977.0,,8728.2,9141.0,9242.9,9214.1,,9245.3,9219.0,9227.4,9101.0,9238.6,9045.9,9084.8,9312.4,,9123.1,9150.4,9079.0,,9239.5,9002.9,,9209.0,9357.5,9216.0,9137.8,,9106.0,,9062.8,9186.0,9264.0,,9177.7,8919.0,-37.9,232.0,-3.8,-32.0,23.5,-34.0,-219.0,,-467.8,-55.0,46.9,18.1,,49.3,23.0,31.4,-95.0,42.6,-150.1,-111.2,116.4,,-72.9,-45.6,-117.0,,43.5,-193.1,,13.0,161.5,20.0,-58.2,,-90.0,,-133.2,-10.0,68.0,,-18.3,-277.0,False,True,True,True,True,False,,False,False,False,True,,False,True,True,False,False,False,False,False,,False,False,False,,False,False,,True,False,True,False,,False,,False,True,False,,True,False
Michigan,6911,6850.4,7100.0,6869.4,6851.0,6868.0,6871.0,6845.0,,6804.4,6914.0,6908.0,6908.4,,6900.8,6909.0,6863.5,7019.9,6878.1,6793.0,6855.1,6747.3,7548.5,6783.4,6862.5,6676.0,,6754.4,6814.2,,6858.0,7702.5,6904.0,6816.4,,6838.0,,7515.0,6869.0,6929.5,,6841.8,6737.0,-60.6,189.0,-41.6,-60.0,-43.0,-40.0,-66.0,,-106.6,3.0,-3.0,-2.6,,-10.2,-2.0,-47.5,108.9,-32.9,-118.0,-55.9,-163.7,637.5,-127.6,-48.5,-235.0,,-156.6,-96.8,,-53.0,791.5,-7.0,-94.6,,-73.0,,604.0,-42.0,18.5,,-69.2,-174.0,False,True,True,True,True,False,,False,True,True,True,,True,True,True,False,True,False,True,False,False,False,True,False,,False,False,,True,False,True,False,,False,,False,True,True,,False,False
Minnesota,1958,1987.3,2113.0,2137.7,1990.0,2112.7,1985.0,2014.0,,1976.9,1878.0,2021.9,1964.5,,2024.0,1908.0,1966.6,1980.0,1966.3,1934.0,2016.4,1943.8,2053.0,1932.9,1952.5,1878.0,,2042.8,1933.2,,1984.0,2181.8,2006.0,2061.2,,1944.0,2039.4,2155.7,2037.0,2168.5,,1975.1,2041.0,29.3,155.0,179.7,32.0,154.7,27.0,56.0,,18.9,-80.0,63.9,6.5,,66.0,-50.0,8.6,22.0,8.3,-24.0,58.4,-14.2,95.0,-25.1,-5.5,-80.0,,84.8,-24.8,,26.0,223.8,48.0,103.2,,-14.0,81.4,197.7,79.0,210.5,,17.1,83.0,False,False,False,False,True,False,,True,False,False,True,,False,False,True,True,True,True,False,True,False,True,True,False,,False,True,,True,False,False,False,,True,False,False,False,False,,True,False
Mississippi,2685,2685.7,2704.0,2719.7,2689.0,2707.9,2671.0,2507.0,,2096.3,2629.0,2757.3,2558.7,,2670.7,2707.0,2703.8,2573.6,2658.3,2646.6,2569.1,2668.8,,2739.6,2674.8,2667.0,,3005.5,2488.6,,2745.0,2075.4,2750.0,2674.3,,2591.0,2634.3,2720.7,2569.0,2759.0,,2615.5,2655.0,0.7,19.0,34.7,4.0,22.9,-14.0,-178.0,,-588.7,-56.0,72.3,-126.3,,-14.3,22.0,18.8,-111.4,-26.7,-38.4,-115.9,-16.2,,54.6,-10.2,-18.0,,320.5,-196.4,,60.0,-609.6,65.0,-10.7,,-94.0,-50.7,35.7,-116.0,74.0,,-69.5,-30.0,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,False,False
