,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,6287,5719.7,,6359.1,6392.0,5557.0,4614.0,4493.9,4015.9,,6099.5,6342.8,5238.0,5825.9,-567.3,,72.1,105.0,-730.0,-1673.0,-1793.1,-2271.1,,-187.5,55.8,-1049.0,-461.1,,True,True,False,False,False,False,,True,True,False,True
Hawaii,97,39.7,,48.5,29.0,27.6,,50.4,30.3,,29.6,161.7,84.0,52.0,-57.3,,-48.5,-68.0,-69.4,,-46.6,-66.7,,-67.4,64.7,-13.0,-45.0,,True,False,False,,True,False,,False,False,True,True
Idaho,415,331.1,,690.3,347.0,234.3,276.0,227.8,282.2,,280.4,293.9,318.0,403.7,-83.9,,275.3,-68.0,-180.7,-139.0,-187.2,-132.8,,-134.6,-121.1,-97.0,-11.3,,False,True,False,False,False,False,,False,False,False,True
Illinois,8527,8289.4,,8518.5,7659.0,8138.4,8150.0,8150.7,8904.0,,8464.4,11504.5,8416.0,8479.6,-237.6,,-8.5,-868.0,-388.6,-377.0,-376.3,377.0,,-62.6,2977.5,-111.0,-47.4,,True,False,False,False,False,False,,True,False,True,True
Indiana,3437,3458.4,,3392.9,3304.0,3192.3,3242.0,3246.2,3596.5,,3459.0,5128.3,3712.0,3781.4,21.4,,-44.1,-133.0,-244.7,-195.0,-190.8,159.5,,22.0,1691.3,275.0,344.4,,False,False,False,False,False,False,,False,False,False,False
Iowa,1218,1075.9,,1241.6,931.0,1242.8,1004.0,945.0,1005.9,,967.3,1271.0,1017.0,1184.7,-142.1,,23.6,-287.0,24.8,-214.0,-273.0,-212.1,,-250.7,53.0,-201.0,-33.3,,True,False,True,False,False,False,,False,True,False,True
Kansas,526,481.9,,734.2,371.0,377.6,476.0,399.1,429.3,,470.4,594.9,443.0,484.6,-44.1,,208.2,-155.0,-148.4,-50.0,-126.9,-96.7,,-55.6,68.9,-83.0,-41.4,,False,False,False,False,False,False,,False,False,False,True
Kentucky,1057,905.7,,1149.3,1017.0,937.4,839.0,874.8,1333.2,,889.6,1538.5,931.0,1193.4,-151.3,,92.3,-40.0,-119.6,-218.0,-182.2,276.2,,-167.4,481.5,-126.0,136.4,,True,True,True,False,False,False,,False,False,True,True
Louisiana,5202,5271.6,,5170.1,5226.0,4493.6,5336.0,4824.2,3929.7,,5308.6,6727.5,4918.0,4971.8,69.6,,-31.9,24.0,-708.4,134.0,-377.8,-1272.3,,106.6,1525.5,-284.0,-230.2,,True,True,False,False,False,False,,False,False,False,False
Maine,135,132.7,,124.2,125.0,147.6,152.0,127.0,161.2,,120.7,159.0,139.0,140.5,-2.3,,-10.8,-10.0,12.6,17.0,-8.0,26.2,,-14.3,24.0,4.0,5.5,,False,False,False,False,False,False,,False,False,False,False
Maryland,3836,3872.0,,3884.2,3674.0,3920.0,3867.0,3764.7,3787.4,,3910.0,5357.1,4049.0,4252.9,36.0,,48.2,-162.0,84.0,31.0,-71.3,-48.6,,74.0,1521.1,213.0,416.9,,False,False,False,True,False,False,,False,False,False,False
Massachusetts,9196,9201.0,,8611.1,8587.0,9466.3,8787.0,9260.9,8473.7,,8957.4,10210.5,9458.0,9042.8,5.0,,-584.9,-609.0,270.3,-409.0,64.9,-722.3,,-238.6,1014.5,262.0,-153.2,,False,False,False,False,False,False,,False,False,False,False
Michigan,6911,6633.1,,6895.1,6737.0,6979.0,6843.0,6699.5,7589.9,,6640.6,8960.3,6577.0,6654.0,-277.9,,-15.9,-174.0,68.0,-68.0,-211.5,678.9,,-270.4,2049.3,-334.0,-257.0,,True,True,True,True,True,False,,True,False,False,True
Minnesota,1958,1840.3,,2064.3,1725.0,1790.1,1923.0,1815.2,1871.3,,1836.6,3040.4,1887.0,1953.3,-117.7,,106.3,-233.0,-167.9,-35.0,-142.8,-86.7,,-121.4,1082.4,-71.0,-4.7,,True,False,False,True,False,True,,False,False,True,True
Mississippi,2685,2439.3,,2650.0,2587.0,2173.4,2103.0,2136.3,2227.6,,2257.4,3234.9,2440.0,2487.4,-245.7,,-35.0,-98.0,-511.6,-582.0,-548.7,-457.4,,-427.6,549.9,-245.0,-197.6,,True,True,False,False,False,False,,False,False,True,True
Missouri,1728,1709.6,,2079.0,2120.0,1469.9,1430.0,1580.7,1617.0,,1866.8,3551.3,2036.0,1844.8,-18.4,,351.0,392.0,-258.1,-298.0,-147.3,-111.0,,138.8,1823.3,308.0,116.8,,False,False,False,False,False,False,,False,False,False,False
Montana,133,107.7,,166.5,80.0,137.0,73.0,93.2,163.6,,68.1,135.3,87.0,127.9,-25.3,,33.5,-53.0,4.0,-60.0,-39.8,30.6,,-64.9,2.3,-46.0,-5.1,,False,False,True,False,False,False,,False,True,False,True
Nebraska,437,418.9,,486.0,354.0,330.2,375.0,376.6,395.9,,387.2,505.8,448.0,422.3,-18.1,,49.0,-83.0,-106.8,-62.0,-60.4,-41.1,,-49.8,68.8,11.0,-14.7,,False,False,False,False,False,False,,False,False,True,True
Nevada,1449,1330.6,,1513.7,1446.0,1247.9,1301.0,1037.3,961.6,,1274.3,1403.3,1197.0,1519.4,-118.4,,64.7,-3.0,-201.1,-148.0,-411.7,-487.4,,-174.7,-45.7,-252.0,70.4,,True,True,False,False,False,False,,False,True,False,True
New Hampshire,435,484.4,,459.2,433.0,435.0,416.0,487.5,481.1,,539.2,541.4,542.0,477.8,49.4,,24.2,-2.0,0.0,-19.0,52.5,46.1,,104.2,106.4,107.0,42.8,,True,True,True,True,False,True,,False,False,False,True
New Jersey,16027,16342.4,,16376.3,16105.0,17188.2,16015.0,16952.8,16196.3,,15839.7,17119.4,16646.0,16313.3,315.4,,349.3,78.0,1161.2,-12.0,925.8,169.3,,-187.3,1092.4,619.0,286.3,,False,True,False,True,False,True,,True,False,False,True
New Mexico,821,908.9,,821.3,778.0,801.7,751.0,744.8,805.0,,881.5,1060.7,836.0,883.5,87.9,,0.3,-43.0,-19.3,-70.0,-76.2,-16.0,,60.5,239.7,15.0,62.5,,True,True,True,True,True,True,,True,False,True,True
New York,33023,33555.7,,32874.8,32675.0,34152.0,33146.0,33177.8,28513.1,,33137.6,35141.1,33533.0,33349.9,531.7,,-149.2,-349.0,1128.0,122.0,153.8,-4510.9,,113.6,2117.1,509.0,325.9,,True,True,False,True,True,False,,True,False,True,True
North Carolina,3047,2948.4,,3076.4,3676.0,2551.7,2520.0,2348.0,2226.9,,2850.5,3121.2,2503.0,2926.5,-98.6,,29.4,629.0,-495.3,-527.0,-699.0,-820.1,,-196.5,74.2,-544.0,-120.5,,True,False,False,False,False,False,,False,True,False,False
North Dakota,167,147.0,,183.2,119.0,137.6,116.0,135.7,179.0,,213.5,216.7,191.0,161.5,-20.0,,16.2,-48.0,-29.4,-51.0,-31.3,12.0,,46.5,49.7,24.0,-5.5,,True,False,False,False,False,True,,False,False,False,True
Ohio,4411,4219.0,,4452.3,4274.0,3715.2,3766.0,3739.5,4540.9,,4575.1,5602.0,4194.0,4362.3,-192.0,,41.3,-137.0,-695.8,-645.0,-671.5,129.9,,164.1,1191.0,-217.0,-48.7,,True,True,False,False,False,True,,True,False,False,True
Oklahoma,899,804.6,,980.1,920.0,866.9,852.0,798.6,699.9,,758.8,1408.8,985.0,766.4,-94.4,,81.1,21.0,-32.1,-47.0,-100.4,-199.1,,-140.2,509.8,86.0,-132.6,,True,True,True,True,False,False,,False,False,True,False
Oregon,505,487.9,,492.1,515.0,476.9,379.0,421.9,741.4,,417.2,549.7,473.0,577.7,-17.1,,-12.9,10.0,-28.1,-126.0,-83.1,236.4,,-87.8,44.7,-32.0,72.7,,True,True,False,False,False,False,,False,False,False,False
Pennsylvania,7829,7847.0,,7880.7,7476.0,7714.4,7758.0,7533.5,8107.7,,7780.7,9977.5,7864.0,8118.1,18.0,,51.7,-353.0,-114.6,-71.0,-295.5,278.7,,-48.3,2148.5,35.0,289.1,,False,False,False,False,False,False,,False,False,False,False
Rhode Island,1071,1084.3,,1160.5,1034.0,1064.4,1107.0,1091.4,1054.8,,1081.8,1159.6,1061.0,1105.6,13.3,,89.5,-37.0,-6.6,36.0,20.4,-16.2,,10.8,88.6,-10.0,34.6,,False,False,True,False,False,False,,True,False,True,False
South Carolina,3040,3795.0,,2654.4,3201.0,2176.9,2434.0,2596.6,1614.1,,3565.8,2608.1,3057.0,3477.6,755.0,,-385.6,161.0,-863.1,-606.0,-443.4,-1425.9,,525.8,-431.9,17.0,437.6,,True,True,False,True,True,False,,True,True,True,True
South Dakota,183,157.3,,145.0,157.0,187.3,183.0,163.8,185.8,,195.7,186.8,180.0,173.7,-25.7,,-38.0,-26.0,4.3,0.0,-19.2,2.8,,12.7,3.8,-3.0,-9.3,,False,False,True,True,True,True,,True,True,True,True
Tennessee,2064,1817.3,,2762.0,2116.0,1651.7,1643.0,1787.6,1659.4,,1738.5,1935.1,1604.0,1815.0,-246.7,,698.0,52.0,-412.3,-421.0,-276.4,-404.6,,-325.5,-128.9,-460.0,-249.0,,False,True,False,False,False,False,,False,True,False,False
Texas,14332,12372.0,,12378.5,11675.0,14600.3,14150.0,7087.1,5936.9,11498.0,10981.7,8921.9,8899.0,11960.9,-1238.0,,-1231.5,-1935.0,990.3,540.0,-6522.9,-7673.1,-2112.0,-2628.3,-4688.1,-4711.0,-1649.1,,True,False,True,True,False,False,False,False,False,False,False
Utah,433,486.6,,695.6,573.0,561.0,456.0,364.3,334.0,,455.6,410.3,387.0,562.7,53.6,,262.6,140.0,128.0,23.0,-68.7,-99.0,,22.6,-22.7,-46.0,129.7,,False,False,False,True,False,False,,True,True,True,False
Vermont,58,56.0,,62.0,56.0,56.7,56.0,58.5,59.7,,57.3,73.2,56.0,62.6,-2.0,,4.0,-2.0,-1.3,-2.0,0.5,1.7,,-0.7,15.2,-2.0,4.6,,False,False,True,False,True,True,,True,False,False,False
Virginia,2722,2427.7,,2701.1,2287.0,2410.4,2332.0,2384.4,2576.8,,2417.5,3315.3,2142.0,2614.6,-294.3,,-20.9,-435.0,-311.6,-390.0,-337.6,-145.2,,-304.5,593.3,-580.0,-107.4,,True,False,False,False,False,True,,False,False,False,True
Washington,1991,1871.3,,2053.1,2149.0,2138.8,1783.0,1687.0,2478.5,,1955.0,2522.3,1822.0,1781.4,-119.7,,62.1,158.0,147.8,-208.0,-304.0,487.5,,-36.0,531.3,-169.0,-209.6,,True,False,False,False,False,False,,True,False,False,False
West Virginia,266,123.6,,214.2,172.0,116.1,116.0,127.2,137.8,,117.3,236.6,129.0,133.7,-142.4,,-51.8,-94.0,-149.9,-150.0,-138.8,-128.2,,-148.7,-29.4,-137.0,-132.3,,True,True,False,False,True,True,,False,True,True,True
Wisconsin,1209,1221.1,,1531.2,1127.0,979.1,1047.0,1051.7,1159.5,,1275.6,1761.6,1209.0,1374.1,12.1,,322.2,-82.0,-229.9,-162.0,-157.3,-49.5,,66.6,552.6,0.0,165.1,,False,False,False,False,False,False,,False,False,True,False
Wyoming,42,25.0,,58.9,41.0,21.5,26.0,34.1,47.2,,26.0,49.6,39.0,33.2,-17.0,,16.9,-1.0,-20.5,-16.0,-7.9,5.2,,-16.0,7.6,-3.0,-8.8,,True,True,False,True,True,True,,True,True,True,True
US,193693,190827.6,183010.0,193674.1,191801.0,189481.6,181198.0,169933.4,166793.4,217192.0,188094.5,214061.8,173598.0,191292.7,-2144.4,-9962.0,702.1,-1171.0,-3490.4,-11774.0,-23038.6,-26178.6,24220.0,-4877.5,21089.8,-19374.0,-1679.3,False,True,True,False,False,False,False,False,False,False,False,True
