,actual_deaths,Baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,6287,5942.7,,5461.0,6066.8,6106.4,6920.9,5488.0,,4992.7,5641.0,,,5571.7,,6297.4,5532.0,5740.7,-344.3,,-826.0,-220.2,-180.6,633.9,-799.0,,-1294.3,-646.0,,,-715.3,,10.4,-755.0,-546.3,,False,True,True,False,False,,False,False,,,False,,True,False,False
Hawaii,97,55.3,,74.0,28.2,136.8,133.2,66.6,,65.8,32.0,,,57.5,,92.9,31.0,64.4,-41.7,,-23.0,-68.8,39.8,36.2,-30.4,,-31.2,-65.0,,,-39.5,,-4.1,-66.0,-32.6,,True,False,True,True,True,,True,False,,,True,,True,False,True
Idaho,415,431.3,,365.0,477.0,759.0,543.7,373.0,,613.1,1495.5,,,312.6,,382.2,450.0,464.6,16.3,,-50.0,62.0,344.0,128.7,-42.0,,198.1,1080.5,,,-102.4,,-32.8,35.0,49.6,,False,False,False,False,False,,False,False,,,False,,False,False,False
Illinois,8527,8481.3,,7942.0,8237.9,8878.9,8380.9,8252.2,9793.0,7902.6,8090.0,,,8586.7,,10236.0,8702.0,8668.7,-45.7,,-585.0,-289.1,351.9,-146.1,-274.8,1266.0,-624.4,-437.0,,,59.7,,1709.0,175.0,141.7,,False,False,False,False,False,False,False,False,,,False,,False,False,False
Indiana,3437,3361.6,,3362.0,3451.8,3577.0,3699.8,3330.4,3555.5,3170.3,3568.0,,,3270.5,,4581.8,3425.0,3552.2,-75.4,,-75.0,14.8,140.0,262.8,-106.6,118.5,-266.7,131.0,,,-166.5,,1144.8,-12.0,115.2,,True,True,False,False,False,False,False,False,,,False,,False,True,False
Iowa,1218,1188.4,,987.0,1114.7,1361.1,1160.0,1066.7,,1249.4,1373.0,,,1105.1,,1232.7,1184.0,1176.5,-29.6,,-231.0,-103.3,143.1,-58.0,-151.3,,31.4,155.0,,,-112.9,,14.7,-34.0,-41.5,,False,False,False,False,False,,False,False,,,False,,True,False,False
Kansas,526,472.3,,492.0,644.7,774.0,546.3,438.5,,541.6,560.5,,,438.0,,528.5,471.0,504.0,-53.7,,-34.0,118.7,248.0,20.3,-87.5,,15.6,34.5,,,-88.0,,2.5,-55.0,-22.0,,True,False,False,True,False,,True,True,,,False,,True,False,True
Kentucky,1057,923.6,,988.0,1193.8,1357.3,1059.0,875.2,1028.5,1075.8,939.5,,,892.3,,1177.4,933.0,980.8,-133.4,,-69.0,136.8,300.3,2.0,-181.8,-28.5,18.8,-117.5,,,-164.7,,120.4,-124.0,-76.2,,True,False,False,True,False,True,True,True,,,False,,True,True,True
Louisiana,5202,5506.4,,4904.0,5369.4,5260.3,6394.3,5084.8,,4774.7,6587.5,,,5132.4,,5959.2,4789.0,5157.3,304.4,,-298.0,167.4,58.3,1192.3,-117.2,,-427.3,1385.5,,,-69.6,,757.2,-413.0,-44.7,,True,True,True,False,True,,False,False,,,True,,False,False,True
Maine,135,134.7,,128.0,135.1,169.6,137.7,131.3,,164.9,132.0,,,129.5,,141.6,132.0,135.1,-0.3,,-7.0,0.1,34.6,2.7,-3.7,,29.9,-3.0,,,-5.5,,6.6,-3.0,0.1,,False,True,False,False,False,,False,False,,,False,,False,False,True
Maryland,3836,3925.0,,3857.0,3940.9,4020.3,4220.1,3767.9,,3754.9,3806.0,,,3842.3,,4568.7,3844.0,4077.7,89.0,,21.0,104.9,184.3,384.1,-68.1,,-81.1,-30.0,,,6.3,,732.7,8.0,241.7,,True,False,False,False,True,,True,True,,,True,,False,True,False
Massachusetts,9196,9206.1,,8753.0,9085.1,9311.8,9095.0,9077.5,,8783.1,8827.0,,,9031.3,,9750.4,9405.0,9297.7,10.1,,-443.0,-110.9,115.8,-101.0,-118.5,,-412.9,-369.0,,,-164.7,,554.4,209.0,101.7,,False,False,False,False,False,,False,False,,,False,,False,False,False
Michigan,6911,6820.1,,6793.0,6830.8,7514.0,6780.1,6678.5,7782.0,6640.1,6602.0,,,6773.4,,8004.8,6779.0,6855.6,-90.9,,-118.0,-80.2,603.0,-130.9,-232.5,871.0,-270.9,-309.0,,,-137.6,,1093.8,-132.0,-55.4,,False,True,False,False,False,False,False,False,,,False,,False,False,True
Minnesota,1958,1911.7,,1782.0,1840.7,2157.6,2033.3,1844.0,1907.0,1723.4,1722.0,,,1889.3,,2411.8,1918.0,1964.9,-46.3,,-176.0,-117.3,199.6,75.3,-114.0,-51.0,-234.6,-236.0,,,-68.7,,453.8,-40.0,6.9,,False,False,False,False,False,False,False,False,,,False,,False,True,True
Mississippi,2685,2833.4,,2693.0,2821.2,2695.3,2765.3,2343.4,,2808.5,3478.0,,,2462.2,,2785.1,2498.0,2706.8,148.4,,8.0,136.2,10.3,80.3,-341.6,,123.5,793.0,,,-222.8,,100.1,-187.0,21.8,,True,True,True,True,False,,True,False,,,False,,True,False,True
Missouri,1728,1615.7,,1850.0,2132.6,2071.3,1837.9,1480.1,,1587.8,1639.0,,,1640.6,,2002.8,1610.0,1682.5,-112.3,,122.0,404.6,343.3,109.9,-247.9,,-140.2,-89.0,,,-87.4,,274.8,-118.0,-45.5,,False,False,False,True,False,,False,True,,,True,,False,False,True
Montana,133,143.0,,114.0,119.9,234.3,216.5,115.3,,213.5,205.5,,,108.0,,133.5,156.0,146.5,10.0,,-19.0,-13.1,101.3,83.5,-17.7,,80.5,72.5,,,-25.0,,0.5,23.0,13.5,,False,False,False,False,False,,False,False,,,False,,True,False,False
Nebraska,437,408.1,,377.0,424.9,564.7,441.4,378.1,,447.9,371.0,,,386.7,,447.3,406.0,424.7,-28.9,,-60.0,-12.1,127.7,4.4,-58.9,,10.9,-66.0,,,-50.3,,10.3,-31.0,-12.3,,False,True,False,True,False,,True,False,,,False,,True,False,True
Nevada,1449,1564.1,,1303.0,1494.4,1636.6,1639.4,1276.3,,1568.3,2424.0,,,1363.6,,1436.3,1400.0,1471.8,115.1,,-146.0,45.4,187.6,190.4,-172.7,,119.3,975.0,,,-85.4,,-12.7,-49.0,22.8,,False,True,False,False,False,,False,False,,,True,,True,True,True
New Hampshire,435,428.7,,431.0,460.7,475.8,434.7,450.8,,435.6,422.0,,,444.7,,475.7,437.0,464.8,-6.3,,-4.0,25.7,40.8,-0.3,15.8,,0.6,-13.0,,,9.7,,40.7,2.0,29.8,,True,False,False,True,False,,True,False,,,False,,False,True,False
New Jersey,16027,16058.6,,15916.0,16154.2,16206.0,16213.0,16285.0,,16156.1,15951.0,,,16097.0,,17215.7,16177.0,16106.7,31.6,,-111.0,127.2,179.0,186.0,258.0,,129.1,-76.0,,,70.0,,1188.7,150.0,79.7,,False,False,False,False,False,,False,False,,,False,,False,False,False
New Mexico,821,835.6,,824.0,888.6,1066.9,910.4,761.8,,867.4,975.0,,,776.7,,887.9,804.0,857.2,14.6,,3.0,67.6,245.9,89.4,-59.2,,46.4,154.0,,,-44.3,,66.9,-17.0,36.2,,True,False,False,False,False,,False,False,,,False,,False,False,False
New York,33023,33084.9,,32793.0,33074.0,33591.3,33329.1,33132.5,,32551.8,32820.0,,,32995.8,,34448.4,33009.0,33060.3,42.9,,-249.0,32.0,549.3,287.1,90.5,,-490.2,-222.0,,,-46.2,,1406.4,-33.0,18.3,,False,True,False,False,False,,False,False,,,False,,False,True,True
North Carolina,3047,3207.1,,2900.0,3110.1,4050.7,3658.4,2760.0,,2725.4,4193.5,,,3034.3,,3008.0,2922.0,3042.6,160.1,,-147.0,63.1,1003.7,611.4,-287.0,,-321.6,1146.5,,,-12.7,,-39.0,-125.0,-4.4,,True,True,False,False,False,,False,False,,,True,,True,True,True
North Dakota,167,146.0,,124.0,136.1,222.6,184.2,136.2,,141.4,167.0,,,157.3,,177.3,163.0,150.2,-21.0,,-43.0,-30.9,55.6,17.2,-30.8,,-25.6,0.0,,,-9.7,,10.3,-4.0,-16.8,,False,False,False,True,False,,False,True,,,True,,True,True,True
Ohio,4411,4349.0,,4402.0,4815.0,5387.5,4851.5,4136.4,4440.0,4192.6,5217.0,,,4092.3,,5060.5,4356.0,4451.8,-62.0,,-9.0,404.0,976.5,440.5,-274.6,29.0,-218.4,806.0,,,-318.7,,649.5,-55.0,40.8,,True,False,False,False,False,True,False,False,,,False,,False,True,True
Oklahoma,899,860.4,,852.0,1036.7,1387.1,1088.8,727.9,,863.3,1413.0,,,784.7,,953.5,826.0,864.7,-38.6,,-47.0,137.7,488.1,189.8,-171.1,,-35.7,514.0,,,-114.3,,54.5,-73.0,-34.3,,False,False,False,False,False,,True,False,,,False,,False,False,True
Oregon,505,501.7,,493.0,643.9,857.6,536.2,461.5,,578.2,671.0,,,423.9,,531.4,488.0,536.2,-3.3,,-12.0,138.9,352.6,31.2,-43.5,,73.2,166.0,,,-81.1,,26.4,-17.0,31.2,,False,False,False,False,False,,False,False,,,False,,False,False,False
Pennsylvania,7829,7738.4,,7451.0,7734.1,8622.0,7806.7,7545.6,,7520.3,8718.0,,,7708.3,,8851.8,7692.0,7810.5,-90.6,,-378.0,-94.9,793.0,-22.3,-283.4,,-308.7,889.0,,,-120.7,,1022.8,-137.0,-18.5,,False,False,False,True,False,,False,False,,,False,,False,False,True
Rhode Island,1071,1048.0,,1028.0,1040.7,1035.8,1079.4,1046.0,,1028.6,1024.0,,,1065.1,,1150.1,1033.0,1063.9,-12.0,,-32.0,-19.3,-24.2,19.4,-14.0,,-31.4,-36.0,,,5.1,,90.1,-27.0,3.9,,False,False,False,False,False,,False,False,,,True,,False,False,True
South Carolina,3040,3264.7,,3025.0,3220.2,3275.4,3448.8,2716.4,,4146.9,2548.0,,,2780.1,,2873.0,2904.0,3195.9,224.7,,-15.0,180.2,235.4,408.8,-323.6,,1106.9,-492.0,,,-259.9,,-167.0,-136.0,155.9,,True,True,False,False,False,,False,False,,,False,,True,True,True
South Dakota,183,199.4,,167.0,171.9,208.5,210.9,191.0,,195.5,192.0,,,191.7,,201.3,236.0,187.6,16.4,,-16.0,-11.1,25.5,27.9,8.0,,12.5,9.0,,,8.7,,18.3,53.0,4.6,,True,True,False,False,True,,True,True,,,True,,False,False,True
Tennessee,2064,1951.6,,1855.0,1668.3,2536.7,2085.7,1722.6,,1875.9,2223.0,,,1893.8,,1849.2,1661.0,1838.9,-112.4,,-209.0,-395.7,472.7,21.7,-341.4,,-188.1,159.0,,,-170.2,,-214.8,-403.0,-225.1,,False,False,False,True,False,,False,False,,,False,,False,False,False
Texas,14340,16811.9,,13643.0,13937.7,14612.5,15137.8,15230.0,,19693.0,15055.0,,13922.0,12941.2,,13661.1,14552.0,15228.2,2476.9,,-692.0,-397.3,277.5,802.8,895.0,,5358.0,720.0,,-413.0,-1393.8,,-673.9,217.0,893.2,,True,True,True,True,True,,False,True,,True,True,,True,True,True
Utah,433,457.4,,443.0,474.4,790.5,503.9,427.2,,611.6,477.0,,,418.8,,427.6,431.0,491.6,24.4,,10.0,41.4,357.5,70.9,-5.8,,178.6,44.0,,,-14.2,,-5.4,-2.0,58.6,,True,False,False,False,True,,False,False,,,True,,True,True,False
Vermont,58,62.9,,59.0,58.7,74.9,61.1,60.1,,64.3,62.0,,,61.1,,65.2,58.0,62.9,4.9,,1.0,0.7,16.9,3.1,2.1,,6.3,4.0,,,3.1,,7.2,0.0,4.9,,True,True,False,True,True,,False,True,,,True,,False,True,False
Virginia,2722,2850.6,,2510.0,3263.7,3543.1,2990.4,2687.8,,2624.0,2635.0,,,2617.0,,3278.9,2550.0,3082.8,128.6,,-212.0,541.7,821.1,268.4,-34.2,,-98.0,-87.0,,,-105.0,,556.9,-172.0,360.8,,False,False,False,False,True,,True,True,,,True,,False,False,False
Washington,1991,2134.9,,2109.0,2075.8,2544.5,2263.2,1942.9,,2169.0,2930.0,,,1992.1,,2331.8,2104.0,2186.4,143.9,,118.0,84.8,553.5,272.2,-48.1,,178.0,939.0,,,1.1,,340.8,113.0,195.4,,True,True,False,False,True,,False,False,,,True,,False,True,False
West Virginia,266,245.9,,180.0,167.4,314.8,209.3,166.9,,165.2,254.5,,,180.2,,215.0,193.0,236.7,-20.1,,-86.0,-98.6,48.8,-56.7,-99.1,,-100.8,-11.5,,,-85.8,,-51.0,-73.0,-29.3,,False,False,False,False,False,,False,True,,,False,,False,False,False
Wisconsin,1261,1240.9,,1186.0,1327.0,1843.8,1392.3,1165.8,1470.0,1254.2,2787.5,,,1156.8,,1477.7,1233.0,1310.0,30.9,,-24.0,117.0,633.8,182.3,-44.2,260.0,44.2,1577.5,,,-53.2,,267.7,23.0,100.0,,True,False,False,False,False,False,False,False,,,False,,False,True,False
Wyoming,42,37.7,,41.0,26.9,85.3,56.0,32.0,,51.7,32.0,,,37.4,,39.1,29.0,34.7,-4.3,,-1.0,-15.1,43.3,14.0,-10.0,,9.7,-10.0,,,-4.6,,-2.9,-13.0,-7.3,,True,False,False,False,False,,False,False,,,False,,True,False,False
US,193755,198749.7,187463.0,189053.0,196517.1,211281.0,206772.8,183847.8,,196191.7,203966.5,195933.0,194370.0,189204.3,190561.0,205178.2,190964.0,196641.1,5042.7,-6244.0,-4654.0,2810.1,17574.0,13065.8,-9859.2,,2484.7,10259.5,2226.0,663.0,-4502.7,-3146.0,11471.2,-2743.0,2934.1,False,True,True,False,False,False,,True,False,True,True,True,True,False,True,True
