,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,73547,76437.0,89597.0,,116400.8,57718.0,54481.6,63033.0,37923.2,190011.2,63736.8,88149.7,131525.0,,130151.1,130116.7,110214.5,59197.1,132690.9,2890.0,16050.0,,42853.8,-15829.0,-19065.4,-10514.0,-35623.8,116464.2,-9810.2,14602.7,57978.0,,56604.1,56569.7,36667.5,-14349.9,59143.9,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Hawaii,1992,462.0,526.0,,844.1,128.0,13.3,,2087.5,2128.8,409.7,628.1,571.0,,304.7,604.1,,405.7,1128.8,-1530.0,-1466.0,,-1147.9,-1864.0,-1978.7,,95.5,136.8,-1582.3,-1363.9,-1421.0,,-1687.3,-1387.9,,-1586.3,-863.2,True,,True,False,False,,True,True,False,True,True,,False,True,,False,True
Idaho,10194,11391.0,12675.0,,21315.3,7197.0,5598.9,12335.0,7956.8,56060.2,12518.2,13671.9,21109.0,,12268.7,13730.4,,13424.1,11703.5,1197.0,2481.0,,11121.3,-2997.0,-4595.1,2141.0,-2237.2,45866.2,2324.2,3477.9,10915.0,,2074.7,3536.4,,3230.1,1509.5,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Illinois,32213,23073.0,23871.0,,23334.2,909.0,30468.4,25419.0,44912.0,25324.1,18762.2,26447.0,39280.0,,25489.2,27204.8,15233.7,30770.9,25190.2,-9140.0,-8342.0,,-8878.8,-31304.0,-1744.6,-6794.0,12699.0,-6888.9,-13450.8,-5766.0,7067.0,,-6723.8,-5008.2,-16979.3,-1442.1,-7022.8,True,,True,False,True,True,False,True,False,True,True,,True,True,False,True,True
Indiana,17633,13725.0,17890.0,,14289.2,4450.0,24347.3,13305.0,19102.7,27909.4,14374.8,20549.2,24287.0,,12207.7,22914.7,12598.2,32836.7,13963.9,-3908.0,257.0,,-3343.8,-13183.0,6714.3,-4328.0,1469.7,10276.4,-3258.2,2916.2,6654.0,,-5425.3,5281.7,-5034.8,15203.7,-3669.1,True,,True,False,False,False,True,False,True,True,False,,False,False,False,False,True
Iowa,10222,10965.0,10799.0,,14599.2,3773.0,10071.9,8353.0,10813.5,13170.4,9414.1,12702.5,15963.0,,7977.9,10114.4,8883.7,9896.9,16133.7,743.0,577.0,,4377.2,-6449.0,-150.1,-1869.0,591.5,2948.4,-807.9,2480.5,5741.0,,-2244.1,-107.6,-1338.3,-325.1,5911.7,True,,False,False,True,False,True,False,False,False,False,,False,True,False,True,False
Kansas,8752,9018.0,8898.0,,15100.0,2410.0,2849.3,9102.0,8234.4,23051.8,6703.8,10235.7,14724.0,,7360.8,9659.1,,7250.7,24799.0,266.0,146.0,,6348.0,-6342.0,-5902.7,350.0,-517.6,14299.8,-2048.2,1483.7,5972.0,,-1391.2,907.1,,-1501.3,16047.0,True,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Kentucky,12394,9189.0,14362.0,,10046.7,7831.0,14579.3,9792.0,13304.8,27473.5,16635.5,16945.3,19093.0,,232995.2,14678.2,12650.2,42336.4,4050.5,-3205.0,1968.0,,-2347.3,-4563.0,2185.3,-2602.0,910.8,15079.5,4241.5,4551.3,6699.0,,220601.2,2284.2,256.2,29942.4,-8343.5,True,,True,False,True,True,True,False,False,False,False,,False,True,True,False,False
Louisiana,40156,35361.0,50089.0,,55817.4,25228.0,46601.9,45614.0,23569.0,94864.1,47669.5,47198.1,56720.0,,27892.0,70126.8,,33951.1,22517.0,-4795.0,9933.0,,15661.4,-14928.0,6445.9,5458.0,-16587.0,54708.1,7513.5,7042.1,16564.0,,-12264.0,29970.8,,-6204.9,-17639.0,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Maine,384,375.0,464.0,,334.0,276.0,1034.6,110.0,1042.5,266.1,399.4,662.6,278.0,,423.4,419.5,,308.9,1026.5,-9.0,80.0,,-50.0,-108.0,650.6,-274.0,658.5,-117.9,15.4,278.6,-106.0,,39.4,35.5,,-75.1,642.5,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Maryland,17375,14217.0,17520.0,,8212.4,2656.0,23242.9,9672.0,11961.6,17064.1,13400.2,19938.3,23687.0,,11626.1,22526.3,10805.8,29600.2,13745.5,-3158.0,145.0,,-9162.6,-14719.0,5867.9,-7703.0,-5413.4,-310.9,-3974.8,2563.3,6312.0,,-5748.9,5151.3,-6569.2,12225.2,-3629.5,True,,False,False,False,False,False,True,False,True,False,,False,False,False,False,False
Massachusetts,5892,5520.0,5567.0,,3880.9,441.0,36299.0,4038.0,8015.8,6291.0,4195.2,5879.0,8048.0,,3485.9,6674.3,2543.7,6777.6,5595.6,-372.0,-325.0,,-2011.1,-5451.0,30407.0,-1854.0,2123.8,399.0,-1696.8,-13.0,2156.0,,-2406.1,782.3,-3348.3,885.6,-296.4,True,,False,False,False,False,False,False,False,True,False,,False,False,False,False,True
Michigan,14853,14904.0,16620.0,,16240.5,3877.0,34556.5,18325.0,30764.9,36671.5,11440.2,18276.6,25438.0,,11259.6,21861.3,,20793.5,23579.4,51.0,1767.0,,1387.5,-10976.0,19703.5,3472.0,15911.9,21818.5,-3412.8,3423.6,10585.0,,-3593.4,7008.3,,5940.5,8726.4,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Minnesota,14631,11697.0,12344.0,,11510.6,4385.0,5256.0,14493.0,13858.7,21309.0,10890.7,14321.1,18531.0,,,12468.2,10750.4,14542.8,4506.3,-2934.0,-2287.0,,-3120.4,-10246.0,-9375.0,-138.0,-772.3,6678.0,-3740.3,-309.9,3900.0,,,-2162.8,-3880.6,-88.2,-10124.7,True,,False,False,False,True,True,False,False,True,False,,,True,False,True,False
Mississippi,24800,19281.0,19712.0,,21738.8,12345.0,54176.6,17507.0,14552.2,31567.0,16472.2,23357.9,28697.0,,33359.4,19875.4,21055.9,22604.4,21989.7,-5519.0,-5088.0,,-3061.2,-12455.0,29376.6,-7293.0,-10247.8,6767.0,-8327.8,-1442.1,3897.0,,8559.4,-4924.6,-3744.1,-2195.6,-2810.3,True,,True,False,False,False,False,False,False,True,True,,False,True,True,True,True
Missouri,25296,15294.0,18921.0,,18340.1,10818.0,14940.1,14179.0,16695.2,28660.7,16045.6,21617.4,29492.0,,19624.6,22729.5,,23814.6,11878.5,-10002.0,-6375.0,,-6955.9,-14478.0,-10355.9,-11117.0,-8600.8,3364.7,-9250.4,-3678.6,4196.0,,-5671.4,-2566.5,,-1481.4,-13417.5,True,,True,False,False,False,True,True,True,True,True,,True,True,,True,False
Montana,2418,2382.0,2467.0,,4224.2,1460.0,1996.0,2926.0,2366.4,13577.4,2369.0,2905.4,4546.0,,3413.8,2719.9,6358.3,1815.1,5197.4,-36.0,49.0,,1806.2,-958.0,-422.0,508.0,-51.6,11159.4,-49.0,487.4,2128.0,,995.8,301.9,3940.3,-602.9,2779.4,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Nebraska,5764,4449.0,3978.0,,3166.6,528.0,527.1,4432.0,6581.3,2926.2,2534.6,4449.3,6145.0,,3270.2,4478.1,2831.2,3287.6,2961.5,-1315.0,-1786.0,,-2597.4,-5236.0,-5236.9,-1332.0,817.3,-2837.8,-3229.4,-1314.7,381.0,,-2493.8,-1285.9,-2932.8,-2476.4,-2802.5,False,,False,False,False,False,True,False,False,True,True,,False,True,False,False,False
Nevada,20942,22917.0,26167.0,,35248.7,17018.0,63599.8,20731.0,13067.1,45411.7,26008.2,30166.1,39743.0,,36099.7,26916.9,35758.2,37033.8,32061.3,1975.0,5225.0,,14306.7,-3924.0,42657.8,-211.0,-7874.9,24469.7,5066.2,9224.1,18801.0,,15157.7,5974.9,14816.2,16091.8,11119.3,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
New Hampshire,630,492.0,439.0,,186.8,106.0,1687.7,358.0,1452.8,158.2,327.8,558.1,476.0,,341.3,376.8,,536.9,246.8,-138.0,-191.0,,-443.2,-524.0,1057.7,-272.0,822.8,-471.8,-302.2,-71.9,-154.0,,-288.7,-253.2,,-93.1,-383.2,False,,False,False,False,False,False,False,False,True,False,,False,False,,True,False
New Jersey,8518,5565.0,3547.0,,5030.6,405.0,75691.9,6452.0,13848.6,2651.7,2384.8,3038.8,4585.0,,6459.8,3197.2,,2602.1,9711.4,-2953.0,-4971.0,,-3487.4,-8113.0,67173.9,-2066.0,5330.6,-5866.3,-6133.2,-5479.2,-3933.0,,-2058.2,-5320.8,,-5915.9,1193.4,False,,False,False,False,True,False,False,False,False,False,,True,False,,False,True
New Mexico,5379,5889.0,6059.0,,6403.9,2736.0,14179.4,5832.0,7167.5,7948.7,4830.3,7188.2,8207.0,,6141.1,6328.9,5600.2,5519.7,8341.7,510.0,680.0,,1024.9,-2643.0,8800.4,453.0,1788.5,2569.7,-548.7,1809.2,2828.0,,762.1,949.9,221.2,140.7,2962.7,False,,False,False,False,True,False,False,False,False,False,,False,False,True,True,False
New York,13797,15828.0,15216.0,,12716.6,1562.0,67186.5,9511.0,44180.7,8526.3,10239.8,16663.9,19390.0,,16841.8,18129.7,,14781.4,23992.6,2031.0,1419.0,,-1080.4,-12235.0,53389.5,-4286.0,30383.7,-5270.7,-3557.2,2866.9,5593.0,,3044.8,4332.7,,984.4,10195.6,True,,True,False,False,False,False,False,False,False,False,,False,False,,True,False
North Carolina,37733,42558.0,42102.0,,40409.4,50996.0,21438.3,48411.0,38951.5,60648.9,32537.2,46035.3,54318.0,,46752.2,47276.7,54960.1,40774.5,35364.3,4825.0,4369.0,,2676.4,13263.0,-16294.7,10678.0,1218.5,22915.9,-5195.8,8302.3,16585.0,,9019.2,9543.7,17227.1,3041.5,-2368.7,True,,True,False,False,False,True,False,False,False,False,,False,False,False,True,True
North Dakota,2601,1992.0,2394.0,,2201.6,250.0,4167.2,1708.0,1961.1,1641.0,1915.3,2821.2,3872.0,,1645.9,2878.4,,3712.2,2767.5,-609.0,-207.0,,-399.4,-2351.0,1566.2,-893.0,-639.9,-960.0,-685.7,220.2,1271.0,,-955.1,277.4,,1111.2,166.5,True,,True,False,False,False,False,False,False,True,False,,False,True,,False,True
Ohio,26148,28821.0,29290.0,,34813.3,15576.0,33919.4,25888.0,28200.4,47049.3,22190.2,34106.2,48704.0,,30463.9,32189.0,27353.8,31224.7,51342.3,2673.0,3142.0,,8665.3,-10572.0,7771.4,-260.0,2052.4,20901.3,-3957.8,7958.2,22556.0,,4315.9,6041.0,1205.8,5076.7,25194.3,False,,False,False,False,True,True,False,False,False,False,,False,False,True,False,False
Oklahoma,18023,15834.0,13581.0,,20040.4,10862.0,12257.0,23087.0,14767.0,43544.9,8717.1,16511.8,28706.0,,17511.2,14313.0,,7204.9,15017.2,-2189.0,-4442.0,,2017.4,-7161.0,-5766.0,5064.0,-3256.0,25521.9,-9305.9,-1511.2,10683.0,,-511.8,-3710.0,,-10818.1,-3005.8,False,,True,False,False,False,False,False,False,True,False,,True,False,,False,False
Oregon,6861,6894.0,7732.0,,8192.1,6090.0,6261.0,6984.0,11880.5,16084.7,7361.7,9866.2,9417.0,,9170.4,7454.4,,10751.6,9931.7,33.0,871.0,,1331.1,-771.0,-600.0,123.0,5019.5,9223.7,500.7,3005.2,2556.0,,2309.4,593.4,,3890.6,3070.7,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Pennsylvania,17885,16692.0,16835.0,,19746.3,2807.0,31573.9,11456.0,21243.4,31105.3,11905.9,19934.0,24610.0,,15540.6,18820.4,9680.3,16359.7,23565.6,-1193.0,-1050.0,,1861.3,-15078.0,13688.9,-6429.0,3358.4,13220.3,-5979.1,2049.0,6725.0,,-2344.4,935.4,-8204.7,-1525.3,5680.6,True,,False,False,False,False,False,False,False,False,False,,False,True,False,False,False
Rhode Island,1945,1443.0,1049.0,,996.3,93.0,1473.8,4461.0,150.0,463.1,566.2,1021.4,2094.0,,1615.5,1165.4,582.9,1478.3,395.1,-502.0,-896.0,,-948.7,-1852.0,-471.2,2516.0,-1795.0,-1481.9,-1378.8,-923.6,149.0,,-329.5,-779.6,-1362.1,-466.7,-1549.9,False,,False,False,True,False,False,False,False,False,True,,True,False,False,True,False
South Carolina,31848,38739.0,41157.0,,55157.1,23568.0,77890.1,39848.0,28572.4,45061.9,44555.5,45249.0,46462.0,,38974.3,38530.6,,42262.1,46749.8,6891.0,9309.0,,23309.1,-8280.0,46042.1,8000.0,-3275.6,13213.9,12707.5,13401.0,14614.0,,7126.3,6682.6,,10414.1,14901.8,False,,False,False,False,False,True,False,False,False,False,,False,True,,False,False
South Dakota,1615,1224.0,1472.0,,1037.6,532.0,2813.0,1086.0,1610.4,1098.0,1036.0,1497.9,1411.0,,1072.5,2132.2,931.7,1225.4,1837.4,-391.0,-143.0,,-577.4,-1083.0,1198.0,-529.0,-4.6,-517.0,-579.0,-117.1,-204.0,,-542.5,517.2,-683.3,-389.6,222.4,True,,False,False,False,False,True,False,False,True,True,,False,False,False,True,True
Tennessee,44249,45990.0,46279.0,,54531.1,42276.0,34021.2,39544.0,29443.9,95755.3,36002.0,54625.7,82138.0,,60071.5,48933.5,63703.5,45597.5,54864.6,1741.0,2030.0,,10282.1,-1973.0,-10227.8,-4705.0,-14805.1,51506.3,-8247.0,10376.7,37889.0,,15822.5,4684.5,19454.5,1348.5,10615.6,False,,False,False,False,False,False,False,False,False,False,,False,False,False,True,False
Texas,174952,218073.0,207547.0,,294296.0,207103.0,679318.9,291622.0,148384.8,574854.7,158040.0,241964.3,360363.0,,395327.3,220520.2,356779.1,159697.0,151115.8,43121.0,32595.0,,119344.0,32151.0,504366.9,116670.0,-26567.2,399902.7,-16912.0,67012.3,185411.0,,220375.3,45568.2,181827.1,-15255.0,-23836.2,True,,False,True,False,False,True,False,True,False,False,,False,False,False,True,True
Utah,10419,13431.0,14498.0,,13665.2,14666.0,28265.0,11282.0,9266.0,24161.7,14262.2,16925.6,15557.0,,18744.4,13688.6,19029.5,16928.7,8950.7,3012.0,4079.0,,3246.2,4247.0,17846.0,863.0,-1153.0,13742.7,3843.2,6506.6,5138.0,,8325.4,3269.6,8610.5,6509.7,-1468.3,False,,False,False,False,True,True,False,False,False,False,,False,False,False,False,True
Vermont,116,165.0,171.0,,88.7,13.0,7.9,126.0,405.7,228.8,138.9,214.0,145.0,,102.5,167.6,,204.5,112.0,49.0,55.0,,-27.3,-103.0,-108.1,10.0,289.7,112.8,22.9,98.0,29.0,,-13.5,51.6,,88.5,-4.0,False,,True,False,False,True,False,False,True,False,True,,True,False,,False,True
Virginia,22816,19773.0,21741.0,,15022.1,9849.0,46162.8,17928.0,23638.3,41918.6,17032.1,25557.8,34398.0,,21755.6,24601.5,16592.6,31189.5,4096.5,-3043.0,-1075.0,,-7793.9,-12967.0,23346.8,-4888.0,822.3,19102.6,-5783.9,2741.8,11582.0,,-1060.4,1785.5,-6223.4,8373.5,-18719.5,True,,False,False,False,False,True,False,False,True,False,,True,True,False,False,False
Washington,16233,20424.0,20391.0,,19297.4,11586.0,27105.1,17287.0,14527.2,30657.7,16711.0,23645.9,29994.0,,18707.1,20782.9,17450.0,26474.1,21247.6,4191.0,4158.0,,3064.4,-4647.0,10872.1,1054.0,-1705.8,14424.7,478.0,7412.9,13761.0,,2474.1,4549.9,1217.0,10241.1,5014.6,True,,True,False,False,True,True,False,True,False,False,,True,False,True,False,False
West Virginia,2669,2244.0,2314.0,,4590.6,2207.0,485.7,1568.0,3379.9,4708.5,1873.3,2874.2,4864.0,,2212.1,2263.4,,1716.7,5665.5,-425.0,-355.0,,1921.6,-462.0,-2183.3,-1101.0,710.9,2039.5,-795.7,205.2,2195.0,,-456.9,-405.6,,-952.3,2996.5,True,,False,False,False,False,False,False,False,True,False,,False,True,,False,False
Wisconsin,18448,17418.0,19486.0,,19765.8,9435.0,3969.5,14645.0,20811.4,41599.6,16001.9,21739.9,32272.0,,,22920.5,17517.0,21442.6,23421.8,-1030.0,1038.0,,1317.8,-9013.0,-14478.5,-3803.0,2363.4,23151.6,-2446.1,3291.9,13824.0,,,4472.5,-931.0,2994.6,4973.8,False,,False,False,False,False,False,False,False,False,False,,,False,True,False,False
Wyoming,907,807.0,798.0,,1115.3,513.0,12.5,819.0,1186.7,1720.1,605.1,860.3,1065.0,,529.6,915.5,,584.7,640.5,-100.0,-109.0,,208.3,-394.0,-894.5,-88.0,279.7,813.1,-301.9,-46.7,158.0,,-377.4,8.5,,-322.3,-266.5,False,,False,False,False,True,False,False,False,True,False,,False,True,,False,False
US,1283730,1396464.0,1575517.0,1322286.0,1778942.2,1111297.0,2385090.2,1612514.0,1113556.5,,1136058.2,2457544.3,2125235.0,1844704.6,1863100.1,1556406.0,1378500.2,1297897.6,1745739.8,112734.0,291787.0,38556.0,495212.2,-172433.0,1101360.2,328784.0,-170173.5,,-147671.8,1173814.3,841505.0,560974.6,579370.1,272676.0,94770.2,14167.6,462009.8,False,True,False,False,False,False,False,,False,False,False,False,False,False,True,True,False
