,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,23415,24824.0,23480.0,,29352.4,21828.0,22825.5,26345.0,61446.6,24004.0,22446.7,22570.7,21840.4,23414.9,26523.0,,24352.5,28571.8,26001.8,21716.3,23958.0,1409.0,65.0,,5937.4,-1587.0,-589.5,2930.0,38031.6,589.0,-968.3,-844.3,-1574.6,-0.1,3108.0,,937.5,5156.8,2586.8,-1698.7,543.0,True,,False,False,True,False,False,True,True,True,False,True,False,,True,False,False,False,True
Hawaii,1149,577.0,506.0,,403.8,152.0,417.5,824.3,34.7,,1438.5,535.2,620.8,510.1,694.0,,808.9,651.4,,775.7,756.0,-572.0,-643.0,,-745.2,-997.0,-731.5,-324.7,-1114.3,,289.5,-613.8,-528.2,-638.9,-455.0,,-340.1,-497.6,,-373.3,-393.0,False,,False,False,False,True,False,,True,False,True,False,True,,True,True,,True,True
Idaho,3387,3284.0,3190.0,,4788.1,3190.0,6297.9,3334.6,3144.8,3151.0,4819.6,4136.9,1583.9,2177.6,2913.0,,2228.3,3520.3,,1914.5,3090.0,-103.0,-197.0,,1401.1,-197.0,2910.9,-52.4,-242.2,-236.0,1432.6,749.9,-1803.1,-1209.4,-474.0,,-1158.7,133.3,,-1472.5,-297.0,False,,False,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False
Illinois,12244,10632.0,10632.0,,12612.3,301.0,8513.7,11546.8,9300.9,11222.0,12666.7,12988.9,10140.1,11150.5,12911.0,,9709.6,12924.6,7140.1,12664.3,10874.0,-1612.0,-1612.0,,368.3,-11943.0,-3730.3,-697.2,-2943.1,-1022.0,422.7,744.9,-2103.9,-1093.5,667.0,,-2534.4,680.6,-5103.9,420.3,-1370.0,False,,True,False,False,True,False,True,True,True,False,True,True,,False,True,False,True,True
Indiana,6165,5602.0,5665.0,,7427.0,3238.0,5045.3,6012.0,10573.5,5665.0,6736.7,8244.9,5339.7,5504.0,6698.0,,4394.1,6791.8,4193.4,5751.3,5696.0,-563.0,-500.0,,1262.0,-2927.0,-1119.7,-153.0,4408.5,-500.0,571.7,2079.9,-825.3,-661.0,533.0,,-1770.9,626.8,-1971.6,-413.7,-469.0,True,,False,False,False,True,False,True,False,False,False,False,True,,False,False,False,True,True
Iowa,3242,3407.0,3407.0,,3941.4,1430.0,3326.9,3505.5,5631.0,3010.0,4043.2,4310.0,3293.3,3291.3,3420.0,,2834.3,3878.0,3095.8,3617.0,3225.0,165.0,165.0,,699.4,-1812.0,84.9,263.5,2389.0,-232.0,801.2,1068.0,51.3,49.3,178.0,,-407.7,636.0,-146.2,375.0,-17.0,False,,False,False,True,False,False,False,False,False,True,True,False,,False,False,True,False,True
Kansas,2855,2583.0,2583.0,,3824.7,1398.0,2989.0,2232.6,2453.4,4317.0,4315.4,5212.3,2049.7,2375.6,2677.0,,2281.9,2693.3,,2024.1,2452.0,-272.0,-272.0,,969.7,-1457.0,134.0,-622.4,-401.6,1462.0,1460.4,2357.3,-805.3,-479.4,-178.0,,-573.1,-161.7,,-830.9,-403.0,False,,False,False,True,False,False,False,False,False,False,False,True,,False,True,,False,False
Kentucky,3855,3959.0,3959.0,,6081.4,3867.0,6952.7,4412.2,3666.1,4846.0,5479.8,6889.8,3616.1,3907.3,4996.0,,3439.4,4302.6,3322.4,3934.3,4352.0,104.0,104.0,,2226.4,12.0,3097.7,557.2,-188.9,991.0,1624.8,3034.8,-238.9,52.3,1141.0,,-415.6,447.6,-532.6,79.3,497.0,False,,False,True,False,False,False,False,False,False,False,True,False,,False,False,False,True,False
Louisiana,12466,12546.0,13151.0,,17253.1,11536.0,19035.4,7082.5,25852.6,13228.0,10210.4,12389.4,17966.4,13151.4,12974.0,,13217.0,11914.8,,10905.0,9511.0,80.0,685.0,,4787.1,-930.0,6569.4,-5383.5,13386.6,762.0,-2255.6,-76.6,5500.4,685.4,508.0,,751.0,-551.2,,-1561.0,-2955.0,False,,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False
Maine,91,147.0,147.0,,114.7,70.0,139.9,151.5,240.6,107.0,227.1,106.0,146.8,147.4,149.0,,145.4,174.5,152.2,166.5,167.0,56.0,56.0,,23.7,-21.0,48.9,60.5,149.6,16.0,136.1,15.0,55.8,56.4,58.0,,54.4,83.5,61.2,75.5,76.0,False,,True,True,True,False,False,True,False,True,True,False,False,,True,False,False,False,False
Maryland,5216,6311.0,6155.0,,8545.2,4174.0,4950.6,6998.2,5784.0,5579.0,4897.3,8296.6,6155.0,6527.2,8033.0,,4409.0,8142.4,,6929.6,6779.0,1095.0,939.0,,3329.2,-1042.0,-265.4,1782.2,568.0,363.0,-318.7,3080.6,939.0,1311.2,2817.0,,-807.0,2926.4,,1713.6,1563.0,True,,False,True,True,False,True,True,True,False,True,False,False,,True,False,,False,False
Massachusetts,2062,2772.0,2753.0,,2850.8,70.0,2202.4,3425.5,9674.0,2655.0,3101.6,2436.0,2753.0,3256.8,3205.0,,1890.5,3627.3,,3714.0,2901.0,710.0,691.0,,788.8,-1992.0,140.4,1363.5,7612.0,593.0,1039.6,374.0,691.0,1194.8,1143.0,,-171.5,1565.3,,1652.0,839.0,True,,False,False,True,False,False,True,False,True,True,False,False,,True,False,,False,False
Michigan,4859,5710.0,5059.0,,6645.9,2086.0,5182.8,5568.7,3625.6,6622.0,9898.3,8369.6,4086.2,4646.2,5680.0,,3601.1,7141.1,,5058.7,5581.0,851.0,200.0,,1786.9,-2773.0,323.8,709.7,-1233.4,1763.0,5039.3,3510.6,-772.8,-212.8,821.0,,-1257.9,2282.1,,199.7,722.0,True,,False,False,True,True,False,False,False,False,True,True,True,,False,False,,True,True
Minnesota,4913,4897.0,4932.0,,6418.5,2799.0,4072.8,4988.2,3946.6,5294.0,5284.0,6430.2,4932.3,4957.1,5546.0,,4000.2,5696.6,4320.6,5218.1,5159.0,-16.0,19.0,,1505.5,-2114.0,-840.2,75.2,-966.4,381.0,371.0,1517.2,19.3,44.1,633.0,,-912.8,783.6,-592.4,305.1,246.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Mississippi,6765,8900.0,8442.0,,11104.0,8767.0,6821.6,9438.0,17731.2,8442.0,7231.3,12058.1,5917.0,7459.5,10261.0,,7911.1,9668.2,8911.6,6774.6,8027.0,2135.0,1677.0,,4339.0,2002.0,56.6,2673.0,10966.2,1677.0,466.3,5293.1,-848.0,694.5,3496.0,,1146.1,2903.2,2146.6,9.6,1262.0,True,,False,True,True,False,False,True,True,False,True,True,False,,True,False,False,True,True
Missouri,6366,10598.0,8701.0,,13748.8,9841.0,7261.5,10126.7,9526.5,10115.0,9274.1,14234.7,5526.3,8700.6,13435.0,,7873.4,11986.1,8541.0,7091.4,12646.0,4232.0,2335.0,,7382.8,3475.0,895.5,3760.7,3160.5,3749.0,2908.1,7868.7,-839.7,2334.6,7069.0,,1507.4,5620.1,2175.0,725.4,6280.0,True,,False,True,True,True,True,True,True,False,True,True,False,,True,False,True,True,False
Montana,808,822.0,857.0,,1345.9,637.0,925.9,957.4,393.8,1013.0,1033.7,542.7,960.7,856.9,1044.0,,670.9,943.2,,890.8,871.0,14.0,49.0,,537.9,-171.0,117.9,149.4,-414.2,205.0,225.7,-265.3,152.7,48.9,236.0,,-137.1,135.2,,82.8,63.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Nebraska,1854,1996.0,1956.0,,2520.8,510.0,1593.8,2117.0,4363.9,1795.0,1809.4,2663.6,1949.1,2269.3,2522.0,,1490.2,2239.5,1386.4,2254.5,1915.0,142.0,102.0,,666.8,-1344.0,-260.2,263.0,2509.9,-59.0,-44.6,809.6,95.1,415.3,668.0,,-363.8,385.5,-467.6,400.5,61.0,True,,False,False,False,False,False,True,True,False,True,False,False,,False,False,False,False,True
Nevada,6345,7258.0,7430.0,,8984.6,6845.0,7278.3,7438.9,15020.2,7077.0,5299.6,10495.0,7369.4,7046.0,7521.0,,7457.3,8171.2,8369.4,7852.1,6344.0,913.0,1085.0,,2639.6,500.0,933.3,1093.9,8675.2,732.0,-1045.4,4150.0,1024.4,701.0,1176.0,,1112.3,1826.2,2024.4,1507.1,-1.0,False,,False,True,False,False,False,True,False,False,False,True,False,,False,False,False,False,True
New Hampshire,204,199.0,195.0,,231.5,26.0,181.2,217.1,677.8,168.0,337.4,69.7,158.9,195.3,247.0,,148.6,226.1,142.3,281.1,202.0,-5.0,-9.0,,27.5,-178.0,-22.8,13.1,473.8,-36.0,133.4,-134.3,-45.1,-8.7,43.0,,-55.4,22.1,-61.7,77.1,-2.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True
New Jersey,2675,3171.0,2884.0,,2082.1,70.0,2202.8,3147.8,10058.0,3891.0,3173.0,1480.1,2378.0,3045.8,3279.0,,1954.5,3392.9,,3458.4,3676.0,496.0,209.0,,-592.9,-2605.0,-472.2,472.8,7383.0,1216.0,498.0,-1194.9,-297.0,370.8,604.0,,-720.5,717.9,,783.4,1001.0,True,,False,False,True,True,False,False,False,False,True,True,False,,False,False,,False,False
New Mexico,1319,2008.0,2036.0,,2562.2,1343.0,1915.1,1853.2,2826.0,2036.0,2489.4,2640.7,1480.7,1729.7,2012.0,,2054.2,2222.1,1773.1,1359.6,2033.0,689.0,717.0,,1243.2,24.0,596.1,534.2,1507.0,717.0,1170.4,1321.7,161.7,410.7,693.0,,735.2,903.1,454.1,40.6,714.0,False,,False,True,True,True,False,False,False,False,True,True,False,,False,False,True,True,False
New York,4278,4567.0,4567.0,,4390.1,248.0,4488.9,4844.9,16587.6,3907.0,8465.5,5269.3,3959.0,4743.9,4657.0,,4298.0,5365.8,,4829.0,4552.0,289.0,289.0,,112.1,-4030.0,210.9,566.9,12309.6,-371.0,4187.5,991.3,-319.0,465.9,379.0,,20.0,1087.8,,551.0,274.0,False,,True,False,True,False,False,False,False,False,False,False,False,,True,False,,False,True
North Carolina,11147,12585.0,13627.0,,13900.2,18075.0,10591.5,12502.7,18080.8,14452.0,16758.5,15355.9,9631.5,11241.9,12307.0,,12143.2,13627.5,14333.5,10189.2,11808.0,1438.0,2480.0,,2753.2,6928.0,-555.5,1355.7,6933.8,3305.0,5611.5,4208.9,-1515.5,94.9,1160.0,,996.2,2480.5,3186.5,-957.8,661.0,False,,False,False,True,True,False,False,False,False,False,True,True,,True,False,False,True,True
North Dakota,906,866.0,692.0,,1383.6,306.0,789.0,890.8,691.0,674.0,877.8,751.7,620.5,668.7,998.0,,639.9,1010.8,,692.3,849.0,-40.0,-214.0,,477.6,-600.0,-117.0,-15.2,-215.0,-232.0,-28.2,-154.3,-285.5,-237.3,92.0,,-266.1,104.8,,-213.7,-57.0,False,,False,False,False,True,False,False,True,False,False,False,False,,False,False,,False,False
Ohio,7882,8903.0,8903.0,,10707.6,6471.0,8652.8,9245.1,19745.0,8320.0,14637.3,10103.0,7035.6,8250.9,9157.0,,8918.9,9686.2,7833.9,8192.7,8802.0,1021.0,1021.0,,2825.6,-1411.0,770.8,1363.1,11863.0,438.0,6755.3,2221.0,-846.4,368.9,1275.0,,1036.9,1804.2,-48.1,310.7,920.0,False,,False,False,True,False,False,True,False,False,True,True,False,,False,False,True,True,True
Oklahoma,5349,7650.0,6149.0,,7765.9,5821.0,5831.9,7243.4,6578.5,6882.0,9588.5,8816.7,4580.8,5996.1,8462.0,,6149.1,8544.0,,5313.1,8124.0,2301.0,800.0,,2416.9,472.0,482.9,1894.4,1229.5,1533.0,4239.5,3467.7,-768.2,647.1,3113.0,,800.1,3195.0,,-35.9,2775.0,True,,False,True,True,True,True,True,False,False,True,True,False,,True,False,,True,False
Oregon,2193,2325.0,2325.0,,2512.2,2596.0,2105.1,2437.7,2684.8,2133.0,4412.5,2663.8,2101.3,2192.2,2344.0,,2109.8,2648.6,,2292.3,2394.0,132.0,132.0,,319.2,403.0,-87.9,244.7,491.8,-60.0,2219.5,470.8,-91.7,-0.8,151.0,,-83.2,455.6,,99.3,201.0,False,,False,False,True,False,False,True,False,False,True,True,False,,True,False,,True,False
Pennsylvania,5197,6353.0,5990.0,,7621.9,533.0,5611.6,6270.9,9643.7,5274.0,9472.0,8670.0,4420.1,5989.6,6560.0,,4472.2,7176.7,3021.8,5580.6,6239.0,1156.0,793.0,,2424.9,-4664.0,414.6,1073.9,4446.7,77.0,4275.0,3473.0,-776.9,792.6,1363.0,,-724.8,1979.7,-2175.2,383.6,1042.0,True,,False,False,True,True,False,True,False,False,True,True,False,,True,False,False,True,True
Rhode Island,716,798.0,528.0,,805.5,19.0,363.2,668.9,569.4,927.0,77.2,436.0,303.8,454.6,772.0,,828.5,771.6,262.3,524.9,495.0,82.0,-188.0,,89.5,-697.0,-352.8,-47.1,-146.6,211.0,-638.8,-280.0,-412.2,-261.4,56.0,,112.5,55.6,-453.7,-191.1,-221.0,False,,False,False,False,True,False,False,False,False,False,False,True,,False,True,False,False,False
South Carolina,8861,10591.0,10712.0,,10936.7,12199.0,10725.6,10897.8,25264.9,10712.0,11743.3,12290.8,8652.4,9894.5,9752.0,,9779.2,11346.3,11164.6,9202.5,9519.0,1730.0,1851.0,,2075.7,3338.0,1864.6,2036.8,16403.9,1851.0,2882.3,3429.8,-208.6,1033.5,891.0,,918.2,2485.3,2303.6,341.5,658.0,False,,False,False,False,False,False,False,False,False,True,True,True,,True,False,False,True,True
South Dakota,610,562.0,538.0,,538.4,229.0,490.3,618.7,671.7,465.0,475.9,523.1,585.9,587.4,659.0,,426.9,742.9,367.3,641.8,521.0,-48.0,-72.0,,-71.6,-381.0,-119.7,8.7,61.7,-145.0,-134.1,-86.9,-24.1,-22.6,49.0,,-183.1,132.9,-242.7,31.8,-89.0,False,,False,False,False,True,False,False,False,False,True,True,False,,False,False,False,True,False
Tennessee,12401,17388.0,14078.0,,20913.9,16855.0,13148.0,16937.7,12953.0,13800.0,14387.9,25225.7,11024.3,13420.3,17602.0,,14816.1,20513.2,17800.7,14072.3,15902.0,4987.0,1677.0,,8512.9,4454.0,747.0,4536.7,552.0,1399.0,1986.9,12824.7,-1376.7,1019.3,5201.0,,2415.1,8112.2,5399.7,1671.3,3501.0,True,,False,True,True,True,True,True,True,False,True,True,False,,True,False,False,True,True
Texas,55774,54452.0,54452.0,,68916.6,74162.0,52099.3,56943.0,183576.9,62447.0,53351.3,58803.2,25432.5,46542.0,49782.0,,45826.2,58320.2,,41222.1,48315.0,-1322.0,-1322.0,,13142.6,18388.0,-3674.7,1169.0,127802.9,6673.0,-2422.7,3029.2,-30341.5,-9232.0,-5992.0,,-9947.8,2546.2,,-14551.9,-7459.0,False,,False,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False
Utah,3049,3079.0,3203.0,,3889.4,4144.0,3501.4,3077.2,3170.4,2768.0,3898.9,4301.8,2980.1,3108.9,3037.0,,,3602.1,4170.8,2576.0,3030.0,30.0,154.0,,840.4,1095.0,452.4,28.2,121.4,-281.0,849.9,1252.8,-68.9,59.9,-12.0,,,553.1,1121.8,-473.0,-19.0,False,,False,False,False,True,False,False,False,False,False,False,True,,,False,False,False,True
Vermont,33,25.0,32.0,,43.6,7.0,50.7,33.0,1.7,32.0,96.0,69.2,23.9,32.6,28.0,,34.8,41.4,,30.3,28.0,-8.0,-1.0,,10.6,-26.0,17.7,-0.0,-31.3,-1.0,63.0,36.2,-9.1,-0.4,-5.0,,1.8,8.4,,-2.7,-5.0,True,,False,False,False,True,False,True,False,False,False,True,True,,True,False,,True,True
Virginia,8388,7192.0,6675.0,,10391.1,4376.0,6152.9,6855.3,2007.4,7111.0,7812.2,10805.4,6219.4,6674.7,7948.0,,6093.7,8465.8,5394.0,6281.7,0.0,-1196.0,-1713.0,,2003.1,-4012.0,-2235.1,-1532.7,-6380.6,-1277.0,-575.8,2417.4,-2168.6,-1713.3,-440.0,,-2294.3,77.8,-2994.0,-2106.3,-8388.0,False,,False,False,False,False,False,False,True,False,False,False,True,,False,True,False,False,False
Washington,4973,5692.0,5451.0,,7110.8,5451.0,5004.2,6005.8,5089.8,5385.0,7192.7,8849.0,5103.9,5232.2,5696.0,,5320.5,7409.2,,6174.8,5572.0,719.0,478.0,,2137.8,478.0,31.2,1032.8,116.8,412.0,2219.7,3876.0,130.9,259.2,723.0,,347.5,2436.2,,1201.8,599.0,True,,False,True,True,False,True,True,False,False,True,True,False,,True,False,,False,True
West Virginia,825,963.0,966.0,,1124.3,872.0,1103.4,1059.8,222.4,966.0,1333.4,1026.5,961.2,961.3,1152.0,,833.8,1203.7,,1064.8,982.0,138.0,141.0,,299.3,47.0,278.4,234.8,-602.6,141.0,508.4,201.5,136.2,136.3,327.0,,8.8,378.7,,239.8,157.0,False,,False,True,False,False,False,False,False,False,True,True,False,,True,False,,False,False
Wisconsin,5931,6132.0,6321.0,,8515.1,4851.0,5833.8,6371.2,9127.4,4661.0,8002.6,9868.7,6321.2,6119.7,6986.0,,6038.3,6871.6,6070.8,6697.1,6048.0,201.0,390.0,,2584.1,-1080.0,-97.2,440.2,3196.4,-1270.0,2071.6,3937.7,390.2,188.7,1055.0,,107.3,940.6,139.8,766.1,117.0,False,,False,False,True,False,False,False,False,False,False,True,False,,True,False,True,False,True
Wyoming,246,323.0,315.0,,370.9,239.0,315.3,327.3,47.3,262.0,427.2,474.2,280.2,315.0,362.0,,248.0,372.0,,292.3,341.0,77.0,69.0,,124.9,-7.0,69.3,81.3,-198.7,16.0,181.2,228.2,34.2,69.0,116.0,,2.0,126.0,,46.3,95.0,True,,False,True,True,False,False,True,False,False,True,True,False,,True,False,,True,False
US,377108,441474.0,434142.0,388223.0,521927.0,426809.0,407455.6,443586.4,815576.7,454694.0,450080.6,532819.6,324705.9,408993.2,447394.0,402824.1,396906.0,488980.7,350089.2,373043.3,419507.0,64366.0,57034.0,11115.0,144819.0,49701.0,30347.6,66478.4,438468.7,77586.0,72972.6,155711.6,-52402.1,31885.2,70286.0,25716.1,19798.0,111872.7,-27018.8,-4064.7,42399.0,True,True,False,True,True,False,False,False,False,False,True,True,False,True,True,False,True,True,True
