,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,115,103.0,,111.0,97.0,,,,,,,121.0,127.3,,107.1,114.8,,118.0,,124.7,160.1,,,,,,-12.0,,-4.0,-18.0,,,,,,,6.0,12.3,,-7.9,-0.2,,3.0,,9.7,45.1,,,,,,,True,False,,,,,,,True,False,,True,True,,True,,True,False,,,,,
01023,10,15.0,,13.0,14.0,,,,,,,39.0,17.1,,5.0,13.0,,20.0,,12.1,13.9,,,,,,5.0,,3.0,4.0,,,,,,,29.0,7.1,,-5.0,3.0,,10.0,,2.1,3.9,,,,,,,True,True,,,,,,,False,False,,False,True,,False,,True,True,,,,,
01025,183,48.0,,48.0,57.0,,,,,,,92.0,54.6,,34.4,45.1,,59.0,,47.5,50.5,,,,,,-135.0,,-135.0,-126.0,,,,,,,-91.0,-128.4,,-148.6,-137.9,,-124.0,,-135.5,-132.5,,,,,,,False,True,,,,,,,True,True,,False,False,,True,,False,True,,,,,
01027,52,52.0,,50.0,57.0,,,,,,,22.0,27.7,,46.3,55.6,,47.0,,77.6,48.3,,,,,,0.0,,-2.0,5.0,,,,,,,-30.0,-24.3,,-5.7,3.6,,-5.0,,25.6,-3.7,,,,,,,False,False,,,,,,,False,False,,False,False,,False,,False,False,,,,,
01029,14,17.0,,15.0,27.0,,,,,,,17.0,18.1,,5.6,13.9,,14.0,,4.1,23.8,,,,,,3.0,,1.0,13.0,,,,,,,3.0,4.1,,-8.4,-0.1,,0.0,,-9.9,9.8,,,,,,,True,False,,,,,,,False,False,,False,True,,True,,False,False,,,,,
01031,61,77.0,72.3,71.0,76.0,,,,,,,141.0,88.7,,47.1,64.9,,80.0,,57.1,78.8,,,,,,16.0,11.3,10.0,15.0,,,,,,,80.0,27.7,,-13.9,3.9,,19.0,,-3.9,17.8,,,,,,True,True,True,,,,,,,False,False,,True,True,,False,,True,False,,,,,
01033,121,184.0,212.2,179.0,164.0,,,,,,,152.0,129.3,,178.6,161.6,,186.0,,202.9,196.7,,,,,,63.0,91.2,58.0,43.0,,,,,,,31.0,8.3,,57.6,40.6,,65.0,,81.9,75.7,,,,,,False,True,True,,,,,,,True,True,,True,True,,False,,False,False,,,,,
01035,26,34.0,,34.0,42.0,,,,,,,48.0,37.5,,26.4,40.5,23.4,43.0,,39.6,29.7,,,,,,8.0,,8.0,16.0,,,,,,,22.0,11.5,,0.4,14.5,-2.6,17.0,,13.6,3.7,,,,,,,False,False,,,,,,,False,False,,True,False,True,False,,False,True,,,,,
01037,12,8.0,,6.0,7.0,,,,,,,11.0,9.8,,1.6,4.3,,7.0,,4.2,8.1,,,,,,-4.0,,-6.0,-5.0,,,,,,,-1.0,-2.2,,-10.4,-7.7,,-5.0,,-7.8,-3.9,,,,,,,False,False,,,,,,,True,True,,False,False,,False,,False,True,,,,,
01039,50,59.0,,70.0,68.0,,,,,,,136.0,120.5,,70.3,82.8,69.6,84.0,,90.8,50.7,,,,,,9.0,,20.0,18.0,,,,,,,86.0,70.5,,20.3,32.8,19.6,34.0,,40.8,0.7,,,,,,,False,False,,,,,,,False,False,,False,False,False,False,,False,True,,,,,
01041,35,56.0,,39.0,70.0,,,,,,,36.0,18.3,,42.6,38.6,19.8,65.0,,16.4,48.4,,,,,,21.0,,4.0,35.0,,,,,,,1.0,-16.7,,7.6,3.6,-15.2,30.0,,-18.6,13.4,,,,,,,True,False,,,,,,,True,True,,True,True,True,False,,True,True,,,,,
01043,130,158.0,175.3,166.0,139.0,,,,,,,208.0,237.3,,125.9,147.2,157.7,160.0,,187.5,180.2,,,,,,28.0,45.3,36.0,9.0,,,,,,,78.0,107.3,,-4.1,17.2,27.7,30.0,,57.5,50.2,,,,,,False,False,True,,,,,,,False,False,,True,True,True,False,,False,False,,,,,
01045,64,91.0,,91.0,83.0,,,,,,,132.0,135.4,,64.9,89.7,80.4,95.0,,98.2,89.0,,,,,,27.0,,27.0,19.0,,,,,,,68.0,71.4,,0.9,25.7,16.4,31.0,,34.2,25.0,,,,,,,False,True,,,,,,,False,False,,True,True,True,False,,False,True,,,,,
01047,53,81.0,,76.0,70.0,,,,,,,152.0,87.3,,62.2,85.6,5.6,118.0,,90.7,77.6,,,,,,28.0,,23.0,17.0,,,,,,,99.0,34.3,,9.2,32.6,-47.4,65.0,,37.7,24.6,,,,,,,True,True,,,,,,,False,False,,True,False,False,False,,False,True,,,,,
01049,148,181.0,235.1,177.0,129.0,,,,,,,224.0,208.1,,181.4,173.0,154.8,230.0,,150.0,185.4,,,,,,33.0,87.1,29.0,-19.0,,,,,,,76.0,60.1,,33.4,25.0,6.8,82.0,,2.0,37.4,,,,,,False,True,True,,,,,,,False,False,,False,True,True,False,,True,False,,,,,
01051,153,132.0,181.8,136.0,107.0,,,,,,,188.0,139.1,,124.1,139.5,133.0,169.0,,165.6,122.6,,,,,,-21.0,28.8,-17.0,-46.0,,,,,,,35.0,-13.9,,-28.9,-13.5,-20.0,16.0,,12.6,-30.4,,,,,,False,True,False,,,,,,,False,True,,False,True,True,True,,True,False,,,,,
01053,123,142.0,,132.0,144.0,,,,,,,174.0,179.3,,101.2,132.1,81.4,152.0,,126.7,119.8,,,,,,19.0,,9.0,21.0,,,,,,,51.0,56.3,,-21.8,9.1,-41.6,29.0,,3.7,-3.2,,,,,,,True,False,,,,,,,False,False,,False,True,False,False,,True,True,,,,,
01055,220,269.0,310.7,253.0,240.0,,,,,,,263.0,381.0,,233.5,234.5,242.5,282.0,,231.7,242.4,,,,,,49.0,90.7,33.0,20.0,,,,,,,43.0,161.0,,13.5,14.5,22.5,62.0,,11.7,22.4,,,,,,False,True,True,,,,,,,True,False,,True,True,True,False,,True,True,,,,,
01057,37,33.0,,31.0,42.0,,,,,,,31.0,37.4,,12.7,22.4,27.5,30.0,,8.8,30.8,,,,,,-4.0,,-6.0,5.0,,,,,,,-6.0,0.4,,-24.3,-14.6,-9.5,-7.0,,-28.2,-6.2,,,,,,,False,False,,,,,,,False,True,,False,False,False,False,,False,False,,,,,
01059,105,90.0,,86.0,86.0,,,,,,,124.0,39.7,,82.7,94.0,52.7,124.0,,64.7,86.6,,,,,,-15.0,,-19.0,-19.0,,,,,,,19.0,-65.3,,-22.3,-11.0,-52.3,19.0,,-40.3,-18.4,,,,,,,False,False,,,,,,,False,False,,False,True,False,False,,False,False,,,,,
01061,41,33.0,,33.0,39.0,,,,,,,79.0,65.2,,32.1,44.8,33.4,40.0,,15.0,30.2,,,,,,-8.0,,-8.0,-2.0,,,,,,,38.0,24.2,,-8.9,3.8,-7.6,-1.0,,-26.0,-10.8,,,,,,,False,True,,,,,,,False,False,,False,True,True,True,,False,False,,,,,
01063,11,8.0,,8.0,12.0,,,,,,,20.0,12.8,,1.7,8.6,0.2,14.0,,15.5,7.8,,,,,,-3.0,,-3.0,1.0,,,,,,,9.0,1.8,,-9.3,-2.4,-10.8,3.0,,4.5,-3.2,,,,,,,False,True,,,,,,,False,True,,False,True,False,False,,False,False,,,,,
01065,27,29.0,,21.0,35.0,,,,,,,47.0,21.9,,8.1,20.6,2.7,36.0,,21.2,31.9,,,,,,2.0,,-6.0,8.0,,,,,,,20.0,-5.1,,-18.9,-6.4,-24.3,9.0,,-5.8,4.9,,,,,,,False,False,,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01067,21,32.0,,28.0,35.0,,,,,,,28.0,25.0,,14.3,27.2,19.5,29.0,,34.5,32.3,,,,,,11.0,,7.0,14.0,,,,,,,7.0,4.0,,-6.7,6.2,-1.5,8.0,,13.5,11.3,,,,,,,True,False,,,,,,,True,True,,True,True,True,True,,False,False,,,,,
01069,111,216.0,299.0,215.0,167.0,,,,,,,280.0,221.2,,184.4,208.6,202.1,209.0,,213.0,249.1,,,,,,105.0,188.0,104.0,56.0,,,,,,,169.0,110.2,,73.4,97.6,91.1,98.0,,102.0,138.1,,,,,,False,True,True,,,,,,,False,False,,True,True,True,True,,True,False,,,,,
01071,185,145.0,146.1,142.0,134.0,,,,,,,110.0,166.2,,205.9,173.4,96.6,189.0,,139.9,156.3,,,,,,-40.0,-38.9,-43.0,-51.0,,,,,,,-75.0,-18.8,,20.9,-11.6,-88.4,4.0,,-45.1,-28.7,,,,,,True,False,False,,,,,,,False,True,,True,True,False,True,,False,True,,,,,
01073,1504,1370.0,2013.5,1300.0,1285.0,,,,,,,1786.0,1624.9,,1461.4,1296.3,1216.2,1583.0,,1272.0,1381.3,1300.0,,,,,-134.0,509.5,-204.0,-219.0,,,,,,,282.0,120.9,,-42.6,-207.7,-287.8,79.0,,-232.0,-122.7,-204.0,,,,,False,False,False,,,,,,,False,True,,True,False,False,True,,False,True,False,,,,
01075,29,29.0,,26.0,42.0,,,,,,,30.0,29.9,,16.5,25.4,28.5,33.0,,18.2,31.7,,,,,,0.0,,-3.0,13.0,,,,,,,1.0,0.9,,-12.5,-3.6,-0.5,4.0,,-10.8,2.7,,,,,,,False,False,,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01077,129,144.0,170.9,152.0,137.0,,,,,,,229.0,211.7,,155.8,148.1,148.4,167.0,,176.2,144.1,,,,,,15.0,41.9,23.0,8.0,,,,,,,100.0,82.7,,26.8,19.1,19.4,38.0,,47.2,15.1,,,,,,False,False,True,,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01079,50,58.0,,58.0,69.0,,,,,,,80.0,75.5,,44.2,57.9,53.4,61.0,,60.3,47.0,,,,,,8.0,,8.0,19.0,,,,,,,30.0,25.5,,-5.8,7.9,3.4,11.0,,10.3,-3.0,,,,,,,False,False,,,,,,,False,False,,True,True,True,False,,False,True,,,,,
01081,205,235.0,426.4,224.0,176.0,,,,,,,383.0,332.8,,214.7,233.9,240.0,284.0,,209.2,224.5,185.0,,,,,30.0,221.4,19.0,-29.0,,,,,,,178.0,127.8,,9.7,28.9,35.0,79.0,,4.2,19.5,-20.0,,,,,False,True,True,,,,,,,False,False,,True,True,False,False,,True,True,True,,,,
01083,163,154.0,242.0,168.0,127.0,,,,,,,201.0,194.5,,169.5,160.7,169.8,187.0,,175.4,169.2,,,,,,-9.0,79.0,5.0,-36.0,,,,,,,38.0,31.5,,6.5,-2.3,6.8,24.0,,12.4,6.2,,,,,,False,True,False,,,,,,,False,False,,True,True,True,False,,False,True,,,,,
01085,26,15.0,,13.0,7.0,,,,,,,27.0,9.7,,2.3,12.9,0.5,31.0,,18.9,12.9,,,,,,-11.0,,-13.0,-19.0,,,,,,,1.0,-16.3,,-23.7,-13.1,-25.5,5.0,,-7.1,-13.1,,,,,,,False,False,,,,,,,True,False,,False,False,False,True,,True,False,,,,,
01087,30,20.0,,23.0,23.0,,,,,,,29.0,35.7,,9.7,23.9,12.0,28.0,,23.0,23.6,,,,,,-10.0,,-7.0,-7.0,,,,,,,-1.0,5.7,,-20.3,-6.1,-18.0,-2.0,,-7.0,-6.4,,,,,,,True,True,,,,,,,True,True,,False,True,False,True,,True,True,,,,,
01089,497,675.0,947.6,675.0,656.0,,,,,,,649.0,1046.4,,692.8,654.4,723.4,748.0,,704.4,937.4,551.0,,,,,178.0,450.6,178.0,159.0,,,,,,,152.0,549.4,,195.8,157.4,226.4,251.0,,207.4,440.4,54.0,,,,,False,False,True,,,,,,,True,False,,False,True,False,False,,False,False,True,,,,
01091,47,33.0,,40.0,51.0,,,,,,,72.0,37.6,,21.8,40.7,36.9,49.0,,32.2,39.7,,,,,,-14.0,,-7.0,4.0,,,,,,,25.0,-9.4,,-25.2,-6.3,-10.1,2.0,,-14.8,-7.3,,,,,,,True,True,,,,,,,False,True,,False,True,True,True,,False,True,,,,,
01093,42,65.0,,56.0,56.0,,,,,,,80.0,70.4,,45.3,55.7,59.2,67.0,,38.8,122.2,,,,,,23.0,,14.0,14.0,,,,,,,38.0,28.4,,3.3,13.7,17.2,25.0,,-3.2,80.2,,,,,,,True,True,,,,,,,False,False,,True,True,True,False,,True,False,,,,,
01095,252,257.0,463.4,278.0,214.0,,,,,,,299.0,277.4,,303.2,299.1,218.7,338.0,,311.3,227.3,,,,,,5.0,211.4,26.0,-38.0,,,,,,,47.0,25.4,,51.2,47.1,-33.3,86.0,,59.3,-24.7,,,,,,False,False,False,,,,,,,False,False,,False,False,False,False,,False,False,,,,,
01097,1370,1370.0,1114.7,1377.0,1420.0,,,,,,,1377.0,989.4,,2444.7,2187.2,924.6,1900.0,,2761.2,1299.4,2088.0,,,,,0.0,-255.3,7.0,50.0,,,,,,,7.0,-380.6,,1074.7,817.2,-445.4,530.0,,1391.2,-70.6,718.0,,,,,False,False,False,,,,,,,False,False,,False,False,False,False,,False,False,False,,,,
01099,34,37.0,,37.0,38.0,,,,,,,68.0,58.3,,12.5,28.2,28.1,39.0,,36.8,34.6,,,,,,3.0,,3.0,4.0,,,,,,,34.0,24.3,,-21.5,-5.8,-5.9,5.0,,2.8,0.6,,,,,,,False,False,,,,,,,False,False,,False,False,False,False,,True,True,,,,,
01101,516,489.0,819.7,485.0,401.0,,,,,,,756.0,305.0,,460.5,537.9,398.4,637.0,,517.7,485.2,462.0,,,,,-27.0,303.7,-31.0,-115.0,,,,,,,240.0,-211.0,,-55.5,21.9,-117.6,121.0,,1.7,-30.8,-54.0,,,,,False,False,False,,,,,,,False,False,,False,True,False,False,,True,False,False,,,,
01103,213,242.0,370.3,260.0,194.0,,,,,,,303.0,320.4,,261.7,264.1,220.5,300.0,,283.7,242.2,,,,,,29.0,157.3,47.0,-19.0,,,,,,,90.0,107.4,,48.7,51.1,7.5,87.0,,70.7,29.2,,,,,,False,False,True,,,,,,,False,False,,False,False,True,False,,False,False,,,,,
01105,21,42.0,,39.0,45.0,,,,,,,27.0,43.2,,29.7,46.7,0.0,55.0,,41.6,35.6,,,,,,21.0,,18.0,24.0,,,,,,,6.0,22.2,,8.7,25.7,-21.0,34.0,,20.6,14.6,,,,,,,True,False,,,,,,,True,False,,True,False,True,False,,True,True,,,,,
01107,33,29.0,,27.0,27.0,,,,,,,56.0,32.0,,18.0,29.6,23.8,37.0,,27.5,26.3,,,,,,-4.0,,-6.0,-6.0,,,,,,,23.0,-1.0,,-15.0,-3.4,-9.2,4.0,,-5.5,-6.7,,,,,,,False,False,,,,,,,False,True,,False,True,False,False,,False,False,,,,,
01109,59,60.0,,55.0,67.0,,,,,,,114.0,45.8,,37.5,59.7,33.9,73.0,,43.5,56.2,,,,,,1.0,,-4.0,8.0,,,,,,,55.0,-13.2,,-21.5,0.7,-25.1,14.0,,-15.5,-2.8,,,,,,,False,False,,,,,,,False,False,,False,True,False,False,,False,False,,,,,
01111,10,29.0,,26.0,26.0,,,,,,,48.0,42.4,,9.8,25.2,33.6,35.0,,23.4,29.0,,,,,,19.0,,16.0,16.0,,,,,,,38.0,32.4,,-0.2,15.2,23.6,25.0,,13.4,19.0,,,,,,,True,True,,,,,,,False,False,,True,True,False,False,,True,True,,,,,
01113,173,154.0,214.4,151.0,117.0,,,,,,,153.0,142.3,,148.9,166.7,113.9,177.0,,178.5,135.7,,,,,,-19.0,41.4,-22.0,-56.0,,,,,,,-20.0,-30.7,,-24.1,-6.3,-59.1,4.0,,5.5,-37.3,,,,,,False,False,False,,,,,,,False,False,,False,True,False,True,,True,False,,,,,
01115,159,211.0,238.6,180.0,189.0,,,,,,,170.0,245.1,,165.6,161.6,197.9,204.0,,151.0,237.6,,,,,,52.0,79.6,21.0,30.0,,,,,,,11.0,86.1,,6.6,2.6,38.9,45.0,,-8.0,78.6,,,,,,False,True,True,,,,,,,True,False,,True,True,True,True,,True,False,,,,,
01117,306,359.0,628.1,359.0,306.0,,,,,,,412.0,510.0,,359.8,330.1,355.5,410.0,,312.1,383.4,331.0,,,,,53.0,322.1,53.0,0.0,,,,,,,106.0,204.0,,53.8,24.1,49.5,104.0,,6.1,77.4,25.0,,,,,False,False,True,,,,,,,False,False,,False,True,True,False,,True,False,True,,,,
01119,3,23.0,,14.0,13.0,,,,,,,37.0,8.7,,3.7,14.5,0.4,27.0,,14.6,20.3,,,,,,20.0,,11.0,10.0,,,,,,,34.0,5.7,,0.7,11.5,-2.6,24.0,,11.6,17.3,,,,,,,True,True,,,,,,,False,True,,True,True,True,False,,True,True,,,,,
01121,147,160.0,172.3,163.0,148.0,,,,,,,176.0,242.3,,161.6,156.7,146.4,169.0,,170.5,240.2,,,,,,13.0,25.3,16.0,1.0,,,,,,,29.0,95.3,,14.6,9.7,-0.6,22.0,,23.5,93.2,,,,,,False,False,True,,,,,,,False,False,,False,True,True,False,,False,False,,,,,
01123,53,47.0,,47.0,48.0,,,,,,,96.0,64.4,,24.0,38.0,24.9,64.0,,31.7,51.6,,,,,,-6.0,,-6.0,-5.0,,,,,,,43.0,11.4,,-29.0,-15.0,-28.1,11.0,,-21.3,-1.4,,,,,,,False,True,,,,,,,False,False,,False,False,False,False,,False,True,,,,,
01125,339,345.0,387.5,338.0,307.0,,,,,,,613.0,380.6,,307.2,333.3,325.0,406.0,,391.8,338.0,326.0,,,,,6.0,48.5,-1.0,-32.0,,,,,,,274.0,41.6,,-31.8,-5.7,-14.0,67.0,,52.8,-1.0,-13.0,,,,,False,True,False,,,,,,,False,False,,False,True,False,False,,False,True,False,,,,
01127,70,94.0,229.0,90.0,85.0,,,,,,,195.0,133.8,,37.1,75.0,89.2,112.0,,106.0,84.0,,,,,,24.0,159.0,20.0,15.0,,,,,,,125.0,63.8,,-32.9,5.0,19.2,42.0,,36.0,14.0,,,,,,False,True,True,,,,,,,False,False,,False,True,True,False,,False,True,,,,,
01129,82,35.0,,34.0,61.0,,,,,,,53.0,37.9,,16.6,37.4,21.6,42.0,,20.9,34.4,,,,,,-47.0,,-48.0,-21.0,,,,,,,-29.0,-44.1,,-65.4,-44.6,-60.4,-40.0,,-61.1,-47.6,,,,,,,False,True,,,,,,,True,True,,False,True,False,True,,False,False,,,,,
01131,26,20.0,,18.0,20.0,,,,,,,33.0,16.2,,8.2,20.7,1.2,31.0,,16.9,18.4,,,,,,-6.0,,-8.0,-6.0,,,,,,,7.0,-9.8,,-17.8,-5.3,-24.8,5.0,,-9.1,-7.6,,,,,,,False,False,,,,,,,False,False,,False,True,False,True,,False,False,,,,,
01133,24,48.0,,41.0,40.0,,,,,,,66.0,58.7,,27.4,39.0,36.7,55.0,,41.2,42.5,,,,,,24.0,,17.0,16.0,,,,,,,42.0,34.7,,3.4,15.0,12.7,31.0,,17.2,18.5,,,,,,,True,True,,,,,,,False,False,,True,True,True,False,,True,True,,,,,
02013,1,0.0,,0.0,0.0,,,,,,,,1.3,,,0.0,,0.0,,0.5,,,,,,,-1.0,,-1.0,-1.0,,,,,,,,0.3,,,-1.0,,-1.0,,-0.5,,,,,,,,False,False,,,,,,,,True,,,True,,False,,True,,,,,,
02016,0,3.0,,2.0,0.0,,,,,,,,6.0,,,0.3,,0.0,,2.0,,,,,,,3.0,,2.0,0.0,,,,,,,,6.0,,,0.3,,0.0,,2.0,,,,,,,,True,True,,,,,,,,False,,,True,,True,,True,,,,,,
02020,331,589.0,328.8,589.0,745.0,,,,,,,,734.2,,588.7,561.7,390.7,723.0,,802.9,617.4,862.0,,,,,258.0,-2.2,258.0,414.0,,,,,,,,403.2,,257.7,230.7,59.7,392.0,,471.9,286.4,531.0,,,,,True,False,False,,,,,,,,False,,True,True,True,False,,False,False,False,,,,
02050,2,2.0,,2.0,0.0,,,,,,,,1.3,,1.5,2.2,,,,3.2,,,,,,,0.0,,0.0,-2.0,,,,,,,,-0.7,,-0.5,0.2,,,,1.2,,,,,,,,True,False,,,,,,,,False,,False,False,,,,False,,,,,,
02060,3,0.0,,0.0,0.0,,,,,,,,0.0,,0.1,0.0,,0.0,,0.0,,,,,,,-3.0,,-3.0,-3.0,,,,,,,,-3.0,,-2.9,-3.0,,-3.0,,-3.0,,,,,,,,False,False,,,,,,,,False,,True,True,,False,,False,,,,,,
02068,0,0.0,,0.0,0.0,,,,,,,,0.5,,,0.0,,0.0,,0.4,,,,,,,0.0,,0.0,0.0,,,,,,,,0.5,,,0.0,,0.0,,0.4,,,,,,,,True,True,,,,,,,,False,,,True,,True,,False,,,,,,
02070,0,0.0,,0.0,0.0,,,,,,,,1.4,,0.0,0.0,,0.0,,0.3,,,,,,,0.0,,0.0,0.0,,,,,,,,1.4,,0.0,0.0,,0.0,,0.3,,,,,,,,True,True,,,,,,,,False,,False,True,,True,,False,,,,,,
