,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,99026,84328.0,,123934.7,65149.0,91580.0,48795.4,56519.8,101777.2,,89348.9,81997.0,,68688.9,169554.6,-14698.0,,24908.7,-33877.0,-7446.0,-50230.6,-42506.2,2751.2,,-9677.1,-17029.0,,-30337.1,70528.6,,False,False,True,False,False,True,,True,False,,False,False
Hawaii,2146,804.0,,1169.1,126.0,,1709.6,660.6,1161.7,,322.3,904.7,,282.4,1350.9,-1342.0,,-976.9,-2020.0,,-436.4,-1485.4,-984.3,,-1823.7,-1241.3,,-1863.6,-795.1,,True,False,,True,False,True,,False,True,,False,True
Idaho,13991,12544.0,,21421.4,7319.0,22588.0,7903.1,12236.8,15000.3,,7912.5,16710.4,,7179.9,15316.1,-1447.0,,7430.4,-6672.0,8597.0,-6087.9,-1754.2,1009.3,,-6078.5,2719.4,,-6811.1,1325.1,,False,False,False,False,False,True,,False,False,,False,True
Illinois,39904,29928.0,,18935.4,1751.0,26321.0,60943.5,18292.7,34501.9,,27873.1,42404.6,,3229.7,32583.5,-9976.0,,-20968.6,-38153.0,-13583.0,21039.5,-21611.3,-5402.1,,-12030.9,2500.6,,-36674.3,-7320.5,,False,False,False,False,False,True,,False,True,,False,True
Indiana,22208,14588.0,,16138.7,5104.0,14702.0,28173.2,11731.5,20267.3,,12118.4,21283.2,,5926.5,18018.8,-7620.0,,-6069.3,-17104.0,-7506.0,5965.2,-10476.5,-1940.7,,-10089.6,-924.8,,-16281.5,-4189.2,,True,False,True,True,False,True,,False,True,,False,True
Iowa,13877,14388.0,,16741.8,3369.0,20271.0,15069.9,13959.4,21394.6,,12207.6,21008.8,,7041.5,20624.3,511.0,,2864.8,-10508.0,6394.0,1192.9,82.4,7517.6,,-1669.4,7131.8,,-6835.5,6747.3,,False,False,False,False,True,False,,False,False,,False,False
Kansas,11758,11104.0,,17303.5,2707.0,17236.0,11497.4,7863.7,14095.1,,3419.1,14575.0,,5071.2,29752.5,-654.0,,5545.5,-9051.0,5478.0,-260.6,-3894.3,2337.1,,-8338.9,2817.0,,-6686.8,17994.5,,False,False,False,True,False,False,,False,False,,False,False
Kentucky,15457,10980.0,,10345.8,6613.0,10649.0,15064.4,6966.6,14677.6,,5192.2,9406.3,,5386.5,5482.5,-4477.0,,-5111.2,-8844.0,-4808.0,-392.6,-8490.4,-779.4,,-10264.8,-6050.7,,-10070.5,-9974.5,,False,False,False,True,False,True,,False,False,,False,False
Louisiana,51943,54056.0,,61850.8,23029.0,94049.0,32762.5,32041.9,59492.2,,26236.5,52779.2,,38616.9,32836.8,2113.0,,9907.8,-28914.0,42106.0,-19180.5,-19901.1,7549.2,,-25706.5,836.2,,-13326.1,-19106.2,,False,False,False,False,False,False,,False,True,,False,False
Maine,509,492.0,,530.0,447.0,464.0,1671.3,290.3,737.1,,799.5,305.1,,461.3,1332.4,-17.0,,21.0,-62.0,-45.0,1162.3,-218.7,228.1,,290.5,-203.9,,-47.7,823.4,,False,False,False,False,False,False,,False,False,,False,False
Maryland,22114,12504.0,,7210.2,2565.0,10040.0,17415.9,10017.1,18919.8,,13438.3,26786.6,,3600.1,17792.5,-9610.0,,-14903.8,-19549.0,-12074.0,-4698.1,-12096.9,-3194.2,,-8675.7,4672.6,,-18513.9,-4321.5,,False,False,False,True,False,True,,True,True,,False,True
Massachusetts,7477,6240.0,,4073.2,875.0,5179.0,13455.8,4115.7,5420.8,,4287.8,5251.6,,619.1,7368.6,-1237.0,,-3403.8,-6602.0,-2298.0,5978.8,-3361.3,-2056.2,,-3189.2,-2225.4,,-6857.9,-108.4,,False,False,False,False,False,False,,False,False,,False,True
Michigan,19821,15156.0,,15477.2,4676.0,21932.0,41139.0,9810.6,18592.9,,9496.4,25000.1,,2556.9,28773.0,-4665.0,,-4343.8,-15145.0,2111.0,21318.0,-10010.4,-1228.1,,-10324.6,5179.1,,-17264.1,8952.0,,True,False,True,False,False,True,,False,False,,False,False
Minnesota,18530,15788.0,,11840.3,4523.0,21257.0,20992.3,13365.9,22816.8,,4545.8,15988.0,,3410.5,6520.0,-2742.0,,-6689.7,-14007.0,2727.0,2462.3,-5164.1,4286.8,,-13984.2,-2542.0,,-15119.5,-12010.0,,False,False,True,True,False,False,,False,True,,False,False
Mississippi,31227,18980.0,,27930.0,14263.0,25078.0,18020.6,17839.2,26868.8,,3343.8,21703.2,,15009.9,30733.0,-12247.0,,-3297.0,-16964.0,-6149.0,-13206.4,-13387.8,-4358.2,,-27883.2,-9523.8,,-16217.1,-494.0,,True,False,True,False,False,True,,False,True,,False,True
Missouri,30099,16092.0,,19615.8,10552.0,18153.0,20118.3,8715.3,19536.5,,13939.1,21494.2,,11258.0,15670.0,-14007.0,,-10483.2,-19547.0,-11946.0,-9980.7,-21383.7,-10562.5,,-16159.9,-8604.8,,-18841.0,-14429.0,,True,False,True,True,False,True,,False,True,,False,False
Montana,3212,2040.0,,3906.1,919.0,2098.0,2222.0,2669.7,3396.1,,1235.9,3567.9,,6213.8,6000.6,-1172.0,,694.1,-2293.0,-1114.0,-990.0,-542.3,184.1,,-1976.1,355.9,,3001.8,2788.6,,True,False,True,True,True,True,,False,True,,False,False
Nebraska,7247,4684.0,,3458.6,928.0,12102.0,9345.9,3440.3,6250.8,,3189.0,4161.8,,737.0,4088.3,-2563.0,,-3788.4,-6319.0,4855.0,2098.9,-3806.7,-996.2,,-4058.0,-3085.2,,-6510.0,-3158.7,,False,False,False,True,False,True,,False,False,,False,False
Nevada,28581,21052.0,,36557.4,18906.0,39600.0,15274.6,19504.0,27064.8,,8850.3,20918.4,,29467.3,41553.8,-7529.0,,7976.4,-9675.0,11019.0,-13306.4,-9077.0,-1516.2,,-19730.7,-7662.6,,886.3,12972.8,,False,False,False,False,False,True,,False,False,,True,False
New Hampshire,794,608.0,,191.1,178.0,511.0,2382.4,416.0,903.7,,607.3,551.7,,268.7,364.9,-186.0,,-602.9,-616.0,-283.0,1588.4,-378.0,109.7,,-186.7,-242.3,,-525.3,-429.1,,False,False,False,False,False,True,,False,False,,False,False
New Jersey,10709,7704.0,,5944.3,597.0,11994.0,25914.0,4655.3,6613.6,,5483.1,6515.7,,184.3,12572.8,-3005.0,,-4764.7,-10112.0,1285.0,15205.0,-6053.7,-4095.4,,-5225.9,-4193.3,,-10524.7,1863.8,,False,False,True,False,False,False,,False,False,,False,True
New Mexico,7342,6840.0,,7924.6,3248.0,8817.0,10419.4,5076.1,9360.1,,6241.1,9591.4,,3982.8,10565.1,-502.0,,582.6,-4094.0,1475.0,3077.4,-2265.9,2018.1,,-1100.9,2249.4,,-3359.2,3223.1,,False,False,False,False,False,False,,False,False,,False,False
New York,19300,17724.0,,15700.3,3332.0,82299.0,60626.8,11084.8,20159.1,,8814.6,16863.0,,249.2,30786.2,-1576.0,,-3599.7,-15968.0,62999.0,41326.8,-8215.2,859.1,,-10485.4,-2437.0,,-19050.8,11486.2,,False,False,False,False,False,True,,False,False,,False,False
North Carolina,51735,48944.0,,50928.2,64729.0,119322.0,49974.2,39737.2,61221.1,,42439.5,57597.1,,47490.1,47711.6,-2791.0,,-806.8,12994.0,67587.0,-1760.8,-11997.8,9486.1,,-9295.5,5862.1,,-4244.9,-4023.4,,True,False,False,True,False,False,,False,False,,False,False
North Dakota,3265,1856.0,,1519.8,429.0,3262.0,2308.6,1793.3,3230.3,,665.5,2273.5,,863.5,3378.8,-1409.0,,-1745.2,-2836.0,-3.0,-956.4,-1471.7,-34.7,,-2599.5,-991.5,,-2401.5,113.8,,False,False,True,True,False,True,,False,True,,False,True
Ohio,35755,32124.0,,40121.1,35431.0,35958.0,37882.7,29344.5,46206.9,,34271.5,46148.5,,20180.3,63368.7,-3631.0,,4366.1,-324.0,203.0,2127.7,-6410.5,10451.9,,-1483.5,10393.5,,-15574.7,27613.7,,False,True,True,True,False,False,,True,False,,False,False
Oklahoma,23301,16524.0,,23246.7,11314.0,89467.0,18979.4,12138.9,20871.7,,16968.0,21965.4,,20785.6,19236.1,-6777.0,,-54.3,-11987.0,66166.0,-4321.6,-11162.1,-2429.3,,-6333.0,-1335.6,,-2515.4,-4064.9,,True,False,False,True,False,True,,True,True,,True,True
Oregon,9159,7684.0,,10434.1,6339.0,14541.0,15869.7,7378.3,11552.4,,7274.7,8480.2,,11101.7,12566.1,-1475.0,,1275.1,-2820.0,5382.0,6710.7,-1780.7,2393.4,,-1884.3,-678.8,,1942.7,3407.1,,True,False,False,False,False,False,,False,True,,False,False
Pennsylvania,23449,21176.0,,22726.7,5011.0,27463.0,30843.7,12666.0,25952.7,,20223.8,40595.6,,4958.8,30118.4,-2273.0,,-722.3,-18438.0,4014.0,7394.7,-10783.0,2503.7,,-3225.2,17146.6,,-18490.2,6669.4,,True,False,False,False,False,False,,False,False,,False,False
Rhode Island,2426,1284.0,,773.3,178.0,3065.0,562.2,488.6,977.7,,970.2,1005.6,,85.8,600.7,-1142.0,,-1652.7,-2248.0,639.0,-1863.8,-1937.4,-1448.3,,-1455.8,-1420.4,,-2340.2,-1825.3,,False,False,True,False,False,False,,False,False,,False,False
South Carolina,44761,45252.0,,70949.2,28384.0,44336.0,33724.7,48779.4,59920.0,,29858.2,44323.4,,43036.1,63592.2,491.0,,26188.2,-16377.0,-425.0,-11036.3,4018.4,15159.0,,-14902.8,-437.6,,-1724.9,18831.2,,False,False,True,False,False,False,,False,True,,False,False
South Dakota,2023,1704.0,,1466.5,803.0,1679.0,2352.7,1194.8,1921.0,,1636.7,1241.8,,629.0,2397.3,-319.0,,-556.5,-1220.0,-344.0,329.7,-828.2,-102.0,,-386.3,-781.2,,-1394.0,374.3,,False,False,False,False,False,True,,False,False,,False,False
Tennessee,59579,43464.0,,55572.6,47530.0,47567.0,32749.8,24224.5,45589.9,,15852.3,38892.2,,35899.5,73796.5,-16115.0,,-4006.4,-12049.0,-12012.0,-26829.2,-35354.5,-13989.1,,-43726.7,-20686.8,,-23679.5,14217.5,,True,True,True,False,False,True,,False,False,,False,True
Texas,247243,241828.0,,392182.0,223150.0,460356.0,155846.0,202811.9,293670.5,,160843.4,328190.4,,310250.7,211987.8,-5415.0,,144939.0,-24093.0,213113.0,-91397.0,-44431.1,46427.5,,-86399.6,80947.4,,63007.7,-35255.2,,False,False,False,False,False,False,,False,False,,False,False
Utah,14896,17252.0,,20609.7,18971.0,22696.0,14243.4,13832.2,20844.1,,11915.5,19775.0,,18020.5,12849.7,2356.0,,5713.7,4075.0,7800.0,-652.6,-1063.8,5948.1,,-2980.5,4879.0,,3124.5,-2046.3,,False,False,False,True,True,False,,False,False,,False,True
Vermont,171,180.0,,79.4,18.0,144.0,653.4,138.7,301.8,,141.2,181.4,,0.0,153.0,9.0,,-91.6,-153.0,-27.0,482.4,-32.3,130.8,,-29.8,10.4,,-171.0,-18.0,,False,False,False,False,False,False,,False,False,,False,False
Virginia,29407,18692.0,,12597.6,8804.0,23701.0,31015.6,15564.9,28953.2,,10476.7,22659.5,,8181.0,7004.5,-10715.0,,-16809.4,-20603.0,-5706.0,1608.6,-13842.1,-453.8,,-18930.3,-6747.5,,-21226.0,-22402.5,,False,False,True,True,False,True,,False,True,,False,False
Washington,22517,15884.0,,24450.2,11888.0,17820.0,21584.3,18487.3,26736.1,,14246.1,27337.0,,11611.8,26969.1,-6633.0,,1933.2,-10629.0,-4697.0,-932.7,-4029.7,4219.1,,-8270.9,4820.0,,-10905.2,4452.1,,True,False,True,True,True,True,,False,True,,False,True
West Virginia,3417,3764.0,,4654.7,3632.0,2265.0,3948.6,3432.0,5396.0,,940.0,4482.5,,4115.3,6637.9,347.0,,1237.7,215.0,-1152.0,531.6,15.0,1979.0,,-2477.0,1065.5,,698.3,3220.9,,False,True,False,False,True,False,,False,False,,False,False
Wisconsin,24254,18496.0,,19683.2,9147.0,20288.0,26434.8,16888.4,26090.7,,23782.4,22961.7,,13096.9,29744.6,-5758.0,,-4570.8,-15107.0,-3966.0,2180.8,-7365.6,1836.7,,-471.6,-1292.3,,-11157.1,5490.6,,True,False,True,True,False,True,,True,True,,False,True
Wyoming,1176,932.0,,1709.2,655.0,718.0,1785.0,615.8,1190.2,,821.6,919.1,,911.0,867.5,-244.0,,533.2,-521.0,-458.0,609.0,-560.2,14.2,,-354.4,-256.9,,-265.0,-308.5,,False,False,False,False,False,True,,False,False,,False,False
US,1747420,1618736.0,1742641.0,2107628.8,1305905.0,2018177.0,1404228.4,1211034.2,1952982.8,2284849.2,1630538.6,1900626.8,1926904.4,1394585.9,2248607.4,-128684.0,-4779.0,360208.8,-441515.0,270757.0,-343191.6,-536385.8,205562.8,537429.2,-116881.4,153206.8,179484.4,-352834.1,501187.4,True,False,False,False,False,False,False,False,True,False,False,False,False
