,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Mississippi,35972,25715.0,,27307.9,24136.9,19731.0,6213.3,29042.0,13684.9,13288.7,27411.0,1899.4,34496.3,,14660.7,38059.3,-10257.0,,-8664.1,-11835.1,-16241.0,-29758.7,-6930.0,-22287.1,-22683.3,-8561.0,-34072.6,-1475.7,,-21311.3,2087.3,,True,False,False,False,True,False,False,True,False,True,,False,True
Missouri,34438,15055.0,,21120.8,48225.3,10880.0,3189.8,16785.0,18792.4,10753.9,16922.0,630.8,18303.3,,9283.9,19140.1,-19383.0,,-13317.2,13787.3,-23558.0,-31248.2,-17653.0,-15645.6,-23684.1,-17516.0,-33807.2,-16134.7,,-25154.1,-15297.9,,True,True,False,False,True,True,False,True,False,True,,False,True
Montana,3722,1575.0,,3029.5,5210.7,620.0,371.3,590.0,2053.3,1607.0,1748.0,99.2,1619.5,,4043.7,6510.9,-2147.0,,-692.5,1488.7,-3102.0,-3350.7,-3132.0,-1668.7,-2115.0,-1974.0,-3622.8,-2102.5,,321.7,2788.9,,True,True,False,False,False,True,True,True,False,True,,True,False
Nebraska,8418,5260.0,,3790.1,3979.2,1529.0,1150.8,4578.0,8319.3,2997.4,3443.0,497.2,2513.7,,851.6,5217.4,-3158.0,,-4627.9,-4438.8,-6889.0,-7267.2,-3840.0,-98.7,-5420.6,-4975.0,-7920.8,-5904.3,,-7566.4,-3200.6,,False,False,False,False,False,True,False,False,False,False,,False,False
Nevada,33844,26180.0,,52717.7,30247.7,24464.0,5648.6,21795.0,22191.6,26142.0,28391.0,1634.4,25205.4,,39836.7,49059.7,-7664.0,,18873.7,-3596.3,-9380.0,-28195.4,-12049.0,-11652.4,-7702.0,-5453.0,-32209.6,-8638.6,,5992.7,15215.7,,False,True,False,False,False,False,False,True,False,False,,True,False
New Hampshire,946,775.0,,372.8,492.9,279.0,171.6,449.0,5669.4,378.4,356.0,124.9,575.2,,440.3,507.0,-171.0,,-573.2,-453.1,-667.0,-774.4,-497.0,4723.4,-567.6,-590.0,-821.1,-370.8,,-505.7,-439.0,,False,False,False,False,False,False,False,False,False,False,,False,False
New Jersey,11427,10800.0,,7339.0,8451.6,969.0,2285.5,11543.0,58498.4,6462.3,6836.0,790.4,14454.3,,295.4,15130.1,-627.0,,-4088.0,-2975.4,-10458.0,-9141.5,116.0,47071.4,-4964.7,-4591.0,-10636.6,3027.3,,-11131.6,3703.1,,False,False,False,False,True,False,False,False,False,False,,False,False
New Mexico,9052,7220.0,,5822.6,6537.0,3975.0,1768.8,6295.0,12627.8,5210.1,7966.0,499.9,9769.2,,4055.2,12412.8,-1832.0,,-3229.4,-2515.0,-5077.0,-7283.2,-2757.0,3575.8,-3841.9,-1086.0,-8552.1,717.2,,-4996.8,3360.8,,False,False,False,False,False,False,False,True,False,True,,False,False
New York,23747,23375.0,,19983.8,17918.5,6776.0,5145.7,14372.0,89976.0,13568.9,16187.0,1308.3,17399.4,,426.6,36643.7,-372.0,,-3763.2,-5828.5,-16971.0,-18601.3,-9375.0,66229.0,-10178.1,-7560.0,-22438.7,-6347.6,,-23320.4,12896.7,,False,False,False,False,False,False,False,False,False,False,,False,False
North Carolina,63278,54290.0,,54915.7,66611.5,76937.0,11534.9,95030.0,65046.0,32807.0,39460.0,5965.1,46821.8,,54315.9,59486.4,-8988.0,,-8362.3,3333.5,13659.0,-51743.1,31752.0,1768.0,-30471.0,-23818.0,-57312.9,-16456.2,,-8962.1,-3791.6,,True,True,False,False,False,True,False,False,False,False,,True,True
