,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01039,506,305.0,,784.0,,,,421.0,347.7,236.5,885.6,,,,-201.0,,278.0,,,,-85.0,-158.3,-269.5,379.6,,,,,False,,,,True,True,False,False,,,
01041,211,20.0,,0.0,,,,339.0,66.1,3.0,121.2,,,,-191.0,,-211.0,,,,128.0,-144.9,-208.0,-89.8,,,,,False,,,,True,True,False,True,,,
01043,827,335.0,,910.0,,,,810.0,610.8,110.9,1105.5,,,,-492.0,,83.0,,,,-17.0,-216.2,-716.1,278.5,,,,,True,,,,True,True,False,True,,,
01045,554,260.0,,0.0,,,,374.0,315.8,307.4,597.7,,,,-294.0,,-554.0,,,,-180.0,-238.2,-246.6,43.7,,,,,False,,,,True,True,True,True,,,
01047,530,675.0,,773.0,,,,462.0,481.6,232.8,1155.5,,,,145.0,,243.0,,,,-68.0,-48.4,-297.2,625.5,,,,,False,,,,True,True,False,False,,,
01049,1148,895.0,,4031.0,,,,723.0,372.2,1290.1,1898.8,,,,-253.0,,2883.0,,,,-425.0,-775.8,142.1,750.8,,,,,False,,,,False,False,True,False,,,
01051,869,660.0,,600.0,,,,779.0,600.8,756.8,1201.0,404.6,,,-209.0,,-269.0,,,,-90.0,-268.2,-112.2,332.0,-464.4,,,,False,,,,True,False,True,False,False,,
01053,830,610.0,,2047.0,,,,402.0,263.5,526.8,734.8,,,,-220.0,,1217.0,,,,-428.0,-566.5,-303.2,-95.2,,,,,False,,,,False,False,False,True,,,
01055,1421,900.0,,3388.0,,,,1211.0,624.4,1018.2,2116.1,1972.8,,,-521.0,,1967.0,,,,-210.0,-796.6,-402.8,695.1,551.8,,,,False,,,,True,False,True,False,False,,
01057,156,15.0,,35.0,,,,41.0,75.6,47.8,,,,,-141.0,,-121.0,,,,-115.0,-80.4,-108.2,,,,,,True,,,,True,True,True,,,,
01059,388,300.0,,334.0,,,,869.0,320.6,160.5,349.6,,,,-88.0,,-54.0,,,,481.0,-67.4,-227.5,-38.4,,,,,True,,,,False,True,False,True,,,
01061,199,95.0,,163.0,,,,362.0,104.7,19.1,,,,,-104.0,,-36.0,,,,163.0,-94.3,-179.9,,,,,,True,,,,False,True,False,,,,
01063,65,95.0,,57.0,,,,28.0,50.9,49.9,18.2,,,,30.0,,-8.0,,,,-37.0,-14.1,-15.1,-46.8,,,,,True,,,,False,True,True,False,,,
01065,178,185.0,,231.0,,,,145.0,150.9,49.1,223.0,,,,7.0,,53.0,,,,-33.0,-27.1,-128.9,45.0,,,,,False,,,,False,False,False,False,,,
01067,144,0.0,,44.0,,,,58.0,80.9,3.7,189.8,,,,-144.0,,-100.0,,,,-86.0,-63.1,-140.3,45.8,,,,,True,,,,True,True,True,True,,,
01069,950,295.0,,573.0,,,,969.0,464.3,282.8,1169.1,,,,-655.0,,-377.0,,,,19.0,-485.7,-667.2,219.1,,,,,True,,,,True,True,False,True,,,
01071,742,370.0,,1103.0,,,,224.0,254.6,490.4,1066.8,,,,-372.0,,361.0,,,,-518.0,-487.4,-251.6,324.8,,,,,True,,,,False,False,True,True,,,
01073,7948,6705.0,,29460.0,,,,8000.0,4868.3,9833.0,14726.9,10522.8,,,-1243.0,,21512.0,,,,52.0,-3079.7,1885.0,6778.9,2574.8,,,,False,,,,True,False,False,False,False,,
01075,151,55.0,,0.0,,,,40.0,73.9,45.9,,,,,-96.0,,-151.0,,,,-111.0,-77.1,-105.1,,,,,,False,,,,False,True,False,,,,
01077,684,630.0,,1255.0,,,,966.0,634.1,477.1,1974.0,,,,-54.0,,571.0,,,,282.0,-49.9,-206.9,1290.0,,,,,False,,,,False,True,False,False,,,
01079,253,85.0,,280.0,,,,84.0,139.3,21.1,355.3,,,,-168.0,,27.0,,,,-169.0,-113.7,-231.9,102.3,,,,,True,,,,False,True,False,True,,,
01081,1420,1575.0,,3377.0,,,,1223.0,710.4,1812.8,3252.2,3348.3,,,155.0,,1957.0,,,,-197.0,-709.6,392.8,1832.2,1928.3,,,,False,,,,False,False,False,False,False,,
01083,869,650.0,,2779.0,,,,661.0,245.6,732.0,2208.7,,,,-219.0,,1910.0,,,,-208.0,-623.4,-137.0,1339.7,,,,,False,,,,True,False,True,False,,,
01085,113,155.0,,337.0,,,,77.0,94.2,12.5,23.0,,,,42.0,,224.0,,,,-36.0,-18.8,-100.5,-90.0,,,,,False,,,,True,True,False,False,,,
01087,151,125.0,,198.0,,,,35.0,167.7,47.0,264.9,,,,-26.0,,47.0,,,,-116.0,16.7,-104.0,113.9,,,,,False,,,,False,True,False,False,,,
01089,3950,2315.0,,17366.0,,,,2485.0,1503.5,5552.0,7697.1,4614.2,,,-1635.0,,13416.0,,,,-1465.0,-2446.5,1602.0,3747.1,664.2,,,,False,,,,True,False,True,False,True,,
01091,251,190.0,,623.0,,,,213.0,141.3,66.9,243.0,,,,-61.0,,372.0,,,,-38.0,-109.7,-184.1,-8.0,,,,,False,,,,True,False,False,True,,,
01093,362,155.0,,383.0,,,,176.0,119.8,103.0,329.6,,,,-207.0,,21.0,,,,-186.0,-242.2,-259.0,-32.4,,,,,True,,,,True,False,False,True,,,
01095,1466,1565.0,,6087.0,,,,2478.0,716.9,1417.6,2435.3,3863.1,,,99.0,,4621.0,,,,1012.0,-749.1,-48.4,969.3,2397.1,,,,False,,,,False,False,True,False,False,,
01097,5853,3215.0,,7234.0,,,,2807.0,2137.2,3333.9,4442.6,5073.4,,,-2638.0,,1381.0,,,,-3046.0,-3715.8,-2519.1,-1410.4,-779.6,,,,True,,,,False,False,True,True,True,,
01099,245,235.0,,29.0,,,,189.0,188.9,67.5,414.3,,,,-10.0,,-216.0,,,,-56.0,-56.1,-177.5,169.3,,,,,False,,,,False,False,False,False,,,
01101,2709,2225.0,,2034.0,,,,2220.0,2316.5,1259.0,3668.9,2008.2,,,-484.0,,-675.0,,,,-489.0,-392.5,-1450.0,959.9,-700.8,,,,False,,,,False,True,False,False,False,,
01103,1318,820.0,,1416.0,,,,1878.0,752.8,657.2,2253.9,,,,-498.0,,98.0,,,,560.0,-565.2,-660.8,935.9,,,,,True,,,,False,False,False,False,,,
01105,296,300.0,,0.0,,,,25.0,107.8,420.7,103.5,,,,4.0,,-296.0,,,,-271.0,-188.2,124.7,-192.5,,,,,False,,,,False,False,False,False,,,
01107,170,185.0,,357.0,,,,77.0,110.0,158.7,383.3,,,,15.0,,187.0,,,,-93.0,-60.0,-11.3,213.3,,,,,False,,,,False,False,True,False,,,
01109,317,160.0,,153.0,,,,465.0,247.2,50.2,454.9,,,,-157.0,,-164.0,,,,148.0,-69.8,-266.8,137.9,,,,,False,,,,True,True,False,True,,,
01111,206,230.0,,28.0,,,,95.0,94.1,168.2,142.5,,,,24.0,,-178.0,,,,-111.0,-111.9,-37.8,-63.5,,,,,False,,,,False,False,False,False,,,
01113,828,650.0,,815.0,,,,291.0,416.5,414.9,1264.1,,,,-178.0,,-13.0,,,,-537.0,-411.5,-413.1,436.1,,,,,True,,,,False,False,False,False,,,
01115,1032,595.0,,2820.0,,,,400.0,249.1,895.4,1561.8,,,,-437.0,,1788.0,,,,-632.0,-782.9,-136.6,529.8,,,,,False,,,,False,False,True,False,,,
01117,2185,1425.0,,3650.0,,,,2099.0,906.3,1860.1,3501.5,2389.9,,,-760.0,,1465.0,,,,-86.0,-1278.7,-324.9,1316.5,204.9,,,,False,,,,True,False,True,False,True,,
01119,87,50.0,,0.0,,,,213.0,54.9,5.5,53.6,,,,-37.0,,-87.0,,,,126.0,-32.1,-81.5,-33.4,,,,,False,,,,False,True,False,True,,,
01121,949,415.0,,1941.0,,,,844.0,519.6,276.1,1302.2,437.1,,,-534.0,,992.0,,,,-105.0,-429.4,-672.9,353.2,-511.9,,,,False,,,,True,True,False,True,True,,
01123,318,245.0,,570.0,,,,356.0,163.6,114.5,260.1,,,,-73.0,,252.0,,,,38.0,-154.4,-203.5,-57.9,,,,,False,,,,True,False,False,True,,,
01125,2012,1935.0,,4184.0,,,,3320.0,1910.0,2170.9,3594.0,1358.0,,,-77.0,,2172.0,,,,1308.0,-102.0,158.9,1582.0,-654.0,,,,False,,,,False,False,False,False,False,,
01127,608,670.0,,1313.0,,,,1230.0,727.4,294.3,1075.9,789.0,,,62.0,,705.0,,,,622.0,119.4,-313.7,467.9,181.0,,,,False,,,,False,False,False,False,False,,
01129,278,35.0,,70.0,,,,133.0,56.7,6.3,81.3,,,,-243.0,,-208.0,,,,-145.0,-221.3,-271.7,-196.7,,,,,True,,,,True,True,False,True,,,
01131,146,95.0,,0.0,,,,118.0,70.1,15.9,185.4,,,,-51.0,,-146.0,,,,-28.0,-75.9,-130.1,39.4,,,,,False,,,,True,False,False,True,,,
01133,198,190.0,,352.0,,,,215.0,192.6,116.8,451.9,,,,-8.0,,154.0,,,,17.0,-5.4,-81.2,253.9,,,,,False,,,,False,True,False,False,,,
02013,2,0.0,,0.0,,,,,0.0,,,,,,-2.0,,-2.0,,,,,-2.0,,,,,,,False,,,,,False,,,,,
02016,84,0.0,,0.0,,,,,0.0,,,,,,-84.0,,-84.0,,,,,-84.0,,,,,,,False,,,,,False,,,,,
02020,1673,645.0,,3731.0,,,,,557.4,575.2,1417.2,735.6,,,-1028.0,,2058.0,,,,,-1115.6,-1097.8,-255.8,-937.4,,,,False,,,,,False,False,True,True,,
02050,11,10.0,,0.0,,,,,29.5,1.1,,,,,-1.0,,-11.0,,,,,18.5,-9.9,,,,,,False,,,,,False,False,,,,
02060,0,0.0,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,,True,,,,,True,,,,,
02068,3,0.0,,0.0,,,,,0.0,,,,,,-3.0,,-3.0,,,,,-3.0,,,,,,,False,,,,,False,,,,,
02070,1,0.0,,0.0,,,,,0.0,,,,,,-1.0,,-1.0,,,,,-1.0,,,,,,,False,,,,,False,,,,,
02090,291,150.0,,2.0,,,,,179.4,101.4,174.3,,,,-141.0,,-289.0,,,,,-111.6,-189.6,-116.7,,,,,False,,,,,True,False,True,,,
02100,2,0.0,,0.0,,,,,18.0,,,,,,-2.0,,-2.0,,,,,16.0,,,,,,,False,,,,,False,,,,,
02105,0,0.0,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,,True,,,,,True,,,,,
02110,120,10.0,,0.0,,,,,55.3,9.1,,,,,-110.0,,-120.0,,,,,-64.7,-110.9,,,,,,False,,,,,True,False,,,,
02122,319,150.0,,0.0,,,,,138.3,17.5,469.6,,,,-169.0,,-319.0,,,,,-180.7,-301.5,150.6,,,,,False,,,,,False,False,True,,,
02130,21,5.0,,0.0,,,,,10.9,2.2,,,,,-16.0,,-21.0,,,,,-10.1,-18.8,,,,,,False,,,,,True,False,,,,
02150,25,5.0,,0.0,,,,,50.6,0.2,,,,,-20.0,,-25.0,,,,,25.6,-24.8,,,,,,False,,,,,False,False,,,,
02158,5,5.0,,0.0,,,,,,,,,,,0.0,,-5.0,,,,,,,,,,,,False,,,,,,,,,,
02164,24,0.0,,0.0,,,,,0.0,,,,,,-24.0,,-24.0,,,,,-24.0,,,,,,,False,,,,,False,,,,,
02170,223,215.0,,0.0,,,,,282.6,372.6,427.1,,,,-8.0,,-223.0,,,,,59.6,149.6,204.1,,,,,False,,,,,False,False,False,,,
02180,11,15.0,,0.0,,,,,21.6,0.5,,,,,4.0,,-11.0,,,,,10.6,-10.5,,,,,,False,,,,,False,False,,,,
02185,19,0.0,,0.0,,,,,55.7,0.1,,,,,-19.0,,-19.0,,,,,36.7,-18.9,,,,,,False,,,,,False,True,,,,
02188,34,5.0,,0.0,,,,,25.0,0.3,,,,,-29.0,,-34.0,,,,,-9.0,-33.7,,,,,,False,,,,,True,False,,,,
02195,3,5.0,,0.0,,,,,4.2,0.3,,,,,2.0,,-3.0,,,,,1.2,-2.7,,,,,,False,,,,,True,False,,,,
02198,5,0.0,,0.0,,,,,15.1,0.1,,,,,-5.0,,-5.0,,,,,10.1,-4.9,,,,,,False,,,,,False,True,,,,
02220,21,5.0,,0.0,,,,,25.0,1.0,,,,,-16.0,,-21.0,,,,,4.0,-20.0,,,,,,False,,,,,True,False,,,,
02230,0,0.0,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,,True,,,,,True,,,,,
02240,12,35.0,,0.0,,,,,10.6,0.6,,,,,23.0,,-12.0,,,,,-1.4,-11.4,,,,,,True,,,,,True,True,,,,
02261,73,15.0,,0.0,,,,,0.0,0.2,,,,,-58.0,,-73.0,,,,,-73.0,-72.8,,,,,,False,,,,,False,False,,,,
02275,6,0.0,,0.0,,,,,21.3,,,,,,-6.0,,-6.0,,,,,15.3,,,,,,,False,,,,,False,,,,,
02282,10,0.0,,0.0,,,,,0.0,,,,,,-10.0,,-10.0,,,,,-10.0,,,,,,,False,,,,,False,,,,,
02290,48,5.0,,0.0,,,,,28.7,0.3,,,,,-43.0,,-48.0,,,,,-19.3,-47.7,,,,,,False,,,,,True,False,,,,
04001,733,865.0,,1499.0,,,,1143.0,713.1,173.1,502.2,1025.5,,,132.0,,766.0,,,,410.0,-19.9,-559.9,-230.8,292.5,,,,False,,,,False,True,False,False,False,,
04003,863,1010.0,,2486.0,,,,215.0,1771.0,515.0,2428.6,1485.2,,,147.0,,1623.0,,,,-648.0,908.0,-348.0,1565.6,622.2,,,,False,,,,False,False,False,False,False,,
04005,978,1860.0,,3884.0,,,,979.0,1073.1,1673.1,1589.5,2954.2,,,882.0,,2906.0,,,,1.0,95.1,695.1,611.5,1976.2,,,,False,,,,True,True,True,True,False,,
04007,586,430.0,,13.0,,,,603.0,667.3,454.8,930.1,,,,-156.0,,-573.0,,,,17.0,81.3,-131.2,344.1,,,,,False,,,,True,True,True,False,,,
04009,419,225.0,,0.0,,,,159.0,198.0,502.9,489.9,,,,-194.0,,-419.0,,,,-260.0,-221.0,83.9,70.9,,,,,False,,,,False,False,True,True,,,
04011,45,0.0,,0.0,,,,40.0,24.5,0.2,,,,,-45.0,,-45.0,,,,-5.0,-20.5,-44.8,,,,,,False,,,,True,True,True,,,,
04012,121,210.0,,0.0,,,,207.0,274.1,20.2,395.0,,,,89.0,,-121.0,,,,86.0,153.1,-100.8,274.0,,,,,False,,,,True,False,False,False,,,
04013,65716,87275.0,,324171.0,,,,116915.0,28722.9,124874.3,168767.4,138666.5,,,21559.0,,258455.0,,,,51199.0,-36993.1,59158.3,103051.4,72950.5,,,,False,,,,False,False,False,False,False,,
04015,1792,1980.0,,7893.0,,,,1059.0,2909.7,1586.0,4546.3,2285.7,,,188.0,,6101.0,,,,-733.0,1117.7,-206.0,2754.3,493.7,,,,False,,,,False,False,False,False,False,,
04017,1520,2255.0,,2835.0,,,,2046.0,1198.5,1201.3,3537.1,2804.2,,,735.0,,1315.0,,,,526.0,-321.5,-318.7,2017.1,1284.2,,,,False,,,,True,True,True,False,False,,
04019,8415,11135.0,,14339.0,,,,12488.0,11200.8,10819.6,21928.3,15912.0,,,2720.0,,5924.0,,,,4073.0,2785.8,2404.6,13513.3,7497.0,,,,False,,,,False,False,True,False,False,,
04021,4129,5415.0,,10773.0,,,,3811.0,4082.2,8080.0,10341.4,9047.8,,,1286.0,,6644.0,,,,-318.0,-46.8,3951.0,6212.4,4918.8,,,,False,,,,True,True,False,False,False,,
04023,728,1390.0,,583.0,,,,2377.0,834.3,598.2,440.0,,,,662.0,,-145.0,,,,1649.0,106.3,-129.8,-288.0,,,,,True,,,,False,True,True,True,,,
04025,1099,1265.0,,7504.0,,,,2301.0,2375.8,1258.2,4308.3,2275.9,,,166.0,,6405.0,,,,1202.0,1276.8,159.2,3209.3,1176.9,,,,False,,,,False,False,True,False,False,,
04027,4450,6910.0,,7198.0,,,,6138.0,3108.5,3274.1,12432.5,6609.6,,,2460.0,,2748.0,,,,1688.0,-1341.5,-1175.9,7982.5,2159.6,,,,False,,,,True,True,True,False,True,,
05001,176,55.0,,0.0,,,,26.0,40.5,8.8,,,,,-121.0,,-176.0,,,,-150.0,-135.5,-167.2,,,,,,False,,,,False,False,False,,,,
05003,243,60.0,,0.0,,,,94.0,57.4,40.5,,,,,-183.0,,-243.0,,,,-149.0,-185.7,-202.5,,,,,,False,,,,True,False,False,,,,
05005,49,30.0,,28.0,,,,15.0,24.4,2.5,,,,,-19.0,,-21.0,,,,-34.0,-24.6,-46.5,,,,,,False,,,,False,False,False,,,,
05007,1794,1940.0,,1416.0,,,,2727.0,1314.1,832.3,6041.8,1568.0,,,146.0,,-378.0,,,,933.0,-479.9,-961.7,4247.8,-226.0,,,,False,,,,False,False,False,False,False,,
05009,179,35.0,,63.0,,,,72.0,25.2,7.5,,,,,-144.0,,-116.0,,,,-107.0,-153.8,-171.5,,,,,,True,,,,True,False,False,,,,
05011,131,70.0,,0.0,,,,56.0,19.2,13.2,,,,,-61.0,,-131.0,,,,-75.0,-111.8,-117.8,,,,,,False,,,,False,False,False,,,,
05013,15,10.0,,0.0,,,,0.0,24.3,,,,,,-5.0,,-15.0,,,,-15.0,9.3,,,,,,,False,,,,False,False,,,,,
05015,166,130.0,,360.0,,,,81.0,185.0,48.0,546.1,,,,-36.0,,194.0,,,,-85.0,19.0,-118.0,380.1,,,,,False,,,,False,True,False,False,,,
05017,570,195.0,,0.0,,,,130.0,43.7,120.4,286.4,,,,-375.0,,-570.0,,,,-440.0,-526.3,-449.6,-283.6,,,,,False,,,,False,False,False,True,,,
05019,124,15.0,,94.0,,,,47.0,6.4,9.5,,,,,-109.0,,-30.0,,,,-77.0,-117.6,-114.5,,,,,,True,,,,True,False,False,,,,
05021,68,65.0,,0.0,,,,18.0,66.4,31.7,,,,,-3.0,,-68.0,,,,-50.0,-1.6,-36.3,,,,,,False,,,,False,True,False,,,,
05023,84,135.0,,0.0,,,,40.0,3.8,105.4,6.8,,,,51.0,,-84.0,,,,-44.0,-80.2,21.4,-77.2,,,,,False,,,,True,False,True,False,,,
05025,69,20.0,,0.0,,,,9.0,4.4,2.7,,,,,-49.0,,-69.0,,,,-60.0,-64.6,-66.3,,,,,,False,,,,False,False,False,,,,
05027,125,75.0,,182.0,,,,54.0,38.8,41.2,,,,,-50.0,,57.0,,,,-71.0,-86.2,-83.8,,,,,,False,,,,False,False,False,,,,
05029,81,125.0,,264.0,,,,88.0,33.6,33.8,,,,,44.0,,183.0,,,,7.0,-47.4,-47.2,,,,,,False,,,,True,False,False,,,,
05031,864,180.0,,185.0,,,,860.0,537.8,42.1,610.5,305.2,,,-684.0,,-679.0,,,,-4.0,-326.2,-821.9,-253.5,-558.8,,,,True,,,,True,True,False,True,True,,
05033,412,365.0,,779.0,,,,1264.0,204.8,302.3,1181.1,,,,-47.0,,367.0,,,,852.0,-207.2,-109.7,769.1,,,,,False,,,,False,False,False,False,,,
05035,585,350.0,,426.0,,,,783.0,229.8,27.6,815.2,,,,-235.0,,-159.0,,,,198.0,-355.1,-557.4,230.2,,,,,True,,,,True,False,False,True,,,
05037,107,15.0,,2.0,,,,71.0,46.1,21.1,,,,,-92.0,,-105.0,,,,-36.0,-60.9,-85.9,,,,,,False,,,,True,True,True,,,,
05039,52,15.0,,0.0,,,,0.0,17.0,1.6,,,,,-37.0,,-52.0,,,,-52.0,-35.0,-50.4,,,,,,False,,,,False,True,False,,,,
05041,133,85.0,,0.0,,,,39.0,14.5,22.1,,,,,-48.0,,-133.0,,,,-94.0,-118.5,-110.9,,,,,,False,,,,False,False,False,,,,
05043,125,100.0,,0.0,,,,72.0,29.6,35.9,,,,,-25.0,,-125.0,,,,-53.0,-95.4,-89.1,,,,,,False,,,,False,False,False,,,,
05045,726,775.0,,1363.0,,,,733.0,92.6,1070.7,2783.9,,,,49.0,,637.0,,,,7.0,-633.4,344.7,2057.9,,,,,False,,,,True,False,False,False,,,
05047,100,50.0,,0.0,,,,69.0,43.4,9.7,,,,,-50.0,,-100.0,,,,-31.0,-56.6,-90.3,,,,,,False,,,,True,False,False,,,,
05049,25,15.0,,0.0,,,,3.0,13.9,2.3,,,,,-10.0,,-25.0,,,,-22.0,-11.1,-22.7,,,,,,False,,,,False,False,False,,,,
05051,715,315.0,,940.0,,,,977.0,99.8,203.7,702.9,,,,-400.0,,225.0,,,,262.0,-615.2,-511.3,-12.1,,,,,True,,,,True,False,False,True,,,
05053,90,55.0,,0.0,,,,17.0,17.7,20.0,,,,,-35.0,,-90.0,,,,-73.0,-72.3,-70.0,,,,,,False,,,,False,False,False,,,,
05055,352,45.0,,134.0,,,,114.0,61.5,6.1,412.6,,,,-307.0,,-218.0,,,,-238.0,-290.5,-345.9,60.6,,,,,True,,,,True,True,False,True,,,
05057,179,65.0,,35.0,,,,32.0,67.1,27.5,,,,,-114.0,,-144.0,,,,-147.0,-111.9,-151.5,,,,,,False,,,,False,True,False,,,,
05059,947,815.0,,4489.0,,,,312.0,59.2,688.8,688.1,,,,-132.0,,3542.0,,,,-635.0,-887.8,-258.2,-258.9,,,,,False,,,,False,False,False,False,,,
05061,236,120.0,,0.0,,,,88.0,39.4,23.4,360.7,,,,-116.0,,-236.0,,,,-148.0,-196.6,-212.6,124.7,,,,,False,,,,False,False,False,False,,,
05063,433,45.0,,82.0,,,,89.0,63.3,14.7,,,,,-388.0,,-351.0,,,,-344.0,-369.7,-418.3,,,,,,True,,,,True,True,False,,,,
05065,30,15.0,,0.0,,,,5.0,16.1,2.6,,,,,-15.0,,-30.0,,,,-25.0,-13.9,-27.4,,,,,,False,,,,False,True,False,,,,
05067,79,30.0,,0.0,,,,29.0,56.7,14.5,,,,,-49.0,,-79.0,,,,-50.0,-22.3,-64.5,,,,,,False,,,,False,True,False,,,,
05069,782,285.0,,422.0,,,,312.0,199.4,216.9,226.6,362.4,,,-497.0,,-360.0,,,,-470.0,-582.6,-565.1,-555.4,-419.6,,,,True,,,,True,False,False,False,True,,
05071,394,310.0,,520.0,,,,551.0,57.4,123.8,791.4,,,,-84.0,,126.0,,,,157.0,-336.6,-270.2,397.4,,,,,False,,,,False,False,False,False,,,
05073,32,30.0,,1.0,,,,1.0,5.8,2.8,,,,,-2.0,,-31.0,,,,-31.0,-26.2,-29.2,,,,,,False,,,,False,False,False,,,,
05075,109,15.0,,19.0,,,,36.0,26.2,1.1,42.3,,,,-94.0,,-90.0,,,,-73.0,-82.8,-107.9,-66.7,,,,,True,,,,True,True,False,True,,,
