,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,15850,15528.3,16386.3,14412.0,15683.6,16261.0,15626.7,15556.0,13531.0,14542.9,15371.0,13428.5,14150.0,14769.9,15045.8,15505.6,,13823.2,16047.0,16532.0,14550.7,15086.8,16433.5,15804.0,15103.0,13841.4,15738.1,15585.2,16216.2,13859.5,,17235.3,15979.4,,14966.0,16412.2,14151.0,15556.1,,16674.8,15810.9,15364.0,14009.5,16317.0,,12742.5,14578.0,-321.7,536.3,-1438.0,-166.4,411.0,-223.3,-294.0,-2319.0,-1307.1,-479.0,-2421.5,-1700.0,-1080.1,-804.2,-344.4,,-2026.8,197.0,682.0,-1299.3,-763.2,583.5,-46.0,-747.0,-2008.6,-111.9,-264.8,366.2,-1990.5,,1385.3,129.4,,-884.0,562.2,-1699.0,-293.9,,824.8,-39.1,-486.0,-1840.5,467.0,,-3107.5,-1272.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,True,True,False,False,,False,True,,False,False,False,True,,False,True,False,False,False,,False,False
Hawaii,424,371.1,377.2,361.5,358.0,383.0,367.0,390.0,349.0,378.0,392.0,343.5,411.0,389.2,,423.3,,374.7,,387.0,525.9,371.2,358.0,363.6,461.0,323.3,381.9,395.0,380.4,354.0,,,371.6,,390.0,394.7,392.0,353.6,,424.0,420.9,375.0,370.7,396.0,,342.8,390.0,-52.9,-46.8,-62.5,-66.0,-41.0,-57.0,-34.0,-75.0,-46.0,-32.0,-80.5,-13.0,-34.8,,-0.7,,-49.3,,-37.0,101.9,-52.8,-66.0,-60.4,37.0,-100.7,-42.1,-29.0,-43.6,-70.0,,,-52.4,,-34.0,-29.3,-32.0,-70.4,,0.0,-3.1,-49.0,-53.3,-28.0,,-81.2,-34.0,True,False,False,True,False,True,False,True,True,False,True,True,,True,,True,,True,False,True,False,False,True,False,True,True,True,False,,,True,,True,True,True,False,,True,True,True,False,True,,False,True
Idaho,1803,1888.6,1852.9,1824.2,1897.5,1996.0,1913.0,1891.0,1768.0,1905.1,1814.0,1813.6,1837.0,2042.3,1900.9,1998.6,,1988.3,1947.0,1959.0,1976.6,1847.9,1863.0,1888.9,2003.0,,1907.7,1935.0,1893.8,1835.0,,,1794.9,,1889.0,1679.5,1831.0,1869.5,,2057.0,1957.1,1809.0,1976.9,1864.0,,1792.0,1864.0,85.6,49.9,21.2,94.5,193.0,110.0,88.0,-35.0,102.1,11.0,10.6,34.0,239.3,97.9,195.6,,185.3,144.0,156.0,173.6,44.9,60.0,85.9,200.0,,104.7,132.0,90.8,32.0,,,-8.1,,86.0,-123.5,28.0,66.5,,254.0,154.1,6.0,173.9,61.0,,-11.0,61.0,True,True,False,False,False,False,True,False,True,True,True,False,False,False,,False,False,False,False,True,True,False,False,,False,False,False,True,,,True,,False,False,True,True,,False,False,True,False,True,,True,True
Illinois,22087,22969.9,24407.2,22510.9,23186.6,23519.0,23259.7,22954.0,22758.0,22372.2,23994.0,22389.7,22759.0,23408.1,22950.6,23514.1,,23987.4,23066.0,23163.0,22482.7,22410.6,22869.0,23140.4,23363.0,21741.2,22859.7,23576.1,23184.5,22527.0,,24523.1,22427.8,,23562.0,21417.2,22868.0,21697.1,,25152.2,22870.0,22557.0,24419.0,23203.0,,21972.6,22530.0,882.9,2320.2,423.9,1099.6,1432.0,1172.7,867.0,671.0,285.2,1907.0,302.7,672.0,1321.1,863.6,1427.1,,1900.4,979.0,1076.0,395.7,323.6,782.0,1053.4,1276.0,-345.8,772.7,1489.1,1097.5,440.0,,2436.1,340.8,,1475.0,-669.8,781.0,-389.9,,3065.2,783.0,470.0,2332.0,1116.0,,-114.4,443.0,False,True,False,False,False,True,True,True,False,True,True,False,True,False,,False,False,False,True,True,True,False,False,True,True,False,False,True,,False,True,,False,True,True,True,,False,True,True,False,False,,True,True
Indiana,12149,10563.6,11425.5,10830.8,10568.7,11252.0,10571.0,10810.0,10521.0,10705.8,11045.0,11005.6,11215.0,10926.3,10891.0,11211.0,,11897.9,10744.0,11016.0,10577.1,10816.3,10660.0,10584.2,11226.0,10209.7,11064.4,11272.2,10272.5,10799.0,,11893.9,10019.8,,10781.0,10561.5,10027.0,10086.5,,12747.5,11068.2,10575.0,10871.0,10843.0,,9936.4,10724.0,-293.4,568.5,-26.2,-288.3,395.0,-286.0,-47.0,-336.0,-151.2,188.0,148.6,358.0,69.3,34.0,354.0,,1040.9,-113.0,159.0,-279.9,-40.7,-197.0,-272.8,369.0,-647.3,207.4,415.2,-584.5,-58.0,,1036.9,-837.2,,-76.0,-295.5,-830.0,-770.5,,1890.5,211.2,-282.0,14.0,-14.0,,-920.6,-133.0,False,True,True,False,True,True,False,True,True,True,False,True,True,False,,False,True,True,True,True,True,True,False,False,True,False,False,True,,False,False,,True,False,False,False,,False,True,True,True,True,,False,True
Iowa,5236,5036.6,4952.4,4788.1,5036.4,5009.0,5097.1,5030.0,4657.0,4961.1,5599.0,5106.8,7414.0,5068.8,4941.3,4966.7,,5043.6,5262.0,5076.0,5018.2,4942.4,4666.0,4947.6,5081.0,5075.6,4972.5,5067.3,5070.0,4729.0,,5530.3,4491.0,,5026.0,4321.7,4917.0,5205.6,,5195.0,5012.1,4780.0,5220.5,5104.0,,4829.5,5034.0,-199.4,-283.6,-447.9,-199.6,-227.0,-138.9,-206.0,-579.0,-274.9,363.0,-129.2,2178.0,-167.2,-294.7,-269.3,,-192.4,26.0,-160.0,-217.8,-293.6,-570.0,-288.4,-155.0,-160.4,-263.5,-168.7,-166.0,-507.0,,294.3,-745.0,,-210.0,-914.3,-319.0,-30.4,,-41.0,-223.9,-456.0,-15.5,-132.0,,-406.5,-202.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,,True,True,True,False,False,False,False,True,True,False,True,True,False,,False,False,,False,False,False,True,,True,False,False,True,True,,False,False
Kansas,4329,4831.3,5227.0,4638.1,5005.9,4834.0,4881.0,4664.0,4448.0,4223.0,5116.0,4399.7,5114.0,5253.9,4802.5,4909.5,,5064.5,4572.0,4656.0,4311.7,4354.6,4043.5,4436.1,4720.0,5005.1,4886.5,4837.8,5053.5,4757.0,,5577.3,4360.8,,4591.0,4487.4,3965.0,4442.6,,5219.1,4951.0,4598.0,4681.7,4879.0,,4115.4,4649.0,502.3,898.0,309.1,676.9,505.0,552.0,335.0,119.0,-106.0,787.0,70.7,785.0,924.9,473.5,580.5,,735.5,243.0,327.0,-17.3,25.6,-285.5,107.1,391.0,676.1,557.5,508.8,724.5,428.0,,1248.3,31.8,,262.0,158.4,-364.0,113.6,,890.1,622.0,269.0,352.7,550.0,,-213.6,320.0,False,True,False,False,False,True,True,True,False,True,False,False,True,False,,False,True,True,True,True,True,True,True,False,False,False,False,True,,False,True,,True,True,True,True,,False,False,True,True,False,,True,True
Kentucky,4272,3998.7,3907.7,3825.1,3945.3,4258.0,3961.1,4006.0,3536.0,4081.1,4312.0,3787.1,3790.0,3862.8,3778.4,4045.6,,3843.8,4010.0,4192.0,4439.5,3821.0,3838.0,4032.7,4292.0,4031.3,3952.6,4104.3,4150.5,3865.0,,,4055.2,,4051.0,3994.5,3770.0,4131.4,,5194.0,4002.5,4084.0,3953.3,4349.0,,3487.3,4050.0,-273.3,-364.3,-446.9,-326.7,-14.0,-310.9,-266.0,-736.0,-190.9,40.0,-484.9,-482.0,-409.2,-493.6,-226.4,,-428.2,-262.0,-80.0,167.5,-451.0,-434.0,-239.3,20.0,-240.7,-319.4,-167.7,-121.5,-407.0,,,-216.8,,-221.0,-277.5,-502.0,-140.6,,922.0,-269.5,-188.0,-318.7,77.0,,-784.7,-222.0,False,False,False,True,False,True,False,True,True,False,False,False,False,True,,False,True,True,True,False,False,True,True,True,False,True,True,False,,,True,,True,False,False,True,,False,True,True,False,True,,False,True
Louisiana,9276,9475.9,9225.5,9169.1,9097.1,9492.0,9068.0,9378.0,9438.0,9236.1,10009.0,9387.4,9359.0,9941.2,9528.4,9822.9,,9412.2,9824.0,9416.0,9146.8,9519.0,9377.5,9468.5,9541.0,9311.6,9243.3,9613.8,9294.8,9073.5,,9480.4,9167.5,,9533.0,9869.7,10076.0,9325.4,,10487.4,9256.8,9650.0,9132.9,9359.0,,8658.8,9640.0,199.9,-50.5,-106.9,-178.9,216.0,-208.0,102.0,162.0,-39.9,733.0,111.4,83.0,665.2,252.4,546.9,,136.2,548.0,140.0,-129.2,243.0,101.5,192.5,265.0,35.6,-32.7,337.8,18.8,-202.5,,204.4,-108.5,,257.0,593.7,800.0,49.4,,1211.4,-19.2,374.0,-143.1,83.0,,-617.2,364.0,True,True,True,False,False,True,True,True,False,True,True,False,False,False,,True,False,True,True,False,True,True,False,True,True,False,True,False,,False,True,,False,False,False,True,,False,True,False,True,True,,False,False
Maine,647,815.7,816.1,757.6,792.2,742.0,807.0,848.0,730.0,743.9,814.0,643.2,779.0,683.6,792.9,1011.6,,660.7,782.0,835.0,1010.5,890.1,935.0,786.8,863.0,,941.8,848.6,837.4,895.5,,,871.4,,891.0,725.8,864.0,723.7,,861.7,995.3,748.0,902.5,743.0,,602.4,988.0,168.7,169.1,110.6,145.2,95.0,160.0,201.0,83.0,96.9,167.0,-3.8,132.0,36.6,145.9,364.6,,13.7,135.0,188.0,363.5,243.1,288.0,139.8,216.0,,294.8,201.6,190.4,248.5,,,224.4,,244.0,78.8,217.0,76.7,,214.7,348.3,101.0,255.5,96.0,,-44.6,341.0,False,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,True,False,False,False,False,True,False,,False,False,False,False,,,False,,False,True,False,True,,False,False,True,False,True,,True,False
